СЛОВО ИОАНА ЗЛАТОУСТАГО,[1] КАКО НЕ ЛѢНИТИСЯ КНИГИ ЧЕСТИ	СЛОВО ИОАННА ЗЛАТОУСТА, КАК, НЕ ЛЕНЯСЬ, ЧИТАТЬ КНИГИ (ГЛАВА 4)
И минувшу лѣту, видѣ госпожу свою творящу блуд съ слугою. И никому сего не повѣда, но моляше Бога, да има грѣх оставит. Госпожа же его исполньшися гнѣва, срама не терпящи, глаголя к мужеви своему: «Сий новокупленный рабъ нѣсть добръ: о главѣ бо твоей мыслитъ. Да лѣпо его убити, неже онъ — тобе, моего живота». Сии блудная льстивая жена мужу своему глаголаше. Онъ же, лукавая ея слышавъ словеса, и ятъ вѣру, и осуди праведнаго умрети, а онъ не вѣдяше. И совѣщася со епархомъ:[4] егоже ти с убрусомъ пошлю, того посѣци главу, и даси ю, кто ти по немъ приидетъ. А не нарече именемъ ни единого слуги. И пришед в домъ, посла и́, праведна, и давъ ему убрус. Он же, не вѣдяше, на смерть идяй. Бысть же ему идущу мимо церковь, слыша божественую пѣснь поему. Воспомянувъ отца своего наказание, ста во церкви и жды совершения службы.	По прошествии года увидел он как-то госпожу свою блудящей со слугою. Никому о том не поведал, но молил Бога, чтобы простил тем грех их. Однако госпожу его охватил гнев, и она, не в силах перенести позор свой, сказала мужу своему: «Этот новокупленный раб не надежен, ибо замышляет убить тебя. Так лучше его убить, чем он убьет тебя — жизнь мою». Так говорила коварная и блудливая жена своему мужу. Он же, лживые ее слова услышав, поверил им и приговорил праведного к смерти, а тот и не догадывался. И договорился с эпархом: кого пришлю к тебе с полотенцем, тому отруби голову и отдай ее тому, кто придет к тебе вслед за ним. А имени не назвал ни одного из слуг. И, вернувшись домой, послал его, праведника, вручив ему полотенце. Он же, ничего не зная, пошел на смерть. И случилось ему проходить мимо церкви, и услышал пение божественной песни. Вспомнил он о завете отца своего, стал в церкви, ожидая окончания службы.
Госпожа же его, гнѣвомъ одержима, ускори послати виноватаго к мечнику. Той же иде и видѣ друга си въ церкви стояща. Той рече ему: «Камо идеши?» Посланый же рече: «К мечнику реченно ми итти». И той глагола: «И азъ к тому же есмь посланъ с симъ убрусомъ. Неси ты, да не оба ся трудива». Он же убрусъ вземъ, иде. И в той чяс усѣкну мечникъ главу виноватаго и въ убрус обвитъ ю.	Госпожа же его, распаляемая гневом, поспешила послать к палачу виноватого. Тот же пошел и увидел друга своего, стоящего в церкви. Спросил тот этого: «Куда идешь?» Посланный же сказал: «Велено мне к палачу идти». И другой сказал: «И я к тому же послан с полотенцем этим. Отнеси ты, что мы будем оба трудиться». Тот же, взяв полотенце, пошел. И в тот же час отрубил палач голову виноватого и завернул ее в полотенце.
Свершенѣ же бывши божественей службѣ во церкви, прииде праведный онъ отрок к мечнику. Онъ же, главу вземъ, дасть ю, рек: «Неси господину своему». Госпожа же и господинъ удивистася, яко посланый на смерть прииде живъ, а иже по главу иде, той умре. И воспросиша и́. Отрокъ же повѣдаша пред всѣми: «Аз не ослушахся отца своего заповѣди, стахъ во церкви до свершениа службы. Поиде другь мой скоро, и да ему убрус. Сей умре злѣ, аз же приидох живъ». И вси прославиша Бога, яко соблюденъ бысть отрокъ от смерти, створивъ заповѣдь отчю, а виноватый злѣ умре.	Когда же окончилась божественная служба в церкви, пришел к палачу и праведный тот отрок. Палач же, взяв голову, отдал ему и сказал: «Отнеси к господину своему». Госпожа же и господин удивились, что вернулся живым посланный на смерть, а пошедший за головой его — умер. И расспросили его. Отрок же рассказал перед всеми: «Я не ослушался завета отца своего, простоял в церкви до окончания службы. Друг мой поспешил, и я отдал ему полотенце. Он погиб страшной смертью, а я вернулся живым». И все прославили Бога, что спасся отрок от смерти, соблюдая заповедь отца, а виновный умер страшной смертью.
Се же, братие и сестры, слышаще, не мозѣте исходити из церкви преже конца пѣнию, паче же в час литоргия, да избавлени будете бѣдъ, добрѣ поживете. Богу нашему слава!	Об этом, братья и сестры, услышав, не покидайте церкви прежде окончания службы, а особенно во время литургии, и будете избавлены от бед и благополучно проживете. Богу нашему слава!
СЛОВО ОТ ПРИТЧИ И О НАКАЗАНИИ ДѢТЕЙ РОДИТЕЛЕМЪ	СЛОВО ИЗ ПРИТЧИ И О ВОСПИТАНИИ ДЕТЕЙ РОДИТЕЛЯМИ (ГЛАВА 53)
Благослови, отче!	Благослови, отче!
Человѣци, внемлите извѣсто о глаголемыхъ: «Кажите измлада дѣти своя». Глаголетъ бо Божиа премудрость: «Любяи сына своего жезла на нь не щадитъ. Наказай его во уности, да на старость упокоит тя. Аще ли измала не накажеши, то, ожесточавъ, не повинит ти ся», Глаголетъ же в 4-х Царствиих[5] сице: «Ерей бѣ нѣкто именемъ Илия, смиренъ и кротокъ велми. Имяше два сына, еюже не казняше, аще и злое творяста, ни на страх Божий учаше, но волю има бѣ далъ. Она же в буести, в ненаказании все зло творяста. И рече Богь ко Илии: “Понеже не наказа сыну своею, да оба сына твоя умрета от меча. И ты сам и весь домъ твой злѣ погибнетъ сыну дѣля твоею”».	Люди, внимательно вслушайтесь в сказанное: «Наказывайте смолоду детей своих». Вещает премудрость Божья: «Любящий сына своего палки для него не пожалеет. Наказывай его в юности, чтобы он принес тебе покой в старости. Если же смолоду не накажешь, то ожесточится и не покорится». Рассказывается же в книгах Четырех царств такое: «Был некий иерей по имени Илья, смиренный и очень кроткий, И было у него два сына, которых не наказывал он, когда и зло творили, не учил их страху Божьему, но давал им во всем волю. Они же, в буйстве и не ведая наказания, всегда зло творили. И сказал Бог Илье: “Раз не воспитал ты сыновей своих, то оба сына твоих от меча погибнут. И ты сам, и весь дом твой страшно пострадаете из-за сыновей твоих”».
Слышите, братие: «Аще богоугодно поживете, но иже дѣтей страху Божию не наказал, за то погибе». Да аще в Ветсѣмъ законѣ то бысть, а мы что приимемъ, в Новѣм законѣ будуще? Аще кто не накажет дѣтей — Златословесный бо глаголетъ: «Аще кто дѣтей своих не учитъ воли Божии, то лютѣе есть разбойника осудится: убийца бо тѣло умертвитъ, а родители, аще не учатъ, то душу губягь». Но вы, убо, братие и сестры, наказайте измлада дѣти своя на закон Божий, да страхъ Божий вкоренится в них. Аще ли не послушают твои дѣти, то не пощади и́. Якоже мудрость Божиа глаголетъ: «6 ранъ или 12 сыну или дщери. Аще ли зла вина, то 20 ранъ плетню». Наказайте убо дѣти своа Бога боятися, а злыхъ нравъ остати, да помощь души вашей будет. Не оставляй наказая дѣти си. Аще бо жезломъ бьеши — не умрет, но паче здравие будетъ. Душю его спасеши, аще накажеши. Дщери ли имаши — положи на них грозу, да соблюдеши я от телесных, не срамит ти ся лице, аще бес порока дщерь свою отдаси, и срѣдѣ сбора похвалишися о ней. Любяй же сына своего, учащай ему раны, и да напослѣди о немъ возвеселишися, и среди знаемых похвалу приимеши. Воспитай дѣтище в наказании, да обрящеши славу и благословение от Бога. Не дай же во уности воли дѣтищу, но казни, дондеже растетъ. Егда, ожесточавъ, не повинит ти ся и будет ти от него досада люта, и болѣзнь души, и скорбь не мала, и тщета домови, и погибель имѣнию, и укоръ от сусед, посмѣх пред враги, и пред властели платеж, и зла досада.	Послушайте, братья: «Хотя бы и богоугодно вы жили, но если кто из вас не наставлял детей своих в страхе Божьем, то за это пострадает». Да если и в Ветхом завете это было, то что же нам следует принять, в Новом завете живущим? Если кто не наказывает своих детей, то (как говорит об этом Златоуст): «Если кто детей своих не учит покоряться воле Божьей, то осужден будет суровее, чем разбойник: убийца ведь тело умертвляет, а родители, не воспитывающие детей, душу губят». Но вы, братья и сестры, наставляйте смолоду детей своих в законе Божьем, чтобы страх Божий укоренился в них. Если же не слушаются тебя твои дети, то не щади их. Как вещает божественная премудрость: «Шесть ударов или двенадцать — сыну или дочери. Если же велика провинность, то двадцать ударов плетью». Учите же детей своих Бога бояться, а дурных обычаев избегать, и будет это в помощь душе вашей. Не оставляйте детей без наказания. Если и палкой побьешь — не умрет, но еще здоровее будет. Душу его спасешь, если накажешь. Имеешь ли ты дочерей — держи их в страхе, чтобы оградить их от плотского, не будет посрамлено лицо твое, если выдашь дочь свою замуж непорочной, и перед всеми похвалишься ею. Если же любишь сына своего, бей его часто, и тогда впоследствии порадует он тебя и хвалы удостоишься от всех знающих тебя. Воспитай чадо свое в строгости и обретешь почет и благословение от Бога. Не дай в юности воли чаду, но наказывай его, пока растет. Иначе, огрубев, не станет слушать тебя и будут тебе от него огорчения великие, и мука душевная, и скорбь немалая, и дома разорение, и богатства утрата, и укоры соседей, и позор перед недругами, и штрафы властелинам, и горькая обида.
Того ради, братие и сестры, наказайте дѣти своя не словомъ, но и раною. Да нынѣ не приимете про нихъ от людей срама, а в будущий вѣкъ муки с ними.	Поэтому, братья и сестры, наказывайте детей своих не только словом, но и побоями. Тогда и ныне не будете ими посрамлены перед людьми и в будущий век не примете мук с ними.
СЛОВО ИОАННА ЗЛАТОУСТАГО О НЕ ВСТАЮЩИХ НА УТРЕННЮЮ	СЛОВО ИОАННА ЗЛАТОУСТА О ТЕХ, КТО НЕ ВСТАЕТ НА ЗАУТРЕНЮ (ГЛАВА 71)
Иже в лѣности кто в житии сем пребываетъ, той не спасется. Аще бо ся облениши на утренюю встати, не дай же ясти тѣлу своему день той до вечера. Писано бо есть: «Праздный да не ясть».[6] Яко бо кто крадетъ — вину на ся имат. Тако вину причитаетъ Богъ не встающему на заутренюю к церкви, развѣе недуга ради и труда велика дѣля, обаче и от недужнаго и труднаго истязаетъ Богъ <...> молитвы и службы духовныя. Да никто извѣта имать, яко в миру живый с женою и з дѣтми, и печаль о дому имѣя, не глаголите: «Не могу Богу угодити». Видим бо много угодники Божиа в миру и заповѣди его творяще. Давидъ не бѣ ли богатъ, или не царь ли, се Богу глаголаше: «Седмижды днемъ хвалих тя и паки полунощи встах исповѣдатися тебѣ». Да аще царь сый седмижды днем пѣлъ Бога, и полунощи встал и моляся Богу, а толико имый печаль, мы же како будем помиловани живуще в лготѣ, а лѣнимся к церкви на утренюю и на литоргию и на вечерню.	Кто в жизни своей в лености пребывает, тот не спасется. Если поленишьcя встать к заутрене, то лиши тело свое еды в тот день до вечера. Написано же: «Праздный да не ест». Если же кто крадет — тот вину на себя берет. Так же вину возлагает Бог на тех, кто не встает к заутрене в церкви, если только не помешала тому болезнь или горе великое, но и от больного и от несчастного ждет Бог молитвы и служения душевного. Да никто пусть не осудит живущего в миру, с женой и с детьми, и в заботах о доме; не говорите: «Не могу Богу угодить». Видим мы многих угодников Божьих и в миру заповеди его творящих. Разве не был Давид богат, не царь ли он был, но так Богу говорил: «Семь раз на день славил тебя и снова, встав в полуночи, исповедался тебе». Так, если бывший царем семь раз на день воспевал Бога и, в полуночи встав, молился Богу, а столько горя перенес, то как же мы будем прощены, живущие в довольстве, если ленимся в церковь идти к заутрене, и на литургию, и на вечерню.
Что твориши, о человѣче, бесчинно и скарѣдо живый, час молитвенный пропивая, нравъ поганых любя, тѣх бо есть веселие еже упиватися, а християном егда обѣдати, тогда и пити. А ты весь день сѣдиши, губя питием, и ни телесных могий орудий творити, ни душевных, но вся на питие предая, и душю и тѣло губяй. Реченно бо в законъ ясти и пити и в подобно время, а не в пиянство. Мнози же пиюще весь день губят, аки безсловесныи скоти и звѣри, не чающе суда, ни Бога вѣдуще. И ти смѣют ны ся, яко и мы несмыслено сего не творим, а человѣци сии несыти, егда не имут покоя пиюще, лиют яко во утелъ сосуд, донелѣже возбѣснѣют от пиянства.	Что творишь ты, человек, беспутно и мерзко живущий, пропивающий час молитвы, любящий обычай неверных, ибо для тех веселье в пьянстве, а христианам следует — когда обедаешь, тогда и пить. А ты весь день сидишь, губя себя пьянством, и не способен к делам физическим и душевным, все в пьянстве растратив и душу и тело губя. Сказано ведь в законе: есть и пить следует в положеное время, а не пьянствовать. Многие же, пьянствуя, весь день губят, словно они — бессловесные скоты и звери, которые не думают о возмездии и Бога не знают. И не смеются ли они над нами: и мы, мол, несмысленные, того не творим, что делают эти люди ненасытные, покоя не знающие пьяницы, что льют в себя, словно в бездонный сосуд, пока не взбесятся от пьянства.
Двѣ бо пиянству различии. Едино же мнози хвалятъ глаголюще: той пьяница, иже упивася спитъ, яко мертвець. И яко болван валяется, и много осквернитъся и, домочився, смердит. И лежит в годъ заутрений, не мога ни главы возвести, рыгая, смердя от многа пития, разслабле свое тѣло мокро. И до горла, яко мѣх, налиявся. Чим отдѣленъ от поганых таковый? Вижте, коль зло есть пианство. Аще бо кто в том умрет, с погаными осудится. А деряживый пьяница, иже биется и сварится, и лаетъ говѣющим, и боголюбцем поносит и укоряетъ. И аще властель есть — лютѣе: вся бо повинути хощет своей пагубе, бояся говѣющих укора, их ненавидит, ему подобныя любитъ, иже потаквы творят ему, блазняще и́. Аще в сих пребывающа смерть прииметъ и с кумирослужебники осудятся.	Два различных вида есть пьянства. И многие хвалят один из них, говоря: <уж лучше> тот пьяница, который, упившись, спит, словно мертвец. И словно идол валяется, и весь в грязи, и обмочится, и воняет. И лежит в час заутрени не в силах и головы поднять, рыгая, воняя от чрез меру выпитого, обмякший и потный. И до горла, точно мех, налит. Чем отличается от иноверцев такой? Видите, какое зло пьянство. Если кто пьяницей умрет, тот с иноверцами осужден будет. А бывает драчливый пьяница: дерется он, и сквернословит, и оскорбляет трезвенников, и боголюбцев поносит и укоряет. А если он властелин — того хуже: всех хочет подчинить своему пороку, боясь от трезвенников укора, их же ненавидит, а себе подобных любит, кто потакает ему и совращает его. Если так поступающий смерть примет, то осужден будет с идолопоклонниками.
СЛОВО БЛАЖЕННАГО ЕВСЕВИА АРХИЕПИСКОПА О УТОПАЮЩИХ	СЛОВО БЛАЖЕННОГО ЕВСЕВИЯ-АРХИЕПИСКОПА ОБ УТОПАЮЩИХ (ГЛАВА 82)
В лѣтѣ во единъ от дний человѣкъ, превозяся рѣку, утопе. Да овии глаголаху: «По дѣлом восприял есть», а инии вѣщаху: «Смерть прииде ему». О семъ царь Александръ воспроси блаженнаго Евсѣвиа епископа.	Как-то летом человек утонул, переплывая реку. И одни говорили: «По делам своим получил», а другие говорили: «Смерть пришла к нему». Об этом царь Александр спросил блаженного епископа Евсевия.
К нему же Евсѣвей рече: «Ни единъ же от сихъ обрѣте истинны. Аще бы кто же по дѣлом приималъ, то весь бы миръ злѣ погиблъ, но диаволъ не сердцевидець, но назирателъ и уховолок и смотритель человѣчи смерти. И тако погубити ловитъ, да сѣтию его напишется смерть. Егда бо дияволъ увѣсть смерть человѣку, взбыстрит, ли сваръ, или гнѣвъ приводя, ли ярость, да от мала ударения человѣкъ умрет. Или понудити его в день весны преити рѣку, или во ину напасть чрез подобу ввержетъ его и своею сѣтию устроитъ ему смерть.	И сказал ему Евсевий: «И те и другие далеки от истины. Если бы каждый по делам своим получал, то весь мир погиб бы в муках, но дьявол не может читать в сердцах, а лишь подсматривает, и подслушивает, и высматривает смерть человека. И так стремится погубить, чтобы в сетях его погиб человек. Когда узнает дьявол, что суждена смерть человеку, то поспешит поссорить его или гнев в нем разбудить или ярость, чтобы и от легкого удара умер человек. Или убедит его в весенний день переправляться через реку, или ввергнет его в иную беду, и своими уловками приведет его к смерти.
Но разумѣй и вижь, како без милости нѣкия человѣки бьютъ и оружиемъ сѣкутъ, но не умираютъ, и паки же случится: нѣкто, мало ударенъ, смерти вскорѣ предасть. И сему подобно есть, аще в зимный чяс кто и в лютый мразъ из дому изыдетъ и на пути от мраза умрет — самоволною смертию умирают таковии. Аще ли кто в тихо изыдетъ из дому, и на пути приимет бѣду, и мѣста не будетъ, гдѣ съкрытися, то таковыи мученическою смертию умирают. И паки: аще кто придетъ на реку и обрящетъ ю волнами мутиму, не преходящу чрезъ ю никомуже, той же надѣяся своею дерзостию преити и, вшед в напасть, скоро умрет, то о таковѣм и приноса в церковь не достоитъ принести: сам бо убийца себѣ есть. Аще кто, разбой лютый услышавъ на нѣкоемъ распутии, и поидетъ, яко мужаяся, тѣмъ путемъ, аще убиютъ и́ то убийца же себе есть. И аще кто в вязнемъ бою убит или удавится, своею волею умираютъ тии, ни погребати таковых не достоитъ, ни приноса в церковь от них, рече, не приносити: сами бо губили ся суть. Аще же кого изнезапы бѣда прииметъ, или утонетъ, или убиют, или на кого невидѣние прилучится, то мученическою смертию умираютъ таковии».	Но задумайся и посмотри, как иных людей без жалости бьют и оружием ранят, но не умирают они, а бывает, случится, что кто-либо и от слабого удара тут же умрет. И подобно этому: если кто зимой и в лютый мороз выйдет из дому и по дороге умрет, замерзнув, — то по своей вине умирают таковые. Если же кто выйдет из дому в тихую погоду, и в пути застигнет его ненастье, и не будет места, где спрятаться, то таковые умирают мученической смертью. И еще: если кто придет к реке и увидит на реке мутные волны, и никто через нее не переправляется, а он, понадеявшись на себя, вздумает дерзнуть ее перейти и, попав в беду, скоро погибнет, то за такого не следует и даров в церковь приносить — сам он себе убийца. Если кто, услышав о страшном разбое на распутье дорог, все же пойдет как смельчак той дорогой, то, если убьют его, сам себе он убийца. А если кто в <...> драке будет убит или повесится, то такие по своей воле умирают; ни погребать их не следует, ни даров в церковь за них не нужно приносить — сами себя погубили. Еслb же с кем внезапная беда случится: или утонет, или убьют его, или ослепнет кто, — то таковые умирают как мученики».
СЛОВО СВЯТЫХ ОТЕЦЬ О ТЯЗИОТѢ	СЛОВО СВЯТЫХ ОТЦОВ О ВОИНЕ (ГЛАВА 131)
