ПОУЧЕНЬЕ	ПОУЧЕНИЕ
Поистинѣ, дѣти моя, разумѣйте, како ти есть человѣколюбець Богъ милостивъ и премилостивъ. Мы человѣци, грѣшни суще и смертни, то оже ны зло створить, то хощемъ и́ пожрети и кровь его прольяти вскорѣ; а Господь нашь, владѣя и животомъ и смертью, согрѣшенья наша выше главы нашея терпить, и пакы и до живота нашего. Яко отець, чадо свое любя, бья, и пакы привлачить е к собѣ, тако же и Господь нашь показал ны есть на врагы побѣду, 3-ми дѣлы добрыми избыти его и побѣдити его: покаяньемъ, слезами и милостынею. Да то вы, дѣти мои, не тяжька заповѣдь Божья, оже тѣми дѣлы 3-ми избыти грѣховъ своихъ и царствия не лишитися.	Поистине, дети мои, разумейте, что человеколюбец Бог милостив и премилостив. Мы, люди, грешны и смертны, и если кто нам сотворит зло, то мы хотим его поглотить и поскорее пролить его кровь; а Господь наш, владея и жизнью и смертью, согрешения наши превыше голов наших терпит всю нашу жизнь. Как отец, чадо свое любя, бьет его и опять привлекает к себе, так же и Господь наш показал нам победу над врагами, как тремя делами добрыми избавляться от них и побеждать их: покаянием, слезами и милостынею. И это вам, дети мои, не тяжкая заповедь Божия, как теми делами тремя избавиться от грехов своих и царствия небесного не лишиться.
А Бога дѣля не лѣнитеся, молю вы ся, не забывайте 3-х дѣлъ тѣхъ: не бо суть тяжка; ни одиночьство, ни чернечьство, ни голодъ, яко инии добрии терпять, но малым дѣломь улучити милость Божью.	Бога ради, не ленитесь, молю вас, не забывайте трех дел тех, не тяжки ведь они; ни затворничеством, ни монашеством, ни голоданием, которые иные добродетельные претерпевают, но малым делом можно получить милость Божию.
«Что есть человѣкъ, яко помниши и́?»[20] «Велий еси, Господи, и чюдна дѣла твоя, никак же разумъ человѣческъ не можеть исповѣдати чюдес твоихъ»,[21] и пакы речемъ: «Велий еси, Господи, и чюдна дѣла твоя, и благословено и хвално имя твое в вѣкы по всей земли».[22] Иже кто не похвалить, ни прославляеть силы твоея и твоих великых чюдес и доброт, устроеных на семь свѣтѣ: како небо устроено, како ли солнце, како ли луна, како ли звѣзды, и тма и свѣт, и земля на водах положена, Господи, твоимъ промыслом! Звѣрье разноличнии, и птица и рыбы украшено твоимъ помыслом, Господи! И сему чюду дивуемъся, како от персти создавъ человѣка, како образи розноличнии въ человѣчьскыхъ лицих, — аще и весь миръ совокупить, не вси въ одинъ образ, но кый же своимъ лиць образом, по Божии мудрости. И сему ся подивуемы, како птица небесныя изъ ирья идут,[23] и первѣе въ наши руцѣ, и не ставятся на одиной земли, но и силныя и худыя идут по всѣмъ землямъ Божиимь повелѣньемь, да наполнятся лѣси и поля. Все же то далъ Богъ на угодье человѣкомъ, на снѣдь, на веселье. Велика, Господи, милость твоя на нас, иже та угодья створилъ еси человѣка дѣля грѣшна. И ты же птицѣ небесныя умудрены тобою, Господи; егда повелиши, то вспоють и человѣкы веселять тобе; и егда же не повелиши имъ, языкъ же имѣюще онемѣють. «А благословенъ еси, Господи, и хваленъ зѣло!»,[24] всяка чюдеса и ты доброты створивъ и здѣлавъ. «Да иже не хвалить тебе, Господи, и не вѣруеть всѣм сердцемь и всею душею во имя Отца и Сына и Святаго Духа, да будеть проклятъ».[25]	«Что такое человек, как подумаешь о нем?» «Велик ты, Господи, и чудны дела твои; разум человеческий не может постигнуть чудеса твои», — и снова скажем: «Велик ты, Господи, и чудны дела твои, и благословенно и славно имя твое вовеки по всей земле». Ибо кто не восхвалит и не прославит силу твою и твоих великих чудес и благ, устроенных на этом свете: как небо устроено, или как солнце, или как луна, или как звезды, и тьма, и свет, и земля на водах положена, Господи, твоим промыслом! Звери различные, и птицы и рыбы украшены твоим промыслом, Господи! И этому чуду подивимся, как из праха создал человека, как разнообразны человеческие лица; если и всех людей собрать, не у всех один облик, но каждый имеет свой облик лица, по Божьей мудрости. И тому подивимся, как птицы небесные из рая идут, и прежде всего в наши руки, и не поселяются в одной стране, но и сильные и слабые идут по всем землям, по Божьему повелению, чтобы наполнились леса и поля. Все же это дал Бог на пользу людям, в пищу и на радость. Велика, Господи, милость твоя к нам, так как блага эти сотворил ты ради человека грешного. И те же птицы небесные умудрены тобою, Господи: когда повелишь, то запоют и людей веселят; а когда не повелишь им, то и, имея язык, онемеют. «И благословен, Господи, и прославлен зело!» «Всякие чудеса и эти блага сотворил и совершил. И кто не восхвалит тебя, Господи, и не верует всем сердцем и всей душой во имя Отца и Сына и Святого Духа, да будет проклят!»
Си словца прочитаюче, дѣти моя, божествная, похвалите Бога, давшаго нам милость свою: а се от худаго моего безумья наказанье. Послушайте мене: аще не всего приимете, то половину.	Прочитав эти божественные слова, дети мои, похвалите Бога, подавшего нам милость свою; а то дальнейшее — это моего собственного слабого ума наставление. Послушайте меня: если не все примете, то хоть половину.
Аще вы Богь умякчить сердце, и слезы своя испустите о грѣсѣх своих, рекуще: «Якоже блудницю и разбойника и мытаря помиловалъ еси, тако и нас, грѣшных, помилуй!» И в церкви то дѣйте и ложася. Не грѣшите ни одину же ночь, аще можете, поклонитися до земли; а ли вы ся начнеть не мочи, а трижды. А того не забывайте, не лѣнитеся, тѣмь бо ночным поклоном и пѣньем человѣкъ побѣжает дьявола, и что въ день согрѣшить, а тѣмъ человеѣкъ избываеть. Аще и на кони ѣздяче не будеть ни с кым орудья, аще инѣх молитвъ не умѣете молвити, а «Господи помилуй» зовѣте беспрестани, втайнѣ: та бо есть молитва всѣх лѣпши, нежели мыслити безлѣпицю ѣздя.	Если вам Бог смягчит сердце, пролейте слезы о грехах своих, говоря: «Как блудницу, разбойника и мытаря помиловал ты, так и нас, грешных, помилуй». И в церкви то делайте и ложась. Не пропускайте ни одной ночи, — если можете, поклонитесь до земли; если вам занеможется, то трижды. Не забывайте этого, не ленитесь, ибо тем ночным поклоном и молитвой человек побеждает дьявола, и что нагрешит за день, то этим человек избавляется. Если и на коне едучи не будет у вас никакого дела и если других молитв не умеете сказать, то «Господи помилуй» взывайте беспрестанно втайне, ибо эта молитва всех лучше, — нежели думать безлепицу, ездя.
Всего же паче убогых не забывайте, но елико могуще по силѣ кормите, и придайте сиротѣ, и вдовицю оправдите сами, а не вдавайте силным погубити человѣка. Ни права, ни крива не убивайте, ни повелѣвайте убити его; аще будеть повиненъ смерти, а душа не погубляйте никакояже хрестьяны. Рѣчь молвяче, и лихо и добро, не кленитеся Богомь, ни хреститеся, нѣту бо ти нужа никоеяже. Аще ли вы будете крестъ цѣловати к братьи или г кому, а ли управивъше сердце свое, на немже можете устояти, то же цѣлуйте, и цѣловавше блюдѣте, да не, приступни, погубите душѣ своеѣ. Епископы, и попы, и игумены... с любовью взимайте от них благословленье,[26] и не устраняйтеся от них, и по силѣ любите и набдите, да приимете от них молитву... от Бога. Паче всего гордости не имѣйте в сердци и въ умѣ, но рцѣмъ: смертни есмы, днесь живи, а заутра в гробъ; се все, что ны еси вдалъ, не наше, то твое, поручил ны еси на мало дний. И в земли не хороните, то ны есть великъ грѣхъ. Старыя чти яко отца, а молодыя яко братью. В дому своемь не лѣнитеся, но все видите; не зрите на тивуна, ни на отрока, да не посмѣются приходящии к вам ни дому вашему, ни обѣду вашему. На войну вышедъ, не лѣнитеся, не зрите на воеводы; ни питью, ни ѣденью не лагодите, ни спанью; и сторожѣ сами наряживайте, и ночь, отвсюду нарядивше около вои, тоже лязите, а рано встанѣте; а оружья не снимайте с себе вборзѣ, не разглядавше лѣнощами, внезапу бо человѣкъ погыбаеть. Лжѣ блюдися и пьяньства и блуда, в томъ бо душа погыбаеть и тѣло. Куда же ходяще путемъ по своимъ землямъ, не дайте пакости дѣяти отрокомъ, ни своимъ, ни чюжимъ, ни в селѣх, ни в житѣх, да не кляти вас начнуть. Куда же поидете, идеже станете, напойте, накормите унеина; и боле же чтите гость, откуду же к вам придеть, или простъ, или добръ, или солъ; аще не можете даромъ — брашном и питьемь: ти бо мимоходячи прославять человѣка по всѣм землям любо добрым, любо злымъ. Болнаго присѣтите; надъ мертвеця идѣте, яко вси мертвени есмы. И человѣка не минѣте, не привѣчавше, добро слово ему дадите. Жену свою любите, но не дайте имъ надъ собою власти. Се же вы конець всему: страхъ Божий имѣйте выше всего.	Всего же более убогих не забывайте, но, насколько можете, по силам кормите и подавайте сироте и вдовицу оправдывайте сами, а не давайте сильным губить человека. Ни правого, ни виновного не убивайте и не повелевайте убить его; если и будет повинен смерти, то не губите никакой христианской души. Говоря что-либо, дурное или хорошее, не клянитесь Богом, не креститесь, ибо нет тебе в этом никакой нужды. Если же вам придется крест целовать братии или кому-либо, то, проверив сердце свое, на чем можете устоять, на том и целуйте, а поцеловав, соблюдайте, чтобы, преступив, не погубить души своей. Епископов, попов и игуменов чтите, и с любовью принимайте от них благословение, и не устраняйтесь от них, и по силам любите и заботьтесь о них, чтобы получить по их молитве от Бога. Паче же всего гордости не имейте в сердце и в уме, но скажем: смертны мы, сегодня живы, а завтра в гробу; все это, что ты нам дал, не наше, но твое, поручил нам это на немного дней. И в земле ничего не сохраняйте, это нам великий грех. Старых чтите, как отца, а молодых, как братьев. В дому своем не ленитесь, но за всем сами наблюдайте; не полагайтесь на тиуна или на отрока, чтобы не посмеялись приходящие к вам, ни над домом вашим, ни над обедом вашим. На войну выйдя, не ленитесь, не полагайтесь на воевод; ни питью, ни еде не предавайтесь, ни спанью; сторожей сами наряживайте, и ночью, расставив стражу со всех сторон, около воинов ложитесь, а вставайте рано; а оружия не снимайте с себя второпях, не оглядевшись по лености, внезапно ведь человек погибает. Лжи остерегайтеся, и пьянства, и блуда, от того ведь душа погибает и тело. Куда бы вы ни держали путь по своим землям, не давайте отрокам причинять вред ни своим, ни чужим, ни селам, ни посевам, чтобы не стали проклинать вас. Куда же пойдете и где остановитесь, напоите и накормите нищего, более же всего чтите гостя, откуда бы к вам ни пришел, простолюдин ли, или знатный, или посол; если не можете почтить его подарком, — то пищей и питьем: ибо они, проходя, прославят человека по всем землям, или добрым, или злым. Больного навестите, покойника проводите, ибо все мы смертны. Не пропустите человека, не поприветствовав его, и доброе слово ему молвите. Жену свою любите, но не давайте им власти над собой. А вот вам и основа всему: страх Божий имейте превыше всего.
Аще забываете сего, а часто прочитайте: и мнѣ будеть бе-сорома, и вамъ будеть добро.	Если не будете помнить это, то чаще перечитывайте: и мне не будет стыдно, и вам будет хорошо.
Егоже умѣючи, того не забывайте доброго, а егоже не умѣючи, а тому ся учите, якоже бо отець мой, дома сѣдя, изумѣяше 5 языкъ,[27] в томъ бо честь есть от инѣхъ земль. Лѣность бо всему мати: еже умѣеть, то забудеть, а егоже не умѣеть, а тому ся не учить. Добрѣ же творяще, не мозите ся лѣнити ни на что же доброе, первое к церкви: да не застанеть вас солнце на постели; тако бо отець мой дѣяшет блаженый и вси добрии мужи свершении. Заутренюю отдавше Богови хвалу, и потомъ солнцю въсходящю, и узрѣвше солнце, и прославити Бога с радостью и рече: «Просвѣти очи мои,[28] Христе Боже, иже далъ ми еси свѣтъ твой красный!» И еще: «Господи, приложи ми лѣто къ лѣту, да прокъ, грѣховъ своих покаявъся, оправдивъ животъ», тако похвалю Бога! И сѣдше думати с дружиною, или люди оправливати, или на ловъ ѣхати, или поѣздити, или лечи спати: спанье есть от Бога присужено полудне. Отъ чина бо почиваеть и звѣрь, и птици и человѣци.	Что умеете хорошего, то не забывайте, а чего не умеете, тому учитесь — как отец мой, дома сидя, знал пять языков, оттого и честь от других стран. Леность ведь всему мать: что кто умеет, то забудет, а чего не умеет, тому не научится. Добро же творя, не ленитесь ни на что хорошее, прежде всего к церкви: пусть не застанет вас солнце в постели. Так поступал отец мой блаженный и все добрые мужи совершенные. На заутрене воздавши Богу хвалу, потом на восходе солнца и увидев солнце, надо с радостью прославить Бога и сказать: «Просвети очи мои, Христе Боже, давший мне свет твой прекрасный». И еще: «Господи, прибавь мне год к году, чтобы впредь, в остальных грехах своих покаявшись, исправил жизнь свою»; так я хвалю Бога и тогда, когда сажусь думать с дружиною, или собираюсь творить суд людям, или ехать на охоту или на сбор дани, или лечь спать: спанье в полдень назначено Богом; по этому установленью почивают ведь и зверь, и птица, и люди.
 	РАССКАЗ МОНОМАХА О СВОЕЙ ЖИЗНИ
А се вы повѣдаю, дѣти моя, трудъ свой, оже ся есмь тружалъ, пути дѣя и ловы с 13 лѣт. Первое к Ростову идохъ, сквозѣ вятичѣ,[29] посла мя отець, а самъ иде Курьску; и пакы 2-е к Смолиньску со Ставкомь с Гордятичемъ[30] той пакы и отъиде к Берестию[31] со Изяславомь, а мене посла Смолиньску, то и-Смолиньска идохъ Володимерю.[32] Тое же зимы тои посласта Берестию брата на головнѣ, иде бяху ляхове пожгли, той ту блюдъ городъ тихъ. Та идохъ Переяславлю отцю,[33] а по Велицѣ дни ис Переяславля та Володимерю — на Сутейску[34] мира творитъ с ляхы. Оттуда пакы на лѣто Володимерю опять.	А теперь поведаю вам, дети мои, о труде своем, как трудился я в разъездах и на охоте с тринадцати лет. Сначала я к Ростову пошел сквозь землю вятичей; послал меня отец, а сам он пошел к Курску; и снова вторично ходил я к Смоленску, со Ставком Гордятичем, который затем пошел к Берестью с Изяславом, а меня послал к Смоленску; а из Смоленска пошел во Владимир. Той же зимой послали меня в Берестье братья на пожарище, что поляки пожгли, и там правил я городом утишенным. Затем ходил в Переяславль к отцу, а после Пасхи из Переяславля во Владимир — в Сутейске мир заключить с поляками. Оттуда опять на лето во Владимир.
Та посла мя Святославъ в Ляхы; ходивъ за Глоговы до Чешьскаго лѣса[35], ходивъ в земли ихъ 4 мѣсяци. И в то же лѣто и дѣтя ся роди старѣйшее новгородьское[36]. Та оттуда Турову, а на весну та Переяславлю, таже Турову[37].	Затем послал меня Святослав в Польшу: ходил я за Глогов до Чешского леса, и ходил в земле их четыре месяца. И в том же году и сын родился у меня старший, новгородский. А оттуда ходил я в Туров, а на весну в Переяславль и опять в Туров.
И Святославъ умре,[38] и язъ пакы Смолиньску, а и-Смолиньска той же зимѣ та к Новугороду; на весну Глѣбови в помочь[39]. А на лѣто со отцемь подъ Полтескъ, а на другую зиму с Святополкомъ подъ Полтескъ, — ожьгъше Полтескъ; онъ иде Новугороду, а я с половци на Одрьскъ,[40] воюя, та Чернигову. И пакы и-Смолиньска къ отцю придох Чернигову. И Олегъ приде, из Володимеря выведенъ, и возвах и́ к собѣ на обѣдъ со отцемь в Черниговѣ, на Краснѣмь дворѣ,[41] и вдахъ отцю 300 гривен золота. И пакы и-Смолиньска же пришедъ, и проидох сквозѣ половечьскыи вои, бьяся, до Переяславля, и отца налѣзохъ с полку пришедше. То и пакы ходихомъ, том же лѣтѣ, со отцемь и со Изяславомь битъся Чернигову с Борисомь, и побѣдихомъ Бориса и Олга[42]. И пакы идохом Переяславлю, и стахом во Обровѣ.[43]	И Святослав умер, и я опять пошел в Смоленск, а из Смоленска той же зимой в Новгород; весной — Глебу в помощь. А летом с отцом — под Полоцк, а на другую зиму со Святополком под Полоцк, и выжгли Полоцк; он пошел к Новгороду, а я с половцами на Одреск войною и в Чернигов. И снова пришел я из Смоленска к отцу в Чернигов. И Олег пришел туда, из Владимира выведенный, и я позвал его к себе на обед с отцом в Чернигове, на Красном дворе, и дал отцу триста гривен золота. И опять из Смоленска же придя, пробился я через половецкие войска с боем до Переяславля и отца застал, вернувшегося из похода. Затем ходили мы опять в том же году с отцом и с Изяславом к Чернигову биться с Борисом и победили Бориса и Олега. И опять пошли в Переяславль и стали в Оброве.
И Всеславъ Смолнескъ ожьже, и азъ всѣдъ с черниговци о двою коню, и не застахом... въ Смолиньскѣ. Тѣм же путем по Всеславѣ пожегъ землю и повоевавъ до Лукамля и до Логожьска,[44] та на Дрьютьскъ воюя, та Чернигову.	И Всеслав Смоленск пожег, и я с черниговцами верхом с поводными конями помчался и не застали... в Смоленске. В том походе за Всеславом пожег землю и повоевал ее до Лукомля и до Логожска, затем на Друцк войною и опять в Чернигов.
А на ту зиму повоеваша половци Стародубъ весь, и азъ шедъ с черниговци и с половци, на Деснѣ изьимахом князи Асадука и Саука,[45] и дружину ихъ избиша. И на заутреѣ за Новымъ Городом[46] разгнахомъ силны вои Белкатгина,[47] а семечи и полонъ весь отяхом.[48]	А в ту зиму повоевали половцы Стародуб весь, и я, идя с черниговцами и со своими половцами, на Десне взяли в плен князей Асадука и Саука, а дружину их перебили. И на следующий день за Новым Городом разбили сильное войско Белкатгина, а семечей и пленников всех отняли.
А въ Вятичи ходихом по двѣ зимѣ на Ходоту[49] и на сына его, и ко Корьдну,[50] ходихъ 1-ю зиму. И пакы по Изяславичихъ[51] за Микулинъ,[52] и не постигохом ихъ. И на ту весну къ Ярополку совкуплятъся на Броды.[53]	А в Вятичскую землю ходили подряд две зимы на Ходоту и на сына его и к Корьдну ходили первую зиму. И опять ходили мы и за Ростиславичами за Микулин, и не настигли их. И на ту весну — к Ярополку на совет в Броды.
Том же лѣтѣ гонихом по половьцихъ за Хоролъ,[54] иже Горошинъ[55] взяша.	В том же году гнались за Хорол за половцами, которые взяли Горошин.
И на ту осень идохом с черниговци и с половци, с читѣевичи, к Мѣньску: изъѣхахом городъ, и не оставихом у него ни челядина, ни скотины.	На ту осень ходили с черниговцами и с половцами-читеевичами к Минску, захватили город и не оставили в нем ни челядина, ни скотины.
На ту зиму идохом къ Ярополку совокуплятися на Броды, и любовь велику створихом.	В ту зиму ходили к Ярополку на сбор в Броды и дружбу великую заключили.
