ПРАВДА РОСЬКАЯ	РУССКАЯ ПРАВДА
13. Аще поиметь кто чюжь конь, любо оружие, любо портъ, а познаеть въ своемь миру,[16] то взяти ему свое, а 3 гривнѣ за обиду.	13. Если кто возьмет чужого коня, или оружие, или одежду, а хозяин опознает в своем миру, то взять ему свое, а 3 гривны за обиду.
14. Аще познаеть кто, не емлеть его, то не рци ему: «Мое», нъ рци ему тако:[17] «Поиди на сводъ,[18] гдѣ еси взялъ»; или не поидеть, то поручника за пять днии.	14. Если опознает кто похищенное, то не берет его, и пусть не скажет тому, у кого находится опознанное: «Мое», но скажет ему так: «Пойди на свод, где взял». Если же не пойдет, то пусть предъявит поручителя, что пойдет на свод в течение пяти дней.
15. Аже гдѣ възыщеть на друзѣ проче, а он ся запирати почнеть, то ити ему на изводъ[19] пред 12 человѣка; да аще будеть обидя не вдалъ будеть, достоино ему свои скотъ, а за обиду 3 гривнѣ.	15. Если где-нибудь взыскивают на другом долг, а он начнет отказываться, то идти ему на извод перед 12 человеками; и если окажется, что он несправедливо не отдал ему, то истец должен получить свои деньги, а за обиду 3 гривны штрафа.
16. Аще кто челядинъ пояти хощеть, познавъ свои, то къ оному вести, у кого то будеть купилъ, а тои ся ведеть ко другому, даже доидеть до третьего, то рци третьему: вдаи ты мнѣ свои челядинъ, а ты своего скота ищи при видоцѣ.	16. Если кто хочет забрать челядина, опознав его как своего, то при своде вести к тому, у кого этот последний по времени господин купил, а тот отведется к следующему, пока не дойдут до третьего; тогда пусть скажет третьему: «Отдай мне своего челядина, а свои деньги ты взыщи при свидетеле».
17. Или холопъ ударить свободна мужа, а бѣжить въ хоромъ, а господинъ начнеть не дати его, то холопа пояти, да платить господинъ за нь 12 гривнѣ;[20] а за тымъ, где его налѣзуть удареныи тои мужь, да бьють его.	17. Если холоп ударит свободного человека и убежит в господский дом, а господин его не будет выдавать, то холопа господину взять, и пусть уплатит господин за него 12 гривен, а после того, где тот ударенный человек встретит его, пусть убьет его.
18. А иже изломить копье, любо щитъ, любо портъ, а начнеть хотѣти его деръжати у себе, то приати скота у него; а иже есть изломилъ, аще ли начнеть примѣтати, то скотомъ ему заплатити, колько далъ будеть на немъ.[21]	18. А если кто сломает копье, или щит, или повредит одежду и захочет, чтобы он <хозяин> оставил у себя, то взять с него <виновного> деньги; но если тот, кто сломал, захочет приобрести, то пусть заплатит деньгами столько, сколько господин заплатил за это.
Правда уставлена руськои земли,[22] егда ся съвокупилъ Изяславъ,[23] Всеволодъ,[24] Святославъ,[25] Коснячко,[26] Перенѣгь,[27] Микыфоръ Кыянинъ,[28] Чюдинъ,[29] Микула.[30]	Правда, установленная Русской земле, когда собрались Изяслав, Всеволод, Святослав, Коснячко, Перенег, Никифор Киевлянин, Чюдин, Микула.
19. Аще убьють огнищанина[31] въ обиду, то платити за нь 80 гривенъ убиици, а людемъ не надобѣ; а въ подъѣздъномъ[32] княжи 80 гривенъ.	19. Если убьют огнищанина за обиду, то убийца платит за него 80 гривен, а людям не надо; и за княжеского подъездного 80 гривен.
20. А иже убьють огнищанина в разбои, или убиица не ищуть, то вирное платити, в неиже вири[33] голова начнеть лежати.	20. А если убьют огнищанина в разбое, а убийцу люди не ищут, то виру платить той верви, где лежит убитый.
21. Аже убиють огнищанина у клѣти,[34] или у коня, или у говяда, или у коровьѣ татьбы, то убити въ пса мѣсто.[35] А то же поконъ и тивуницу.	21. Если убьют огнищанина у клети, или у коня, или у быка, или во время кражи коровы, то убить убийцу как собаку. И тот же закон в отношении тиуна.
22. А въ княжи тивунѣ 80 гривенъ.	22. А за княжеского тиуна 80 гривен.
23. А конюхъ старыи у стада 80 гривенъ, яко уставилъ Изяславъ[36] въ своем конюсѣ, егоже убилѣ дорогобудьци.[37]	23. А за старшего конюха при стаде 80 гривен, как постановил Изяслав за своего конюха, когда его убили дорогобужцы.
24. А въ сельскомъ старостѣ княжи и в ратаинѣмъ 12 гривнѣ.	24. А за княжеского сельского старосту и за старосту, который руководит пахотными работами, 12 гривен.
25. А в рядовници[38] княжѣ 5 гривенъ.	25. А за княжеского рядовича 5 гривен.
26. А въ смердѣ[39] и въ холопѣ[40] 5 гривенъ.	26. А за смерда и за холопа 5 гривен.
27. Аще роба[41] кормилица любо кормиличицъ,[42] 12.	27. Если роба-кормилица или кормилец, 12 гривен.
28. А за княжь конь, иже тои с пятномъ, 3 гривнѣ, а за смердѣи 2 гривнѣ, за кобылу 60 рѣзанъ, а за волъ гривну, а за корову 40 рѣзань, а третьякь 15 кунъ, а за лоньщину полъ гривнѣ, а за теля 5 рѣзанъ, за яря ногата, за боранъ ногата.	28. А за княжеского коня, если тот с тавром, 3 гривны, а за коня смерда 2 гривны, за кобылу 60 резан, а за вола гривну, а за корову 40 резан, а за трехлетку 15 кун, а за годовалую полгривны, а за теленка 5 резан, за ягненка ногата, за барана ногата.
29. А оже уведеть чюжь холопъ любо робу, платити ему за обиду 12 гривнѣ.	29. А если кто уведет чужого холопа или робу, то платить ему за обиду 12 гривен.
30. Аще же приидеть кровавъ мужь любо синь, то не искати ему послуха.	30. Если придет человек окровавленный или с синяками, то не искать ему свидетелей.
31. А иже крадеть любо конь, любо волы, или клѣть, да аще будеть единъ кралъ, то гривну и тридесятъ рѣзанъ платити ему; или ихъ будеть 18,[43] то по три гривнѣ и по 30 рѣзанъ платити мужеви.	31. А если кто крадет или коня, или волов, или обкрадывает клеть, то, если один крал, то заплатить ему гривну и тридцать резан; если их будет 18, то платить каждому человеку по три гривны и 30 резан.
32. А въ княжѣ борти[44] 3 гривнѣ, любо пожгуть, любо изудруть.	32. А за княжескую борть 3 гривны, если ее сожгут или выдерут пчел и соты.
33. Или смердъ умучать, а безъ княжа слова, за обиду 3 гривны; а въ огнищанинѣ, и в тивуницѣ, и въ мечници 12 гривънѣ.	33. Если смерда будут истязать, но без княжеского повеления, то 3 гривны за обиду; а за истязание огнищанина, тиуна или мечника 12 гривен.
34. А иже межу переореть любо перетесъ, то за обиду 12 гривнѣ.	34. А если кто запашет межу или затешет межевой знак, то 12 гривен за обиду.
35. А оже лодью украдеть, то за лодью платити 30 рѣзанъ, а продажи 60 рѣзанъ.	35. А если украдет ладью, то за ладью хозяину платить 30 резан, а штрафа князю 60 резан.
36. А въ голубѣ и въ куряти 9 кунъ, а въ уткѣ, и въ гусѣ, и въ жеравѣ, и въ лебеди 30 рѣзанъ; а продажи 60 рѣзанъ.	36. А за голубя и за курицу 9 кун, а за утку, гуся, журавля, лебедя 30 резан, а штрафа князю 60 резан.
37. А оже украдуть чюжь песъ, любо ястребъ, любо соколъ, то за обиду 3 гривны.	37. А если украдут чужого пса, или ястреба, или сокола, то 3 гривны за обиду.
38. Аще убьють татя на своемъ дворѣ, любо у клѣти, или у хлѣва, то тои убитъ; аще ли до свѣта держать, то вести его на княжь дворъ; а оже ли убьють, а люди будуть видѣли связанъ, то платити в немь.	38. Если убьют вора на своем дворе, или у клети, или у хлева, то так тому и быть; если продержат до рассвета, то вести его на княжеский двор; а если его убьют, но люди видели, что он был связан, то платить за него.
39. Оже сѣно крадуть, то 9 кунъ; а въ дровехъ 9 кунъ.	39. Если сено украдут, то 9 кун; и за дрова 9 кун.
40. Аже украдуть овъцу, или козу, или свинью, а ихъ будеть 10 одину овьцу укралѣ, да положать по 60 рѣзанъ продажи; а хто изималъ, тому 10 рѣзанъ.	40. Если украдут овцу, или козу, или свинью, а 10 человек украли одну овцу, то пусть платят по 60 резан штрафа князю, а кто поймал воров, тому 10 резан.
41. А от гривне мечнику куна, а в десятину 15 кунъ, а князю 3 гривны, а от 12 гривну емъцю[45] 70 кунъ, а в десятину 2 гривнѣ, а князю 10 гривенъ.	41. А из гривны мечнику куна, а в десятину 15 кун, а князю 3 гривны; а из 12 гривен ему 70 кун, а в десятину 2 гривны, а князю 10 гривен.
42. А се поконъ вирныи: вирнику взяти 7 вѣдоръ солоду на недѣлю, тъже овенъ любо полоть, или двѣ ногатѣ; а въ среду рѣзану въже сыры, в пятницу тако же; а хлѣба по кольку могуть ясти, и пшена; а куръ по двое на день; конѣ 4 поставити и сути имъ на ротъ, колько могуть зобати; а вирнику 60 гривенъ[46] и 10 рѣзанъ и 12 вѣверици, а передѣ гривна; или ся пригоди в говѣние рыбами, то взяти за рыбы 7 рѣзанъ; тъ всѣхъ кунъ 15 кунъ на недѣлю; а борошна колько могуть изъясти; до недѣли же виру сберуть вирници. То ти урокъ Ярославль.	42. А это закон при сборе виры: вирнику взять 7 ведер солода на неделю, а также барана или полтуши говядины, или две ногаты; а в среду резану или сыры, в пятницу то же, а хлеба и пшена сколько смогут съесть; а вирнику 60 гривен и 10 резан и 12 вирниц, а при въезде гривна, а если приходится на говение кормить рыбами, то считать за рыбы 7 резан; таким образом всех кун 15 на неделю, а хлеба сколько смогут съесть; пусть вирники собирают виру не более недели. Таково постановление Ярослава.
43. А се урокъ мостьниковъ:[47] аще помостивше мостъ, взяти от дѣла ногата, а от городници[48] ногата; аще же будеть ветхаго моста потвердити нѣколико доскъ, или 3, или 4, или 5, то тое же.	43. А это постановление для мостников: если настелят мост, то взять за работу ногату, а за городню ногата; если же у старого моста надо будет починить несколько досок, 3, 4 или 5, то взять столько же.
