МЕСЯЦА НОЕВРИА 5 ДЕНЬ.	МЕСЯЦА НОЯБРЯ В ПЯТЫЙ ДЕНЬ.
Преподобный Михайло от далняа земля новопришед и иного отчества сый странствуя прииде в незнаемъ град ему, аще и величества ради своего вселеннѣй всей отдавна вѣдомъ град и славенъ. Но той тогда первие вниде в сей Великий Новъград, никогдаже преже в нем бывавъ — како ли живущая в нем знаемы ему будуть, яже преже видѣны никогдаже тѣмъ? И тако скоро, яко отдавна ему знаему, и свое присно отроча приемъ, будущая ему възвѣщаваше, аки послану ему ко отрочати Иванови бывшу. И аки сего ради прииде, да благословение Божие подасть ему, не чаемое никогдаже, чисту сердцемъ преподобнику сему и Божиа яко зрящу по Божию словеси. «Блажени бо, — рече, — чистии сердцемъ, яко тѣи Бога узрять».[13] Тѣмъ же не сматряше телесныма очима сиротьства и убожества и худости отрочищу, но яко съвѣт Господень разуменъ ему, и сердечныма очима зря лежащее на немъ благословение. Моляще его и повелѣваше прилѣжно учити книгы, яко хотящу епископьствовати, и подобаеть многое множество божествеными просвѣщати, яко всѣм на нь зрящимъ, да некако не внемлемъ священныхъ книгъ разума. Многому медление подасть препятие кое добрых желательству не по нелѣпотѣ сана. Тако тогда прорече и заповѣда Ионѣ дѣтищу и еще чюдный Михайло.	Преподобный Михаил, из дальней земли пришелец и уроженец иной стороны, странствуя, пришел в незнакомый ему город, хотя своим величием всему свету давно уже известен город этот и славен. Но он тогда впервые пришел в сей Великий Новгород, никогда прежде не бывав в нем, — откуда же жители его известны ему, если он их раньше никогда не видел? И сразу, словно давно знал, — как своего, принял отрока, предсказав тому его будущее, словно послан был он ко отроку Ивану. И словно пришел он ради того, чтобы дать никак не ожидаемое Божие благословение ему, чистому сердцем преподобному, словно видящий божественное по Божьему слову. «Блаженны, — сказано, — чистые сердцем, так как они Бога узрят». Потому-то не взирал он телесными очами на сиротство и убожество и нищету отрока, но, поскольку свет Господень явлен был ему, сердечным взором видел он лежащее на отроке благословение. Молил он его и повелевал прилежно изучать книги, потому что тому, кто будет епископствовать, подобает многое множество народа просвещать божественным, и как бы не оказалось на глазах у всех, что он не понимает смысла священных книг. Это многое замедлит и послужит препятствием в добрых желаниях, а не то, что сан епископский нехорош. Так тогда предсказал и заповедал Ионе, еще ребенку, чудесный Михаил.
И лѣтомъ мнозѣмъ текущимъ и самому пророку почившу, и Иону старость преимаше, обаче слово Божиа человека не мимо хожаше и время прореченое надстояше. По успении бо честнаго Еуфимиа жребием и нарокомъ всѣх людий и изволениемъ всего собора Божие наречение архиепископьства прииде на Иону, и въ епископию възведоша его, радующися добродѣтели мужа и красящеся добронравиемъ того. Утѣшение приемше по добромъ своем пастыри Еуфимии Ионою к митрополитскому послы с ним абие послаша архиепископу и къ князю, молящеся желаемаго имъ пастыря рукоположити.	Прошло много лет, и сам пророк почил, и к Ионе старость подошла, однако слово Божие человека не миновало, и наступила предсказанная пора. Ведь после смерти честного Евфимия избранием и волей всех людей и решением всего собора Божие предназначение архиепископства Ионе сбылось, и возвели его на епископию, радуясь и любуясь его добродетелями и добронравием. После доброго своего пастыря Евфимия, утешаясь Ионой, тотчас послали послов с ним к митрополиту, и архиепископу, и к князю, прося рукоположить желанного им пастыря.
Тогда честному Ионѣ епископу рязаньскому[14] митропольскиа архиепископиа власть своими управися епископы, и той преподобный архиерей Иона митрополиа правя. Древле наречену бывшу ему в митрополию рускую, и благословение патриарше преже принесено ему о семъ, еще живу сущу митрополитскому архиепископу. Ради царей ординьских шатаниа и насилиа татарьская неудобенъ путь къ Царюграду. Еще же и бывшаго ради лукавьства Митяева изволиша общею волею благословение напред приимати,[15] поставленую произбираемымъ в митрополию и рукоположениемъ епископьства преже почтену бывшу донелѣ же живущу митрополиту. Умершу же тому тогда готову сущу нареченному и без труда многаго, епископу сущу, управят митрополию. Посему управися митрополиа честному Ионѣ епископу рязаньскому по Исидорѣ митрополитѣ. Сему же Исидору не по правилу пришедшу,[16] но насильствомъ наскочившу на престолъ, преже бо его пронареченъ на престолъ Иона. Сего ради епископьством усаненъ сей Иона митрополит. Сей же о нем епископъ честнаго собора архиепископа Великому Новуграду нашего Иону радостно подастъ. Доброта бо в нем честных дѣтелий свѣтяшеся и толико подвижеся добродѣтелми на престолѣ своемъ, яко мнѣти его самого Еуфимиа или иже преже преподобно епископьствовавших. Вся бо епископьская тщашеся доброчести исправити и вся на добру жизнь управитися учаше. Самъ первие воображашеся доброжизниемъ и очи свои положи на вдовыа, сироты и на убогыя града, яко сему Иевова приглаголати: «Уста вдовыа благословиша мя, бых сирым аки отець. Не помолчях смирити нечестива, ни увратих суда силнаго ради и много мстих на насильствующемъ, и зяхъ от руку грѣшничю смиренаго, изведох суд нищему».[17] Ако просвѣти жизни своея доброту, яко видѣвшим добрыа его дѣла и славити его ради Бога Отца по евангельскому гласу.	Тогда митрополичья архиепископская власть была вручена собором русских епископов честному Ионе, епископу рязанскому, и тот преподобный архиерей Иона правил митрополией. Уже давно был наречен он митрополитом русским, и было ему дано благословение патриаршее на это, еще при жизни его предшественника митрополита. По причине частых смен ордынских царей и насилия татарского труден был путь до Царьграда; из-за этого, а также из-за бывшего когда-то лукавства Митяева общею волею русских епископов решено было давать избираемому в митрополиты благословение на митрополитство заранее и рукопологать его до поставления в Царьграде, собором епископов, пока еще жив митрополит. И когда тот умрет, то будет вместо него уже нареченный митрополит и беспрепятственно, оставаясь в сане епископа, начнет управлять митрополией. Вот почему управлялась митрополия честным Ионой, епископом рязанским, после Исидора-митрополита. А Исидор этот не честным путем, но насильственно захватил престол, так как раньше него наречен был на престол Иона. Из-за этого и сан епископа имел митрополит Иона. Он же с радостью предложил честному собору нашего Иону в архиепископы Великого Новгорода. Ведь светился тот добротой и честностью и так возвысился добрыми делами на престоле своем, что можно было сравнить его с самим Евфимием или с прежними преподобными епископами. Все, что требовалось от епископа, он стремился честно исполнять и всех на праведный путь наставлял. Сам первый стал образцом благообразной жизни и обратил очи свои на вдовых, сирот и на убогих в городе, как о том сказано Иовом: «Благословили меня уста вдовых, и был я сирым, как отец. Не молчал, чтобы смирить нечестивого, судил я нелицемерно и перед лицом сильных, по заслугам наказывал притеснителей, спасал от грешных рук смиренного, суд судил нищему». Так Иона осветил жизнь свою добротой, и люди, видевшие его добрые дела, прославляли его во имя Бога Отца, по евангельскому слову.
Изволи же ся честному отцѣ Ионѣ архиепископу нашему поновити обитель архимандрита Харитона Отню пустыню, в неиже древле постися, от приходящаго ему имѣниа, но не от церковнаго стяжаниа. От негоже церкви великая строение приемлеть, и епископи и причетницы удовляются, и нищии назирание приемлють. Тогда бо всею лѣпотою все исполнено в велицей церкви и вси урочнии причетницы удовляеми, не лишаеми же и нищии от сего, и невредимо имѣние то снабдимо бѣ. Тому же особъ приходящее имѣние избываемо, имже обнови великодарною десницею Отню пустыню. И лѣпу церковь камену Богови тамо възвидже въ имя святых триех святитель: Василиа Великаго, Григория Богослова, Иоанна Златаустаго;[18] многою лѣпотою украсивъ тую хитрых живописец, священныя иконы поставивъ в ней, ихже добрѣиши не обрѣтеся инъ живописець в то время и во дни наша. Такоже вся стѣны церкви и столпы нарочитыми живописцы подписа и весь олтарь, и пол мрамореном плинфомъ[19] всюду помостивъ. Наипаче же священными книгами преисполнивъ тую: святая Еуангелиа съ златыми писмены и сребром позлащеном хитро покова с каменми честными. И священныа съсуды и от камене изборна и от сребра чиста положи, и священныя одежа свѣтлыи многы украшены с жемчюги съдѣла. К сим же и трапезницу камену созда, присовокупивъ ей и церковь во имя святаго Николы, упокоениа ради в зимныа мразы не могущим терпѣти. Еще же и славному Предтечи церковь созда, к паперти Трем святитель церкви приткнувь, возведе основаниа каменемъ и плинфомъ, да иже до комаръ, верхъ же тоя древесы покры, в неи бо гробъ себѣ ископа. Да не отяжгавъ каменный верхъ, и коею виною не могии поддержатися, и внутрь падшу когда повредить гробъ его и истнитъ гробная и вся яже во гробѣ — и тоя ради вины не камениемъ, но древом покры церковь славнаго Предтечи. Многу бо вѣру имяше к великому и честному Предтечи, ибо и въ имя того наречено ему сущу, и честному празднику его родити матери его приспѣвши. Тѣм же и душу прилпену к нему имѣя яко тако и телеси своему в храмѣ его положитися хотяше, поручая съ душею и тѣло свое святому, неотторжену вѣру и любовь к нему извѣстуя блаженыи. Многая же села покупи обители и рыбная засѣданиа и въкупивъ и въ вся монастыря вѣчныя вклады за ню подавъ сребром да не достаточьная тои и оскудѣваемая, тии от своих преисполнени и утѣшают. Многу и велику тяжесть имѣниа ту истощи и малу сущу обитель велику сотвори, и скудну бывшу велми обогати сию. Толико же любочестенъ о Божиих угодницех и теплъ, яко вся своя особная имѣниа свѣтлости их ради истощевати. Многу же и свѣтлу о немъ добрдѣянию всюду обноситися и всѣм и любимъ и желаемъ, слышащим и видящим сладокъ, кротокъ бо и смиренъ по многу добродѣиственъ ко всѣм.	Честной отец Иона, архиепископ наш, решил на собственные средства, а не из церковных доходов, обновить обитель архимандрита Харитона, Отенскую пустынь, в которой подвизался когда-то. И была им церковь большая перестроена, и епископы с причтом получили все необходимое, а нищие — присмотр и уход. Тогда ведь очень красиво все сделано было в большой церкви, все нанятые причетники достойно вознаграждались и нищих ничем не обошли, а монастырская казна — в целости. Отдельно поступающие к Ионе доходы он отдавал щедрою рукой на обновление Отенской пустыни. И прекрасную каменную церковь Богу поставил в ней во имя трех святителей: Василия Великого, Григория Богослова, Иоанна Златоуста; украсил ее многими украшениями, сделанными искусными мастерами, и поместил в ней святые иконы, которые были написаны изографом, лучше которого не было тогда и не найти в наши дни. Также и все стены церковные, и столпы, и весь алтарь знаменитыми мастерами были расписаны, а пол всюду вымостили мраморной плинфой. Особенно же много вложил он в церковь священных книг: святые Евангелия с золотыми буквами, искусно окованные золоченым серебром и украшенные драгоценными камнями. И священные сосуды из чистого серебра с лучшими камнями в церковь дал, и множество светлых священных одежд, обильно украшенных жемчугом, сделал. К тому же поставил и каменную трапезную, пристроив к ней церковь во имя святого Николы для тех, кто не мог выносить зимнего холода. Еще и во имя славного Предтечи построил он церковь впритык к паперти храма Трех святителей, возведя основание ее вплоть до закомар из камня и плинфы, верх же ее покрыл деревом, а внутри ее выкопал себе гробницу. И для того чтобы каменный свод, по какой-либо причине не удержавшись, не мог упасть внутрь и повредить гробницу его и разрушить гроб и все лежащее в нем, — Иона не камнем, но деревом перекрыл храм преславного Предтечи. Сильную веру имел он в великого и честного Предтечу, так как назван был во имя него — ведь его матери в его святой праздник случилось родить Иону. Поэтому и душа Ионы стремилась к нему, потому и тело свое хотел он в его храме положить, предавая вместе с душой и тело свое святому, свидетельствуя этим о неотторжимой вере и любви к нему. Блаженный купил для обители многие села и рыбные угодья, и во все монастыри вложил вклады серебром за обитель навечно, чтобы небогатые и оскудевающие монастыри пополнить своими приношениями и тем утешить их. Огромные и обильные средства истратил он и превратил малую обитель в большую, бывшую бедной — в богатую. А с какой любовью пекся Иона о Божьих угодниках, ведь все свое собственное имущество он истощил ради них. И вот всюду разнеслась весть о многочисленных прекрасных добрых его делах, и всеми был он любим, всем желанен, слышащим и видящим его — сладок, ибо кроток был и смиренен, ко всем безмерно доброжелателен.
Тѣм же и московьстии князи много любяху его и с говѣниемъ почитаху, и писаниа множицею посылаху к нему, и от него въсписаниа желанно приимаху, бѣяше бо и разуменъ и в словех благъ. Множицею аки и пророчески вѣщати ему. Егда кои увѣщаваеми симъ къ смирению и не преклоняхуся на послушание, запрещениа кая тѣмъ наложити възвѣщаваше, и словесемъ его не погрѣшати николиже, и кротцѣ ему на лукавыа отвѣщавающу. И сего ради вси велможи говѣние велико к нему имѣяху, елма самому ему зѣло благонравну и благодѣиву. И в толицѣ высости сановнѣи мужю древню и сединою многою украшену, гнѣва же и гордѣниа в немъ николи же имуща видяху, велику честь и боязнь к нему соблюдаху.	Оттого-то и московские князья очень любили его и с благоговением почитали, и не раз посылали послания к нему, и от него охотно принимали ответные писания, ибо был он умен и в словах добр. Много раз случалось говорить ему пророчески. Когда же те, кого он призывал к смирению, не преклонялись к послушанию, он велел их наказывать, и его слов никогда не нарушали, а сам он кротостью на зло отвечал. Поэтому все знатные люди относились к нему с великим почтением, так как сам он был благонравен и совершал добрые дела. И занимающего столь высокое положение старца, украшенного сединами, никто не видел в гневе и гордыне, и все высоко чтили его и благоговели перед ним.
Прииде же московский князь в Великий Новъград Василей, сынъ Василиевъ, и с нимъ сынове его Георгий и Андрѣй мирно.[20] И архиепископа посѣщая и дани своя приемля. Преже бо двократы при блаженнемъ Еуфимии ратию приходивъ бѣяше, тогда же миром приде и часто съ архиепископомъ бесѣдоваше и вся по прошению его творяше князь, вѣдый великую его добродѣтель, и словесе устъ его непогрѣшателное. И любя зѣло, почиташе его князь, аки отца, и послушаше его въ всемъ. Тогда же и великое чюдо преподобнаго Варлама сотворися на постелници княжемъ Григории, иже рязаньских боляръ сынъ[21]: от смерти бо того паки жити възведе и от тяжкиа болѣзни нецелимыя вскорѣ здрава его показа. Сему чюдеси самовидци быша — все множество градское и москвичь, всѣх бывших тогда въ граде, и архиепископъ и князь самъ и сынове его, и иже о нем боляре и воеводы. И сие умысли архиепископъ Иона в вѣчныя памяти вписати на увидѣние послѣдним родовомъ, еже и сотвори. Пахомию тогда попу сербину, от Святыя Горы пришелцу[22] живущу у него, книжным слогням искусну. Сему повелѣвъ списати чюдо сие преподобнаго Варлама, одаривъ его множеством сребра, куны[23] же и соболми почтивъ зѣло Пахомиа. Повелѣ же и житие с похвалным словом и канонъ преподобному Варламу списати, еще же и великому Ануфрию такоже послѣдование бдѣнию списати повелѣ, яко храму его внутрь Отни пустыни сущу, еиже и ктиторъ[24] именовася блаженный. Повелѣ же каноны[25] и житиа списати и еще блаженныя княгини Олги началницы христианству в Рустѣи земли, иже въ святом крѣщении Елена наречена, и преподобному Савѣ, создавшему монастырь на Вѣшерѣ рѣкѣ,[26] и преже его бывшему архиепископу блаженному Еуфимию. Не пощадѣвъ имѣниа множество истощевати свѣтлости ради памятем Божиих угодникъ, аки к ним прильпнувъ кто бѣше и добродѣтели их яко любя, сего ради зѣло почиташеть я.	И вот пришел в Великий Новгород московский князь Василий, сын Василия, с миром, чтобы посетить архиепископа и дани свои забрать, а с ним его сыновья Георгий и Андрей. Раньше, при блаженном Евфимии, дважды приходил он с войной, а теперь с миром пришел, и часто беседовал с архиепископом, и все просьбы его исполнял князь, зная о его глубокой добродетели и о непогрешимости слов, исходящих из его уст. И, крепко возлюбя, князь почитал его, словно отца, и слушался его во всем. Тогда же и великое чудо преподобного Варлаама свершилось над княжеским постельничим Григорием, который был сыном рязанских бояр: тогда ведь Варлаам из мертвых вернул его к жизни и от тяжелой неисцелимой болезни быстро вылечил. Очевидцами этого чуда было множество горожан, и все москвичи, случившиеся тогда в городе, и архиепископ, и сам князь, и сыновья его, и бывшие при нем бояре и воеводы. И задумал архиепископ Иона записать это для вечной памяти, чтобы знали об этом следующие поколения, что и было сделано. Тогда жил при нем поп Пахомий, серб, пришелец из Святой горы, мастер книжных сочинений. Ему-то и повелел он описать это чудо преподобного Варлаама, одарив Пахомия множеством серебра и наградив его щедро кунами и соболями. Повелел он составить и житие с похвальным словом, и канон преподобному Варлааму, а также и великому Онуфрию — службу по чину, поскольку в Отенской пустыни стоял его храм, ктитором которого был сам блаженный. Повелел Иона составить житие и каноны блаженной княгине Ольге, первой христианке в Русской земле, нареченной в святом крещении Еленой, и житие преподобного Саввы, основавшего монастырь на Вишере-реке, и житие бывшего до него архиепископом блаженного Евфимия. Не пожалел он многие богатства истратить ради светлой памяти Божьих угодников, которым предан был, любил их за добродетели и весьма чтил их.
Бысть же зовому быти блаженному архиепископу нашему Ионѣ митрополитскымъ архиепископом Ионою и князьми Василиемъ и Иваном в Москву к себѣ ити.[27] Ионѣ же архиепископу нашему и старостию одерджиму яко труд великъ ему к толицѣ долготѣ путние, обаче жалость людей своих понуди его толикъ труд пути подъяти. Вѣдяше бо ковъ на люди своя и на град зависти око поощряемо, подвижеся со обычною своею простотою и смиренемъ помощи граду и людемъ — добрый воистину пастырь душу свою за овца своя готовъ положити! Бывшу же ему близ Москвы аки шестьдесят поприщь,[28] въспомянувъ Сергиа преподобнаго,[29] иже в Маковцѣ. Ту к нему завѣщание положи, любве юже отдавна имѣя и храмъ почести съ избранными равно преподобнаго, не бяше бо и еще храма гдѣ въ имя преподобнаго Сергиа.	И вот архиепископ митрополии Иона и князья Василий и Иван позвали блаженного архиепископа нашего Иону прийти к ним в Москву. И хотя архиепископу нашему Ионе из-за старости тяжко было это столь долгое путешествие, однако забота о людях своих понудила его пуститься в этот нелегкий путь. Знал ведь он, что строятся из зависти злые козни против людей его и города, поэтому-то с присущей ему простотой и смирением пришел он на помощь городу и людям, воистину — добрый пастырь, готовый душу свою положить за овец своих! Когда же он находился в шестидесяти поприщах от Москвы, то вспомнил преподобного Сергия, что в Маковце. И из любви, которую давно питал к нему, тут и дал обет возвести храм в честь преподобного наравне с другими избранными святыми, потому что нигде еще не было храма во имя преподобного Сергия.
Егда же приближающю ся блаженному ко граду Москвѣ аки за три поприща, ту устрѣтоша его нѣции отъ боляръ княжих повелѣнием князеи и нѣколико честных игуменъ повелѣниемъ митрополита. И вшедшу ему въ град любезно прият бысть блаженным Ионою митрополитомъ и зѣло почтенъ. Приде же и къ князю, тако же любезно прият бысть и лѣпотною честию почтенъ усрѣтенми частыми свѣтлыми: внѣ двора княжа и внутрь боляры, на степенех же сынове княжи по чину своему усрѣтаху и под руцы водяще его, в преддверия же и самъ князь изыде въ срѣтение архиепископу и поддержа десницю его князь, вниде с нимъ в княжьская своя храмы. И елики тяжести даровъ принесены быша архиепископомъ радостно прият князь. Елико же пребысть время в Москвѣ, многою честию присно почитаемъ и от князя и митрополита и собирающеся церковная исправляху. Медлящу же князю отпустити архиепископа нашего Иону въ град свой, яко жалящу князю на град его, тѣм же и запиная от мнозѣ ему.[30] Та же и множицею посылаше нарѣчие князь архиепископу боляры своими ласкаше и жаля на гражаны его, аки не по нелѣпотѣ от них чтомъ, и аще посулит ему въздвигнути руку на град свой.	Когда же блаженный подошел к городу Москве на расстояние трех поприщ, то по повелению князя и митрополита встретили его здесь княжеские бояре и досточтимые игумены. А когда вошел в город, то любезно и с большими почестями был принят блаженным Ионою-митрополитом. И когда пришел к князю, также любезно и с большой честью принят был им: вне княжеского двора и внутри него радостно встречали его бояре, на ступенях княжеские сыновья, каждый соответственно своему титулу, встретили Иону, ведя его под руки, а в дверях уже сам князь вышел навстречу архиепископу и, поддерживая его за правую руку, вместе с ним вошел в свои княжеские палаты. И с радостью принял князь все многие дары, что принес с собой архиепископ. Во все время пребывания Ионы в Москве много почестей было ему оказано князем, и митрополитом, и собиравшимися на церковные службы. Князь медлил отпускать архиепископа нашего Иону в город его, ибо имел он обиду на этот город, потому и Иону всячески задерживал. Не раз оказывал князь милость архиепископу через бояр своих, но негодовал на жителей его города за то, что те не воздают ему подобающих почестей, и грозился поднять руку на город свой.
Нѣкогда же бывшема вкупѣ, князю Василию и сынове его князю Ивану и преподобныма архиепископома Ионѣ митрополиту и владыки нашему Ионѣ, велику жалость князь изложи предъ святители на Великий Новъград, аки презираемъ от него, а ему великого княжениа власть над князьми рускими предержащу и сего ради искаше подъяти руцѣ на Великий Новъград. Иона же владыка отвѣщаваше за град и многа утѣшителная словеса въ увѣщание князя предглаголаше. Елма же князь неутѣшиму жалость имѣя ярость приимаше помногу, тогда старець подвих ся духомъ, свидѣтеля полагая митрополита, паче же самого того иже священьства духа аки зря, и вѣщаше, аще не приведеть от града его зависти ока, не приложит на любовную дѣтель и презрѣ молящася его о градѣ, въздвигнеть руку на послушныя его люди и ничѣмже обидѣвшая его раздѣляти неправедно произыдет, — да вонмем и себѣ, — егда како и в чадех его зависти око узрит коеи раздѣлениа послѣди близ будеть. «Нынѣ же молитву мою услыши, — глаголаше, — и блажаишее въсприими, яко князь благочествъ паче же и над князи много благодѣяти мощну сущу. Неправды коея клевет ради нечестивых языкъ на правдивыя не подвигни и тихима очима своя повинныя сматряй и свободныя на работу приимати не начинай. Тебѣ самому дние приближаются, яко сынови же твоему Ивану хоругви рускиа съдержати, о семъ молитвы со всѣми своими къ всесилному Богови прилѣжно възносити потщуся. Наипаче же свободу сынови твоему от ординьских царей приати от Бога испрошу за свободу града моего, еже о тебѣ, еще же молитвую Господеви възвысити десницу сына Твоего над всѣми и покорити ему вся супостаты его, и больши прародителей прославитися властию и укрѣпитися княжению его в руку его и простертися силы его на многы, и страны великиа приати ему точию аще благочестивѣ поживет, и тихима очима владомыя смотрѣти будеть».	Как-то, когда собрались вместе князь Василий с сыном своим, князем Иваном, и преподобные архиепископы Иона-митрополит и владыка наш Иона, поведал князь святителям о своей глубокой обиде на Великий Новгород за то, что не почитает тот его, имеющего власть великого княжения над русскими, и потому решился он поднять руку на Великий Новгород. Иона же владыка отвечал за свой город и сказал князю в утешение много успокоительных слов. И так как князь был полон неостывающей обидой и великим гневом, то старец собрался с духом, и беря в свидетели митрополита, а скорее словно самого духа священства видя, сказал, что если не отведет князь от города его яростного ока, не сменит гнев на милость, и пренебрежет его мольбой о городе, и обрушит руку на послушных ему людей, и несправедливо будет судить ничем не обидевших его, тогда — вдумаемся в это — увидит и в детях его зависть, а вскоре за тем и раздоры. «Ныне же услышь мою просьбу, — говорил Иона, — и увещевания мои прими, как благочестивый князь и превосходящий других князей во многих добрых делах. Из-за какой-либо нечестивой клеветы не накажи невиновных, спокойно взирай на повинных и не отдавай в рабство свободных людей. Ведь для тебя самого приближаются дни, когда твой сын Иван возьмет в свои руки русские знамена, и об этом стремлюсь я вместе со всеми своими людьми усердно возносить молитвы к всесильному Богу. А больше всего прошу у Бога освобождения твоему сыну от ордынских царей за свободу моего города, а для тебя еще прошу, чтобы возвысил Господь десницу сына твоего надо всеми, и покорил он всех своих врагов, и чтобы прославился он больше предков своих, и чтобы княжеская власть укрепилась в его руках, и распространилась далеко, и чтобы сильные государства подчинились ему, если только будет жить он благочестиво и на подданных смотреть милостивым оком».
О сем пророчествѣ святителя старца услади князь и возвеселися зѣло о обѣщании свбоды сынови своему отъ ординьских царей, вѣдый непогрѣшателное словесъ его. И внят о чадех любезных радостно, пред митрополитомъ обѣща архиепископу снабдѣти люди его, и всякъ гнѣвъ отложивъ, миръ Великому Новуграду дарова, утвердивъ смирение. Прошаше же князь у святителя тверду быти обѣщанию Ионину сынови его. Споспѣшествоваше же вси еи блаженныи митрополитъ, и тако уповавшу Господню обѣщанию, якоже въ святемъ Евангелии сказася: «Аще два отъ вас совѣщаетася о всякой вещи, еже аще просита, будеть вама отъ Отца моего Небеснаго, моляще же ся отпущаите аще что имате на кого».[31] Сице князь жалость и гнѣвъ остави граду. Святителя же тезоименная молитися совѣщаста о прошении князя, еже приати свободу отъ мучительства ординьских царей и татаръ и укрѣпитися в руку его руским хоругвам. По умолчании же всѣх прослезися всеосвященны старець и проплака. Князь и митрополит о семъ велми дивящеся желѣста увидѣти от него вину плачя его. Той же рече: «Кто озлобит людии моих толикое множество или кто смирить таковое величество града моего, аще не усобицы их смятуть их и разделение их низложить их, и лесть неправды расточить их, и лукавьство зависти развѣеть их. Обаче во дни моя да дасть Господь мир и тишину и благословение людемъ моимъ». Тогда же архиепископъ Иона прошение предложи у обою князю монастырю своему управити суди, да снабдимъ будеть от насила многых и от самѣх намѣстниковъ их и сами, и поселяне, и работницы монастырьстии всѣ да не судими будуть. Проувидѣ бо духомъ, яко людемъ его невозможно до конца содержати в свободѣ града своего продерзовающияся ради неправды в них и насилиа, сего ради взыска Отни пустыни свободу во вѣкы. Князи же таковое прошение радостно даруют, архиепископу грамоту списавше таковаго повелѣниа и печятавше обою князю въображениемъ надвою позлащеною печатию. Тогда же и самъ князь Василие вѣровавъ обѣщанным ему от святителя, духовную грамоту списа, уставляа сыномъ своим и женѣ своеи грады во власти и како дани подаяти тѣм великому их князю, вящшему сынови его Ивану. Егда и еще ординьстии цари шатающеся будуть и яко не даяти тѣм тѣмъ дани великому их князю внегда потребить Господь с лица руских князей.	Этим пророчеством святителя старца усладился князь и обрадовался очень предсказанию освобождения сына его от власти ордынских царей, зная пророческую силу слов Ионы. И, с радостью восприняв слова о детях любимых, обещал архиепископу при митрополите охранять его людей и, уняв весь свой гнев, утвердив мир, его Великому Новгороду даровал. И просил князь у святителя твердого исполнения обещания Ионы сыну его. Помогал в этом и блаженный митрополит, и так они уповали на обещания Господа, ибо в святом Евангелии сказано: «Если двое вместе захотят просить о чем-либо, то чего бы ни попросили — даст вам Отец мой Небесный», и «когда стоите на молитве, прощайте, если что имеете на кого». Так и князь обиду и гнев на город оставил. А оба тезоименитых святителя стали молиться о прошении князя, чтобы получил он свободу от мучений татар и ордынских царей и чтобы утвердились в его руках русские знамена. А когда все замолчали, прослезился пресвятой старец и заплакал. Князь и митрополит очень удивились этому, желая узнать от него причину плача его. Он же сказал: «Никто не обидит такое множество людей моих, никто не смирит величия города моего, если только не раздерут их усобицы, не погубят их раздоры, не разведет их коварный обман, не развеет их зависть и хитрость. Однако при моей жизни да пошлет Господь мир и тишину и благословение людям моим». Тогда же архиепископ Иона просил обоих князей дать право своему монастырю самому решать свои дела, чтобы оградить монастырь от всякого притеснения и от самих княжеских наместников и чтобы всех крестьян и работников монастырских не судили. Ибо видел он в душе, что его люди не смогут из-за лжи и насилия удержать свободным до конца город свой, и просил для Отенской пустыни независимости навсегда. И вот князья с радостью исполняют эту просьбу, составив о том грамоту архиепископу и скрепив ее двойной позолоченной печатью с изображением обоих князей. Тогда же и сам князь Василий, поверив в обещанное ему от святителя, духовную грамоту составил, указав своим сыновьям и жене города во владение и то, какую им дань давать будущему великому князю, старшему сыну Ивану. А если же ордынские цари будут подстрекать их, чтобы не давали дани великому князю, тогда прогонит их Господь от лица русских князей.
И тако съ многою честию и говѣниемъ князи отпустиша архиепископа нашего Иону. И свѣтло провожение преподобному князь и сынове его и боляре их сотвориша. И блаженныи Иона митрополитъ многу любовь к нему имѣя, такоже и князи великою любовию обиаты зряще на немъ во смирении великъ разумъ и кротость благообычаиное нрава. Съ сими же и добродѣтелна старца помногу толика благодать от Бога даровася ему пред всѣми зрящими его и слышащими, никтоже возборашеть его, но паче говѣяху к нему стыдящеся добродѣтелии его и вси боящеся непогрѣшателнаго словесе устъ его.	И так с большими почестями и благоговением отпустили князья архиепископа нашего Иону. Князь с сыновьями и их бояре устроили торжественные проводы преподобному. И блаженный Иона-митрополит глубокую любовь к нему питал, также и князья были полны любви, видя в смирении Ионы мудрость и кротость, благодушный нрав добродетельного старца. И столь глубокая благодать была дарована ему от Бога перед всеми видящими и слышащими его, что никто не оспоривал его, но еще сильнее преклонялись перед ним, устыдясь его добродетелей, и все боялись непогрешимых слов уст его.
