СУД ЯРОСЛАВЛЬ ВОЛОДИМѢРИЧЬ.	СУД ЯРОСЛАВА ВЛАДИМИРОВИЧА.
10. О вирах. Аже будеть вира во 80 гривенъ, то вирнику 16 гривенъ и 10 кунъ и 12 вѣкши, а переди съсадная гривна, а за голову 3 гривны.	10. О вирах. Если вира 80 гривен, то вирнику 16 гривен и 10 кун и 12 векш, а ранее — ссадная гривна, а за убитого — 3 гривны.
11. О княжи отроци. Аже въ княжи отроци или в конюсѣ, или в поварѣ, то 40 гривенъ.	11. О княжеском отроке. Если за княжеского отрока, или за конюха, или за повара, то <вира> 40 гривен.
12. А за тивунъ за огнищныи и за конюшии, то 80 гривенъ.	12. А за тиуна огнищного и за конюшего — 80 гривен.
13. А в сельскомь тивунѣ княжѣ или в ратаинѣмь, то 12 гривенъ.	13. А за тиуна княжеского сельского или руководящего пахотными работами — 12 гривен.
14. А за рядовича 5 гривенъ. Тако же и за боярескъ.	14. А за рядовича — 5 гривен. Столько же и за боярского <рядовича>.
15. О ремественицѣ и о ремественицѣ. А за ремественика и за ремественицю, то 12 гривенъ.	15. О ремесленнике и ремесленнице. А за ремесленника и за ремесленницу — 12 гривен.
16. А за смердии холопъ[8] 5 гривенъ, а за робу 6 гривенъ.	16. А за смерда и холопа 5 гривен, а за робу — 6 гривен.
17. А за кормилця 12 гривенъ, тако же и за кормилицю, хотя си буди холопъ, хотя си роба.	17. А за кормильца 12 гривен, столько же и за кормилицу, хотя это будет холоп или роба.
18. О поклепнѣи вирѣ. Аще будеть на кого поклепная вира, то же будеть послуховъ 7, то ти выведуть виру, паки ли варягъ или кто инъ, то два.	18. О недоказанном обвинении в убийстве. Если на кого будет недоказанное обвинение в убийстве, то выставить 7 свидетелей, чтобы они отвели обвинение; если же <обвиняемый> варяг или какой иной <иноземец>, то выставить двух свидетелей.
19. А по костехъ и по мертвеци не платить верви, аже имене не вѣдають, ни знають его.	19. А за останки и за мертвеца, если не ведомо его имя и он неизвестен, то вервь не платит.
20. Аже свержеть виру. А иже свержеть виру, то гривна кунъ сметная отроку; а кто и клепалъ, а тому дати другую гривну; а от виры помочьнаго 9[9] кунъ.	20. Если отведет обвинение в убийстве. А если кто отведет обвинение в убийстве, то дает отроку гривну кун за оправдание; а кто его недоказанно обвинил, то тому дать другую гривну, а за помощь в отведении обвинения в убийстве 9 кун.
21. Искавше ли послуха и не налѣзуть истьця начнеть головою клепати, то ти имъ правду желѣзо.[10]	21. Если ищут свидетеля и не найдут, а истец обвиняет в убийстве, то рассудить их испытанием железом.
22. Тако же и во всѣхъ тяжахъ, в татбѣ и в поклепѣ; оже не будеть лиця, то тогда дати ему желѣзо из неволи до полугривны золота;[11] аже ли менѣ, то на воду,[12] оли то до дву гривенъ, аже мене, то ротѣ ему ити по своѣ куны.	22. Так же и во всех судебных делах, о воровстве и о клевете, если не будет поличного, а иск не менее полугривны золота, то тогда принудительно привести ответчика к испытанию железом; если же менее значительный иск, то к испытанию водой; если до двух гривен или менее, то идти ему на судебную клятву в отношение своих кун.
23. Оже кто ударить мечемь. Аже кто ударить мечемь, не вынезъ его, или рукоятию, то 12 гривенъ продажи за обиду.	23. Если кто ударит мечом. Если кто ударит мечом, не обнажив его, или рукоятью, то 12 гривен штрафа в пользу князя за обиду.
24. Аже ли вынезъ мечь, а не утнеть, то гривна кунъ.	24. Если же, вынув меч, не ударит, то гривна кун.
25. Аже кто кого ударить батогомь, любо чашею, любо рогомь, любо тылѣснию, то 12 гривенъ.	25. Если кто кого ударит батогом, или чашей, или рогом, или тыльной стороной оружия, то 12 гривен.
26. Не терпя ли противу тому ударить мечемь, то вины ему в томь нѣтуть.	26. Если кто, не утерпев, ударит мечом того, кто нанес удар, то вины ему в этом нет.
27. Аче ли утнеть руку, и отпадеть рука или усохнеть или нога, или око, или нос утнеть,[13] то полувирье 20 гривенъ, а тому за вѣкъ 10 гривенъ.	27. Если посечет руку, и отпадет рука или усохнет, или нога, или глаз или нос повредит, то полувиры 20 гривен, а пострадавшему за увечье 10 гривен.
28. Аже перстъ утнеть кии любо, 3 гривны продажѣ, а самому гривна кунъ.	28. Если повредит какой-либо палец — 3 гривны штрафа князю, а пострадавшему гривна кун.
29. А придеть кровавъ мужь. Аже придеть кровавъ мужь на дворъ или синь, то видока ему не искати, но платити ему продажю 3 гривны; аще ли не будеть на немь знамения, то привести ему видокъ слово противу слова; а кто будеть почалъ, тому платити 60 кунъ; аче же и кровавъ придеть или будеть самъ почалъ, а вылѣзуть послуси, то то ему за платежь, оже и били.	29. Если придет окровавленный человек. Если придет на <княжеский> двор человек окровавленный или избитый до синяков, то не искать ему свидетелей, а платить ему <виновному> штраф князю 3 гривны; если следов побоев нет, то привести ему свидетеля в соответствии со словами его показания; а кто начал драку, тому платить 60 кун, если даже и придет окровавленный <человек>, но он сам начал, и придут свидетели, то за это ему платить, хотя его же и били.
30. Аже ударить мечемь, а не утнеть на смерть, то 3 гривны, а самому гривна за рану же лѣчебное, потнеть или на смерть, а вира.	30. Если <кто> ударит мечом, но не зарубит насмерть, то 3 гривны, а самому <пострадавшему> гривна за рану на лечение, если зарубит насмерть, то платить виру.
31. Аче попъхнеть мужь мужа любо к собѣ ли от собе, любо по лицю ударить, ли жердью ударить, а видока два выведуть, то 3 гривны продажи; аже будеть варягъ или колбягъ, то полная видока вывести и идета на роту.	31. Если человек толкнет человека к себе или от себя, или по лицу ударит, или жердью ударит, и представят двух свидетелей, то 3 гривны штрафа князю; если будет варяг или колбяг, то вывести на суд свидетелей сполна <тоже двух> и пусть они идут на судебную клятву.
32. О челяди. А челядинъ скрыеться, а закличють и на торгу, а за 3 дни не выведуть его, а познають и третии день, то свои челядинъ поняти, а оному платити 3 гривны продажи.	32. О челяди. Если челядин скроется, и объявят о нем на торгу, а в течение 3 дней его не вернут, то, если опознают его на третий день, <господину> забрать своего челядина, а тому <укрывателю> заплатить 3 гривны штрафа князю.
33. Аже кто всядеть на чюжь конь. Аже кто всядеть на чюжь конь не прашавъ, то 3 гривны.	33. Если кто сядет на чужого коня. Если кто сядет на чужого коня без спросу, то 3 гривны.
34. Аче кто конь погубить, или оружье, или портъ, а заповѣсть на торгу, а послѣ познаеть въ своемь городѣ, свое ему лицемь взяти, а за обиду платити ему 3 гривны.	34. Если у кого пропадет конь, оружие или одежда и он объявит о том на торгу, а после опознает пропажу в своем городе, то взять ему свое наличием, а за ущерб платить ему 3 гривны.
35. Аже кто познаеть свое, что будеть погубилъ или украдено у него что, или конь, или портъ, или скотина, то не рци и: «Се мое», но поиди на сводъ, кдѣ есть взялъ, сведитеся, кто будеть виноватъ, на того татба снидеть; тогда онъ свое возметь, а что погибло будеть с нимь, то же ему начнеть платити; аще будеть коневыи тать, выдати князю на потокъ; паки ли будеть клѣтныи тать, то 3 гривны платити ему.	35. Если кто познает свое, что у него пропало или было украдено, или конь, или одежда, или скотина, то не говори тому <у кого пропажа обнаружена>: «Это мое», но пойди на свод, где он взял, пусть сойдутся <участники сделки и выяснят>, кто виноват, на того и падет обвинение в краже; тогда истец возьмет свое, а что пропало вместе с этим, то ему виновный выплатит; если будет конокрад, то выдать его князю на изгнание; если вор, обокравший клеть, то ему платить 3 гривны.
36. О сводѣ. Аже будеть во одиномь городѣ, то ити истьцю до конця того свода; будеть ли сводъ по землямъ, то ити ему до третьяго свода; а что будеть лице, то тому платити третьему кунами за лице, а с лицемь ити до конця своду, а истьцю ждати прока, а кдѣ снидеть на конечняго, то тому все платити и продажю.	36. О своде. Если будет <свод> в одном городе, то идти истцу до конца этого свода; если будет свод по <разным> землям, то идти ему до третьего свода; а в отношении наличной <краденой> вещи, то третьему <ответчику> деньгами платить за наличную вещь, а с наличной вещью идти до конца свода, а истец пусть ждет остального <из пропавшего>, а где обнаружат последнего <по своду>, то тому платить за все и штраф князю.
37. О татбѣ. Паки ли будеть что татебно купилъ в торгу, или конь, или портъ, или скотину, то выведеть свободна мужа два или мытника; аже начнеть не знати, у кого купилъ, то ити по немь тѣмъ видокомъ на роту, а истьцю свое лице взяти; а что с нимь погибло, а того ему желѣти, а оному желѣти своихъ кунъ, зане не знаеть у кого купивъ; познаеть ли на долзѣ, у кого то купилъ, то своѣ куны возметь, и сему платити, что у него будеть погибло, а князю продажю.	37. О воровстве. Если <кто> купил что-либо ворованное на торгу, или коня, или одежду, или скотину, то пусть он выведет свидетелями двух свободных человек или сборщика торговых пошлин; если же он не знает, у кого купил, то пусть те свидетели идут на судебную клятву в его пользу, а истцу взять свое украденное; а что вместе с этим пропало, то о том ему лишь сожалеть, а ответчику сожалеть о своих деньгах, поскольку не знает, у кого купил краденое; если позднее ответчик опознает, у кого это купил, то пусть возьмет у него свои деньги, а тому платить <за все>, что у него <ответчика> пропало, а князю штраф.
38. Аже познаеть кто челядь. Аще познаеть кто челядинъ свои украденъ, а поиметь и, то оному вести и по кунамъ до 3-го свода; пояти же челядинъ в челядина мѣсто, а оному дати лице, ать идеть до конечняго свода, а то есть не скотъ, нѣ лзѣ рчи: «Не веде, у кого есмь купилъ», но по языку ити до конця; а кдѣ будеть конечнии тать, то опять воротить челядина, а свои поиметь, и проторъ тому же платити, а князю продажѣ 12 гривенъ в челядинѣ или украдше.	38. Если кто опознает <свою> челядь. Если кто опознает своего украденного челядина и вернет его, то он должен вести его по денежным сделкам до третьего свода и взять у третьего ответчика челядина вместо своего, а тому дать опознанного: пусть идет до последнего свода, потому что он не скот, нельзя ему говорить: «Не знаю, у кого я куплен», но идти по показаниям челядина до конца; а когда будет выявлен истинный вор, то опять вернуть господину украденного челядина, а третьему ответчику взять своего, и за ущерб <истцу> тому же вору платить, а князю 12 гривен штрафа за кражу челядина.
39. О сводѣ же. А ис своего города в чюжю землю свода нѣтуть, но тако же вывести ему послухи любо мытника, передъ кимь же купивше, то истьцю лице взяти, а прока ему желѣти, что с нимь погибло, а оному своихъ кунъ желѣти.	39. О своде же. А из своего города в чужую землю свода нет, но также представить <ответчику> свидетелей или сборщика пошлин, перед которым была совершена покупка, а истцу взять наличное, а об остальном, что с ним пропало, только сожалеть, а тому, кто купил краденое, сожалеть о своих деньгах.
40. О татьбѣ. Аже убиють кого у клѣти или у котороѣ татбы, то убиють во пса мѣсто; аже ли и додержать свѣта, то вести на княжь дворъ; оже ли убиють и, а уже будуть людие связана видѣли, то платити в томь 12 гривенъ.	40. О воровстве. Если убьют кого-либо у клети или во время какого иного воровства, то его можно убить как собаку; если продержат его до рассвета, то вести на княжеский двор; если же убьют его, а люди видели его уже связанным, то платить за него 12 гривен.
41. Аже крадеть кто скотъ въ хлѣвѣ или клѣть, то же будеть одинъ, то платити ему 3 гривны и 30 кунъ; будеть ли ихъ много, всѣмъ по 3 гривны и по 30 кунъ платити.	41. Если кто крадет скот в хлеве или клеть, то если один <крал>, то платить ему 3 гривны и 30 кун; если же их много <крало>, то всем платить по 3 гривны и по 30 кун.
42. О татбѣ же. Аже крадеть скотъ на поли, или овцѣ, или козы, ли свиньи, 60 кунъ; будеть ли ихъ много, то всѣмъ по 60 кунъ.	42. О воровстве же. Если крадет скот в поле, или овец, или коз, или свиней, то 60 кун; если воров будет много, то всем по 60 кун.
43. Аже крадеть гумно или жито въ ямѣ, то колико ихъ будеть крало, то всѣмъ по 3 гривны и по 30 кунъ.	43. Если крадет на гумне или зерно в яме, то сколько их крало, всем по 3 гривны и по 30 кун.
44. А у него же погибло, то оже будеть лице, лице поиметь, а за лѣто возметь по полугривнѣ.	44. А у кого <что> пропало, но будет <обнаружено> в наличии, пусть наличное возьмет, а за <каждый> год пусть возьмет по полугривне.
45. Паки ли лиця не будеть, а будеть былъ княжь конь, то платити за нь 3 гривны, а за инѣхъ по 2 гривны.	45. Если же наличного не будет, а это был княжеский конь, то платить за него 3 гривны, а за других по 2 гривны.
А се уроци скоту. Аже за кобылу 60 кунъ, а за волъ гривна, а за корову 40 кунъ, а за третьяку 30 кунъ, за лоньщину пол гривны, за теля 5 кунъ, а за свинью 5 кунъ, а за порося ногата, за овцю 5 кунъ, за боранъ ногата, а за жеребець, аже не всѣдано на нь, гривна кунъ, за жеребя 6 ногатъ, а за коровие молоко 6 ногатъ;[14] то ти уроци смердомъ, оже платять князю продажю.	А это постановление о скоте. За кобылу — 60 кун, а за вола — гривна, а за корову — 40 кун, а за трехлетку — 30 кун, за годовалого — полгривны, за теленка — 5 кун, за свинью — 5 кун, а за поросенка — ногата, за овцу — 5 кун, за барана — ногата, а за жеребца, если он необъезжен — гривна кун, за жеребенка — 6 ногат, за коровье молоко — 6 ногат; это постановление для смердов, если платят князю штраф.
46. Аже будуть холопи татье, судъ княжь. Аже будуть холопи татие любо княжи, любо боярьстии, любо чернечь, их же князь продажею не казнить, зане суть не свободни, то двоиче платить ко истьцю за обиду.	46. Если окажутся воры холопами, то суд княжеский. Если окажутся воры холопами, или княжескими, или боярскими, или принадлежащими монахам, то их князь штрафом не наказывает, потому что они несвободны, но пусть вдвойне платит <их господин > истцу за ущерб.
47. Оже кто кунъ взищеть. Аже кто взищеть кунъ на друзѣ, а онъ ся начнеть запирати, то оже на нь выведеть послуси, то ти поидуть на роту, а онъ возметь своѣ куны; зане же не далъ ему кунъ за много лѣтъ, то платити ему за обиду 3 гривны.	47. Если кто денег взыщет <на ком-либо>. Если кто взыщет на другом денег, а тот станет отказываться, то если <истец> выставит против него свидетелей, а те пойдут на судебную клятву, то пусть он возьмет свои деньги; а поскольку <ответчик> не отдавал ему деньги в течение многих лет, то заплатить ему за ущерб 3 гривны.
48. Аже кто купець купцю дасть в куплю куны или в гостьбу, то купцю пред послухи кунъ не имати, послуси ему не надобѣ, но ити ему самому ротѣ, аже ся почнеть запирати.	48. Если какой-либо купец даст другому купцу денег для местных торговых сделок или для дальней торговли, то купцу не нужно предъявлять деньги перед свидетелями, свидетели ему <на суде> не нужны, но идти ему самому на судебную клятву, если <ответчик> станет запираться.
49. О поклажаи. Аже кто поклажаи кладеть у кого любо, то ту послуха нѣтуть, но оже начнеть болшимь клепати, тому ити ротѣ, у кого то лежал товаръ: «А толко еси у мене положилъ», зане же ему въ бологодѣлъ и хоронилъ товаръ того.	49. О товаре, данном на хранение. Если кто кладет товар на хранение у кого-либо, то здесь свидетель не нужен, но если <положивший товар на хранение> станет необоснованно требовать большего, то идти на судебную клятву тому, у кого товар лежал, <и пусть скажет>: «Ты у меня положил именно столько, <но не более>», ведь он его благодетель и хранил товар его.
50. О рѣзѣ. Аже кто даеть куны в рѣзъ, или наставъ в медъ, или жито во просопъ, то послухи ему ставити: како ся будеть рядилъ, тако же ему имати.	50. О проценте. Если кто дает деньги под проценты, или мед с возвратом в увеличенном количестве, или зерно с возвратом с надбавкой, то следует ему представить свидетелей: как договаривались, так ему и получить.
51. О мѣсячнѣмь рѣзѣ. А мѣсячныи рѣзъ, оже за мало, то имати ему; заидуть ли ся куны до того же года, то дадять ему куны въ треть,[15] а мѣсячныи рѣзъ погренути.	51. О месячном проценте. А месячный процент брать ему <кредитору>, если <договорились> о малом <сроке>; если же деньги не будут выплачены в срок, то дают ему деньги в треть, а от месячного процента отказаться.
52. Послуховъ ли не будеть, а будеть кунъ 3 гривны, то ити ему про своѣ куны ротѣ; будеть ли боле кунъ, то речи ему тако: «Промиловался еси, оже еси не ставил послуховъ».	52. Если свидетелей не будет, а <долг> составит 3 гривны кун, то идти ему на судебную клятву <с иском> на свои деньги; если же <долг составил > большую сумму, то сказать ему так: «Сам виноват, что давал в долг без свидетелей».
53. Уставъ Володимѣрь Всеволодича.[16] А се уставилъ Володимѣръ Всеволодичь по Святополцѣ,[17] созва дружину свою на Берестовѣмь:[18] Ратибора[19] Киевьского тысячьского, Прокопью[20] Бѣлогородьского тысячьского, Станислава[21] Переяславьского тысячьского, Нажира,[22] Мирослава,[23] Иванка Чюдиновича,[24] Олгова[25] мужа, и уставили до третьяго рѣза,[26] оже емлеть въ треть куны; аже кто возметь два рѣза, то то ему взяти исто; паки ли возметь три рѣзы, то иста ему не взяти.	53. Устав Владимира Всеволодовича. А это постановил Владимир Всеволодович после смерти Святополка, созвав свою дружину в Берестове: Ратибора, киевского тысяцкого, Прокопия, белгородского тысяцкого, Станислава, переяславского тысяцкого, Нажира, Мирослава, Иванко Чудиновича, мужа Олега, и постановили, что <долг> взимают из процента на два третий, если <должник> берет деньги в треть; если кто возьмет проценты дважды, то тогда ему взять сам долг; если он возьмет проценты трижды, то <самого> долга ему не брать.
Аже кто емлеть по 10 кунъ от лѣта на гривну, то того не отмѣтати.	Если кто взимает по 10 кун на гривну за год, то этого не запрещать.
54. Аже которыи купець истопиться. Аже которыи купець, кдѣ любо шедъ съ чюжими кунами, истопиться, любо рать возметь, ли огнь, то не насилити ему, ни продати его; но како начнеть от лѣта платити, тако же платить, зане же пагуба от Бога есть, а не виноватъ есть; аже ли пропиеться или пробиеть, а в безумьи чюжь товаръ испортить, то како любо тѣмъ, чии то товаръ: ждуть ли ему, а своя имъ воля, продадять ли, а своя имъ воля.	54. Если какой-нибудь купец потерпит кораблекрушение. Если какой-нибудь купец, отправившись куда-либо с чужими деньгами, потерпит кораблекрушение, или нападут на него, или от огня пострадает, то не творить над ним насилия, не продавать его; но если он станет погодно выплачивать долг, то пусть так и платит, ибо эта погуба от Бога, а он не виноват; если же он пропьется или пробьется об заклад <проспорит>, или по неразумению повредит чужой товар, то пусть будет так, как захотят те, чей это товар: будут ли ждать, пока он выплатит, это их право, продадут ли его, это их право.
55. О долзѣ. Аже кто многимъ долженъ будеть, а пришедъ гость из иного города или чюжеземець, а не вѣдая запустить за нь товаръ, а опять начнеть не дати гости кунъ, а первии должебити начнуть ему запинати, не дадуче ему кунъ, то вести и на торгъ, продати же и отдати же первое гостины куны, а домашнимъ, что ся останеть кунъ, тѣм же ся подѣлять; паки ли будуть княжи куны, то княжи куны первое взяти, а прокъ в дѣлъ; аже кто много рѣза ималъ, то тому не имати.	55. О долге. Если кто-нибудь будет многим должен, а приехавший из другого города купец или чужеземец, не зная того, доверит ему свой товар, а <тот> станет не возвращать гостю денег, и первые заимодавцы станут ему препятствовать, не давая ему денег, то вести его на торг, продать <его> вместе с имуществом, и в первую очередь отдать деньги чужому купцу, а своим — те деньги, что останутся, пусть они разделят; если будут княжеские деньги, то княжеские деньги отдать в первую очередь, а остальное в раздел; если кто взимал <уже> много процентов, то тому <свою часть долга> не брать.
56. Аже закупъ[27] бѣжить. Аже закупъ бѣжить от господы, то обель; идеть ли искать кунъ, а явлено ходить, или ко князю или къ судиямъ бѣжить обиды дѣля своего господина, то про то не роботять его, но дати ему правду.	56. Если закуп бежит. Если закуп бежит от господина, то становится полным <холопом >; уйдет ли в поисках денег, но уходит открыто, или бежит к князю или к судьям из-за оскорблений своего господина, то за это его не превращают в холопы, но дать ему <княжеское> правосудие.
57. О закупѣ же. Аже у господина ролеиныи закупъ, а погубить воискии конь,[28] то не платити ему; но еже далъ ему господинъ плугь и борону, от него же купу емлеть, то то погубивше платити; аже ли господинъ его отслеть на свое орудье, а погибнеть без него, то того ему не платити.	57. О закупе же. Если у господина пашенный закуп, а он погубит своего коня, то <господину> не надо платить ему, но если господин дал ему плуг и борону и от него же взимает купу, то, погубив их, он платит; если же господин отошлет его по своему делу, а что-либо господское погибнет в его отсутствие, то за это ему платить не надо.
58. О закупѣ же. Аже изъ хлѣва выведуть, то закупу того не платити; но же погубить на поли и въ дворъ не вженеть и не затворить, кдѣ ему господинъ велить, или орудья своя дѣя, а того погубить, то то ему платити.	58. О закупе же. Если из запертого хлева <скот> выведут, то закупу за это не платить; но если <он> погубит <скот> на поле, не загонит <его> во двор или не затворит, где ему велит господин, или во время работы на себя, и погубит его, то за это ему платить.
59. Аже господинъ переобидить закупа, а увидить купу его или отарицю,[29] то то ему все воротити, а за обиду платити ему 60 кунъ.	59. Если господин нанесет ущерб закупу, причинит вред его купе или личной собственности, то это все ему возместить, а за ущерб ему платить 60 кун.
60. Паки ли прииметь на немь кунъ, то опять ему воротити куны, что будеть принялъ, а за обиду платити ему 3 гривны продажи.	60. Если < господин > возьмет на нем больше денег, то вернуть ему деньги, которые взял <сверх меры>, а за ущерб ему платить 3 гривны штрафа князю.
61. Продасть ли господинъ закупа обель, то наимиту[30] свобода во всѣхъ кунахъ, а господину за обиду платити 12 гривенъ продажѣ.	61. Если господин продаст закупа в полные холопы, то должнику под проценты свобода во всех <взятых в долг> деньгах, а господину за обиду платить 12 гривен штрафа князю.
62. Аже господинъ бьеть закупа про дѣло, то без вины есть; биеть ли не смысля, пьянъ, а без вины, то яко же въ свободнѣмь платежь, тако же и в закупѣ.	62. Если господин бьет закупа за дело, то он не виновен; если он бьет не соображая, пьяным и без вины, то следует платить <штраф князю> как и за свободного, так и за закупа.
63. О холопѣ. Аже холопъ обелныи выведеть конь чии любо, то платити за нь 2 гривны.	63. О холопе. Если полный холоп украдет чьего-либо коня, то платить за него 2 гривны.
64. О закупѣ. Аже закупъ выведеть что, то господинъ в немь; но оже кдѣ и налѣзуть, то преди заплатить господинъ его конь или что будеть ино взялъ, ему холопъ обелныи; и паки ли господинъ не хотѣти начнеть платити за нь, а продасть и, отдасть же переди или за конь или за волъ, или за товаръ, что будеть чюжего взялъ, и прокъ ему самому взяти собѣ.	64. О закупе. Если закуп украдет что-либо, то господин <волен> в нем; но если где-нибудь его найдут, то господин должен прежде всего заплатить за его коня или иное, что он взял, а его <закупа> делает полным холопом; а если господин не захочет платить за него и продаст его, то прежде всего пусть отдаст за коня, или за вола, или за товар, что взял чужого, а остальное взять ему самому себе.
65. А се, аже холопъ ударить. Аже холопъ ударить свободна мужа, а убѣжить в хоромъ, а господинъ его не выдасть, то платити за нь господину 12 гривенъ; а затѣмь аче и кдѣ налѣзеть удареныи тъ своего истьця, кто его ударилъ, то Ярославъ былъ уставилъ убити и, но сынове его по отци уставиша на куны, любо бити и розвязавше, любо ли взяти гривна кунъ за соромъ.	65. А это, если холоп ударит. Если холоп ударит свободного человека и убежит в дом, а господин его не выдаст, то платить за него господину 12 гривен; а затем, если где найдет тот ударенный своего ответчика, который его ударил, то Ярослав постановил его убить, но сыновья после смерти отца постановили выкуп деньгами, либо бить его, развязав, либо взять гривну кун за оскорбление.
66. О послушьствѣ. А послушьства на холопа не складають; но оже не будеть свободнаго, то по нужи сложити на боярьска тивуна, а на инѣхъ не складывати.	66. О свидетельстве. А свидетельства на холопа не возлагают; но если не будет свободного, то по необходимости возложить на боярского тиуна, а на других холопов не возлагать.
А в малѣ тяжѣ по нужи възложити на закупа.	А в малом иске по необходимости возложить свидетельство на закупа.
67. О бородѣ. А кто порветь бороду, а въньметь знамение, а вылѣзуть людие, то 12 гривенъ продажѣ; аже безъ людии, а в поклепѣ, то нѣту продажѣ.	67. О бороде. А кто повредит бороду и останутся следы этого и будут свидетели, то 12 гривен штрафа князю; если же свидетелей нет и обвинение не доказано, то штрафа князю нет.
68. О зубѣ. Аже выбьють зубъ, а кровь видять у него во ртѣ, а людье вылѣзуть, то 12 гривенъ продажѣ, а за зубъ гривна.	68. О зубе. Если выбьют зуб и кровь видят у него <пострадавшего> во рту, и будут свидетели, то 12 гривен штрафа князю, а за зуб гривна.
69. Аже украдеть кто бобръ, то 12 гривенъ.	69. Если кто украдет бобра, то 12 гривен.
70. Аже будеть росѣчена земля или знамение, им же ловлено, или сѣть, то по верви искати в собе татя любо платити продажю.	70. Если будет разрыта земля или <обнаружен> признак <снасти>, которой производился отлов, или сеть, то по верви искать у себя вора или платить <верви> княжеский штраф.
71. Аже кто борть разнаменаеть. Аже разнаменаеть борть, то 12 гривенъ.	71. Если кто уничтожит знак собственности на борти. Если кто уничтожит знак собственности на борти, то 12 гривен.
