 	О ДВУХ БЛУДНИЦАХ
В 3 же день рѣша: «Зовет тя царь». Он же, умѣря прутъ четырехъ локотъ, и вниде пред царя, и поклонися, и поверже прутъ пред царемъ молча. Царь же мудростию своею протолкова прутъ боляромъ своимъ и рече: «Область ти далъ есть вселенную, и не насытился еси, изымалъ еси мене». И рече ему Соломонъ: «Не на потребу свою приведох тя, но на вопрос очертаний Святая Святых. Приведох тя по повелѣнию Господню, яко не повелѣно ми есть тесати камени желѣзом».	На третий же день сказали: «Зовет тебя царь». Он же измерил прут в четыре локтя, вошел к царю, поклонился и молча бросил прут перед царем. Царь же по мудрости своей разъяснил боярам своим, что означает прут, и поведал: «Бог дал тебе во владение вселенную, а ты не насытился, поймал и меня». И сказал ему Соломон: «Не по прихоти своей привел я тебя, но чтобы спросить, как строить Святая Святых. Привел тебя по повелению Господню, так как не позволено мне тесать камни железом».
И рече Китоврасъ: «Есть ноготь птица[5] малъ во имя Шамиръ. Хранит же кокоть дѣтьскыи[6] во гнѣздѣ своемь на горѣ каменнѣй в пустыни далнѣй». Соломон же посла болярина своего с отрокы своими по наказанию Китоврасову ко гнѣзду. Китоврас же вда бѣлое сткло болярину, наказа его съхранитися от гнѣзда: «Яко вылетитъ кокотъ, замажи стьклом симъ гнѣздо». Болярин же поиде ко гнѣзду; оли в нем птенци мали, кокот же бѣ летѣлъ по кормлю. И заложи стклом устие гнѣзду. Мало же постояша, и кокотъ прилетѣ, хотѣ влѣсти в гнѣздо. Куренци пискаху сквозѣ стькло, а онъ к нимъ не умѣетъ влести. Схранил бо бяше на нѣкакоемъ мѣстѣ, и принесе и къ гнѣзду, и положи на стѣклѣ, хотя и росадити. Они же кликоша, и упусти. И, вземъ, бояринъ принесе ко Соломону.	И сказал Китоврас: «Есть малый птичий ноготь по имени Шамир. Хранит его полевой петух в гнезде своем на горе каменной в пустыне дальней». Соломон же послал боярина своего со слугами своими, по указанию Китовраса, ко гнезду. А Китоврас дал боярину прозрачное стекло и наказал ему спрятаться у гнезда: «Когда вылетит кокот, закрой стеклом этим гнездо». Боярин пошел к гнезду; а в нем — птенцы маленькие, кокот же улетел за кормом. И он заложил стеклом устье гнезда. Немного подождали, и кокот прилетел, захотел влезть в гнездо. Птенцы пищат сквозь стекло, а он к ним не может попасть. Хранил он Шамир на некоем месте, и принес к гнезду, и положил на стекле, хотя его рассадить. Тогда люди крикнули, и он выпустил. И, взяв, боярин принес к Соломону.
Бысть же Соломонъ вопрашая Китовраса: «Почто ся еси расмѣялъ, мужу прашащу черви на 7 лѣт?» — «Видѣхъ на немъ, — рече Китоврасъ, — яко не будеть до 7 дни живъ». Посла же царь испытати, и бысть тако. И рече Соломонъ: «Почто еси расмиялся, мужю ворожащу?» Отвѣща Китоврас и рече: «Онъ повѣдаше людем скровная, а самъ не вѣдя крова под собою со златом». И рече Соломонъ: «Шедше, испытайте». И испыташа, и бысть тако. И рече царь: «Почто еси плакалъ, видѣвъ свадбу?» И рече: «Съжалихси, яко жених той не будет живъ до 30 дни». И испыта же царь, и бысть тако. И рече царь: «Почто мужа пиана наведе на путь?» Отвѣща Китоврас и рече: «Слышах с небесе, яко вѣренъ есть муж той, а достоить послужити ему».	Потом спросил Соломон Китовраса: «Почему ты рассмеялся, когда человек спрашивал башмаки на семь лет?» — «Видел по нему, — ответил Китоврас, — что не проживет и семи дней». Послал царь проверить, и оказалось так. И спросил Соломон: «Почему ты рассмеялся, когда человек ворожил?» Отвечал Китоврас: «Он рассказывал людям о тайном, а сам не знал, что под ним — клад с золотом». И сказал Соломон: «Пойдите и проверьте». Проверили, и оказалось так. И спросил царь: «Почему плакал, увидев свадьбу?» Китоврас ответил: «Опечалился, потому что жених тот не проживет и тридцати дней». Проверил царь, и оказалось так. И спросил царь: «Зачем пьяного человека вывел на дорогу?» Ответил Китоврас: «Слышал я с небес, что добродетелен тот человек и следует ему послужить».
Бысть же у Соломона Китоврас до свершения Святая Святых.	Пробыл Китоврас у Соломона до завершения Святая Святых.
Бысть егда нача молвити Соломонъ Китоврасу: «Нынѣ видѣх, яко сила ваша яко человѣческа, и нѣсть вашия силы болши нашия силы, и якоя и та». И рече ему Китоврас: «Царю, аще хощеши видѣти силу мою, да соими с мене уже, дай же ми жуковину свою с руки, да видиши силу мою». Соломон же сия с него у́же желѣзное и дасть ему жуковину. Он же пожре, и простре крило свое, и заверже, и удари Соломона, и заверже и́ на конець земля обѣтованныя. Увѣдаша же мудреци его и книжници, взыскаша Соломона.	Однажды сказал Соломон Китоврасу: «Теперь я видел, что ваша сила — как и человеческая, и не больше нашей силы, но такая же». И сказал ему Китоврас: «Царь, если хочешь увидеть, какая у меня сила, сними с меня цепи и дай мне свой перстень с руки, тогда увидишь мою силу». Соломон же снял с него железную цепь и дал ему перстень. А тот проглотил перстень, простер крыло свое, размахнулся и ударил Соломона, и забросил его на край земли обетованной. Узнали об этом мудрецы и книжники и разыскали Соломона.
Всегда же обхожааше страх Китоврашь в нощи. Царь же сътвори одръ и повелѣ стояти 60 отроком силным с мечи около. Потому же молвится в Писаних: «Одръ Соломонь, 60 отрокъ храбрых от израилтянъ и от страны нощны».[7]	Всегда охватывал Соломона страх к Китоврасу по ночам. И царь соорудил ложе и повелел шестидесяти сильным юношам стоять кругом с мечами. Потому и говорится в Писаниях: «Ложе Соломона, шестьдесят юношей храбрых из израильтян и из стран северных».
 	О ДВУГЛАВОМ МУЖЕ И ЕГО ДЕТЯХ
Китоврас же, поидя в люди своа, вда Соломону мужа о дву голову. Обыче же ся житиемь у Соломона мужь тъй. Въпраша же его Соломон: «Которых людий еси ты? Человѣкъ ли еси ты, или бѣсъ?» Отвѣща он человѣкъ: «Азъ есми человѣкъ, живущих под землею».[8] И въпраша его царь: «Есть ли у вас солнце и луна?». Он же рече: «От запада вашего к намь въсходить солнце, а от востока вашего заходит. Егда убо у вас день, тогда у нас нощь. А егда у вас нощь, тогда у нас день». И вда ему царь жену. И родистася у него два сына: един о дву голову, а другый о единой главѣ. И бысть у отца их имѣниа много. И умре отець имъ. Рече двоголовый брату: «Дѣливѣ имѣние на головы». И рече менший брат: «Два есвѣ. Дѣливѣ имѣние на полы». И идоста на прю къ царю. И рече единоглавый къ царю: «Два есвѣ брата. Деливѣ имѣние на полы». Он же двоглавный рече къ царю: «Двѣ главѣ имамь, два жребиа и хощю взяти». Царь же мудростию своею повелѣ взяти оцта и рече: «Аще будета двѣ главѣ си разно тѣлом; да възлѣю оцта на едину главу: аще не очютит другаа глава, и тако двѣ чясти възмеши на двѣ главѣ. Аще ли очютить другая глава възлиание оцта, главы сиа единого тѣла обѣ. И единъ жребий имаши взяти». Бысть же възлиание оцта на главу едину, другаа вшерше. И рече царь: «Понеже едино тѣло еси, и единъ жребий възми». И тако расуди а царь Соломон.	Китоврас же, уходя к своему народу, подарил Соломону человека с двумя головами. Прижился тот человек у Соломона. Спрашивал его Соломон: «Ты из каких людей? Ты человек или бес?» Человек отвечал: «Я — из людей, живущих под землей». И спросил его царь: «Есть ли у вас солнце и луна?» Тот сказал: «От вашего запада солнце восходит к нам, а на вашем востоке заходит. Так что когда у вас день, тогда у нас ночь. А когда у вас ночь, тогда у нас день». И дал ему царь жену. И родились у него два сына: один с двумя головами, а другой с одной. А у их отца было много добра. И умер их отец. Двухголовый сказал брату: «Поделим имущество по головам». А меньший брат сказал: «Нас двое. Поделим имение пополам». И пошли на суд к царю. Одноголовый сказал царю: «Нас два брата. Мы должны поделить имущество пополам». А тот, двухголовый, сказал царю: «У меня две головы, и я хочу взять две доли». Царь же по мудрости своей повелел подать уксус и сказал: «Разве эти две головы от разных тел; полью-ка я уксуса на одну голову: если не ощутит другая голова, две доли возьмешь на две головы. А если ощутит другая голова льющийся уксус, значит, обе эти головы от одного тела. Тогда одну долю возьмешь». И когда полился уксус на одну голову, другая заверещала. И сказал царь: «Раз у тебя одно тело, одну долю возьмешь». Так рассудил их царь Соломон.
 	ЗАГАДКИ МАЛКАТОШКИ
И бысть царица Южьскаа иноплеменница именемь Малкатъшка.[9] Си прииде искушати Соломона гадками. И та бѣ мудра зѣло. И принесе ему дары: 20 капий злата,[10] и зелиа многа велми, и древеса негнѣющаа. Слышав же Соломон пришедшю царицю, сѣде на полатѣ стькла бѣлаго на помостех, хотя искушати ю. Она же видѣ, яко въ водѣ сѣдить царь, въздья порты своа противу к нему. Он же видѣвъ, яко красна есть лицемь, тѣло же ей бысть власато, яко щеть. Власы же онѣми она обадаше мужа, бывающаго с нею. Рече же Соломон мудрецемь своимъ: «Створите мовь кражму съ зелиемь, и помажите тѣло ея на опадение власомь». Хитреци же и книжници молвяхуть, яко съвъкуплятся есть с нею. Заченши же от него и иде в землю свою, и роди сынъ, и се бысть Навходоносоръ.	Была Южская царица иноплеменница по имени Малкатошка. Пришла она испытать Соломона загадками. Была же она очень мудрой. И принесла ему дары: двадцать капий золота, очень много зелий и дерева негниющего. Соломон же, услышав о приходе царицы, сел в зале с полом из прозрачного стекла на помосте, желая испытать ее. А она, видя, что царь сидит в воде, подобрала свои одежды перед ним. И он увидел, что она прекрасна лицом, тело же ее волосато, как щетка. Волосами этими она привораживала мужчин, бывавших с нею. Соломон же сказал мудрецам своим: «Приготовьте баню и мазь с зелием и помажьте ее тело, чтобы выпали волосы». А мудрецы и книжники сказали ему, чтобы он сошелся с нею. Зачав от него, она пошла в свою землю и родила сына, и это был Навуходоносор.
Се же бысть загадка ея к Соломону. Съвъкупила бяшет отрокы и дѣвкы малыа и облаченыа в порты едины, и рече царица царю: «По мудрости своей разбери, кое отрокы, кое ли дѣвкы». Царь по мудрости своей повелѣ, и принесоша овощь, и просыпаша пред ними. Отроци же начаша брати в пелены, а дѣвкы в рукавы. И рече Соломон: «Се отроци, а се дѣвкы». Она о семь подивися хитрости его.	Вот какая была загадка ее к Соломону. Она собрала мальчиков и девочек, одетых в одинаковые одежды, и сказала царю: «Разбери по своей мудрости, которые мальчики, а которые девочки». Царь по своей мудрости велел принести плоды, и высыпали их перед ними. Мальчики стали подбирать в полы одежд, а девочки в рукава. И сказал Соломон: «Это мальчики, а это — девочки». Она из-за этого подивилась его хитрости.
На другый же день събравши отрокы обрѣзаныа и необрѣзаныа, и рече Соломону: «Разбери, кое обрѣзаныа, кое ли необрѣзаныа». Царь же повелѣ архиерееви внести вѣнець святый, на немже бѣ написано слово Господне, имже бысть Валамь уничиженъ от волхвованиа.[11] Отрочата же обрѣзанаа сташа, а необрѣзанаа припадоша пред вѣнцемь. Она же велми сему удивися.	На другой день она собрала отроков обрезанных и необрезанных и сказала Соломону: «Разбери, которые обрезанные, а которые необрезанные». Царь же повелел архиерею внести святой венец, на котором было написано слово Господне, которым Валаам был отвращен от волхвования. Обрезанные отроки встали, а необрезанные пали перед венцом. Она же этому очень удивилась.
Мудреци же ея загонуша хитрецемь Соломонемь: «Имамь кладязъ далече града. Мудростию своею угоните, чимь можемь и привести въ град?» Хитреци же Соломони, разумѣвше рѣчь, яко не может быти, и рѣша имъ: «Исплетите у́же отрупяно, а мы привлечемь кладязь вашь въ град».	Загадали мудрецы ее хитрецам Соломона: «Есть у нас колодец вдали от города. Мудростью своей угадайте, чем можно перетащить его в город?» Хитрецы же Соломоновы, поняв, что этого не может быть, сказали им: «Сплетите из отрубей веревку, а мы перетащим колодец ваш в город».
И пакы загонуша мудреци ея: «Аще възрастеть нива ножи, чимь ю пожати можете?» Отвѣщаша и рѣша имъ: «Рогомь ослиимь». И рекоша мудреци ея: «Гдѣ убо у осла рога?» Они же рѣша: «А кдѣ нива родится ножи?»	И снова загадали ее мудрецы: «Если нива порастет ножами, чем пожать ее сможете?» Им ответили: «Ослиным рогом». И сказали мудрецы ее: «Где у осла рога?» Они же ответили: «А где нива родит ножи?»
Загонуша же еще: «Аще въгнѣется соль, чимь ю можете осолити?» Они же рѣша: «Ложе мьскы вземше, тѣм же посолити». И рѣша: «Да кдѣ мьска родить?» Они же рѣша: «Гдѣ ся соль съгнивает?»	Загадали и еще: «Если загниет соль, чем сможете ее посолить?» Они же сказали: «Утробу мула взяв, ею надо посолить». И сказали: «Да где мул рожает?» Они же ответили: «Где соль гниет?»
Царица же видѣвши храмы созданы и брашна многа, и сѣдание отрокъ его, и стоание слугь его, и одѣние их, и питие, и жрътву, и еже жряше в дому Божии, и рече царица: «Истиннаа рѣчь, юже слышах в земли моей, уне мудрости твоеа. И не имях вѣры рѣчемь, дондеже приидох видѣста очи мои. Оли не сказано ми бысть ни половина. Но болозѣ мужемь твоимь, слышащим мудрости твоеа».	Царица же, увидев хоромы созданные, и еды множество, и как сидят люди его, и как стоят слуги его, и одеяния их, и питие, и жертвы, которые они приносили в дом Божий, сказала: «Истинна речь, которую я слышала в земле моей о мудрости твоей. И не имела я веры речам, пока не пришла и не увидела своими глазами. Оказывается, не было сказано мне и половины. Благо мужам твоим, слышащим мудрость твою».
Царь же Соломон вда царици оной имя Малкатошка и все, еже просила. И иде в землю свою съ отрокы своими.	Царь же Соломон дал этой царице имя Малкатошка и все, что она просила. И она пошла в землю свою со своими людьми.
 	О НАСЛЕДСТВЕ ТРЕХ БРАТЬЕВ
Въ дни Соломоня бысть мужь, имѣя 3 сыны. Умираа же, муж онъ призва к собѣ сыны своа и рече имъ: «Имѣю кровъ в земли. Томь мѣстѣ, — река, — 3 спуды стояща другь на друзѣ горѣ. А по смерти моей възми старѣиший връхнее, а середний середнее, а исподнее — менший». По умртвии же отца их открыша сынове его кровъ онъ пред людми. И бысть верхнее полно злата, а среднее полно костий, а исподнее полно персти. Бысть же бо и сваръ въ братии оной, рекуще: «Ты ли еси сынъ, оже въземши злато, а вѣ не сына?» И идоша на прю къ Соломону. И расуди а Соломон: иже что златомь — то старѣйшему, а иже что скотомь и челядью — и то середнему, — по разуму костий; а иже что винограды и нивами и житомь — то меншему. И рече имъ: «Отець вашь был муж мудр, и раздѣлилъ вы зажива».	В дни Соломона жил человек, имевший трех сыновей. Умирая, человек этот призвал их к себе и сказал им: «У меня есть клад в земле. В том месте, — сказал, — три сосуда стоят друг на друге. После моей смерти старший пусть возьмет верхний, средний — средний, а меньший — нижний». После смерти отца открыли сыновья его этот клад в присутствии людей. И оказалось в верхнем сосуде полно золота, в среднем полно костей, а в нижнем полно земли. Стали ссориться эти братья, говоря: «Ты — сын, раз возьмешь золото, а мы — не сыновья?» И пошли на суд к Соломону. И рассудил их Соломон: что есть золота — то старшему, что скота и слуг — то среднему, — судя по костям; а что виноградников, нив и хлеба — то меньшему. И сказал им: «Отец ваш был умный человек и разделил вас при жизни».
 	О ТРЕХ ПУТНИКАХ
Се пакы идоша три мужи на путь свой, имуще чересы своа съ златомь. Ставше же суботовати в пустыни, смолвиша повѣтъ: «Съхранимь златомь на скупѣ: да аще будуть разбойници, да убѣжимъ, а оно будеть съхранено». Ископавше же ровъ, въскладоша вси чересы своа на скупь. И бысть в полнощи, яко упоста два друга, единъ же, имѣя мысль злу, въставь, перехорони чересы на ино мѣсто. И яко, отсуботовавше, идоша на мѣсто взяти чересы своа, и не обрѣтше, завопиша вси одино; он же, си лукавый, завопи велми боле обою. И възвратишася вси домови. И рѣша: «Поидемь к Соломону и скажемь пагубу нашю». И приидоша к Соломону и рѣша: «Не вѣмы, царю, звѣр ли взял, птица ли, ангелъ ли. Повѣжь намъ, царю». Он же рече имъ мудростию своею: «Обрящу вы заутра. Понеже аще путници есте, упрося прошю у вас, повѣжьте ми:	Шли однажды три человека своим путем, неся в поясах своих золото. Остановившись для субботнего отдыха в пустынном месте, они посовещались и решили: «Спрячем золото в тайнике: если нападут разбойники, мы убежим, а оно будет сохранено». Выкопав яму, все они положили свои пояса в тайник. Среди ночи же, когда два друга уснули, третий, питая злую мысль, встал и перепрятал пояса в другое место. И когда они, отдохнув, пришли к тайнику, чтобы взять свои пояса, то, не найдя их, закричали они все разом; злодей же тот завопил гораздо громче обоих других. И возвратились все домой. И сказали: «Пойдем к Соломону и расскажем ему о нашей беде». И пришли к Соломону, и сказали: «Не знаем, царь, зверь ли взял, птица ли или ангел. Объясни нам, царь». Он же по мудрости своей сказал им: «Найду вас завтра. Но раз вы путники, очень прошу вас, растолкуйте мне:
Бысть отрок обручивъ дѣвку красну, и вда ей жюковину вѣрную безъ увѣдениа отня и матерня. Отрокъ же онъ иде в землю ину и оженися тамо. Отець же дѣвку дасть замуж. И яко хотѣ отрокъ съвъкупитися с нею, завопи дѣвка, ркущи: “Въ стыдѣнии своемъ не повѣдала есмь отцю: аз бо есмь обручена онсяго. А убояся Бога, поиди къ обрученику моему на упросъ повелѣний его: да буду тобѣ жена по словеси его”. Въскрутя же ся отрок съ добыткомь многымь и с дѣвкою, иде тамо. И повелѣ ему: “Буди тобѣ жена, како то еси ю понял”. Отрокъ же рече к ней: “Възвративѣся опять и створивѣ свадбу изнова”. Идущема же има путемь въспять, усрѣте и́ насилникъ единъ съ отрокы своими, и яша и с дѣвкою и с добыткомь. Хотѣ же ей насилье створити разбойникъ онъ, и възопи дѣвка, и сказа разбойнику, яко ходила есть на упросъ, и не была есть с ним в постели. Подивова же ся разбойникъ и рече мужеви ея: “Поими жену свою и иди с добыткомь своимь”».	Некий юноша, обручившись с красивой девушкой, подарил ей обручальное кольцо без ведома ее отца и матери. Этот юноша пошел в другую землю и там женился. А отец выдал девушку замуж. И когда захотел жених совокупиться с ней, девушка закричала и сказала: “От стыда я не сказала отцу, что обручена с другим. Побойся Бога, пойди к обручнику моему, спроси у него разрешения: пусть я буду тебе женой по слову его”. Собрался юноша и, взяв много добра и девушку, пошел туда. И тот разрешил ему: “Пусть она будет тебе женой, раз уж ты ее взял”. Жених и говорит ей: “Возвратимся назад и устроим свадьбу снова”. А когда они шли домой назад, им повстречался некий насильник со своими людьми и захватил его и с девушкой, и с добром. И захотел этот разбойник насилье сотворить над девушкой, а она закричала и рассказала разбойнику, что ходила за разрешением и не была еще со своим мужем в постели. Удивился разбойник и сказал ее мужу: “Возьми жену свою и иди со своим добром”».
