ХОЖДЕНИЕ БОГОРОДИЦЫ ПО МУКАМЪ	ХОЖДЕНИЕ БОГОРОДИЦЫ ПО МУКАМ
И увидѣ Святая Богородица древо желѣзно, имѣюще отрасли и витвии желѣзныи, и вершие вѣтвия того имѣяше уды желѣзныя, и бяше множство висящии, мужъ и женъ, за языки. И видѣвши Святая, прослезися и воспроси Михаила: «Кто си суть, что ли согрѣшении ихъ?» И рече архистратигъ: «И се суть клеветницы и свадницы, иже разлучиша брата отъ брата и мужъ отъ женъ своихъ». И рече Михаилъ: «Послушаи, Пресвятая, да ти азъ скажу и о сихъ: аще кто хотяше креститися и покаятися грѣховъ своихъ, то ти разглаголаху и не поучаху спасению, да того ради тако мучатся на вѣкъ».	И увидела Святая Богородица железное дерево, с железными ветвями и сучьями, а на вершине его были железные крюки, а на них множество мужей и жен, подвешенных за языки. Увидев это, святая заплакала и спросила Михаила: «Кто это, в чем их грехи?» И сказал архистратиг: «Это клеветники и сплетники, разлучившие брата с братом и мужа с женой». И сказал Михаил: «Послушай, Пресвятая, что я тебе скажу о них: если кто-то хотел креститься и покаяться в своих грехах, то эти клеветники отговаривали их и не наставляли их к спасению, за это они навек мучаются».
И видѣ Святая на друзѣмъ мѣстѣ висяща мужа за четверо, за вся края ноготь его, исхожаше кровь велми зѣло, и языкъ его вязашеся отъ пламени огненаго, не можаше воздохнути, ни рещи: «Господи, помилуй мя». И видѣвши его, Пресвятая Богородица, и рече: «Господи, помилуй», 3-ю и сотвори молитву. И приде къ ней ангелъ, иже обладаше муками, отрѣшити языкъ мужеви тому. И воспрси Святая: «Кто се есть бѣдныи человѣкъ, приемля сию муку?» И рече ангелъ: «Се есть икономъ и церкви служитель, и не творя воля Божия, но да продаяше сосуды, имѣние церковное, и глаголаша: иже церкви работаеть, то отъ церкви питаеться, и того ради мучится здѣ». И рече Святая: «Якоже есть сотворилъ, тако приемлетъ». И паки ему ангелъ связа языкъ.	А в другом месте Святая увидела мужа, подвешенного за ноги и за руки с четырех сторон, за края ногтей его; он сильно исходил кровью, а язык его от огненного пламени скрутился, и не мог он ни вздохнуть, ни сказать: «Господи, помилуй меня». Глядя на него, Пресвятая Богородица сказала: «Господи, помилуй» — трижды — и сотворила молитву. К ней подошел ангел, владеющий муками, чтобы освободить этому человеку язык. И спросила его Святая: «Кто этот бедный человек, который так мучается?» И сказал ангел: «Это эконом и служитель церкви, он не волю Божию творил, но продавал сосуды и церковную утварь и говорил: “Кто работает в церкви, тот от церкви и питается”, поэтому он и мучается здесь». И сказала Святая: «Что заслужил, то и получает». И ангел снова связал ему язык.
И рече архистратигъ: «Поди, Госпоже, да ти покажу, гдѣ мучать ерѣи», и видѣ попы висяща отъ краи ногти, исхождаше огнь отъ тѣмяни ихъ и опаляше я. И видѣвши Пресвятая, и рече: «Кто си суть, что ли согрѣшеньи ихъ?» И рече Михаилъ: «Си суть литоргии служители и предстоящи престолу Божию и достоинии ся творящи, да егда проскомисаху просвиру, и не храняху, и роняху крупицы на землю, яко звѣзды Божия: тогда страшный престолъ колебашеся, и подножие Божие трепеташе, да того ради тако мучатся».	И сказал архистратиг: «Пойдем, Госпожа, покажу тебе, где мучаются иереи», и она увидела попов, подвешенных за края ногтей, от их голов исходил огонь и опалял их. Увидев это, Пресвятая спросила: «Кто они и в чем согрешили?» И ответил Михаил: «Это те, кто служили литургию, и пред престолом Божьим предстояли, почитая себя достойными, а когда совершали проскомидию, не хранили просвиру, роняли крупинки ее, как звезды Божий, на землю, и тогда колебался страшный престол и подножие Божие дрожало, за то они теперь так мучаются».
И видѣ Святая мужа, змии крылатъ имѣющь 3 главы, едина же бѣ глава ко очима мужа, а 2-я ко устомъ его. И рече архистратигъ: «Се есть бѣдныи человѣкъ, яко не можетъ отдохнути отъ змию сего». И рече архистратигъ: «Се есть, Госпоже, и святыя книги прочиташе и евангелия, а самъ не послушаше; люди учаше, а самъ не творяше воля Божия, блудомъ и всѣмъ безакониемъ».	И увидела Святая мужа и крылатого змея с тремя головами — одна голова была обращена к глазам мужа, а другая — к его губам. И сказал архистратиг: «Этот бедный человек не может отдохнуть от змея». И добавил архистратиг: «Он, Госпожа, и святые книги, и Евангелие прочитал, сам не следовал им; учил людей, а сам не волю Божию творил, а жил в блуде и беззаконии».
И рече архистратигъ силы господня: «Поди, Пресвятая, да ти покажу, гдѣ ся мучитъ чинъ ангельски и апостольски». И увидѣ Святая, гдѣ лежаху на пламени огненемъ и ядяше ихъ червь не усыпая. И рече Святая: «Кто си суть?» И отвѣща Михаилъ: «Сии суть, иже образъ ангельски носять и апостольски, на земли величающися, патриархи и епископи, славнии имены, и словяху: благословити отцы святии, но на небеси не звашеся святии, не сотвориша бо, яко бо ангельски и апостольски образъ носиша, да того ради тако мучатся».	И сказал предводитель господних сил: «Пойдем, Пресвятая, я покажу тебе, где мучается чин ангельский и апостольский». И Святая увидела, что они лежали, объятые огненным пламенем и поедаемые червем неусыпающим. Святая спросила: «Кто это такие?» И отвечал ей Михаил: «Это те, кто имеет образ ангельский и апостольский, на земле называются славными именами патриархов и епископов, и говорили им: “Благословите, отцы святые”; но на небесах они не звались святыми, так как не сделали ничего, чтобы иметь ангельский и апостольский образ, за это и мучаются так».
И видѣ Пресвятая жены висяща за вся ногти и пламени исхожаше изо устъ ихъ и опаляше вся, и змия исхожаше изъ пламени того и прилѣпяху къ нимъ, и вопияху, глаголаше: «Помилуйте насъ, яко мы едины мучимся паче всѣхъ мукъ». И рече Святая, прослезившися: «Что есть согрѣшении тѣхъ?» И рече архистратигъ: «То суть попадьи, иже поповъ своихъ не почтоша, и по смерти ихъ идоша за мужъ, да того ради мучатся».	И увидела Пресвятая женщин, подвешенных за ногти, и пламя выходило у них изо рта и опаляло их, а змея выползала из пламени того и обвивала их; они вопили: «Помилуйте нас, так как мы одни мучаемся тяжелее всех». И, заплакав, спросила Святая: «В чем их грехи?» И ответил архистратиг: «Это попадьи, которые не почитали своих попов и после их смерти выходили замуж, поэтому и мучаются».
И видѣ другия жены во огни лежаша и различныя змия ядяху ихъ, и рече Святая: «Что согрѣшение ихъ?» И отвѣща Михаилъ: «То суть монастыря черницы, яже тѣлеса своя продаша на блудъ, да того ради здѣ мучатся».	И увидела Богородица других женщин, лежащих в огне, поедаемых разными змеями, и спросила Святая: «В чем их грехи?» И ответил Михаил: «Это монастырские черницы, которые тело свое предавали блуду, потому здесь они мучаются».
И рече архистратигъ: «Поди, Пресвятая, и покажу ти, гдѣ ся мучитъ множство грѣшникъ». И видѣ Святая рѣку огненую.и видѣние рѣки тоя яко кровь текущи, и пояда всю землю, и посредѣ волны тоя множство грѣшникъ. И видѣвши Богородица прослезися и рече: «Что есть согрѣшение ихъ?» Рече архистратигъ: «То суть блудницы и любодѣицы, татие, иже послушають отаи, что суть ближнии глаголють, свадницы и клеветницы, иже чужие нивы ужинаху, или урояху, иже брени си остани дожидають, иже ядять труды чюжы, и малжены разлучаютъ, пьяницы, иемилостиви князи, епископи и патриарси, и цари, иже не сотвориша воля Божия, сребролюбци, иже лихву емлють, беззаконницы». Слышавше то, Пречистая Богородица прослезися и рече: «О лютѣ грѣшникомъ!» и рече ко архистратигу: «Тяжко согрѣшающимъ, да бы ся не ражали!»	И сказал архистратиг: «Пойдем, Пресвятая, я покажу тебе, где мучается множество грешников». И Святая увидела реку огненную, и словно кровь текла в той реке, которая затопила всю землю, а посреди ее вод — много грешников. Увидев это, Богородица прослезилась и сказала: «В чем их грехи?» Ответил архистратиг: «Это блудники и прелюбодеи, воры, тайно подслушивающие, что говорят близкие, это сплетники и клеветники, и те, кто пожинали чужие нивы и срывали чужие плоды, те, кто питается чужими трудами, разлучают супругов, пьяницы, немилосердные князья, епископы и патриархи, цари, не творившие волю Божью, сребролюбцы, которые берут проценты, беззаконники». Услышав это, Пречистая Богородица заплакала и сказала: «О горе грешникам!» И добавила архистратигу: «Лучше таким грешникам и не рождаться!»
И рече къ ней Михаилъ: «Почто ся плачеши, Святая? Нѣси ли видѣла великъ мукъ?» И рече Пресвятая: «Поведи мя, да вижю вся мукы». И рече къ ней Михаилъ: «Куды хощеши, Благодатная, да изыдемь на востокъ или на западъ, или в раи, на десно или на лѣво, идѣже суть великия муки?» И рече Пресвятая: «Изыдемъ на лѣвую страну». Слово рѣкше Пресвятѣй, и обратишася херувими и серафими и 400 ангелъ, изведоша Пресвятую отъ востокъ на лѣвую страну, и близъ тоя рѣки бяше тма мрачна: ту лежаше множство мужъ и женъ, и клоктаху яко въ котлѣ и яко морския волны, и ображаются надъ грѣшники, да егда волны возхождаху, и погружаху грѣшники 1000 локоти, не можаху рещи: «Праведный судья, помилуи ны». Ядяше же червии неусыпаяи, и скрежетъ зубомъ. И видѣвше Пресвятую ангели стрегуще, и возопиша вси едины усты, глаголюще: «Святъ, святъ, святъ еси, Боже святый, и ты, Богородице, благословимъ тя и Сына Божия, родившагося отъ тебе, яко бо отъ вѣка ие видѣхомъ свѣта, и днесь видимъ свѣтъ тебе ради, Богородице». И паки возопиша вси единѣмъ гласомъ, глаголюще: «Радуйся, Благодатная Богородице; радуйся, просвѣщение свѣта вѣчнаго; радуйся, святыи архистратиже Михаиле, моляся Владыцѣ за весь миръ, мы убо видимъ грѣшныя мучащияся, и зѣло скорбимъ».	И спросил ее Михаил: «Отчего плачешь, Святая? Разве ты не видела великих мучений?» И ответила Пресвятая: «Поведи меня, чтобы я увидела все мучения». И сказал ей Михаил: «Пойдем, Благодатная, куда хочешь, на восток или на запад, в рай, направо или налево, где великие мучения?» И ответила Пресвятая: «Пойдем на левую сторону». Сказала Пресвятая слово, и повернулись херувимы и серафимы и четыреста ангелов, вывели ее от востока в левую сторону, а около той реки была глубокая тьма: там лежало много мужей и жен, и вокруг клокотало, словно в котле и словно морские волны разбивались над грешниками, и когда волны вздымались, то погружались грешники на тысячу локтей, не в силах сказать: «Праведный судья, помилуй нас». Их непрестанно ели черви, и был слышен скрежет зубовный. И увидели Пресвятую в окружении ангелов, и вскричали в один голос: «Свят, свят, свят, Боже Святый, и ты, Богородица, благословляем тебя и Сына Божия, родившегося у тебя, так как спокон века не видели света, а сейчас видим свет благодаря тебе, Богородица». И снова вскричали они все вместе: «Радуйся, Благодатная Богородица; радуйся, сияние света вечного; радуйся, святой архистратиг Михаил, молящийся Владычице за весь мир, мы же видим мучающихся грешников и сильно скорбим».
Видѣвши Богородица ангелы скорбныи и уныли грѣшникъ ради, и возплакася Пресвятая, и возопиша вси единымъ гласомъ, глаголюще: «Добрѣ есте пришли во тму сию, да ны видить како ны есть мука; помолись, Пресвятая, со архистратигом». И слыша плачъ и гласъ грѣшныхъ, воздвигоша плачъ свои, вопиюще и глаголюще: «Господи, помилуй ны», да яко опростиша молитву, уставися буря рѣчная и волны огненыя, и явишася грѣшницы, яко зерна горюшична. И видѣвши Святая, прослезися и рече: «Что есть рѣка си и волны ея?» И рече къ ней архистратигъ: «Сии рѣка вся смолена, а волны ея вся огнены, а иже ся мучатъ, то суть жидове, иже мучиша Господа нашего Исуса Христа, Сына Божия, и вси языцы, иже крестишася во имя отца и сына и святаго духа, иже крестьяне суще, ти вѣруютъ въ дѣмоны и отвергошася Бога и святаго крещения, и еже блудъ створиша по святомъ крещении, и съ кумы (...) своими и съ матерьми своими и со щерьми своими, и отравницы, иже ядями уморяютъ человѣки, и оружьемъ убиваютъ человѣки, и давятъ дѣти своя, и того ради мучатся противу дѣломъ своимъ». И рече Святая: «По дѣломъ ихъ буди тако!» И паки наиде на ня бурна рѣка и огнена волны, и тма покры я. И рече Михаилъ к Богородицы: «Аще ся кто затворитъ во тмѣ сей, нѣсть памяти о немъ отъ Бога». И рече Пресвятая: «О лютѣ грѣшникомъ, яко неусыпаемыи есть пламы огня сего!»	Богородица увидела, что ангелы печальны и грустны из-за грешников, расплакалась Пресвятая, и вскричали все в один голос: «Хорошо, что вы пришли в эту тьму увидеть нас и наше мучение; помолись, Пресвятая, с архистратигом». И, слыша плач и крик грешников, сама зарыдала, причитая и говоря: «Господи, помилуй нас», чтобы, когда кончила молитву, утихла речная буря и огненные волны, и явились грешники, словно семена горчичные. Увидев это, заплакала Святая и спросила: «Что это за река и волны ее?» И ответил ей архистратиг: «Это река вся смоляная, а волны ее все огненные, а те, кто в них мучается, это евреи, которые мучили господа нашего Иисуса Христа, Сына Божия; это все народы, которые крестились во имя Отца и Сына и Святого Духа и, называясь христианами, веруют в демонов и отказались от Бога и святого крещения; здесь те, кто блуд творил после святого крещения с кумами своими (...) с матерями своими и дочерьми, и отравители, которые морят людей ядами, оружием убивают людей и удушают своих детей, за свои дела и мучаются они так». И сказала Святая: «Пусть будет так по заслугам их!» И снова залила их бурная река и огненные волны, и тьма покрыла их. И сказал Михаил Богородице: «Если кто попадет в эту тьму, не будет Бог помнить его». И сказала Пресвятая: «О горе грешникам в неугасимом пламени сего огня!»
И рече къ ней архистратигъ: «Поди, Пресвятая, да ти покажу озеро огнено, да видиши, гдѣ мучатся родъ христьянскии». И видѣ, и услыша плачъ и вопль отъ нихъ, а онѣхъ не бѣ видѣти, и рече: «Котории си суть, что ли согрѣшение ихъ есть?» И рече къ Ней Михаилъ: «Сии суть, иже крестишася и крестъ словомъ нарицаху, а дияволя дѣла творяще: и погубиша время покаянию, и того ради мучатся тако здѣ».	И сказал ей архистратиг: «Пойдем, Пресвятая, я покажу тебе огненное озеро, где мучается род христианский». И она увидела и услышала их плач и вопль, а самих грешников не было видно, и спросила: «В чем грех тех, кто здесь находится?» И сказал ей Михаил: «Это те, что крестились и крест поминали, а творили дьявольские дела и не успевали покаяться, из-за этого они так мучаются здесь».
