ПОСЛАНИЕ ВАССИАНУ ПАТРИКЕЕВУ	ПОСЛАНИЕ ВАССИАНУ ПАТРИКЕЕВУ
О страховании же еже глаголеши, се есть младенчественый обычай немужественыа душа. Тебѣ же не свойствено есть сие. И егда прилучят ти ся таковая, подвизайся, да не обладають тобою, и утверди сердце свое уповати на Господа и рци в себѣ сице: «Имамь Господа, храняща мя, и без воля Его не можеть никтоже ни в чемже повредити мя. Аще ли что попустить на мя — еже пострадати ми,и азъ се не злолютнѣ приемлю и не хощу упразднити хотѣние Его, понеже Господь множае мене вѣсть и хощет полезная мне. И азъ о сихь всѣхь благодарю благость Его». И тако благодатию Божиею благодръзостен будеши. Молитвою же всегда и на се въоружайся. И егда в кыих местѣх сие прилучит ти ся, тамо наипаче тщися приходити и, руцѣ крестаь образомь простер, Господа Исуса призывай. И помощию Вышняго «не убоишися от страха нощнаго и от стрелы, летящаа в дне».[4] И сиа убо о сих.	О страхе же что ты говоришь, — это младенческий обычай немужественной души. Тебе же это не свойственно. И когда случится с тобой такое, старайся, чтобы он не овладел тобою, и утверди сердце свое в уповании на Господа, и говори в себе так: «Есть у меня Господь, охраняющий меня, и без Его воли не может никто ни в чем повредить мне. Если же Он что-то попускает на меня, чтобы я пострадал, то я принимаю это без лютой злобы и не хочу, чтобы не исполнилось Его желание, поскольку Господь больше меня знает и хочет полезного мне. И я за все это благодарю благость Его». И тогда благодатью Божией дерзновенен будешь в благом. Молитвой же всегда и при этом вооружайся. И когда в каких местах это с тобой случится, туда особенно старайся приходить и, руки крестообразно подняв, Господа Иисуса призывай. И с помощью Вышнего «не убоишься от страха ночного и стрелы, летящей днем». Об этом достаточно.
Прочая же вся, елико похвална, и честна, и добродѣтелна, сиа помышляй и твори, мудръ бываа въ благое, всяку же злобу ненавидя. Имѣй послушание къ наставнику и прочим отцемь о Господе въ всяко дѣло благо.	Обо всем же остальном, что похвально, честно и добродетельно, — о том думай и то делай, мудрым бывая в благом, всякое же зло ненавидя. Будь послушен наставнику и прочим отцам о Господе во всяком благом деле.
Службѣ же, ейже нынѣ порученъ еси, или въ иную преидеши, буди служа свѣтлымь предложением и тщаниемь благообразным, яко самому Христу, всю братью святы имѣя.	Службу же, которая ныне поручена тебе, или иную, к какой перейдешь, исполняй, служа с радостной готовностью и с благообразной старательностью, как Самому Христу, всех братьев считая святыми.
Аще прилучит ти ся слово — въпрос или отвѣтъ кому, благоглаголива и сладко бесѣду твори съ любовъю духовною и съ смирениемь истинным, неразлѣнено и не преобидя брата. Благоговѣйным отцемь прилѣпляйся, и то — въ время и в мѣру. От не таковых же ошайся, съхраняй же ся и тщися не укорити, ни осудити кого в чем, аще и не благо что зрит ти ся. Но себе гръшна и неключима въ всемь вмѣняй.	Если случится тебе задать вопрос или дать кому-либо ответ, веди беседу благожелательно и ласково, с духовной любовью и истинным смирением, без лености и не обижая брата. С благоговейными отцами общайся, но во время и в меру. От не таковых же сторонись, береги себя, и старайся никого не укорить, ни осудить ни в чем, хоть и кажется тебе что-то нехорошим. А себя считай грешным и вовсе негодным.
Аще потребна ти будеть каа вещь от настоятеля или прочихь въображеных отецъ на то, прежде помолився и размысли в себѣ, аще полезно есть, и тако въпроси. Аще ли не устроить ти, якоже хощеши, не огорчися, ни ужостися про то — еже не по твоему хотѣнию сътвориша, аще и благо мнить ти ся, якоже ты хощеши, но съ терпениемь преиди и съ тихостию и съ пожданиемь все твори. И аще къ благоугождению Божию и къ спасению душа своея управляася будеши, всяко извѣстить Богь сътворити кому по потребѣ твоей и время и руку помощи подасть.	Если потребуется тебе какая-то вещь от настоятеля или прочих приставленных к тому отцов, то прежде помолись и рассуди в себе, полезно ли это, и тогда спроси. Если же не получится так, как хочешь, не огорчайся и не ожесточайся из-за того, что сделали не по твоему желанию, хоть и хорошим кажется тебе то, что ты хочешь, но терпеливо отойди и, тихо ожидая, все делай. И если к благоугождению Божию и к спасению своей души будешь стремиться, обязательно известит Бог кого-нибудь, как сделать по твоей потребности, и время и руку помощи подаст.
Буди же усерденъ къ послушанию божественых писаний, и сихь глаголы, яко водою животною, напоай свою душю и тщися, елико по силѣ, по сих творити. Тако же имущимь разумь божественых писаний и мудрование духовно и жителство свѣдѣтельствованно в добродѣтелех, таковым тщися повиноватися и тѣхъ житию подражатель быти. Тръпение имѣй в скорбех, и за оскорбивших тя молися, и имѣй тѣх яко благодетелѣ.	Будь также усерден во внимании божественным писаниям, и их словами, как живой водой, напаивай свою душу и старайся по мере сил, им следуя, поступать. Также людям, обладающим пониманием божественных писаний и духовной мудростью, чья жизнь свидетельствует о добродетелях, — таким людям старайся повиноваться и их житию подражать. Имей терпение в скорбях и за обидивших тебя молись, и относись к ним как к благодетелям.
И се разумѣй, еже глаголю ти разумъ божественых писаний, повѣдающь хотѣние благодѣания Божия: яко от века святии, иже съдѣаша правду и получиша обѣтованиа, ходивше в путех добродетели, не токмо бѣды и скорби претръпѣша, но и крестомь, и смертию шествуема бѣ стезя их. И се есть знамение любве Божиа, еже скорби принесутся кому о дѣлании правды. И сие глаголется дар Божий, апостолу пишущу: «Се дано бысть намь от Бога, еже не токмо в Христа вѣровати, но и еже о Немь страдати».[5] Сие бо сътворяеть человѣка обещника страстемь Христовымь и подобна святымь, иже претръпѣша скорби за имя Его. И не инако благодѣтельствует Богъ любящихь Его, точию посылает имь искушениа скорбей. И въ семь разньствують любимци Божии от прочих: да сии убо въ скорбех живуть, любящии же мир сей в пищи и покои веселятся. И се есть путь правый — еже претръпѣти искушения скорбей о благочестии. И на сей путь поставляя, Богъ страдалцев своих приводить въ живот вѣчный. И сего ради съ радостию подобаеть шествовати намь непорочнѣ в путь сей, ходяще в заповѣдех Господних, всѣмь сердцемь благодаряще Его, яко посла намь благодать сию, възлюбивь нас, беспрестанно молящеся благости Его, поминающе конець житиа сего скорбнаго и бесконечное блаженьство будущаго вѣка. И Богъ всякоа радости и утѣшениа утѣшить сердце твое и съхранит тя в страсѣ Своемь молитвами Пречистыа Богородица и всѣх святых.	И то разумей, что говорю тебе о смысле божественных писаний как сообщающем желание благодеяния Божия: так, от века святые, поступавшие по правде и получившие обетования, ходя путями добродетели, не только беды и скорби претерпели, но и через крест и смерть проходила их стезя. И это знак любви Божией, — когда скорби достаются тому, кто поступает по правде. И даром Божиим это называется, ибо апостол пишет: «Это дано было нам от Бога — не только во Христа веровать, но и за Него страдать». Это ведь делает человека причастным страстям Христовым и уподобляет святым, претерпевшим скорби за имя Его. И не иначе благодетельствует Бог любящих Его, — только посылает им искушение скорбями. Этим и отличаются любимцы Божий от прочих: эти ведь в скорбях живут, а любящий мир сей веселятся в пище и покое. Это и есть правый путь — претерпевать искушения скорбей за благочестие. На этот путь направляя, Бог приводит страдальцев Своих в жизнь вечную. И потому с радостью подобает нам шествовать непорочно этим путем, ходя в согласии с заповедями Господними, всем сердцем благодаря Его за то, что Он послал нам эту благодать, возлюбив нас, — непрестанно молясь о благости Его, помня о конце этой скорбной жизни и о бесконечном блаженстве будущего века. И Бог, податель всякой радости и утешения, утешит сердце твое и сохранит тебя в страхе Своем молитвами Пречистой Богородицы и всех святых.
Незабвена же Господа ради сътвори и мене, грешника, въ молитвах своих, глаголющи ти доброе, а не творяща, да Господь изведет мя от потопа страстей и от тимѣниа грѣхов.	Незабвенным же Господа ради сделай и меня, грешника, в молитвах своих, — говорящего тебе хорошее, а не делающего: да выведет меня Господь из потопа страстей и трясины грехов.
ПОСЛАНИЕ ГУРИЮ ТУШИНУ	ПОСЛАНИЕ ГУРИЮ ТУШИНУ
ТОГО ЖЕ ИНОМУ О ПОЛЗѢ	ТОГО ЖЕ — ИНОМУ. О ПОЛЬЗЕ
Еже усты къ устом бесѣдова твоа святыни къ мнѣ, честнѣйший мой господине отче, таже и писаниица о том же присылал ми еси: требуеши от моеа худости написано послати тебѣ слово полезно — еже къ благоугожению Божию и къ ползѣ души. И аз, господине, человѣк грѣшенъ и неразумен есмь и всѣми страстми побеждаемь, боахся начати такову вещь. Того ради отрицался есмь и отлагалъ. Но понеже духовнаа твоа любовь устрои мя еже дръзнути ми выше мѣры моеа, писати тебѣ подобающяа, того ради убѣдихся на се.	О чем устами к устам беседовала со мной святыня твоя, честнейший мой господин-отец, о том же и писаньица затем присылал ко мне: требуешь от моей худости послать тебе написанным слово, руководствующее к благоугождению Богу и к пользе души. А я, господин, человек грешный и неразумный, и всеми страстями побеждаемый, боялся приняться за такое дело. Поэтому отказывался и откладывал. Но поскольку твоя духовная любовь заставила меня дерзнуть на то, что выше моей меры, — писать нужное тебе, постольку я решился на это.
Въпрошение же твое пръвое о помыслѣх блудных: како съпротивитися имь. И о сем не тебѣ точию тщание и подвигь, но и всѣм подвизающимся съ Богомь, понеже велиа сиа борба, глаголють отцы, сугубу рать имѣа — въ души и тѣлѣ, — и не имат нужднейши сего естество. Того ради крѣпце тщатися подобает и трезвьно, и бодрено съблюдати свое сердце от сихь помыслъ и, страх Божий имѣа пред очима, поминати обѣщание наше, еже исповѣдахомь — пребывати въ цѣломудрии и чистотѣ. Цѣломудрие же и чистота не внѣшнее точию житие, но съкровенный сердца человѣкь егда чистотьствуеть от сквернных помыслъ. Тѣм же всячьскы потщателно отсѣцати сиа помыслы; сию же побѣду велию на них поставляти, еже молитися Богу прилѣжно, якоже предаша святии отцы, — различными образы, единѣм же разумомь. Овъ убо, рече, от Давида приемь сице молитися: «”Изгонящеи мя нынѣ обыдоша мя”.[6] Радости моа, “избави мя от обышедших мя”».[7] Ин же от тѣх же глаголеть сице: «Боже, в помощь мою вънми»[8] — и к сим подобная. Ин же пакы от тѣх: «Суди, Господи, обидящим мя и възбрани борющим мя»[9] — и прочее псалма.	Вопрос твой первый о блудных помыслах: как им сопротивляться. В этом не только у тебя труд и подвиг, но у всех подвизающихся с Богом, потому что эта тяжелая борьба, говорят отцы, состоит из двойной войны: в душе и в теле, — и труднее ее нет у естества. По этой причине подобает очень стараться и строго, в бодрости охранять свое сердце от этих помыслов и, страх Божий имея пред очами, помнить наше обещание, которое мы дали, — пребывать в целомудрии и чистоте. Целомудрие же и чистота — это не только внешняя жизнь, но — когда сокровенный сердца человек остается чистым от скверных помыслов. Потому надо всячески старательно отсекать эти помыслы; а оружие против них следует применять такое — молиться Богу прилежно, как научили святые отцы, — различными способами, тождественно же по смыслу. Один ведь говорит, что, от Давида научившись, молится так: «”Преследующие меня ныне окружили меня”. Радость моя, “избавь меня от окруживших меня”». Другой из них говорит так: «Боже, о помощи мне услышь», — и тому подобное. Другой, тоже из них: «Суди, Господи, обижающих меня и запрети борющимся со мной», — и дальнейшее псалма.
Призывай же на помощь и яже слышиши в писаниих подвизавшихся о цѣломудрии и чистотѣ. Егда же зѣлнѣ належит ти брань, абие въстав и на небо очи и руцѣ простеръ молися сице: «”Ты силенъ еси, Господи”,[10] и Твой есть подвиг. Ты ратуй и побѣди в томь, Господи, о насъ». И възопи къ Всесилному въ помощех смиренѣми вѣщанми: «Помилуй мя, Господи, яко немощенъ есмь». Сие убо предание святыхь есть. И аще въ сих борениихь проходя будеши, познаеши искусомь, яко благодатию Божиею сиа сими зѣлнѣ побѣждаются.	Призывай также на помощь тех, о ком узнаешь из писаний как о подвизавшихся в целомудрии и чистоте. Если же тяжелой для тебя окажется брань, тут же, встав и возведя очи и руки к небу, так помолись: «”Ты силен, Господи”, и Твой это подвиг. Ты воюй и победи в этом, Господи, за нас». И воскликни, обращаясь к Всесильному в помощи, смиренным голосом: «Помилуй меня, Господи, ибо я немощен». Таково предание святых. И если будешь применять эти приемы борьбы, узнаешь на опыте, что благодатью Божией эти искушения ими легко побеждаются.
Всегда же Исусова имене оружиемь рани ратники. Крѣпчайши бо сеа побѣды нѣсть.	И всегда оружием Иисусова имени наноси раны ратникам. Ибо крепче этой победы нет.
Съхраняй же ся от видѣниа лиць и слышаниа бесѣдъ таковых, иже въздвижуть страсти и възставляють нечистыя помыслы. И Богъ съблюдет тя. И сиа убо о сих.	Береги себя и от того, чтобы смотреть на такие лица и слушать такие речи, которые возбуждают страсти и навевают нечистые помыслы. И Бог охранит тебя. Об этом достаточно.
Второе же въпрошение твое о хулном помыслѣ. И сий помыслъ безстуденъ и лютъ есть зѣло. Стужает же крѣпцѣ и непостоателнѣ. И не точию нынѣ, но и древле бысть, и великымь отцемъ и святымь мученикомь, и в самое то время, егда хотяаху мучители предаати тѣлеса их на раны и смерти горкыа, исповѣданиа ради вѣры еже въ Господа Бога нашего Исуса Христа.	Второй же твой вопрос — о помысле хуления. И этот помысел бесстыден и очень лют. Нападает он сильно, но непостоянно. И не только ныне, но и в древности он был, и у великих отцов и святых мучеников, и в то самое время, когда мучители собирались подвергнуть их тела ранам и горькой смерти за исповедание веры в Господа нашего Иисуса Христа.
И на сий помыслъ побѣду имѣти сице — еже не свою душю, но нечистаго бѣса виновна быти сему. Глаголати же противу хулному духу сиа: «Иди за мя, сатана. Господу Богу моему поклонюся и Тому единому послужу. Тебѣ же хула твоа на верхь твой възвратится, и тебѣ напишеть сию Господь. Отступи убо от мене. Богъ, създавый мя по образу своему и по подобию, да упразнит тя».	А побеждать этот помысел надо так: не свою душу, но нечистого беса считать его виновником. Говорить же против духа-хулителя следующее: «Иди за меня, сатана. Господу Богу моему поклонюсь и Ему одному послужу. К тебе же хула твоя, на твою голову возвратится, и тебе ее припишет Господь. Отступи же от меня. Бог, создавший меня по Своему образу и подобию, да удалит тебя».
Аще ли и по сихь стужаеть, безстудствуа, преложи помыслъ на ину нѣкую вещь божествену или человѣчьску — аще что не внѣ подобающих.	Если же и после этого, бесстыдствуя, он нападает, переведи мысль на какой-то иной предмет, божественный или человеческий, — только не вне подобающих.
Съхраняй же ся от гордыня и в путех смирениа тщися проходити. Речено бо есть отцы, яко от гордыня ражаются хулныя помыслы. Бывают же и от зависти бѣсовскыа. И аще от сего или оного бывають, но якоже ални губителна ядовитым звѣрем, тако и сей страсти губително есть смирение. Не точию же сей, но и прочимь, — речено бысть святыми отцы.	Береги себя и от гордыни и старайся ходить путями смирения. Ибо сказано отцами, что хулительные помыслы рождаются от гордыни. Но бывают и от бесовской зависти. От того ли, или от иного они бывают, но как олени суть губители ядовитых зверей, так и для этой страсти губительно смирение. И не только для этой, но и для прочих, — сказано было святыми отцами.
3 въпрос.	 
А еже испытуеши, како отступити от мира, — и сие добро усердие твое. Но тщися дѣломь сему съвершитися сице в тебѣ. Сие бо есть потлаченый путь къ вечному животу, имже, въ внятии премудрости познавше, идоша преподобнии отцы.	Третий вопрос. А что ты спрашиваешь, как отступить от мира, — и это усердие твое хорошо. Только старайся, чтобы на деле это в тебе совершилось. Это ведь выровненный путь к вечной жизни, которым шли, познав и поняв премудрость, преподобные отцы.
Наипаче бо тому подобно отступление мира, емуже въ обычаи бысть съвокупление съ миром. Аще бо не отступить, якоже образи нѣции и начертаниа мира, прежде бывшаа в нем от слышаниа и видѣниа мирскых вещей, пакы поновляются. И не может трезвьно пребыти въ молитвѣ и Божиимь волям поучатися. Хотяй же поучатися благоугождению Божию долженъ есть оступити мира.	Особенно же тому нужно отступление от мира, у кого в обычае было совокупление с миром. Ведь если он не отступит, то некие образы и картины мира, прежде в нем возникавшие оттого, что он слышал и видел мирские вещи, вновь появятся. И не сможет он трезвенно пребыть в молитве и поучаться волям Божиим. Желающий же поучаться благому угождению Божию должен отступить от мира.
Не въсхощи же приати обычныхь другов бесѣды, иже мирская мудрьствующих и упраждняющихся в безсловеснаа попечениа — яже въ прибыткы монастырскаго богатьства и стяжениа имѣний, яже мнятся сиа творити в образѣ благости и от неразумѣниа божественых писаний или от своих пристрастий, — добродѣтель мнять проходити. И ты, человѣче Божий, таковым не приобщайся. Не подобает же и на таковыхь рѣчми наскакати, ни поношати, ни укоряти, но — Богови оставляти сиа: силен бо есть Богъ исправити их.	Не возжелай также вести беседы с обычными друзьями, думающими о мирском и занятыми попечением о бессмысленном — о приращении монастырского богатства и стяжании имуществ, воображающими, что они делают это как благое дело, и от незнания божественных писаний или от своих пристрастий полагающими, что идут путем добродетели. И ты, человек Божий, с таковыми не общайся. Не подобает на таковых и словами наскакивать, ни поносить, ни укорять их, но надо предоставлять это Богу: Бог в силах их исправить.
Съхраняй же себе въ всячьскыхь от дръзновениа. Дръзновение бо, якоже писано есть, подобно огню велику, еже егда бываеть, вси бѣжат от лица его. И отвращайся слышати и видѣти вещи братняа и таиньства их и дѣаниа. Сие бо сътворяет душу пусту всякого блага и устраает сматряти недостаткы ближняго и съставляеть еже плакати своя грехы.	Также уберегай себя во всем от дерзости. Дерзость ведь, как написано, подобна великому огню, от которого, когда он возникает, все убегают. И отворачивайся, чтобы не слышать и не видеть принадлежащего братиям, их тайн и их дел. Ибо это делает душу опустошенной от всякого блага, приучает смотреть на недостатки ближнего и мешает оплакивать свои грехи.
И не тщися скороглаголивь быти въ бесѣдах къ братии, аще и полезна быти мнятся. Но аще который брат извѣщение имат к нам и истинно требуеть слова Божиа и аще имамы, длъжни есми подати ему не точию слово Божие, по апостола свидетельству, но и свою душу. Събращай же ся с таковыми и съблаговоли тѣмь въ дѣланиихь, иже духовнѣ мудрьствують, яже суть чада таинъ Божиих. Съ не таковыми же бесѣды, аще и малы суть, изсушають цвѣты добродѣтелей, иже вновѣ процвѣтающа от растворениа безмолвия и окружающая съ мяккостию и младостию сад душа, всажденному при исходищих вод покааниа, якоже рече премудрый святый.	И не старайся быть скорым в речах при беседах с братией, даже если это кажется полезным. Но если какой-то брат имеет что сказать нам и поистине нуждается в слове Божием, то, если имеем, мы должны подать ему не только слово Божие, но, по свидетельству апостола, и свою душу. Общайся с таковыми и помогай в делах тем, кто мыслит духовно, каковые суть дети Божиих тайн. Беседы же с людьми иного рода, пусть и малые, иссушают цветы добродетелей, только-только расцветающие от сохранения безмолвия и наполняющие мягкостью и молодостью сад души, насаженный при источниках вод покаяния, как сказал премудрый святой.
4 въпрос.	 
А еже ищеши, како не заблудити отъ истиннаго пути, и о семь съвѣт благь даю ти.	Четвертый вопрос. А что ищешь, как не заблудиться, сбившись с истинного пути, — и об этом даю тебе благой совет.
Свяжи себе законы божественыхь писаний и послѣдуй тѣмь, писанием же истиннымь, божественымь. Писаниа бо многа, но не вся божествено суть. Ты же истинная извѣстнѣ испытавь от чтений сих и бесѣд разумных и духовных мужей — понеже не вси, но разумнии разумѣвають сих — и без свѣдѣтельства писаний таковыхь не твори что, якоже и азъ. О себѣ повѣдаю ти, понеже яже по Бозѣ любовь твоа безумна мя сътворяеть — еже о себѣ глаголати ми. Но якоже речено есть: «Таиньства моа любящим мя открываю».[11] Того ради глагола ти.	Свяжи себя законами божественных писаний и последуй им — писаниям истинным, божественным. Писаний ведь много, но не все они божественные. Ты же, в точности убедившись в их истинности из чтения их и из бесед с разумными и духовными мужами, — поскольку не все, но разумные люди понимают это, — без свидетельства таковых писаний ничего не делай, как и я. О себе говорю тебе потому, что по Боге любовь твоя делает меня безумным настолько, что я говорю о себе. Но как сказано: «Тайны мои любящим меня открываю». Того ради я и сказал о себе.
