Прихожение Михайлово. Чюдо 1-е, иже уродиваго Христа ради, еже есть на Клопско на Веряжи.	Явление Михаилы. Чудо первое юродивого Христа ради из Клопска, что на реке Веряже.
И князь молвитъ игумену и старцамъ: «Поберегите его — намъ человекъ той своитинъ!»[11] И с тѣх мѣстъ почалъ беречи его игуменъ и братья.	И князь сказал игумену и старцам: «Бережно относитесь к нему — этот человек наш свойственник!» С тех пор игумен и братья начали оберегать его.
Чюдо о кладязѣ. И тогды у Веряжи вся вода высохла. Пойде понамарь по водицу къ церкви, ажь Михайла пише на пѣску: «Чашю спасениа прииму, имя Господне призову. Ту будет кладяз неисчерпаемый». И какъ обѣднюю отпѣли и понамарь сказал игумену. И пойде игуменъ и Михайло на берегъ, и позри игуменъ, ажь писано на пѣску. И спроси игуменъ у Михайла: «Что, Михайло, писано на пѣску?» И Михайло глаголеть: «Чашу спасениа прииму, имя Господне призову. Ту будеть кладязь неисчерпаемый». И сътвори игуменъ и Михайло молитву. И покопа мало, и пойде вода опругомъ. И явися кладязь неисчерпаемый и до сего дни.	Чудо об источнике. Как-то в Веряже вся вода высохла. Пошел пономарь за водой для церкви и увидел, что Михаила пишет на песке: «Чашу спасения приму, имя Господне призову. Тут будет источник неисчерпаемый». И как обедню отпели, пономарь сказал об этом игумену. И пошли игумен и Михаила на берег, и посмотрел игумен, что написано на песке. И спросил игумен у Михаилы: «Что, Михаила, написано на песке?» И Михаила говорит: «Чашу спасения приму, имя Господне призову. Тут будет источник неисчерпаемый». И сотворили игумен и Михаила молитву. И покопали немного, и истекла вода ключом. И забил источник неисчерпаемый, и течет до нынешнего дня.
По времени же не малѣ прииде князь Костянтинъ Дмитреевичь[12] в монастырь къ Троицѣ святой на Клопско благословится у игумена Феодосиа и у Михайла ѣхать на Москву. И молвит князь таково слово: «Зовуть мя братья». И Михайла рече ему: «На Москву будешь у своей братьи. А устрой нынечя в домъ церковь каменную Святую Троицу при собѣ, а Богъ тебѣ, чядо, устроить на небесѣхъ каменыа полаты невидимо».	По прошествии немалого времени пришел в Троицкий святой монастырь на Клопске князь Константин Дмитриевич, чтобы благословиться на поездку в Москву у игумена Феодосия и у Михаилы. И так говорит князь: «Зовут меня братья». И Михаила сказал ему: «Будешь в Москве у своих братьев. А нынче построй в монастыре, пока ты здесь, каменную церковь Святой Троицы, а Бог тебе, чадо, устроит за это каменные невидимые палаты на небесах».
И рече князь Феодосию и Михайлу: «Ест ли у вас таковы мастеры?» И Феодосий рече ему: «Есть, княже». И посла игуменъ по мастеровъ, по Олександра, и по Ивана, и по Олисѣа. И рече князь мастерамъ: «Можете ли ми сего лѣта устроити церковь камену?» И рекоша мастеры: «Можемъ, господине, а в ту церковь святого Николу, что на Ляткѣ».[13]	И говорит князь Феодосию: «Есть ли у вас для этого мастера?» И Феодосии ответил ему: «Есть, княже». И послал игумен Феодосии за мастерами Александром, Иваном и Елисеем. И спросил князь у мастеров: «Можете ли мне в этом году построить церковь каменную?» И отвечали мастера: «Можем, господин, такую же, как церковь святого Николы на Лятке».
И урядися князь с мастеры: и даст имъ задатка 30 рублевъ, а после имъ взяти 100 рублевъ да по однорядки.[14] И хлѣбъ им ясти в трапезѣ оприщно наймитовъ.	И договорился князь с мастерами: дал им в задаток тридцать рублей, а потом им получить сто рублей да по однорядке. А кормиться им, без работников, в монастырской трапезной.
И заложиша церков на царя Костянтинов день.[15] И, свершиша церковь до раменъ, и не сташа камени. Нѣгде чего добыти стало — погодьее велико двѣ недели. И мастеры хотѣли прочь побѣжать. И князь почалъ скорбѣти, что церковь не свѣршена — занеже ему на Москву ѣхать. И Михайло князю молвить: «Княже, не скорби! Богъ дастъ во утрѣ тишину». И бысть в утрѣ тишина. И послалъ по камение в лодьях. Ино имъ повѣтерие с каменьемъ и сѣм, и там. А свершиша Святую Троицу на Дмитреевъ день.[16]	И заложили церковь в день памяти царя Константина. И, когда возвели церковное строение в рост человека, окончился камень. И не было возможности нигде ничего достать — стояла непогода великая две недели. И мастера решили прочь уйти. А князь начал горевать, что церковь не достроена, а ему уже в Москву пора ехать. И Михаила говорит князю: «Князь, не тужи! Бог даст наутро тишину». И утром стало тихо. И послали за камнем в ладьях. И дул попутный ветер, когда и туда ехали и обратно с камнем. А завершили храм Святой Троицы на Дмитриев день.
И князь хоче к Москвѣ, и Михайло рече ему: «Жди до пути — будут по тебе, княже, честныи люди. А ты, княже, не забуди своего манастыря и нас, нищих. А мы, доколѣ свѣтъ стоит, а за тебе Бога молимъ». А поѣхалъ князь на Москву к братьи, и приняли его с честью.	И князь решил ехать в Москву, а Михаила говорит ему: «Жди подходящего времени — прибудут тебя звать, княже, честные люди. А ты, князь, не забудь свой монастырь и нас, нищих. А мы, доколе свет стоит, будем за тебя Бога молить». И поехал князь в Москву к братии, и приняли его с честью.
А в то время немоглъ владыка Иванъ 3 года,[17] и взяша мужа честна у святого Спаса на Хутынѣ на владычество — Семиона.[18] И сведоша его на сени, и бысть три года не поставленъ, и постави его митрополитъ, и бысть три года, и потомъ сведоша его. И сведоша на сѣни Феодосиа, мужа честна, по проречению Михайлову и по жребию на владычьство. И поживъ на владычьствѣ три года, и потомъ сведоша его с сѣней, и бояри послаша его в монастырь. И поживе в манастырѣ два годы при Еуфимии:[19] и послѣ Феодосиа введоша мужа честна на сѣни Омельяна, нареченаго на владычьство Еуфимья.	А в то время болел владыка Иван три года, и избрали на владычество честного мужа из Спасского Хутынского монастыря Симеона. Возвели его на владычный престол, и три года владычествовал без поставления, а потом поставил его митрополит, и владычествовал еще три года, и после этого свели его со владычества. И возвели на владычный престол, по пророчеству Михаилы и по жребию, Феодосия, мужа честна. И пробыл на владычестве три года, и потом свели его с владычного престола, и бояре отослали назад в монастырь. И после этого прожил он еще два года в монастыре при владыке Евфимии. После Феодосия на владычный престол возвели владыкой мужа честного Емельяна, нареченного на владычестве Евфимием.
Бысть налога на монастырѣ от посадника Григориа Кириловича.[20] Приде Григорей в манастырь на Великъ день[21] къ церкви, к обѣдней, Святѣй Троици. И игуменъ, отпѣвъ обѣднюю, да вышелъ из церкви. И посадникъ удръжа игумена и чернцовъ на манастырѣ. И рече посадникъ игумену таково слово: «Не пускай ни коней, ни коровъ на жары[22] — то земля моя. Ни по рѣки по Веряжи, ни по болотомъ, ни под дворомъ моимъ не ловити. А почнете ловити, и язъ ловцамъ вашим велю ногы и руки перебити».	Разгневался однажды на монастырь посадник Григорий Кириллович. Пришел Григорий в монастырь в Великий день на обедню в церковь Святой Троицы. И игумен, отпев обедню, вышел из церкви. А посадник удержал игумена и чернецов на монастырском дворе. И сказал посадник игумену такие слова: «Не пускай ни коней, ни коров на жары — то моя земля. И ни по реке Веряже, ни по болотам, ни около двора моего не ловите рыбы. А начнете ловить, — прикажу я рыболовам вашим руки и ноги переломать».
И Михаилъ рече посаднику: «Будеши без рукъ и без ногъ, мало в водѣ не утонеши!»	И Михаила сказал посаднику: «Сам будешь без рук и без ног, и в воде едва не утонешь!»
И посла игуменъ и Михайло ловцевъ на рѣку ловити и на болота. И вышелъ посадникъ, ажь ловци тоню волокут. И онъ пошол к ним, к рѣки, да и в рѣку за ними сам сугнавъ, да ударилъ рукою, да хотѣлъ другой ряд, такъ мимо ударилъ да палъ в воду, мало не утонулъ. Люди подняли его, пришедъ, да повели его, ано у его ни рукъ, ни ногъ, по пророчьству Михайлову.	И послали игумен и Михаила рыболовов на реку и на болота ловить рыбу. И вышел посадник, а рыболовы тянут сети. И он пошел к ним, к реке, да и в реку сам за ними погнался, ударил кого-то рукою да хотел в другой раз ударить, но промахнулся да упал в воду и едва не утонул. Подоспевшие слуги подняли его да повели, а у него, по пророчеству Михаилы, руки и ноги отнялись.
И привезли его в манастырь порану. И Михайло не велѣл на манастырь пускати, ни кануна[23] приимати, ни свѣщи, ни проскуры. И они поѣхали проч з грозбою: «Мы ся пожалуемъ владыцѣ да Великому Новугороду, что вы за посадника не хотите молебну пѣть да канону и проскуръ не приимаете». И пошли къ владыцѣ жаловатися и к Новугороду Яковъ Ондрѣановъ сынъ, Феофилат Захарьинъ сынъ, Иванъ Василъев.[24] И владыка послалъ своего протопопу да протодиакона к Михайлу и къ игумену: «Пойте за посадника молебенъ да обѣднюю». И Михайла рече протопопу и протодиакону: «Молимъ Бога о всем миру, не токмо о Григорьи. Поѣздишь по манастыремъ, попросишь у Бога милости!»	И рано утром привезли его в монастырь. А Михаила не велел его в монастырь пускать, ни принимать от него ни кануна, ни свечей, ни просвир. И поехали они прочь с угрозами: «Мы пожалуемся владыке и Великому Новгороду, что вы не хотите за посадника молебен служить и ни просвир, ни кануна не принимаете». И пошли Яков Андреанов сын, Феофилат Захарьин сын, Иван Васильев жаловаться владыке и Новгороду. И послал владыка своего протопопа да протодьякона к Михаиле и к игумену: «Отслужите за посадника молебен и обедню». А Михаила говорит протопопу и протодьякону: «Молим мы Бога о всех людях, не только о Григории. Пусть поездит по монастырям, попросит у Бога милости!»
И поѣхал посадникъ по манастыремъ да почалъ давати милостыню, и по всѣмъ городцким манастырем ѣздилъ год да полтора месяца и нигдѣ себѣ милости не обрѣлъ от Бога, ни в коемъ монастыри. Приѣхавъ, послалъ ко владыцѣ: «Не обрѣлъ есми в монастырех собѣ помощи». И владыка рече ему: «Поѣдь нынеча в монастырь Святыа Троици да проси милости у Святыа Троици да у старца у Михайла».	И поехал посадник по монастырям и начал давать милостыню, и целый год и полтора месяца ездил он по всем новгородским монастырям и нигде, ни в одном из монастырей, милости от Бога не обрел. Вернувшись домой, послал посадник сказать владыке: «Не обрел я себе помощи в монастырях». И владыка говорит ему: «Теперь поезжай в монастырь Святой Троицы да проси прощения у Святой Троицы да у старца у Михаилы».
И посла владыка своих поповъ да и посадника. И приѣхавъ да велѣлъ молебенъ пѣти да обѣднюю. Да внесли посадника на коврѣ в церковь и перекреститися не может. И начаша молебенъ пѣти Святыа Троици. И дойде до конца, и онъ почалъ рукою двигати, а годъ весь да полтора месяца ни рукою, ни ногою не двигивалъ. И пошли съ Евангелием на выход, и он прекрестился да сѣлъ. И дойде до переноса,[25] и он сталъ на ноги и стоялъ до скончания.	И послал владыка в монастырь своих попов с посадником. И когда приехали, то велел Михаила молебен петь и обедню служить. Посадника внесли в церковь на ковре, а он и перекреститься не может. И начали петь молебен Святой Троице. И когда дошли до конца, — начал он рукой двигать, а ведь целый год и полтора месяца ни рукою, ни ногою не мог пошевелить. Когда пошли с Евангелием на выход, — он перекрестился да сел. А когда дошли до переноса, — он встал на ноги и стоял до конца службы.
И, отпѣвъ обѣднюю, пошли в трапезу и поставя обѣд. И посадникъ рече: «Святаа братья, хлѣбъ, осподо, да соль!» И Михайла противъ того: «Еже уготова Богъ его любящимъ и заповѣди его хранящим, а зачинающимъ рать Богъ его погубить!»	И, отпев обедню, пошли в трапезную, где был приготовлен обед. И посадник сказал: «Святая братия, хлеб да соль вам, отцы!» А Михаила в ответ: «Что уготовил Бог любящим его и заповеди его соблюдающим, а того, кто зачинает рать, — Бог накажет!»
И бысть от Михайла наученъ Посахне посадникъ, и бысть с тѣх мѣстъ добръ до Михайла и до манастыря.	И был так посадник Посахно научен Михайлой и с тех пор стал добр и к Михаиле, и к монастырю.
Хватя старцы Михайла на Святой недѣли,[26] аже его в манастырѣ нѣт. И явися в городе у Святыа Софѣя в притвори.[27] И позна его Посахне Григорей Кириловичь. По заутренѣй да молвит: «Михаилъ, яжь хлѣба с нами в одномъ мѣстѣ». И онъ молвит: «Богъ знаетъ!» И пристави к нему человека. И хватя, ажь Михайла ни бывало. И пойде попъ ис церкви на Клопскѣ, ажь Михайла стоить в притворѣ у церкви. И мало хлѣба отъѣли, аже Посахне человека прислалъ смотрѣти Михайла — есть ли в манастырѣ, ажь в манастырѣ.	Хватились раз старца Михаилы на Святой неделе, а его в монастыре не оказалось. Он же в это время появился в городе, у Святой Софии в притворе. И узнал его Посахно Григорий Кириллович. И говорит ему, как кончилась заутреня: «Разговейся вместе с нами». А он в ответ: «Бог знает!» И велел посадник своему человеку присмотреть за ним. Хватились, а Михаилы как не бывало. А в это время из церкви на Клопске пошел поп и видит — стоит Михаила в церковном притворе. И немного поели, а Посахно прислал человека узнать — не в монастыре ли Михаила, а он уже в монастыре.
Бысть брань о землѣ Олферью Ивановичу с Ываном с Семеновичемъ с Лошиньскимъ.[28] И прорече Михайло Олферью Ивановичу: «Будеши без рукъ и без ногъ и нѣмъ!» И пришедши Олферий к церкви Святѣй Богородици в Курецко[29] и молви: «Брате Иване, то земля моя!» Да по руки ударилъ, да рукавицею ударилъ в землю. Да по рукавицу наклонился, и уя у него рука и нога, и языкъ проч отнялся и не говоритъ.	Поспорили из-за земли Олферий Иванович с Иваном Семеновичем Лошинским. И предсказал Михаила Олферию Ивановичу: «Отнимутся у тебя руки и ноги, и онемеешь!» Вот пришел Олферий к церкви Святой Богородицы в Курецке и говорит: «Брат Иван, здесь моя земля!» Ударил он по рукам с Иваном Семеновичем Лошинским и рукавицею оземь. Наклонился поднять рукавицу, и отнялись у него рука и нога, и язык отнялся, так что и говорить не может.
В та же лѣта възвели владику Еуфимиа Другаго[30] на сѣни. И поживѣ 3 года нареченымъ, а не поставленым. И приѣде владыка на Клопско кормить манастыря. И сѣдячи владыка за столом да молвит: «Михайлушко, моли Бога о мнѣ, чтобы было свершение от князя великого!» И у владыкы в руках ширинка. И онъ ширинку дергь из рукъ вонъ у владыкы да на главу владыкы: «Доѣдешъ в Смоленско, и поставят тя владыкою». И ѣздилъ владыка в Смоленско и сталъ владыкою. И приѣхавъ владыка опять к Михайлу, и рече Михайлу: «Богъ мене свершилъ и митрополитъ и зовуть мя на Москву». И Михайло рече владыкѣ: «На Москву тебѣ ехати и добиешь челомъ князю великому и митрополиту». И приѣхалъ владыка къ князю и добилъ челомъ митрополиту, по пророчеству Михайлову.	В те же годы возвели на владычный престол владыку Евфимия Второго. И владычествовал он три года избранным, но не поставленным. Как-то приехал владыка в Клопский монастырь братию кормить. Вот, сидя за столом, владыка и говорит: «Михайлушка, моли Бога за меня, чтобы было от великого князя согласие на поставление». А в руках у владыки платок. И Михаила выхватил платок из рук владыки да возложил его на главу владыке: «Поедешь в Смоленск, и там тебя поставят во владыки». И ездил владыка в Смоленск и был поставлен владыкой. И приехал владыка опять к Михаиле и говорит ему: «Бог меня поставил и митрополит, и зовут меня в Москву». И Михаила сказал владыке: «В Москву тебе ехать и бить челом великому князю и митрополиту». И ездил владыка к князю и бил челом митрополиту, как предсказал Михаила.
Приѣхалъ тогды князь Дмитрей Юрьевич[31] в Новъгород и приѣхалъ на Клопско у Михайла благословится. И рече: «Михайлушко, бѣгаю своей отчинѣ — збили мя с великого княженья!» И Михайла рече: «Всякая власть дается от Бога!» И князь вопроси: «Михайлушко, моли Бога, чтобы досягнути мнѣ своей отчинѣ — великого княжениа». И Михайла рече ему: «Княже, досягнеши трилакотнаго гроба!» И князь, того не рядячи, да поѣхалъ досягати великого княжениа. И Михайла рече: «Всуе тружаешися, княже, чего Богъ не дастъ». И не бысть Божия пособья князю.	Приехал в ту пору в Новгород князь Дмитрий Юрьевич и пришел в Клопский монастырь благословиться у Михаилы. И говорит он: «Михайлушка, скитаюсь вдали от своей вотчины — согнали меня с великого княжения!» А Михаила в ответ: «Всякая власть дается от Бога!» И князь попросил: «Михайлушка, моли Бога, чтобы мне добиться своей вотчины — великого княжения». И Михаила говорит ему: «Князь, добьешься трехлокотного гроба!» Князь же, не вняв этому, поехал добиваться великого княжения. И Михаила сказал: «Всуе стараешься, князь, — не получишь, чего Бог не даст». И не было Божьей помощи князю.
И в то время спросили у Михайла: «Пособил Бог князю Дмитрею?» И Михайла рече: «Заблудили наши!» И они записали тотъ день. Аже так ся и было. И опять прибѣглъ в Великий Новъгород. И приѣхалъ опять князь на Клопско манастыря кормить и у Михайла благословится. Накормилъ и напоил старцовъ, и Михайлу далъ, с себе снемъ, шубу. И проводить почяли князя с манастыря, и Михайла за голову князя погладит да молвитъ: «Княже, земля вопиет!» И трижды молвитъ. Аже князь канунъ Ильина дни преставился.[32]	И в то время спросили у Михаилы: «Пособил Бог князю Дмитрию?» И Михаила сказал: «Впустую проплутали наши!» Записали день, в который это было сказано. И так оно и оказалось. Опять прибежал князь в Великий Новгород. И опять приехал он в Клопский монастырь братию кормить и у Михаилы благословиться. Накормил и напоил старцев, а Михаиле дал шубу, с себя сняв. Когда стали князя провожать из монастыря, то Михаила погладил князя по голове да промолвил: «Князь, земля по тебе стонет!» И трижды повторил это. Так и случилось — накануне Ильина дня князь преставился.
Погибе из манастыря олень, и Михайла с нимъ. И пребысть Михайло и олень 3 недѣли невѣдомо гдѣ. И преставися Феодосий канунъ Покрова дни.[33] И послаша ко владыкѣ Еуфимью проводить Феодосиа, и онъ не поѣхалъ. И три дни лѣжал не похороненъ. И люди добрыи скопяся из города, игумены честныи и попы и понесъ Феодосиа ко гробу хоронити; посмотря, аже иде Михаилъ, а олень за нимъ, а не привязанъ ничѣмъ: только у Михайла мошку въ руках, а онъ за мошком идет. И положиша Феодосиа въ гробѣ, и положиша честно его.	Раз исчез из монастыря олень и Михаила с ним. И три недели неведомо где пропадали, и Михаила, и олень. А накануне Покрова дня преставился Феодосии. И послали за владыкой Евфимием, чтобы проводил Феодосия, а тот не поехал. И три дня лежал Феодосии непохороненным. И собрались люди добрые из города, игумены честные и попы и понесли Феодосия к могиле хоронить; смотрят, идет Михаила, а олень за ним, ничем не привязан: только у Михаилы клочок мха в руке, и олень за клочком мха идет. И положили Феодосия в могилу, и честно погребли его.
Разболися Михайло месяца декабря на Савинъ день,[34] ходя к церкви. А стоялъ на правой сторонѣ у церкви въ дворѣ, противъ Феодосиева гроба. И почалъ кто говорить ему игуменъ и старцы: «Чему, Михайло, не стоишъ въ церкви, а стоишъ на дворѣ?» И онъ им промолви: «Ту язъ хощю полежати!»	В декабре месяце на Саввин день разболелся Михаила, но в церковь не ходил. А стоял справа у церкви, на дворе, против могилы Феодосия. И стали спрашивать его игумен и старцы: «Почему, Михаила, не стоишь в церкви, а стоишь на дворе?» И он им ответил: «Тут я хочу полежать».
И до преставления его житья в монастырѣ 50 лѣтъ да 6 месяць. А не требовалъ ни постели, ничего, а келъю топиль наземомъ да коневым калом, а самъ на писку лежалъ.	И до преставления своего прожил он в монастыре пятьдесят лет и шесть месяцев. А постели и ничего другого не требовал себе, а спал на песке, а келью топил мусором и конским навозом.
А дары взялъ на Феодосиевъ день[35] на своихъ ногах и да взял с собою кандило и темъянъ, да пошел в келъю. И послал к нему игуменъ питъ и ѣсть от трапезы. И они пришли, ажно заперто. И они отперли, ажь темьанъ ся куритъ, а его в животи нѣть.	На Феодосиев день Михаила сам принял святые дары и, взяв с собою кадильницу и фимиам, пошел в келью. Послал игумен ему от трапезы еды и питья. И когда пришли к нему, то келья была закрыта. Открыли, и фимиам еще курился, а его уже не было в живых.
И почали искати мѣста, где его положити — земля меръзла. И спомянуша черньцы и игуменъ испытати того мѣста, где самь стоялъ Михайла. И онѣ того мѣста досмотрѣша, ажь земля тала. И они ту его погребоша честно.	И стали искать место, где его положить, и везде земля была мерзлая. И надумали чернецы и игумен проверить то место, где стоял Михаила. Попробовали они копать в этом месте, и оказалась земля тут талой. И погребли они его здесь честно.
