СЛОВО О ЖИТЬИ И О ПРЕСТАВЛЕНИИ ВЕЛИКАГО КНЯЗЯ ДМИТРИА ИВАНОВИЧА, ЦАРЯ РУСКАГО	СЛОВО О ЖИТИИ И О ПРЕСТАВЛЕНИИ ВЕЛИКОГО КНЯЗЯ ДМИТРИЯ ИВАНОВИЧА, ЦАРЯ РУССКОГО
Еще же дръзну несрамно рещи о житии сего нашего царя Дмитриа, да се слышаще, царие и князи, научитеся тако творити.	И еще дерзну и не постыжусь поведать о житии нашего царя Дмитрия, да, услышав это, цари и князья научатся так же поступать.
От юны бо версты Бога възлюби и духовных прилежа дѣлех, аще и книгамь не ученъ бѣаше добрѣ, но духовныа книгы въ сердци своемь имяше. И се едино повѣмь от житиа сего: тѣло свое чисто съхрани до женитвы, церковь себе съблюде святому Духу нескверньну. Очима зряше часто к земли, от неяже взятъ бысть, душю же и умъ простираше к небеси, идѣже лѣпо есть ему пребывати. И по брацѣ съвокуплениа тоже тѣло чисто съблюде, грѣху не причастно. Божественаго апостола Павла сбыстся о немь глаголющее, еже рече: «Вы есте церкви Бога живаго, якоже рече: “Вселюся в ня и похожу”».[19] Царьскый убо санъ дръжаше, а аггелскы живяше, постомъ и молитвою по вся нощи стояше, сна же токмо мало приимаше; и пакы по малѣ часѣ на молитву встаяше, и подобу благу все творяше. В бернѣм телеси бесплотных житие съвръшаше. Землю Рускую управляше, на престолѣ сѣдяше, яко пещеру в сердци дръжаше, царскую багряницю и вѣнець ношаше, а в чернечьскыа ризы по вся дни облещися желаше. По вся часы честь и славу от всего мира прииимаше, а крестъ Христовь на раму ношаше, божествныа дни поста въ чистотѣ храняше, а по вся неделя от святых таинъ приимаше. Преочистованну душу пред Богомъ хотяше поставити; поистинѣ явися земный аггелъ, небесный человѣкъ.	С юных лет Бога он возлюбил и усердствовал в духовных делах, хотя и не изощрен был в книжной премудрости, но духовные книги в сердце своем держал. И еще одно поведаю о жизни его: тело свое в чистоте сберег до женитьбы, церковь свою сохранил святому Духу неоскверненной. Очи всегда опускал к земле, из которой и взят был, душу же и ум обращал к небу, где и подобает ему пребывать. И после бракосочетания так же тело в чистоте соблюдал, к греху непричастным. Сбылись на нем слова божественного апостола Павла, который сказал: «Вы — храм Бога живого, говорившего: “Вселюсь в них и в них пребуду”». Царским саном облеченный, жил он по-ангельски, постился и все ночи простаивал на молитве, сну лишь ненадолго предаваясь; вскоре снова вставал на молитву и в такой благости всегда пребывал. Тленное тело имея, жил он жизнью бесплотных. Землею Русскою управляя и на престоле сидя, он в душе об отшельничестве помышлял, царскую багряницу и царский венец носил, а в монашеские ризы всякий день облечься желал. Всегда почести и славу от всего мира принимал, а крест Христов на плечах носил, божественные дни поста в чистоте хранил и каждое воскресение святых таинств приобщался. С чистейшей душой перед Богом хотел он предстать; поистине земной явился ангел и небесный человек.
И поживе лѣт с своею княгинею Оводотьею лѣт 22 в цѣломудрии, и прижит сыны и дщери, и въспита в благочьстии. А княжение великое дръжаше, очину свою, лет 29 и шесть мѣсяць, и многы труды показа и побѣды, яко никтоже инъ, а всѣх лѣт житья его 38 и пять мѣсяць. И посем разболѣся и прискоръбен бысть велми. Потом же легчае бысть ему, и възрадовася великаа княгини радостию великою и сынове его, и велможи царства его. И пакы впаде в болшую болезнь, и стенание прииде к сердцю его, яко торгати внутрьнимь его, уже приближися к смерти душа его.	И прожил он со своей княгиней Авдотьей двадцать два года в целомудрии, и имел с ней сыновей и дочерей, и воспитал их в благочестии. А княжение великое держал, отчину свою, двадцать девять лет и шесть месяцев, и многие славные деяния свершил, и победы одержал как никто другой, а всех лет жизни его было тридцать восемь и пять месяцев. А потом разболелся он и мучился сильно. Но после полегчало ему, и возрадовалась великая княгиня радостью великою, и сыновья его, и вельможи царства его. И снова впал он в еще больший недуг, и стоны охватили сердце его, так что разрывалось нутро его, и уже приблизилась к смерти душа его.
В то же время родися ему сынь Костянтинъ. И призва к собѣ княгиню свою, и ины сыны своя, и бояре своя, и рече: «Послушайте мене вси. Се бо аз отхожу к Господу моему. Ты же, драгаа моя княгини, буди чядом своим отець и мати, наказающи их и укрѣпляющи, все творяще по заповѣдемь Господнимь: послушливым и покорливымь быти, Бога боятися и родителя своя чьстити, и страх ихъ дръжати в сердци своемь вся дни живота своего». И рече сыномъ своимъ: «Вы же, сынове мои, плод чрева моего, Бога боитеся, помните писаное: “Чьсти отца и матере, да благо ти будет”.[20] Мирь и любовь межи собою имѣйте. Аз бо предаю вас Богови и матери вашей, и под страхомь ея будите всегда. Обяжите собѣ заповѣдь мою на шию свою, и вложите словеса моя в сердце ваше. Аще ли не послушаете родитель своихъ, помянѣте писаное: “Клятва отчяа домъ чядом раздрушит, и матерне въздыхание до конца искоренить”.[21] Аще ли послушаете — длъголѣтни будете на земли и в благыхъ пребудет душя вашя, и умножится слава дому вашего, врази ваши падут под ногами вашими, и иноплеменници побѣгнут от лиця вашего, и облегчится тягота земли вашей, и умножатся нивы вашя обильемь. Бояре своя любите, честь имь достойную въздающе противу служению их, без воля их ничто же творите. Привѣтливи будете къ всѣм. Но все творите с повелѣниемь родителя своего».	В то же время родился у него сын Константин. И призвал князь к себе княгиню свою, и других сыновей своих, и бояр своих, и сказал: «Послушайте меня все. Вот и отхожу я к Господу моему. Ты же, дорогая моя княгиня, будь детям своим за отца и мать, укрепляя дух их и наставляя все делать по заповедям Господним: послушными и покорными быть, Бога бояться и родителей своих почитать, и страх пред ними хранить в сердце своем во все дни жизни своей». И сказал сыновьям своим: «Вы же, сыны мои, плод мой, Бога бойтесь, помните сказанное в Писании: “Чти отца и мать, и благо тебе будет”. Мир и любовь между собой храните. Я же вручаю вас Богу и матери вашей, и в страхе перед нею пребудьте всегда. Повяжите заветы мои на шею себе и вложите слова мои в сердце ваше. Если же не послушаете родителей своих, то вспомните потом написанное: “Проклятие отца дом детей его разрушит, а вздохи матери до конца искоренят”. Если же послушаете — будете долго жить на земле, и в благоденствии пребудет душа ваша, и умножится слава дома вашего, враги ваши падут под ногами вашими, и иноплеменники побегут пред лицом вашим, избавится от невзгод земля ваша, и будут нивы ваши изобильны. Бояр своих любите, честь им воздавайте по достоинству и по службе их, без согласия их ничего не делайте. Приветливы будьте ко всем и во всем поступайте по воле родителя своего».
И рече бояромь своим: «Сберѣтеся ко мнѣ, да скажу вамъ, еже створях в житьи своемь. Старцы — яко отцы, средовѣчь — яко братья, младии — яко чада. Вѣдаете обычай мой и нрав: пред вами ся и родихъ и при вас възрастох, с вами и царствовах, и землю Рускую дръжах 27 лѣт, а от рожениа ми 40 лѣт. И мужъствовах с вами на многы страны, и противным страшен бых в бранех, и поганыа низложих Божиею помощию, врагы покорих, княжение укрѣпих, миръ и тишину на земли сътворих. Отчину свою с вами съблюдох, еже ми предалъ Богъ и родители моя, к вамь честь и любовь имѣх, под вами грады дръжах и великыа волости. И чяда вашя любих, никому же зла не створих, ни силно что отъях, ни досадих, ни укорих, ни разграбих, ни безчинствовах, но всѣх любих и въ чести дръжахъ, и веселихся с вами, с вами же и скръбѣх. Вы же не нарекостеся у мене бояре, но князи земли моей. Нынѣ же помяните словеса своя, яже рекосте къ мнѣ въ время свое: “Длъжни есмы тобѣ служа и дѣтемъ твоим главы своя положити”. Укрѣпите истиною, послужите княгини моей и чядом моимъ от всего сердця своего, въ время радости повеселитеся с ними, и въ время скръби не оставите их: да скръбь ваша на радость преложится. Богъ же мира да будет с вами».	И сказал боярам своим: «Подойдите ко мне, да поведаю вам, что совершил я в жизни своей. Старцы — что отцы мне были, средних лет мужи — словно братья, молодые же — как дети. Знаете привычки мои и нрав: при вас я родился, на глазах у вас вырос, с вами и царствовал и землю Русскую держал двадцать семь лет, а от рождения мне сорок лет. И воевал с вами против многих стран, и супротивным страшен был в бранях, и поганых попрал Божьей помощью, врагов покорил, княжество укрепил, мир и тишину на земле водворил. Отчину свою, которую передал мне Бог и родители мои, с вами сберег, чтил вас и любил, под вашим правлением свои города держал и великие волости. И детей ваших любил, никому зла не причинял, ничего силой не отнимал, не досаждал, не укорял, не разорял, не бесчинствовал, но всех любил и в чести держал, и веселился с вами, с вами же и горе переносил. Вы же назывались у меня не боярами, но князьями земли моей. Ныне же вспомните о словах своих, сказанных мне в свое время: “Должны мы, тебе служа и детям твоим, за вас головы свои сложить”. Скрепите их правдою, послужите княгине моей и детям моим от всего сердца своего, в часы радости повеселитесь с ними, а в горе не оставьте их: пусть сменится скорбь ваша радостью. Да будет мир между вами».
И призвавъ сына своего прьвие болшаго, князя Васильа,[22] на старѣйший путь,[23] предасть в руцѣ его великое княжение, яже есть столъ отца его, и дѣда, и прадѣда, съ всѣми пошлинами, и далъ есть ему отчину свою — Рускую землю. И раздавал же есть комуждо своимь сыномъ: и грады своя въ отчину имъ предасть по части, и жребий княжениа их, на чемь им княжити и жити, и по жребью раздѣли имъ землю. Второму сыну своему, князю Юрью,[24] далъ есть Звенигород съ всѣми волостьми и съ всѣми пошлинами, такоже и Галич, яже нѣколи бывало княжение Галицкое,[25] съ всѣми вълостьми и съ всѣми пошлинами. Третиему же сыну своему, князю Андрею,[26] далъ есть град Можаескъ, да другый городок — Бѣлоозеро, съ всѣми волостьми и съ всѣми пошлинами; се же княжение нѣколи бывало Белоозерское. Четвертому же сыну своему, князю Петру,[27] далъ есть город Дмитровъ съ всѣми волостьми и съ всѣми пошлинами.	И, призвав сначала сына своего старшего, князя Василия, на старейший путь, передал в руки его великое княжение — стол отца его, и деда, и прадеда, со всеми пошлинами, и передал ему отчину свою — Русскую землю. И раздавал каждому из своих сыновей: передал им часть своих городов в отчину, и каждому долю в княжении их, где кому из них княжить и жить, и каждому из них дал по праву его землю. Второму сыну своему, князю Юрию, дал Звенигород со всеми волостями и со всеми пошлинами. Третьему же сыну своему, князю Андрею, дал город Можайск, да другой городок — Белоозеро, со всеми волостями и со всеми пошлинами; это княжение было когда-то Белозерским. Четвертому же сыну своему, князю Петру, дал город Дмитров со всеми волостями и со всеми пошлинами.
И тако утвръдив златопечатною грамотою, и лобызав княгиню и дѣти своя, и бояре своя конечнымь лобзаниемь, и благослови их, и пригнувъ руцѣ к персемъ, и тако предасть святую свою и непорочную душу в руцѣ истиннаго Бога майа въ 19, на память святого мученика Патрекиа, на 5-й недели по Пасцѣ в среду, въ 2 час нощи. Тѣло же его честное на земли остася, а святая его душя въ небесныа кровы вселися.	И так утвердил он все это златопечатной грамотой, и, поцеловав княгиню, и детей своих, и бояр своих прощальным целованием, благословил их, и, сложив руки на груди, предал святую свою и непорочную душу в руки истинного Бога девятнадцатого мая, в день памяти святого мученика Патрикия, на пятой неделе после Пасхи в среду, в два часа ночи. Тело его честное осталось на земле, душа же его святая в небесную обитель вселилась.
Егда же преставися благовѣрный и христолюбивый, благородный князь Дмитрий Иванович всея Руси, и просвѣтися лице его, яко аггелу. Видѣв же его княгини мрътва на постели лежаша, въсплакася горкымъ гласом, огньныа слезы от очию испущающи, утробою распаляющи, в перси своя руками бьюще. Яко труба, рать повѣдающи, яко ластовица, рано шепчущи, и арганъ сладковѣщающий, глаголаше: «Како умре, животе мой драгый, мене едину вдовою оставив! Почто азъ преже того не умрох? Како заиде свѣт от очию моею! Где отходиши, съкровище живота моего, почто не проглаголеши ко мнѣ, утроба моя, к женѣ своей? Цвѣте прекрасный, что рано увядаеши? Винограде многоплодный, уже не подаси плода сердцю моему и сладости души моей! Чему, господине мой милый, не възриши на мя, чему не промолвиши ко мнѣ, чему не обратишися ко мнѣ на одрѣ своемъ? Ужели мя еси забыл? Что ради не възриши на мене и на дѣти свои, чему имъ отвѣта не даси? Кому ли мя приказываеши? Солнце мое, — рано заходиши, мѣсяць мой свѣтлый, — скоро погибаеши, звѣздо всточная, почто к западу грядеши? Царю мой милый, како прииму тя и како тя обойму или како ти послужу? Где, господине, чьсть и слава твоя, где господьство твое? Господинъ всей земли Руской былъ еси — нынѣ же мертвъ лежиши, никим же владѣеши! Многы страны примирилъ еси и многы побѣды показал еси, нынѣ же смертию побѣженъ еси. И измѣнися слава твоя, и зракъ лица твоего превратися въ истлѣние. Животе мой, како намилуюся тебе, како повеселюся с тобою! За многоцѣнныа багряница[28] — худыа сиа и бѣдныа ризы приемлеши, не моего наряда одѣание на себе въздѣваеши, и за царскый вѣнець худымь симь платомъ главу покрываеши, за полату красную гробъ си приемлеши! Свѣте мой свѣтлый, чему помрачился еси? Горо великаа, како погыбаеши! Аще Богъ услышит молитву твою, помолися о мнѣ, о своей княгини: вкупѣ жих с тобою, вкупѣ нынѣ и умру с тобою, уность не отиде от нас, а старость не постиже нас. Кому прикажеши мене и дѣти своя? Не много, господине, нарадовахся с тобою: за радость и веселие печаль и слезы приидошя ми, за утѣху — сѣтование и скорбь яви ми ся. Почто родихся и, родився, преже тебе како не умрох, да бых не видѣла смерти твоеа, а своеа погыбели! Не слышиши ли, княже, бѣдных моих словесъ, не смилят ли ся моя горкыа слезы? Крѣпко еси, господине мой драгый, уснулъ, не могу разбудити тебе! С которыа войны еси пришел, истомился еси велми? Звѣри земнии на ложе свое идут, а птиця небесныа к гнѣздомь своимъ летят, ты же, господине, от своего дому не красно отходиши![29] Кому уподоблюся и како ся нареку? Вдова ли ся нареку? Не знаю азъ сего. Жена ли ся нареку? Остала есмь царя. Старыа вдовы потѣшите мене, а младыя вдовы со мною поплачите: вдовиа бо бѣда горчае всѣх люди. Како ся въсплачю или како възъглаголю: “Великый мой Боже, царь царемь, заступникь ми буди! Пречистаа госпоже Богородице, не остави мене, въ время печали моеа не забуди мене!”».	Когда же преставился благоверный и христолюбивый, благородный князь всея Руси Дмитрий Иванович, озарилось лицо его ангельским светом. Княгиня же, увидев его мертвым на постели лежащего, зарыдала во весь голос, горячие слезы из глаз испуская, нутром распаляясь, била себя руками в грудь. Словно труба, на бой созывающая, как ласточка, на заре щебечущая, словно свирель сладкоголосая, причитала: «Как же ты умер, жизнь моя бесценная, меня одинокой вдовой оставив! Почему я раньше не умерла? Померк свет в очах моих! Куда ушел ты, сокровище жизни моей, почему не промолвишь ко мне, сердце мое, к жене своей? Цветок прекрасный, что так рано увядаешь? Сад многоплодный, уже не даруешь плода сердцу моему и радости душе моей! Почему, господин мой милый, не взглянешь на меня, почему ничего не промолвишь мне, не обернешься ко мне на одре своем? Неужели забыл меня? Почему не посмотришь на меня и на детей своих, почему им не ответишь? На кого ты меня оставляешь? Солнце мое, — рано заходишь, месяц мой светлый, — скоро меркнешь, звезда восточная, почему к западу отходишь? Царь мой милый, как встречу тебя и как обниму тебя или как послужу тебе? Где, господин, честь и слава твоя, где господство твое? Господином всей земли Русской был — ныне же мертв лежишь, никем не владеешь! Многие страны усмирил и многие победы показал, ныне же смертью побежден. И померкла слава твоя, и на лицо твое легла печать смерти. Жизнь моя, как приласкаюсь к тебе, как повеселюсь с тобой! Вместо драгоценной багряницы облачаешься в простые и бедные ризы, не мною расшитую одежду на себя надеваешь, вместо царского венца простым платом голову покрываешь, вместо палаты красной гроб себе приемлешь. Свет мой светлый, почему ты померк? Гора высокая, как ты рушишься! Если Бог услышит молитву твою, помолись обо мне, о своей княгине: вместе с тобою жила, вместе с тобою и умру ныне, юность не оставила нас, и старость еще не настигла. На кого оставляешь меня и детей своих? Не много, господин, нарадовалась я с тобою: вместо радости и веселья печаль и слезы пришли ко мне, вместо утехи — сетование и скорбь мне явились. Зачем родилась и, родившись, прежде тебя почему не умерла, — не видела бы тогда смерти твоей, а своей погибели! Неужели не слышишь, князь, печальных моих слов, неужели не трогают тебя мои горькие слезы? Крепко, господин мой дорогой, уснул, не могу разбудить тебя! С какой битвы пришел ты, истомившись так? Звери земные в норы свои идут, а птицы небесные к гнездам своим летят, ты же, господин, от своего дома без радости отходишь! Кому уподоблюсь и как себя нареку? Вдовой ли себя назову? Не знаю сама. Женой ли себя назову? Лишилась я царя! Старые вдовы, утешьте меня, а молодые вдовы, со мною поплачьте: вдовье горе тяжелее всех у людей. Как восплачу или как воскричу: “Великий мой Боже, царь царей, будь мне заступником! Пречистая госпожа Богородица, не оставь меня, в дни печали моей не забудь меня!”».
И принесше его в церковь святого архаггела Михаила, идѣже есть гробъ отца его, и дѣда, и прадѣда, и пѣвше над нимъ обычное надгробное пѣние, положиша его в гробъ месяца майя въ 20 день, на память святого мученика Фалелиа. И плакашя над ним князи и бояре, велможи и епископи, архимандриты и игумены, попове и диаконе, чръноризци и всь народ от мала и до велика, и нѣсть такова, кто бы не плакалъ, и пѣниа не слышати въ мнозѣ плачи. Бѣ же ту гость — митрополит тряпезонскый, Феогностъ гречин,[30] и владыка смоленскый Данило, и Сава, епископь сарайскый, и Сергий игумен, преподобный старець, и инии мнози; разидошася, многа плача наполнившеся.	И принесли его в церковь святого архангела Михаила, где стоит гроб отца его, и деда, и прадеда, и, отпев его по обычаю, положили его в гроб месяца мая в двадцатый день, на память святого мученика Фалалея. И плакали над ним князья и бояре, вельможи и епископы, архимандриты и игумены, попы и дьяконы, черноризцы и весь народ от мала и до велика, и не было никого, кто бы не плакал, и было не слышно пения в громком плаче. Был тут гость — митрополит трапезундский, грек Феогност, и владыка смоленский Данило, и Савва, епископ сарайский, и Сергий-игумен, преподобный старец, и многие другие; разошлись все, горько плача.
Пятый же сынь его, Иван, преставися, а шестый сынь его, Костянтинъ, яже есть менший, мезиный, тогда бо четверодневну сущу ему по отцѣ оставшуся, седьмый же сынь его старѣиший — Данило.[31]	Пятый же сын его, Иван, умер, а шестой сын его, Константин, самый маленький, еще младенец, ибо остался он тогда после отца четырехдневным, седьмой же сын его старший — Данило.
О страшное чюдо, братие, дива исплънено, о трепетно видѣние! Ужасъ одръжаше вся! Слыши, небо, внуши земле! Како въспишу ти и како възглаголю о преставлении твоемь: от горести душя языкъ стязается, уста загражаются, гортань премлъкает, смыслъ измѣняется, зракъ опуснѣвает, крѣпость изнемогается. Аще ли премолчу, нудит мя языкь яснѣе рещи.	О страшное чудо, братия, удивления исполнено, о видение, приводящее в трепет. Ужас объял всех! Услышь, небо, и поведай земле! Как напишу о тебе и как возглашу о преставлении твоем: от горя душевного язык немеет, уста затворяются, голос пропадает, разум мутнеет, взор меркнет, сила слабеет. Если ж умолкну, заставляет меня язык яснее прежнего говорить.
Егда же успе вѣчным сномь великый царь Дмитрий Рускыа земля, аеръ възмутися, и земля трясашеся, и человѣци смятошяся. Что нареку день той — день скръби и тугы, день тмы и мрака, день бѣды и печали, день въпля и слез, день сѣтованиа и жалости, день поношениа и страсти, день захлипания и кричаниа, недоумѣю рещи — яко день погибели! Но токмо слышах мног народ глаголющъ: «О, горе нам, братие! Князь князем успе, господинъ владствующим умре! Солнце помрачается, луна облаком закрывается, звѣзда, сиающия всему миру, к западу грядет!».	Когда же уснул вечным сном великий царь земли Русской — Дмитрий, воздух взмутился, и земля тряслась, и люди пришли в смятение. Как назову тот день — день скорби и уныния, день тьмы и мрака, день беды и печали, день вопля и слез, день сетования и горести, день поношения и страдания, день рыдания и возгласов отчаяния, не решаюсь сказать — день погибели! Только и слышал я, как множество людей говорило: «О, горе нам, братья! Князь князей почил, господин властителей умер! Солнце затмевается, луна облаком закрывается, звезда, сияющая на весь мир, к западу грядет».
Да си, глаголю, понуди мя Слово писати житие сего. Никтоже почюдится, еже помыслъ даяше сложению рѣчи утвержениа, помощника бо представляю к похвалѣ Бога святому, якоже и глаголется, Богъ Авраамов и Исааков и Иаковль, преизлишныа любве, и добродѣтели царя, ничтоже прилагая онѣх древних еллинскых философ повѣстей, но по житию достовѣрныа похвалы. Аки в зерцалѣ имый смѣсна разуму божествнаа Писания. Которых убо в мирѣ, тако свѣтлое и славное, чьсти достойное житие просиа и имя възрасте над человѣки! Красень бѣ взоромь и чистъ душею, съвръшенъ разумом. Иному убо ино сказание бывает на чьсть, похвалы прилаганиа дружня любы понужает. Великому же сему благочестиа дръжателю — от жития свѣтлости украшение, и от прародитель святолѣпие.	Скажу, что слово Божье понудило меня писать житие его. И пусть никто не дивится, что дан мне разум, чтобы составить и построить эту речь, ибо Бога имею помощником в похвале святому — Бога Авраама, и Исаака, и Иакова. Бога истинной любви, царя добродетели; ничего не прибавляю от сочинений древних языческих философов, но согласно жизни его слагаю ему правдивые похвалы. Словно в зеркале вижу его, подобного мудрости божественного Писания. Чья еще в мире так же просияла светлая, и славная, и чести достойная жизнь, и чье имя так возвысилось в людях! Прекрасен обликом и чист душою, совершенен умом! О ином ведь слагают сказания для славы, к сложению похвал побуждает дружеская любовь. Великому же этому поборнику благочестия — светлая жизнь его украшение, и предков достоинство.
По великому Дионисию:[32] говоръ водѣ вѣтромъ бывает, и мокрота земли солнцемь погыбаеть. Умъ — владѣтель чювьствиемъ человѣчьскымъ, спряжениемь чювства умъ в сердци сад вкореняет, сердце же плод умный языкомь миру подаваеть. Такоже князь Дмитрий знаменит в родѣх бысть; нѣсть убо лѣпо инѣмь родителемь таково чядо родити, ниже убо достойно таковому пречюдному чаду от инѣх родитель родитися, аще не бы смотрениемь всѣх съдѣтеля Бога. Кое ли приложение славѣ его сдѣлаю, ибо немѣримо есть яко ни море в него текущихъ рѣкъ, есть бо и бес того полно. И нѣсть бо человѣкомъ в начатцѣ похваление бывает, инѣм же в средовѣчие, другым же в старость. Сий же убо всь с похвалою добродѣтели вся лѣта жития своего сверши, един же благочестенъ родися, многымъ прародителемъ славу прорасти. Бчелы ничим же хужшу ему быти[33] разумѣю, медоточныа глаголы испущаа, цвѣтовных словес сотъ съплѣтаа, да клѣтца сладости сердцю исплънить; предсѣданиемь словес учитель препираше, и философ уста смотрениемь загражаше. Никый же сбесѣдникь ему подобень бываше: Божию мудрость в сердци дръжаше, и сбесѣдникь ему втаинѣ бываше, крутыми словесы рѣчи отметаше, в малѣ глаголаше, а много разумѣваше; царскымь путемь хожаше.	По словам великого Дионисия: говор воды ветром вызывается и влага земли солнцем иссушается. Ум — властитель чувствам человеческим, в соединении с чувством ум в сердце сад взращивает, сердце же плод ума речью миру возвещает. Так же князь Дмитрий знаменит в роду своем; не удостоились другие родители такое же чадо родить, не достойно и такому дивному чаду от других родителей родиться, но совершилось это по воле всех создателя — Бога. Что могу прибавить к славе его, ибо неизмерима она, словно море, которое полно и без текущих в него рек. И не бывает, чтобы людям в начале жизни хвала была, но некоторым — в среднем возрасте, другим — в старости. Сей же в хвале добродетели все годы жизни своей прожил, сразу благочестивым родился и к славе предков свою славу присоединил. Думаю, что он ничем не уступал пчеле, медоточивые слова изрекая, из словесных цветов соты составляя, чтобы все ячейки сердца сладостью наполнить; разумом слов учителей убеждал и уста философов прозорливостью заграждал. Никто из собеседников не мог уподобиться ему: Божию мудрость в сердце хранил и тайным собеседником Богу бывал, грубых слов в речи избегал, мало говорил, но много смыслил; поступал как подобает царям.
Аки вода раздѣляеться от единого искипѣниа надвое — и пакы сходится, якоже вси человѣци земнии на высоту зряще, недостижно, помышляют сѣдящего на ней, тако и мысль предтѣкает ми глаголати о семь велицѣм цари. Зависть бо есть печаль о искреняго добрѣ, ревность же подобие благымъ теплотамъ любви, обаче благоизволение и славу имуща. Еже и мудрый рече, яко любовнику душя в тѣлѣ любимаго. Се и азъ не срамляюся глаголати, яко обѣма едина душя бѣ двѣ телѣ носяще и едино обѣма добродѣтелное житие, к будущей славѣ взирающе очима на высоту. Тако и сий подружие имяше, и в цѣломудрии живяста. Якоже и желѣзо огнемь разгарается и водою калиться остроты ради, тако и сиа огнемь Божиа духа распалахуся и слезами покааниа очищахуся. Кто ли убо так сѣдъ разумомъ преже старости? Зане и Соломон старость сказаеть цѣломудрие, а не бѣлость власом глаголя. Сего же ревение к Богу тако бывает, аки огнь дыхая скважнею, очима сматряющих на нь сердце устрашает. Душа же его аки нѣкако бремя, а реку: бременен кормникъ полнъ добраго наима, яко мощно человѣчьскому существу не бѣ где вмѣстити. Врач убо не бывает никтоже, аще не сущъству преж недуга навыкнет, ни иконописець, аще не много смѣсит вапы. Мнози убо цари и князи имя дръжаху, а не дѣла. Самоилъ в пророцѣх прозряй предняа, но и Саулъ отвръженый.[34] Ровоамь, сынъ Соломонь, въ царих, но Ировоам, рабъ и отступникъ, царь же.[35] Сий же убо Богомь дарованную приимъ власть и с Богомъ все творя велие царство створи и настолие земли Руской яви. Бывает же другомъ стѣна и твердь, противным же мечь и огнь, посѣкаа нечьстивыа и пожегая яко хворость, — удобь сгарающу вещь, на зло събравшуюся. И Еремеино же и Давыдово речение оному рекшу: «Не се ли словеса моа яко огнь,[36] — глаголеть Господь, — и яко оскордъ, разсѣкаа камень?» Давыдово же: «Обыдоша мя, яко пчелы сотъ и разгорѣся, яко огнь в тернии».[37]	Как вода при кипении разделяется надвое, а затем снова сливается воедино, как все люди земли, взирая в недостижимую высоту, мыслят о восседающем в ней, так и разум торопит меня сказать об этом великом царе. Зависть — это печаль о благе ближнего, рвение же — подобно благому теплу любви, но полно благоизволения и славы. Еще и мудрый сказал, что любящего душа в теле любимого. И я не стыжусь говорить, что двое таких носят в двух телах единую душу и одна у обоих добродетельная жизнь, на будущую славу взирают, возводя очи к небу. Так же и Дмитрий имел жену, и жили они в целомудрии. Как и железо в огне раскаляется и водой закаляется, чтобы было острым, так и они огнем божественного духа распалялись и слезами покаяния очищались. Кто так сед разумом еще не в старости? Ибо и Соломон старостью именует целомудрие, а не седину волос называет. Рвение его к Богу было подобно огню, вырывающемуся из скважины, устрашающему сердце смотрящих на него. Душа же его подобна некоему бремени, и скажу: он словно кормчий благами груженного корабля насколько возможно человеческому существу вместить. Никто не может стать врачом, если прежде не познает причины недуга, ни иконописцем, прежде чем многократно не смешает краски. Многие были царями и князьями лишь по имени, а не по делам. Самуил-пророк предвидел будущее, а Саул был отвержен. Ровоам, сын Соломонов, был царем, а Иеровоам — раб и отступник — тоже царь. Этот же Богом дарованную принял власть, и, с Богом все свершая, великое царство создал и величие престола земли Русской явил. Был он друзьям стеной и опорой, врагам же — мечом и огнем, иссекая нечестивых и сжигая их словно хворост, — легко сгорающий, на уничтожение собранный. Слова Иеремии и Давида к нему применю: «Разве слова мои не подобны огню, — говорил Господь, — или молоту, раскалывающему камень?» и Давида: «Окружили меня, словно пчелы соты, и разгорелись, словно огонь в терновнике».
И яко Павлу Варнава на проповѣдь подвизашеся,[38] и аз убо, худоумный, на похваление предобляго господина ми слово изнести въсхотѣ. Инъ добродѣтели вид и въздержание, еже святый любляше. Въ сладости ядяше и краснѣйши Соломона одѣние ношаше, — еже цвѣтець и птиць притчю имяше, понеже видѣние мимоиде под луну сущимъ всѣмъ, в торжествѣ же есть видѣниа житие се: иже на мори, но токмо иже и под облакомъ — то же и у житиа. В день же тръжества — непомнение злыхъ. Но глава в торжествѣ — память Божиа. Память же Божиа надвое раздѣляется: аще разумно — на хвалу, се ли съгръшается от правосудства — на хулу. Богъ бо не обьят есть страстию. Не токмо же страстию, но и хвалою. Человѣчьскыа же вещи обоимъ яты суть — хвалящимь ю и хулящимъ. Того ради подобает, разумѣвъ добрѣ, хвалити и, или, не разумѣв, молчати.	И как о Павле Варнава проповедать постарался, так и я, худоумный, в похвалу предоблестному господину моему слово произнести захотел. Один вид добродетели и воздержания любил святой. Он сладко ел и красивей Соломона одежды носил, — помня притчу о цветах и птицах, потому что видимость всего сущего под луной преходяща, в торжестве же видимости состоит эта жизнь: что на море, что под облаком, — то же и в жизни. В день же торжества не вспоминают зла. Главное в торжестве — вспомнить Бога. Память же о Боге на два вида разделяется: при разуме — это хвала, при погрешности в правом суждении — хула. Но Бог не объемлем враждою. Не только враждою, но и хвалою. Человеческие же дела объемлемы и тем, и другим — и хвалящим их, и хулящим. Потому подобает, хорошо поняв, хвалить его или, не поняв, молчать.
