ПОВЕСТЬ О ПЕТРЕ И ФЕВРОНИИ МУРОМСКИХ	ПОВЕСТЬ О ПЕТРЕ И ФЕВРОНИИ МУРОМСКИХ
По вся же дни ходя к брату своему и к сносѣ своей на поклонение. Ключи же ся ему прийти в храмину к брату своему и том же часѣ, шед к сносѣ своей во ину храмину, и видѣ у нея сидяща брата своего. И паки пошед от нея, встрѣти нѣкоего от предстоящих брату его и рече ему: «Изыдох убо от брата моего к сносѣ моей, брат же мой оста в своем храму, мнѣ же, не коснѣвшу никаможе, вскоре пришедшу в храмину к сносѣ моей, и не свѣм и чюжуся, како брат моей напреди мене обрѣтеся в храминѣ у снохи моея?» Той же человекъ рече ему: «Никакоже, господи, по твоем отшествии не изыде брат твой из своея храмины!» Он же разумѣ быти пронырьство лукаваго змия. И прииде к брату и рече ему: «Когда убо сѣмо прииде? Аз бо от тебе из сея храмины изыдох, и нигдѣже ничесоже помедлив, приидох к женѣ твоей в храмину, и видѣх тя с нею сидяща, и чюдяхся, како напред мене обрѣтеся. Приидох же паки, ничтоже нигдѣ паки помедлив, ты же, не вѣм, како мя предтече и напред мене здѣ обрътеся?» Он же рече: «Никакоже, брате, ис храма сего по твоем отшествии не изыдох и у жены своея никакоже бѣх». Князь же Петръ рече: «Се есть, брате, пронырьство лукаваго змия, да тобою ми ся кажет, аще не бых хотѣл убити его, яко непщуя тебе своего брата. Нынѣ убо, брате, отсюду никакоже иди, аз же тамо иду братися со змием, да нѣкли Божиею помощию убиен да будет лукавый сей змий».	Каждый день Петр ходил к брату своему и к снохе своей, чтобы отдать поклон им. Раз случилось ему прийти в покои к брату своему, и сразу же от него пошел он к снохе своей, в другие покои, и увидел, что брат его у нее сидит. И, пойдя от нее назад, встретил он одного из приближенных брата своего и сказал ему: «Вышел я от брата моего к снохе моей, а брат мой остался в своих покоях, и я, нигде не задерживаясь, быстро пришел в покои к снохе моей и не понимаю и удивляюсь, каким образом брат мой очутился раньше меня в покоях снохи моей?» А тот человек сказал ему: «Господин, никуда после твоего ухода не выходил твой брат из покоев своих!» Тогда Петр уразумел, что это козни лукавого змея. И пришел он к брату и сказал ему: «Когда это ты сюда пришел? Ведь я, когда от тебя из этих покоев ушел и, нигде не задерживаясь, пришел в покои к жене твоей, то увидел тебя сидящим с нею и сильно удивился, как ты пришел раньше меня. И вот снова сюда пришел, нигде не задерживаясь, ты же, не понимаю как, меня опередил и раньше меня здесь оказался?» Павел же ответил: «Никуда я, брат, из покоев этих, после того как ты ушел, не выходил и у жены своей не был». Тогда князь Петр сказал: «Это, брат, козни лукавого змея — тобою мне является, чтобы я не решился убить его, думая, что это ты — мой брат. Сейчас, брат, отсюда никуда не выходи, я же пойду туда биться со змеем, авось, с Божьей помощью убит будет лукавый этот змей».
И взем мечь, нарицаемый Агриков, и прииде в храмину к сносѣ своей, и видѣ змия зраком аки брата си, и твердо увѣрися, яко нѣсть брат его, но прелестный змий, и удари его мечем. Змий же явися, яков же бяше и естеством, и нача трепетатися, и бысть мертвъ, и окропи блаженного князя Петра кровию своею. Он же от неприязнивыя тоя крови острупѣ, и язвы быша, и прииде жа нь болезнь тяжка зело. И искаше в своем одержании ото мног врачев исцелениа, и ни от единого получи.	И, взяв меч, называемый Агриковым, пришел он в покои к снохе своей и увидел змея в образе брата своего, но, твердо уверившись в том, что не брат это его, а коварный змей, ударил его мечом. Змей же, обратившись в свое естественное обличье, затрепетал и умер, и обрызгал он блаженного князя Петра своей кровью. Петр же от зловредной той крови покрылся струпьями, и появились на теле его язвы, и охватила его тяжкая болезнь. И искал он у многих врачей от своего недуга исцеление, но ни у кого не нашел.
II	II
Слыша же, яко мнози суть врачеве в предѣлех Рязаньския земли, и повелѣ себе тамо повести, не бѣ бо сам мощен на кони сидѣти от великия болѣзни. Привезен же бысть в предѣлы Рязаньския земли и посла синклит свой весь искати врачев.	Прослышал Петр, что в Рязанской земле много врачей, и велел везти себя туда — из-за тяжкой болезни сам он сидеть на коне не мог. И когда привезли его в Рязанскую землю, то послал он всех приближенных своих искать врачей.
Един же от предстоящих ему юноша уклонися в весь, нарицающуся Ласково.[5] И прииде к некоего дому вратом и не видѣ никогоже. И вниде в дом, и не бѣ, кто бы его чюлъ. И вниде в храмину и зря видѣние чюдно: сидяше бо едина девица, ткаше красна, пред нею же скача заец.	Один из княжеских отроков забрел в село, называемое Ласково. Пришел он к воротам одного дома и никого не увидел. И вошел в дом, но никто не вышел ему навстречу. Тогда вошел он в горницу и увидел удивительное зрелище: сидела в одиночестве девушка и ткала холст, а перед нею скакал заяц.
И глаголя девица: «Нелѣпо есть быти дому безо ушию и храму безо очию!» Юноша же той, не внят во умъ глаголъ тѣх, рече к девице: «Гдѣ есть человекъ мужеска полу, иже здѣ живет?» Она же рече: «Отецъ и мати моя поидоша взаем плакати. Брат же мой иде чрез ноги в нави зрѣти».	И сказала девушка: «Плохо, когда дом без ушей, а горница без очей!» Юноша же, не поняв этих слов, спросил девушку: «Где хозяин этого дома?» На это она ответила: «Отец и мать мои пошли взаймы плакать, брат же мой пошел сквозь ноги на покойников глядеть».
Юноша же той не разумѣ глаголъ ея, дивляшеся, зря и слыша вещъ подобну чюдеси, и глагола к девицы: «Внидох к тебѣ, зря тя дѣлающу, и видѣх заец пред тобою скача,[6] и слышу ото устну твоею глаголы странны нѣкаки, и сего не вѣм, что глаголеши. Первие бо рече: нелѣпо есть быти дому безо ушию и храму безо очию. Про отца же твоего и матерь рече, яко идоша взаим плакати, брата же своего глаголя “чрез ноги в нави зрѣти”. И ни единого слова от тебе разумѣх!»	Юноша же не понимал слов девушки, дивился, видя и слыша подобные чудеса, и спросил у девушки: «Вошел я к тебе и увидел, что ты ткешь, а перед тобой заяц скачет, и услышал я из уст твоих какие-то странные речи и не могу уразуметь, что ты говоришь. Сперва ты сказала: плохо, когда дом без ушей, а горница без очей. Про отца же и мать сказала, что они пошли взаймы плакать, про брата же сказала — “сквозь ноги на покойников смотрит”. И ни единого слова твоего я не понял!»
Она же глагола ему: «Сего ли не разумѣеши! Прииде в дом сий и в храмину мою вниде и видѣв мя сидящу в простотѣ. Аще бы был в дому наю пес и чюв тя к дому приходяща, лаял бы на тя: се бо есть дому уши. И аще бы было в храминѣ моей отроча и видѣв тя к храминѣ приходяща, сказало бы ми: се бо есть храму очи. А еже сказах ти про отца и матерь и про брата, яко отецъ мой и мати моя идоша взаем плакати — шли бо суть на погребение мертваго и тамо плачют. Егда же по них смерть приидет, инии по них учнут плакати: се есть заимованный плач. Про брата же ти глаголах, яко отецъ мой и брат древолазцы суть, в лѣсе бо мед от древия вземлют. Брат же мой нынѣ на таково дѣло иде, и яко же лѣсти на древо в высоту, чрез ноги зрѣти к земли, мысля, абы не урватися с высоты. Аще ли кто урвется, сей живота гонзнет. Сего ради рѣх, яко иде чрез ноги в нави зрѣти».	Она же сказала ему: «И этого-то понять не можешь! Пришел ты в дом этот, и в горницу мою вошел, и застал меня в неприбранном виде. Если бы был в нашем доме пес, то учуял бы, что ты к дому подходишь, и стал бы лаять на тебя: это — уши дома. А если бы был в горнице моей ребенок, то, увидя, что идешь в горницу, сказал бы мне об этом: это есть у горницы очи. А что сказала тебе про отца и мать, и про брата, что отец мой и мать моя пошли взаймы плакать — это пошли они на похороны и там оплакивают покойника. А когда за ними смерть придет, то другие их будут оплакивать: это — плач взаймы. Про брата же тебе так сказала потому, что отец мой и брат — древолазы, в лесу по деревьям мед собирают. И сегодня брат мой пошел бортничать, и когда он полезет вверх на дерево, то будет смотреть сквозь ноги на землю, чтобы не сорваться с высоты. Если кто сорвется, тот с жизнью расстанется. Поэтому я и сказала, что он пошел сквозь ноги на покойников глядеть».
Глагола ей юноша: «Вижу тя, девице, мудру сущу. Повѣжь ми имя свое». Она же рече: «Имя ми есть Феврония». Той же юноша рече к ней: «Аз есмь муромскаго князя Петра, служаи ему. Князь же мой имѣя болѣзнь тяжку и язвы. Острупленну бо бывшу ему от крови неприязниваго летящаго змия, егоже есть убил своею рукою. И в своем одержании искаше исцеления ото мног врачев и ни от единого получи. Сего ради сѣмо повелѣ себе привести, яко слыша здѣ мнози врачеве. Но мы не вѣмы, како именуются, ни жилищ их вѣмы, да того ради вопрошаем о нею». Она же рече: «Аще бы кто требовал князя твоего себѣ, мог бы уврачевати и». Юноша же рече: «Что убо глаголеши, еже кому требовати князя моего себѣ! Аще кто уврачюет и, князь мой дасть ему имѣние много. Но скажи ми имя врача того, кто есть и камо есть жилище его?» Она же рече: «Да приведеши князя твоего сѣмо. Аще будет мяхкосердъ и смирен во отвѣтех, да будет здрав!»	Говорит ей юноша: «Вижу, девушка, что ты мудра. Назови мне имя свое». Она ответила: «Зовут меня Феврония». И тот юноша сказал ей: «Я слуга муромского князя Петра. Князь же мой тяжело болен, в язвах. Покрылся он струпьями от крови злого летучего змея, которого он убил своею рукою. От своей болезни искал он исцеления у многих врачей, но никто не смог вылечить его. Поэтому повелел он сюда себя привезти, так как слыхал, что здесь много врачей. Но мы не знаем ни имени, ни где они живут, поэтому и расспрашиваем о них». На это она ответила: «Если бы кто-нибудь взял твоего князя себе, тот мог бы вылечить его». Юноша же сказал: «Что это ты говоришь — кто может взять моего князя себе! Если кто вылечит его, того князь богато наградит. Но назови мне имя врача того, кто он и где дом его». Она же ответила: «Приведи князя твоего сюда. Если будет он чистосердечным и смиренным в словах своих, то будет здоров!»
Юноша же скоро возвратися ко князю своему и повѣда ему все подробну, еже видѣ и еже слыша. Благовѣрный же князь Петръ рече: «Да везете мя, гдѣ есть девица». И привезоша и в дом той, в немже бѣ девица. И посла к ней ото отрок своих, глаголя: «Повѣж ми, девице, кто есть хотя мя уврачевати? Да уврачюет мя и возмет имѣние много». Она же не обинуяся рече: «Аз есмь . хотя и врачевати, но имѣния не требую от него прияти. Имам же к нему слово таково: аще бо не имам быти супруга ему, не требе ми есть врачевати его». И пришед человекъ той, повѣда князю своему, якоже рече девица.	Юноша быстро возвратился к князю своему и подробно рассказал ему о всем, что видел и что слышал. Благоверный же князь Петр повелел: «Везите меня туда, где эта девица». И привезли его в тот дом, где жила девушка. И послал он одного из слуг своих, чтобы тот спросил: «Скажи мне, девица, кто хочет меня вылечить? Пусть вылечит и получит богатую награду». Она же без обиняков ответила: «Я хочу его вылечить, но награды никакой от него не требую. Вот к нему слово мое: если я не стану супругой ему, то не подобает мне и лечить его». И вернулся человек тот и передал князю своему, что сказала ему девушка.
Князь же Петръ, яко небрегий словеси ея, и помысли: «Како князю сущу древолазца дщи пояти себѣ жену!» И послав к ней, рече: «Рцыте ей, что есть врачевство ея, да врачюет. Аще ли уврачюет, имам пояти ю себѣ женѣ». Пришедше же, рѣша ей слово то. Она же взем сосудец мал, почерпе кисляжди своея, и дуну на ня, и рек: «Да учредят князю вашему баню, и да помазует сим по телу своему, идѣже суть струпы и язвы. И един струп да оставит не помазан. И будет здравъ!»	Князь же Петр с пренебрежением отнесся к словам ее и подумал: «Ну как это можно — князю дочь древолаза взять себе в жены!» И послал к ней, молвив: «Скажите ей — пусть лечит, как умеет. Если вылечит, возьму ее себе в жены». Пришли к ней и передали эти слова. Она же, взяв небольшую плошку, зачерпнула ею квасу, дунула на нее и сказала: «Пусть истопят князю вашему баню, пусть он помажет этим все тело свое, где есть струпья и язвы. А один струп пусть оставит непомазанным. И будет здоров!»
И принесоша к нему таково помазание. И повелѣ учредити баню. Девицю же хотя во отвѣтех искусити, аще мудра есть, якоже слыша о глаголѣх ея от юноши своего. Посла к ней съ единым от слуг своих едино повѣсмо лну, рек, яко: «Си девица хощет ми супруга быти мудрости ради. Аще мудра есть, да в сием лну учинит мнѣ срачицу, и порты, и убрусецъ в ту годину, в ню же аз в бани пребуду». Слуга же принесе к ней повѣсмо лну и дасть ей и княже слово сказа. Она же рече слузѣ: «Взыди на пещъ нашу и, снем з гряд полѣнце,[7] снеси сѣмо». Он же, послушав ея, снесе полѣнце. Она же, отмѣрив пядию, рече: «Отсеки сие от полѣнца сего». Он же отсече. Она же глагола: «Возми сий утинок полѣнца сего, и шед даждь князю своему от мене и рцы ему: в кий час се повѣсмо аз очешу, а князь твой да приготовит ми в сем утинцѣ стан и все строение, киим сочтется полотно его». Слуга же принесе ко князю своему утинок полѣнца и рѣчь девичю сказа. Князь же рече: «Шед, рцы девицы, яко невозможно есть в таковѣ мале древцѣ и в таку малу годину сицева строения сотворити!» Слуга же пришед, сказа ей княжю рѣчь. Девица же отрече: «А се ли возможно есть, человеку мужеска возрасту вь едином повѣсме лну в малу годину, в нюже пребудет в бани, сотворити срачицу, и порты, и убрусецъ?» Слуга же отоиде и сказа князю. Князь же дивлеся отвѣту ея.	И принесли князю эту мазь; и повелел он истопить баню. Девушку же он захотел испытать в ответах — так ли она мудра, как он слыхал о речах ее от отрока своего. Послал он к ней с одним из своих слуг небольшой пучок льна, говоря так: «Эта девица хочет стать моей супругой ради мудрости своей. Если она так мудра, пусть из этого льна сделает мне сорочку, и одежду, и платок за то время, пока я в бане буду». Слуга принес Февронии пучок льна и, вручив его ей, передал княжеский наказ. Она же сказала слуге: «Влезь на нашу печь и, сняв с грядки поленце, принеси сюда». Он, послушав ее, принес поленце. Тогда она, отмерив пядью, сказала: «Отруби вот это от поленца». Он отрубил. Она говорит ему: «Возьми этот обрубок поленца, пойди и дай своему князю от меня и скажи ему: за то время, пока я очешу этот пучок льна, пусть князь твой смастерит из этого обрубка ткацкий стан и всю остальную снасть, на чем будет ткаться полотно для него». Слуга принес к своему князю обрубок поленца и передал слова девушки. Князь же говорит: «Пойди скажи девушке, что невозможно из такой маленькой чурочки за такое малое время смастерить то, чего она просит!» Слуга пришел и передал ей слова князя. Девушка же на это ответила: «А это разве возможно — взрослому мужчине из одного пучка льна, за то малое время, пока он будет в бане мыться, сделать сорочку, и платье, и платок?» Слуга ушел и передал эти слова князю. Князь же подивился ответу ее.
И по времени князь Петръ иде в баню мытися и повелѣнием девица помазанием помазая язвы и струпы своя. И един струп остави не помазанъ по повелѣнию девицы. Изыде же из бани, ничтоже болѣзни чюяше. На утрии же узрѣв си все тѣло здраво и гладко, развие единого струпа, еже бѣ не помазал по повелѣнию девичю, и дивляшеся скорому исцелению. Но не восхотѣ пояти ю жену себѣ отечества ея ради и послав к ней дары. Она же не прият.	Потом князь Петр пошел в баню мыться и, как наказывала девушка, мазью помазал язвы и струпы свои. А один струп оставил непомазанным, как девушка велела. И когда вышел из бани, то уже не чувствовал никакой болезни. Наутро же глядит — все тело его здорово и чисто, только один струп остался, который он не помазал, как наказывала девушка, и дивился он столь быстрому исцелению. Но не захотел он взять ее в жены из-за происхождения ее, а послал ей дары. Она же не приняла.
Князь же Петръ поѣхав во отчину свою, град Муром, здравствуяи. На нем же бѣ един струп, еже бѣ не помазан повелѣнием девичим. И от того струпа начаша многи струпы расходитися на тѣле его от перваго дни, в оньже поѣхав во отчину свою. И бысть паки весь оструплен многими струпы и язвами, якоже и первие.	Князь Петр поехал в вотчину свою, город Муром, выздоровевшим. Лишь оставался на нем один струп, который был не помазан по повелению девушки. И от того струпа пошли новые струпья по всему телу с того дня, как поехал он в вотчину свою. И снова покрылся он весь струпьями и язвами, как и в первый раз.
