ПОСЛАНИЕ К СТАРЦУ ВАСЬЯНУ	ПОСЛАНИЕ СТАРЦУ ВАССИАНУ
И паки обратим зритильное души к западным странамъ и посмотрим опаснѣ мыслию. Гдѣ Рим державный, в немъже[24] Петра апостола намѣстники, древние папы пожиша? Гдѣ Италия, от самых апостолъ благовѣрием украшенна? Гдѣ Испания славная, от апостола Павла благочестием насаженная? Гдѣ Медиолам, град многонародный, в немже Амбросий великий благочестием кормила управлял? Гдѣ Карфаген? Гдѣ Галаты внуренныя? Гдѣ Германия Великая? Гдѣ различныя языки, по западным странам живуще, в них бе ото апостолъ и от намѣстник апостолских Еуаггелия Христова смотрения проповѣдано и нарочитыми епископы по всѣм тѣм странам, яко многими звѣздами свѣтлыми, украшенны были и многие лѣта единомыслием благовѣрия со восточными святыми пожиша, и сошедшеся на всѣх соборех единая мудръствоваша и единодушно со усердием противу мысленных и чювственных враговъ ополчашася? И бѣ тогда дивно было видети от самых край вселенныя, яко крылати летающе, ко единому мѣсту збирающеся слова ради Божия и вѣры утвержения, ихже ревности по Бозѣ и долгота пути, ни бѣды шума морскаго, ни разбойническая лютости возможе одолѣти. Возрим днесь мыслене. Гдѣ сиа вся? Не все ли в различныя ереси разлияшася? И от толь великия любви и ревности по Бозе наипачи невѣрных непримирительныя враги праве мудръствующим обрѣтаются?	Обратим наш внутренний взор и на западные страны и хорошенько задумаемся. Где державный Рим, в котором издревле пребывали наместники апостола Петра, папы? Где Италия, которую сами апостолы украсили благоверием? Где славная Испания, в которой апостол Павел насаждал благочестие? Где многолюдный город Милан, в котором великий Амвросий правил благочестиво? Где Карфаген? Где Галлия? Где великая Германия? Где народы других западных стран, в которых Христово Евангелие проповедовали апостолы и их наместники, и которые, словно многочисленными яркими звездами, были украшены знаменитыми епископами, ранее всегда бывшими единомышленниками восточных святых, когда они собирались на соборы, соглашались друг с другом и единодушно ополчались против видимых и невидимых врагов? И как прекрасно было тогда видеть, как все они, словно на крыльях, устремлялись со всех концов вселенной в одно место во имя слова Божьего и утверждения веры, а их страстному рвению услужить Богу не могли помешать ни дальний путь, ни морские штормы, ни свирепство разбойников. Посмотрим же сегодня мысленно. Где все они? Не обратились ли в различные ереси? И не превратились ли они, ранее отличавшиеся столь великой любовью к Богу и стремлением служить ему, в непримиримых, страшнее неверных, врагов правоверия?
Мы же, убогия, от древних родов мало и познаваемыя, во едином углѣ вселенныя живуще, и на последок века[25] благодатию Христовою не от дѣлъ признани, ни от добродѣтелей познани, но от неизмѣримаго его благодатнаго человѣколюбия призвани быхом въ его достояние, якоже бѣ ему обычай искони человѣческому роду даром премногое милосердие простирати. И днесь в какую высоту достигохом? Книги, от Божия Параклита написанны, Ветхия и Новыя, своим языком имуще. Епископи по великим властем седяще, всяким преизобилием полны суще, в церквах мног мир имуще. И аще бы хотѣли учити священному учению, ни от когоже нигдѣ возбраняеми. И вся земля наша Руская от края до края, яко пшеница чиста, вѣрою Божиею обрѣтается. Храми Божии на лицѣ ея подобни частостию звѣздъ небесных водруженны. Множество монастырей создани, имже числа не вѣм — хто вѣсть? в нихже бесчисленное множество преподобных мнихов водворяются. Царие и князи в православной вѣре от древних родов и поднесь от превышняго помазуются на правление суда и на заступление от врагов чювственныхъ. Со Еремием рещи милосердие Господне должно есть: «Земля наша наполнена вѣры Божия и преизобилует, якоже вода морская».[26] Что воздадим Господеви, еже воздалъ намъ? Кто не подивится, и кто от радости не восплачет, и кто не возблагодарит несказанныя его и бесчисленныя милосердиа щедрот к нашему языку?	А мы, недостойные, мало известные древним народам, живущие на краю вселенной, последними познали Христову благодать; и не за дела наши, ни за нашу добродетельность были мы призваны в его власть, а только в силу всегда ему присущего, величайшего, бескорыстного милосердия к человеческому роду. А сегодня каких высот мы достигли? Богодухновенные книги Ветхого и Нового Завета мы имеем на своем языке. Епископы управляют большими областями, где полно всякого добра, а в церквях царит спокойствие. И никто нигде не возбраняет постигать Священное Писание. И вся наша Русская земля от края и до края, словно чистой пшеницей, наполнена верой в Бога. Лицо ее украшает столько Божьих храмов, сколько звезд на небе, и множество монастырей, которым нет числа (кто бы мог их сосчитать?), с бесчисленным множеством монахов. Цари и князья, которые издревле и до наших дней придерживаются православной веры, самим всевышним помазуются на отправление правосудия и на защиту от видимых врагов. Можно повторить вслед за Иеремией, что благодаря величайшему милосердию Господа «земля наша наполнена верой в Бога столь обильной, как морская вода». Как отблагодарю Господа, который облагодетельствовал нас? И кто смог бы не восхититься, не заплакать от радости и не возблагодарил бы его за несказанно великое милосердие и щедрость, которые он обращает к нашему народу?
Возрим же с прилежанием и разумѣем внятно, что мы творим противу великих даров человеколюбиваго Бога, крѣпце нам заповѣдающе о соблюдении заповѣдей своих, а хотяще нас сподобити царствия своего небеснаго. Мы же, нечювственнии и неблагодарнии, яко аспиды, затыкая ушы свои от святых[27] словес его, и приклоняемся послушанием паче ко врагу своему, лстящему нас тщею[28] славою мира сего и ведуще нас по пространному пути в погибель. Не возможе бо он, злоначальный, благодати ради Божия, в вѣре у нас никакова порока сотворити, и он иными лестьми начинает, древле учиненым чином смущение наводит, хотя испразнити апостолом реченное слово: «Хто в чем призван, в том и да пребывает».[29] Зрим и здѣ прилѣжно, како сопротивныя злым совѣтом его проходят.	Так посмотрим же внимательно и задумаемся над тем, как мы благодарим за такие великие дары человеколюбивого Бога, который, желая удостоить нас своего небесного царства, завещает нам строго соблюдать его заповеди. Неблагодарные и бесчувственные, словно змеи, мы затыкаем свои уши при звуке его святой речи и прислушиваемся больше к тому, что говорит наш враг, искушающий нас суетной славой земного мира и ведущий к погибели по своему привольному пути. И вот он, этот начальник всему злому, не сумев по Божьей благодати найти никакого изъяна в нашей вере, изобретает различные хитрости и начинает смущать древние священнические чины, словно желая обесценить слова апостола: «В каком звании кто призван, в том и остается». Посмотрим же и здесь внимательно, как живут те, кто против его злых замыслов.
Державные, призванные и на власть от Бога поставленны, да судом праведным подовластных разсудят и в кротости и в милости державу управят. И грѣх ради наших вмѣсто кротости сверепѣе звѣрей кровоядцовъ обрѣтаются, яко ни от естества подобново пощадѣти попустиша, неслыханые смерти и муки на доброхотных своих умыслиша. О нерадѣнии же державы и кривинѣ суда, и о несытствѣ граблений чюжих имѣний ни изрещи риторскими языки сея днешния беды возможно.	Правители, поставленные на власть Богом, призваны судить своих подданных праведным судом и управлять государством в мире и любви. Но в наказание за наши грехи они уподобляются хищным зверям, которые не имеют присущей людям жалости и изобретают невиданные мучения на погибель тем, кто желает им добра. И никакая риторика не поможет рассказать о всех этих нынешних бедах — о неустройстве в государстве, о несправедливом суде, о ненасытном разграблении чужого имущества.
Посмотрим же и на священнический чин, в каких обрѣтается — не яко их осужаемъ, не буди то, но беду свою оплакуем, — не токмо душа своя за паству Христову полагают, но и расхищают, вѣм, — яко бѣдно ми глаголати — не токмо разхищаютъ, но и учители расхитителем бывают, начало и образ всякому законупреступлению собою полагают. Не глаголютъ пред цари, не стыдяся, о свидѣнии Господни, но паче потаковники бывают. Не вдовиц и сирот заступают, ни напаствованных и бѣдных избавляют, ни плѣнников от пленения искупуют, но села себѣ устрояют, и великия храмы поставляют, и богатествы многими кипят, и корыстьми, яко благочестием, ся[30] украшают. Гдѣ убо хто возпрѣти царю или властелем о законопреступленных, и запрѣти благовременно и безвременно? Гдѣ Илия, о Нафѣевѣ крови возревновавый,[31] и ста царю в лице обличением? Гдѣ Елисей, посрамивый царя Иилева израилева сына Ахавова?[32] Гдѣ велики пророкъ, обличающи неправедных царей? Гдѣ Амбросий Медиаламский, смиривый великаго царя Феодосия?[33] Гдѣ златословесный Иван, со зѣльным запрещением обличив царицу[34] златолюбивую? Гдѣ патриарховъ лики и боговидных святителей и множества преподобных, ревнующе по Бозѣ, и нестыдно обличающих неправедных царей и властелей в различных законопреступных дѣлех, исполняюще и блюдуще слово Спасителя Христа, глаголющее: «Аще кто постыдится мене и моих словес в роде сем прелюбодѣйнем и грѣшнем, Сынъ Человѣческий постыдится его пред аггелы Божиими».[35] Кто нынѣ, не стыдяся, словеса еуаггельская глаголеть, и кто по братии души своя полагают?[36] Аз не вѣм хто. Но якоже пожару люту возгорѣвшуся на лици земли всея нашея, и премножество домовъ зрим от пламени бѣдных напастей искореневаеми. И хто, текше, от таковых отъимет? И хто угасит? И хто братию от таковых и толь лютых бѣдъ избавитъ? Никтоже! Воистинну ни заступающаго, ни помогающаго нѣсть, развѣ Господа. Но кождо своим богатеством промышляет и, обнявши его, простерты лежат, и ко властем ласкающеся всячески и примиряющеся, да свое сохранятъ и к тем еще множайшее приобрящут. И аще хто гдѣ явится по Бозѣ ревнующи правостию слова, и за то от держав властей, яко злодеи, осужение приемлют, и по многих томлении горцѣ безообразным смертем предаются. Такоже и иноковъ, отрекшихся волею всѣх красных мира сего, и проклявше себе страшными клятвами пред Богомъ и святыми его аггелы, подходитъ и увѣщеваетъ вселукавый змий, яко, забыв обѣты своя, многими богатествы подавлятися и безмѣрных имѣний, многих сел, властелем быти, и от тѣх себѣ великие богатства собирати, и в твердых хранилищах их затворяти и, наполнився имъ, отрыгати от сих во иныя, яко язычником бѣ обычай, ихже древле Псаломник окаевает, и тѣм хвалитися не стыдящеся пред всѣми, яко велику нѣкую часть благочестия исправив. Многие же мятежи и крови, от тѣх имѣней бываемыя, и межуусобныя брани, и клятвам преступление хто может изглаголати? Росты же и мшелоимства июдейские, и презрѣние убогих братей, и гладом и мразом, и нуждами всяческими мучащихся, — хто может сказати? И иная же злая и неисповѣдимая дѣла, ихже писанию предати невозможно: совѣсть их да вѣдает.	Посмотрим же и на священническое сословие, в котором встречаются такие — нет, не буду я сейчас их осуждать, а только расскажу о нашем горе, — встречаются такие, что не только не защищают Христову паству, но и, как я знаю, — тяжело мне об этом говорить — грабят ее, и не просто грабят, но еще и научают этому грабителей, показывая пример и ведя за собой. Они не только не обличают бесстрашно царя с помощью божественного откровения, а наоборот, поощряют его. Они не защищают вдов и сирот, не помогают пребывающим в бедах и напастях, не выкупают пленных из плена, а приобретают себе земельные владения, строят огромные дома, купаются в многочисленных богатствах и вместо благочестия украшают себя добычей. Где тот, кто мог бы запретить царю и его сановникам творить беззакония по всякому поводу? Где Илья, заступившийся за кровь Навуфея и обличавший царя прямо в лицо? Где Елисей, посрамивший израильского царя Иоарама, сына Ахава? Где все пророки, обличавшие несправедливых царей? Где Амвросий Медиоланский, усмиривший императора Феодосия Великого? Где Иоанн Златоуст, сурово обличавший императрицу за ее сребролюбие? Где теперь все патриархи и богоподобные святители, и многочисленные преподобные, подражающие Богу и бесстрашно обличающие законопреступные дела неправедных царей и властителей, выполняя и соблюдая сказанное спасителем Христом: «Если кто постыдится меня и моих слов в роде сем прелюбодейном и грешном, того постыдится и сын человеческий перед Божьими ангелами». Кто теперь без стыда произносит евангельские слова и кто готов положить душу за своих братьев? Я не знаю такого. Но вижу, как все лицо нашей земли объято жесточайшим пожаром и как множество домов исчезает в пламени бед и напастей. Кто придет и избавит нас от этого? Кто погасит пожар и избавит братьев от столь жестоких бед? Никто! Воистину, нет ни защитника, ни помощника, кроме Господа. Все думают лишь о своем богатстве и, ухватившись за него, простираются перед власть имущими, льстят им и заискивают перед ними, лишь бы только сохранить свое богатство и приумножить его. А если и сыщется кто-нибудь, кто говорит, выполняя Божью волю, о правде, то такого власти осуждают и, после многих мучений, предают страшной смерти. Также и монахи, которые когда-то добровольно отреклись от всех радостей земной жизни и поклялись страшными клятвами перед Богом и его ангелами, поддаются козням и уговорам коварного змея и, забыв свои обеты, стремятся урвать как можно больше богатств, завладеть безмерными имениями во многих селах, собирать с них огромные богатства и упрятывать их в прочные хранилища, а, наполнив одни, отрыгать их в другие, — как это свойственно было язычникам, некогда обличенным Псалмопевцем, — и похваляться ими, словно великим благодеянием. А кто смог бы рассказать о многочисленных ссорах и кровопролитиях, о междоусобных войнах и клятвопреступлениях, происходящих из-за этих богатств? А еврейское ростовщичество и корыстолюбие, и презрение к бедным братьям, страдающим от холода, голода и других несчастий, — кто мог бы это описать? И множество других немыслимо жестоких дел, которые и описать невозможно, лежит на их совести.
Воинской же чинъ нынѣ худѣйши строевъ обрѣтеся, яко многим не имѣти не токмо коней, къ бранем уготовленныхъ, или оружий ратных, но и дневныя пищи. Ихже недостатки и убожества, и бѣд их смущения всяко словество превзыде.	А военное сословие совсем обнищало, потому что многим из них не только боевых коней и оружия не хватает, но и пищи. И никакими словами невозможно описать их нужду и бедность, и одолевающие их невзгоды.
Купецкий же чинъ и земледѣлецъ всѣ днесь узрим, како стражут, безмѣрными данми продаваеми и от немилостивых приставов влачими и без милосердия биеми, — и, овы дани вземше, ины взимающе, о иных посылающе, и иныя умышляюще.	Видим также, как сегодня страдают купцы и земледельцы, облагаемые безмерными данями и преследуемые безжалостными надсмотрщиками, которые немилосердно издеваются над ними, — собрав одну дань, тотчас же возвращаются за другой, затем посылают за новой и уже замышляют очередную.
Бѣдно видѣние и умилен позоръ! Таковых ради неистерпимых мукъ овым без вѣсти бегуном ото отечества быти, овым любезныя дѣти своя, исчадия чрева своего, в вѣчныя работы продаваеми; и овым своими руками смерти себѣ умышляим — удавлению и быстринам рѣчным и иным таковым себе предавати — ото многия горести душам помрачатися естественому их бытству.	Грустное зрелище и горький позор! Из-за таких невыносимых мучений иные тайно убегают из отечества; иные своих любимых детей, плоды чрева своего, продают в вечное рабство; иные своими руками предают себя смерти — или удавляя себя, или бросаясь в быструю реку, или другим каким-нибудь способом — от горя естественная чистота их сознания помутняется.
Зри Павла к солуняном глаголюща.[37] Видиши ли, яко древний змий разрѣшен от темницы своея и како ратует завистными всѣми козньми своими на церкви Божия, како вселенную смяте и множество языков отступлению от Христова закона научает, и научи, и в различныя их ереси разлиявъ? И како нынѣ в нашей земли злим совѣтом своим горняя доле постави, чины чиномъ злыя обѣдники сотвори, и братиям единовѣрным вмѣсто хлѣба единым от других снѣдатися учини, умышляет вся злая беспрестани, и научает человеков в сопротивных к Богу обращатися?	Смотри, что говорит Павел солунянам. Видите, что уже древний змей выпущен из своей темницы и, полный зависти, плетет свои козни против Божьей церкви, что смущает вселенную и что учит многие народы, и научил уже их, столкнув на путь ересей, нарушать Христов закон? Так теперь в нашей земле злым своим советом все поставил с ног на голову — разные сословия сделал врагами друг другу, единоверных братьев заставил вместо хлеба питаться друг другом, — и беспрестанно чинит всякое зло и учит людей становиться врагами Бога.
Хто нас утѣшит и хто заступит от таковых нестерпимых бѣд и различных напастей, развѣ Господа Исуса, заступающаго правовѣрных всѣх от таковых навѣтов вражиих, и претерпѣвших до конца почестьми, нетлѣнными вѣнцы прославляюще? Да не смутимся, аще и сицевым злым бываемымъ, и воздвигнем главы своя къ живущему в превыспрених, отнюдуже ждемъ его, спасителя нашего, яко приближается уже избавление наше. Отринем всяко забвение и невѣдѣние, потщимся без лѣности на прочитание божестненых словес, да почерпше от них мудрость божественаго разума и укрепився духовною сею и пребывающею пищею, и возможем братися противу мысленнаго врага нашего с помощию владыки нашего Христа. И одолѣвъ ему, посрамим его всячески, и соблазны его, и смущение, и навѣты различные нивочтоже вмѣним, понеже церковь Христова неодолѣваема, ни одолѣнна от кого будетъ — ни от самого Диявола з бѣсы его, ни от Антихриста с мучители его, но на камени Христова исповѣдания недвижима вовѣки пребывает.	Кто еще кроме Господа Иисуса, который защищает правоверных от вражьих происков, а сохраняющих верность в страданиях прославляет почестями и нетленными венцами, — кто еще может нас утешить и защитить от таких невыносимых бед и напастей? Так пусть не поколеблют нас все эти несчастья и обратим наши головы к живущему на небесах, откуда мы и ждем его, нашего спасителя, ибо приближается уже час нашего избавления. И оставив всякое забвение, незнание и лень, постараемся прочесть божественные слова, почерпнуть из них мудрость божественного разума и укрепиться этой вечной духовной пищей, чтобы уметь противостоять с помощью Христа владыки нашему духовному врагу. Если сумеем это сделать, то победим его окончательно, и тогда все его соблазны, искушения и козни будут нам не страшны, потому что Христова церковь непобедима и не будет побеждена никем — ни Дьяволом с его бесами, ни Антихристом с его мучителями, — но будет покоиться непоколебимо и вечно на камне Христовой веры.
Но горѣ грабящим и крови проливающим, и милости, и суда не имущим во властех своихъ! Блажени и треблажени претерпѣвающеи и различныя напасти от таковых, зане же время отмщения близ есть. Горе соблажняющим и напасти творящеи и озлобление стаду паствы Христовы! Горе неведѣнием и забвением погрузившимся и вослѣд грядуще таковым, и не вѣдуще разсудити добраго от злаго, лѣности своея ради! Горе нам, овцам, оскудѣвшимъ от твердыя пища! Горе нам, яко не имѣем днесь искусных воловъ при яслех, иже бы прямо орали сердечныя наши бразды ралы еуаггельских словес и раздирали оляденѣвшии наша сердца многолѣтными и неподобными обычаи! И аще гдѣ и рѣтко обрящутси таковыя правители, от Бога нам на пользу данныя, и за православия их и учения всячески и оболганнии и ненавидими бывают от лжебратии нечеловѣколюбивых и лукавых! Горе нам, иже о заповѣдех Господнихъ не радящим и законы Божия попирающе! Горе нам, яко вмѣсто свѣта всему миру тма и соблазнъ бывающе, и вмѣсто целомудренаго и чиста жительства свинским и нечестивым житием живуще, яко сих ради дѣлъ наших имени Божиему хулитися во языцех! Горе нам, яко паче Христа мамонѣ работаем, и тщимся множайших селъ имѣний обложитися, нежели, распродавъ села и имѣния и раздав неимущим[38] поити вослѣд Христа по словеси его! Горе мнѣ, окаянному, врага своего послушавше, и в таковом обычаи многоденством затвердѣвшу! И от сицевых дѣлъ надѣюся избавленъ быти Господа моего Исуса щедротами, исцеляюще мя ваших рукъ духовным врачеством и ожидающе мя на покаяние по милосердию милости своея, яко тому подобает всяка слава со Отцем и Святым Духом в бесконечныя веки. Аминъ.[39]	Но горе тем, кто грабит и проливает кровь невинных и кто властвует без любви и справедливости! Блаженны же, трижды блаженны будут страдающие от них, ибо близок уже час отмщения за них. Горе тем, кто вводит в соблазн и искушение и приносит различные беды и зло стаду паствы Христовой! Горе и тем, кто, погрузившись в невежество и забвение, следует за ними, не умея из-за своей лени отличить добро от зла. Горе нам, овцам, истощавшим без хорошей пищи! Горе нам, не имеющим сегодня искусных волов в наших яслях, которые могли бы разрыхлить плугами евангельских слов борозды в наших сердцах, заросших сорняками многолетних непристойных обычаев! Если же где-нибудь иногда и находятся такие учители, которых Бог посылает нам на пользу, то хитрые и человеконенавистные, лживые братья клевещут на них, ненавидя за правоту их слова и учения! Горе нам, не соблюдающим заповеди Господни и презирающим закон Божий! Горе нам, вместо света видящим тьму и искушение по всему миру и вместо чистого жития живущим по-свински, из-за чего имя Божье хулится среди язычников! Горе нам, вместо Христа служащим мамоне и стремящимся приобрести как можно больше богатств вместо того, чтобы, распродав свои имения и раздав имущество, следовать за Христом по его слову! Горе и мне, несчастному, внявшему совету моего врага и в течение многих дней затвердевшему в таких нравах! Но надеюсь, что буду избавлен от этого великодушием Господа моего Иисуса, исцеляющего меня духовным врачеством ваших рук и ожидающего меня с покаянием по своему милосердию. Вечная ему слава с Отцом и Святым Духом. Аминь.
Да и се тебѣ не утаитися, прелюбезный друже мой: обрѣтаются книги в земли нашей Ветхаго и Новаго Завѣта и пророческие вси, а превод Скорины полоцкаго. Преведены не в давных лѣтех, аки лѣт 50 или мало к сим, a с препорчаных книг жидовскихъ. Еврѣи бо, паче реку каифяне, по вознесении Христовѣ, сопротивляяся апостолом и святых всѣм и поднесь беспрестани на соборищах ихъ. Зломудрецы их, умышляючи, портят словеса священная, в Моисѣе лежащая и во пророцех ихъ предреченное о Христѣ нашем. Тако и числа лѣтом крадут седморичнаго вѣка,[41] и глаголют, яко полшесть тысящи лѣт по ся мѣста еще прошло, и не пришли послѣдние лѣта, ни Христос явился плотию. А ждутъ, богоборныя, вмѣсто Христа Антихриста, хотяща пущенна быти от отца их Диявола на прельщение и пагубу роду християнскому.	Да будет тебе известно, любезный мой друг, что в нашей земле встречаются книги Ветхого и Нового Завета и книги всех пророков в переводе Скорины полоцкого. Перевод этот сделан недавно, лет 50назад или что-то около этого по испорченным иудейским книгам. Иудеи же, если не сказать каиафяне, как после вознесения Христа противоречили всем апостолам и святым, так и по сей день: их коварные мудрецы на своих сборищах постоянно что-либо измышляют и искажают священные слова, сказанные Моисеем и их пророками, и предреченные о нашем Христе. И крадут число лет семитысячного века, говоря, что прошло еще только 5 с половиной тысяч лет и не наступили еще последние времена, и не было еще явления Христа во плоти. А вместо Христа ждут они, противники Бога, пришествия Антихриста, который будет выпущен Дьяволом, их отцом, на испытание и погибель христиан.
А новые, от частых расколодѣющихъ учителей их, растлѣнны, и православные бы им не всем вѣрили: есть во множайших растлѣнны и покрадены. И, внимающи во всем преводу сему новому, немало от язык вѣрующих соблазнишася, и без разума жидовскаго во всем мудръствующе. Апостолских же и святыхъ всѣх уставов и законоположений ни слышати хотят, но паче хулят и ругаются им з жиды вкупѣ. Яковы же есть от Лютора, у нихже аз сам видѣх Библии Люторюв перевод, согласующе по всему Скоринниным Библием.	А писания, происходящие от новых учителей-отступников, во многих местах неполны и испорчены, поэтому православные не должны им во всем доверять. И уже немало верующих народов, во всем принимающих этот новый перевод, сбилось с пути и начинает во всем следовать иудейским мудрствованиям. И не хотят даже слышать об уставах и законоположениях апостолов и всех святых, а только хулят их вместе с евреями. Таковы последователи Лютера, у которых сам я видел переведенную им Библию, во всем соответствующую переводу Скорины.
И кому[42] инымъ книжником тщание будет учитися царьствия ради небеснаго новым и ветхим сокровищем, и оны да старых, нарочитых, паче Максима Философа, преводовъ взыскуют. А Ветхих да почитаютъ от седмидесять преводниковъ, иже преведены бысть за 300 лѣт до Христова рожества. От нихже послѣди во вселенной православные насладишася, и узрѣх в них словеса воистиннѣ извѣстные, духом Божиимъ от пророкъ святых предиреченные о избавителе нашем Исусе Христѣ. A по крещении Руские земли и в нашъ языкъ приведенны, a по монастырем, чаю, по многимъ есть в казнах ихъ.	Поэтому, если кто-либо из книжников захочет во имя обретения царствия небесного узнать сокровища Ветхого и Нового Завета, то пускай он обратится к старым, известным переводам, и прежде всего к переводам Максима Философа. А книги Ветхого Завета лучше читать в переводе семидесяти, который был сделан еще за 300лет до рождения Христа. Этим переводом впоследствии наслаждались православные во всей вселенной, и увидел я в нем знаменитые, подлинные слова, которыми дух Божий через уста своих пророков предрекал пришествие нашего избавителя Иисуса Христа. После крещения Руси эти книги были переведены и на наш язык, и думаю, что их можно найти в сокровищницах многих монастырей.
Мир и любовь въ Троицы славимаго Бога да будет с тобою. Аминь.	Мир и любовь почитаемого в Троице Бога пусть будет с тобой. Аминь.
