ПЯТЫЙ СТЕПЕНЬ, И ДВА МИТРОПОЛИТЫ, КЛИМЕНТЪ, КОСТЯНТИН, И ГРАН 5 <...>	ПЯТАЯ СТУПЕНЬ, И ДВА МИТРОПОЛИТА, КЛИМЕНТ И КОНСТАНТИН, ГРАНЬ 5 <...>
Отвѣщавши же блаженная отроковица: «Ей, госпоже и мати, вся мира сего видимая красна суть и славна, но вскоре минуется, яко сон мимо идет или цвѣт увѣдает; вѣчная же — невидима, но в вѣки пребывает, якоже Писание глаголет: „Око не видѣ, ни ухо слыша, ни на сердце человѣку не взыде, иже уготова Богъ любящимъ его".[10] Или отца моего ради не хощеши мене острищи? Не бойся, госпожа моя, и убойся Господа, владѣющаго всею тварию. И не отлучи мене аггельскаго чина».	И отвечала блаженная отроковица: «Да, госпожа моя и мать, все видимое в этом мире красно и славно, но скоро минует, и, будто сон, проходит, и, будто цвет, увядает; вечное же — невидимо, но пребывает вечно, как говорит Писание: «Око не видало, и ухо не слыхало, и на сердце человеку не всходило, что уготовал Бог любящим его». Или из-за моего отца не хочешь меня постричь? Не бойся, госпожа моя, а убойся Господа, владеющего всем созданием. И не лиши меня ангельского чина».
Она же блаженная княгини, удивившися разуму отроковица и любви, яже к Богу, повелѣ воли ея быти. И огласивъ ю иереие, остриже ю и нарече имя ей Евфросиния и облече ю в ризы черныя. Благослови ю игумения благословением святых отецъ и рече ей: «Буди, чадо, послѣдствующи преже тебѣ бывших жен, рекше Февронии и Евфроксии,[11] и инѣх множество, яже Христа ради пострадаша, — и Господь Богъ дастъ ти побѣду и силу на супротивника нашего диявола». И тако ей рекши, отпусти ю в келию свою.	И блаженная та княгиня, удивившись разуму отроковицы и любви ее к Богу, повелела быть по ее воле. И, огласивши, постриг ее иерей и нарек имя ей Евфросиния, и облачил ее в черные одежды. Благословила ее игуменья благословением святых отцов и сказала ей: «Последуй, чадо, бывшим прежде тебя женам, Февронии и Евфроксии, и множеству других, что ради Христа пострадали, — и Господь Бог даст тебе силу и победу на врага нашего дьявола». И так сказав ей, отпустила ее в свою келью.
И увѣдев отецъ ея, скоро шед в монастырь, жалосно терзаше власы главы своея и любезно целоваше ю, глаголя: «Горе мнѣ, чадо мое! Почто ми, чадо мое, сице сотворила еси, печал души моей принесе? Почто ми преже сего мысли своея не явила еси? Люте мнѣ, чадо мое сладкое, жалости сердца моего! О, горе мнѣ, чадо мое милое! Како гонзнет доброта твоя вражия пронырства? Уже достоит ми плакатися острупленою душею ко Господу Богу моему, да внидеши в чертог царствия его».	И, узнав <об этом>, спешно пошел отец ее в монастырь и, терзая горестно волосы на своей голове, стал с любовью целовать ее и говорить: «Горе мне, чадо мое! Зачем ты, чадо мое, так сотворила, принесла печаль моей душе? Зачем не явила прежде свои мне мысли? Горе мне, сладкое мое чадо, печаль моего сердца! О, горе мне, чадо мое милое! Как уберечься красе твоей от дьявольских козней? Подобает плакаться мне острупленной моей душою к Господу моему Богу, чтобы вошла ты в чертог его Царства».
Жалость же бысть всѣмъ в дому его о ней. Преподобная же Еуфросиния сего всего небрежаше, жалостно плачюща отца своего, но, яко доблий храбор вооружившися на супротивника своего диявола, пребываше в монастыри,[12] повинующеся игумении и сестрам и вся преспевающи постом и молитвами и бдѣнии нощными и оттоле паче подвижнѣйше быти, собирающи мысли благи в сердцы своем, яко пчела сот.	И жалели все в дому его о ней. А преподобная Евфросиния этому всему не внимала, горестно плачущему своему отцу, но, как добрый воин, вооружившийся на врага своего дьявола, оставалась в монастыре, повинуясь игуменье и сестрам и преодолевала все молитвой, и постом, и ночными бдениями, и после этого еще больше укреплялась в подвиге, собирая добрые мысли в сердце своем, как пчела мед.
И пребывши в монастыри нѣколико время, и потом испроси у епископа ту сущаго, нарицаемаго Илии,[13] правящего престол Святыя Софии Полотску,[14] дабы ей повелѣлъ ту пребывати в церкви Святыя Софии каменыя в голубцы.[15] И повелѣ ей, да пребывает. И ту вшедши, начат подвижнейший подвиг постнический восприимати, начат книги писати своима рукама, наем емлющи, требующим даяше,[16] пребывши ту нѣколико время.	И, пробыв некоторое время в монастыре, испросила она потом у бывшего там епископа, по имени Илья, правившего престолом Святой Софии в Полоцке, чтобы разрешил ей пребывать там, в каменной церкви Святой Софии в голбце. И разрешил он ей пребывать <там>. И, придя туда, начала она еще большим подвигом постническим подвизаться, начала книги писать своими руками, и, беря <за это> плату, отдавала ее нуждающимся, оставаясь там некоторое время.
Во едину убо нощ возлеже, хотя опочити от многаго труда, иже к Богу в молитвах, и видѣ видѣние: поем ю анггелъ и виде ю, идѣже бѣ церквица Святаго Спаса, метохия Святые Софии, яже зовется Селцо[17] от людей. И ту показа ей анггелъ Господень и глагола: «Еуфросинии, ту ти подобает быти». Она же убудившися и дивляшеся в себе глаголющи: «Что ми се хощет быти?» И тое же нощи то же видѣ дважды и 3-жды. И убудившися от сна и страхом славословящи Бога и глаголющи: «Слава тебѣ, Боже наш! Слава тебѣ, сподобивый мя во днешний день видѣти лице анггельское святое!» И по том нача глаголати: «Готово сердце мое, Боже, готово!»[18] И паки: «К тебѣ привергохся от утробы матери моея, Богъ мой еси ты,[19] како восхотѣ, тако и сотвори на мнѣ, рабѣ твоей».	И однажды ночью, когда легла она, желая отдохнуть от многого молитвенного труда пред Богом, увидала она видение: взял ее ангел и повел туда, где была церковка Святого Спаса, подворье Святой Софии, что называется людьми Сельцом. Показал ее ей ангел Господень и сказал: «Евфросиния, здесь тебе подобает быть». И, пробудившись, она дивилась, говоря себе: «Что же такое со мною будет?» И той же ночью видела она то же в другой раз и в третий. И, пробудившись от сна, в страхе славословила она Бога и говорила: «Слава тебе, Боже наш! Слава тебе, сподобившему меня сегодня видеть святое ангельское лицо!» И после этого стала говорить: «Готово сердце мое, Боже, готово!» И еще: «Тебе я привержена от утробы матери моей, ты Бог мой, как пожелал ты, так и сотвори со мною, рабой твоею».
И кончавши ей утреняя, и явися епископу Илии тожде анггелъ, глаголя: «Введи рабу Божию Еуфросинию в церковь Святому Спасу в нарекомо Селцо. Мѣсто бо то свято есть, яко достойно есть Царствию Небесному. Яко миро добровонно молитва ея восходит к Богу; яко вѣнец на главѣ цареве, тако почивает Духъ Святый на ней; яко солнце сияет по всей земли, и тако житие ея просияет пред анггелы Божии». Сей воста вскоре епископъ со страхом и трепетом и прииде к ней. Еуфросиния же, видѣвши его, срѣте, поклонися ему и рече: «Благослови, владыко святый!» Он же глагола ей: «Богъ да благословит тя, чадо, и даст ти терпѣние и силу на вся враги, видимыя и невидимыя». Она же рече: «Аминь. Буди мнѣ по глаголу твоему, владыко святый». И сѣдоста. Блаженный же епископъ отверзъ уста своя, начат глаголати о спасении души. Блаженная же Евфросиния приимаше словеса его, яко сѣмена, в житницу души своей, плодящи ово 30, ово 60, ово 100.	И в то время, когда кончала она утренние <молитвы>, явился епископу Илье тот же ангел и сказал: «Приведи рабу Божию Евфросинию в церковь Святого Спаса, в так называемое Сельцо. Ибо место то свято и достойно Царствия Небесного. Как благовонное мирро, восходит молитва ее к Богу; как венец на царской голове, так покоится на ней Святой Дух; как сияет солнце по всей земле, так и жизнь ее просияет пред ангелами Божьими». И поднялся быстро епископ тот в страхе и трепете и пришел к ней. И Евфросиния, увидав его, пошла ему навстречу, поклонилась и сказала: «Благослови, святой владыка!» И он сказал ей: «Бог да благословит тебя, чадо, и подаст тебе терпение и силу на всех врагов, видимых и невидимых». Она же сказала: «Аминь. Буди мне по глаголу твоему, святой владыка». И сели они. И блаженный епископ, отверзши свои уста, стал говорить о спасении души. А блаженная Евфросиния принимала, будто семена, в житницу своей души его слова, умножая плоды и в тридцать, и в шестьдесят раз, а что и стократно.
Много же побесѣдоваста с нею, и се прорече ей: «Дщи, хощу пререщи ти слово, ты же с любовию приими». Она же рече: «Отче господине, рада прииму слово твое, яко дар многоцѣнен». И глагола ей епископъ: «Вѣдаеши, чадо, се церковь есть соборная, идѣже сѣдиши. Ту вси людие собираются, а тебѣ не лѣпо здѣ пребывати. Есть церквица Святаго Спаса в Селцы, идѣже братия наша лежа, преже нас бывшии епископи. Негли Богъ поспѣшит ти молитвами их и твоим трудом, и возградится мѣсто велико».	И долго они проговорили с нею, и вот сказал он ей: «Дочь моя, хочу я сказать тебе слово, прими его с любовью». И она сказала: «Отец мой и господин, приму я с радостью твое слово, как драгоценный дар». И стал епископ говорить ей: «Ты знаешь, чадо, что это церковь соборная, тут, где ты живешь. Здесь собираются все люди, и тебе нехорошо здесь оставаться. Есть церковка Святого Спаса в Сельце, где лежит наша братия, бывшие прежде нас епископы. Быть может, Бог пособит тебе за их молитвы и за твой труд, и создастся великое место».
Еуфросиния же, слышавши от епископа, яко тако ей изглагола, и возрадовася душею и возвеселися сердцемъ, явлению аггелову вѣру приимше, еже видѣ и слыша от него, и глагола епископу: «Богъ да поспѣшит ми, отче, молитвами твоими святыми».	И, услыхав от епископа, что он ей сказал, возрадовалась душой Евфросиния и возвеселилась сердцем, поверив ангелову явлению, тому, что видела и слышала от него, и сказала епископу: «Бог да поможет мне, отче, твоими святыми молитвами».
Призвав же епископъ князя Бориса,[20] отца сестры ея, и отца ея Георгия, и преподобную Еуфросинию, и силныя мужа и постави я сам на ся послухи, рек: «Се отдаваю Еуфросинии мѣсто Святаго Спаса при вас, да по жоем животѣ никтоже не посудит моего даяния». И се слышавши князи обои и боляре вси от епископа, и поклонистася ему, глаголющи вси людие тако рече: «Ей, владыко святый! Се ти есть Бог положил на сердцы твоем, еже еси тако смыслил о отроковицы сей, попечение о ней имѣя». Еуфросинии рѣша: «Ты иди, послушай епископа, еже ти велит, тако сотвори, той есть всѣм нам отецъ, подобает нам послушати его». Еуфросиния же, возрѣвши на ня осклабленнымъ лицем, и рече им: «Рада иду; яко повелит ми, тако и будет воля Господня о мнѣ». Князи же и боляре вси, слышавше от преподобныя Еуфросинии глаголъ сей, возрадовася и приимше благословение от епископа, и поклонишася преподобной Еуфросинии, и целовавше ю любезнымъ целованием и ѣхаша в домы своя.	И призвал епископ князя Бориса, отца ее сестры, и Георгия, отца ее, и преподобную Евфросинию, и влиятельных <городских> мужей и, поставив их сам себе в свидетели, сказал: «Вот при вас отдаю я Евфросинии место Святого Спаса, чтобы никто по моей кончине не осудил моего даяния». И, услыхав это от епископа, оба князя и все бояре поклонились ему, и так сказали все люди: «Ей, святой владыка! Это Бог положил тебе на сердце, что рассудил ты так о сей отроковице, печась о ней». А Евфросинии они сказали: «Иди, послушай епископа, как он тебе велит, так и сделай, он всем нам отец, подобает нам слушаться его». И, обратив к ним улыбающееся лицо, Евфросиния сказала: «Пойду с радостью; как повелит он мне, такова и будет для меня Господня воля». И возрадовались все князья и бояре, услыхав от преподобной Евфросинии слова эти, и, приняв от епископа благословенье, поклонились преподобной Евфросинии и, поцеловав ее любовным целованьем, разъехались по своим домам.
Еуфросиния же, поклонився Святой Софии и благословившися от епископа, и той нощи воставши, поемше с собою едину черницу и пришедши ей на мѣсто, зовомое Селцо, идѣже есть церквица Святаго Спаса. И влѣзши ей в церковь и поклонившися, и возгласи сице: «Ты, Господи, заповѣда святым своим апостоломъ, рек: „Не носите с собою ничтоже, токмо жезлъ".[21] Азъ же, Господи, твоему словеси послѣдствующи, изыдох на мѣсто, ничтоже носяще, но точию твое слово в себѣ имущи, еже рещи: „Господи, помилуй!" И еще за все имѣние имѣю книги сия, имиже утѣшает ми ся душа и сердце веселит; лише же сих трех хлѣбов не имам ничтоже, — но токмо тебѣ, помощника, и заступника, и кормителя. Ты бо еси отецъ убогим, нагим одѣяние, обидимым помощьник, ненадѣющимся надежда. И буди имя твое благословено на рабѣ твоей Еуфросинии отселѣ и до века. Аминь». И так рекши, нача подвижнейши быти на молитву, яже к Богу.	А Евфросиния, поклонившись святой Софии и благословившись у епископа, в ту ночь встала, взяла с собой одну черницу и пришла на место, прозванное Сельцом, где стоит церковь Святого Спаса. Вошла она в церковь и поклонилась, и так проговорила: «Ты, Господи, заповедал святым своим апостолам, сказавши: «Не носите ничего с собою, один лишь жезл». И я, Господи, следуя твоим словам, вышла на <это> место, ничего не взяв <с собою>, твое лишь слово в себе имея — «Господи, помилуй!» Да еще вместо всего имущества имею я эти книги, что утешают мне душу и веселят сердце; кроме же этих трех хлебов, ничего не имею, — только тебя, помощника, и заступника, и кормильца. Ибо ты — отец убогим, одеяние нагим, обижаемым помощник, ненадеющимся надежда. Буди имя твое благословенно на рабе твоей Евфросинии отныне и до века. Аминь». И, сказав так, с еще большей силой подвиглась она на молитву к Богу.
И ту ей пребывающи нѣколико время, и тогда посла ко отцу своему, глаголющи: «Пусти ко мнѣ Гордиславу сестру, да научится грамоте». Он же пусти Гордиславу к ней, тако ей бѣста нарекла родителя имя. Она же с прилежанием учаше ю о спасении души. Она же с прилежанием приимаше, яко нива плодовита, умягчивши сердце свое, и глаголаше: «Господь Богъ да устроит ми на спасение души моей твоими, госпоже, молитвами». И се ей рекши, преподобная же Еуфросиния введе ю в церковь, повелѣ иерееви, огласивши, облачити в чернеческия ризы; и нарече имя ей Евдокия.	И, пробыв там некоторое время, послала она к своему отцу со словами: «Отпусти ко мне сестру Гордиславу, чтобы научилась она грамоте». И отпустил он к ней Гордиславу (такое имя нарекли ей родители). Она же усердно стала ее учить спасению души. А та с усердием, как плодородная нива, принимала, умягчив сердце свое, и говорила: «Господь Бог да устроит спасение моей души твоими, госпожа, молитвами». И когда она так сказала, привела преподобная Евфросиния ее в церковь и велела иерею, огласивши ее, облачить в чернеческие ризы; и нарекли имя ей Евдокия.
И по мале времяни присла отецъ к ней и рече к ней: «Пусти ко мнѣ сестру свою». Она же отвѣщавши: «Еще не извыче всей грамоте». И увѣдѣв отецъ ея, яко, утаившися его, остриже ю, и возярившися на праведную Еуфросинию и сердцемъ горя, приѣхав к монастыреви, глаголя: «Чадо мое, что сотвори! Приложи сѣтование к сѣтованию души моей и печал к печали!» И се ему глаголющи от горести сердца своего, реками слез часто излеваше от очию своею, любезно держаше Евдокию: «Чадо мое, на се ли вас родих, или на се вас мати воспита? Уже ли ваш брак готовятъ? Уже ли чертог и брачныя порты ваю на сѣтование положих себе? Чадо мое милое, что ми воздаста в радрости мѣста горкое рыдание и печали сердце мое наполниста!» И вси боряре его, слышавше жалость князя своего, плакахуся горько о напрасней печали князя своего.	И немного времени спустя прислал отец к ней со словами: «Отпусти ко мне свою сестру». А она отвечала: «Еще не научилась она всей грамоте». И узнал ее отец, что втайне от него постригла она ее, и разъярился на праведную Евфросинию, и с разгоряченным сердцем приехал в монастырь и сказал: «Чадо мое, что ты натворила! Прибавила <новое> сетование к сетованию души моей и печаль к печали!» И говорил он так в горести своего сердца, точа реки слез из своих очей, обнимая с любовью Евдокию: «Чада мои, для того ли я вас родил и для того ли вскормила вас мать? Неужто вам брак готовят? Неужто брачный ваш чертог и одежды на горе устроил я себе? Чада мои милые, за что вознаградили вы меня вместо радости горьким плачем и печалью сердце мое наполнили!» И все бояре его, слыша горестные сетования своего князя, горько плакали о нежданной печали своего князя.
Блаженная же Еуфросиния отвѣщавши отцу своему: «Что ради печалуешися о нас? Имаевѣ бо печалника и помощника единаго Бога». Отецъ же ея малу утѣху приимъ от словес преподобныя и еха в дом свой. Евдокия же пребываше в монастыри, повинующися сестрѣ своей.	А блаженная Евфросиния отвечала своему отцу: «Зачем ты печалишься о нас? Есть у нас один печальник и помощник — Бог». И ее отец, утешившись немного словами преподобной, поехал в свой дом. А Евдокия осталась в монастыре, повинуясь сестре своей.
Блаженная же Еуфросиния трудом многимъ моляшеся к Богу о мѣсте сем, дабы Богъ устроил ей се на нѣколико время. Бяше же княжна Борисовна имянем Звѣнислава,[22] и та, пришедши единою от дний принесе свою всю утвар златую и порты многоцѣнны в монастыри къ Еуфросинии и рече: «Ей, госпоже сестро, вся красная мира сего ни во чтоже ми ся мнит. Се даю Святому Спасу и сама хощу поклонити главу свою под иго Христово». Она же прият ю с радостию и повелѣ иереови пострищи ю и нарече имя ей Епраксие. И тако начаста пребывати в монастыри во едину мысль яже к Богу, и тако бяше видѣти, яко едина душа в дву телесу.	Блаженная же Евфросиния со многими трудами молилась Богу о том месте, чтобы Бог устроил ей его на некоторое время. И была княжна, дочь князя Бориса, по имени Звенислава, однажды она пришла и принесла в монастырь к Евфросинии всю свою золотую утварь и драгоценные одежды и сказала: «Да, госпожа моя сестра, вся красота мира сего мнится мне ничем. Вот отдаю я все это Святому Спасу и сама хочу преклонить главу свою под иго Христово». И приняла она ее с радостью и повелела иерею постричь ее, и нарекла имя ей Евпраксия. И так стали пребывать они в монастыре, устремляясь мыслью одною к Богу, и было видно, что одна была душа в двух телах.
