ПОСЛАНИЕ ЧЮДОТВОРЦА КИРИЛА	ПОСЛАНИЕ ЧУДОТВОРЦА КИРИЛЛА
Да слышал есми, господине князь великий, что смущение велико межу тобою и сродники твои, княжми Суждалскими: ты, господине, свою правду сказываешъ, а они свою. А в том, господине, меж васъ християном кровопролитие велико чинится. Ино, господине, посмотри того истинно: в чем будет их правда пред тобою, и ты, господине, смирением своимъ поступи на себе. А в чемъ будет твоя правда пред ними, и ты, господине, за собя стой по правдѣ. А почнут ти, господине, бити челом, и ты бы, господине, Бога ради пожаловал их по их вѣре, занеже, господине, такъ слышалъ есмь, что доселе были у тебѣ в нужи, да отътого ся, господине, и возбранили. И ты господине, Бога ради покажи к ним свою любовь и жалование, чтобы не погибли в заблужении в Татарских странах, да тамо бы не скончалися.	Да слышал я, господин князь великий, что — несогласие великое между тобой и родственниками твоими, князьями Суздальскими: ты, господин, свою правду выставляешь, а они свою. И из-за этого, господин, от вас христианам великое кровопролитие причиняется. Так ты, господин, посмотри на то поистине: в чем окажутся они правы перед тобой, и ты, господин, со смирением уступи им. А в чем окажется твоя правда перед ними, в том, господин, ты за себя стой по правде. А начнут тебе, господин, они бить челом, и ты бы, господин, Бога ради пожаловал их по их вере, потому что, господин, я так слышал, что до сих пор они были у тебя в принуждении, и оттого, господин, и возмутились. И ты, господин, Бога ради выкажи к ним свою любовь и милость, чтобы они не погибли, блуждая в Татарских странах, и там бы не скончались.
Занеже, господине, ни царство, ни княжение, ни иная кая власть не может нас избавити отъ нелицемѣрнаго суда Божия. А еже, господине, возлюбити ближняго яко себе и утѣшити душа скорбящая и озлобленыя много поможет на страшнемъ судѣ Христовѣ, понеже пишетъ апостолъ Павел, ученикъ Христовъ: «Аще имам вѣру горы преставляти, аще имамъ раздати все имѣние мое, любве же не имамъ, ничтоже полза ми есть».[4] Возлюбленный же пишет Иоан Богословъ: «Аще кто речет: “Бога люблю, а брата своего ненавижу”, — ложь есть».[5] Тѣмже и ты, господине, возлюби Бога от всея душа своея, тако возлюби и братию свою и вся христиане. И так, господине, вѣра твоя к Богу, милостыня твоя к нищим богоприятна будетъ.	Потому что, господин, ни царская, ни княжеская, ни иная какая-либо власть не может избавить нас от нелицемерного суда Божия. И если, господин, ты возлюбишь ближнего как себя и утешишь душу скорбящую и озлобленную, то это много поможет тебе на Страшном суде Христовом, поскольку пишет апостол Павел, ученик Христов: «Если имею веру, чтобы горы переставлять, если раздам все имение мое, любви же не имею, нет мне никакой пользы». Пишет и возлюбленный Иоанн Богослов: «Если кто говорит: “Я люблю Бога, а брата своего ненавижу”, тот лжец». Потому и ты, господин, возлюби Бога от всей души своей, так же возлюби и братию свою и всех христиан. А тогда, господин, вера твоя в Бога и милостыня твоя нищим будет Богу приятна.
А милость Божия и Пречистыя Богородицы на тебѣ, на моем господине, на великом князе Василье, да будет, и на твоей великой княгине, и на ваших дѣтках, и мое благословение и молитва и моей братии. Аминь.	А милость Божия и Пречистой Богородицы на тебе, на моем господине, на великом князе Василии, да будет, и на твоей великой княгине, и на ваших детках, и мое благословение и молитва и моей братии. Аминь.
ТОГОЖЕ ЧЮДОТВОРЦА КИРИЛА ПОСЛАНИЕ КО КНЯЗЮ ЮРѢЮ ДМИТРЕЕВИЧЮ[6]	ТОГО ЖЕ ЧУДОТВОРЦА КИРИЛЛА ПОСЛАНИЕ КО КНЯЗЮ ЮРИЮ ДМИТРИЕВИЧУ
Господину благовѣрному князю Георгию Дмитреевичю — Кирилище, чернечище грѣшный, со своею братицею. На твоей, господине, на частой еже къ намъ, нищымъ, милостыне много челомъ бием. Радуемся, господине, видя и слыша твое доброе произволение, — что от всея душа уповаеш на Бога и на Пречистую Его Матерь и от нас, воистину недостойных и грѣшных, посланное к тебѣ слово твориши приятно.	Господину благоверному князю Георгию Дмитриевичу — Кирилище, чернечище грешный, со своею братиицей. За твою, господин, частую к нам, нищим, милостыню много челом бьем. Радуемся, господин, видя и слыша, что ты стремишься к добру — от всей души уповаешь на Бога и на Пречистую Его Мать и нами, воистину недостойными и грешными, посланное к тебе слово принимаешь с приязнью.
А что, господине, скорбишъ о своей княгине, что въ недузе лежит, ино господине, воистинну вѣмы, яко нѣчто смотрѣние Божие и человѣколюбие Его бысть на вас, — чтобы есте исправились к Нему. И вы, господине, посмотрите себѣ, покайтеся от всея душа своея, и отъ того бы престати. Занеже, господине, аще кто и милостыню творит, аще и молити Бога за себя велит, а сам не отстанетъ неподобных дѣл своих, ничтоже ползует себѣ, ниже Богъ благоволит от таковых приношения. И вы, господине, посмотрите себѣ, исправитеся къ Богу невозвратно. И аще, господине, сице обратитеся к Богу, и аз грѣшный поручаюсь, яко проститъ вамъ благодатию Своею вся согрѣшения ваша и избавитъ вас от всякия скорби и бѣды, а княгиню твою здраву сотворит.	А что, господин, скорбишь о своей княгине, что она в недуге лежит, так мы о том, господин, в точности знаем, что некий промысел Божий и человеколюбие Его проявилось на вас, — чтобы вы исправились в отношении к Нему. Так вы, господин, посмотрите на себя, покайтесь от всей души своей, и то прекратите. Потому что, господин, если кто и милостыню творит, и молить Бога за себя велит, а сам не отступает от неподобных дел своих, никакую пользу не приносит себе, и Бог не благоволит к приношениям таковых. И вы, господин, посмотрите на себя и исправьтесь в отношении к Богу безвозвратно. И если, господин, так обратитесь вы к Богу, то я, грешный, ручаюсь, что простит Он вам благодатью Своею все согрешения ваши и избавит вас от всякой скорби и беды, а княгиню твою сделает здоровой.
Мы, господине, грѣшнии отъ всея душа своея ради Бога молити о ней, чтобы ея помиловал и облехчил от болѣзни тоя тяжкия. И аще ли, господине, тако пребудет в недузе том, то воистинну, господине, вѣждь, яко нѣчто добродѣтели ея хощетъ Богъ упокоити ю отъ маловременныя сея и болѣзненыя жизни ко оному нестареющемуся блаженству.	Мы, господин, грешные, от всей души своей рады Бога молить о ней, чтобы Он ее помиловал и дал ей облегчение в той тяжелой болезни. А если, господин, она так и пребудет в том недуге, то воистину, господин, знай, что ради некоей ее добродетели хочет Бог упокоить ее от маловременной этой болезненной жизни в оном нестареющем блаженстве.
Ты же, господине, не скорби о сем, видя сию идущу в безконечный покой, в свѣтлость святых, в неизреченную славу Божию, и тамо зрѣти пресладкаго лица Его и со Христомъ быти и, обрѣтъ Его, радоватися во странѣ живущих, идѣже глас веселящихся. Но надеемся, господине, на милость Божию, яко не оскорбитъ Господь, но благодатию Своею помилуетъ и утѣши тя.	Ты же, господин, не скорби об этом, видя, как она идет в бесконечный покой, в светлость святых, в неизреченную славу Божию, чтобы там зреть пресладкое лицо Его, со Христом быть и, обретя Его, радоваться в стране живущих, где глас веселящихся. Но надеемся, господин, на милость Божию, что не причинит скорби тебе Господь, но благодатию Своею помилует и утешит тебя.
И Пречистая госпожа Богородица и Царица наша поможет ти, что нас, господине, нищих ея, не забываешъ, в пустом семъ мѣсте собравшихся во обитель ея, но часто призираеши доволными милостынми своими. О всѣх же сих, господине, мы грѣшнии ничтоже можемъ воздати тебѣ, но Пречистая Богородица воздастъ ти множае в сий вѣкъ и в будущий. А язъ, господине, грѣшный со своею братицею ради Бога молити и Пречистую Матерь о твоемъ здравии и спасении, и твоей княгине, и о твоихъ дѣтках, и о всѣх християнех, порученных тебѣ.	И Пречистая госпожа Богородица и Царица наша поможет тебе за то, что нас, господин, нищих ее, не забываешь, в пустынном этом месте собравшихся в обители ее, но часто жалуешь обильными милостынями своими. За все это, господин, мы, грешные, ничего не можем воздать тебе, но Пречистая Богородица воздаст тебе многократно в том веке и в будущем. И я, господин, грешный, со своей братиицей рад Бога молить и Пречистую Его Мать о твоем здоровье и спасении, о твоей княгине, и о твоих детках, и о всех христианах, порученных тебе.
А что еси, господине князь Юрье, писал ко мнѣ грѣшному, яко: «Издавна жадаю видѣтися с тобою», — ино, господине, Бога ради не мози того учинити, что ти к нам ѣхати, занеже, господине, вѣмъ, яко нѣчто моихъ ради грѣховъ то искушение приидет на мя, аще поѣдешь ко мнѣ. Занеже, господине, извѣстую ти: не мочно ти нас видѣти. Покиня, господине, и монастырь, да ступлю прочь, куды Богъ наставитъ. Понеже, господине, вы чаете мене здѣсе, что яз добръ и святъ, ано, господине, въистинну всѣх есми человѣкъ окаяннее и грѣшнее и всяго студа исполненъ.	А что, господин князь Юрий, писал ты ко мне, грешному, что, дескать, «Издавна жажду я увидеться с тобой», — так ты, господин, Бога ради не смей того учинить, чтобы тебе к нам поехать, потому что, господин, знаю, что из-за моих грехов искушением то придет на меня, если ты поедешь ко мне. Так что, господин, ставлю тебя в известность: невозможно тебе нас увидеть. Покинув, господин, даже и монастырь, пойду я прочь, куда Бог направит. Потому что, господин, вы думаете обо мне здесь, что я добр и свят, а я, господин, воистину всех людей окаянней и грешней и всякого стыда исполнен.
И ты, господине князь Юрьи, не подиви на нас о семъ, понеже, господине, слышу, что божественное Писание самъ вконец разумѣеши и чтеши. Вѣдаешъ сам, каковъ намъ вред приходит от похвалы человѣчьския, наипаче же надстрастнымъ. Аще, господине, и кто воистинну святъ и чистъ сердцемъ, но и тѣмъ повреждение бываетъ от тоя тяготы. А намъ, господине, всякой страсти повинным, велика спона души от того.	И ты, господин князь Юрий, не удивляйся нам из-за этого, потому что, господин, слышу я, что божественное Писание ты совершенно разумеешь и читаешь. Знаешь сам, какой вред постигает нас из-за похвалы человеческой, особенно же подверженных страстям. Даже, господин, и тем, кто воистину свят и чист сердцем, даже тем повреждение бывает от этой тягости. А нам, господин, всякой страсти подверженным, от этого великая помеха душе.
Еще, господине, сам сего поразсуди: понеже твоея вотчины в сей стране нѣт, и толко ты, господине, поѣдешь семо, ино вси человѣцы начнут глаголати: «Кирила деля токмо поѣхалъ».	Да ты, господин, сам об этом рассуди: раз твоей вотчины в этой земле нет, то только ты, господин, поедешь сюда, как все люди начнут говорить: «Ради Кирилла только поехал».
Былъ, господине, здѣсе брат твой, князь Ондрѣй;[7] ино, господине: — его отчина, и намъ пришла нужа: нелзе намъ ему, своему господину, челом не ударити. А ты, господине, Бога ради не учини того, что ти к нам ѣхати.	Был, господин, здесь брат твой, князь Андрей; так то, господин, его отчина, и мы оказались перед необходимостью: нельзя было нам ему, своему господину, челом не ударить. А ты, господин, Бога ради не учини того, чтобы тебе к нам ехать.
Аз, господине, аще и грѣшен есмь, а рад Бога молити и Пречистую Его Матерь со своею братиицею о тебѣ, о нашемъ господине, и о твоей княгине, и о твоих дѣтках, и о всѣх християнехъ, иже под властию твоею, якоже ти, господине, и преже сего писах. А Пречистая Богородица, Владычица наша, помилует тя, и покрыетъ тя ризою своею честною, и наставитъ тя въ разумъ истинный, и управит тя во царствии Сына своего за молитвъ святых. Аминь.	Я, господин, хоть и грешен, а рад Бога молить и Пречистую Его Мать со своей братиицей о тебе, о нашем господине, и о твоей княгине, и о твоих детках, и о всех христианах, находящихся под твоей властью, как я тебе, господин, и прежде этого писал. А Пречистая Богородица, Владычица наша, помилует тебя, и покроет тебя ризой своей честной, и наставит тебя в разум истинный, и направит тебя в царствие Сына своего за молитвы святых. Аминь.
ПОСЛАНИЕ КИРИЛА ЧЮДОТВОРЦА КО КНЯЗЮ АНДРЕЮ ДМИТРЕЕВИЧУ[8]	ПОСЛАНИЕ КИРИЛЛА ЧУДОТВОРЦА К КНЯЗЮ АНДРЕЮ ДМИТРИЕВИЧУ
Господину благовѣрному князю Андрѣю Дмитреевичу — Кирил, чернечище грѣшный и непотребный, со своею братиицею.	Господину благоверному князю Андрею Дмитриевичу — Кирилл, чернечище грешный и непотребный, со своей братиицей.
Много челом бьем и Бога молим о вашем здравии, господей наших, поминая, господине, твою любовь, что имѣеши к Пречистой Богородицы, и к нашей нищете поминая, господине, твою великую любовь и доволную милостыню, нашего господина.	Много челом бьем и Бога молим о вашем здоровье, господ наших, поминая, господин, твою любовь, какую ты имеешь к Пречистой Богородице, и к нашей нищете поминая, господин, твою великую любовь и обильную милостыню нашего господина.
Да что ми еси писал о преславном чюдеси Пречистыя Богородицы, паче слова и смысла преславная чюдеса, — слава Тебѣ, Боже! слава Тебѣ, Крѣпкий! слава Тебѣ, Безсмертный, хвалимый в Троици всѣми небесными силами и родомъ человѣческимъ! Молитвами пречистыа Матери Своея, такову излия милость в последний сей род, услыша моление Матере Своея о роду християньском.	А что до преславного чуда пречистой Богородицы, о котором ты мне писал, — о превышающем слово и разум преславном чуде, так — слава Тебе, Боже! слава Тебе, Крепкий! слава Тебе, Бессмертный, восхваляемый в Троице всеми небесными силами и родом человеческим! Молитвами Пречистой Матери Своей такую излил Он милость в этот последний род, услышал моление Матери Своей о роде христианском.
Слыши, господине князь Ондрѣй, Ветхое Писание: егда восхощет Богъ кою землю показнити за нечестие, посылает преже проповѣдники, дабы обратилися. И аще обратятся, отводит Господь от них Свой гнѣв, мимоводит скорбь, и прелагаетъ печаль на радость, и показуетъ на них Свою милость.	Слушай, господин князь Андрей, что говорит Ветхое Писание: когда захочет Бог какую-нибудь землю казнить за нечестие, Он посылает сначала проповедников, чтобы жители той земли обратились. И если обратятся, отводит Господь от них Свой гнев, мимо проносит скорбь, обращает печаль в радость и проявляет на них Свою милость.
Господине князь Андрей! Намъ нынѣ, видѣвше Пречистыя госпожа Богородица преславная ея и великая чюдеса, и о томъ, господине, радоватися сердцем и душею устрашитися на всякъ часъ, что сподобил насъ Богъ Пречистою Своею Материю в последний сей родъ таковыми знаменми и чюдесы избавити християнский род от нашествия иноплеменных враг. И намъ, господине, нынѣ, видѣвши на насъ Божию милость и Пречистыя Богородицы помощь, поминати бы грѣхи своя и о том бы плакатися и просити у Бога милости и у Пречистые Его Матери помощи на благая дѣла. И аще видить нас милосердый Господь в сокрушении и сѣтовании ходяща, не презритъ насъ, якоже Ниневитяны, но обычнымъ си человѣколюбием помилуетъ.	Господин князь Андрей! Ныне нам, видевшим преславные и великие чудеса Пречистой госпожи Богородицы, подобает, господин, радоваться этому сердцем, а душой устрашаться во всякий час, оттого что сподобил нас Бог Пречистой Своей Матерью в последний этот род: такими знамениями и чудесами избавил Он христианский род от нашествия иноплеменных врагов. И ныне нам, господин, видевшим Божию к нам милость и Пречистой Богородицы помощь, поминать бы свои грехи и плакать бы о них и просить у Бога милости и у Пречистой Его Матери помощи на благие дела. И если увидит нас милосердный Господь в сокрушении и сетовании ходящих, не отнесется к нам с презрением, как и к Ниневитянам, но, по обычному Своему человеколюбию, помилует.
Благаго и преблагаго Бога благодарити должни есмы, Того бо есмы создание и раби, честною Его кровию искуплени есмы. И ты, господине князь Андрей, видя челоѣколюбие и милосердие Господа нашего Исуса Христа, что гнѣвъ Свой от нас отвелъ, а милость Свою явил народу християнскому, молитвами Пречистыя госпожа Матере Своея, и ты, господине, смотри того: властель еси во отчине отъ Бога поставленъ, — люди, господине, свои смиряй отъ лихово обычая. Судъ бы, господине, судили праведно, какъ предъ Богомъ право. Поклепом бы, господине, не было. И подметом бы, господине, не было же. Судьи бы посулов не имали, доволни бы были уроки своими, понеже сице глаголеть Господь: «Да не оправдиши нечестиваго мъзды ради,[9] ни силна, ни богата устыдися на судѣ, ни брата свойства ради, ни друга любве ради, ни нища нищеты ради. Ни сотвориши неправду на суде,[10] яко судъ истиненъ есть; проклят всякъ неправо судя». Пророкъ рече: «Ярость Господня на них неизцѣлна до вѣка, и огнь поястъ нечестивыя» — мзды ради, иже неправдою взимают. Судяи праведно, без мзды, спасени будут и царство небесное наслѣдуют.	Благого и преблагого Бога благодарить мы должны, ибо мы Его создание и рабы и искуплены Его честною кровию. И ты, господин князь Андрей, видя человеколюбие и милосердие Господа нашего Иисуса Христа, — что Он гнев Свой от нас отвел, а милость Свою явил народу христианскому, молитвами Пречистой госпожи, Матери Своей, — ты, господин, смотри вот на что: властителем в отчине ты от Бога поставлен, — людей, господин, своих смиряй дурные обычаи. Суды бы, господин, пусть судили праведно, как перед Богом справедливо. Клеветы, господин, пусть бы не было. И подметных, господин, писем тоже не было бы. Судьи бы взяток не брали, довольствовались бы своим жалованьем, потому что говорит Господь: «Да не оправдаешь нечестивого мзды ради, ни сильного, ни богатого не устыдись на суде, ни брата родства ради, ни друга любви ради, ни нищего нищеты ради. Не сотвори неправду на суде, ибо суд должен быть истинным; проклят всякий неправедно судящий». Пророк сказал: «Ярость Господня на них неисцелима до конца века, и огонь поест нечестивых» — из-за мзды, которую они неправедно взимают. Судящие праведно, без мзды, спасены будут и царство небесное наследуют.
И ты, господине, внимай себѣ, чтобы корчмы в твоей отчинѣ не было, занеже, господине, толика погуба душам: християне ся, господине, пропиваютъ, а души гибнут.	И ты, господин, следи внимательно, чтобы корчмы в твоей отчине не было, потому что, господин, великая от нее пагуба душам: христиане, господин, пропиваются, и души гибнут.
Такоже, господине, и мытов бы у тобя не было, понеже, господине, куны неправедныя. А гдѣ перевоз, тут, господине, пригоже дати труда ради.	Также, господин, и поборов бы у тебя не было, потому что, господин, брать куны несправедливо. А где перевоз, там, господин, следует давать за труд.
Такоже, господине, и разбоя бы и татбы во твоей отчинѣ не было. И аще не уймутся своего злаго дѣла, и ты их вели наказывати своимъ наказанием, — чему будут достойни.	Также, господин, и разбоя и воровства в твоей отчине пусть бы не было. И если не уймутся преступники делать свое злое дело, то ты вели их наказывать своим наказанием, — чего будут достойны.
Такоже, господине, уймай под собою люди отъ скверных слов и от лаяния, понеже то все прогнѣвает Бога. И аще, господине, не подщишися всего того управити, все то на тебѣ взыщетъ, понеже властель еси своимъ людемъ от Бога поставлен.	Также, господин, унимай подвластных тебе людей от скверных слов и от ругани, потому что все это гневит Бога. И если, господин, не постараешься ты все это исправить, то все это Он на тебе взыщет, потому что властителем над своими людьми ты от Бога поставлен.
А християномъ, господине, не лѣнися управы давати самъ: то, господине, выше тебѣ от Бога вмѣнится и молитвы и поста.	А христианам, господин, не ленись управу давать сам: то, господин, от Бога вменится тебе выше и молитвы и поста.
А отъ упивания бы есте уймалися, а милостынку бы есте по силѣ давали, занеже, господине, поститись не можете, а молитися ленитеся: ино в то мѣсто вам милостыня вашъ недостатокъ пополнит.	А от упивания вы бы воздерживались, и милостыню посильную давали, потому что, господин, поститься вы не можете, а молиться ленитесь: так вместо этого вам милостыня ваш недостаток восполнит.
А великому Спасу и Пречистой Его Матери, госпожи Богородицы, заступницы христианской, чтобы есте, господине, велѣли молебны пѣти по церквам, а сами бы есте, господине, ко церкви ходити не ленилися.	А великому Спасу и Пречистой Его Матери, госпоже Богородице, заступнице христианской, велели бы вы, господин, петь молебны по церквам, и сами бы, господин, в церковь ходить не ленились.
А во церкви стойте со страхом и трепетом, помышляюще в себѣ аки на небеси стояще. Занеже, господине, церковь нарицается земное небо, в нейже совершается Христова таинства. Блюди, господине, и себе опасно. Во церкви, господине, стоя, бесѣды не твори и не глаголи, господине, никакова слова празна. И аще кого видиши от велмож своих или от простых людей, бесѣдующа во церкви, и ты, господине, возбраняй. Понеже, господине, то все прогневаѣтъ Бога. И ты, господине князь Андрѣй, о том о всемъ внимай себѣ, занеже глава еси и властель от Бога поставлен иже под тобою християномъ.	А в церкви стойте со страхом и трепетом, воображая себя на небе стоящими. Потому что, господин, церковь называется земным небом, в ней совершаются Христовы таинства. Следи, господин, и за собой с опаской. В церкви стоя, разговоров не веди и не говори, господин, никакого праздного слова. И если видишь кого-нибудь из своих вельмож или из простых людей беседующими в церкви, так ты, господин, возбраняй. Потому что, господин, это все прогневляет Бога. И ты, господин князь Андрей, во всем этом будь внимателен к себе, потому что ты есть глава и властитель, поставленный от Бога находящимся под тобой христианам.
А милость Божия и Пречистыя Богородицы на тобѣ, на моем господине, и на твоей княгине, и на ваших дѣтках, и мое благословение и молитва и братии моей аминь.	А милость Божия и Пречистой Богородицы на тебе, на моем господине, и на твоей княгине, и на ваших детках, и мое благословение и молитва и братии моей аминь.
ДУХОВНАЯ ГРАМОТА	ДУХОВНАЯ ГРАМОТА
Во имя Святыя и Живоначальныя Троица.	Во имя Святой и Живоначальной Троицы.
