О ПОБОИЩИ ИЖЕ НА ДОНУ И О ТОМЬ, ЧТО КНЯЗЬ ВЕЛИКИЙ БИЛСЯ СЪ ОРДОЮ	О СРАЖЕНИИ НА ДОНУ И О ТОМ, КАК ВЕЛИКИЙ КНЯЗЬ БИЛСЯ С ОРДОЙ
И кончав молитву, иде к Пречистѣй[23] и къ епископу Герасиму[24] и рече ему: «Благослови мя, отче, поити противу окааннаго сего сыроядца Мамаа, и нечьстиваго Ягайла, и отступника нашего Олга, отступившаго от свѣта въ тму». И святитель Герасим благословилъ князя и воя его вся поити противу нечьстивых агарянъ.	И, помолившись, пошел к Пречистой и к епископу Герасиму и сказал ему: «Благослови меня, отче, пойти на этого окаянного сыроядца Мамая, и нечестивого Ягайла, и изменника нашего Олега, отступившего от света в тьму». И епископ Герасим благословил князя и воинов его всех пойти на нечестивых агарян.
И поиде с Коломны с великою силою противу безбожных татаръ месяца августа 20, а уповая на милосердие Божие и на пречистую его матерь Богородицю, на приснодевицю Марию, призываа на помощь честный крестъ. И, прошед свою отчину и великое свое княжение, и ста у Оки на усть Лопастны,[25] переимаа вѣсти от поганыхъ. Ту бо наеха Володимеръ, братъ его, и великий его воевода Тимофей Васильевич, и вси вои останочныи, что были оставлены на Москвѣ. И начашя възитися за Оку за неделю до Семеня дни в день неделный. И, переехавше за рѣку, внидошя в землю Рязаньскую. А самь в понеделник перебреде своимь двором. А на Москве остави воевод своих, у великой княгини Евдокеи[26] и у сынов своих — у Васильа, у Юрья и у Ивана[27] — Федора Андреевича.[28]	И вышел из Коломны в великом множестве против безбожных татар месяца августа двадцатого дня, уповая на милосердие Божие и на пречистую его матерь Богородицу, на приснодеву Марию, призывая на помощь святой крест. И, пройдя свою отчину и великое свое княжение, встал у Оки в устье Лопасни, перехватывая вести от поганых. Сюда же приехал Владимир, брат его, и великий его воевода Тимофей Васильевич, и все остальное войско, которое оставалось в Москве. И начали переправляться через Оку за неделю до Семенова дня, в день воскресный. И, переехав за реку, вступили в землю Рязанскую. А сам князь в понедельник переехал реку вброд со своим двором. В Москве же оставил он воевод своих, у великой княгини Евдокии и у своих сыновей, у Василия, у Юрия и у Ивана — Федора Андреевича.
И слышав в градѣ на Москвѣ, и в Переаславлѣ, и на Костромѣ, и в Володимерѣ, и въ всѣх градѣх великого князя и всѣх князей руских, что пошол князь великый за Оку, и бысть в градѣ Москвѣ туга велика, и по всѣмь его предѣломъ, и плач горекъ, и глас рыданиа. И слышано бысть, сиирѣчь высокых, Рахиль же есть, рыдание крѣпко, плачющеся чяд своих[29] и с великимь рыданием и въздыханиемь не хотяше ся утѣшити, зане пошли с великымь княземь за всю землю Рускую на остраа копья! Да кто уже не плачется женъ онѣх рыданиа и горкаго их плачя, зряще, убо ихъ каяждо к себѣ глаголаше: «Увы мнѣ! Убогаа нашя чада, уне бы намъ было, аще бы ся есте не родили, да сиа злострастные и горкыа печали[30] вашего убийства не подъяли быхом! Почто быхомъ повинни пагубѣ вашей!»	И когда услышали в городе Москве, и в Переяславле, и в Костроме, и во Владимире, и во всех городах великого князя и всех князей русских, что пошел князь великий за Оку, то настала в Москве и во всех его пределах печаль великая, и поднялся плач горький, и разнеслись звуки рыданий. И слышно было рыдание безысходное, — словно Рахиль, которая, оплакивая детей своих с великими слезами и с воздыханием, не могла утешиться, — ибо пошли с великим князем на острые копья за всю землю Русскую! Да и кто не заплачет, видя, как рыдают и горько плачут жены эти, каждая ведь из них причитала: «Горе мне! Бедные наши чада, лучше для нас было бы, если бы вы не родились, тогда бы эту злострастную и горькую печаль о вашем убиении не испытали бы! Отчего же повинны мы в гибели вашей!»
Князь же великый прииде к рѣцѣ к Дону за два дни до Рожества святыа Богородица.[31] И тогда приспѣ грамота от преподобнаго игумена Сергиа,[32] от святаго старца, благословенаа; в ней же писано благословение его таково, веля ему битися с татары: «Что бы еси, господине, тако и пошолъ, а поможет ти Богъ и святаа Богородица». Князь же рече: «Сии на колесницах, а си на коних. Мы же въ имя Господа Бога нашего призовемъ:[33] “Побѣды дай ми, Господи, на супостаты и пособи ны оружиемь крестнымь, низложи врагы нашя; на тя уповающи, побѣжаемь, молящеся прилѣжно къ пречистой ти Матери”». И сиа изрек, начя полци ставити, и устрояше въ одежу их местную.[34] Яко великии ратници, и воеводы оплъчишя своя полки, и приидошя к Дону, и сташа ту, и много думавше. Овии глаголаше: «Поиди, княже, за Донъ». А друзии рѣша: «Не ходи, понеже зѣло умножишася врази наши, не токмо татарове, но и литва, и рязанци».	Князь же великий подошел к реке Дону за два дня до Рождества святой Богородицы. И тогда пришла грамота с благословением от преподобного игумена Сергия, от святого старца; в ней же писано благословение его — чтоб бился с татарами: «Чтобы ты, господин, так и пошел, а поможет тебе Бог и святая Богородица». Князь же сказал: «Эти на колесницах, а эти на конях. Мы же к Господу Богу обратимся с молитвой: “Победу даруй мне, Господи, над супостатами, и помоги нам оружием крестным, низложи врагов наших; на тебя уповая, побеждаем, молясь прилежно пречистой твоей Матери”». И, сказав так, начал полки строить, и облек их в одежды местные. Подобно великим ратникам и воеводы вооружили свои полки, и пришли к Дону, и стали тут, и долго совещались. Одни говорили: «Пойди, князь, за Дон». А другие возражали: «Не ходи, так как слишком умножились враги наши, не только татары, но и литовцы, и рязанцы».
Мамай же, слышав приход княж к Дону и сѣченыа своя видѣв, възьярися зракомъ и смутися умомъ, и распалися лютою яростию, и наплънися аки аспида нѣкаа,[35] гнѣвомъ дышуще, и рече: «Двигнетеся, силы моя темныа, и власти, и князи! И пойдемь, станемъ у Дону противу князя Дмитриа, доколѣ прислѣеть к намь съвѣтникь нашь Ягайло съ своею силою».	Мамай же, услышав о приходе князя к Дону и убитых своих воинов увидев, рассвирепел, и помутился ум его, и распалился он лютой яростью, и раздулся, словно аспид некий, гневом дышащий, и сказал: «Подвигнемся, силы мои темные, и властители, и князья! Пойдем, встанем у Дона против князя Дмитрия, пока не прибудет к нам союзник наш Ягайло со своими силами».
Князю же, слышавшу хвалу Мамаеву, и рече: «Господи, не повелѣлъ еси в чюжь предѣлъ преступати, аз же, Господи, не преступих. Сий же, Господи, приходяще, аки змий к гнѣзду окаанный Мамай, нечистый сыроядець, на христианство дръзнулъ и кровь мою хотя прольяти, и всю землю осквернити, и святыа церкви Божиа разорити». И рече: «Что есть великое сверѣпство Мамаево? Аки нѣкаа ехидна, прыскающи, пришел от нѣкиа пустыня, пожрети ны хощет! Не предай же мене, Господи, сыроядцу сему Мамаю, покажи ми славу своего божества, Владыко! И где ти аггелстии лици, и где херувимское предстоание, где серафимское шестокрилное служение? Тебе трепещет вся тварь, тебѣ покланяються небесныа силы! Ты солнце и луну створи и землю украси всѣми лѣпотами! Яви, Боже, славу свою и нынѣ, Господи, преложи печаль мою на радость! Помилуй мя, якоже помиловалъ еси слугу своего Моисеа, в горести душя възпивша к тебѣ, и столпу огньну повелѣлъ еси ити пред нимь, и морскыа глубины на сушу преложи, яко владыка сый и Господь, страшное възмущение на тишину преложилъ еси».	Князь же, слышав похвальбу Мамая, сказал: «Господи, не велел ты в чужой предел вступать, я же, Господи, не вступил. Этот же, Господи, окаянный Мамай, пришедший, как змей к гнезду, нечистый сыроядец, на христианство дерзнул, и кровь мою хочет пролить, и всю землю осквернить, и святые церкви Божий разорить». И сказал: «Что есть великая ярость Мамаева? Словно некая ехидна, прыская, явилась из некой пустыни и пожрать нас хочет! Не предай же меня, Господи, сыроядцу этому Мамаю, покажи мне величие своего божества, Владыка! Где же сонм агельский, где херувимское предстояние, где серафимов шестокрылых служение? Перед тобой трепещет вся тварь, тебе поклоняются небесные силы! Ты солнце и луну сотворил и землю украсил всеми красотами! Яви, Боже, величие свое и ныне; Господи, перемени печаль мою на радость! Помилуй меня, как помиловал слугу своего Моисея, в горести душевной возопившего к тебе, и огненному столпу повелел ты идти перед ним, и морские глубины в сушу превратил, как владыка и Господь, ты страшное возмущение на тишину обратил».
И си вся изрекши, брату своему и всѣмъ княземь и воеводамъ великимъ, и рече: «Приспѣ, братие, время брани нашея, и прииде праздникъ царици Марии, матере Божии Богородици, и всѣх небесных чинов, и госпожи всея вселеныа и честнаго еа Рожества. Аще оживемь — Господеви есмы, аще умремь за миръ сей — Господеви есмы!»[36] И повелѣ мосты мостити на Дону и бродов пытати тое нощи, в канон пречистыа Божиа матере.	И, все это сказав, обратился к брату своему и ко всем князьям и воеводам великим: «Пришло, братья, время брани нашей и настал праздник царицы Марии, матери Божьей Богородицы и всех небесных чинов, госпожи всей вселенной, и святого ее Рождества. Если останемся живы — для Господа, если умрем за мир сей — для Господа!» И приказал мосты мостить на Дону и броды разыскивать в ту ночь, в канун праздника пречистой Божьей матери.
Заутра же в суботу порану, месяца сентября 8 день, в самый празник Госпожинъ,[37] всходящу солнцу, и бысть тма велика по всей земли, и мгляно было бяше того утра до третиаго часа.[38] И повелѣ Господь тмѣ уступити, а свѣту пришествие дарова. Князь же великый исполчи полки своа велиции, и вся его князи рустии свои полкы устроивше, и великыа его воеводы облачишася въ одежда местныа. И ключя смертные растерзахуся, трусъ же бѣ страшенъ и ужасъ събраннымь чядомъ издалече от встока и до запада. Поидоша за Дон, в далняа чясти земля, и преидоша Донъ вскорѣ люто и сверѣпо и напрасно, яко основанию земному подвизатися от великых силъ. Князю же перешедшу за Донъ в поле чисто, в Мамаеву землю, на усть Непрядвы, Господь Богъ единъ вожаше его, и не бѣ с ним Богъ чюждь. О, крѣпкыа и твердыа дръзости мужъство! О, како не убояся, ни усумнѣся толика множества народа ратных! Се бо всташя на нь три земли, три рати: первое — татарскаа, второе — литовскаа, третие — рязанскаа. Но обаче всѣх сих никакоже убояся, ни устрашися, но еже к Богу вѣрою въоруживься и креста честнаго силою укрѣпився, молитвами святыа Богородица оградився, и Богу помолися, глаголя: «Помози ми, Господи Боже мой, спаси мя ради милости твоеа, вижь — врагы моа яко умножишася на мя. Господи, что ся умножишя стужающеи мнѣ? Мнози въсташя на мя, мнози борющеся со мною, мнози гонящеи мя, стужающеи ми, вси языцы обыдоша мя, именем Господнимь противляхся имъ».[39]	Наутро же в субботу рано, месяца сентября в восьмой день, в самый праздник Богородицы, во время восхода солнца, была тьма великая по всей земле, и туманно было то утро до третьего часа. И велел Господь тьме отступить, а свету пришествие даровал. Князь великий собрал полки свои великие, и все его князья русские свои полки приготовили, и великие его воеводы облачились в одежды местные. И врата смертные растворились, страх великий и ужас охватил собранных издалека, с востока и запада, людей. Пошли за Дон, в дальние края земли, и скоро перешли Дон в гневе и ярости, и так стремительно, что основание земное содрогнулось от великой силы. Князя, пришедшего за Дон в поле чисто, в Мамаеву землю, на устье Непрядвы, вел один Господь Бог, и не отвернулся Бог от него. О, крепкое и твердое дерзновение мужества! О, как не устрашился, не смутился духом, увидя такое множество воинов! Ведь на него поднялись три земли, три рати: первая — татарская, вторая — литовская, третья — рязанская. Однако же он всех их не убоялся, не устрашился, но, верою в Бога вооружившись, силою святого креста укрепившись и молитвами святой Богородицы оградившись, Богу помолился, говоря: «Помоги мне, Господи Боже мой, спаси меня милостью своею, видишь, как умножилось число врагов моих. Господи, за что умножились досаждающие мне? Многие поднялись на меня, многие борются со мной, многие преследуют меня, мучают меня, все народы обступили меня, но именем Господним я противился им».
И бысть в шестую годину дни,[40] начашя появливатися погании измаилтяне в полѣ, бѣ бо поле чисто и велико зѣло. И ту исполчишася татарстии полци противу хрестьан, и ту срѣтошася полци. И великыа силы, узрѣвше, поидошя, и земля тутняше, горы и холми трясахуся от множества вой безчисленыхъ. И извлекоша оружия — обоюдуостри в рукахъ их. И орли сбирахуся, якоже есть писано, — «где будет трупие, ту сберутся и орли».[41] Пришедшимъ рокомъ преже бо начашася съеждати сторожевыи плъки рускии с татарскыми. Сам же князь великий наеха наперед в сторожевых полцех на поганаго царя Теляка,[42] нареченаго плотнаго диавола Мамаа. Таче потом недолго попустя отъеха князь в великий полкъ.[43] И се поиде великаа рать Мамаева, вся сила татарская. А отселѣ — князь великий Дмитрий Иванович съ всѣми князьми рускими, изрядивь полкы, поиде противу поганых половець и съ всѣми ратьми своими. И възрѣв на небо умилныма очима и въздохнув из глубины сердца, рече слово псаломское: «Братие, Богъ намъ прибѣжище и сила».[44] И абие сступишася обоя силы велиции вмѣсто на длъгъ час, и покрыша полкы поле яко на десяти верстъ от множества вой. И бысть сеча зла и велика, и брань крѣпка, и трусъ великь зѣло; яко от начала миру сѣча такова не бывала великимь княземь рускимь, якоже сему великому князю всея Руси. Бьющим же ся им от шестаго часа до 9-го,[45] прольяся кровь аки дождева тучя, обоих, рускых сынов и поганых, и множество безчислено падоша трупиа мертвых от обоих. И много руси побиени быша от татаръ, и от руси — татаре. И паде труп на трупѣ, паде тѣло татарское на телеси христианскомъ; индеже видѣти бяше русинъ за татарином ганяшеся, а татаринъ русина стигаше. Смятоша бо ся и размѣсиша, кииждо бо своего супротивника искаше побѣдити. И рече к собѣ Мамай: «Власи наши растръзаются, очи наши не могут огненых слез истачати, языци наши связаются, и гортан ми пресыхает, и сердце раставает, чресла ми протязаются, колѣни изнемогают, а руцѣ ми оципают».	И в шестой час дня появились поганые измаилтяне в поле, — а было поле открытое и обширное. И тут выстроились татарские полки против христиан, и встретились полки. И, увидев друг друга, двинулись великие силы, и земля гудела, горы и холмы сотрясались от бесчисленного множества воинов. И обнажили оружие — обоюдоострое в руках их. И орлы слетались, как и писано, — «где будут трупы, там соберутся и орлы». В урочный час сперва начали съезжаться сторожевые полки русские с татарскими. Сам же князь великий напал первым в сторожевых полках на поганого царя Теляка, называемого воплощенным дьяволом Мамая. Однако вскоре после того отъехал князь в великий полк. И вот двинулась великая рать Мамаева, все силы татарские. А с нашей стороны — князь великий Дмитрий Иванович со всеми князьями русскими, изготовив полки, пошел против поганых половцев со всею ратью своею. И, воззрев на небо с мольбою и преисполнившись скорби, сказал словами псалма: «Братья, Бог нам прибежище и сила». И тотчас сошлись на многие часы обе силы великие, и покрыли полки поле верст на десять — такое было множество воинов. И была сеча лютая и великая, и битва жестокая, и грохот страшный; от сотворения мира не было такой битвы у русских великих князей, как при этом великом князе всея Руси. Когда бились они, от шестого часа до девятого, словно дождь из тучи, лилась кровь и русских сынов, и поганых, и бесчисленное множество пало мертвыми с обеих сторон. И много руси было побито татарами, и татар — русью. И падал труп на труп, падало тело татарское на тело христианское; то там, то здесь можно было видеть, как русин за татарином гнался, а татарин преследовал русина. Сошлись вместе и перемешались, ибо каждый хотел своего противника победить. И сказал сам себе Мамай: «Волосы наши повыдраны, очи наши не успевают горячих слез источить, языки наши коснеют, и моя гортань пересыхает, и сердце останавливается, чресла меня не держат, колени слабеют, а руки мои цепенеют».
Что намь рещи или глаголати, видящи злострастьную смерть! Инии бо мечемь пресѣкаеми бываху, а инии сулицами прободаеми, инии же на копиа взимаеми! Да тѣм же рыданиа исполънишася москвичи мнози, небывалци. То видѣвше, устрашишася и живота отчаявшеся, и на бѣги обратившеся, и побѣгоша, а не помянушя, яко мученици глаголаху друг къ другу: «Братие, потерпим мало, зима яра, но рай сладокъ; и страстенъ меч, но славно вѣнчание». А инии сыны агаряны на бѣгъ възвратишася от клича велика, зряще злаго убийства.	Что нам сказать или о чем говорить, видя злострастную смерть! Одни мечами перерублены, другие сулицами проколоты, иные же на копья подняты! И отчаяние охватило тех москвичей, которые не бывали на ратях. Видя все это, испугались они; и, простившись с жизнью, обратились в бегство и побежали, а не вспомнили, как говорили мученики друг другу: «Братья, потерпим немного, зима люта, но рай сладок; и страшен меч, но славен венец». А некоторые сыны агарянские обратились в бегство от кликов громких, видя жестокую смерть.
И по сих же въ 9 час дне[46] призрѣ Господь милостивыма очима на вси князи руские и на крѣпкыа воеводы, и на вся христианы, дръзнувше за христианство и не устрашишася, яко велиции ратници. Видѣшя бо вѣрнии, яко въ 9 час бьющеся аггели помогают христианомъ, и святыхъ мученикъ полкъ, и воина Георгиа, и славнаго Дмитриа,[47] и великых князей тезоименитых Бориса и Глѣба. В них же бѣ воевода съвръшенаго плъка небесных вой — архистратигъ Михаил.[48] Двоя воеводы видѣша погании полци треслънечный плъкъ и пламенныа их стрѣлы, яже идут на них; безбожнии же татарове от страха Божиа и от оружия христианскаго падаху. И възнесе Богъ десницу нашего князя на побѣду иноплеменникь. А Мамай, съ страхомъ въстрепетав и велми въстенавъ, и рече: «Великъ Богъ христианескъ и велика сила его! Братие измайловичи, безаконнии агаряне, побѣжите не гóтовыми[49] дорогами!» И сам вдав плещи свои и побѣже скоро паки къ Ордѣ. И то слышавше темныа его князи и власти, и побѣгоша. И то видѣвше и прочии иноплеменницы, гоними гнѣвомъ Божиимь и страхомь одержими суще от мала до велика, на бѣгъ устремишася. Видѣвше же христиане, яко татарове с Мамаемь побѣгошя, и погнаша за ними послѣ, бьюще и сѣкуще поганых без милости, Богъ бо невидимою силою устраши плъкы татарскые, и побѣжени обратиша плещи своя на язвы. И в погонѣ той овии же татарове от христианъ язвени оружиемь падоша, а друзии в рѣцѣ истопошя. И гониши их до рѣки до Мечи,[50] и тамо бѣжащих бесчисленое множество побишя. Князи же полци гнаша съдомлян,[51] бьюще, до стана их, и полониша богатства много, и вся имѣниа их, и вся стада содомскаа.	И после этого в девять часов дня воззрел Господь милостивыми очами на всех князей русских и на мужественных воевод, и на всех христиан, дерзнувших встать за христианство и не устрашившихся, как и подобает славным воинам. Видели благочестивые в девятом часу, как ангелы, сражаясь, помогали христианам, и святых мучеников полк, и воина Георгия, и славного Дмитрия, и великих князей тезоименитых — Бориса и Глеба. Среди них был и воевода совершенного полка небесных воинов — архистратиг Михаил. Двое воевод видели полки поганых, и трисолнечный полк, и огненные стрелы, летящие на них; безбожные же татары падали, объятые страхом Божьим, и от оружия христианского. И воздвиг Бог десницу нашего князя на одоление иноплеменников. А Мамай, в страхе затрепетав и громко восстенав, воскликнул: «Велик Бог христианский и велика сила его! Братья измаилтяне, беззаконные агаряне, бегите не дорогами готов!» И сам, повернув назад, быстро побежал к себе в Орду. И, услышав об этом, темные его князья и властители тоже побежали. Видя это, и прочие иноплеменики, гонимые гневом Божьим и одержимые страхом, от мала до велика обратились в бегство. Христиане же, увидев, что татары с Мамаем побежали, погнались за ними, избивая и рубя поганых без милости, ибо Бог невидимою силою устрашил полки татарские, и, побежденные, обратились они в бегство. И в погоне этой одни татары пали под оружием христиан, а другие в реке утонули. И гнали их до реки до Мечи, и там бесчисленное множество бегущих побили. Князья же гнали полки содомлян, избивая, до стана их, и захватили большое богатство, и все имущество их, и все стада содомские.
Тогда же на томь побоищи убьени быша на сступѣ: князь Феодоръ Романовичь Бѣлоозерский и сынъ его Иван, князь Феодоръ Торуский, братъ его Мстислав, князь Дмитрий Манастырев, Семенъ Михайлович, Микула Васильев, сынъ тысяцкого, Михайла Иванов Акинфович, Иван Александрович, Андрей Серкизов, Тимофей Васильевич Акатьевич, нарицаемый Волуй, Михайло Бренков, Левъ Морозов, Семен Меликов, Дмитрий Мининичь, Александръ Пересвѣтъ, бывый преже болярин брянскый,[52] и инии мнози, их же имена не суть писана в книгах сих. Сии же писаны быша князи токмо и воеводы, и нарочитых и старѣйших бояръ имена, а прочих бояръ и слуг оставих имена и не писах множества ради именъ, яко число превъсходит ми, мнози бо на той брани побиени быша.	Тогда же на том побоище были убиты в схватке: князь Федор Романович Белозерский и сын его Иван, князь Федор Тарусский, брат его Мстислав, князь Дмитрий Монастырев, Семен Михайлович, Микула Васильев, сын тысяцкого, Михаиле Иванов Акинфович, Иван Александрович, Андрей Серкизов, Тимофей Васильевич Акатьевич, именуемый Волуй, Михаиле Бренков, Лев Морозов, Семен Меликов, Дмитрий Мининич, Александр Пересвет, бывший прежде боярином брянским, и иные многие, имена которых не записаны в книгах сих. Здесь же названы только князья и воеводы, и знатных и старейших бояр имена, а прочих бояр и слуг опустил я имена и не написал из-за множества имен, так как число их слишком велико для меня, ибо многие в той битве убиты были.
Самому же князю великому бяше видѣти всь доспѣх его битъ, язвенъ, но на телеси его не бяше раны никоеа же, а бился с татары в лице, став напреди на первомъ суймѣ. О семь убо мнози князи и воеводы многажды глаголаша ему: «Княже господине, не ставися напреди битися, но назади или на крилѣ, или нѣгде въ опришнемь мѣсте». Он же отвѣщаваше имъ: «Да како азъ възглаголю — братия моа, потягнем вси вкупѣ съ одиного, а самъ лице свое почну крыти и хоронитися назади? Не могу в томъ быти, но хощу якоже словомъ, такоже и дѣлом напереди всѣх и пред всѣми главу свою положити за свою братию и за вся христианы. Да и прочии то видѣвше приимут съ усръдием дръзновение». Да якоже рече, тако и створи, бьяшеся с татары тогда, став напереди всѣх. А елико одесную и ошую его дружину его бишя, самого же вкругъ оступиша около аки вода многа обаполы! И многа ударениа ударишася по главѣ его, и по плещима его, и по утробѣ его, но от всѣх сих Богъ заступилъ его в день брани щитомъ истины и оружиемь благоволениа осѣнил есть над главою его, десницею своею защитилъ его и рукою крѣпкою и мышцею высокою Богъ избавилъ есть, укрѣпивый го. И тако промежи многими ратными цѣлъ схраненъ бысть. «Не на лукъ бо мой уповаю, и оружие мое не спасеть мене»,[53] — якоже рече Давидъ пророкъ. — «Вышняго положилъ еси прибѣжище твое, не приидет к тебѣ зло, и рана не приступит к телеси твоему, яко аггеломь своимъ заповѣсть о тебѣ съхранити тя въ всѣх путех твоих, и не убоишися от стрѣлы, летящаа в день».[54]	У самого же великого князя все доспехи были помяты, пробиты, но на теле его не было ран, а сражался он с татарами лицом к лицу, находясь впереди всех в первой схватке. Многие князья и воеводы не раз говорили ему: «Князь господин, не стремись впереди сражаться, но позади будь или на крыле, или где-либо в стороннем месте». Он же отвечал им: «Да как же я скажу: “Братья мои, подвигнемся все вместе до единого”, а сам свое лицо скрою и стану прятаться позади? Не могу так поступить, но хочу как словом, так и делом первым быть и на виду у всех главу свою сложить за свою братию и за всех христиан. Пусть и другие, это видя, будут отчаянны в своей дерзости». И как сказал, так и сделал, сражаясь тогда с татарами впереди всех. И сколько раз справа и слева от него его воинов избивали, а самого обступали, подобно воде, со всех сторон! И много ударов нанесли ему по голове, и по плечам его, и по утробе его, но Бог защитил его в день брани щитом истины и оружием благоволения осенил главу его, десницею своей защитил его и рукою крепкою и мышцею высокою спас его Бог, давший крепость ему. И так, оказавшись среди многих врагов, он остался невредимым. «Не на лук мой уповаю, и оружие мое не спасет меня», — как сказал пророк Давид. — «Вышнего сделал прибежищем твоим, и не придет к тебе зло, и раны не будет на теле твоем, ибо заповедует своим ангелам хранить тебя на всем пути твоем, и не устрашишься стрелы, летящей во дне».
Се же бысть грѣх ради наших въоружаются на ны иноплеменници, да быхом ся отступили от своих неправдъ: от братоненавидѣниа, и от сребролюбиа, и в неправды судящих, и от насилья. Но милосердъ бо есть Богъ человеколюбець, не до конца прогнѣвается на ны, ни въ вѣки враждуеть.	Это из-за наших грехов приходят войной на нас иноплеменники, чтобы мы отступились от своих прегрешений: от братоненавистничества, и от сребролюбия, и от неправедного суда, и от насилия. Но милосерден Бог-человеколюбец, не до конца гневается на нас, не вечно памятует зло.
А отселѣ, от страны Литовскиа, Ягайло, князь литовский, прииде съ всею силою литовскою Мамаю помагати, и татаромь поганымь на помощъ, а христианом на пакость. Но и от тѣх Богъ избавилъ, не поспѣша бо на срок за малым, за едино днище или менши. Но точию слышав Ягайло Олгердович и вся сила его, яко князю великому с Мамаем бой былъ, и князь великий одолѣ, а Мамай побѣже — и без всякого пожданиа литва съ Ягайлом побѣгошя назад съ многою скоростию, никим же гоними. Не видѣша тогда князя великаго, ни ратии его, ни оружиа его, токмо имени его литва бояхутся и трепетаху; а не яко при нынешних временех литва над нами издеваются и поругаются. Но мы сию бесѣду оставльше и на предлежащее възвратимся.	А отсюда, от страны Литовской, Ягайло, князь литовский, пришел со всеми силами литовскими Мамаю в подмогу, татарам поганым на помощь, а христианам на горе. Но и от тех Бог избавил, ибо не поспели немного к сроку, на один день или меньше. Но едва услышал Ягайло Ольгердович и все воины его, что у князя великого с Мамаем бой был и князь великий одолел, а Мамай побежал, — и тогда без всякого промедления литовцы с Ягайлом поспешно повернули назад, не будучи никем гонимы. Не видели они тогда ни князя великого, ни рати его, ни оружия его, одного имени его литовцы боялись и трепетали; а не то что в нынешнее время — литовцы над нами издеваются и надругательства творят. Но мы этот разговор отложим и к прежнему рассказу возвратимся.
Князь же Дмитрий з братомь своимъ Володимеромъ, и съ князми рускими, и воеводами, и прочими бояры, и съ всѣми вои оставшимися, став тое нощи на поганых обѣдищех, на костех татарскых,[55] утеръ поту своего, и, отдохнув от труда своего, велико благодарение принесе Богу, таковую побѣду давшему на поганыа, избавляющему раба своего от оружиа люта: «Помянулъ еси, Господи, милость свою, избавил ны еси, Господи, от сыроядець сих, от поганаго Мамая, и от нечьстивых измайлович, и от безаконных агарянъ, подаваа чьсть, яко сынъ, своей матери. Уставилъ еси стремление страстное, якоже еси уставилъ слузѣ своему Моисею и древнему Давиду, и новому Констянтину, и Ярославу, сроднику великих князей[56] на окааннаго и на проклятаго братоубийцю безглавнаго звѣря Святоплъка. И ты, Богородице, помиловала еси милостию своею нас, грѣшных рабъ своих, и всь род христианскый, умолила еси безлѣтнаго Сына своего». И мнози князи рустии и воеводы прехвалными похвалами прославиша пречистую матерь Божию Богородицю. И пакы христолюбивый князь похвали дружину свою, иже крѣпко бишася съ иноплеменники, и твердо забрашася, и мужьскы храбровашя, и дрънуша по Бозѣ за вѣру христианскую.	Князь же Дмитрий с братом своим Владимиром, и с князьями русскими, и с воеводами, и с прочими боярами, и со всеми оставшимися воинами, став в ту ночь на обедищах поганых, на костях татарских, утер пот свой и, отдохнув от трудов своих, великое благодарение вознес Богу, даровавшему такую победу над погаными, избавляющему раба своего от оружия лютого: «Вспомнил ты, Господи, о милости своей, избавил нас, Господи, от сыроядцев этих, от поганого Мамая и от нечестивых измаилтян, и от беззаконных агарян, воздавая честь, как сын, своей матери. Придал нам стремление страстное, как придал слуге своему Моисею, и древнему Давиду, и новому Константину, и Ярославу, сроднику великих князей, на окаянного и на проклятого братоубийцу, безглавого зверя Святополка. И ты, Богородица, помиловала милостью своею нас, грешных рабов своих, и весь род христианский, умолила вечного Сына своего». И многие князья русские и воеводы достохвальными похвалами прославили пречистую матерь Божию Богородицу. И еще христолюбивый князь похвалил дружину свою, которая крепко билась с иноплеменниками, и стойко оборонялась, и доблестно мужествовала, и дерзнула по воле Божьей встать за веру христианскую.
И възвратися оттуду в богохранимый град Москву, въ свою отчину, с побѣдою великою, одолѣв ратнымъ, побѣдивъ врагы своя. И мнози вои его възрадовашяся, яко обрѣтающе користь многу: пригнашя с собою многа стада кони, и велбуди, и волы, им же нѣсть числа, и доспѣх, и порты, и товаръ.	И возвратился князь великий оттуда в богохранимый град Москву, в свою отчину с победой великой, одолев противников, победив врагов своих. И многие воины его возрадовались, захватив добычу большую: пригнали с собой стада коней, и верблюдов, и волов, которым нет числа, и доспехи захватили, и одежды, и все добро их.
