ИЗ ГЛАВЫ 197	ИЗ ГЛАВЫ 197
И сражению бывшу, многа убо трупиа падоша, и побѣженъ бываеть онеправдовати нашедый, и сам Коньстянтинъ падаеть умилено, таково приобрѣтение получивъ своего непокорениа, не вѣдый не точию царство, но и малыа вещи — аще Богь не благоволит, не можеть самосмышлениемъ человѣкъ получити. Того же убо людие укланяются къ Стефану. Стефанъ же убо вся в руку имый, и елико царствиа простирашеся высота, толико смиряше себе, и землю, и пепелъ, червь, и не человѣкъ нарицаше себе, и не точию слезами постелю омакаше, но и на въсякъ день совесть слезами омываше, и архиерею и ереомъ выю преклоняше и почиташе их яко Божиа слуги, такоже и иноки любляше зѣло, яко отлучивших себе Богови, и почиташе их и потребными удовляше. Восхотѣ же обитель тѣмъ създати[16] и велие желание имый о сих, и в ней храмъ во имя Вседръжителя и другий чюдотворца Николы, столпы и помостъ мрамориемъ различным и всякыми красотами, егоже не возможно изрещи, и кругъ оградъ каменъ, и въ стенах келиа мнихом, на мѣсте глаголемемъ Деченя. Не мощно же и красоту мѣста того изрещи. И сам ту пребываше, дондеже вся съверши. И удовли обитель всими потребными сосуды златыми и сребреными, и ризами многоцѣнными, и всѣми такоже телесными потребами доволно устроивъ, всякими доходы, еже есть нужно на строение обители и всѣм сущим в ней, и великому Николѣ другую церковъ близ обители въздвиже.	И когда началось сражение, множество пало убитыми, и побежден был пришедший беззаконствовать, и сам Константин пал в сетовании, обретя таковое из-за строптивости своей, не способный не только царством править, но и простой вещи понять — если Бог кому не благоволит, то не сможет человек исполнить своего замысла. И люди его переходят к Стефану. Стефан же, все в руках своих имея, несмотря на то, что на высоту вознеслась власть его, сам пребывал в смирении, именуя себя прахом, пеплом, червем, а не человеком, и не только слезами постель орошал, но каждый день совесть свою слезами омывал, и перед архиереями и иереями голову склонял, и чтил их как Божьих слуг, также и иноков любил безмерно, ибо отдали они себя Богу, и чтил их, и одаривал всем необходимым. Решил он и обитель для них создать и много заботы тому уделял, и в обители той <возвел> храм во имя Вседержителя и другой — <в честь> чудотворца Николы, со столпами и помостом из разноцветного мрамора, со всякими украшениями, каких не описать словом, и стену возвел вокруг каменную, и в стене кельи для монахов — все это на месте, именуемом Дечаны. Невозможно описать красоту места того. И сам он пребывал тут, пока всего не свершил. И одарил обитель всеми потребными сосудами золотыми и серебряными, и ризами бесценными, а также всем для нужд телесных полностью снабдив, всякими средствами на устройство обители и для всех, пребывающих в ней, и великому Николе воздвиг другую церковь близ обители.
ЦАРСТВО БОЛГАРЬСКОЕ	ЦАРСТВО БОЛГАРСКОЕ
По инѣх же царѣх бысть въ болгарех царь Михаилъ.[17] Сей, покоривъ себѣ прилежащаа страны и собравъ многы языки, прииде и Серъпское начальство хотя себѣ покорити. Повелѣ же Стефанъ сопротивных созрѣти, и бѣ по тысящи съпротивных противу пятимъ Стефановым. Христианьственѣйши же Стефанъ посылаеть о миру къ царю болгарьскому: «Почто, — глаголя, — тружаешися погубляти болгарьскиа и серпьскиа роды? Доволенъ буди своими и не приражайся Богу, не желай, яже онъ инѣм дарова. Аще ли силенъ еси, на варвары вооружайся, а не на Христовы люди, имже азъ пастырь по того благодати. Помысли, колико крови христианьскиа пролиятися имать и колики матери обезчадятся! Сих всѣх истязати имать Богъ от тебе.[18] Сих ради остави нас мировати и къ своим възвратися, иже бо чюжая желаяй и своя погубить». Слышавъ же онъ сиа, яко звѣрь рыкну, яко: «Аще не приидеть, — рече, — заутро и падъ, непобѣдимыя нашая дръжавы ногу на своей выи поставит, связана, пославъ, приведу сего и, умучивъ того, смерти предамъ». Стефан же слышавъ сиа — о блаженныя надежа! — из глубины въздохнувъ и «Господь мнѣ помощникъ, — рече, — и не убоюся! Что сътворить мнѣ человѣкъ?» Урядивъ полки и сыну вручивъ их, сам же вшед в сѣнь, Богу моляшеся со слезами. И изшед наутрие из сѣни, лице от молитвы просвѣтлено имый и сыну рече: «Иди, глаголю, чадо, и Господь послеть ангела своего предъ вами, пишеть бо: гордымъ противляется, смиреным же даеть благодать».[19] И сражению бывъшу, побѣженъ бысть и ятъ болгаромъ царь и убиенъ; еже инѣмъ готова, самъ пострада. Болгаре же студа исполньшеся и многи погубивше, Александра, того нетиа, царя поставльше,[20] во своя возвратишася.	После иных царей был у болгар царь Михаил. Он, покорив соседние страны и собрав воинов иноплеменных, двинулся, вознамерившись Сербское государство себе подчинить. Повелел же Стефан исчесть врагов, и оказалось по тысяче противников на пять воинов Стефановых. Христианнейший же Стефан посылает с предложением мира к царю болгарскому: «Почто, — говорит, — хочешь погубить болгарский и сербский народы? Довольствуйся своим, и не перечь Богу, и не желай того, что он другим даровал. Если ты могуч, то обнажи оружие против варваров, а не против Христовых людей, которым я пастырь по его благодати. Подумай, сколько крови христианской прольется и сколько матерей лишится детей! <...> Ради них дай же нам жить в мире и к своим домам возвратиться, ибо кто жаждет чужого, тот свое погубит». Тот же, услышав слова эти, словно зверь рыкнул: «Еще не настанет, — изрек, — утро, как <Стефан> падет и непобедимой нашей державы ногу себе на шею поставит, и пошлю я, чтобы связанным привели сего <Стефана>, и после мук смерти его предам». Стефан же, узнав об этом — о блаженная надежда! — вздохнул глубоко и сказал: «Господь мне помощник, и не устрашусь! Что сделает мне человек?» Построив полки и сыну вручив их, сам вошел в шатер и стал со слезами молиться Богу. И наутро вышел из шатра с просветленным от молитвы лицом и сказал сыну: «Говорю тебе, чадо, — иди, и Господь пошлет ангела своего перед вами, пишется ведь: гордым противится Бог, а смиренным дает благодать». И когда разгорелась битва, побежден был, и пленен, и убит царь болгарский; что другим готовил, от того и сам пострадал. Болгары же, покрыв себя позором и множество в бою потеряв, Александра, племянника царского, царем поставили и возвратились восвояси.
Стефан же съ побѣдою во своя возвратися и со всѣми прииде во обитель Вседръжителя и веселяшеся о красотѣ ея и побѣдительная написоваше Христу царю. Таже съзидаеть другую обитель недалече отъ тоя, келиа часты и добросоставны, одры и постелями и одежами и всякими потребами удовливъ телесными, и собираеть во всем своем царстьвии много зѣло стражющих братий, различными недугы и старостию слячены, и изгнивша лица имуща и прочаа уды — позоръ умиленъ воистинну милостивыхъ очима и слезам виновно зрѣние. Постави же тѣмъ строителя от полаты, мужа добра зѣло, и на всякъ день коегождо хотѣнию повелѣ упокоивати их пищею и питиемъ, вина и миро благоуханиа кь прохлажению восходящаго распалениа недуга и утолевати болѣзни, и во всемъ тѣмъ угожати повелѣ. Но и самъ тамо часто прихожаше во образѣ воина пѣнязя подоваше, ово же и явно во дне сим поклоняяся и плоти страдалныя цѣлуа со слезами, словеса утѣшная к нимъ бесѣдуя и сих похваляа, яко ради временьнаго страданиа царствию бесконечному сподобятся, многажды же и всю нощь с ними бесѣдуяше. И не мощно всѣх добродѣтелей его писанию предати. Но прочее повѣм мучениа его конець.	Стефан же возвратился с победой в землю свою, и со всеми пришел в обитель Вседержителя, любуясь там красоте ее, и слова о победе написал в честь Христа-царя. Затем созидает другую обитель невдалеке от той с многочисленными и добровидными кельями, снабдив ее одрами, и постелями, и одеждами, и всем необходимым для нужд телесных, собирает по всему царству множество страждущих, различными недугами и старостью угнетаемых, с гниющими лицами и иными частями тела — поистине трогательное зрелище для глаз милосердных и вызывающее слезы. Поставил же Стефан над всеми ими управителя из приближенных своих, мужа предостойного, и велел каждый день удовлетворять желания всякого из них пищей и питьем, вином и миррою благоуханною для ослабления жара от недугов, и лечить болезни, и во всем угождать им велел. И сам часто приходил туда в одежде воина и деньги раздавал или же открыто днем им кланялся и плоть их страждущую целовал со слезами, говоря им слова утешительные и хваля их, ибо за недолгое свое страдание царства бесконечного сподобятся; зачастую же и всю ночь с ними беседовал. И невозможно все добродетели его описать. Но поведаю о мученическом конце его.
По утренемъ славословии Стефанъ успе мало на одрѣ, и предста ему великий Николае и рече: «Уготовися прочее, Стефане, ко исходу, Господеви наскорѣ предстати имаши». О добраго възвѣщениа! Возбнув же и со слезами Бога благодаривъ, такоже и вѣстника, святаго Николу, давъ же множество злата обоимъ обителемъ съхранити на потребу, прочая же сам раздоваше.	Как-то после утренней молитвы Стефан задремал на одре, и предстал ему великий Николай и сказал: «Готовься теперь, Стефан, к близкой кончине, скоро Господу ты предстанешь». О благая весть! Проснувшись, со слезами возблагодарил он Бога, а также вестника, святого Николу, даровал много золота обеим обителям, чтобы хранили для нужд своих, остальное же сам роздал.
О СМЕРТИ СТЕФАНА	О СМЕРТИ СТЕФАНА
Стефанъ же, сынъ его, иже глаголемый Душана, многажды уязвленъ бывъ желаниемь царствиа и не могий терпѣти стремлениа пламень, много съ собою воиньство имѣя и от началных вельможь, во Аръванитскую приходить землю и тамо на все царствие опоясуется содръжание, и ото отеческыя области сию отъемлеть. Увѣдѣв же сиа, кроткый Стефанъ посылаеть к нему многажды неподобная оставити и въ единьстве жительствовати, и по малѣ благословению и царствию причастнику быти. Но не рачи послушати на зло уклонивъшаяся душа. Стефанъ же, Божию суду сиа оставивъ, сам на болшая добродѣтели подвизашеся, и гонение сыновнее по Давиду терпяше, и яко Иовъ глаголаше: «Аще благая приахомъ от рукы Господня, злых ли не терпим!».[21] И воеводамъ, нудящим его послати на сына, да «страх, — рече, — поне въ душу его вложиши, еже не воевати на тебе», — он же не послушаше, но ожидаше возвѣщеннаго ему конца и нищимъ и страннымъ прилежаше. Врѣмя же благополучно обрѣтъ, сынъ, купно и навѣтникъ, со многими силами пришед, отца ятъ и съ женою и с чады и во инъ град, в Вяченъ, повелѣ отвести и по малех днех удавлению, горчайшей смерти осужаеть.[22]	Стефан же, сын его, носивший также имя Душан, одолеваем был неутолимой жаждой царствовать, и когда не смог он угасить желания пламень, то в сопровождении большого войска и именитых вельмож вступил в Арванитскую землю и там препоясался властью на все царство и из-под власти отцовской землю эту отторг. Узнав об этом, кроткий Стефан не раз посылал к нему с просьбой отказаться от дела недостойного, и в единодушии жить, и в ближайшее время удостоиться благословения, и стать его соправителем. Но не хотела этого слышать на зло обратившаяся душа. Стефан же, предоставив все это Божьему суду, сам еще усерднее стал подвизаться в добродетелях, и терпел притеснения от сына, как Давид, и говорил, как Иов: «Если благое принял от руки Господней, то не стерпим ли злого». И не послушал он воевод, уговаривавших его послать их против сына, ибо, говорили они: «Страх в душу его вселишь, чтобы не воевал с тобой», — но ждал возвещанной ему кончины и заботился о странниках и нищих. Выбрав удобное время, сын его, а вместе с тем и недруг, явился со многими силами, пленил отца, с женой его и с детьми, и приказал отвести в другой город, в Вячен, а через несколько дней осудил на жестокую казнь — удушение.
Оле того немилосердию и безчеловѣчию! Как не помилова отеческую утробу? Како не ущедри родителную старость? Како не помяну рекшаго: «Чти отца и матерь»! Како же злыа слугы злаго владыкы смѣша бо зрѣти на священнолѣпное оно лице и того святѣй выи прикоснутися убиственыма рукама! Како не усхоша тѣмь скверненыя рукы и очи не ослепоша? Но како хотяше мученикъ быти, аще не сице? Единъ же жребий есть мученичества, а мнози же смертем образи. И тако блаженную душю Господеви предастъ. И положенъ бысть во своемъ манастыри, многая чюдеса творя.	О немилосердие того и бесчеловечность! Как не пощадил плоть отца своего? Как не облагодетельствовал старость родителей? Как не вспомнил изрекшего: «Почитай отца и мать!» Как злые слуги злого властителя посмели воззреть на священнолепное лицо того и святой его выи коснуться руками убийц! Как не отсохли у них оскверненные их руки и не ослепли глаза! Но как же стать мучеником, если не так? Един жребий мученичества, только смерть бывает различна. И так предал он Господу блаженную душу. И положен был в своем монастыре, и творил множество чудес.
И по седми лѣт явися еклисиарху, повелеваеть изяти тѣло свое от земля. И обрѣтоша цѣло и благоухание испущая, чюдеса творя, вратаря же слѣпаго просвѣтивъ. И нѣкто от воевод, емуже порученъ манастырь святаго въ сохранение, оскоръбляше игумена и братию мучаше, сущую въ манастырѣ святаго мученика и царя Стефана, и манастырьскаа разграбляше. И грядущю ему въ манастырь съ буестию, явися святый и зъ коня низвергъ его и два гвоздя вонзе в гортань ему до грудей. И тако въ той день, мучим, умре.	И семь лет спустя явился еклесиарху, повелевая извлечь тело свое из земли. И оказалось оно нетленным и испускающим благоухание, и свершались от него чудеса — привратнику слепому вернулось зрение. И как-то воевода, которому было поручено управлять монастырем святого, принялся оскорблять игумена и мучить братию, жившую в монастыре святого мученика и царя Стефана, и расхищать сокровища монастырские. И когда он в раздражении шел в монастырь, явился святой, и с коня сверг его, и два острия вонзил в гортань ему до самой груди. И так он в тот же день умер в муках.
Потом же брани межиусобной бывающи, посланъ бысть инъ от царстьвующих въ соблюдение святаго манастыря, именемъ Юнець. Сей паче прьваго оскорбляше и мучаше игумена и братию и ничтоже имъ на потребу даяше, но вся отъятъ и себѣ усвои. И братиа же со игуменомъ моляху святаго Стефана избавити их от одръжащаа бѣды. Юньцу же отшедшу на войну, зрить тамо во снѣ, яко быти ему въ манастыри, и въ церкви срѣтаеть его страшенъ нѣкий мужь, царскими одежами украшенъ, от мѣста изшедъ, идѣже рака святаго мученика стоит, брадою долгою и просѣдою, и удари его лампадою по лицу и по персех. И от зѣлнаго ударениа преломися лампада. Юнцу же бѣжати мнящуся, святый же, того постигнувъ, оставшимъ от лампады якоже копиемъ удари посреди лядвий и въ хребетъ и в десную мышцу, рекъ: «Се тебѣ мъзда, яко да навыкнеши не сверѣпитися на мою обитель и люди!» Он же, рыкнувъ якоже звѣрь и от сна въскочивъ, и зѣло болѣзноваше, исповѣда имъ бывшее и, не хотяй, принесенъ, въ манастыри лѣжа седмь седмиць, согнивающимъ плотем же и костемъ прободеных мѣстъ, яко и внутренимъ зрѣтися, языку отпадшу и зубом, и от смрада всему манастырю стужати. Многа же и ина знамениа творяше святый въ славу Богу. ...	Потом же во времена междоусобной брани послан был царствующими на охрану святого монастыря некто по имени Юнец. Он еще больше, чем предшественник его, оскорблял и мучил игумена и братию и не давал им ничего, в чем нуждались они, но все отбирал и присваивал себе. Братья же с игуменом молили святого Стефана избавить их от постигшей беды. Когда отправился Юнец на войну, то там привиделось ему во сне, будто бы находится он в монастыре и в церкви вышел ему навстречу некий грозный муж, в царских одеяниях, вышел он оттуда, где расположена рака святого, — с длинной седой бородой — и ударил его лампадой по лицу и по груди. И от сильного удара разломилась лампада. Юнец же хотел бежать, но святой, нагнав его, остатками лампады словно копьем, ударил по пояснице, и по спине, и в правое плечо и произнес: «Вот тебе возмездие, теперь научишься не нападать на мою обитель и на людей моих!» Юнец же, рыкнув, словно зверь, и, проснувшись, вскочил и, страдая от боли, рассказал всем о случившемся и против воли своей перенесен был в монастырь, где пролежал семь недель, и сгнило тело его и кости в месте удара, так что и внутренности его стало видно, язык отвалился, и зубы выпали, и все в монастыре страдали от исходившего от него смрада. Много и других чудес творил святой во славу Божью.
ИЗ ГЛАВЫ 199	ИЗ ГЛАВЫ 199
ЦАРСТВО СЕРПЪСКОЕ	ЦАРСТВО СЕРБСКОЕ
При сих же царих греческых Андроницѣ и при сыне его Иване[23] въ Серпьской земли деспот бысть[24] Стефанъ Душана по безаконии, еже сътвори отцу своему, святому кралю Стефану, убивъ того и сотвори мученика, себе же отцеубийцу и мученика убийцу, и сего ради не много пребысть в жизни сей, а сынъ его Урошь[25] бысть безчаденъ. И во дни их бысть нашествие безбожных агаренъ и церквам опустѣние и пленение и межюусобныа рати. ...ИЗ ГЛАВЫ 201	ИЗ ГЛАВЫ 201
ЦАРСТВО СЕРПЬСКОЕ	ЦАРСТВО СЕРБСКОЕ
При сем цари Иване Палеолозѣ бысть краль в сербех Волкошинъ, да брат его деспотъ Углешь.[26] Сей доблественый мужь деспотъ Углешь подвиже брата своего, Волкошина краля, и греческаго царя Ивана Палеолога, еже послати греческую войску с ними, и иныя подвигоша вельможа многыа нѣгдѣ до 61 000 избранна войска. И поидоша въ Макидонию на изгнание безбожных турокъ, не судивше, яко гнѣву Божию никтоже можеть противу стати. И сего ради не изгнаша, но сами от них убиени быша,[27] и тамо кости их падоша и не погрѣбени пребыша. И многое множество ово убо во острии меча умроша, ово же въ запленение ведени быша, нѣции же, гонъзнувше, приидоша. И толика нужа и злолютная облиа грады и страны западныя, и толика ниже очи видѣста, ниже уши слышаста. По убьении бо мужа храбраго деспота Углеша просыпашася измальтяне и полѣтѣша по всей земли, якоже птица по воздуху, и овѣх от христианъ мечемъ закалаху, овѣх же въ запленение отвожаху, а оставших смерть безгодная пожже, от смерти же оставшии гладом погублени быша. Таковый бо глад бысть по всѣх странах, яковы же не бысть от сложениа миру, ниже потом таковый, Христе милостивый, да будеть. А ихже глад не погуби, сих попущениемь Божиимъ нощию и днию волци, нападающе, снѣдаху.	При царе этом Иоанне Палеологе был краль в Сербии Вукашин и брат его — деспот Углеша. Этот доблестный муж, деспот Углеша, подвигнул брата своего, краля Вукашина, и греческого царя Иоанна Палеолога, убедил послать с ними греческое войско и иных многих вельмож — всего до шестидесяти одной тысячи отборных воинов. И двинулись в Македонию на изгнание безбожных турок, не подумав о том, что никто не может противиться гневу Божьему. И поэтому не изгнали, а сами турками были перебиты, и там остались лежать непогребенными кости их. И великое множество погибло на острие меча, другие же в плен уведены были, а некоторые спаслись и вернулись. И такая злолютая невзгода охватила города и страны западные, равной которой ни очи не видели, ни уши не слышали. После гибели храброго мужа деспота Углеши воспрянули измаильтяне и полетели по всей земле, словно птицы по воздуху, и одних христиан мечами закалывали, других в плен уводили, а оставшихся смерть безвременная сгубила, а смерти избежавшие от голода погибли. Такой голод был во всех странах, какого не было от создания мира, ни потом — Христос милостивый! — да не будет. А кто от голода не умер, на тех, по воле Божьей, по ночам и среди дня нападали волки и пожирали их.
Увы! Умиленъ позоръ бѣ видѣти: оста земьля всѣх добрых пуста: и людей, и скота, и инѣх плодовъ. Не бѣ бо князя, ни вожда, ни наставника в людех, ни избавляющаго, ни спасающаго, но вся исполнишася страха агаряньскаго, и сердца храбраа доблественых мужей въ женъ слабѣйшая преложишася. Въ то бо время и племя серпъскых господ, седми род мню, конець приатъ воистину. Тогда ублажаху живии преже умерших. Быша же сиа в лѣто 6879-е, въ 20-е лѣто царства Ивана Палеолога греческаго царя. Потом же зьбирающимся людемъ, и призрѣвъ Господь на воздыхание и слезы их, воздвизаеть въ Сербех великаго князя Лазаря,[28] благочестива и добра, емуже жена Милица, дщи Вратка князя, от колѣна великаго князя Волкана, сына святаго Семиона, от неяже роди великаго князя Стефана, Волка и Добравоя. Стефан же последи добродѣтели ради и мужестьва и деспотскому сану съподобляеться от греческых царей. ...	Увы! Печальное было зрелище: осталась земля без всех благ своих, и без людей, и без скота, и без всяких плодов. Не было ни князя, ни вождя, ни наставника людям, ни избавителя, ни спасителя, но все исполнились страха перед агарянами, и сердца храбрые доблестных мужей уподобились слабым женским сердцам. В то время прекратился и род сербских государей, насчитывавший семь поколений. Тогда завидовали живые умершим. Случилось же все это в году 6879 (1371), на двадцатом году царствования греческого царя Иоанна Палеолога. Потом собрались люди, и смилостивился Господь в ответ на вздохи и слезы их, и воздвиг в Сербии великого князя Лазаря, благочестивого и добродетельного, жена же ему была Милица, дочь князя Братка, из рода великого князя Вукана, сына святого Симеона, от нее же родились ему великий князь Стефан, Вук и Добровой. Стефан же впоследствии, за добродетели свои и мужество, удостоился у греческих царей деспотского сана.
ГЛАВА 202	ГЛАВА 202
ВЕЛИКОЕ КНЯЖЕНИЕ СЕРПЪСКОЕ И О ТУРКОХ	О ВЕЛИКОМ КНЯЖЕНИИ В СЕРБИИ И О ТУРКАХ
При сем же цари гречестемъ Иванѣ Палеолозѣ великий князь Лазарь, обновляа опустѣвшая скипетры серпьскыа ото измаилтъ, и церкви, и манастыри, и грады созидая, и се внезапу от Перскых странъ въ западныа страны серпьскыя преселяються измаильтяне. Повѣм же о них извѣстно, откуду начало приаша власти.	При этом же царе греческом Иоанне Палеологе великий князь Лазарь возродил государство Сербское, пострадавшее от измаилтян, и стал строить церкви, и монастыри, и города. И вот внезапно из Персии в западные страны сербские переселились измаилтяне. Поведаю же о них, что известно, — откуда ведет начало их государство.
Бяше нѣкий царь, именемъ Хириданъ,[29] христианинъ вѣрою, обладая странами, сущими посреди Перьсиды и Армениею, нынѣ же преименована страна та Ачамиа. Бысть же во улишение царей греческых обрѣтеся царь странъ тѣхъ въ царствующемъ градѣ, иже, въцарився, приатъ греческыа скипетры, братъ же его въцарися во отечествии своем во Ачамии, сый христианинъ, въ Перьскых предѣлех. Нѣции же подвигоша греческаго царя во отечество свое ити на брата своего, иже и поиде со всѣми силами. Слышав же царь ачамийски, возложи на ся иноческый образ и срѣтает брата своего царя пѣшь. Увидѣв же царь греческий, кто есть, внезапу и той ис коня ссѣдает и любезно цѣлование дастъ брату. Вопросив же, чесо ради сотвори се. Он же отвѣщавъ ему: «Кое мнѣ есть приобрѣтение и полза, еже толикимъ кровемъ пролитию виновнику быти? Отець нашь умре, по приатию же и дѣдъ и прародителие вси. Вѣде, яко и азъ умрети хощу, сынъ же мой единъ сый и то изьмлада о власти не радить, но понеже юности ради инокъ не может быти, суть манастырие, иже отци наши създаша въ языцѣ нашем, дажь ему списаниемъ, еже окоръмлятися от них, прочее же дажь, ему же хощеши».	Был некий царь, по имени Хиридан, христианин верою, обладавший странами, расположенными между Персией и Арменией, ныне же эта страна именуется Ачамия. Случилось же, когда пресекся род царей греческих, что оказался выходец из стран этих в царствующем граде, и, воцарившись, обрел он греческий скипетр, а брат его воцарился в отечестве своем, в Ачамии, в персидских пределах, и был он христианином. Люди некие убедили греческого царя пойти войной на отечество свое и на брата своего, и он двинулся со всеми силами. Услышав же об этом, царь ачамийский постригся в монахи и пешим встретил брата своего. Узнал царь греческий, кто перед ним, тотчас же сошел с коня и сердечно приветствовал брата. И спросил его, зачем тот так поступил. Он же отвечал царю: «Какая мне выгода и польза, если явлюсь я виною кровопролития? Отец наш умер поцарствовав, и дед, и прародители все. Знай, что и я умру, сын же мой единственный с юных лет не стремится к власти, но так как по молодости своей еще не может он стать монахом, то ты отдай ему по завещанию монастыри, которые предки наши создали в стране нашей, чтобы они вскормили его, остальное же раздай, кому хочешь».
Царь же умилився и вся по воли его сътвори. Оттуле же сынъ его и сына его чада обладаху странами своими, служаще греческому скипетру. Превозмогающимъ же измаилътомъ и восточныа страны отъемшимъ, привлекоша страны оны, паче же дръжателя тѣх странъ въ скверную их вѣру, с ними же и всѣхъ покориша отступити от христианьства, увы! Правнукъ убо царя оного, иже облечеся во иноческый образ, въ той сый злой вѣре агаряньской, именемъ Арканъ,[30] его же пръвый сынъ Сулимень.[31] Сей Сулимень, приемъ скипетры его въ западная преведе, живу сущи отцу его Аркану, на Калиполи море преиде, отвори путь и прочим, при цари гречестем Андроницѣ, имущу рать со братомъ своим.[32] Умершу же Аркану, умре же и сынъ его Сулимень, въздвизается сынъ юнѣйши Аркановъ, Амурат[33] глаголемый, и покори множайшиих иже на востоцѣ и на западе и Турьчесъкую страну — и сего ради турьский царь нарицаем. Прочее же и на благочестиваго великаго князя серпьскаго Лазаря вооружается. Сей же не стерпѣ прочее ждати Христовы овца разсѣкаеми и попленяеми, но яко пастырь добрый устремися противу волковъ, яко да избавит порученное ему Христомъ стадо, или сам за них душу положивъ сосвѣдельствовати мучениемъ скончается.	Умилился царь и все исполнил по его желанию. С той поры сын царя ачамийского и дети сына его обладали землями своими, служа греческому скипетру. Когда же усилились измаилтяне и захватили восточные страны, обратили земли те и самих правителей стран тех в нечистую свою веру, с ними и весь народ принудили отступить от христианства, увы! Правнук же царя того, который облек себя в монашескую рясу, пребывал в той нечистой вере агарянской, имя ему было Орхан, а старший сын его был — Сулейман. Сулейман этот, получив от отца власть, направился в западные земли, еще при жизни отца своего Орхана, в Галлиполии море перешел, проложив путь и остальным, при царе греческом Андронике, когда тот воевал с братом своим. Когда же умерли Орхан и сын его Сулейман, выдвинулся младший сын Орхана, по имени Мурад, покорил он множество народов на востоке и на западе и Турецкую землю, и поэтому турецким царем именовался. А затем пошел войной и на благочестивого великого князя сербского Лазаря. Тот же не смог дальше ждать, как Христовых овец будут мечами рассекать и в плен вести, но, словно ревностный пастух, устремился на волков, чтобы или избавить порученное ему Христом стадо, или самому, душу за него положив, вместе с ним погибнуть в муках.
Бывшу же сражению обоимъ полком на мѣсте, нарицаемѣмъ Косовѣ, бѣ же нѣкто благороденъ зѣло и вѣренъ сый великому князю Лазорю, именемъ Милошь, емуже завидяще, клеветаху на нь, яко не праве служить ему, той же обрѣтъ подобно время, хотя показати вѣру и мужество, скоро устремися къ началнику агаряном Амурату, сътворивъ себе яко бѣжаща от великаго князя Лазаря, ему же разступишася агаряне и путь сотворше. Он же, близ бывъ гордаго началника агаряньска Амурата и ополчився, вонзе мечь въ того сердце и мертва показуеть, ту же и самъ от них убиенъ бысть, чюдный того слуга. И сих ради первѣе убо одолѣвають сущии с Лазоремъ, потом же сынъ того царя Амурата Баозит возьмогаеть пакы и въ той самой брани одолѣваеть, Богу тако попустившу, яко да блажены сей князь велики Лазарь, мучениа вѣнцемъ увязется и сущии с ним. Повелѣваеть убо безаконный мечем того убити, Христа исповѣдающа, и сущии с ними моляхуся преже посѣчени быти, яко да не видять кончину его. Бысть же сиа брань в лѣто 6897 июня 15. Той же убо мученичества конець приатъ и видиться нынѣ яко живъ, в нейже сам създа великую обитель, глаголемую Равница.[34]	Когда же сошлись в бою оба войска на месте, именуемом Косово, то некто, благороден и верен великому князю Лазарю, по имени Милош, оклеветанный завистниками, будто бы он нечестно служит князю, выбрал удобный момент показать преданность свою и мужество, устремился к предводителю агарян Мураду, объявив себя перебежчиком от великого князя Лазаря, агаряне же, расступившись, дали ему дорогу. Он же, оказавшись возле гордого предводителя агарян Мурада, бросился на него и, вонзив меч ему в сердце, убил, но и сам тут же был убит турками, дивный слуга Лазаря. И поэтому на первых порах стали одолевать соратники Лазаря, но сын того царя Мурада, Баязид, переломил ход боя и победил в этом сражении, по воле Божьей, так что блаженный великий князь Лазарь удостоился мученического венца, также и соратники его. Приказал беззаконный мечом убить того, исповедующего веру в Христа, соратники же его просили, чтобы их умертвили раньше, чем Лазаря, чтобы не видели они его кончины. Была же та битва в год 6897 (1389) 15 июня. Принял Лазарь мученическую смерть и поныне, словно живой, лежит в великой обители, им самим созданной, называемой Равница.
Левъ же онъ, иже и Громъ нареченый по своему их языку,[35] сынъ Амуратовъ, емуже имя Баозитъ, спѣшно възвращается къ востоком, еже сѣсти на престолѣ отчи и отовсюду царствиа утвердити, покорити же восточная и Турьческую страну. Сего ради турьский царь глаголеться.	Тот же, льву подобный, которого Громом называют на родном ему языке, сын Мурада, по имени Баязид, поспешил возвратиться на восток, сесть на престоле отцовском, укрепить границы царства и подчинить себе восточные земли и Турецкую страну. Поэтому и именуется он царь турецкий.
СЕРПЬСКОЕ ВЕЛИКО КНЯЖЕНИЕ И О БАОЗИТЕ	О СЕРБСКОМ ВЕЛИКОМ КНЯЖЕНИИ И О БАЯЗИДЕ
