СТЕПЕНЬ 15, И ЧЕТЫРЕ МИТРОПОЛИТЫ ФИЛИПП, ГЕРОНТИЙ, ЗОСИМА, СИМОН, И ГРАНЬ 15, В НЕЙЖЕ ГЛАВ 33	СТУПЕНЬ 15, И ЧЕТЫРЕ МИТРОПОЛИТА, ФИЛИПП, ГЕРОНТИЙ, ЗОСИМА, СИМОН, ГРАНЬ 15, В КОТОРОЙ 33 ГЛАВЫ
Безумное послание в Литву от новоградцев. И посланника своего в Литву к королю со многими дарми безумнии послаша, глаголюще: «Мы, волнии людие, Великий Новград, бьем челом тебѣ, честному кралю, да бы ты нашему государству, Великому Новуграду, и нам господинъ был. И архиепископа нам вели поставити своему митрополиту Григорию и князя нам дай из своея державы». Краль же возрадовася о словесех сих и дары их с любовию прият и много чествова посланников их.	Безумное послание в Литву от новгородцев. И послали они, безумные, к королю в Литву со множеством даров своего посланника со словами: «Мы, вольный народ, Великий Новгород, бьем челом тебе, честному королю, чтоб ты был нашему государству, Великому Новгороду, и нам господином. И вели нам архиепископа поставить митрополиту своему Григорию и дай нам князя из своей державы». И король возрадовался таким словам и принял дары их с любовью и <отдал> много почестей их посланникам.
Олелковичь. К ним же посла князя Михаила Олелкова сына киевскаго.[27] Новоградцы же прияша его честнѣ. Великаго же князя намѣстников не сослаша з городища.	Олелькович. А к ним послал киевского князя Михаила Олелькова сына. И новгородцы приняли его с честью. Но великого князя наместников не прогнали с городища.
Суждалской. А иже был у них князь Василий Горбатой, брат Суждалских князей,[28] егоже яко слугу у себе имяху, и того послаша в Заволочье, в заставу на Двину: готовляхуся, безумнии, на брань против воинства великаго князя.	Суздальский. А бывшего у них князя Василия Горбатого, брата Суздальских князей, которого как слугу у себя держали, того послали они в Заволочье, в заставу на Двину: готовиться стали к бою, безумные, с войсками великого князя.
Титла 3. Послание великаго князя в Новград.[29] Слышав же сие великий князь Иван Василевич, что въ его отечествѣ, в Великом Новѣграде, великое возмятение, и посла к ним послы своя, глаголя сице: «О, людие новоградстии! Отчина моя есте изначала, от перваго в земли вашей великого князя Рюрика и до правнука его, святаго и великаго князя Владимера, крестившаго всю Землю русскую, и от того великаго князя Владимера Киевскаго и до великаго князя Дмитрея-Всеволода Юревича Владимерскаго, а от того даждь и до мене род ихъ мы владѣем вами, и жалуем вас, и бороним отвсюду. И казнити вас волны же есмя за презорство ваше к нам. А за королем ни за которым, ни за великим князем Литовским не бывали есте, како и земля ваша стала. Нынѣ же отступаете от християнства к латынству чрез крестное к нам целование. Аз же, великий князь, ничтоже тщетно содѣваю вам, ни тягости излишние не налагаю на вас, но якоже быша дани и оброки при отцѣ моем великом князе Василе Василевиче, и при дѣде, и при прадѣдѣ, и при прочих великих князех рода нашего. Вы же бо не едину сию измѣну ко мнѣ показуете; егоже ради смирити вас хощет Господь Богъ. Но аз, не хотя видѣти многаго християнскаго кровопролития, и того ради наипаче легчайше хощу пожаловати вас, свою отчину. И вы не наведите сами на себя гнѣва Божия, от нашего извѣчнаго над вами державства не отступайте и к латынству не прилагайтеся».	Раздел 3. Послание великого князя в Новгород. Услышав о том, что в отчине его, в Великом Новгороде, великое смятение, послал великий князь Василий к ним своих послов с такими словами: «О, люди новгородские! Вы отчина моя изначала, от первого в вашей земле великого князя Рюрика и до правнука его, святого великого князя Владимира, крестившего всю Землю русскую, а от того великого князя Владимира Киевского до великого князя Дмитрия-Всеволода Юрьевича Владимирского, а от него вплоть и до меня, его потомка, владеем мы вами, и жалуем вас, и от всего защищаем. И вольны мы казнить вас за ваше своеволие пред нами. А ни за каким королем, ни за великим князем Литовским вы не бывали, с тех пор как ваша земля стоит. И ныне вы отступаете от христианства к латинству, преступая крестное нам целование. Я же, великий князь, ничего плохого не делаю вам, ни тягла излишнего не налагаю на вас, но такие же дани и оброки, какие были при отце моем, великом князе Василии Васильевиче, и при деде, и при прадеде, и при прочих великих князьях нашего рода. И не единственно эту измену вы предо мной являете; и за то желает смирить вас Господь Бог. Но, не хотя видеть много кровопролития средь христиан, я пожалую вас, свою отчину, более легким образом. Не наводите же сами на себя гнева Божьего, не отступайтесь от нашей извечной над вами власти и не присоединяйтесь к латинству».
Титла 4. Послание Филиппа митрополита в Новград.[30] Преосвященный же Филипп, митрополит всеа Русии, такоже не единою от себе посылая к ним в Великий Новград поучение от Святых Писаний сице: «Слышу, сынове, яко у вас нѣцыи поощряются на многое стремление, и на многое земли неустроение, и не тишину хотяще ввести, велик мятеж и раскол святѣй Божии церкви: отступая от православия и от древния державы, хотяще к латынству приложитися. И вы у себя таковых безумных людей сами исправите таковаго злаго их научения, понеже, сынове, то дѣло благоотмѣтно есть: еже благочестия свѣт оставити и ко тмѣ латынския прелести приложитися, яко нечающе от Бога праведнаго суда его, ни устрашаяся от него многих вѣчных мук. И вы Божия гнѣва убойтеся и сего страшнаго серпа, великим Захариею пророкомъ видѣннаго,[31] сходящаго с небеси на сыны непокоривыя. И того ради наказуйте бесчинныя, творящая в вас распря и соблазны, и учите их на добро, по древнему пути отецъ своих ходити и жити во прежнем си благочестии и тишинѣ. Многая бо неутолимая лютая предстоят в таковом начинании, — еже оставити закон благочестия спасеныя заповѣди живаго Бога и приступити к латынству. Вси бо прелщенныя души вѣрных взыщутся от Господа Бога на тѣх прелестных богоотступницех. И вы от таковаго их злодѣйства возражайте по реченному: „Бѣжи грѣха, яко ратника, бѣжи от прелести, яко от лица змиина, да не уязвит твоея душа жалом пагубы некончаемыя". О сих, сынове, сами вѣсте, како в преже бывшая времена коликая царства великих земель, многия грады и мѣста преступления ради закона и преслушания ради святых пророкъ и апостолъ, и святых отецъ учения не послушавше, в пагубу многу впадоша и в запустѣние быша; а не покорившияся земли и грады Богом порученному их государю сотрошася и разорени быша. Царствующий же великий град Костянтинополь, иже преже благочестием просиявый паче инѣх царствий, не тоя же ли ради латынския прелести погибе и от благочестия истребися и донынѣ погаными турки одержим бысть.[32] И, сынове, Божия страха убойтеся! Не един в вас, не два блазнитеся, хотяще от истинны отступити и с праваго пути заблудити, якоже забывше великую над вами древнюю державу и закона отецъ своих от дѣд, от прадѣд, но бесчисленое ваше множество народа вси прелщаетеся. И вы, сынове, смиритеся емуже Богом покорени есте, под крѣпкою рукою благовѣрнаго и благочестиваго государя, великаго князя Ивана Василевича всеа Русии, вашего очича и дѣдича, по реченному великим свѣтилником Христовым апостолом Павлом, вселенским учителем: „Всяк, — рече, — повинуяйся власти, Божию повелѣнию повинуется, а противляяйся власти, Божию повелѣнию противится".[33] И паки рече: „Бога бойтеся, а князя чтите: Божий бо слуга есть. Не туне меч носит — в месть врагом, в похвалу же добродетлемъ".[34] И вы, чада, о сих поразумѣйте и того ради смиритеся. И Богъ мира будет с вами».	Раздел 4. Послание митрополита Филиппа в Новгород. И преосвященный Филипп, митрополит всея Руси, не однажды также посылал к ним в Великий Новгород таковые поучения от Святых Писаний: «Сыны, слышу я, что кое-кто у вас покушается на великий бунт, и на великое нестроение земли, и не тишину стремясь внести, а великое смятение и раскол в святую Божию церковь: отступивши от православия и от прежней державы, присоединиться желают к латинству. И вы сами таковых безумных людей отведите у себя от такового скверного их учения, ибо, дети, дело это богопротивное: оставлять свет благочестивой веры и ко тьме латинского прельщения присоединяться, будто и не ждете вы от Бога праведного его суда и не страшитесь <получить> у него множество вечных мук. И убойтесь вы Божьего гнева и того страшного серпа, виденного великим пророком Захарией, что сходил с небес на сынов непокорных. И потому наказывайте бесчинцев, творящих между вами распри и соблазны, и учите их добру, как ходить по старому пути своих отцов и жить в своем прежнем благочестии и тишине. Ибо много неутешимого и лютого может случиться из-за такого начинания, — благочестивый закон спасительной заповеди живого Бога оставить и приступить к латинству. Ибо за все соблазненные души верных взыщет Господь Бог на тех лживых богоотступниках. И вы на таковое их злодейство восставайте по сказанному: «Беги от греха, как от вооруженного врага, беги от прельщения, как от змеи, чтобы не уязвилась твоя душа жалом нескончаемой пагубы». О том, дети, сами знаете, как много в прежде бывшие времена великих царств земных, городов и мест из-за преступления закона и из-за ослушания святых пророков и апостолов, не послушав учения святых отцов, впало в великую погибель и оказались в запустении; а города и земли, не покорившиеся Богом врученному им государю, были стерты <с лица земли> и разорены. А великий царствующий град Константинополь, благочестием в прежние времена просиявший больше других царств, не погиб ли из-за того латинского прельщения, и истреблено в нем было благочестие, и владеют доныне им поганые турки. И вы, дети, побойтесь Бога! Не один и не два средь вас соблазняются, хотя от истины отступить и с правого пути сойти, ибо, забывши об издревле стоящей над вами великой власти и о законе отцов своих <со времен> дедов и прадедов, соблазняетесь все вы бесчисленным множеством народа. И вы, дети, смиритесь пред тем, кому вы покорены Богом, под крепкою рукою благоверного и благочестивого государя, великого князя всея Руси Ивана Васильевича, вашего отчича и дедича, по сказанному великим светильником Христовым апостолом Павлом, вселенским учителем: «Всякий, — сказал он, — повинующийся власти Божию повелению повинуется, а противящийся власти Божию повелению противится». И еще он сказал: «Бога бойтесь, а князя чтите, ибо слуга он Божий. Не втуне меч носит, но для отмщения врагам и для прославления добродетельных». И вы, чада, об этом поразмыслите и того ради смиритесь. И Бог мира да будет с вами».
Титла 4. Поучение Феофилово. Прежде же о сих и по сих преподобный священноинок, нареченный на владычество Феофил, велми возбраняше им от таковых лукавых умышлениих и повелеваше им престати от таковаго злаго начинания. Они же не послушаху словес его. Он же того ради хотяше снити в монастырь и в кѣлии безмолствовати. И не попустиша его. Боляре же новоградстии, и посадницы, и тысящские, и прочии гражане, иже не хотяху перваго обычая измѣнити и крестнаго целования преступити, слышавше словеса послов великаго князя, и митрополиче благословение и поучение, и своего нареченнаго на владычество Феофила поучение и возбранение, мнози возрадовашася радостию великою и по древнему исправитися хотяху великому князю.	Раздел 4. Поучение Феофилово. А до этого и после этого преподобный священноинок, избранный во владыки Феофил, сильно предостерегал их от таковых коварных замышлений и повелевал им отказаться от такового злого начинания. Но они не слушали его речей. Он же из-за этого хотел удалиться в монастырь и в келии безмолвствовать. И не допустили его <до этого>. Многие же новгородские бояре, и посадники, и тысяцкие, и прочие горожане, те, что не желали изначального порядка изменить и крестное целование преступить, услышавши о словах послов великого князя и о митрополичьем благословении и наставлении, и о предостережении и наставлении своего избранного во владыки Феофила, возрадовались великой радостью и хотели по-старому служить великому князю.
Титла 5. О погибелном ухищрении злоумныя жены Марфы. Злокозненыяй же дьявол, иже искони ненавидяй добра человѣческому роду, вниде у них во злохитрену жену Исакову Борецкаго, именем Марфу, о нейже выше речено бысть, и тако окаянный соплетеся лукавыми словесы с литовскимъ князем с Михаилом Александровичем, егоже мало преже сих присла его к ним кралъ; и по его совѣту бестудная она Марфа хотяше посягнути замуж за литовскаго пана за королева[35] и с ним хотя владѣти всею новоградскою землею. И тако мысляще, нача прелщати весь народ православия, Великий Новград, хотяще отвести от великаго князя и ко кралю присягнути. Якоже древняя лвица Езавел,[36] иже многих убиваше пророчествующих о имени Господни, и сама со стены града свержена и конми попрана, сконча окаянный живот свой, и пси снедоша ю; такоже и другая, подобна ей, безаконная Иродия,[37] жена Филиппа царя, обличена Крестителем Господним Иванном о безаконнии и не терпя обличения, окаянная, и того ради оболсти своего царя плясанием дщери своея, угодив ему, и отсѣче пророчю главу, — и сама со дьяволом мучитися осужена бысть в бесконечныя вѣки; к сим же равно и Евдоксия царица таково же зло сотвори: всемирнаго светилника, великаго Иоанна Златоустаго, патриарха Царьствующаго града, со престола согна и во Армены заточи,[38] — и того ради сама жива червми воскипѣвше, много лѣт по смерти же ея трясением гроба ея проявляше знамение будущей муцѣ; такоже и Далида окаянная, безакония ради ея, мужа своего Самсона, свята и храбра, не пощадѣ,[39] но лестию остригши, иноплеменникомъ предастъ, — сице и сия окаянная Марфа всего народа хотя прелстити и с праваго пути совратити, и тмою прелести латынския ослепи свои душевныя очи лукаваго ради с нею дьяволя сплетения и мысли злыя литовскаго князя. С нею же тогда мысля и думая, иже от самого сатаны, гордаго дьявола, злѣ подстрекаемый чернец Пимин,[40] прежняго архиепископа бывший ключник; и той лукавый тайношептанием на все зло помагаше им и сам желаше получити от латынскаго митрополита поставлен быти на архиепископьство Великаго Новаграда, о немже не благоволи Богъ, и не прият бысть от людей. Он же окаянный издаяше много злата лукавой той Марфе. Она же, окаянная, не токмо себя и душу свою, но и чада своя в конечную пагубу вовлече, по не мнозѣ же и литовскаго князя Михаила Олелковича отъ себе отгнаша.	Раздел 5. О коварном умысле злоумной жены Марфы. А злокозненный дьявол, искони ненавидящий добро в человеческом роде, вошел у них в злохитрую жену Исака Борецкого, по имени Марфа, о которой выше было сказано, и так, окаянный, сплелся лживыми речами с литовским князем Михаилом Александровичем, которого незадолго до того к ним прислал король; и по его совету та бесстыдная Марфа возымела желание выйти замуж за литовского пана, королевского подданного, пожелав с ним вместе владеть всей новгородскою землею. И так замыслив, начала она прельщать весь народ православный, Великий Новгород, хотя отвести их от великого князя и подвести под короля. Как в древности львица Иезавель, что убивала многих пророчествовавших об имени Господнем, а <потом> сама, сверженная с городской стены и растоптанная лошадьми, окончила окаянную свою жизнь, и псы ее съели; таким же образом и другая, подобная ей, беззаконная Иродиада, жена царя Филиппа, будучи обличена Крестителем Господним Иоанном в беззаконии и не стерпев обличения, обольстила, окаянная, из-за того своего царя пляской дочери своей и угодила ему, и он отсек главу пророку, — и сама была осуждена со дьяволом мучиться вечно; подобно сим и Евдоксия царица такое же зло сотворила: святителя всего мира, великого Иоанна Златоуста, Царствующего града патриарха, со <святительского> престола прогнала и заточила в Армению, — и за это сама при жизни покрылась кипящим месивом червей, а по смерти ее много лет содрогание гроба ее являло знамение уготованной ей муки; таким же образом и окаянная Далила из-за беззакония не пощадила мужа своего Самсона, святого и храброго, а, обманом остригши, предала иноплеменникам, — так вот и сия окаянная Марфа, желаючи весь народ обмануть и совратить с правого пути, ослепила тьмой латинского прельщения душевные свои очи по причине коварного дьявольского соединения с нею и по злой мысли литовского князя. А с нею вместе задумывал тогда те планы злостно подстрекаемый самим сатаной, гордецом-дьяволом, чернец Пимен, бывший ключник прежнего архиепископа; тот обманщик тайным нашептыванием во всяком зле помогал им, а сам желал получить от латынского митрополита поставление на епископство в Великом Новгороде, на что не было Божьего изволения, и не принят он был людьми. И окаянный этот передавал много злата коварной той Марфе. Она же, окаянная, не себя только и душу свою, но и чад своих увлекла в последнюю погибель, вскоре же и литовского князя Михаила Олельковича они от себя прогнали.
О неистовстве новоградцевъ. Ко злоумной же Марфе и к дѣтем ея многие люди на сонмище сходящеся и мнози наемнии поборники и с прочими неистовыми людми и безумными невѣгласы. И мнози тмою прелести, злата и сребра взятием помрачишася и яко возбеснѣша, или яко звѣрие дивии безчеловѣчен разум имуще; великаго же князя послов словес, тако же и митрополича посла, ни слышати не хотяху, и яко скоту уподобишася, ничтоже разума имуще, но точию единою кричаще. Ниже безсловесная животная не сице кричаху, якоже они окаяннии; государем зовяху себѣ Великий Новград и на вече приходяху, бьяху в колоколы, и лаяху, яко пси, и нелѣпая глаголюще: «За короля хотим!» И таково бѣ в них возмущение, якоже бысть во Иерусалимѣ, егда предаде его Богъ въ руцѣ Титовѣ.[41] Якоже иерусалимляне тогда же межи себе брань творяху, тако и здѣ новогородцы брань меж собою воздвигоша.	О бунте новгородцев. И стали к злоумной Марфе и к ее детям сходиться на сборище многие люди и много наемных поборников <их дела> с прочими неистовыми людьми и безумными невеждами. И многие помрачились <умом> от тьмы обмана и от полученного злата и серебра и словно взбесились или, как дикие звери, потеряли человеческий разум; речей же послов великого князя, так же как и митрополичьего посла и слушать не желали, и уподобились скоту, не имеющему никакого разума, и только кричали. И бессловесные животные так не кричат, как кричали эти окаянные; звали себя государем Великим Новгородом и, приходя на вече, били в колокола и лаяли, как псы, и говорили безлепицу: «Под короля хотим!» И такая поднялась среди них смута, какая была в Иерусалиме, когда предал его Бог в руки Тита. Как тогда стали биться иерусалимляне друг с другом, так и здесь поднялись новгородцы друг на друга с боем.
Титла 6. Совѣт великаго князя и ратование на новоградцы.[42] Великий же князь, слышав сия, оскорбися зѣло и велми опечалися о них, глаголаше: «Оле безумия людей сих! Яко егда быша еще и не во православии, от Рюрика и до великаго князя Владимера, крестившаго всю Землю русскую, и тогда не отступали ко иному государю; а от Владимера даже и до нынѣ, во православной вѣре, род его един знали и исправлялися всѣм великимъ князем киевским и владимерскимъ и до мене. Нынѣ же како, мнѣ не повинующеся, погибнути хотят, от крестиянства к латынству отступающе. И что сотворити, не вѣм. Но точию возложу упование на единаго всесилнаго Господа Бога, и той сотворит с нами милость и вразумит нас о сих, якоже хощет». И вся сия возвѣщает отцу своему Филипу митрополиту, и матери своей великой княгине Марии, и боляром своим; и мысль свою сказа им, яко «хощу, — рече, — ити на Новград ратию за их неисправление и отступление». Они же глаголаша ему: «Богъ Вседержитель, видяй правду твою и умышление сердца твоего, иже на ползу царствию твоему, да исполнит и смирит враги твоя под нозѣ твои, по своей ему милости».	Раздел 6. Решение великого князя и военный поход на новгородцев. И великий князь, узнав о том, сильно огорчился и очень опечалился о них и сказал: «Что за безумцы эти люди! Ведь и когда были они еще неправославными, от Рюрика до великого князя Владимира, крестившего всю Землю русскую, и тогда не отступали они к другому государю; а в православной вере, от Владимира и доныне, лишь один <правящий> род его знали и управлялись во всем великим князем киевским и владимирским вплоть до меня. Как же они теперь хотят погибнуть, мне не повинуючись, из христианства в латинство отступаючи. Что делать, не знаю. Лишь возложу надежду на одного всесильного Господа Бога, и смилуется он над нами и вразумит нас в этом, как захочет». И все это возвещает он отцу своему митрополиту Филиппу, и матери своей великой княгине Марии, и боярам своим; и говорит им о своем решении: «Хочу, — сказал, — идти на Новгород войной за их неподчинение и отступление». И отвечали они ему: «Бог Вседержитель, видящий правду твою и решение сердца твоего, что есть на пользу твоему царству, то и исполнит и усмирит врагов твоих, и приведет их к твоим ногам по своему милосердию».
Он же вскоре разосла по всю братию свою, и по вся епископы земля своея, и по всѣ князи, и по боляре, и по воводы, и по вся воя своя. И яко снидошася к нему вси, и тогда возвѣщает всѣм, яко новогородцы во всем измениша ему и на великое зло удаляются, хотяще от православия к латынскому королю присягнути. И того ради, Бога помощника имѣя, взем благословение от митрополита Филипа, и от всѣх святитель земля своея, и от всего освященнаго собора, и начат вооружатися на своих измѣнников; такоже и братия его, и вси князи, и боляре, и воеводы, и все воинство его. И посла в Великий Новград, возвѣщая, яко грядет смирити гордыню их. Во Тверь посла к великому князю, помощи прося на новоградцев. Такоже и во Псков посла, глаголя им сице: «Вѣдыи будите, яко отчина моя Великий Новград отступают от мене за литовскаго короля и архиепископа себѣ хотят поставити от его митрополита Григория, латынянина суща. И того ради азъ, на Бога возложив надежу, гряду на них с воинством своим; и вы вси, от великих идо малых, вся Земля псковская, отчина моя, поидите на них ратию с моим воеводою, со князем Феодором Юревичем Шуйским,[43] или с сыном его князем Василемъ».	И быстро послал он за всеми братьями своими, и за всеми епископами земли своей, и за всеми князьями, и за всеми боярами, и за воеводами, и за всеми своими воинами. И когда все сошлись у него, тогда объявляет он всем, что новгородцы во всем ему изменили и уклоняются в великое зло, желая из православия уйти под латинского короля. И потому, имея помощником Бога, взял он благословение у митрополита Филиппа, и у всех святителей своей земли, и у всего освященного собора, и начал вооружаться против своих изменников; так же и братья его, и все князья, и бояре, и воеводы, и все его войско. И послал в Великий Новгород, возвещая им, что идет смирить их гордыню. Послал к великому князю в Тверь, прося помощи на новгородцев. Также и во Псков послал с такими словами: «Да будет ведомо вам, что моя отчина Великий Новгород уходят от меня под короля литовского и хотят поставить себе архиепископа от его митрополита, латинянина Григория. Потому я, возложив на Бога надежду, иду на них со своим войском; и вы все, от мала до велика, вся Земля псковская, моя отчина, идите на них войной с моим воеводой, с князем Федором Юрьевичем Шуйским, или с сыном его князем Василием».
И мѣсяца маия 31 день великий же князь посла воевод своих на Двину и на Заволоцкую землю, Василия Федоровича Образца[44] с устьюжаны и с вятчаны и с вологжаны на пригороды новоградския и на вся их власти и на погосты. Мѣсяца июня 6 послал великий княз с Москвы преди себе князя Данила Дмитреевича Холмскаго да Федора Давыдовича со многим воинством к Русѣ[45] за Илмень езеро, иже есть противу Новаграда. И того же мѣсяца июня 13 отпустил великий князь князя Ивана Василевича Стригу со многими вои, с ним же князей царевичевых Данояровых со многими татары, и велѣл им итти на Волочек да по Мстѣ.[46] Сам же благочестивый государь великий князь начат обходити вся соборныя церкви и монастыря и повсюду и идѣже чюдотворный образ Пречистыя Богоматере и целбоносныя мощи великих святителей и чюдотворцев Петра и Алексия и прочих, и идѣже мощи почиваху прародителей его, — от великаго князя Ивана Даниловича и до отца его, великаго князя Василя, — и вездѣ молебная совершая и милостыню доволну раздая, жалости исполняяся и моляся в себѣ, глаголя. Молитва: «Господи Владыко пресвятый, превѣчьный Царю! Ты вѣси тайная сердецъ человѣческих, яко не своим хотѣнием, ниже своею волею на сие дерзаю аз, еже бы пролиятися мнозѣй крови християнстей на земли, но дерзаю о истиннем твоем божественом законѣ».	И месяца мая в 31-й день послал князь великий на Двину и в землю Заволоцкую своих воевод, Василия Федоровича Образца с устяжанами, и с вятчанами, и с вологжанами на пригороды новгородские и на все их волости и погосты. И в 6-й день июня месяца послал великий князь перед собой из Москвы князя Данилу Дмитриевича Холмского и Федора Давыдовича с большим войском под Русу за Ильмень-озеро, что напротив Новгорода. И в тот же месяц, 13 июня, послал великий князь князя Ивана Васильевича Стригу с большим войском, а с ним князей царевичей Данояровых со множеством татар, и велел идти им на Волочек и по Мсте. Сам же благочестивый государь великий князь стал обходить все соборные церкви и монастыри и <бывать> повсюду, где были чудотворный образ Пречистой Богородицы и цельбоносные мощи великих святителей и чудотворцев Петра и Алексия и других, и там, где почивают мощи его прародителей, — от великого князя Ивана Даниловича до отца его, великого князя Василия, — везде молясь и довольно милостыни раздавая, сокрушаясь и молясь в душе так. Молитва: «Господи Владыка пресвятой, предвечный Царь! Знаешь ты сокровенные тайны сердец человеческих, <знаешь>, что не по своему хотению и не по своей воле на сие я дерзаю, чтобы пролилось на земле много крови христианской, а дерзаю ради истинного твоего божественного закона».
И тако благочестия дѣлател повсюду моляся Господу Богу и Пречистой Богородицы, призывая к себѣ на помощ непобѣдимую силу честнаго и животворящаго креста Господня, и великаго заступника и скорого християном помощника на бранѣх преславного небесных силъ воеводу архистратига Михаила, и святаго великого Ивана Предотечю, и соборы пророкъ, и апостолъ, и святителей, и святых добропобѣдных мученикъ, и преподобных, и праведных, и всѣх святых, и своих святых православных прародителей, великих князей: равноапостольнаго Владимера и сынов его праведных страстотерпецъ Бориса и Глѣба, и всѣх святых своих сродник, моля их и глаголя: «О, святии мои родители и прародители и сродницы! Аще и тѣлом отсюду отшли есте и души ваши в руцѣ Богу предасте, к нему же и дерзновение имуще молитвою на отступающих православныя державы нашея».	И так молился повсюду труженик благочестия Господу Богу и Пречистой Богородице, призывая себе на помощь непобедимую силу честного и животворящего креста Господня, и великого заступника и скорого помощника во бранях христианам преславного воеводу небесных сил архистратига Михаила, и святого великого Иоанна Предотечу, и соборы пророков, и апостолов, и святителей, и святых добропобедных мучеников, и преподобных, и праведных, и всех святых, и своих святых православных прародителей, великих князей: равноапостольного Владимира и сыновей его праведных страстотерпцев Бориса и Глеба, и всех святых своих сродников, молил их со словами: «О, святые мои родители и прародители и сродники! Хоть вы телом отсюда и отошли и души свои в руки Бога предали, — но молитесь же ему с дерзновением за отступающих от православной державы нашей».
Таже паки приходит ко отцу своему Филиппу, митрополиту всеа Русии, прося благословения и прощения от него. Святитель же огражает его крестом и молитвою вооружает и благословляет его и вся воя его на противныя ему. И тако, приимъ благослование от митрополита и от всѣх святителей земля своея и от всего освященнаго собора, и поиде с Москвы того же мѣсяца июня 20; с ним же и братия его: князь Юри, и князь Андрей, и князь Борис Василевич, и князь Михаил Андрѣевич с сыном своим со князем Василем, и царевичь Даняр,[47] и князи и боляре мнози, и вси воеводы со многою силою, вооружився на противных на своих отступников. Всегда бо измѣняху, крестное целованье преступающе. Пятсот лѣт и четыре лѣта во святом крещении быша владоми великими князми рускими православными, нынѣ же послѣдьнее время за 20 лѣт до скончания седмыя тысящи, начаша бѣситися, еже отступити от истиннаго православия в богомерское латынство. И тако великий князь, уповая на Бога, воополчився, поиде на них со всѣми силами за их гордость и непокорство, не яко на християн, но яко на язычники и на отступников от православия.	Затем снова приходит он к отцу своему, митрополиту всея Руси Филиппу, прося у него прощения и благословения. И ограждает святитель его крестом и вооружает молитвой и благословляет его и всех его воинов <идти> на врагов его. И так, принявши благословение от митрополита и от всех святителей своей земли и от освященного собора, выступил он из Москвы в том же месяце июне, 20-го; а с ним и его братья: князь Юрий, и князь Андрей, и князь Борис Васильевич, и князь Михаил Андреевич с сыном своим князем Василием, и царевич Данияр, и многие князья и бояре, и все воеводы со многой силой, вооруженные на врагов своих отступников. Ибо всегда они изменяли, крестное целование преступая. Пятьсот лет и четыре года были они во святом крещении под властью великих русских князей православных, а в последние времена, за 20 лет до конца седьмой тысячи, начали беситься, отступать от истинного православия в богомерзкое латинство. И таким образом великий князь, уповая на Бога, вооружившись, пошел на них со всеми <своими> силами за их гордость и непокорность, не как на христиан, а как на язычников и отступников от православия.
Прииде же на Волок июня 24, в самый праздник Рождества Предотечева; в богоспасаемем же граде Москвѣ остави сына своего, великаго князя Ивана, у негоже остави на Москвѣ брата своего, князя Андрея Меншаго;[48] в праздник же святых верховных апостолъ Петра и Павла прииде в Торжек.[49] И ту приидоша к нему воеводы великаго князя тверскаго князь Юри Андрѣевич Дорогобужский да Иван Никитич Жито[50] со многими людми на помощ великому князю на новгородцы. А изо Пскова прииде к великому князю в Торжек посланник, возвѣщая иже к Новуграду сами готови всѣ. Великий же князь посла к ним, веляше им без закоснѣния ити к Новуграду. Сам же великий князь поиде ис Торжку; такоже и братия великаго князя кийждо от своих мѣст поидоша со многими людми разными пути к Новуграду; такоже и воеводы идяху, кийждо на кое мѣсто послан.	И пришел 24 июня на Волок, в самый праздник Рождества Предтечи; а в богоспасаемом граде Москве оставил сына своего, великого князя Ивана, с которым оставил в Москве брата своего, князя Андрея Меньшого; в праздник же святых верховных апостолов Петра и Павла пришел он в Торжок. И тут пришли к нему воеводы великого князя тверского князь Юрий Андреевич Дорогобужский и Иван Никитич Жито со множеством людей помогать великому князю против новгородцев. А из Пскова пришел в Торжок к великому князю посланец возвестить, что все <псковичи> готовятся сами идти на Новгород. И великий князь через посланца повелел им без промедления идти к Новгороду. Сам же великий князь выступил из Торжка; и великого князя братья также каждый из своих мест выступили разными путями со множеством людей к Новгороду; также и воеводы пошли, каждый куда был послан.
