СМИРЕННАГО ИНОКА ФОМЫ СЛОВО ПОХВАЛНОЕ[1] О БЛАГОВѢРНОМ ВЕЛИКОМЪ КНЯЗИ БОРИСѢ АЛЕКСАНДРОВИЧЕ	СМИРЕННОГО ИНОКА ФОМЫ СЛОВО ПОХВАЛЬНОЕ О БЛАГОВЕРНОМ ВЕЛИКОМ КНЯЗЕ БОРИСЕ АЛЕКСАНДРОВИЧЕ
И ту наехалъ есми папу римьскаго Евгениа,[27] и святаго царя цариградскаго Иоанна, и вселеньскаго патриарха Иосифа,[28] и весь святый Вселеньский съборъ. А с патриархом было митрополитовъ 22. И Фома же, посолъ великаго князя Бориса Александровичя, подаде царю писание, и еже име в руцѣ своей. И царь же повели чести е предо всим народомъ, и иже сущим окрестъ его.	И здесь встретил я папу римского Евгения, и святого царя цареградского Иоанна, и вселенского патриарха Иосифа, и весь святой Вселенский собор. А с патриархом было двадцать два митрополита. И тот Фома, посол великого князя Бориса Александровича, подал царю послание, которое было у него в руках. И царь повелел читать его пред всеми людьми, бывшими окрест него.
И егда же прочтеться писание, еже от великаго князя Бориса Алексанъдровичя ко царю о православной вирѣ извѣстуе укрѣпление, и вси убо ту удивишася о величествие дара Божиа, и иже тому от Бога даровася. Царь же въздохнувъ из глубины сердца и рече: «И да хвалимъ убо и прославляемъ хвалимаго от ангелъ беспрестани Бога и поклонимься ему, и емуже кланяються херувими и серафими беспрестани, и яко такова князя даровалъ есть Богъ Руской земли и намъ пособника по вирѣ крестьяньстей». И вселеньский же патриархъ Иосифъ рече: «Ветхаи мимо идоша, и новая вамъ възвѣщаю: вира благодатная от нашея земли Греческыя да и до Рускыя земли простреся, евангельский же источникъ наводънившеся, и лѣпо и намъ с великымъ княземъ Борисомъ славити святую Троицу. И яко такова князя в Руси николиже слышахомъ». И по сем вси митрополиты начаша ублажати великого князя Бориса, и единъ по единому кождо ихъ.	И когда было прочтено послание, извещающее царя о крепости в православной вере великого князя Бориса Александровича, тогда все, бывшие там, удивились величию дара Божия, дарованного (князю) от Господа. Царь же, вздохнув из глубины сердца, изрек: «Восхвалим и прославим Бога, беспрестанно славимого ангелами, и поклонимся тому, кому непрестанно кланяются херувимы и серафимы, за то, что такового князя даровал Бог Русской земле, а нам пособника в вере христианской». А вселенский патриарх Иосиф сказал: «Старое миновало, новое же вам возвещаю: вера благодатная распространилась от нашей Греческой земли вплоть до Русской земли, евангельский источник исполнился вод, и хорошо нам вместе с великим князем Борисом славить святую Троицу. А подобного князя на Руси мы никогда не знавали». И затем все митрополиты стали восхвалять великого князя Бориса, один за другим каждый из них.
Ираклийский митрополитъ Антоней рече:[29] «И азъ по силѣ своей хощу дати хвалу Богу и великому князю Борису, и якоже есми его видил, и яже о немъ слышю: от дѣтскиа младости и паче всего Христа възлюбивъ, и възмуживъ же, и крѣпостию съвершаяся, а мужство...[30] сти же и силѣ. И каково ти благодарение въздамъ, и яко толико святителие о твоей добродители повѣстують».	Гераклитский митрополит Антоний сказал: «И я в меру силы моей хочу воздать хвалу Богу и великому князю Борису, насколько (смог) я узнать о нем, и что о нем слышу: с детских лет больше всего Христа возлюбив, и возмужав, и приближаясь к зрелости, и мужство... И как возблагодарю тебя, когда столь много повествуют святители о твоей добродетели».
Трапезоньский же митрополитъ Дорофий рече: «Писано бо есть, яко от двою или триехъ свѣдителей станетъ всякъ глаголъ истиненъ.[31] Не токмо бо единымъ кымъ хвалимо имя его, великаго князя Бориса Александровича, но того бо ради бысть славимо имя его, от конець земли исходяще и в море».	А трапезундский митрополит Дорофей сказал: «В Писании сказано, что (присутствием) двух или трех свидетелей подтверждается истинность всякого слова. А имя великого князя Бориса Александровича не только кем-то одним восхваляется, но прославляется имя его от края земли и до моря».
Кизицкий же митрополитъ Митрофанъ рече: «Что тя нареку, христолюбче, великий князь Борисе! Но воистинну еси другъ правдѣ, а смыслу мѣсто, и милостыни гнѣздо».	А кизикский митрополит Митрофан сказал: «Как нареку тебя, христолюбец, великий князь Борис! Воистину ты друг правды, вместилище мудрости, гнездо милосердия».
Никийский же митрополитъ Висарионъ рече: «И аще бы сей здѣ былъ самъ великий князь Борисъ Александровичъ, и то быхъ въспросилъ его, какъ вниде в него страхъ Божий и како разгорися в немъ любовъ Христова, и како възлюби Христа выше земных мудрець. И есть бо мнозии велицеи князи на Руси, но не доспѣша таковаго тщаниа и труда, еже послати и видѣти святый сей соборъ, и якоже сей великий князь Борис.	А никейский митрополит Виссарион сказал: «Если бы был здесь сам великий князь Борис Александрович, то я бы вопросил его, как вошел в него страх Божий, как разгорелась в нем любовь Христова и как возлюбил Христа больше земных мудрецов. Ибо хоть и много есть великих князей на Руси, но никто не возымел такой заботы и труда, чтобы направить послов и знать об этом святом соборе, как сей великий князь Борис».
Никомидѣйский же митрополитъ Макарей рече: «Брате Висарионе, и аще и нѣсть здѣ самого великаго князя Бориса, и с кымъ бы намъ побесѣдовати о его мужествѣ и смысле, и мы въспросимъ посла великаго князя Бориса». И рече: «Повижь нам, Фомо, после великаго самодержавнаго, откуду се припахну благоухание на великаго князя Бориса, и откуду сий испи памяти жизнь сладкую чашу, и толикии труды показа, и ихъже инъ никтоже показа в Руси».	А никомидийский митрополит Макарий сказал: «Брат Виссарион, хоть и нет здесь самого великого князя Бориса, с кем бы нам следовало побеседовать о его мужестве и мудрости, но мы расспросим посла великого князя Бориса». И сказал: «Поведай нам, Фома, посол великого самодержца, откуда припахнуло благоухание на великого князя Бориса и как смог он испить сладкую чашу смысла жизни, и явить таковые труды, каких никто не являл на Руси».
Лакомидѣйский митрополитъ Мефедей рече: «Но кто исповѣсть великаго князя Бориса Александровичя многыя нощныя милостыня и дневныя щедроты и ко всѣм требующимъ милость и якоже о немъ слышахомъ».	Лакедемонский митрополит Мефодий сказал: «Кто возвестит многие милостыни великого князя Бориса Александровича, (подаваемые) ночью, и щедроты, (изливаемые) днем, ко всем нуждающимся в милосердии, о которых мы слышали!»
Терновский же митрополитъ Игнатей рече: «Созываетъ нас обычное слово к похвалѣ великаго князя Бориса. Но подобаетъ вамъ и еще приложити ему похвалу, и да не оскудно слово ваше будет».	А тырновский митрополит Игнатий сказал: «Созывает нас обычай на похвальное слово великому князю Борису. Но подобает вам умножить похвалу ему, и да не оскудевает слово ваше».
Амасийский же митрополитъ Иасафъ рече: «От нивы жатва, а от винограда плоды снѣдныя. Иже нива пожата будет, исщиститься, а лоза, егда обѣзана будет, тои и смириться. А слава великого князя Бориса, иже на всякъ день повсюду слышана, не оскудиваетъ».	Амасийский же митрополит Иоасаф сказал: «От нивы — урожай, а от виноградной лозы — плоды. Нива, когда пожнут ее, опустеет, а лоза, когда ее срежут, захиреет. Слава же великого князя Бориса, которая разносится всякий день повсюду, не оскудевает».
Молодовский же митрополитъ Димианъ рече: «Чюдна есть святыхъ отець и похвалениа о великомъ князи Борисе, и свѣтло есть его благочестие простреся по всей земли».	А молдавский митрополит Дамиан сказал: «Дивны похвалы святых отцов великому князю Борису, и светло простерлась (весть) о его благочестии по всей земле».
Ставропольский же митрополитъ Исаиа рече: «И азъ же слышю великаго князя Бориса житие его аки блаженнаго Иакова, а незлобие же Моисиово, и благоговиние целомудреннаго Иосифа».	А ставропольский митрополит Исайя сказал: «И я слышу о великом князе Борисе, что житие его — как у блаженного Иакова, а незлобивость — Моисеева, а благочестие — целомудренного Иосифа».
Родоский же митрополитъ Нафанаилъ рече: «Есть ми мала нужа днесь к вашей любви и совѣщати множеству глаголемыхъ, и не слышимъ бо иного князя таковаго в Руси, и якоже великий князь Борисъ».	А родосский митрополит Нафанаил сказал: «Следует мне ныне присоединиться ко множеству того, что сказано здесь вашей любовью, ибо не знаем другого такого князя на Руси, каков великий князь Борис».
Милитинский же митрополитъ рече: «Милостыни же и щедроты великого князя Бориса по всимъ землямъ поминаеми суть».	А мителенский митрополит сказал: «О милостях и щедротах великого князя Бориса говорят во всех землях».
Драмаский же митрополитъ Дорофий рече: «Но много деръзновениа имѣетъ к Богу великий князь Борисъ. И помагаетъ ми слово написанное: “И милость на судии хвалиться”;[32] “Блажени милостиви, яко ти помиловани будутъ”.[33] Тако же и великаго князя Бориса милостыни и щедроты, не токъмо в Руской земли творимая, но и до Царствующаго града и до Святыя горы,[34] реку же, и до самого Иеросалима дотече, и якоже нѣкая денница».	А драмасский митрополит Дорофей сказал: «Имеет большое дерзновение пред Богом великий князь Борис. Да поможет мне (это сказать) слово Писания: “Судия славен милосердием”; “Блаженны милостивые, ибо они помилованы будут”. Так вот и великого князя Бориса милостыни и щедроты творятся не только в Русской земле, но, как свет зари, разлились до самого Царьграда, и до Святой горы, и даже скажу — до самого Иерусалима».
Мелетиньский же митрополитъ Матфѣй рече: «Кый убо есть разумъ или кый умъ постигнути можетъ повестование о великомъ князи Борисѣ, и якоже какъ о немъ слышимъ».	А меленикский митрополит Матфей сказал: «Чья мысль и чей разум может постигнуть повествуемое о великом князе Борисе, то, что о нем мы слышим».
Тритриасийский митрополитъ Калистъ рече: «Аще ли есть вѣра права, то и дѣла благочестиваго великаго князя Бориса, якоже о немъ повестуетъ святый соборъ».	Титриасийский митрополит Каллист сказал: «Как праведна вера, так (праведны) и дела благочестивого великого князя Бориса, как повествует о нем святой собор».
Ганский же митрополитъ Генадий рече: «Изъ Христова послушества приведу всѣмъ вамъ: “И аще ли кто напоитъ чашу воды въ имя ученика, и той мъзду прииметь”.[35] И князь же великий Борис не единого напиталъ, ни дву, ни 10, ни градъ, но многы грады и области припиталъ во своей отчинѣ».	А ганский митрополит Геннадий сказал: «Из Христова поучения напомню вам всем: “Кто напоит чашею воды во имя ученика, получит награду”. А великий князь Борис напоил не одного, не двоих, не десятерых, не один-единственный город, но многие города и земли в своем отечестве накормил он».
Афилонский же митрополитъ Софроний рече: «И есть же сладостенъ убо райский цвѣт, и сладъчае того слышати великого князя Бориса».	Афилонский же митрополит Софроний сказал: «Сладостен райский плод, но слаще того слышать великого князя Бориса».
Иверский же митрополитъ Иона рече: «И азъ мню великаго князя Бориса, подобенъ есть великому царю Констянтину. Онъ бо съ святыми отци на 1-м съборѣ былъ.[36] А великий князь Борисъ с нынѣшними отци въ Ферарѣ, присла своего боярина, а самому бо ему не бывше за то долготы и ради путныя».	А иверский митрополит Иона сказал: «Я мыслю великого князя Бориса подобным великому царю Константину. Ибо тот со святыми отцами на Первом соборе был. А великий князь Борис — с нынешними отцами в Ферраре, прислал своего боярина, а сам не прибыл (только) из-за долготы пути».
Сардийский же митрополитъ Дионисий рече: «Добро есть всѣмъ намъ возопити вѣровавъшимъ святописцу Давыду: “Сий день, иже сътвори Господь! Възрадуемся и възвеселимься во нъ!”[37] Но воистинну възрадоватися намъ подобаетъ, слышащи такова государя. И егоже желахом, того и увидѣхомъ, и егоже чаяхомъ, и того и усмотрихом, и якоже великъ намъ пособникъ по вѣрѣ христианской князь великий Борисъ. И нынѣ же в немъ и в насъ едина вѣра, и едино крещение, и едино поклоняние святыя Троици, Отца, и Сына, и Святаго Духа».	А сардийский митрополит Дионисий сказал: «Подобает нам всем, верующим святому псалмописцу Давыду, возопить: “Вот день, который сотворил Господь! Возрадуемся и возвеселимся ныне!” И воистину возрадоваться нам подобает, слыша о таком государе. Ведь чего мы желали, то и увидели, и чего чаяли, то и усмотрели — что великий нам пособник в вере христианской великий князь Борис. Ведь ныне у него и у нас одна вера, одно крещение, одно исповедание святой Троицы — Отца, и Сына, и Святого Духа».
И сиа же похвала святыхъ отець о великомъ князѣ Борисѣ и слышавъ же Фома, посолъ тфѣрский. И егда онемъ святымъ отцемъ глаголящимъ еденъ по единому, и тогда онъ вся глаголы повелѣ писати, и принесе на Русь. И мы же почтохомъ такова писаниа и удивихомься,[38] и якоже они ни видѣша, ни знаша великого государя, токмо слышаша, и написаша таковая похвалениа. А мы же повсегда трапезе его съпричастници быхомъ и его здравиемъ в велицей тишинѣ пребываемъ, и какъ умолчимъ изрядныя его добродители. Писано бо есть: «И аще ли кто близъ златаря приидетъ и аще бо от злата того прииметь нѣкую лучю; или кто на высокое мѣсто взыдет, и аще ли будетъ и велми малъ, но далече видитъ». Тако же и азъ, почетшу онѣхъ отець похвалениа о великомъ князѣ Борнсѣ, и да приведу посреди тоя похвалы и азъ похвалу великому князю Борису Александровичю.	И таковую похвалу святых отцов великому князю Борису слышал Фома, посол тверской. И в то время как эти святые отцы один за другим говорили, он повелел записывать все их слова и принес на Русь. Мы же прочли записанное и подивились тому, как они, не видевши, не зная великого государя, только слышав о нем, смогли написать такие похвалы. А мы, постоянно бываем сопричастниками его трапезы и в великой тишине пребываем его заботами, — как мы умолчим о необычайной его добродетели? Ибо писано: «Если кто приблизится к золотых дел мастеру, не приимет ли тот от золота хоть один луч, или тот, кто взойдет на возвышенное место, не будет ли видеть далеко, хотя бы был и весьма мал?» Так вот, прочитав этих отцов восхваления великому князю Борису, приведу же и я среди тех похвал (свою) похвалу великому князю Борису Александровичу.
