ЖИТЬЕ И ХОЖЕНЬЕ ДАНИЛА РУСЬСКЫЯ ЗЕМЛИ ИГУМЕНА	ЖИТИЕ И ХОЖДЕНИЕ ИГУМЕНА ДАНИИЛА ИЗ РУССКОЙ ЗЕМЛИ
А отъ Кариа до Патма острова верстъ 60. На странѣ далече в мори Патмъ остров. В томъ островѣ Иоаннъ Богословець Еуангелие написал, егда заточен бысть с Прохором. Таже оттуда Леросъ островъ, таже Калимнос островъ, таже Нисера островъ, таж и Кос островъ, велик зѣло. Тот островъ богатъ велми всѣмъ, и людьми, и скотом. Таже Тилос островъ, и въ сѣм островѣ мука Иродова кипит сѣрою горящею; и ту сѣру, варяче, продають, мы же огнь вытинаемъ. Таже Харкия островъ. И ти острови вси с людми и скотом близь себе суть по ряду, яко по десяти верстъ или болши межи собою.	А от Кария до острова Патма верст шестьдесят. В стороне, далеко в море остров Патм. На том острове Иоанн Богослов написал Евангелие, когда был заточен с Прохором. Далее оттуда — остров Лерос, затем остров Калимнос, затем остров Нисера, а также и остров Кос, очень большой. Тот остров весьма всем богат: и людьми, и скотом. Далее — остров Тилос, на этом острове мука Иродова кипит горящею серою; и эту серу, сварив, продают, мы же ею огонь высекаем. Далее — Харкия-остров. И все те острова, полные людьми и скотом, стоят в ряд, близко один к другому, примерно по десять верст или больше имея между собою.
Таже Род островъ,[28] велик и богатъ всѣм велми. И в томъ островѣ был Олегь князь русскый 2 лѣтѣ и 2 зимѣ.[29] А от Сама до Рода острова 200 верстъ, а от Рода до Макрии[30] 60 верстъ. И въ том градѣ и по земли той по всей, нолны до Миръ, ту ражаеться темьянъ черный игоифит.[31]	Далее — остров Род, большой и очень всем богатый. На том острове был Олег, русский князь, два лета и две зимы. А от Сама до острова Рода двести верст, а от Рода до Макрии шестьдесят верст. И в том городе, и по всей той земле до самых Мир — там родится черный фимиам гомфит.
И тако ражаеться темьанъ черный игофит: из древа исходит аки мезга, и снимают желѣзом острым. Имя древу тому зигия,[32] и есть яко олха образом древо то. А другое древце есть мало, образом яко осина, но есть имя древцю тому рака;[33] и есть въ древци том червь великъ, яко поноровъ[34] вболѣ есть, за корою древца того. И точит древце то черв-етъ, и исходит из древца того червоточина та, яко отруби пшеничны, и падают от древця того, яко клей вышневый. И то сбирают людие и смѣшивают с первореченным древом и, вложивше в котел, и тако варят темианъ гоифит; и кидають в мѣхи, продають купцем.	Вот как добывается черный фимиам гомфит: из дерева исходит как бы смола, и ее снимают острым железом. Называется то дерево зигия, а по виду оно похоже на ольху. А другое небольшое деревце похоже на осину, но название того деревца рака; в том деревце водится большой червь, по величине как поноров, за корою того деревца. И точит этот червь то деревце, и исходит из этого деревца труха, как пшеничные отруби, и падает с деревца того, словно вишневый клей. И люди собирают его, смешивают с вышеназванным деревом и, положив в котел, так варят фимиам гомфит; и кладут в мешки, продают купцам.
А от Макрии до Патера града[35] верстъ 40. И ту есть рожество святаго Николы, то его есть и отчина и род — Петера. А от Патеры до Миръ,[36] идѣже гробъ святаго Николы, есть верстъ 40. А от Миръ до Хилидония[37] верстъ 60. А от Хилидония до Кипра великаго острова верстъ 200.	А от Макрии до города Патера верст сорок. Здесь родился святой Никола; это его отчизна и родина — Патера. А от Патеры до Мир, где гроб святого Николы, сорок верст. А от Мир до Хилидония шестьдесят верст. А от Хилидония до Кипра, великого острова, верст двести.
О КИПРЬСТѢМ ОСТРОВѢ	О КИПРСКОМ ОСТРОВЕ
Кипръ есть островъ великъ зѣло, и множество в нем людий, и обиленъ есть всѣм добром. И суть в нем епископи 24, митрополия же едина. А святыхъ въ нем бе-щисла лежит: и ту лежит святый Епифание,[38] и апостолъ Варнава,[39] и святый Зинон,[40] и святый Трифолие епископъ,[41] и святый Филагриос епископ[42] егоже крестилъ апостолъ Павелъ.	Кипр — очень большой остров, и множество на нем людей, и изобилует он всяческим добром. На нем двадцать четыре епископа, митрополия же одна. И святых на нем лежит без числа: там лежат святой Епифаний, и апостол Варнава, и святой Зинон, и святой епископ Трифолий, и святой Филагриос епископ, которого крестил апостол Павел.
О ГОРѢ, ИДѢЖЕ СВЯТАА ЕЛЕНА КРЕСТ ПОСТАВИЛА	О ГОРЕ, ГДЕ СВЯТАЯ ЕЛЕНА ПОСТАВИЛА КРЕСТ
И ту есть гора высока зѣло, и на той горѣ святаа Елена крестъ поставила[43] кипарисенъ велик на прогнание бѣсомъ и всякому недугу на исцѣление и вложила въ крестъ честный гвоздь Христовъ. И бывають ту, на мѣстѣ том у креста того, знамения велика и чюдеса и донынѣ. Стоит же на въздусѣ крест-отъ, ничим же не придержится к земли, но тако Духомъ Святымъ носимъ есть на въздусѣ. И ту недостойный азъ поклонихся святыни той чюдной, и видѣхъ очима своима грѣшныма благодать Божию на мѣстѣ том, и походих островъ тъи весь добрѣ.	И есть там очень высокая гора, а на той горе святая Елена крест поставила кипарисный большой для прогнания бесов и исцеления всякого недуга и вложила в крест честной гвоздь Христов. И бывают там, на том месте, у креста того, знамения великие и чудеса и доныне. Стоит же тот крест на воздухе, ничем не будучи прикреплен к земле, но так, Духом Святым носим в воздухе. И тут я, недостойный, поклонился святыне той чудной, и видел глазами своими грешными благодать Божию на месте том, и исходил весь тот остров как следует.
О ФИНИЯНѢ	О ФИМИАМЕ
И ту ражаеться темиянъ, ладан: спадает с небесе, и тако взимают на древцих. Суть бо по горамъ тѣмъ древца многа и низка, с травою равна, и на том падаеть темианъ тъ добрый. И емлють его июля мѣсяца и августа; въ иныя же мѣсяци не спадывает, но токмо в та два ражаеться.	И там родится фимиам, ладан: он спадает с небес, и его собирают на деревцах. Много ведь в тех горах деревцев низких, с травой равных, на них и падет фимиам тот хороший. Собирают его в июле месяце и в августе; в другие же месяцы не выпадает; но только в те два родится.
А Кипра до Яфа града верстъ 400, все по морю ити. От Царяграда до Рода острова 8 сот верстъ; а от Рода до Афа 8 сот верстъ. То ти всего пути по морю до Афа есть верстъ 1000 и 600. Яфъ же есть град на брезѣ близь Иерусалима, и оттоли поити по суху къ Иерусалиму. И есть от Афа до Иерусалима верстъ 30, по полю 10 верстъ или до святаго Георгиа:[44] ту была церковь велика создана во имя святаго Георгиа, ту бо и гроб его во олтари был, ту же есть мученикъ святый Георгие. И воды многи суть ту; и ту опочивають странници у воды тоя, но съ страхом великим: есть бо пусто мѣсто то, и близь есть Асколонь град,[45] выходять бо оттуду срацини и избивають странныя на путѣхъ тѣх, да ту есть боязнь велика, от мѣста того входя в горы. И есть от святаго Георгиа до Иерусалима верстъ 20 великих, но все въ горахъ каменых. И тий путь тяжекъ и страшенъ зѣло.	А от Кипра до города Яффы верст четыреста, все по морю. От Царьграда до острова Рода восемьсот верст, и от Рода до Яффы восемьсот верст. Всего же пути по морю до Яффы тысяча шестьсот верст. Яффа же — город на берегу недалеко от Иерусалима, оттуда посуху надо идти к Иерусалиму. По полю десять верст ходу до святого Георгия: тут была большая церковь, построенная во имя святого Георгия, там же и гроб его был в алтаре, тут ведь и замучен был святой Георгий. И воды там много; и там отдыхают странники, у той воды, но — с большим страхом, ибо место это пустое и близок город Аскалон, а оттуда выходят сарацины и избивают странников на тех путях, так что очень боязно от места того входить в горы. От святого Георгия до Иерусалима двадцать больших верст, но все в горах каменных. Путь тут и тяжел, и очень страшен.
О ГОРѢ АРМАФЕМ	О ГОРЕ АРМАФЕМ
И ту есть гора высока, близь Иерусалима, на десной руцѣ тамо идуще от Афа, имя горѣ той Армафемъ. На той горѣ той Армафемъ — на той горѣ есть гробъ святаго пророка Самоиля, и отца Елъкана, и Марьи Египтяныни,[46] ту бо святых было село и домъ. И есть мѣсто то градом одѣлано, да тако зоветься град-от Армафемъ.	И есть там гора высокая около Иерусалима, с правой стороны, если идешь от Яффы; название той горы Армафем. На той горе Армафем находится гроб святого пророка Самуила, и отца Елкана, и Марьи Египтянки, ибо тут святых было село, и дом. И обнесено то место оградой, и это огороженное место тоже называется Армафем.
О ЕРУСАЛИМѢ	О ИЕРУСАЛИМЕ
Есть же святый град Иеросалим в дербех, около его горы каменыи высокы. Да нолны пришедше близь ко граду тоже видѣти пръвое столпъ Давидовъ[47] и потом, дошедше мало, увидѣти Елеоньскую гору,[48] и Святаа Святых,[49] и Въскресение церковь, идѣже есть Гробъ Господень, и узрѣти потом весь град. И ту есть гора равъна о пути близь града Иерусалима яко версты вдале; на той горѣ ссѣдают с конь вси людие и поставляють крестьци ту и покланяются святому Въскресению на дозорѣ граду. И бываеть тогда радость велика всякому християнину, видѣвше святый град Иерусалимъ; и ту слезамъ пролитье бываеть от вѣрныхъ человѣкъ. Никтоже бо можеть не прослезитися, узрѣвъ желанную ту землю и мѣста святаа вида, идѣже Христосъ Богъ нашь претрьпѣ страсти нас ради грѣшных. И идуть вси пѣши с радостию великою къ граду Иерусалиму.	Святой город Иерусалим расположен в теснине, вплотную около него — высокие каменные горы. Подходя уже к самому городу, видишь сначала столп Давидов, а потом, пройдя немного, видишь Елеонскую гору, и Святая Святых, и церковь Воскресения, где находится Гроб Господен, и потом видишь весь город. И есть там пологая гора вблизи от дороги, на расстоянии примерно версты до Иерусалима, — на той горе ссаживаются с коней все люди, и кладут там крестные поклоны, и поклоняются святому Воскресению на виду у города. И испытывает тогда всякий христианин огромную радость, видя святой город Иерусалим, и слезы льются тут у верных людей. Никто ведь не может не прослезиться, увидев эту желанную землю и видя святые места, где Христос Бог наш претерпел страсти нас ради, грешных. И идут все пешком с радостью великою к городу Иерусалиму.
И ту есть на левой руцѣ у пути, тамо идучи, церкви святаго Стефана Первомученика:[50] на том мѣстѣ побиенъ бысть камениемъ Стефанъ Прьвомученикъ от июдѣй, и ту есть гроб его. И ту есть гора камена плоска просѣлася в распятие Христво; то зоветься Адъ; есть близь стѣны градныя, яко доверъжет.	И стоит здесь, по левую руку от дороги, когда там проходишь, церковь святого Стефана Первомученика: на том месте Стефан Первомученик был побит иудеями, там находится и гроб его. И тут есть гора каменная плоская — она просела во время распятия Христова; то место зовется Ад; оно находится около городской стены, на расстоянии примерно броска.
И потом входять въ святый град Иерусалимъ вси людие с радостию великою враты, сущими близь сына Давыдова. И та суть врата от Вифлеома[51] лиць, и ту суть врата Венияминова.[52] Яко воидуче въ градъ, путь есть сквозѣ град въ Святаа Святыхъ на правую руку, а на левую къ Святому Въскресению,[53] идеже есть Гроб Господень.[54]	И потом все люди с великой радостью входят в святой город Иерусалим через ворота, находящиеся около столпа Давидова. Те ворота — со стороны Вифлеема; это ворота Вениаминовы. Войдя в город, видишь по правую руку дорогу через город в Святая Святых, а по левую — к святому Воскресению, где находится Гроб Господен.
О ЦЕРКВИ ВЪСКРЕСЕНЬЯ ГОСПОДНЯ	О ЦЕРКВИ ВОСКРЕСЕНИЯ ГОСПОДНЯ
Есть церкви Въскресениа Господня всяка образом: кругло создана, столповъ имат 12 обьлых, а 6 зданыхъ; мощена же есть дъсками мраморяными красно; двери же имат шестеры; а на полатех столпов имат 16. А над полатьми под верхом исписани суть пророци святии мусиею, яко живи стоятъ. А над олтарем написан есть Христос мусиею. Въ олатри же велицѣм написано есть Адамово воздвижение[55] мусиею; горѣ верху написано есть мусиею възнесение Господне,[56] обаполы олтаря на обою столпу написано есть мусиею Благовѣщение.[57] Врьхъ же церковный не до конца сведенъ каменемъ, но тако сперенъ есть древом тесаным, яко полъстичнымъ образом; и тако есть безъ верха, не покрыта ничимже. Под тым самым врьхом непокрытым Гробъ Господень.	Церковь Воскресения Господня такова: по форме она круглая; в ней двенадцать круглых цельных столпов, а шесть сложенных; она красиво вымощена мраморными плитами; дверей у нее шесть; а на хорах у нее шестнадцать столпов. А над хорами на потолке мозаичное изображение святых пророков — как живые стоят. А над алтарем мозаикой изображен Христос. В алтаре же великом мозаика изображает воздвижение Адама, дальше кверху — мозаичное изображение вознесения Господня; на обоих столпах по сторонам алтаря изображено мозаикою Благовещение. Верх же церкви не до конца сведен камнем, но расперт каркасом из тесаного дерева, так что она без верха, ничем не покрыта. Под самым же тем непокрытым верхом — Гроб Господен.
Есть же сице Гробъ Господень: яко печерка мала у камени сѣчена, дерци имущи малы, яко можеть человѣкъ влѣсти на колѣну поклонься. Възвыше же есть мала, всямокачна 4 лакоть и в длину и в ширину. И яко влѣзуче в пещерку ту дверцами малыми, и на деснѣй руцѣ есть яко лавица засѣчена въ томже камени пещерьнѣмъ, и на той лавицѣ лежа тѣло Господа нашего Исуса Христа. Есть нынѣ лавица та святая покрыта дъсками мраморяными. Суть на странѣ продѣлана оконца 3 кругла, и тѣми оконци видиться святый тъ камень, и тудѣ цѣлують вси христьяне. Висит же в Гробѣ Господни 5 кандил великих с маслом, и горят беспрестани кандила свята день и нощь. Лавица же та святаа, идѣже лежало тѣло Христово, есть в длину 4 лакот, а в ширину 2 лакти, а възвыше полулакти. И пред дверми пещерными предлежить камень, треи стопъ вдале от дверець тѣх пещерных: на том камени аггелъ, сѣдя, явися женамъ и благовѣсти има въскресение Христово.	Гроб же Господен собою таков: это как бы маленькая пещерка, высеченная в камне, с небольшими дверцами, через которые может, став на колени, войти человек. В высоту она мала, а в длину и в ширину одинаково четыре локтя. И когда входишь в эту пещерку через маленькие дверцы, по правую руку — как бы скамья, высеченная в том же пещерном камне: на той скамье лежало тело Господа нашего Иисуса Христа. Сейчас та святая скамья покрыта мраморными плитами. Сбоку проделаны три круглых оконца, и через эти оконца виден этот святой камень, и туда целуют все христиане. Пять больших лампад с маслом висят в Гробе Господнем, и горят беспрестанно лампады святые день и ночь. Скамья ж та святая, где лежало тело Христово, в длину четыре локтя, в ширину два локтя, а по высоте пол-локтя. Перед дверьми пещеры лежит камень — на расстоянии трех стоп от тех пещерных дверец: на том камне, сидя, ангел явился женам и благовестовал им о воскресении Христовом.
