СЛОВО О ПЛЪКУ ИГОРЕВѢ, ИГОРЯ, СЫНА СВЯТЪСЛАВЛЯ, ВНУКА ОЛЬГОВА[1]	СЛОВО О ПОХОДЕ ИГОРЕВОМ, ИГОРЯ, СЫНА СВЯТОСЛАВОВА, ВНУКА ОЛЕГОВА
Съ зарания въ пятъкъ потопташа поганыя плъкы половецкыя и, рассушясь стрѣлами по полю, помчаша красныя дѣвкы половецкыя, а съ ними злато, и паволокы, и драгыя оксамиты,[22] Орьтъмами, и япончицами, и кожухы[23] начашя мосты мостити по болотомъ и грязивымъ мѣстомъ, и всякыми узорочьи половѣцкыми. Чрьленъ стягъ, бѣла хорюговь, чрьлена чолка, сребрено стружие — храброму Святьславличю!	Спозаранку в пятницу потоптали они поганые полки половецкие и, рассыпавшись стрелами по полю, помчали красных девушек половецких, а с ними золото, и паволоки, и дорогие аксамиты. Покрывалами, и плащами, и одеждами, и всякими нарядами половецкими стали мосты мостить по болотам и топям. Червленый стяг, белая хоругвь, червленый бунчук, серебряное древко — храброму Святославичу!
Дремлетъ въ полѣ Ольгово хороброе гнѣздо. Далече залетѣло! Не было онъ обидѣ порождено ни соколу, ни кречету, ни тебѣ, чръный воронъ, поганый половчине! Гзакъ бѣжитъ сѣрымъ влъкомъ, Кончакъ[24] ему слѣдъ править къ Дону Великому.	Дремлет в поле Олегово храброе гнездо. Далеко залетело! Не было оно на обиду рождено ни соколу, ни кречету, ни тебе, черный ворон, поганый половчанин! Гзак бежит серым волком, Кончак ему путь прокладывает к Дону великому.
Другаго дни велми рано кровавыя зори свѣтъ повѣдаютъ, чръныя тучя съ моря идутъ, хотятъ прикрыти 4 солнца, а въ нихъ трепещуть синии млънии. Быти грому великому, итти дождю стрѣлами съ Дону Великаго! Ту ся копиемъ приламати, ту ся саблямъ потручяти о шеломы половецкыя, на рѣцѣ на Каялѣ,[25] у Дону Великаго.	На другой день раным-рано кровавые зори рассвет возвещают, черные тучи с моря идут, хотят прикрыть четыре солнца, а в них трепещут синие молнии. Быть грому великому, идти дождю стрелами с Дона великого! Тут копьям преломиться, тут саблям иступиться о шлемы половецкие, на реке на Каяле, у Дона великого.
О Руская землѣ! Уже за шеломянемъ еси!	О Русская земля! Уже за холмом ты!
Се вѣтри, Стрибожи внуци,[26] вѣютъ съ моря стрѣлами на храбрыя плъкы Игоревы. Земля тутнетъ, рѣкы мутно текуть, пороси поля прикрываютъ, стязи глаголютъ: «Половци идуть»; отъ Дона, и отъ моря, и отъ всѣхъ странъ рускыя плъкы оступиша. Дѣти бѣсови кликомъ поля прегородиша, а храбрии русици преградиша чрълеными щиты.	А вот уже ветры, Стрибожьи внуки, веют с моря стрелами на храбрые полки Игоря. Земля гудит, реки мутно текут, пыль поля покрывает, стяги вещают: «Половцы идут!», — от Дона, и от моря, и со всех сторон обступили они русские полки. Дети бесовы кликом поля перегородили, а храбрые русичи перегородили червлеными щитами.
Яръ Туре Всеволодѣ! Стоиши на борони, прыщеши на вои стрѣлами, гремлеши о шеломы мечи харалужными.[27] Камо, Туръ, поскочяше, своимъ златымъ шеломомъ посвѣчивая,[28] — тамо лежатъ поганыя головы половецкыя, поскепаны саблями калеными шеломы оварьскыя[29] отъ тебе, Яръ Туре Всеволоде! Кая рана дорога, братие, забывъ чти и живота, и града Чрънигова отня злата стола,[30] и своя милыя хоти, красныя Глѣбовны,[31] свычая и обычая!	Яр-Тур Всеволод! Стоишь ты всех впереди, осыпаешь воинов стрелами, гремишь по шлемам мечами булатными. Куда, Тур, ни поскачешь, своим золотым шлемом посвечивая, — там лежат головы поганых половцев, расщеплены саблями калеными шлемы аварские от твоей руки, Яр-Тур Всеволод! Какая рана удержит, братья, того, кто забыл о почестях и богатстве, забыл и города Чернигова отцовский золотой престол, и своей милой жены, прекрасной Глебовны, любовь и ласку!
Были вѣчи Трояни, минула лѣта Ярославля, были плъци Олговы, Ольга Святьславличя.[32] Тъй бо Олегъ мечемъ крамолу коваше и стрѣлы по земли сѣяше. Ступаетъ въ златъ стремень въ градѣ Тьмутороканѣ, той же звонъ слыша давный великый Ярославь сынъ Всеволодъ, а Владимиръ по вся утра уши закладаше въ Черниговѣ.[33] Бориса же Вячеславлича слава на судъ приведе, и на Канину зелену паполому постла за обиду Олгову, храбра и млада князя. Съ тоя же Каялы[34] Святоплъкь полелѣя отца своего междю угорьскими иноходьцы ко святѣй Софии къ Киеву.[35] Тогда при Олзѣ Гориславличи сѣяшется и растяшеть усобицами, погибашеть жизнь Даждь-Божа внука, въ княжихъ крамолахъ вѣци человѣкомь скратишась. Тогда по Руской земли рѣтко ратаевѣ кикахуть, нъ часто врани граяхуть, трупиа себѣ дѣляче, а галици свою рѣчь говоряхуть, хотять полетѣти на уедие.	Были века Трояна, минули годы Ярослава, были и войны Олеговы, Олега Святославича. Тот ведь Олег мечом раздоры ковал и стрелы по земле сеял. Вступает он в золотое стремя в городе Тмутаракани, звон же тот слышал давний великий Ярославов сын Всеволод, а Владимир каждое утро уши закладывал в Чернигове. Бориса же Вячеславича жажда славы на смерть привела и на Канине зеленую паполому постлала ему за обиду Олега, храброму и молодому князю. С такой же Каялы и Святополк бережно повез отца своего между венгерскими иноходцами к святой Софии, к Киеву. Тогда при Олеге Гориславиче засевалось и прорастало усобицами, гибло достояние Даждь-Божьих внуков, в княжеских распрях век людской сокращался. Тогда на Русской земле редко пахари покрикивали, но часто вороны граяли, трупы между собой деля, а галки по-своему говорили, собираясь лететь на поживу.
То было въ ты рати, и въ ты плъкы, а сицей рати не слышано! Съ зараниа до вечера, съ вечера до свѣта летятъ стрѣлы каленыя, гримлютъ сабли о шеломы, трещатъ копиа харалужныя въ полѣ незнаемѣ среди земли Половецкыи. Чръна земля подъ копыты костьми была посѣяна, а кровию польяна; тугою взыдоша по Руской земли!	То было в те рати и в те походы, а о такой рати и не слыхано! С раннего утра и до вечера, с вечера до рассвета летят стрелы каленые, гремят сабли о шеломы, трещат копья булатные в поле чужом среди земли Половецкой. Черная земля под копытами костьми посеяна, а кровью полита; бедами взошли они на Русской земле!
Что ми шумить, что ми звенить давечя рано предъ зорями? Игорь плъкы заворочаетъ; жаль бо ему мила брата Всеволода.[36] Бишася день, бишася другый, третьяго дни къ полуднию падоша стязи[37] Игоревы. Ту ся брата разлучиста на брезѣ быстрой Каялы; ту кроваваго вина не доста, ту пиръ докончаша храбрии русичи: сваты попоиша,[38] а сами полегоша за землю Рускую. Ничить трава жалощами, а древо с тугою къ земли преклонилось.	Что шумит, что звенит в этот час рано перед зорями? Игорь полки заворачивает, ибо жаль ему милого брата Всеволода. Бились день, бились другой, на третий день к полудню пали стяги Игоревы. Тут разлучились братья на берегу быстрой Каялы; тут кровавого вина не хватило, тут пир докончили храбрые русичи: сватов напоили, а сами полегли за землю Русскую. Никнет трава от жалости, а дерево в печали к земле приклонилось.
Уже бо, братие, невеселая година въстала, уже пустыни силу прикрыла. Въстала Обида въ силахъ Дажь-Божа внука, вступила дѣвою на землю Трояню, въсплескала лебедиными крылы[39] на синѣмъ море у Дону, плещучи, убуди жирня времена. Усобица княземъ на поганыя погыбе, рекоста бо братъ брату: «Се мое, а то мое же». И начяша князи про малое «се великое» млъвити, а сами на себѣ крамолу ковати, а погании съ всѣхъ странъ прихождаху съ побѣдами на землю Рускую.	Вот уже, братья, невеселое время настало, уже пустыня войско прикрыла. Поднялась Обида в силах Даждь-Божьего внука, вступила девою на землю Трояню, всплескала лебедиными крылами на синем море у Дона, плеском вспугнула времена обилия. Затихла борьба князей с погаными, ибо сказал брат брату: «Это мое, и то мое же». И стали князья про малое «это великое» молвить и сами себе беды ковать, а поганые со всех сторон приходили с победами на землю Русскую.
О, далече заиде соколъ, птиць бья, — къ морю. А Игорева храбраго плъку не крѣсити! За нимъ кликну Карна, и Жля[40] поскочи по Руской земли, смагу людемъ мычючи въ пламянѣ розѣ.[41] Жены руския въсплакашась, аркучи: «Уже намъ своихъ милыхъ ладъ ни мыслию смыслити, ни думою сдумати, ни очима съглядати, а злата и сребра ни мало того потрепати!» А въстона бо, братие, Киевъ тугою, а Черниговъ напастьми. Тоска разлияся по Руской земли, печаль жирна тече средь земли Рускыи. А князи сами на себе крамолу коваху, а погании сами, побѣдами нарищуще на Рускую землю, емляху дань по бѣлѣ отъ двора.[42]	О, далеко залетел сокол, избивая птиц, — к морю. А Игорева храброго полка не воскресить! Вслед ему завопила Карна, и Жля помчалась по Русской земле, сея горе людям из огненного рога. Жены русские восплакались, причитая: «Уже нам своих милых лад ни в мысли помыслить, ни думою сдумать, ни очами не увидать, а золота и серебра и в руках не подержать!» И застонал, братья, Киев в горе, а Чернигов от напастей. Тоска разлилась по Русской земле, печаль потоками потекла по земле Русской. А князья сами себе невзгоды ковали, а поганые сами в победных набегах на Русскую землю брали дань по белке от двора.
Тии бо два храбрая Святъславлича, Игорь и Всеволодъ, уже лжу убудиста которою; ту бяше успилъ отецъ ихъ Святъславь[43] грозный великый Киевскый грозою, бяшеть притрепалъ своими сильными плъкы и харалужными мечи; наступи на землю Половецкую,[44] притопта хлъми и яругы, взмути рѣки и озеры, иссуши потоки и болота. А поганаго Кобяка изъ луку моря,[45] отъ желѣзныхъ великихъ плъковъ половецкихъ, яко вихръ, выторже. И падеся Кобякъ въ градѣ Киевѣ, въ гридницѣ Святъславли. Ту Нѣмци и Венедици, ту Греци и Морава поютъ славу Святъславлю, кають князя Игоря, иже погрузи жиръ во днѣ Каялы, рѣкы половецкия, рускаго злата насыпаша. Ту Игорь князь высѣдѣ изъ сѣдла злата, а въ сѣдло кощиево. Уныша бо градомъ забралы,[46] а веселие пониче.	Ведь те два храбрые Святославича, Игорь и Всеволод, непокорством зло пробудили, которое усыпил было отец их, — Святослав грозный великий киевский, — грозою своею, усмирил своими сильными полками и булатными мечами; вступил на землю Половецкую, протоптал холмы и яруги, взмутил реки и озера, иссушил потоки и болота. А поганого Кобяка из Лукоморья, из железных великих полков половецких, словно вихрем вырвал. И повержен Кобяк в городе Киеве, в гриднице Святослава. Тут немцы и венецианцы, тут греки и моравы поют славу Святославу, корят князя Игоря, который потопил благоденствие в Каяле, реке половецкой, — русское золото рассыпали. Тогда Игорь-князь пересел из золотого седла в седло невольничье. Уныли городские стены, и веселие поникло.
А Святъславь мутенъ сонъ видѣ въ Киевѣ на горахъ. «Синочи съ вечера одѣвахуть мя, — рече — чръною паполомою на кровати тисовѣ; чръпахуть ми синее вино съ трудомь смѣшено, сыпахуть ми тъщими тулы поганыхъ тльковинъ великый женчюгь на лоно, и нѣгуютъ мя. Уже дьскы безъ кнѣса[47] в моемъ теремѣ златовръсѣмъ. Всю нощь съ вечера бусови врани възграяху у Плѣсньска на болоньи, бѣша дебрь Кисаню и не сошлю къ синему морю».[48]	А Святослав тревожный сон видел в Киеве на горах. «Этой ночью с вечера одевали меня, — говорил, — черною паполомою на кровати тисовой, черпали мне синее вино, с горем смешанное, осыпали меня крупным жемчугом из пустых колчанов поганых и утешали меня. Уже доски без конька в моем тереме златоверхом. Всю ночь с вечера серые вороны граяли у Плесньска на лугу, и из дебри Кисановой понеслись к синему морю».
И ркоша бояре князю: «Уже, княже, туга умь полонила. Се бо два сокола слѣтѣста съ отня стола злата поискати града Тьмутороканя, а любо испити шеломомь Дону. Уже соколома крильца припѣшали поганыхъ саблями, а самою опуташа въ путины желѣзны. Темно бо бѣ въ 3 день: два солнца помѣркоста, оба багряная стлъпа погасоста, и въ морѣ погрузиста, и съ нима молодая мѣсяца, Олегъ и Святъславъ, тъмою ся поволокоста. На рѣцѣ на Каялѣ тьма свѣтъ покрыла: по Руской земли прострошася половци,[49] аки пардуже гнѣздо,[50] и великое буйство подасть Хинови.[51] Уже снесеся хула на хвалу; уже тресну нужда на волю; уже връжеса Дивь на землю. Се бо готския красныя дѣвы[52] въспѣша на брезѣ синему морю, звоня рускымъ златомъ, поютъ время Бусово, лелѣютъ месть Шароканю.[53] А мы уже, дружина, жадни веселия».	И сказали бояре князю: «Уже, князь, горе разум нам застилает. Вот ведь слетели два сокола с отцовского золотого престола добыть города Тмутаракани, либо испить шеломом Дону. Уже соколам крылья подрезали саблями поганых, а самих опутали в путы железные. Темно стало на третий день: два солнца померкли, оба багряные столпа погасли и в море погрузились, и с ними два молодых месяца тьмою заволоклись. На реке на Каяле тьма свет прикрыла; по Русской земле рассыпались половцы, точно выводок гепардов, и великую радость пробудили в хинове. Уже пала хула на хвалу, уже ударило насилие по воле, уже бросился Див на землю. Вот уже готские красные девы запели на берегу синего моря, позванивая русским золотом, поют они о времени Бусовом, лелеют месть за Шарукана. А мы, дружина, лишились веселия».
Тогда великий Святъславъ изрони злато слово, слезами смѣшено, и рече: «О, моя сыновчя, Игорю и Всеволоде! Рано еста начала Половецкую землю мечи цвѣлити, а себѣ славы искати. Нъ нечестно одолѣсте, нечестно бо кровь поганую пролиясте. Ваю храбрая сердца въ жестоцемъ харалузѣ скована, а въ буести закалена. Се ли створисте моей сребреней сѣдинѣ!	Тогда великий Святослав изронил золотое слово, со слезами смешанное, и сказал: «О племянники мои, Игорь и Всеволод! Рано вы начали Половецкую землю мечами терзать, а себе искать славу. Но не по чести одолели, не по чести кровь поганых пролили. Ваши храбрые сердца из твердого булата скованы и в дерзости закалены. Что же учинили вы моим серебряным сединам!
А уже не вижду власти сильнаго, и богатаго, и многовоя брата моего Ярослава, съ черниговьскими былями, съ могуты, и съ татраны, и съ шельбиры, и съ топчакы, и съ ревугы, и съ ольберы.[54] Тии бо бес щитовь, съ засапожникы, кликомъ плъкы побѣждаютъ, звонячи въ прадѣднюю славу. Нъ рекосте: “Мужаемѣся сами: преднюю славу сами похитимъ, а заднюю си сами подѣлимъ”. А чи диво ся, братие, стару помолодити? Коли соколъ въ мытехъ бываетъ,[55] высоко птацъ възбиваетъ, не дастъ гнѣзда своего въ обиду. Нъ се зло — княже ми непособие; наниче ся годины обратиша. Се у Римъ кричатъ подъ саблями половецкыми,[56] а Володимиръ подъ ранами. Туга и тоска сыну Глѣбову!»[57]	А уже не вижу власти сильного и богатого брата моего Ярослава, с воинами многими, с черниговскими боярами, с могутами, и с татранами, и с шельбирами, и с топчаками, и с ревугами, и с ольберами. Все они и без щитов, с засапожными ножами, кликом полки побеждают, звеня прадедней славой. Но сказали вы: “Помужествуем сами: мы и прежнюю славу поддержим, а нынешнюю меж собой разделим”. Но не диво ли, братия, старику помолодеть! Когда сокол возмужает, высоко птиц взбивает, не даст гнезда своего в обиду. Но вот мне беда — княжеская непокорность, вспять времена повернули. Вот у Римова кричат под саблями половецкими, а Владимир изранен. Горе и беда сыну Глебову!»
Великый княже Всеволоде![58] Не мыслию ти прелетѣти издалеча, отня злата стола поблюсти? Ты бо можеши Волгу веслы раскропити[59], а Донъ шеломы выльяти. Аже бы ты былъ, то была бы чага по ногатѣ, а кощей по резанѣ.[60] Ты бо можеши посуху живыми шереширы стрѣляти — удалыми сыны Глѣбовы.[61]	Великий князь Всеволод! Не помыслишь ли ты прилететь издалека, отцовский золотой престол поберечь? Ты ведь можешь Волгу веслами расплескать, а Дон шлемами вычерпать. Если бы ты был здесь, то была бы невольница по ногате, а раб по резане. Ты ведь можешь посуху живыми шереширами стрелять, удалыми сынами Глебовыми.
Ты, буй Рюриче, и Давыде![62] Не ваю ли вои злачеными шеломы по крови плаваша? Не ваю ли храбрая дружина рыкаютъ акы тури, ранены саблями калеными, на полѣ незнаемѣ? Вступита, господина, въ злата стремена за обиду сего времени, за землю Русскую, за раны Игоревы, буего Святславлича!	Ты, храбрый Рюрик, и Давыд! Не ваши ли воины злачеными шлемами в крови плавали? Не ваша ли храбрая дружина рыкает, словно туры, раненные саблями калеными, в поле чужом? Вступите же, господа, в золотые стремена за обиду нашего времени, за землю Русскую, за раны Игоря, храброго Святославича!
Галичкы Осмомыслѣ Ярославе![63] Высоко сѣдиши на своемъ златокованнѣмъ столѣ, подперъ горы Угорскыи[64] своими желѣзными плъки, заступивъ королеви путь, затворивъ Дунаю ворота, меча бремены[65] чрезъ облаки, суды рядя до Дуная. Грозы твоя по землямъ текутъ, отворяеши Киеву врата, стрѣляеши съ отня злата стола салтани за землями.[66] Стрѣляй, господине, Кончака, поганого кощея, за землю Рускую, за раны Игоревы, буего Святславлича!	Галицкий Осмомысл Ярослав! Высоко сидишь на своем златокованом престоле, подпер горы Венгерские своими железными полками, заступив королю путь, затворив Дунаю ворота, меча бремена через облака, суды рядя до Дуная. Страх перед тобой по землям течет, отворяешь Киеву ворота, стреляешь с отцовского золотого престола в султанов за землями. Стреляй же, господин, в Кончака, поганого половчанина, за землю Русскую, за раны Игоря, храброго Святославича!
А ты, буй Романе, и Мстиславе![67] Храбрая мысль носитъ ваю умъ на дѣло. Высоко плаваеши на дѣло въ буести, яко соколъ на вѣтрехъ ширяяся, хотя птицю въ буйствѣ одолѣти. Суть бо у ваю желѣзныи паворзи подъ шеломы латинскими.[68] Тѣм и тресну земля, и многи страны — Хинова, Литва, Ятвязи,[69] Деремела[70] и Половци — сулици[71] своя повръгоша, а главы своя подклониша подъ тыи мечи харалужныи. Нъ уже, княже, Игорю утръпѣ солнцю свѣтъ, а древо не бологомъ листвие срони: по Роси и по Сули[72] гради подѣлиша. А Игорева храбраго плъку не крѣсити! Донъ ти, княже, кличетъ и зоветь князи на побѣду. Олговичи, храбрыи князи, доспѣли на брань.	А ты, храбрый Роман, и Мстислав! Храбрые помыслы влекут ваш ум на подвиг. Высоко летишь ты на подвиг в отваге, точно сокол, на ветрах паря, стремясь птицу в дерзости одолеть. Ведь у ваших воинов железные паворзи под шлемами латинскими. Потому и дрогнула земля, и многие народы — хинова, литва, ятвяги, деремела и половцы — копья свои побросали и головы свои склонили под те мечи булатные. Но уже, князь, Игорю померк солнца свет, а дерево не к добру листву сронило: по Роси и по Суле города поделили. А Игорева храброго полка не воскресить! Дон тебя, князь, кличет и зовет князей на победу. Ольговичи, храбрые князья, уже поспели на брань.
Инъгварь и Всеволодъ, и вси три Мстиславичи,[73] не худа гнѣзда шестокрилци![74] Не побѣдными жребии собѣ власти расхытисте! Кое ваши златыи шеломы и сулицы ляцкии и щиты? Загородите Полю ворота[75] своими острыми стрѣлами, за землю Русскую, за раны Игоревы, буего Святъславлича!	Ингварь и Всеволод и все три Мстиславича — не худого гнезда шестокрыльци! Не по праву побед расхитили себе владения! Где же ваши золотые шлемы, и сулицы польские, и щиты? Загородите полю ворота своими острыми стрелами, за землю Русскую, за раны Игоря, храброго Святославича!
Уже бо Сула не течетъ сребреными струями къ граду Переяславлю, и Двина болотомъ течетъ онымъ грознымъ полочаномъ подъ кликомъ поганыхъ. Единъ же Изяславъ, сынъ Васильковъ,[76] позвони своими острыми мечи о шеломы литовския, притрепа славу дѣду своему Всеславу, а самъ подъ чрълеными щиты на кровавѣ травѣ притрепанъ литовскыми мечи. Исхыти юна кров, а тьи рекъ:[77] «Дружину твою, княже, птиць крилы приодѣ, а звѣри кровь полизаша». Не бысть ту брата Брячяслава, ни другаго — Всеволода,[78] единъ же изрони жемчюжну душу изъ храбра тѣла чресъ злато ожерелие. Уныли голоси, пониче веселие. Трубы трубятъ городеньскии.[79]	Вот уже Сула не течет серебряными струями к городу Переяславлю, и Двина болотом течет у тех грозных полочан под кликами поганых. Один только Изяслав, сын Васильков, прозвенел своими острыми мечами о шлемы литовские, поддержал славу деда своего Всеслава, а сам под червлеными щитами на кровавой траве литовскими мечами изрублен... И сказал: «Дружину твою, князь, птицы крыльями приодели, а звери кровь полизади». Не было тут ни брата Брячислава, ни другого — Всеволода, так он один и изронил жемчужную душу из храброго своего тела через золотое ожерелье. Приуныли голоса, сникло веселье. Трубы трубят городенские.
Ярославе и вси внуце Всеславли![80] Уже понизите стязи свои, вонзите свои мечи вережени, уже бо выскочисте изъ дѣдней славѣ. Вы бо своими крамолами начясте наводити поганыя на землю Рускую, на жизнь Всеславлю: которою бо бѣше насилие отъ земли Половецкыи!	Ярославовы все внуки и Всеславовы! Не вздымайте более стягов своих, вложите в ножны мечи свои затупившиеся, ибо потеряли уже дедовскую славу. В своих распрях начали вы призывать поганых на землю Русскую, на достояние Всеславово. Из-за усобиц ведь началось насилие от земли Половецкой!
На седьмомъ вѣцѣ Трояни връже Всеславъ[81] жребий о дѣвицю себѣ любу. Тъй клюками подпръся о кони,[82] и скочи къ граду Кыеву, и дотчеся стружиемъ злата стола Киевскаго. Скочи отъ нихъ лютымъ звѣремъ въ плъночи изъ Бѣлаграда, обѣсися синѣ мьглѣ, утръже вазни с три кусы: отвори врата Нову-граду, разшибе славу Ярославу, скочи влъкомъ до Немиги съ Дудутокъ.	На седьмом веке Трояна бросил Всеслав жребий о девице ему милой. Тот хитростью поднялся... достиг града Киева и коснулся копьем своим золотого престола киевского. А от них бежал, словно лютый зверь, в полночь из Белгорода, окутанный синей мглой, трижды добыл победы: отворил ворота Новгороду, разбил славу Ярославову, скакнул волком на Немигу с Дудуток.
