ПОСЛАНИЕ О ЗЛЫХЪ ДНЕХЪ И ЧАСѢХЪ	ПОСЛАНИЕ О НЕБЛАГОПРИЯТНЫХ ДНЯХ И ЧАСАХ
Да хто не содрогнется, ниже въсплачется о таковых прелестеи и отпадения, гръдостию буйства своего еретичьскым учением послѣдоваша и богоубийственѣи четѣ жидом, яко же и при распятии Господни обѣщници бѣша с ними, о них же еуггелист глаголетъ: «Воини же гѣмонови ругающеся ему, прегыбающе колѣни свои и глаголюще: “Радуйся, царю июдѣйскыи!”».[18] Воини гѣмонови — Пилатови слугы, понеже Пилат от латын бяше, от Понта[19] града Римскиа области, тако и нынѣ в своем молении не прекланяют свою главу, токмо колѣни мало надгыбают латыни. О них же Давидъ издалеча духом святым прозрѣв, яко от лица Иисусова рече: «В поношение безумному дал мя еси».[20] Воистину людие буи, а не мудри, аще убо великаго Рима стѣны и столпове, и трекровныа полаты не пленены, но душа их от диавола пленены быша опрѣснок ради. Аще убо Агарины внуци[21] греческое царство приаша, но вѣры не повредиша, ниже насилствуют греком от вѣры отступати, инако же ромейское царство неразрушимо, яко Господь в римскую власть написася.[22]	Да кто же не содрогнется, кто не восплачет от такового прельщения и падения, в гордости безумия своего еретическим учениям последовали и богоубийственной толпе евреев, что во время распятия Христа были сообщниками тех, о которых евангелист говорит: «Воины же прокуратора насмехались над ним, прегибая колени свои и говоря: “Радуйся, царь иудейский!”» Воины прокуратора — слуги Пилата, но так как Пилат был из римлян, из города Понта в Римской державе, то также и ныне во время молитвы не склоняют своей головы, но только колени чуть прегибают католики. О таких Давид, заранее Духом святым прозрев, словно от имени Иисуса сказал: «В поношение безумному дал ты меня». И воистину люди безумные, а не мудрые, ибо хотя великого Рима стены, и башни, и трехэтажные здания и не захвачены, однако души их дьяволом захвачены были из-за опресноков. Ибо хотя внуки Агари греческое царство покорили, но веры не повредили и не заставляют греков от веры отступать, однако же романское царство неразрушимо, ибо Господь в римскую область вписался.
Наша же христианскаа тайна сице съдержит о священнем причащении. Приступиша ученици ко Иисусу, глаголюще: «Господи, гдѣ хощеши уготоваем ти ясти пасху?» Он же рече им: «Се входящема вама во град, срящет вы человѣк, в скудели воду нося; послѣдуйте ему и дому владыцѣ рцѣте: “Учитель глаголетъ, у тебе сътворю пасху со ученикы моими”».[23] Дому есть владыка отецъ Ивана Богослова Зеведѣй, сему повелѣ Иисус надвое сътворити: едину по обычаю законному, еже опрѣснокъ, другую же тайную, иже хлѣб съвершен квасную. Сего ради тайная вечеря глаголется,[24] понеже в жидох от 11 до 14[25] не обрѣтается квасной хлѣб в домѣх. Да первѣе законную пасху ядоша по обычаю, опрѣснок и агнец з горчицею, стояще опоясани и жезлы подпирающеся, клобукы на главах их. По ядении же сѣдъ, учаше их, еже не старийшенствовати, таже о предателствѣ вносит слово, и, по семъ волиа воду во умывалницу, и нача нозѣ умывати учеником, образ дасть им святого крещениа. По сих же пакы возлеже и повели представити хлѣб и вино точию, начат жалостнаа словеса простирати, възвед убо божественаа свои очи на небо и рече: «Отче, прииде час, прослави сына своего, да и сынъ твой прославит тя, яко дал еси ему власть всякой плоти, да все, еже дал ми еси, и аз дам им живот вѣчный. Иже есть живот вѣчный, да знают тебе единаго истиннаго Бога, и егоже посла Иисуса Христа; и аз прославих тебе на земли и дѣло съвръших, и нынѣ прослави мя, Отче, славою, иже имѣх у тебе преже сложениа мира».[26] И паки рече ко учеником: «Аз есмь виноград, вы же рождье, иже пребудет въ мнѣ и аз в нем».[27] И паки возвед очи свои и рече: «Отче, святи их во имя твое, зане аз свящюся сам, да будут и сии освящени воистинну, и не о сих молю токмо, но и о вѣрующих словесем их в мя; да вси бо едино будут, яко же, Отче, аз в тебѣ, и ты въ мнѣ, да и ти въ нас будут».[28] Разумѣй же обое здѣ, еже молится о онѣх, освятив их во святых тайнах, да научит свящати архиереа и священики у святыа трапезы; идѣже чин дѣйства, ту и слуга поставляти подобает священнодѣйству. И ту, абие приим предложенный хлѣб на святых своих пречистых руках и воздвиг горѣ, показуя Богу Отцу, благодарив, преломив, дасть святым своим учеником и апостолом, рек: «Приимѣте и ядите, се есть тѣло мое, еже за вы ломимое и за многы во оставление грѣхов».[29] По ядении же приим чашу от плода лознаго иже есть вино, и растворив с теплою водою, и сию дасть учеником глаголя: «Пиите от неа вси, се есть кровь моа Новаго Завѣта, еже за вы изливаема и за многы во оставление грѣхов».[30] Обаче учеником дааше, тоже и сам ядяше и пиаше с ними. По сих же паки глаголеть: «Желанием въжделѣх ясти сию пасху с вами, прежде даже не прииму мук; отселе уже не имам пити от плода винограда, но ново испию с вами въ царствии Отца моего»,[31] — и, по сем, «въспѣвше, изыдоша в гору Елеонскую».[32]	Наше же христианское таинство вот что говорит о святом причастии. Приступили ученики к Иисусу, говоря: «Господи, где ты желаешь, чтобы мы приготовили тебе пасху?» Он же ответил им: «Вот как войдете вы в город, встретит вас человек, в глиняном кувшине воду несущий; последуйте за ним и хозяину дома скажите: “Учитель говорит: у тебя сотворю пасху с учениками моими”». Хозяин же дома был отец Иоанна Богослова Зеведей, которому повелел Иисус две пасхи приготовить: одну по обычаю Моисеева закона, и это был опреснок, другую же тайную, как делают хлеб на дрожжах. Потому-то и тайной вечерей зовется, что у евреев с одиннадцатого до четырнадцатого нет дрожжевого хлеба в домах. И сначала они законную пасху съели, как повелось, опреснок и ягненка с горчицей, стоя опоясанными и посохами подпираясь, с покрывалом на голове. После этого, сев, наставлял их, уча избегать начальствования, затем о предательстве говорит и после этого, налив в умывальник воды, начал ноги мыть ученикам, дав им образ святого крещения. Потом же снова возлег и велел поставить только хлеб и вино, стал печальные слова излагать, возведя божественные очи свои к небу: «Отче, настал час, восславь своего сына, и сын твой восславит тебя за то, что дал ты ему власть над плотью, за все, что ты мне дал, и я передам им вечную жизнь. И в том есть вечная жизнь, чтобы знали тебя единого истинного Бога, и кого ты послал — Иисуса Христа; и я восславил тебя на земле и дело исполнил, и ныне восславь же меня, Отче, той славой, которую имел у тебя я еще до создания мира». И снова сказал ученикам: «Я виноград, вы же ветви, кто пребудет во мне, и я в нем». И снова, возведя очи свои, сказал: «Отче, освяти их во имя твое, ибо я освятился сам, пусть будут и эти освящены праведно, но не об этих молюсь только, но и о тех, кто верует словам их обо мне; пусть будут все воедино, подобно тому, как, Отче, я в тебе и ты во мне, пусть и эти в нас будут». Понимай же двоякое тут: когда молится об этих, уже научив их святым тайнам, просит научить архиереев и священников посвящать у святой трапезы; там, где порядок обряда, тут и слуг поставлять подобает священнодействию. И тут, тотчас взяв принесенный хлеб в святые свои и пречистые руки, поднял вверх, показав Богу Отцу, благодаря, преломил, дал святым своим ученикам и апостолам, сказав: «Примите и ешьте, это тело мое, за вас преломленное и за многих во отпущение грехов». После еды же взял чашу плода виноградного, то есть вино, и, разбавив теплой водою, дал ученикам, говоря: «Пейте из нее все, это кровь моя Нового Завета, та, что за вас проливаю и за многих во отпущение грехов». И не только давал ученикам, но и сам ел и пил с ними. Затем же снова говорит: «С желанием я возжелал есть эту пасху с вами прежде, чем приму мучение; с этих пор уже не смогу я пить от плода виноградного, но снова изопью с вами в царстве Отца моего», — и после того «с пением взошли они на гору Елеонскую».
Видиши ли, христолюбче, какова есть священьства тайна и божественаго причастия начало, еже убо сам их освяти и научи священиа дѣйствовати? Зри, любимиче, якоже испи вино, с водою растворив, такоже и на крестѣ от своих божественых ребръ два источника, кровь и воду, источи. Да и сие внемли, господа ради, како в тридесят лѣт възраста своего по всяко лѣто яде Спасъ законную пасху, а ни единою не рече: «Желанием вжелах ясти пасху сию», но токмо о сей новѣи благодатнѣи вечери тайнѣй, еже устрои смотрение нашему спасению.	Так видишь теперь, христолюбец, какова тайна освящения и происхождение божественного причастия, ведь сам Иисус их освятил и научил священнодействовать? Взгляни, милый, как испил вино, с водой смешав, так же и на кресте из своего божественного тела два источника, кровь и воду, он источил. Да и то пойми, Господа ради, что тридцать лет своей жизни каждый год ел Спаситель ветхозаветную пасху и никогда не сказал: «С желанием я возжелал есть пасху эту», и только об этой новой и благодатной вечере тайной, когда устроил он обеспечение нашему спасению.
О сих убо преуспокоивше слово, мала нѣкаа словеса изречем о нынѣшнем православном царствии пресвѣтлѣйшаго и высокостолнейшаго государя нашего, иже въ всей поднебесной единаго христианом царя и броздодръжателя святых Божиихъ престолъ, святыа вселенскиа апостолскиа церкве, иже вмѣсто римской и костянтинополской, иже есть в богоспасном граде Москвѣ святого и славнаго Успения пречистыя Богородица, иже едина въ вселеннѣи паче солнца свѣтится. Да вѣси, христолюбче и боголюбче, яко вся христианская царства приидоша в конец и снидошася во едино царство нашего государя, по пророческим книгам, то есть Ромеиское царство[33]: два убо Рима падоша, а третий стоит, а четвертому не быти.[34] Многажды и апостолъ Павел поминает Рима в посланиих, в толкованиих глаголет: «Рим — весь мир».[35] Уже бо христианской церкви исполнися блаженаго Давида глаголъ: «Се покой мой въ вѣк вѣка, зде вселюся, яко изволих и».[36] По великому же Богослову: «Жена облъчена в солнце, и луна под ногама ея, и чадо въ руку еа, и абие изыде змий от бездны, имѣа глав 7 и сем вѣнец на главах ему, и хотяше чадо жены пожрети. И даны быша женѣ крилѣ великаго орла, да бѣжит въ пустыню, змий же изо устъ своих испусти воду, яко рѣку, да ю в рѣцѣ потопит».[37] Воду же глаголют невѣрие, видиши ли, избранниче Божий, яко вся христианскаа царства потопишася от невѣрных, токмо единаго государя нашего царство едино благодатию Христовою стоит. Подобает царствующему дръжати сие с великым опасением и к Богу обращением, не уповати на злато и богатство изчезновение, но уповати на все дающаго Бога. А звѣзды, якоже и преже рекох, не помогут ничим, ни придадут ни уймут. Глаголет убо връховный апостолъ Петръ в соборномъ Послании: «Един день пред Господомъ, яко тысяща лѣт, а тысяща лѣт, яко един день, — не опоздит Господь обѣта, еже обѣща, но долго тръпит, не хотя нѣкиа погубити, хотя всѣх в покаание вмѣстити».[38] Видиши ли, боголюбче, яко в руцѣ его дыхание всѣх сущих, глаголет бо, яко: «Еще единою потрясу не токмо землею, но и небом».[39] Понеже и апостолом еще не свершенным, выше силы не велѣл пытати: богословесный же наперсник во «Откровении» своем глаголет: «В послѣднее врѣмя спасаа, спаси душу свою, да не умрем второю смертию, геонскою,[40] но обратимся ко всемогущему спасти нас господу с молбами прилѣжными, и теплыми слезами приплачемся пред ним, яко да смилится обратити ярость свою от нас, и помилует нас, и сподобит нас услышати сладкый блаженый и въжделѣнный его глас: “Приидите, благословленнии, Отца моего наслѣдуйте уготованное вам царство преже сложениа миру”».[41]	Итак, о всем том прекратив речи, скажем несколько слов о нынешнем преславном царствовании пресветлейшего и высокопрестольнейшего государя нашего, который во всей поднебесной единый есть христианам царь и правитель святых Божиих престолов, святой вселенской апостольской церкви, возникшей вместо римской и константинопольской и существующей в богоспасаемом граде Москве, церкви святого и славного Успения пречистой Богородицы, что одна во вселенной краше солнца светится. Так знай, боголюбец и христолюбец, что все христианские царства пришли к концу и сошлись в едином царстве нашего государя, согласно пророческим книгам, это и есть римское царство: ибо два Рима пали, а третий стоит, а четвертому не бывать. Много раз и апостол Павел упоминает Рим в посланиях, в толкованиях говорится: «Рим — весь мир». Ведь на христианской церкви уже совершилось блаженного Давида слово: «Вот покой мой во веки веков, здесь поселюсь, как возжелал я». Согласно же великому Богослову: «Жена, облаченная в солнце, и луна под ногами ее, и младенец на руках у нее, и тотчас вышел змей из бездны, имеющий семь голов и семь венцов на головах своих, и хотел младенца этой жены поглотить. И даны были жене крылья великого орла, чтобы бежала в пустыню, и тогда змей из своих уст источил воду, словно реку, чтобы в реке ее утопить». Водой называют неверие; видишь, избранник Божий, как все христианские царства затоплены неверными, и только одного государя нашего царство одно благодатью Христовой стоит. Следует царствующему управлять им с великою тщательностью и с обращением к Богу, не надеяться на золото и на преходящее богатство, но уповать на все дающего Бога. А звезды, как я и прежде сказал, не помогут ни в чем, не прибавят и не убавят. Ибо говорит верховный апостол Петр в соборном Послании: «Один день пред Господом, как тысяча лет, а тысяча лет, как один день, — не задержит Господь награды, которую обещал, и долго терпит, никогда не желая погубить, желая всех привести к покаянию». Видишь ли, боголюбец, что в руках его дыхание всех сущих, ибо говорит: «Еще однажды потрясу не только землей, но и небом». И так как и апостолы еще не были готовы, то сверх силы не велел вникать: Богословесный же наперсник в своем «Откровении» говорит: «В последние времена спасаясь, спаси свою душу, да не умрем второю смертью, в геенне огненной», но обратимся ко всемогущему во спасении Господу с мольбами искренними и усердными слезами восплачемся перед ним, чтобы смилостивился, отвратил ярость свою от нас, и помиловал нас, и сподобил нас услышать сладкий, блаженный и вожделенный его глас: «Приидите, благословенные, наследуйте уготованное вам царство Отца моего прежде создания мира».
Буди, спасаяся и здравствуя о Христѣ.	Живи же, спасаясь и здравствуя, во Христе.
ПОСЛАНИЕ К ВЕЛИКОМУ КНЯЗЮ ВАСИЛИЮ, В НЕМЪЖЕ О ИСПРАВЛЕНИИ КРЕСТНАГО ЗНАМЕНИЯ И О СОДОМСКОМ БЛУДѢ	ПОСЛАНИЕ ВЕЛИКОМУ КНЯЗЮ ВАСИЛИЮ, В КОТОРОМ ОБ ИСПРАВЛЕНИИ КРЕСТНОГО ЗНАМЕНИЯ И О СОДОМСКОМ БЛУДЕ
Иже от вышняа и от всемощныя вся содръжащиа десница Божиа, имьже царие царствуют и имьж велицыи величаются и силнии пишут правду тебѣ, пресвѣтлѣйшему и высокостолнѣйшему государю великому князю, православному христианьскому царю и всѣх владыцѣ, броздодержателю святых Божиих престолъ, святыа вселенскыя соборныя апостольскыя церкви Пречистыя Богородицы, честнаго и славнаго еа Успения иж вмѣсто римския и константинопольския просиавшу, — стараго убо Рима церкви падеся невѣрием аполинариевы ереси, втораго Рима, Константинова града церкви, Агаряне внуцы секирами и оскордъми разсѣкоша двери, сиа же нынѣ третиаго, новаго Рима, дръжавнаго твоего царствиа святая соборная апостольскаа церкви, иж в концых вселенныа в православной христианьстей вѣре во всей поднебесней паче солнца свѣтится, — и да вѣсть твоа держава, благочестивый царю, яко вся царства православныя христианьския вѣры снидошася въ твое едино царство: един ты во всей поднебесной христианом царь.	Тот, кто от вышней и от всемогущей, все в себе содержащей, десницы Божьей, которой цари царствуют и которой великие славятся и могучие возвещают праведность твою, пресветлейшего и высокопрестольнейшего государя великого князя, православного христианского царя и владыки всех, держащему бразды святых Божьих престолов, святой вселенской соборной апостольской церкви пречистой Богородицы, честного и славного ее Успения, кто вместо римского и константинопольского владык воссиял, — ибо старого Рима церковь пала по неверию ереси Аполлинария, второго же Рима, Константинова града, церковные двери внуки агарян секирами и топорами рассекли, а эта теперь же третьего, нового Рима, державного твоего царства святая соборная апостольская церковь во всех концах вселенной в православной христианской вере по всей поднебесной больше солнца светится, — так пусть знает твоя державность, благочестивый царь, что все православные царства христианской веры сошлись в едином твоем царстве: один ты во всей поднебесной христианам царь.
Подобает тебѣ, царю, сие держати со страхом Божиимъ, убойся Бога, давшаго ти сия, не уповай на злато, и богатство, и славу: вся бо сиа здѣ собрана и на земли здѣ остают. Помяни, царю, оного блаженнаго, иж скипетръ в руцѣ и венец царствиа на своей главѣ нося, глаголаше: «Богатство, аще течет, не прилагайте сердца»;[42] премудрый же Соломонъ рече: «Богатьство и злато не во скровищих знается, но егда помогаетъ требующим»;[43] апостолъ же Павелъ, сим послѣдуа, глаголет: «Корень всѣм злым — сребролюбие»,[44] — не не имѣти велит, но не прилагати упования ниже сердца к нему, но уповати на все дающаго Бога. Вся убо твоя к Богу чистая вѣра и любовь — ко святым Божиимъ церквам; но и еще, царю, исправи двѣ заповѣди.	И следует тебе, царь, это блюсти со страхом Божьим, убойся Бога, давшего тебе это, не надейся на золото, и богатство, и славу: все это здесь собирается и здесь, на земле, остается. Вспомни, царь, того праведного, который, скипетр в руке и царский венец на своей голове нося, говорил: «Богатству, что притекает, не отдавайте сердца»; и сказал премудрый Соломон: «Богатство и золото не в сокровищнице познается, но когда помогает нуждающимся»; апостол же Павел, им следуя, говорит: «Корень всякому злу — сребролюбие», — не велит отказаться, но не возлагать надежды и тем более сердца на него, но уповать на все дающего Бога. Ибо вся твоя к Богу чистая вера и любовь — к Божьим святым церквам; да и еще, царь, соблюди две заповеди.
Еже во твоем царствии не пологают человецы на себѣ право знамения честнаго креста, о нихъж издалеча провѣдый апостолъ Павел глаголаше: «Преже писах вам, нынѣ же плача глаголю о вразѣх креста Христова, имже конець пагуба».[45]	А именно: в твоем царстве не осеняют люди себя правильно знамением святого креста, о которых давно провидевший это апостол Павел говорил: «Прежде писал вам, ныне же с плачем говорю о врагах креста Христова, которым конечная погибель».
Второе: да исполниши святыя соборныя церкви епископы, да не вдовьствует святая Божиа церкви при твоемъ царствии! Не преступай, царю, заповѣди, еже положиша твои прадѣды — великий Константинъ, и блаженный святый Владимиръ, и великий богоизбранный Ярославъ и прочии блаженнии святии, ихьж корень и до тебе. Не обиди, царю, святых Божиих церквей и честныхъ монастырей, еже данное Богови в наслѣдие вѣчных благъ на память послѣднему роду, о сем убо святый великий Пятый соборъ страшное запрещение положи.	Второе: наполни святые соборные церкви епископами, пусть не вдовствует святая Божия церковь в твое царствование! Не преступай, царь, завета, что положили твои предки — великий Константин, и блаженный святой Владимир, и великий богоизбранный Ярослав, и другие блаженные святые, того же корня, что и ты. Не обижай, царь, святых Божьих церквей и честных монастырей, как данных Богу в наследство вечных благ на память последующим родам, на что и священный великий Пятый собор строжайший запрет наложил.
О третьей же пишу и плача горцѣ глаголю, яко да искорениши из своего православнаго царствия сий горкий плевелъ, о немьж и нынѣ свидѣтельствуетъ пламень жупелнаго горящаго огня в содомскыхъ стогнах, о немже пророкъ Исаия, рыдая, глаголаше: «Слышите слово Божие, князи содомстии, и внушите глаголъ Божий, людие гоморьстии: “Что ми тукъ жертвъ ваших и приношений ваших, исполнен есмь всесожжений. Аще принесете ми кадило — мерзостно ми есть, и праздниковъ ваших ненавидит душа моя!”»[46] Да слыши, благочестивый царю, яко пророкъ не мертвым погибшимъ содомляном таковая глаголаше, но живым человеком, творящым дѣла их. Писано бо есть: «Преступаяй от своеа жены раздираетъ плоть свою, а творяй содомъская, убиваетъ плодъ своего чрева».[47] Богь сотворилъ человека и сѣмя в нем на чадородие, мы ж сами свои сѣмена даемъ во убийство и въ жрътву диаволу. Да сия мерзость умножися не токмо в миръскых, но и в прочих, о нихже помолчю, чтый ж да разумѣетъ. Увы мнѣ, како долго терпит милостивый о нас не судя! Убо сия писахъ, но паче рыдая горцѣ самъ азъ окаянный о своих согрѣшениих, но боюся молчати, аки онъ рабъ, сокрывый талантъ.[48]	О третьей же заповеди пишу и с плачем горько говорю, чтобы искоренил ты в своем православном царстве сей горький плевел, о котором и ныне еще свидетельствует серный пламень горящего огня на площадях Содомских, о котором пророк Исайя, рыдая, повествовал: «Вслушайтесь в слово Божие, князья Содомские, и воспримите Божий глагол, люди Гоморры: «Что мне жир жертв ваших и подношений ваших, переполнен я всесожжениями. И если принесете мне кадило — мерзко мне это, и праздники ваши ненавидит душа моя!» Так пойми, благочестивый царь, что пророк не мертвым, уже погибшим содомлянам такое говорил, но живым, творящим злые дела. Ибо сказано: «Изменяющий жене разрывает плоть свою, но творящий содомский блуд убивает плод своего чрева». Бог сотворил человека и семя в нем для рождения детей, а мы сами свое семя убиваем и отдаем в жертву дьяволу. И мерзость такая преумножилась не только среди мирян, но и средь прочих, о коих я умолчу, но читающий да разумеет. Увы мне, как долго терпит милостивый, нас не судя! Все это я написал, много и горько рыдая, и сам я, окаянный, полон грехов, но боюсь и молчать, подобно тому рабу, что скрыл свой талант.
Аз бо грѣшный и грубый во всѣх и невѣжа въ премудрости, яко ж Валаамово осля[49] безсловесное словеснаго учаше, и скотина пророка наказоваше, яко да не зазриши о сих, благочестивый царю, яж дерзнух писати твоему величеству. И нынѣ молю тя и паки премолю: еж выше писах, внимай Господа ради, яко вся христианскаа царства снидошася въ твое царство, посемъ чаем царства, емуж нѣсть конца.	Ибо я грешен и недостоин во всем и невежда в премудрости, но ведь и бессловесная Валаамова ослица разумного поучала, и скотина пророка наставляла, так и ты не зазри о том, благочестивый царь, что дерзнул я писать твоему величеству. И ныне молю тебя и вновь умоляю: все, что выше я написал, прими Бога ради, ибо все христианские царства сошлись в твоем царстве, после же этого мы ожидаем царства, которому нет конца.
Сия ж писах ти, любя, и взывая, и моля щедротами Божиими, яко да премениши скупость на шедроты и немилосердие на милость. Утѣши плачющых и вопиющых день и нощь, избави обидимых из руки обидящых. «Не обидите, — рече Господь, — сих менших, вѣрующих в мя, ибо аггели их видятъ всегда лице отца моего, иж есть на небесѣх».[50] «Блажен, — рече, — разумѣваяи на нища и убога, в день лют избавит его Господь».[51] Господь сохранит его и живит и, и ублажит его на земли, и не предастъ его в рукы врагомъ, Господь помощь ти.	Это ж тебе написал, любя, и призывая, и моля благодатью Божьей, что переменишь ты скупость на щедрость и немилосердие на милость. Утешь плачущих и рыдающих день и ночь, избавь обиженных от рук обижающих. «Не обижайте, — сказал Господь, — малых сих, верующих в меня, ибо ангелы их видят всегда лик Отца моего, который на небесах». «Блажен, — сказал, — призревший нищего и убогого, в день страшный спасет его Господь». Господь сохранит его, и оживит его, и ублажит его на земле, и не предаст его в руки врагов, Господь тебе в помощь.
Да аще добро устроиши свое царство — будеши сынъ свѣта и гражанинъ вышняго Иерусалима, якоже выше писах ти и нынѣ глаголю: блюди и внемли, благочестивый царю, яко вся христианская царьства снидошася въ твое едино, яко два Рима падоша, а третей стоит, а четвертому не быти. Уже твое христианьское царство инѣм не останется,[52] по великому Богослову, а христианской церкви исполнися блаженнаго Давыда глаголъ: «Се покой мой в вѣкъ вѣка, здѣ вселюся, яко изволих его».[53] Святый Ипполит рече: «Егда узрим обстоим Римъ перскими вои, и перси на нас с скифаны сходящас на брани, тогда неблазнено познаем, яко той есть Антихристъ». Богъ же мира, и любви, и долголѣтъства, и здравия, молитвами пречистыя Богоматере и святых чюдотворьцевъ и всѣх святых — да исполнит твое державно царство!	И если хорошо урядишь свое царство — будешь сыном света и жителем горнего Иерусалима, и как выше тебе написал, так и теперь говорю: храни и внимай, благочестивый царь, тому, что все христианские царства сошлись в одно твое, что два Рима пали, а третий стоит, четвертому же не бывать. И твое христианское царство другим не сменится, по слову великого Богослова, а для христианской церкви сбудется блаженного Давида слово: «Вот покой мой во веки веков, здесь поселюсь, как пожелал я того». Святой Ипполит сказал: «Когда увидим, что Рим осажден персидскими войсками и персы вместе со скифами идут на нас с боем, тогда несомненно поймем, что то Антихрист». Пусть же Бог миром, любовью, многолетием и здоровьем, молитвами пречистой Богоматери и святых чудотворцев и всех святых — преисполнит твое державное царствование!
