ИЗ СКИТСКОГО ПАТЕРИКА	ИЗ СКИТСКОГО ПАТЕРИКА
<...> Два брата присная придоста житъ въ манастырь. Единъ же бѣ от нею постникъ, а други имѣя послушанье велико. Глаголаше же ему старець: «Створи се», — и творяше, яже изъ утра и ядяше, и славу приимаше послушань емь въ манастыри.	<...> Двое родных братьев пришли жить в монастырь. Один из них был постником, а другой имел послушание великое. Скажет ему старец: «Сделай это», — и делает с утра, а <потом> ел, и прославился послушанием в монастыре.
Устрѣленъ же бысть о немь братъ его постьникъ. И рече въ себѣ: «Да искушю сего, аще имать послушанье». Приступль, рече отцю: «Посли со мною брата моего, да идевѣ нѣкамо». И отпустити и́. отець. Поять же и постникъ, хотя и́. искусити. Приде на рѣку, имѣяше же много множьство коркодилъ. И рече ему: «Влѣзи в рѣку и прѣиди». Яко вълѣзе, придоша коркодилии и льзаху тѣло его, и не вредиша его. Видѣвъ же постьник, рече ему: «Излѣзи из рѣки».	Поражен был этим брат его постник. И подумал он: «Испытаю его, имеет ли он послушание». Подошел, сказал отцу: «Пошли со мной брата моего, чтобы пойти нам в одно место». И отпустил его отец. Взял его постник, собираясь его искусить. Пришли на реку, в которой водилось многое множество крокодилов. И сказал ему <постник>: «Войди в реку и перейди <ее>». Как только тот вошел, приплыли крокодилы и стали лизать тело его, и не повредили его. Увидел <это> постник, сказал ему: «Выйди из реки».
Идуща же, обрѣтоста тѣло повержено на пути. И рече постникъ: «Аще быховѣ имѣла ветошь, възложила быховѣ на тѣло». И рече, имѣяй послушанье: «Паче молитву створивѣ, не коли въстанеть». И стаста помолитъся. Помоливъшема тема же ся има, въста мертвець.	Идя <обратно>, нашли они тело, брошенное на дороге. И сказал постник: «Если бы у нас была тряпица, покрыли бы ею тело». И сказал послушник: «Помолимся, может, встанет». И встали они на молитву. Когда же они помолились, встал мертвец.
Яви же Богъ си отцю въ манастырю, и како искуси брата свъего в коркодилѣхъ, како въста мертвець. Приде въ манастырь, и глагола отець постнику: «Что тако створилъ еси брату своему? И се за послушанье въста мертвець».	Показал Бог все это отцу в монастыре: и как испытывал <брат> брата своего с крокодилами, как встал мертвец. Когда <постник> пришел в монастырь, сказал отец постнику: «Почему ты так поступил с братом своим? Это <в награду> за послушание <его> встал мертвец».
О житии добрѣ различно къ старцемь	О различном достойном житии старцев
Повѣдаша о единомь ошельницѣ, яко отъиде в пустыню имы левытона[10] токмо, и похожь три дни, възиде на камень и видѣ под нимо злакъ, и человѣка пасома, акы звѣрь. И сълѣзе тамо и удержа и́.. Старець же бѣ нагъ, пренемогъ, и не смогыи понести воля человѣчьскы и, възмогъ же от него и побѣже. И погна братъ въслѣдъ его, вопия: «Бога дѣля жену тя, пожди мене». И обращеся, рече ему: «И азъ Бога дѣля бѣжю тебе». Послѣдь же яко отверже от себе ризу, пожда его. И яко приближися ему, рече: «Егда отвержеть имѣнье от себе свѣта сего, и азъ пождахъ тебе». И моляше и глаголя: «Отче, рци ми слово, како съпасуся?» Онъ же рече ему: «Бѣгай человѣкъ и молчи, и спасешися».	Рассказывали об одном отшельнике, который отправился в пустыню, одетый только в левитон, и, пройдя три дня, поднялся на скалу и увидел под ней траву и человека, пасущегося, словно зверь. И сошел он вниз и задержал его. Старец же был нагой, изможденный и, испугавшись человека, вырвался от него и побежал. И погнался брат вслед за ним, выкрикивая: «Бога ради бегу за тобой, подожди меня». И тот, обернувшись, ответил ему: «И я Бога ради бегу от тебя». Потом же, когда он снял с себя одежду, подождал его. И когда он приблизился, сказал <ему>: «Когда ты отказался от мирского имущества, я подождал тебя». Тот, взмолившись, проговорил: «Отец, скажи, как мне спастись?» А он ответил ему: «Избегай людей, безмолвствуй, и спасешься».
<...> Повѣда, рече, ошелникъ братии, сущий въ Раидѣ,[11] идеже есть 70 стеблъ фюникъ, идеже ополчися Моисий съ людми, егда изиде от Земля егупетьскы.[12] И глаголаше сице: «Помыслихъ иногда в пустыню, еда како обрящу далече мене живуща и работающю Владыцѣ Богу. И шедъ же 40 дний и 40 нощий и обрѣтохъ пещь; и приближивъся къ ней, и зрѣхъ же въ ню. И видѣхъ человѣка сѣдяща, и толкнухъ по обычаю мнишьскому, яко да излѣзеть целоватъ мене, онъ же не подвигнуся, бѣ бо умерлъ. Азъ бо небрегохъ ничтоже, вълѣзъ и яхъ и́ за руку его, и абье растаяся, и бысть персть. И видѣхъ еще ризу висющю, егда же и сию яхъ, растаяся и бысть ни въ чтоже. Якоже въ нечаянии быхъ, и изидохъ оттуду и пойдохъ в пустыню, и обрѣтохъ ину пещь и стопы мужьскы. Радъ же бывъ, приближися къ пещи, и яко толкнухъ и не озвася никтоже. Вълѣзъ же, никогоже не обрѣтохъ. Ставъ же вънѣуду пещи, глаголахъ въ себѣ, яко подобаеть рабу Божию прити, идеже аще есть, якоже убо день мимоидяше. И видѣх вельблуды идуща и раба Божия нага, власы своими оболчена срамныя уды тѣла. Егдаже приближися ко мьнѣ, мнѣвъ мя духа суща, ста на молитвѣ, бѣ бо, якоже послѣди глаголаше, многы напасти приялъ есть духы. Азъ же, разумѣвъ се, глаголахъ ему: “Человѣкъ есмь”. И егда рече: “Аминь”. Видѣвъ мя, утѣшися, и поимъ мя, и веде мя в пещь и въпрашаше, како сѣмо приде. Азъ же рекохъ: “Взискатъ рабъ Божий придохъ в пустыню сию. И не лишилъ есть Богъ хотѣния нашего”. И азъ въпрашахъ и́., глаголя: “Сѣмо убо како самъ прииде и како питаешися, и како, нагъ сыи, не требуеши ризы?” Онъ же рече: “Азъ въ монастырѣ бѣхъ во Вифаидѣ,[13] дѣло имый токалия. Вниде же в мя мысль, глаголющи: «Изиди и живи единъ, и можеши безъмлвьствовати и мьзду болшю стяжати от плода дѣла своего». Якоже обѣщахъся мысли и дѣло скончати, создавъ бо монастырь, имѣх повелѣвающая. Много же раздавая събираемая, подвизахъся нищиимъ и страннымъ раздаяти. Тоже врагъ нашь дьяволъ въздревновавъ яко присно, и тогда хотящю възданью быти, о нихже тщася труды мои Господеви въздаяти. Видѣвъ едину черноризицю, повелѣвшю ми единою, и сътворшю ми се, и давъшю нудитися и пакы нудитися, и пакы повелѣвати ино; и якоже обычай бысть и дерзновение болше, кончина — и осязанье руцѣ, и смѣхъ, и сужитие; и страдавъша родиховѣ безаконье. Яко пребыха с нею 6 месяць в падании, помыслихъ, яко Илии: «Днесь или утрѣ или по мънозѣхъ лѣтѣхъ съмерть подъиму, и прияти имамъ мучение вѣчное. Аще бо кто жену мужату посмрадить, мученью вѣчному повиненъ будеть».[14] Посмражи Христову невѣсту, и тако в пустыню сию таи избѣгохъ, оставивъ вся женѣ. И пришедъ, обрѣтохъ пьщью, источникъ сь и фюникъ, приносящь ми 12 меча[15] фюникъ. На месяць же приносить мечь единъ, еже ми годѣ есть на 10 дний, и посемь съзрѣваеть другыи. По лѣтѣхъ же мнозѣхъ въздрастоша ми власи, и ризамъ ми истьлѣвъшамъ, тѣми закрываю юже подобаеть, телесе срамоту. Якоже пакы въпрашахъ и́., “аще въ начатъцѣхъ сътужаше си ту?” “В начатцѣхъ оскърбляхъся зѣло, якоже на земли падати от ятръ, и не мощь ми стоящу службы тъворити, но лежащ ми на земли, вопияхъ къ Вышнему. Сущю же ми в пещи въ тузѣ мнозѣ и страсти, якоже дуже не можахъ исходити вонъ, видѣхъ мужа вълѣзша и глаголюща: «Чимъ болиши?» Азъ же малы възмогъ рещи: «Ятра мя болять». И рече ми: «Кде болиши?» И яко показахъ ему, персты рукы своея управле сочтавъ, прорѣза мѣсто, якы ножемъ, и истергь ятръ, показа ми струпы, и рукою истогравъ, въ платѣ струпы положи, рукою пожа за мѣсто, рече ми: «Се съдравъ бысть, служи Владыцѣ Христу якоже подобаеть». И оттолѣ быхъ сдравъ, и тако бо сътрада сде живу. Мъного же и молихъ, да быхъ жилъ в первѣи пещерѣ, и рече: «Не мощи, начнеши терпѣти напастии демоньскъ».	<...> Говорили о том, что один отшельник рассказал братьям из Раифы, где растут 70 финиковых пальм и где Моисей вооружился вместе с народом, когда они вышли из Земли египетской. А говорил вот о чем: «Задумал я как-то <отправиться> в пустыню, чтобы найти вдали от меня живущих и трудящихся для Владыки Бога. И шел 40 дней и 40 ночей, и нашел пещеру, и подошел к ней, и заглянул в нее. И увидел <там> человека сидящего, и постучал по монашескому обычаю, чтобы он вышел приветствовать меня, но тот не пошевелился, потому что был мертв. Я же, ничуть не обратив на это внимания, вошел и взял его за его руку, и он тотчас же растаял и сделался прахом. И увидел я еще висящую <в воздухе> одежду, но когда дотронулся и до нее, она <тоже> растаяла и исчезла. В смятении я вышел оттуда, и пошел по пустыни, и нашел другую пещеру и следы мужских ног. С радостью приблизился я к пещере, постучал, и никто не отозвал-ся. Когда же я вошел <туда>, то никого <в ней> не нашел. Стоя у пещеры, я подумал, что раб Божий должен вернуться, если он здесь живет, поскольку день близился к концу. И увидел я движущихся верблюдов и обнаженного раба Божьего, волосами своими прикрывающего срамные части тела. Когда он приблизился ко мне, то, приняв меня за духа, стал на молитву, ибо, как он потом говорил, много бед принял он от духов. И я, поняв это, сказал ему: “Я — человек”. И тогда сказал он: “Аминь”. Видя меня, он успокоился, взял меня <за руку> и повел в пещеру и спрашивал, зачем я сюда пришел. Я же ответил: “В поисках рабов Божиих пришел я в эту пустыню. И не отказал нам Бог в этом желании”. И я, спрашивая его, сказал: “Сюда как сам ты пришел и чем питаешься, и почему тебе, нагому, не требуется одежда?” И он ответил: “Я в монастыре был в Фиваиде, занимался ткачеством. И возник во мне помысл, говорящий: «Уйди и живи один, имеешь силы безмолвствовать и получишь большую награду от плодов своего труда». Как только я пообещал <это> помыслу, то <решил> работу <свою> закончить, поскольку имел приказание оставить монастырь. Многие раздавая доходы, старался нищим и странникам <их> раздавать. Тогда враг наш дьявол, позавидовав, как всегда, захотел воздать <мне> за ревностные труды мои к Господу. Встретил я одну монахиню, приказавшую мне однажды и, когда я это сделал, ставшую принуждать, и еще принуждать, и еще приказывать <делать> другое; и так стало это обычаем, и смелости стало болъше, а кончилось прикосновением рук, и смехом и сожитием; и делая это, породили мы беззаконие. Пребывал я с нею шесть месяцев в падении и вспомнил <слова> Илии: «Сегодня или завтра или через много лет смерть получу и приму вечные муки. Ибо, если кто мужнюю жену опорочит, вечным мукам предан будет». Я осквернил Христову невесту, и поэтому в эту пустыню тайно бежал, оставив все женщине. И, придя, я нашел пещеру, источник этот и финиковую пальму, приносящую мне 12 мечей фиников. В месяц она дает один меч, которого хватает мне на 10 дней, а потом созревает и другой. Через много лет отросли мои волосы; когда одежды истлели, ими прикрываю, как положено, постыдные места на теле”. Поскольку я еще расспрашивал его, — “не было ли тебе сначала здесь трудно?” <Он продолжил>: “Сначала я страдал очень, так что и на землю падал от болей в почках, и не мог совершать службу стоя, а лишь лежащим на земле, я призывал Всевышнего. Когда я лежал в пещере в сильной тоске и страдании из-за того, что совершенно не мог выходить наружу, увидел я человека, который вошел и спросил: «Чем ты болеешь?» Я же едва смог вымолвить: «Почки у меня болят». Он спросил меня: «Где болит?» И когда я показал ему, пальцами руки своей, соединив как должно, прорезал место, как ножом, вынул почки, показал мне струпья и, рукою выдернув, в лоскут струпья положил, рукою сдавил <больное> место, сказал мне: «Теперь ты здоров, служи Владыке Христу как следует». С тех пор я здоров и так, работая, живу здесь. Много <раз> я просил <его о том>, чтобы <позволено было> мне жить в прежней пещере, но он отвечал: «Не смей, иначе пострадаешь от козней демонских»”.
Азъ же истое се расмотре, молихъся ему, да помолься, отпустить мя. Си же повѣдахъ вамъ ползы дѣля».	Я же о сути этого <рассказа> рассудил, попросил его, чтобы, помолившись, он отпустил меня. А рассказал вам это пользы ради вашей».
О смѣренѣи мудрости	О смирении
<...> Братъ скорбь имѣаше на брата. Слышав же то, приде покаятъся ему. Онъ же не отъверзе ему дверий. И иде къ единому старцю и повѣда ему вещь ту. И отвѣща ему старець, рекыи: «Блюди еда оправьданье имаши въ сердци своемь, яко зазря братѣ своемь, яко то есть повиненъ, себе же не оправдаеши. И сего дѣля не извѣстися ему отврѣсти, обаче се есть, глаголю ти, аще же и тъ согрѣшилъ есть къ тебѣ, иди, положи въ сердци своемь, яко ты согрѣшилъ еси к тому, и брата своего оправдаи, и тогда Бог извѣсти ему смиритися с тобою». — И проповѣда ему притчю сицю, глаголя: «Два бѣста проста людина говѣина, и свѣщавъша, изидоста и быста мниха. И ревнующа по еангъльску гласу, не вѣдяща же, скопистася, рекъше — Царствия ради Небеснаго. Слышавъ же архиепискъпъ, отлучи я´ от церкви. Она же, мнящеся, яко добро створиста, роптаста на нь, глаголюще: “Вѣ скопиховѣся иза Царствие Божие, и се отлучи на есть, но идѣвѣ, да повѣвѣ на нъ, ко архиепископу Ерусалимьскому”. Шедъша же, повѣдаста ему. И рече има архиепископ: “И азъ отлучаю ва”. И от сего пакы печаль приимъша, идоста во Аньтиохию ко архиепискупу, и рекоста ему яже о себѣ. И тъ отлучи я. И глагола къ себѣ: “Пойдевѣ въ Римъ к патриарху, и тъ мьститъ наю отъ всѣхъ сихъ”. Шедъша же къ великому архиепископу Римъскому, възвѣстиста ему, яже створиша има архиепископи. “Придоховѣ къ тобѣ, — рѣста, — яко ты еси глава вьсѣмъ”. Рече же има и тъ: “И азъ ва отлучаю, и отлучена еста”. Тогда стязающася къ себѣ, рекоста: “Си по себѣ суть единъ по единомъ, зане во сонмѣхъ суть сбирающеся, но идевѣ къ святому Епифанью, архиепископу Купрьску,[16] възвѣстистѣ ему, яко пророкъ есть и не обинуеть ся человѣку”. Егдаже приближистася къ граду его, и явися ему от нею, и пустиста въ сретение ему, он же рече: “Ни въ градъ сь вълазита”. Тогда бывъша въ себѣ рѣста: “Воистину вѣ согрѣшиховѣ. Что убо себе оправьдаювѣ? Буди яко они бес правды не отлучиша, еда убо и сь пророкъ, се бо Бог яви ему таиная”. И зазрѣста себе о грѣсѣ, яже створиста. Тогда видѣвъ сердцевѣдець Богъ, яко воистину зазрѣста себѣ, и сказа о нею отцю Епифанью. Пустивъ же, приведе я и утѣши и приятъ я въ причастье, и написа архиепископу Александрьску, глаголя: “Приими чадѣ твои, покаяста бо ся воистину”».	<...> Брат обиделся на брата. Тот, узнав об этом, пришел покаяться перед ним. Он же не открыл ему дверь. И пошел тот к некоему старцу и рассказал ему об этом. И ответил ему старец, говоря: «Остерегайся оправдать себя в сердце своем, ибо осуждая брата своего, что тот виновен, ты не оправдаешь себя. Из-за этого он не был извещен <свыше>, чтобы открыть <тебе дверь>, но, говорю тебе, если он и виновен перед тобой, иди, положи на сердце своем, что ты виновен перед ним, а брата своего оправдай, и тогда Бог известит его помириться с тобой». — И рассказал ему такую притчу, говоря: «<Жили> двое простых людей-постников, и, посоветовавшись, ушли <из мира> и стали монахами. И, следуя евангельской заповеди, но не понимая ее, оскопили себя, говоря — ради Царства Небесного. Архиепископ, узнав об этом, отлучил их от церкви. Они же, думая, что добро сделали, роптали на него, говоря: “Мы оскопили себя ради Царства Божьего, а он отлучил нас, но пойдем да пожалуемся на него архиепископу Иерусалимскому”. Пошли и рассказали ему. И сказал им архиепископ: “И я отлучаю вас”. И опечалившись от этого еще больше, они отправились в Антиохию к архиепископу и рассказали ему о себе. И тот <тоже> отлучил их. И сказали они друг другу: “Пойдем в Рим к патриарху, и он отомстит за нас всем им”. Придя к великому архиепископу Римскому, известили они его о том, что сделали им архиепископы. “Мы пришли к тебе, — сказали они, — потому что ты — самый главный”. Но сказал им и тот: “И я вас отлучаю, вы отлучены”. Тогда, обращаясь друг к другу, они сказали: “Все они друг за друга, потому что на соборах встречаются, но пойдем к святому Епифанию, архиепископу Кипрскому, и известим его, ведь он пророк и не станет лицемерить перед человеком”. Когда они приблизились к городу, где он жил, объявили ему о себе и пошли к нему навстречу, он сказал <им>: “Не входите в этот город”. Тогда они подумали: “Мы действительно согрешили. Чем себя оправдаем? Если бы те несправедливо нас отлучили, тогда этот пророк <был бы извещен>, ибо это Бог показал ему сокровенное”. И осудили себя за грех, который сделали. Тогда увидел всезнающий Бог, что они действительно осудили себя, и сказал о них отцу Епифанию. Тот, впустив их, привел их <к себе>, и утешил, и принял их в общение, и написал архиепископу: “Прими детей своих, потому что они действительно покаялись”».
И рече старець: «Се есть исцѣленье человѣку, и сему хощеть Богъ, да человѣкъ изложить соблазнъ свои предъ Бога». Слышавъ же братъ, створи по словеси старцю, и шедъ, толкънувъ въ двери братьня. Онъ же, яко токмо очюти утрь, преже его покаяся, и отъверзе ему, лобзастася отъ душа, и бы обѣма миръ великъ.	И сказал старец: «Исцеление человека, которого хочет Бог, в том, чтобы человек рассказал об искушении своем перед Богом». Выслушав, брат сделал так, как сказал старец: пошел, постучал в дверь брата. Тот же, как только услышал <это> внутри <келии>, раньше его покаялся и открыл ему, поцеловались они от души и помирились.
О прозорливых	О провидцах
<...> Рече авва Данилъ, ученикъ отца Антонья,[17] яко: «Повѣда намъ старць Антоний, акы о иномь единомь глаголя, обаче самъ себѣ, яко: “Сѣдящю от старець в келии своеи, приде гласъ, глася: «Приди, да покажю ти дѣла человечьска». И въставъ, изиде, и веде и́. на едино мѣсто, и показа ему мюрина, сѣкуща дрова и сътвориша бремя велико. Покушашеся же ся понести еи, не можаше, и, еже бы уяти от него, шедъ пакы сѣчаше дрова и прилагаше къ бремени, се же мъногажды творяше. И пришедъ мало, показа ему пакы человѣка стояща на кладязи и чреплюща въ сусѣкъ утелъ и ту же воду пущающа въ кладязь. Глагола же пакы: «Приди, да покажю ти иного». И се видехъ церковь и два мужа, сѣдяща на коню и носяща въ прекы древо единъ единому. Хотѣста же преити сквозѣ врата и не можаста, зане бѣ дрѣво въ прекы. Не съмириста же себе, единому управити древо въ правость, и сего дѣля остасте вне вратъ˝.	<...>Сказал авва Даниил, ученик отца Антония: «Рассказывал нам старец Антоний, говоря о каком-то другом брате, в действительности же сам о себе: “Когда старец сидел в своей келье, явился голос, произнесший: «Выйди, и я покажу тебе человеческие дела». И, встав, он вышел, а тот привел его на одно место и показал ему мурина, который рубил дрова и сделал большую охапку. Попробовал он поднять ее, но не смог и, вместо того, чтобы убавить, пошел и еще нарубил дров и прибавил их к охапке, и делал так много раз. И пройдя немного, показал <он> ему еще человека, стоящего у колодца и вычерпывающего <воду> в дырявую емкость и ту же воду выливающего в колодец. Сказал еще <голос>: «Пойдем, и <я> покажу тебе другое». И вот увидел я церковь и двух людей, сидящих <верхом> на конях и держащих с двух концов поперек бревно. Хотели они пройти в ворота, да не могли, потому что <держали> поперек бревно. Не договорились между собой, чтобы один повернул дерево правильно, и поэтому они остались за воротами”.
