О Господи, спаси же! О Господи, поспѣши же!	О Господи, спаси! О Господи, помоги!
Егда же бысть день, пятку сущу, тогда по молебном правилѣ священници и вся братиа приидоша благословитися и видѣти старца. Старець же повелѣ всѣм безъ возбранениа входити и начатъ съ братиею пращатися, старець же, въставъ, сѣдѣше.	Когда же наступил день, а была пятница, тогда по окончании молебного правила священники и вся братия пришли благословиться у старца и повидать его. Старец же разрешил всем невозбранно входить к нему, а сам, поднявшись, начал у каждого брата просить прощения.
Прилучи же ся в то время старець Кирилова монастыря,[9] ему же имя Дионисие, художествомъ часовникъ. Тогда и тьй влѣзе съ братьею прощение прияти. Дионисию же много молящуся, дабы его благословилъ рукою старець, ему же и слышати не хотящу. Много же стужаще о сем. Тогда, оскръбився, рече старец: «Что от мене, господине старець, отъ грѣшна человѣка ищеши благословениа и помощи? Я самъ въ час сей требую многы молитвы и помощи!» Ему же изшедшу, старець же пакы воспомяну й, глагола: «Что сему старцу на мысли? Я сѣжю, сам себѣ не могу помощи, а он от мене рукы требѣаше».	Оказался в это время в монастыре и старец из Кириллова монастыря, по имени Дионисий, ремеслом часовник. Тогда и тот вошел с братиею, чтобы прощение получить. И хотя очень молил Дионисий, чтобы старец благословил его своею рукою, тот и слышать не хотел. И Дионисий сильно огорчился из-за того. Тогда, огорчившись, сказал старец: «Что ты от меня, господин мой старец, от грешного человека, требуешь благословения и помощи? Я сам в сей час много нуждаюсь в молитве и в помощи!» И когда Дионисий вышел, старец, снова вспомнив о нем, сказал: «О чем этот старец думает? Я сижу, сам себе не могу помочь, а он от меня благословящей руки требует».
Братии же всей собравшимся, и немощным, и слѣпотою стражющимъ, и по прощении не хотящим отити. Старець же понуди отъити когождо в кѣлью свою. Бѣ же тогда братии числом 95. Мнѣ же не отступающу от старца ни на мал час, старець же о всем млъчаше, развѣ точью молитву Иисусову непрестанно глаголаше.[10]	Собралась же у старца вся братия, и больные, и слепые, и после старцева прощения никто не хотел уходить. Старец же повелел каждому уйти в келью свою. Было же тогда братии девяносто пять человек. А я не отходил от старца даже на малое время, старец же все время молчал, только непрестанно молитву Иисусову творил.
Егда же приспѣ час литургии, приде священник благословитися по обычаю, понеже обычай имѣють священници на всяк день благословятися у старца, в кѣлью приходяще. Священник же поиде на божественую службу. Самъ же начать облачитится в ризы своя, понеже хотяше ити въ святую церковь къ божественѣй службѣ, мнѣ же ему с братьею во всем помогающу.	Когда же приспело время литургии, пришел священник благословение взять, по обычаю, потому что священники, как заведено было, каждый день приходили в келью, чтобы благословиться у старца. После этого священник пошел на богослужение. Старец же начал облачаться в одежды свои, потому что хотел пойти в святую церковь на литургию, я же помогал ему во всем с братьями.
Егда же свершися святая литургиа, взем святыя дары,[11] изыде из церкве, братиямъ его провожающимъ, шествуя с посохом, опочивая мало, не дадяше себѣ свершенѣ прикоснутися братии или водити весма, но со многымъ опасением приближахомся ему.	Когда же окончилась святая литургия, приняв святые дары, он вышел из церкви, а братия его провожала, шел он с посохом и, понемногу отдыхая, не разрешая братии подходить к себе и помогать, и мы с большим опасением приближались к нему.
Егда же бысть въ кѣлии, отпусти братию, сам же взлеже немощи ради. Мнѣ же оставшу у старца, аще о чемъ помянет. Ничто же о пищи рече, точью повелѣ ми сыты,[12] мало воды сладчае, дати себѣ жажди ради. Отнелиже разболѣся, ничто вкуси.	И когда пришел он в келию, то отпустил братию, а сам лег в изнеможении. Я же остался у старца на случай, если что-нибудь понадобится. И ничего он о еде не сказал, только велел мне дать ему сыты, чуть слаще простой воды, так как пить захотел. С тех пор, как разболелся, ничего не вкусил.
По малѣ часѣ присла князь Михайло Андрѣевичь диакона своего увѣдѣти, что ради не повелѣ ему старець у себе быти, якоже рѣх преже, и что прилучися старцу. Мнѣ же сказавшу, что князь присла, ему же ничтоже отвѣщавшу, точию отпустити повелѣ: «Нѣсть ему у мене ни о чем дѣла».	Спустя немного времени прислал князь Михаил Андреевич дьякона своего узнать, почему не велел ему старец приходить к себе, как я уже сказал раньше, и что случилось со старцем. Когда же я сказал старцу, что от князя посланец пришел, он ничего мне не ответил, только велел его отпустить: «Нет у него до меня никакого дела».
В то же время привезоша грамоты от предѣла тферьскаго да деньги золотые; мнѣ же явившу ему, он же повелѣ к себѣ внити пришедшим. Аз жеж, взем грамоты и деньги, принесох в кѣлью к старцу, таже явих ему: «Азъ прочту грамоты пред тобою». Старець же не повелѣ прочести, повелѣ отдати принесшим. Мнѣ же глаголющю: «Повели мнѣ взяти, нам то надобе», — старець же оскорбися на мя и запрѣти ми, рек сице: «Ты возмешь — ино то я взял».	В это время привезли грамоты из удела тверского и деньги золотые; я ему сказал об этом, он же не разрешил пустить к себе прибывших. Я же, взяв грамоты и деньги, принес в келью к старцу и сказал ему: «Я прочту тебе грамоты». Но старец не велел читать, приказав отдать их принесшим. А когда я сказал: «Разреши мне взять, ведь нам это нужно», — старец рассердился на меня и запретил мне, говоря так: «Ты возьмешь — все равно что я взял».
Обычай же имѣше стрець всегда Пречистые имя нарицати и надежу имѣти, и рече: «Еще, брате, у Пречистой есть братии что пити и ѣсти. Они прислали не моея ради пользы, но от мене, грѣшьнаго, требуют молитвы и прощения, а я, видите, самъ наипаче во время се требую молитвы и прощения».	Был же у старца обычай всегда имя Пречистой призывать и надеяться на нее, и сказал он: «Еще, брат, у Пречистой есть чем братию кормить и поить. Они прислали не ради моей пользы, но от меня, грешного, хотят получить молитву и прощение, а я, вы видите, сам больше других сейчас нуждаюсь в молитве и прощении».
Аз же ничтоже ино рѣх, точью прощения прося о всем, и отпустих я отъ монастыря со всѣмъ. И испытах ихъ, о нейже вещи приидоша, и вся тако суть, якоже ми старець рече.	Я же ничего не ответил, только просил его простить меня за все и отпустил из монастыря пришедших со всем принесенным. И расспросил я их, для чего они приходили, и оказалось все именно так, как мне старец сказал.
Обычай же бѣ старцу: егда кто от братии в немощь впадаше, тогда старець прихожаше к брату и воспоминаше ему послѣднее покаание и святых даровъ причащение. О себѣ же ничтоже о сих глаголаше, нам же дивящимся, еда како в забвение приде о сихъ старець.	Был же у старца такой обычай: если кто-нибудь из братии заболевал, тогда старец приходил к этому брату и напоминал ему о последнем покаянии и о причащении святых даров. О себе же он ничего не говорил, и мы дивились — не забыл ли об этом старец.
По малѣ часѣ приде церковный служитель, глаголя: «Время вечерни приближися». Нам же глаголющим, старець начатъ осязати ризы своя. Мнѣ же вьпросившу: «Камо хощешь изыти, еда нужи ради коея?», — ему же рекшу: «Имам ити къ вечерни». Начахом старца облачити в ризы его, таже взят посох свой, нам же спомогающим ему со обою страну, не дадяше старець приимати за руцѣ, развѣе за ризы помогахом ему.	По прошествии некоторого времени пришел церковный служитель, говоря: «Время вечерни приблизилось». И когда мы заговорили, то старец потянулся к одеждам своим. Когда же я спросил его: «Куда хочешь пойти, по какой нужде?» — он ответил: «Пойду к вечерне». Стали мы облачать старца в одежды его, а он взял посох свой, мы же помогали ему с обеих сторон, и не разрешал старец держать его за руки, а только за одежды помогали (поддерживать) его.
Егда же приде въ церковь, тогда ста на своем мѣстѣ, аз же ему уготових сѣдалище. Старець же, на посох руцѣ положь, таже главу преклонивъ, стояше. Егда же братия начаша стихиры пѣти,[13] тогда старець начатъ пѣти съ братиею по обычаю. Обычай же имѣше старець ни единого стиха мимоити с молчаниемъ, но всегда пояше съ братиею. Егда же случашеся не услышати ему стиха или коего слова вь стихѣ, тогда повелѣваше кононарху[14] пакы възвращатися множицею и повторяше стихы, дабы извѣстно разумѣлъ.	Когда же пришел он в церковь, то встал на своем месте, я же приготовил ему сидение. Старец же, опершись руками о посох и голову преклонив, остался стоять. И когда братия начала петь стихиры, то старец, как и всегда, начал петь с братиею. Обычай же был у старца ни единого стиха не пропускать молча, но всегда петь вместе с братиею. Если же случалось ему не услышать стиха или какого-нибудь слова в стихе, то велел кононарху снова возвращаться по нескольку раз и повторять стихи, чтобы тот как следует запомнил.
Скончанѣ же бывши вечерни, наченьшу священнику понахиду,[15] понеже предание святых отець по обычаю церковному в пяток вечеръ всегда помяновение о усопших бываеть. Братиа хотяще старца в кѣлью вести, ему же не хотящу, рече бо: «Азъ требую паче слышети, понеже мнѣ нужнѣйше, к тому не возмогу слышати». Братиа же начаша пѣти «Блажени непорочни». Старець же усердно припѣваяше братьямъ, якоже братиамъ мнѣти, еда како легчае ему бысть.	По окончании вечерни начал священник служить панихиду, потому что, по заветам святых отцов, по обычаю церковному, в пятницу на вечерне всегда поминовение усопших бывает. Братия хотела старца вести в келью, он же не захотел, сказав: «Я должен более других слушать, потому что мне это нужнее всего, впредь уже не смогу слушать». Братия же начала петь «Блаженны непорочные». Старец же усердно подпевал братии, и братия подумала, что ему стало легче.
По скончании правила излѣзе старець из церкве. Идущу же ему в кѣлью, священници же и прочая братия шествують по старцѣ, провожающе. Егда же приде въ кѣлью, тогда отпусти всѣхъ съ благословениемъ и прощением и самъ у всѣхъ простися. Мнѣ же и иному брату, именем Варсонофию, не отлучающуся ни единого часа. Старцу же взлегшу изнеможения ради телеснаго, намъ же безмолствующим, и по малѣ часѣ приде паномаръ,[16] прося благословения на павечернее правило. Старець братиямъ повелѣ пѣти, сам же не возможе поити, мнѣ повелѣ у себѣ проговорити павечерницу.	По окончании службы вышел старец из церкви. А когда шел он в келью, то священники и остальная братия шла за старцем, провожая его. Когда же пришел он в келью, тогда отпустил всех, дав благословение и прощение, и сам у всех прощения попросил. Я же и другой брат, по имени Варсонофий, не отлучались от него ни на мгновение. И старец лег в изнеможении и усталости, мы же сидели молча, и вот вскоре пришел пономарь, чтобы получить благословение на повечерие. Старец братиям велел идти на службу, сам же не смог пойти и велел мне у него в келье читать повечерие.
По соборнѣмъ отпѣтии пакы приде Арсение. Аз же рѣх ему: «Азъ иду въ кѣлью, ты же возми свѣтилник, възжи да посѣди у старца, дондеже прииду». Обычай же бѣ старцу никогдаже по павечернѣмъ правилѣ свѣщѣ или свѣтилнику горѣти, но всегда в нощи молитву творяше, множицею же сѣдя усыпаше, вервицу в руках держаше,[17] Иисусову молитву глаголаше. Егда же възженъ бысть свѣтилникъ, старець же во изнеможени лежаше, аз же, приемъ благословение, идох в кѣлью мою малаго ради покоя.	По окончании службы в храме снова пришел Арсений. Я же сказал ему: «Я схожу в свою келью, а ты возьми светильник, зажги да посиди у старца, пока не приду». А у старца был обычай никогда после повечерия не зажигать свечу или светильник, но в ночной темноте молиться, и часто он так сидя и засыпал, держа в руках вервицу и творя Иисусову молитву. И когда зажгли светильник, старец в изнеможении лежал, я же, приняв от него благословение, пошел в келью свою, чтобы немного отдохнуть.
Едва уснух от многых помыслъ о старцѣ, пакы же съкоро убудився, въстах и идох в кѣлью старца. Старец же лежаше, молитву творяше. Аз же, сотворь молитву, възвѣстих ему утрьни час. Старець же не возможе поити, аз же глаголахъ ему полунощьницу и прочее правило, он же, въставъ, сѣдѣше, моляшеся.	И едва уснул я из-за беспрерывных дум о старце, как вскоре снова проснулся, встал и пошел в келью старца. Старец лежал и творил молитву. Я же, сотворив молитву, возвестил ему, что наступило время утрени. Но старец не смог пойти в церковь, и я прочитал полунощницу и остальную службу, он же, поднявшись, сел и молился.
Егда же бысть день, обычай же бѣ многолѣтный старцу на всякъ день молбены пѣти, или праздникъ или простъ день, — иногда дващи, множицею и три случашеся, — братия же начаша пѣти въ соборѣ, мнѣ же повелѣ у себе проговорити канон[18] Иисусовъ, таже Пречистой похвалный. Егда же изглаголахъ, тогда мало умлъчах, таже с тихостию въставъ, начах себѣ часы глаголати.[19] Старець же, въставъ, сѣдѣше. Аз же въпросихъ: «Что ради въставъ сѣдиши? Еда вонъ хощеши изыти?» Ему же рекшу: «Сего ради сѣжю, — ты часы глаголеши, а мнѣ лежать?» Мнѣ же удивльшуся великому трезвѣнию блаженаго.	Когда наступил день, то, по исстари заведенному старцем обычаю во всякий день петь молебны, — был ли то праздничный или будничный день (и иногда по два, а часто и по три молебна пели), — братия стала молиться в церкви, мне же старец повелел у него в келье прочитать канон Иисусов, а также канон похвальный Пречистой. Когда я все закончил, то, немного помолчав, с тихостью встал я и начал про себя читать часы. Старец же поднялся и сел. Тогда я спросил: «Почему ты поднялся? Хочешь из кельи выйти?» Он же мне ответил: «Потому сижу, — ты часы читаешь, а мне лежать?» И подивился я великой твердости блаженного.
Помалѣ же начать понуждати на божественую службу. Аз же възвѣстих служителю церковному. Старець же начат облачитися в ризы своя, нам же спомогающим ему. Старцу же пришедшу въ церковь, стоящю же ему на обычном мѣстѣ. Егда же свершися божественая служба, старцу по обычаю вземшу святыа доры, излѣзе изъ церкве.	Спустя немного времени велел старец готовиться к литургии. Я сказал об этом церковному служителю. Старец начал облачаться в одежды свои, мы же помогали ему. Когда старец пришел в церковь, то стал на своем обычном месте, а когда окончилось богослужение, старец, как и обычно, приняв святые дары, вышел из церкви.
Егда же бысть в кѣлии, аз же уготовах ему малы потребы, еда како вкусити восхощет. Отнелиже разболѣся, ничтоже вкуси, развѣ воды мало медом услажены, едва познаватися сытѣ, меду же кислего или квасу никакоже вкуси. Мнѣ же понужающу вкусити немощи ради, старець же рече ми: «Не токмо не полезно есть, но и пагубно пианому умрети».	Когда вернулись в келью, я приготовил для него немного еды на случай, если захочет поесть. С тех пор как разболелся он, ничего не вкушал, только пил воду, слегка подслащенную медом, так что это едва походило на сыту, забродившего же меду или квасу даже не пробовал. Когда же стал я, по причине немощи старца, уговаривать его вкусить, старец сказал мне: «Не только не на пользу, но пагубно будучи пьяным умереть».
Мартирию же диакону сущу, тогда по старцеву благословению имущу службу на трапезѣ представляти мед и пиво братьям. Тогда ему пришедшу благословитися у старца, что повелить братии взяти на трапезу пити, старець же повелѣ ему мед лучший всегда взимати на трапезу, рекъ сице: «Братиа да пьють, после мене миряне то попиють». Аз же рѣх ему: «Днесь и сам вкуси, понеже субота есть, еще же Пятдесятница».[20] Старець же ми рече: «И азъ вѣм, что субота и 50-ница, но писано въ правилехъ: “Аще и велика нужа будет, ино три дни попоститися болящему причащения ради святых тайнъ”. Мене же видиши немощна суща. Аще Господь сподобит и пречистая Богомати, заутра хощю причаститися святым тайнам».	В то время по благословению старца Мартирий-диакон во время трапезы подносил братии мед и пиво. Когда пришел он, чтобы благословиться у старца и спросить, какое повелит он взять питие на трапезу братии, то старец велел ему всегда лучший мед приносить на трапезу, сказав так: «Пусть братья пьют, а то после меня миряне его выпьют». Я же сказал ему: «Сегодня и сам вкуси, потому что суббота сегодня, к тому же и Пятидесятница». И старец мне ответил: «Я и сам знаю, что суббота и Пятидесятница, но в правилах написано: “Даже если и великая нужда будет, все равно три дня следует поститься больному ради причащения святых тайн”. А меня, сам видишь, недуг охватил. Если Господь и святая Богоматерь сподобят меня, то завтра хочу причаститься святых тайн».
Мы же почюдихомся великому его опасению: преже помышляхом, якоже напреди рекох, еда како в забвение приде о сих старец, а онъ отнелиже разболѣся, от того часа посту прилежаше, а нам ничтоже о сих яви.	И удивились мы его великому послушанию: сначала думали мы, как я уже раньше сказал, что просто забыл об этом старец, а он, оказывается, как только разболелся, с того самого времени постился, а нам об этом ничего не говорил.
Таже братию отпусти в трапезу ити на обѣд, сам же мало упокоися немощи ради. Братии же заповѣда, да не стужають ему ни о чемъ, дондеже сподобится божественаго причащения святых даров.	Потом отпустил он братию в трапезную обедать, сам же немного отдохнул из-за немощи своей. Братии же повелел, чтобы не тревожили его ни из-за каких дел, пока не сподобится он божественного причащения святых даров.
Се же ему обычай бяше многолѣтный: егда хотяше причаститися святым тайнамъ, тогда всю неделю пребываше молчя не токмо от мирян, но и с братьею не глаголаше и о нужных вещехъ, ни живущему с ним в кѣльи что глаголаше. Постъ же ему всегда обыченъ бѣше.	Был же у старца такой долголетний обычай: когда хотел он причаститься святых тайн, тогда всю неделю пребывал в молчании, и не только с мирянами, но и с братьею не говорил даже о необходимых делах, и с живущим с ним в келье ни о чем не говорил. Пост же для него всегда обычен был.
Нам же отшедшим кождо в кѣлью свою. По малѣ врѣмени посылаеть ученика своего и призывает священника, именем Исаия. Преже не бѣ ему обычай сего призывати. Священнику же вшедшу въ кѣлью старца и стоящу, старець же съ смирениемъ начатъ глаголати ему о духовных дѣлех. Священнику же о семъ недоумѣющуся, паче же страхом и трепетомъ одержим о старцевых глаголѣхъ, якоже сам извѣствоваше мнѣ. Таже повелѣзаеть ему покаание прочести и прочая по ряду. И благословение приемлеть и прощению сподобляется, преже от Бога прощеный.	И разошлись мы по кельям своим. Вскоре после этого посылает старец ученика своего позвать к себе священника по имени Исайя. А прежде он обычно не звал того к себе. Когда священник вошел в келью к старцу и стал, начал старец со смирением говорить ему о духовных делах. Удивился этому священник, а еще более, как потом сам рассказал мне, был он объят страхом и трепетом из-за того, что говорил ему старец. Однако повелел священник старцу покаянную молитву прочесть и все остальное, что полагается. И вот благословение получает и прощения сподобляется тот, кто давно уже Богом прощен.
Въ то же время присылаеть князь Михайло Андрѣевич духовника своего попа Ивана старца посѣтити, — и сам князь много желаше ѣхати къ старцу, но не смѣяше безъ повелѣния, — аще ли не повелить ему быти у себе старець, да благословить и простит его старець и сына его князя Ивана? Старець же не повелѣ попу Ивану к себѣ внити, ниже бесѣды сподобитися. Он же много братию моляше, ни единого обрѣте довести его до старца. Послѣжде и ко мнѣ приходить со княжим словом, чтобы видѣти старца и князем повелѣнная глаголати. Мнѣ же, вѣдящу старцевъ разумъ и твердость нърава, не смѣющу о томъ и глаголати. Ему же много на се мя нудящу.	В это же время прислал князь Михаил Андреевич духовника своего, попа Ивана, старца навестить, — князь и сам хотел очень приехать к старцу, но не смел без разрешения, — и узнать, не разрешит ли старец побывать ему самому у него и не благословит ли старец его и сына его, князя Ивана? Старец же не разрешил попу Ивану к себе войти и говорить с ним не захотел. Тот же сильно братию упрашивал, но ни одного не нашел, кто бы согласился провести его к старцу. Потом и ко мне пришел с княжьим поручением — увидеть старца и повеленное князем передать. Я же, зная твердость старца и непреклонность его нрава, не осмеливался и говорить об этом. Поп же Иван долго упрашивал меня.
Аз же единъ идох кь старцу и сказах ему, что: «Князь Михайло прислалъ попа Ивана тебе видѣти и чтобы еси благословил и простил князя Михайла и сына его кънязя Ивана». Ему же молчащу. Аз же не обрѣтъ дръзновения кь старцу, по малѣ часѣ восхотѣх изыти, сотворивъ метание. Преподобная же она глава ни тогда мя скорбяща отпусьти, рече бо ми: «Дивлюся князю, съ чѣм присылаеть — “Сына моего благослови, князя Ивана”, а князь Василей ему не сынъ ли? Самъ на ся раздѣлися.[21] Богъ вѣсть, гдѣ имат обрѣсти миръ и благословение!» Таже рече ми: «Ни о чемъ ему у мене дѣла нѣт, аще и самъ князь бы был».	Тогда я один пошел к старцу и сказал ему: «Князь Михаил прислал попа Ивана, чтобы тебя повидать и чтобы ты благословил и простил князя Михаила и сына его, князя Ивана». Старец же молчал. Я же, не осмелившись больше беспокоить старца, немного подождал и хотел уйти, земно поклонившись ему. Преподобный же старец не отпустил меня огорченным, но сказал мне: «Дивлюсь я князю, с чем посылает ко мне — “Сына моего благослови, князя Ивана”, — а князь Василий разве не сын ему? Сам в своей семье раздор заводит. Бог весть, где обретет мир и благословение!» Потом сказал мне: «Никакого дела у князя до меня нет, даже если бы и сам прибыл».
Аз же, и не хотя, сия вся извѣстих попу Ивану. Он же, не увѣрися моими словесы, на ину мысль преложися: восхотѣ вечерни ждати, да сподобится бесѣды и благословения от старца. Егда же бысть время вечерни, тогда съ старцем идохом въ церковь, попъ же, предваривъ южными враты, съкоро вниде в церковь, хотя получити желаемое. Старець же, ощутивъ пришествие попа, скоро вниде въ светый олтарь. Егда же попъ изыде изъ церкве, таже и от моностыря, тогда старець излѣзъ из церкве, идяще въ кѣлью свою.	Я же, и не желая того, все это рассказал попу Ивану. Он же, не поверив моим словам, вот что задумал: решил дождаться вечерни, чтобы сподобиться беседы со старцем и его благословения. Когда настало время вечерни, пошли мы со старцем в церковь, а поп заранее незаметно вошел в церковь через южные двери, чтобы добиться своего. Старец же, поняв, что поп в церкви, поспешно вошел в святой алтарь. И лишь после того как поп ушел из церкви, а потом и из монастыря, вышел старец из церкви и пошел в келью свою.
