ХОЖДЕНИЕ НА ВОСТОК ГОСТЯ ВАСИЛИЯ ПОЗНЯКОВА С ТОВАРИЩИ[1]	ХОЖДЕНИЕ НА ВОСТОК ГОСТЯ ВАСИЛИЯ ПОЗНЯКОВА С ТОВАРИЩИ
А одесную страну грѣческия церкви гора святая Гольгофа, гдѣ роспяша пребеззаконьнии июдѣи Господа Бога нашего Исуса Христа; и егда приидетъ единъ от воинъ и копиемъ ребра ему прободе, и абие изыде кровъ и вода. И укануша кровъ на гору на Гольгофу, и ту розсядеся гора каменная от крове той, истече кровъ Господа Бога нашего Исуса Христа на Одамову главу[96]; в той бо горѣ Гольгофе глава Адамова сокровенна, и нынѣ то место зоветца Лобное.[97] И на той святой горѣ стоятъ 30 каньдил, а горятъ день и нощь бѣзпрестанно.	А справа от греческой церкви гора святая Голгофа, где распяли беззаконнейшие иудеи Господа Бога нашего Иисуса Христа, и когда, подойдя, один из воинов вонзил копье ему в ребра, то сразу выступила кровь и вода. И пролилась кровь на гору на Голгофу, и тут треснула каменная гора от той крови, и омочила кровь Господа Бога нашего Иисуса Христа Адамову голову; в той горе Голгофе была погребена голова Адама, а ныне то место зовется Лобным. И на той святой горе стоит тридцать лампад, а горят день и ночь беспрестанно.
И повелениемъ благовернаго и христолюбиваго царя государя и великого князя Ивана Васильевича всеа Русии поставили есми каньдило неугасимое и приказали то каньдило беречи и наливать масломъ игумѣну иверскому да казначею Галеилу. А гору ту святую Гольгофу дерьжат Иверская земля, православные християнѣ, вера греческая, а языкъ у нихъ свой.[98] А служитъ на святой Гольгофе иверской игуменъ со крестияны, а престолъ на святой Гольгофѣ Роспятие Господа Бога нашего Исуса Христа. А восходъ на святую гору Гольгофу лесница 13 ступеней. А сошед с лесницы налеве под горою стоитъ церковъ невелика, а в ней гробъ Мельхиседековъ.[99] И в той церкви видеть разселину от верха святые Гольгофы, что от кровѣ Господа нашего Исуса Христа разседеся, и то знать и до сего дни. А где на святой Гольгофе крестъ стоялъ, и ту гора пробита с полсажени, и то место серебромъ обложено. А где уканула кровъ Господа нашего Исуса Христа на гору, и ту розселина с полсажѣни широка, а глубины никто же можетъ ведати, и то место серебром обложено. А противъ дверей церковных, кабы сажень шесть, снятие со креста Господа нашего Исуса Христа; на томъ мѣсте положи его и обви плащеницею.[100] И то место покрыто цкою мраморною, и тут горятъ 8 каньдил, день и нощь, от всяких веръ. И с того каменя положиша тело Исусово во гроб, иже бѣ изсеченъ ис каменя.	И повелением благоверного и христолюбивого царя государя и великого князя всея Руси Ивана Васильевича мы поставили неугасимую лампаду и приказали игумену иверскому да казначею Галеилу ту лампаду беречь и наливать масло. А горой той святой Голгофой владеет Иверская земля, православные христиане, греческой веры, а язык у них свой. А служит на святой Голгофе иверский игумен с христианами, а престол на святой Голгофе во имя Распятия Господа Бога нашего Иисуса Христа. А подъем на святую гору Голгофу по лестнице в тринадцать ступеней. При спуске с лестницы налево под горою стоит небольшая церковь, а в ней гроб Мельхиседека. В той церкви видна расселина от вершины святой Голгофы, что от крови Господа нашего Иисуса Христа расступилась, и видно ее и доныне. А где на святой Голгофе крест стоял, тут гора пробита на полусажень, и то место серебром обложено. А где пролилась кровь Господа нашего Иисуса Христа на гору, и тут расселина с полсажени, широкая, а глубины ее никто не может знать, и это место серебром обложено. А против церковных дверей, около шести саженей, сняли со креста Господа нашего Иисуса Христа; на том месте его положили и обвили плащаницею. И то место покрыто плитою мраморною, и тут горят восемь лампад, день и ночь, от разных вер. И с этого камня положили тело Иисусово в гроб, который был высечен из камня.
А церковъ великая и престолъ греческой и основание царя Костяньтина и матери его Елѣны, огорожена кругомъ на 4 стены, а столповъ в ней 300 от мрамора, а дерьжат церковъ великую патриархъ со християны Герьман,[101] и престолъ старой. Гдѣ патриархъ служитъ, и тут еретики не входятъ. А по обѣ стороны великие церкви стоят престоли еретически, дѣланы к стенам. А ерѣтики суть называютца крестьянѣ: латыни, хабѣжь, ковти, арьмени, несториянѣ, ариянѣ, яковити, тетрадити, маруни и протчая их прокълятая ересь. А престоловъ еретическихъ 8. А в великие церькви двои врата, едины замурованы погаными турки, а другие отворяютца, и тѣ запечатаны стоятъ от туръковъ. И у тѣхъ вратъ стоитъ 8 столповъ мраморныхъ, 5 белых, а 3 аспидныхъ темнозелены; у техъ вратъ приделано в церковной стенѣ место высоко и позлащено. Ту царица Елѣна жидов судила.	А церковь большая и престол греческий, основана царем Константином и матерью его Еленой, она огорожена четырьмя стенами; а столбов в ней триста, из мрамора, а владеет церковью великою патриарх Герман с христианами, и престол древний. И туда, где патриарх служит, еретики не входят. А по обе стороны великой церкви стоят престолы еретические, приделанные к стенам. А еретики, называющиеся христианами, суть: латиняне, абиссинцы, копты, армяне, несториане, ариане, яковиты, тетродиты, марониты и прочие их проклятые ереси. А престолов еретических восемь. В великой церкви двое врат, одни замурованы погаными турками, а другие отворяются, и стоят запечатанные турками. И у тех врат стоит восемь столбов мраморных, пять белых, а три аспидных темно-зеленых; у врат приделано к церковной стене место высокое и позолоченное. Тут царица Елена иудеев судила.
И в день суботный, великие суботы поутру, пришол патриархъ и мы, грешнии, с нимъ, ко вратомъ великие церкви. Туто же много народу стоящу, пришедшу от дальних стран на поклонѣние Гробу Христову. Патриархъ же сядѣ прѣд церквию, тута же и мы, грешьнии и мытьницы, и янычанѣ сидятъ. И пришед турки и отпечатаютъ врата церковная, и иде патриархъ со крестияны в церковъ. А крестьяне суть: греки, сирьяне, серьбы, ивиры, русь, арнапиты,[102] волохи. А емлютъ поганые турки со всякого крестьянина по 4 золотыхъ угорских,[103] тоже и в церковъ пустятъ. И мы грѣшьнии дахомъ по 4 золотыхъ с человека. А которому дати нечего, тово и в церковъ нѣ пустятъ. А с латыней, фрязовъ[104] и сь еритиковъ по 10 золотыхъ, а золотой по двацати алтынъ, развее с черноризцовъ мыта не емлютъ.	И в день великой субботы поутру пришел патриарх и мы, грешные, с ним к вратам великой церкви. Тут же много стояло народу, пришедшего из дальних стран на поклонение Гробу Христову. Патриарх же остановился перед церковью, тут же и мы, грешные, с мытниками и янычарами стояли. И пришли турки и распечатали церковные врата, и вошли патриарх с христианами в церковь. А христиане это: греки, сирийцы, сербы, иверы, русь, арнаниты, валахи. А взимают поганые турки со всякого христианина по четыре золотых угорских, и тогда и в церковь впускают. И мы, грешные, дали по четыре золотых с человека. А которому дать нечего, того и в церковь не впустят. А с латинян, фрягов и с еретиков по десять золотых, а золотой по двадцати алтын; только с монахов податей не берут.
В той же суботной день приидутъ много крестиянъ от многихъ земель, не имущимъ им, что дати поганым туркомъ, — странныи и убогии. И они пришед ко вратомъ великия церкви, а на вратех учинены оконца невелики. И они в оконца зряще в церковъ и плакахуся горцѣ, дабы вошли внутрь церкви видети Гробъ Христа Бога нашего и Святого Духа сошестьвие с небеси на Гробъ Господень. Вшедшу же патриарху во церковь, и мы с нимъ внидохомъ и прииде ко Гробу Господню, и помолихся у святого Гроба престола Воскресения Христова. И приидохомъ гдѣ лежитъ камень, что ангелъ его отвали от Гроба Господня. А над нимъ стоятъ образы. И мы, недостойнии, помолився и целовахомъ тотъ камень. И внидохомъ внутрь придѣла ко Гробу Господню. Туто же радости и трѣпета исполнихомся, како узрехомъ живоносный Гробъ избавитѣля нашего. И начахомъ дивитися человеколюбию Божию, како насъ грешьныхъ допусти до святого града Иерусалима и видѣти и целовати Гроб своего человеколюбия, понеже бо многие скорьби на пути бываютъ от беззаконных турковъ и от араповъ, на мори и на сухе.	В тот субботний день приходит много христиан из многих земель, странников и убогих, не имеющих что дать поганым туркам. И они подходят к вратам великой церкви, а на вратах небольшие оконца. И вот они смотрят в оконца в церковь и с горьким плачем просят, чтобы их пустили внутрь церкви увидеть Гроб Христа, Бога нашего, и сошествие Святого Духа с небес на Гроб Господень. И когда вошел в церковь патриарх, и мы с ним вошли и приблизились к Гробу Господню, и помолились у святого Гроба и престола Воскресения Христова. И пришли мы туда, где лежит камень, который ангел отвалил от Гроба Господня. А над ним стоят иконы. И мы, недостойные, помолившись, целовали тот камень. И вошли внутрь придела ко Гробу Господню. Тут мы радости и трепета исполнились, когда увидели живоносный Гроб избавителя нашего. И стали мы дивиться Божию человеколюбию, как он нас, грешных, допустил до святого града Иерусалима, чтобы видеть и целовать гроб Божия человеколюбия, а ведь многие неприятности бывают на пути от беззаконных турок и арабов, на море и на суше.
В ту же Великую суботу изоутра внидутъ погании турцы спагли и санчаки[105] и янычане в церковъ ко гробу Господню и погасятъ все каньдила во всей церкви и по приделомъ и над самимъ Гробомъ Господьнимъ, ни единого не оставятъ. Обычай же у патриарха, что и в домех своихъ в Великой четьверьг погашаютъ огнь. И сходитъ огнь с небеси на Гробъ Господень, и от того огня взимаютъ в домы своя и дерьжатъ тотъ огнь во весь годъ. А дѣла при нем никакова не делаютъ, развее Богу молятца до Воскресения Христова. И церковъ малую запечатаютъ своею печатию и стража поставятъ у дьверѣй гробницы. А патриарху со крестияны дадутъ старую трапезу.[106] Патриархъ же со крестияны идетъ во свою церковь к Воскресению Христову и тамо Бога молятъ со слезами, а жьдутъ знамения Божия с небеси.	В ту же Великую субботу с утра приходят поганые турки с погаными санджаками и янычарами в церковь ко Гробу Господню и гасят все лампады в церкви, и в ее приделах, и над самим Гробом Господним, ни одной не оставят. Обычай же у патриарха, чтобы и в домах своих в Великий четверг гасили огонь. И сходит огонь с небес на Гроб Господень, и от этого огня берут в свои дома и держат тот огонь весь год. Но дéла при нем никакого не делают, только Богу молятся — до праздника Воскресения Христова. Турки же малую церковь запечатывают своей печатью и стражу ставят у дверей гробницы. Патриарху же с христианами предоставляют престол в старой трапезной. Патриарх с христианами идет в свою церковь Воскресения Христова, и там они Богу молятся со слезами и ждут Божьего знамения с небес.
И за два часы до вечера приидетъ солнце в великую церковъ, в непокровенное мѣсто. И станетъ лучь от солнеца на кресте, что внутрь церкви, — крест на гробницѣ, над Гробомъ Господнимъ. И узревъ патриархъ то божестьвенное знамя — лучь — и нача во своей церкви со крестияны вечерьню пети; и не прочитая парѣмеи[107] вземъ евангелие и крестъ и хоруговъ[108] и свеща безо огня, и поиде патриархъ в сторонние двери от старые трапезы ко Гробу Господню. И за ним идутъ иноки и християнѣ, и за ними идетъ игумѣн венецкой Внифаньтей;[109] а живетъ на Сионѣ горѣ со фрязы, и за ним арьменской игуменъ с арьмѣны, и затем идутъ ковти, и хабеши, и маруни, и нѣсторияне и протчая их проклятая ересь, со своими попы. И пришед патриархъ со крестияны ко Гробу Господню и обыдоша трижьды около гробницы, молящеся Богу со слѣзами. Иноком, инокиням и всем християномъ плачющеся и вопиющим горце к Богу: «Господи, сподоби нас видети благодать своего человеколюбия и нѣ остави насъ, сирыхъ». Патриархъ же, ходя около Гроба Господня, пояшѣ стихеру: «Днесь адъ стоня вопиетъ».[110] Намъ же всемъ плачющимся, не могохомъ удерьжатися от слез. И приидѣ патриархъ ко дверемъ гробницы и повеле туркамъ гробницу отпечатати. Патриархъ же отверьзе двери гробницы, и все люди узреша благодать Божию, сошедшу с небеси на Гроб Господень во образе огненнѣ: огню ходящу по Гробу Господню, по цки мраморной, всякими цветы, что молния с небеси. А каньдилам всемъ стоящим верьху Гроба безо огня. И видѣвшѣ вси людие таковое человеколюбие Божие и радовашеся радостию великою зело и многие слезы испущаху от радости. А латынской игуменъ Внифаньтей восхотѣ преже нашего патриарха внити во гробницу. И Синайского монастыря старец священникъ Иосиф, да Малахия, да с Савина монастыря старецъ Моисей ухватиша его и нѣ даша ему внити прежь во гробницу. Патриархъ же нашь Герьман[111] вниде единъ в гробницу имуще во обоихъ руках свещи многие и приступль ко Гробу Господню и дерьжаше свещи в рукахъ воскрай Гроба Господня. И снидѣ огнь со Гроба Господня, яко молния, на патриаршеския руки и свещи, что в руках его, пред всеми людьми. И насъ, грешьныхъ, сподобил Господь Богъ видети: в той часъ християнское каньдило на гробѣ загореся посреде всехъ каньдилъ, а ото иных ни едино каньдило не загореся. Патриархъ же изыде из гробницы имуща во обоихъ рукахъ свеща горящая, великие пуки свечь, изнесъ огнь на врата гробницы. И посторонь ста патриархъ на высокомъ месте, а народ окрестъ его стояшѣ, и от его рукъ взимаше християнѣ огнь и зажигаютъ по всей великой церкви и по святымъ мѣстомъ свещи и каньдила. И тотъ огонь панесоша и по домомъ по своимъ; и дерьжатъ его в домех своих во весь годъ. А которые свещи патриархъ изнесе со огнемъ от Гроба Господня, и тотъ огонь в патриарьшескихъ руках не жжетъ человеческихъ рукъ. А какъ возьмутъ християнѣ из рукъ его свещи, и в христианъских руках станетъ какъ и протчии огни, — все от него горитъ. А латыни и все еретики, игумены ихъ и попы взимаютъ огонь на Гробѣ Господни от христианского каньдила, и свои зажигаютъ каньдила. И абие поидѣ патриархъ со крестианы по святымъ местомъ со слезами Богу молящесь и потомъ в свою церковъ к Воскресению Христову. И потомъ начьнутъ честь паремъи и потомъ начаша по ряду петь божестьвенную литурьгию[112] во втором часу нощи. И отпев божественную литурьгию и сяде патриархъ со крестияны, вкуси мало хлеба и вина. И мы же, грешьнии, вкусиша мало хлеба и вина. И потом начаша чести апостолская Деяния.[113] Церьковъ великая деломъ мудра добре и вся утворена мусиею и подписана златом.[114] А Гроб Господень не покровѣн, а цка мраморъная.	И за два часа до вечера через открытое место солнце осветило великую церковь. И упал солнечный луч на крест, что внутри церкви, — крест на гробнице, над Гробом Господним. И увидев то божественное знамение — луч, — патриарх начал в своей церкви вечерню петь с христианами и, не прочитав паремии, взял Евангелие, крест и хоругвь и свечу без огня, и пошел патриарх в боковые двери от престола старой трапезной ко Гробу Господню. А за ним пошли иноки и христиане, а за ними — игумен венецианский Внифантий, который живет на горе Сионе с фрягами, а за ним армянский игумен с армянами, а затем пошли копты, и абиссинцы, и марониты, и несториане, и остальные проклятые еретики со своими попами. Патриарх с христианами пришел ко Гробу Господню, и обошли они гробницу трижды, молясь Богу со слезами. Иноки, инокини и все христиане плакали горько и взывали к Богу: «Господи, сподоби нас видеть благодать твоего человеколюбия и не оставь нас, сирых». Патриарх же, обходя вокруг Гроба Господня, пел стихиру: «Днесь ад стеная вопиет». Мы же все плакали, не могли удержаться от слез. И патриарх подошел к дверям гробницы и велел туркам распечатать ее. Затем он отворил двери гробницы, и все люди увидели Божию благодать, сошедшую с небес на Гроб Господень в огненном образе, — по Гробу Господню, по мраморной доске, ходил огонь всех цветов, подобный молнии небесной. А лампады все над гробом были без огня. Как увидели все люди такое Божие человеколюбие, они возрадовались радостью великою, и многие плакали от радости. А латинский игумен Внифантий захотел прежде нашего патриарха войти в гробницу. Но старец Синайского монастыря, священник Иосиф, и Малахия, и старец Моисей из Саввина монастыря схватили его и не дали ему раньше войти в гробницу. Наш же патриарх Герман вошел в гробницу один со многими свечами в обеих руках и приблизился ко Гробу Господню, держа свечи в руках подле самого Гроба Господня. И сошел огонь с Гроба Господня, как молния, на руки патриарха и на свечи, что в руках его, перед всеми людьми. И нас, грешных, удостоил Господь Бог видеть: в это же время христианская лампада на Гробе загорелась посреди всех лампад, а из других ни одна лампада не загорелась. Патриарх же вышел из гробницы, неся в обеих руках горящие свечи, целые пучки свеч, вынес огонь ко вратам гробницы. И встал патриарх вблизи на высоком месте, а вокруг него стоял народ, и из его рук брали христиане огонь и зажигали свечи и лампады по всей великой церкви и по святым местам. И разнесли тот огонь по своим домам; и поддерживают его в домах своих весь год. Огонь от горящих свечей, которые патриарх вынес от Гроба Господня в патриаршеских руках, не жжет человеческих рук. А когда христиане возьмут из его, патриарха, рук свечи, то уже в руках христиан огонь станет, как и всякий огонь, — все от него горит. А латыняне и все еретики, игумены их и попы берут огонь на Гробе Господнем от христианской лампады и свои зажигают лампады. И сразу пошел патриарх с христианами по святым местам, со слезами молясь Богу, и потом в свою церковь Воскресения Христова. После этого начинают читать паремии, а затем петь по порядку божественную литургию, во втором часу ночи. Отпев божественную литургию, сел патриарх с христианами и вкусил немного хлеба и вина. И мы, грешные, вкусили немного хлеба и вина. А потом начали читать апостольские Деяния. Великая церковь построена очень искусно и вся украшена мозаикой и расписана золотом. А Гроб Господень не покрыт, на нем доска мраморная.
Дивно же то видехомъ в ту ношь — в церкви еретиковъ бесящихся, — великое ихъ неистовство. Арменове ходятъ, единъ большой их попъ прѣд ихъ владыкою, а звонитъ в колоколѣцъ. А дьяконъ ходитъ пред тем же их владыкою с кандилом назад пяты и кадитъ его. А орияне же, тако хабежи ходятъ круг Гроба Господня, и есть у нихъ 4 бубны велики, и ходяшѣ кругь Гроба и бияше по темъ бубнам и скакаше и плесаше аки скомороси,[115] а иные назад пяты идяше и скакаше. И дивихомся человеколюбию Божию, како терьпитъ, не могий бо человекъ и на торжищи таковаго беззакония видети, се же видехомъ во церкви около Гроба Господня бесяшихся.	Удивительное же мы видели в ту ночь: беснующихся в церкви еретиков, — великое их неистовство. Ходят армяне: один главный их поп, пред их владыкою, звонит в колокольчик. А дьякон ходит пред их владыкою, пятясь назад, с кадилом, и кадит владыку. А ариане, как и абиссинцы, ходят вокруг Гроба Господня, и есть у них четыре бубна больших, и ходят вокруг Гроба, и бьют в те бубны, и скачут, и пляшут, как скоморохи, а иные пятятся и скачут. И мы дивились человеколюбию Божию, как он терпит, — нельзя человеку и на торжище видеть такого беззакония, а мы видели беснующихся в церкви около Гроба Господня.
И абие пред зарею облечеся патриархъ во святительскую одѣжу и исполни всю церковъ воня благоухания — змирно и темьянъ. Патриархъ же вземъ крестъ и возгласи велегласно: «Христосъ воскрес!». И вся по ряду поюще утреньнюю. И по всемъ церквамъ и по приделомъ начнутъ утреньнюю и по времѣни и литурьгию. И празнуютъ неделю въсю радующеся духовнѣ, а нѣ телеснѣ, не пьянствомъ.[116] А в церковъ погании турки опять запрутъ, замкнутъ и запечатаютъ. Патриархъ же оставляетъ внутрь великие церкви священника чернаго, да дьякона, да понамаря, да не останетъ старая трапеза без божестьвеннаго пения. А пищу имъ приносятъ от патриарха и подаютъ в церковъ в оконце, что на дверех церковных. А тутъ у церкви за стеною приделана патреаршеская кѣлья, и в той кельи те люди и пребываютъ неисходимо. А на дѣсной странѣ не исходя из церкви стоитъ колокольница велика и высока, на четырехъ столпѣхъ каменных. Под тою колокольницею стоятъ три церкви: одна Воскресение Христово, а другая — Иякова, брата Господня,[117] а третьяя — святыхъ мученикъ 40, иже в Сѣвастии. И к темъ церквамъ приделанъ домъ патриаршеской. К божестьвенному пению патриархъ приходитъ к тем же церквамъ. На той же стране стоитъ темница на осужение повинным. В той темницы сиделъ великий пророкъ Иванъ Предотеча[118] от пребеззаконного царя Ирода.	И сразу перед самым рассветом облачился патриарх в святительскую одежду, и исполнилась вся церковь благовонием смирны и фимиама. Взял патриарх крест и возгласил велегласно: «Христос воскресе!» — И всю по порядку пропел заутреню. И по всем церквам и по приделам начинают заутреню петь, а по времени и литургию. И празднуют всю неделю, радуясь духовно, а не телесно, не пьянством. А церковь поганые турки опять запрут, замкнут и запечатают. Патриарх же оставляет внутри великой церкви черного священника, да дьякона, да пономаря, чтобы не оставался престол старой трапезной без божественного пения. А пищу им приносят от патриарха и подают в церковь в оконце, что в дверях церковных. А у церкви тут за стеной приделана патриаршеская келья, и в этой-то келье те люди и пребывают безвыходно. А на правой стороне при выходе из церкви стоит колокольня, большая и высокая, на четырех столбах каменных. Под той же колокольней стоят три церкви: одна — Воскресения Христова, другая — Иакова, брата Господня, а третья — святых Сорока мучеников севастийских. И к тем церквам приделан патриаршеский дом. Патриарх приходит в те церкви к божественному пению. На той же стороне стоит темница для заключения повинных. В той темнице сидел великий пророк Иоанн Предтеча, заключенный беззаконнейшим царем Иродом.
А от великие церкви на восточную страну пошед мало стоитъ церковъ вельми чюдъна, по-еврейски зоветца Еро, а по руски Святая Святыхъ.[119] Егда созданъ святый градъ Иерусалимъ повелениемъ июдейского царя Салима и совокупиша церковъно ей имя царскимъ именемъ и нарекоша граду тому имя Ерусалимъ. А ту церковъ Соломан со июдеи[120] созидал повелениемъ ангеловомъ 45 летъ. И егда прииде Господь Исусъ Христосъ во святый градъ Иерусалимъ и рече имъ на соньмищи пред тою церковию о церкви тела его: «Разорю церковъ сию и трѣми деньми созижьду ̀ю».[121] Июдеи же неразумѣша, что рече имъ Господь нашь, бе бо не дано имъ разумети свышѣ. И рѣша к себѣ июдѣи: «Како можетъ разорить сию церьковъ треми деньми и создати ̀ю, а мы ею создахомъ 45 летъ?». В той же церкви заклан был пророкъ Захария[122] межь церковию и олтаремъ. В той же церкви праведный Семионъ приятъ на руку Христа и глагола: «Нынѣ отпущаеши раба своего, Владыко, по глаголу твоему, с миромъ, яко видеста очи мои спасение твое, еже еси уготовал пред лицемъ всѣх людей твоих светъ во откровение языком и славу людей твоих и Израиля».[123]	А если пройти немного от великой церкви на восток, тут стоит церковь дивная, по-еврейски зовется Еро, а по-русски Святая Святых. Когда был создан святой город Иерусалим по повелению иудейского царя Салима, то соединили церковное имя с именем царским и нарекли тот град Иерусалим. А ту церковь строил с иудеями Соломон по ангельскому повелению сорок пять лет. И когда пришел Господь Иисус Христос в святой град Иерусалим, то сказал им на сб-рище перед той церковью о храме тела своего: «Я разрушу эту церковь, а через три дня заново построю ее». Иудеи же не поняли, что говорил им Господь наш, — не дано было свыше им понять это. И думали про себя иудеи: «Как он может разрушить эту церковь, а потом за три дня заново построить ее, когда мы ее строили сорок пять лет?» В этой церкви был заколот пророк Захария, между церковью и алтарем. В той же церкви праведный Симеон принял в свои руки Христа и сказал: «Ныне отпущаеши раба своего, Владыко, по глаголу твоему, с миром, так как видят очи мои спасение твое, которое ты уготовал перед лицом всех твоих людей, в назидание народам и во славу людей твоих и Израиля».
От той же церькви близь на восточную страну, к горе Елѣоньстей,[124] стоятъ врата великие железные старого града Иерусалима затворена, не входитъ в них никто. В те врата въехал Господь нашь Исусъ Христосъ от Вифания[125] на жребцы и осли з горы Елеонъския. Дети еврѣйския резаху ветьвие от древесъ и постилаху по пути от техъ вратъ и до церкви, пояху пред нимъ: «Благословен грядый во имя Господнѣ, осанна в вышьних,[126] царь Иизраилевъ!». И приеха Господь нашь к той церькви на жребцы и осли. Пред тою церьковью лежитъ пред враты камень дикой широкъ, на четырѣ углы. И на тотъ камень возъѣха Господь нашь и позна камень Создателя своего, и ста камень под жребцомъ мякокъ, аки воскъ.[127] И вообразишася стопы жребцовы в тотъ камень до полуперста, знать и до сего дни. Ис тое же церкви Господь нашь Исусъ Христосъ изгна торжники,[128] продающе овца, и голуби, и птицы, и столы опроверьжѣ и пенязи розсыпа и рече имъ: «Не творите дому купленного, домъ молитве, домъ Отца моего». В ту же церковь введена бысть пресвятая Богородица трею летъ сущи.[129] Пред тою же церквию прѣд враты стоитъ церковъ невилика, а в нѣй стоитъ мерило праведное, сотворѣно мудрымъ Соломономъ, кабы скалвы,[130] две чаши висятъ великии железные, черны, а не рьжавеютъ, на железныхъ чепехъ. А варки добрѣ от единой свещи ставитца на земли.[131] Церковъ же Святая Святыхъ создания Соломонова розбиена до основания царемъ Титомъ римскимъ.[132] Одно осталось мерило праведное не врежено ничемъ. А ныне на том месте погании турки учинили свою мечитъ, а крестиянѣ тамо не входятъ, разее хто дастъ поминокъ янычанамъ; и они его пустятъ втаи, да видитъ мерило праведное. О той же церкви пророкъ Давидъ глаголетъ: «Боже, приидоша языцы в достояние твое, оскверниша церковъ святую твою».[133]	Поблизости от той же церкви на восток, у горы Елеонской, стоят затворенные высокие железные врата старого города Иерусалима, не входит в них никто. В те врата въехал из Вифании с Елеонской горы Господь наш Иисус Христос на молодом осле. Еврейские дети срезали древесные ветви и расстилали по пути от ворот и до церкви, распевая перед ним: «Благословен грядущий во имя Господне, осанна в вышних, царь Израилев». И приехал Господь наш к той церкви на молодом осле. Перед этой церковью лежит у врат камень дикий широкий, четвероугольный. Господь наш въехал на тот камень, и ощутил камень Создателя своего, и стал под копытами осла мягким, как воск. И отпечатались следы осла на том камне на полпальца, видны и доныне. Из той же церкви Господь наш Иисус Христос изгнал торгующих, продававших овец, и голубей и птиц, опрокинул их столы и рассыпал монеты, и говорил им: «Не обращайте в дом купли дом молитвы, дом Отца моего». В эту церковь была введена пресвятая Богородица, когда ей было три года. Перед этой церковью у врат стоит небольшая церковка, а в ней мерило праведное, созданное мудрым царем Соломоном, будто весы: висят две большие черные железные чаши, на железных цепях, и не ржавеют. <...>. Церковь же Святая Святых, созданная Соломоном, разбита до основания императором римским Титом. Одно осталось мерило праведное, не поврежденное ничем. А ныне на том месте поганые турки устроили свою мечеть, и христиане туда не входят, разве кто даст подарок янычарам, и они его пустят тайком, чтобы посмотрел мерило праведное. О той же церкви пророк Давид говорит: «Боже, пришли язычники в наследие твое, осквернили святой храм твой».
