ЖИТИЕ ПРЕПОДОБНААГО ОТЬЦА НАШЕГО ФЕОДОСИЯ, ИГУМЕНА ПЕЧЕРЬСКАГО	ЖИТИЕ ПРЕПОДОБНОГО ОТЦА НАШЕГО ФЕОДОСИЯ, ИГУМЕНА ПЕЧЕРСКОГО
Видѣвъ убо благый Богъ тьрпѣние и съмѣрение отрока, обрати жестокое сьрьдце отьца его на милость къ сыну своему. Тъгда убо възвѣстиша ему отроци, глаголюще, яко «се уже четвертый день имать не въкушая брашьна, ни въ одежю рачить облѣщися». То же слышавъ, отьць его съжалиси зѣло его ради, блюдый, да не гладъмь и зимою умреть. Призъвавъ же и любьзно цѣловавъ и отпусти и́. Бы же тъгда вещь пречюдьна и плачь великъ, яко и по мрьтвѣмь. Рабы и рабыня плакахуться господина своего и яко отъхожааше отъ нихъ, иде жена, мужа лишающися плакашеся, отьць и мати сына своего плакастася, яко отлучашеся отъ нихъ, и тако съ плачьмь великъмь проважахути и́. Тъгда Христовъ воинъ ишедъ из дому своего, яко птица ис пругла истьргъшися или яко сьрна отъ тенета, тако скоро текый, и доиде пещеры оноя. Его же видѣвъше, отьци ти въздрадовашася радостию великою и, ставъше, прославиша Бога, яко услыша молитву ихъ. То уже оттолѣ многыимъ приходящемъ въ пещеру благословления ради еже от отьць тѣхъ и друзии от нихъ бывааху чрьньци Божиею благодатию.	Бог же благой, видя терпение и смирение отрока, смягчил жестокое сердце отца его и обратил его на милость к сыну. Тогда как раз сказали ему отроки, что уже четвертый день не принимает он пищи и одежду не хочет одевать. Услышав об этом, сжалился отец его, страшась, как бы он не умер от голода и холода. Призвал его к себе и, облобызав, разрешил ему покинуть дом. И было тогда нечто дивное, и плач стоял словно по мертвом. Слуги и служанки оплакивали господина своего как уходящего от них, с плачем шла следом жена, ибо лишалась мужа, отец и мать рыдали о своем сыне, ибо уходил от них, и так с громкими стенаниями провожали его. Тогда воин Христов вышел из дома своего, словно птица вырвавшаяся из сети или серна из западни, и чуть ли не бегом достиг пещеры. Увидев его, отцы те возрадовались великой радостью и, встав, прославили Бога, услышавшего их молитву. И с этого времени многие приходили в пещеру за благословением отцов тех, а другие по Божьей благодати становились чернецами.
Тъгда же великий Никонъ и другый чьрньць святаго Мины манастыря, болярина тако наречемъ, съвѣщавъшася, тако отъидоста, хотяща особѣ сѣсти. И пришьдъша надъ море, ту же и разлучистася отъ себе, якоже се апостола Павьлъ и Варнава на проповѣдание Христово, якоже пишеться въ Дѣянихъ апостолъ.[30] Боляринъ же, идый къ Костянтиню граду, обрете островъ средѣ моря и ту въселися въ ньмь. Поживе лѣта многа, трьпя зиму и гладъ, и тако успе съ миръмь. Се же и донынѣ островъ тъ зовомъ есть Боляровъ. Великый же Никонъ отъиде въ островъ Тьмутороканьскый,[31] и ту обрѣтъ мѣсто чисто близь града, сѣде на немь. И Божиею благодатию въздрасте мѣсто то, и цьркъвь святыя Богородица възгради на немь, и бысть манастырь славьнъ, иже и донынѣ есть, прикладъ имый въ сий Печерьский манастырь.	Тогда великий Никон и другой чернец из монастыря святого Мины, в прошлом боярин, посовещавшись, ушли из пещеры, желая поселиться отдельно от других. И пришли на берег моря, и там разлучились, как прежде апостолы Павел и Варнава разошлись проповедовать слово Христово, как пишется об этом в Деяниях апостольских. Боярин отправился к Константинополю, и по пути встретился ему остров среди моря, на котором он и поселился. Прожил там лет немало, перенося холод и голодая, и почил там же с миром. Сей же остров и доныне называют Бояров. Великий же Никон отправился в остров Тмутороканский, и там нашел место свободное вблизи города, и обосновался здесь. И по Божьей благодати прославилось место то, построил он там церковь святой Богородицы и основал монастырь славный, который существует и поныне, почитая за образец себе Печерский монастырь.
По сихъ же пакы Ефремъ каженикъ отиде въ Костянтинь градъ и ту живяше въ единомь манастыри. Послѣже же изведенъ бысть и въ страну сию и поставленъ бысть митрополитъмь въ городѣ Переяславли. Се же уже многыими наказании предъложение слову створихомъ, обаче отъселѣ на предълежащее слово възвратимъся, къде се все мину и по отходѣ отьць тѣхъ.	После этого и Ефрем скопец отправился в Константинополь и поселился там в одном из монастырей. Впоследствии был он возвращен в страну нашу и поставлен митрополитом в городе Переяславле. Вот уже много сказали мы о том, что случилось в дальнейшем, однако сейчас вернемся к прежнему рассказу — о том, что произошло после ухода тех отцов.
Тъгда же блаженый отьць нашь Феодосий поставленъ бысть презвутеръмь повелѣниемь преподобьнааго Антония и бѣ по вся дьни божьствьную служьбу съвьршая съ всякыимь съмѣрениемь, бяше бо кротъкъ нравъмь, и тихъ съмыслъмь, и простъ умъмь, и духовьныя всея мудрости испълненъ. Любъвь же непорочьну имѣя къ всей братии, бѣ бо уже съвъкупилося братия яко до пяти-на-десяте. Преподобьный же Антоний, якоже бѣ обыклъ единъ жити и не трьпя всякого мятежа и мълвы, затворися въ единой келии пещеры, поставивъ въ себе мѣсто братии блаженаго Варлаама, сына болярина Иоана. И отътуда пакы преселися на инъ хълмъ Антоний и, ископавъ пещеру, живяше, не излазя из нея, идеже и донынѣ чьстьное тѣло его лежить. Тъгда же божествьный Варламъ постави надъ пещерою малу цьрквицю въ имя святыя Богородица, веля, да ту братия събираються на божьствьное словословие. То уже всѣмъ явлено бысть мѣсто то, бѣ бо мнозѣми суще преже не вѣдомо.	Тогда блаженный отец наш Феодосии по повелению преподобного Антония был поставлен священником и во все дни со всяческим смирением совершал божественную службу, ибо был кроток и тих, не изощрен умом, но духовной мудрости исполнен. И братию всю любил чистой любовью; собралось уже в то время до пятнадцати монахов. Преподобный же Антоний привык один жить, ибо не любил всяческих ссор и разговоров, и затворился в одной из келий пещеры, а игуменом поставил вместо себя блаженного Варлаама, сына боярина Иоанна. Оттуда впоследствии переселился Антоний на другой холм и, выкопав пещеру, жил в ней, никуда не выходя, и поныне там покоится его честное тело. Тогда же блаженный Варлаам построил над пещерой небольшую церквушку во имя святой Богородицы, чтобы братия собиралась в ней для молитвы. Это место уже всем известно, а до тех пор многие о нем и не ведали.
А еже испьрва житие ихъ въ пещерѣ, и елико скърби и печали прияша, тѣсноты ради мѣста того, Богу единому съвѣдущю, а устомъ человѣчьскомъ не мощьно исповѣдати. Къ симъ же и ядь ихъ бѣ ръжанъ хлѣбъ тъкмо, ти вода. Въ суботу же ти въ недѣлю сочива въкушахуть; многашьды же и въ та дьни не обрѣтъшюся сочиву, зелие съваривъше едино и то ядяху. Еще же и рукама своима дѣлахуть дѣло: ово ли копытьца плетуще и клобукы, и ина ручьная дѣла строяще и тако, носяще въ градъ, продаяху и тѣмь жито купяху, и се раздѣляхуть, да къждо въ нощи свою часть измеляшеть на състроение хлѣбомъ. Таче по томь начатъкъ пѣнию заутрьнюуму творяаху и тако пакы дѣлааху ручьное свое дѣло. Другоици же въ оградѣ копахуть зелиинааго ради растения, дондеже будяше годъ божьствьнууму славословию, и тако вьси въкупѣ съшедъшеся въ цьркъвь, пѣния часомъ творяахуть, таче святую служьбу съврьшивъше, и тако въкусивъше мало хлѣба и пакы дѣлѣ ся своемь къждо имяшеть. И тако по вся дьни трудящеся, пребывахуть въ любъви Божии.	А какова была сперва их жизнь в пещере, и сколько скорби и печали испытали они из-за всяких невзгод в том месте — это одному Богу ведомо, а устами человеческими невозможно и рассказать. К тому же и еда их была — один ржаной хлеб и вода. В субботу же и в воскресенье ели чечевицу, но зачастую и в эти дни не было чечевицы, и тогда ели одни вареные овощи. При этом и трудились непрестанно: одни обувь плели или шили клобуки, и иным ремеслом занимались, и носили сделанное в город, продавали, и на вырученные деньги покупали зерно, и его делили между собой, чтобы каждый ночью свою долю помолол для печения хлеба. Потом служили заутреню, а затем снова принимались за свое дело. Другие же в огороде копались, выращивая овощи, пока не наставал час новой молитвы, и так все вместе сходились в церковь, отпевали положенные часы и совершали святую службу, а затем, поев немного хлеба, снова обращались каждый к своему делу. И так трудились день за днем в неугасимой любви к Богу.
Отьць же нашь Феодосий съмѣренъмь съмыслъмь и послушаниемь вься преспѣвааше, трудъмь и подвизаниемь и дѣлъмь телесьныимь, бяше бо и тѣлъмь благъ и крѣпъкъ и съ поспѣшьствъмь всѣмъ служаше, и воду нося и дръва из лѣса на своею плещю, бъдя же по вся нощи въ славословлении Божии. И братии же на опочители суще, блаженый же възьмъ раздѣленое жито и когождо часть измълъ и поставляше на своемь мѣстѣ. Другоици же, оваду сущу многу и комаромъ, въ нощи излѣзъ надъ пещеру и, обнаживъ тѣло свое до пояса, сядяше, прядый вълну на съплетение копытьцемъ и псалтырь же Давидову поя. Отъ множьства же овада и комара все тѣло его покръвено будяше, и ядяху плъть его о немь, пиюще кръвь его. Отьць же нашь пребываше неподвижимъ, ни въстая от мѣста того, дондеже годъ будяше утрьний, и тако преже всѣхъ обрѣташеся въ цьркви. И ставъ на своемь мѣстѣ непоступьнъ сы, ни мятыйся умъмь, божьствьное славословие съврьшаше, ти тако пакы и-црькве послѣже всѣхъ излажааше. И сего ради вьси любляхути и́ зѣло и яко отьца имяхути и́, зѣло дивящеся съмѣрению его и покорению.	Отец же наш Феодосии смирением и послушанием всех превосходил, и трудолюбием, и подвижничеством, и делами, ибо телом был могуч и крепок и с удовольствием всем помогал, воду нося и дрова из леса на своих плечах, а ночи все бодрствовал, славя в молитвах Бога. Когда же братия почивала, блаженный, взяв выделенную каждому часть зерна, молол за них и относил на то место, откуда взял. Иногда же, когда было особенно много оводов и комаров, ночью садился на склоне возле пещеры и, обнажив свое тело до пояса, сидел, прядя шерсть для плетения обуви и распевая Давидовы псалмы. Оводы и комары покрывали все его тело, и кусали его, и пили его кровь. Отец же наш пребывал недвижим, не вставая со своего места, пока не наступал час заутрени, и тогда раньше всех приходил в церковь. И, став на своем месте, не двигался и не предавался праздным мыслям, совершая божественное славословие, и также самым последним выходил из храма. И за это все любили его и чтили, как отца, и не могли надивиться смирению его и покорности.
Таче по сихъ божествьный Варлаамъ, игуменъ сы братии въ пещерѣ, изведенъ бысть княжемь повелѣниемь въ манастырь святаго мученика Димитрия и ту игуменъмь поставленъ.[32] Тъгда же братия ту сущая въ пещерѣ събравъшеся, изволениемь всѣхъ, възвѣстивъше преподобьноуму Антонию, блаженааго отьца нашего Феодосия игумьнъмь себе нарекоша, яко и чьрньчьскую жизнь управивъша и Божия извѣсто заповѣди излиха вѣдуща.	Вскоре после этого божественный Варлаам, игумен братии, обитавшей в пещере, по княжескому повелению был поставлен игуменом в монастыре святого мученика Дмитрия. Тогда же монахи, жившие в пещере, собрались и по всеобщему решению возвестили преподобному Антонию, что они поставили себе игуменом блаженного отца нашего Феодосия, ибо он и жизнь монастырскую блюл и божественные заповеди знал, как никто другой.
Отьць же нашь Феодосий, аще и старѣйшиньство приимъ, не измѣни съмѣрения своего правила, на памяти Господа имѣя, рекъша: «Иже аще кто въ васъ хощеть быти старѣй, буди всѣхъ убо мьний и всѣмъ слуга».[33] Тѣмь же съмѣряшеся, мьний всѣхъ ся творя и всѣмъ служа, и собою образъ вьсѣмъ дая, и на дѣло преже всѣхъ исходя и въ чину святыя литургия. И оттолѣ цвьтяше и мъножашеся мѣсто то правьдника молитвою. «Правьдьникъ бо, — рече, — яко и фуникъсъ процвьтеть и яко и кедръ, иже въ Ливанѣ, умножиться».[34] Умножаху бо ся оттолѣ братия и цвьтяше мѣсто то добрыими нравы и молитвами ихъ и инѣми благочьствивыими нравы. И многымъ отъ вельможь приходити къ нему благословления ради, и от имѣний своихъ малу нѣкаку часть подающи имъ. Преподобьный же отьць нашь, иже поистинѣ земльный ангелъ и небесный человѣкъ, Феодосий видя мѣсто скьрбьно суще и тѣсно и еще же и скудно при всѣмь, и братии мъножащися, цьркви же малѣ сущи на съвъкупление имъ, и николиже въпаде о томь въ печаль, ни поскърбе о томь, нъ по вся дьни братию всю утѣшая, учаше и никакоже попечися о плътьнѣмь, но Господень гласъ въспоминаше, имъ глаголя: «Не пьцѣтеся, чьто пиемъ, или что ѣмъ, или въ что облечемъся: вѣсть бо отьць вашь небесьный, яко требуеть вься си, обаче ищете цесарьства небеснаго и си вься приложаться вамъ». Блаженый же сице помышляше, Богь же все на потребу нескудьно подаваше ему.	Отец же наш Феодосий, хотя и стал старшим над всеми, не изменил своего обычного смирения, помня о словах Господних, вещающих: «Если кто из вас хочет быть наставником другим, то пусть будет скромнее всех и всем слуга». Поэтому и он оставался смиренным, словно был младше всех и всем услужал, и для всех был образцом, и на всякое дело выходил первым, и на святую литургию. И с той поры стало процветать и умножаться черноризцами место то по молитвам праведника. Ведь говорится: «Праведник, словно пальма, процветет и возрастет, словно кедр ливанский». И с той поры умножалось число братии и процветало место то добронравием их, и молитвами их, и всяческим благочестием. И многие вельможи приходили в монастырь за благословением и отдавали ему какую-то долю своих богатств. Преподобный же отец наш Феодосий — поистине он земной ангел и небесный человек — видя, что место, где жили они, и печально, и тесно, и всем скудно, и возросшей числом братии уже трудно было вмещаться в церкви, никогда из-за этого не печалился и не предавался скорби, но всякий день братию утешал и поучал, чтобы не заботились они о земном, но напоминал им Господни слова, говоря: «Не думайте о том, что пьем, или что едим, или во что одеты: ибо знает отец ваш небесный, в чем нуждаетесь вы; но ищите царства небесного, а все прочее придет к вам». Блаженный так думал, а Бог щедро давал ему все, в чем была нужда.
Тъгда бо сий великий Феодосий обрѣтъ мѣсто чисто, недалече от печеры суще, и разумѣвъ, яко довъльно есть на възгражение манастыря, и разбогатѣвъ благодатию Божиею и оградивъся вѣрою и упованиемь, испълнивъ же ся Духа Святаго, начатъ подвизатися въселити мѣсто то. И якоже Богу помагающю ему, въ мало время възгради цьрькъвь на мѣстѣ томь въ имя святыя и преславьныя Богородица и приснодѣвица Мария, и оградивъ и постави келиѣ многы, и тъгда преселися от пещеры съ братиею на мѣсто то въ лѣто 6570. И отътолѣ Божиею благодатию въздрасте мѣсто то, и бысть манастырь славьнъ, се же и донынѣ есть Печерьскый наричемъ, иже от святаго отьца нашего Феодосия съставленъ бысть.	В то время великий Феодосии присмотрел свободное место невдалеке от пещеры, и рассчитал, что достаточно оно для сооружения монастыря, и собрал средства по благодати божественной, и, укрепившись верой и надеждой и Духом Святым исполнившись, начал готовиться к переселению на то место. И с Божьей помощью в недолгое время построил на том месте церковь во имя святой и преславной Богородицы и приснодевы Марии, и окружил стеной место то, и построил множество келий, и переселился туда из пещеры с братией в год 6570 (1062). И с того времени по божественной благодати возвысилось то место, и существует монастырь славный, который и доныне называем мы Печерским и который устроен отцом нашим Феодосией.
По сихъ же посла единого отъ братия въ Костянтинь градъ къ Ефрему скопьцю, да вьсь уставъ Студийскааго манастыря,[35] испьсавъ, присълеть ему. Онъ же преподобьнааго отьца нашего повелѣная ту абие и створи. и всь уставъ манастырьскый испьсавъ, и посъла къ блаженому отьцю нашему Феодосию. И его же приимъ отьць нашь Феодосий, повелѣ почисти предъ братию, и оттолѣ начатъ въ своемь манастыри вся строити по уставу манастыря Студийскааго, якоже и донынѣ есть, ученикомъ его сице съврьшаемъмъ. Вьсякому же хотящю быти чьрноризьну и приходящему къ нему, не отрѣвааше ни убога, ни богата, нъ вся приимаше съ всякымь усьрдиемь, бѣ бо и самъ въ искушении томь былъ, якоже и выше речеся: егда бо приде отъ града своего, хотя быти мнихъ, якоже обьходящю тому вься манастыря, не рачахуть бо того прияти — Богу тако сътворьшю на искушение ему. Се бо си въспоминая благый, какова скьрбь бываеть человѣку, тъгда хотящюуму острѣщися, и сего ради вся съ радостию приходящая приимаше. Нъ не ту абие постригаше его, нъ повелѣваше ему въ своей одежи ходити, дондеже извыкняше всь устрой манастырьскый, таче по сихъ облечашети и́ въ мьнишьскую одежю и тако пакы въ всѣхъ служьбахъ искушашети и́, ти тъгда остригы, и оболочашети и́ въ мантию, дондеже пакы будяше чьрньць искусьнъ житиемь чистъмь си, ти тъгда сподобяшети и́ прияти святую скиму.	Некоторое время спустя послал Феодосии одного из братии в Константинополь, к Ефрему скопцу, чтобы тот переписал для него устав Студийского монастыря и прислал бы ему. Он же без промедления выполнил волю преподобного отца нашего, и весь устав монастырский переписал, и послал его к блаженному отцу нашему Феодосию. Получив его, отец наш Феодосии повелел прочесть его перед всей братией и с тех пор устроил все в своем монастыре по уставу монастыря Студийского, правила те и доныне ученики Феодосиевы блюдут. Если же кто приходил к нему, чтобы стать монахом, не прогонял ни бедняка, ни богатого, но всякого принимал со всем радушием, ибо сам на себе все это испытал, как поведали мы об этом выше: когда пришел он из города своего, желая постричься в монахи, и обходил один за другим все монастыри, не хотели его принимать — Богом так было задумано для его искушения. И вот, вспоминая все это, как трудно может быть человеку, желающему стать монахом, блаженный всегда с радостью принимал приходивших к нему. Но не сразу такого постригал, а давал ему пожить, не снимая с себя мирской одежды, пока не привыкал тот к уставу монастырскому, и только после этого облекал его в монашеское одеяние; и также испытывал его во всех службах, и лишь после этого постригал и облачал в мантию: когда станет тот искушенным чернецом, безупречным в житии своем, тогда и удостоится принятия монашеского чина.
По вься же дьни святыихъ мясопущь[36] святый отьць нашь Феодосий отхожаше въ святую свою пещеру, идеже и чьстьное тѣло его положено бысть. Ту же затворяшеся единъ до Врьбьныя недѣля,[37] и въ пятъкъ тоя недѣля, въ годъ вечерьняя, прихожааше къ братии и, ставъ въ двьрьхъ цьркъвьныихъ, учааше вься и утѣшая, подвига ради и пощения ихъ. Себе же недостоина творя, якоже ни единоя недѣлѣ, понѣ достигнути противу трудомъ ихъ. Многу же скърбь и мьчатание зълии дуси творяхуть ему въ пещерѣ той; еще же и раны наносяще ему, якоже и о святѣмь и велицѣмь Антонии пишеться. Нъ явивыйся оному, дрьзати веля Тъ, и сему невидимо съ небесе силу подасть на побѣду ихъ.	Всегда после дней святого мясопуста отец наш Феодосии уходил в святую пещеру свою, где и было потом погребено его честное тело. Тут затворялся он один вплоть до Вербной недели, а в пятницу той недели, в час вечерней молитвы, приходил к братии, и, остановившись в дверях церковных, поучал всех, и утешал в подвижничестве их и в посте. О себе же говорил, как о недостойном, что ни в одну из недель не смог он сравняться с ними в подвижничестве. И много раз злые духи досаждали ему, являясь в видениях в той пещере, а порой и раны ему наносили, как пишут и о святом и великом Антонии. Но явился к Феодосию Тот, и велел ему дерзать, и невидимо с небес даровал ему силу для победы над ними.
Кто бо не почюдиться убо блаженууму сему, еже въ такой тьмьнѣ пещерѣ пребывая единъ, мъножьства пълковъ невидимыхъ бѣсовъ не убояся, нъ крѣпко стоя, яко храбъръ сильнъ, Бога моляаше и Господа Исус Христа на помощь себе призывающа. И тако побѣди я Христовою силою, яко къ тому не съмѣти имъ ни приближитися емь, нъ и еще издалеча мьчьты творящемъ ему. По вечерьниимь убо пѣнии сѣдъшю ему и хотящю опочинути, не бо николиже на ребрѣхъ своихъ ляжашеть, нъ аще коли хотящю ему опочинути, то, сѣдъ на столѣ и тако мало посъпавъ, въстаняше пакы на нощьное пѣние, и поклонение колѣномъ творя. Сѣдъшю же ему, якоже речеся, и се слышааше гласъ хлопота въ пещерѣ отъ множьства бѣсовъ, якоже се имъ на колесницахъ ѣдущемъ, другыимъ же въ бубъны биющемъ, и инѣмъ же въ сопѣли сопущемъ, ти тако всѣмъ кличющемъ, якоже трястися пещерѣ отъ множьства плища зълыихъ духовъ. Отьць же нашь Феодосий, вся си слышавъ, не убояся духъмь, ни ужасеся сьрьдцьмь, нъ оградивъся крьстьнымь оружиемь и, въставъ, начатъ пѣти псалтырь Давидову. И ту абие многый трусъ не слышимъ бывааше. Таче по молитвѣ сѣдъшю ему, се пакы бещисльныихъ бѣсовъ глас слышаашеся, якоже и преже. И преподобьнууму же Феодосию ставъшю и начьнъшю оно псалъмьское пѣние, глас онъ абие ищазааше. Сице же по многы дьни и нощи творяхуть ему зълии дуси, яко не дати ему ни мало опочинути, дондеже благодатию Христовою побѣди я, и възятъ от Бога власть на нихъ, якоже отътолѣ не съмѣти имъ ни прикоснутися ни къ мѣсту тому, идеже блаженый молитву творяше.	Кто не подивится блаженному, как он, оставаясь один в такой темной пещере, не устрашился множества полчищ невидимых бесов, но выстоял в борьбе с ними, как могучий храбрец, молясь Богу и призывая себе на помощь Господа Иисуса Христа. И так победил их силой Христовой, что не смели они и приближаться к нему и лишь издали являлись ему в видениях. После вечернего пения садился он подремать, ибо никогда не ложился, а если хотел поспать, то садился на стульце и, подремав так немного, снова вставал на ночное пение и коленопреклонение. Когда же садился он, как мы говорили, то тут же слышал в пещере шум от топота множества бесов, как будто одни из них ехали на колесницах, другие били в бубны, иные дудели в сопели, и так все кричали, что даже пещера тряслась от страшного гомона злых духов. Отец же наш Феодосии, все это слыша, не падал духом, не ужасался сердцем, но, оградив себя крестным знамением, вставал и начинал распевать псалмы Давидовы. И тотчас же страшный шум этот затихал. Но как только, помолившись, он садился, снова, как и прежде, раздавались крики бесчисленных бесов. Тогда снова вставал преподобный Феодосии и снова начинал распевать псалмы, и тотчас же смолкал этот шум. Вот так много дней и ночей вредили ему злые духи, чтобы не дать ни минуты сна, пока не одолел он их с Божьей помощью и не приобрел от Бога власть над ними, так что с тех пор не смели они даже приблизиться к тому месту, где блаженный творил молитву.
Се бо пакы бысть пакость творящемъ бѣсомъ въ храмѣ, идеже хлѣбы братия творяаху: овогда муку расыпающе, овогда же положеный квасъ на състроение хлѣбомъ разливааху и ину мъногу пакость творяще бѣша. Тъгда же старѣй пекущимъ, шьдъ, съповѣда блаженууму Феодосию пакости нечистыихъ бѣсовъ. То же сь уповая, яко възятъ власть на нихъ отъ Бога, въставъ вечеръ и иде въ храмъ тъ, и затворивъ двьри о себе, ту же пребысть въ немь до утрьняя, молитвы творя. Якоже отъ того часа не явитися бѣсомъ на томь мѣстѣ, ни пакости никоеяже творити имъ, запрещениемь преподобьнааго и молитвою.	А еще пакостили бесы в доме, где братия хлебы пекла: то муку рассыпали, то разливали закваску для печения хлеба, и много разных иных пакостей творили. Тогда пришел старший над пекарями и рассказал блаженному Феодосию о проделках нечистых бесов. Он же, надеясь, что приобрел от Бога власть над ними, отправился вечером в тот дом и, запершись, остался там до заутрени, творя молитвы. И с того часа не появлялись на том месте бесы и не озорничали, страшась запрещения преподобного и его молитвы.
Имѣяше же обычай сиць великый отьць нашь Феодосий, якоже по вся нощи обиходити ему келиѣ мниховы вьсѣ, хотя увѣдѣти когоджо ихъ како житие. Егда бо услышааше кого молитву творяща, ти тъгда, ставъ, прославяше о немь Бога, егда же пакы кого слышааше бесѣдующа дъва ли или трие съшедъшеся въкупѣ, то же ту, ударивъ своею рукою въ двьри ти, тако отхожааше, назнаменавъ тѣмь свой приходъ. Таче въ утрѣй дьнь призъвавъ я, нъ не ту абие обличааше ихъ, нъ якоже издалеча притъчами нагоня, глаголааше къ нимъ, хотя увѣдѣти, еже къ Богу тъщание ихъ. Аще бо будяше братъ льгъкъмь сьрьдьцьмь и теплъ на любъвь Божию, то сий въскорѣ разумѣвъ свою вину, падъ, поклоняшеся, прощения прося отъ него прияти. Аще ли будяше пакы братъ омрачениемь бѣсовьскымь сьрьдьце покръвено имый, то сий станяше, мьня, яко о иномь бесѣдують, самъ чистъ ся творя, дондеже блаженый обличашети и́, епитимиею того утвьрдяше, и отъпустяше. И тако вься прилѣжьно учааше молитися къ Господу и не бесѣдовати ни къ кому же по павечерьний молитвѣ, и не преходити отъ келиѣ въ келию, нъ въ своей келии Бога молити, якоже кто можеть и рукама же своима дѣлати по ся дьни, псалмы Давыдовы въ устѣхъ своихъ имуще и сице же имъ глаголааше: «Молю вы убо, братие, подвигнѣмъся постъмь и молитвою, и попьцѣмъся о спасении душь нашиихъ, и възвратимъся отъ зълобъ нашихъ и от путий лукавыхъ, яже суть сии: любодѣяния, татьбы и клеветы, праздьнословия, котеры, пияньство, обиѣдание, братоненавидѣние. Сихъ, братие, уклонимъся, сихъ възгнушаимъся, не осквьрнавимы си душа своея, нъ поидѣмъ по пути Господню, ведущиимь ны въ породу, и възищѣмъ Бога рыданиемь, сльзами, пощениемь и бъдѣниемь, и покорениемь же и послушаниемь, да тако обрящемъ милость отъ него. Еще же възненавидимъ мира сего, всегда поминающе о семь Господа рекъшааго: “Аще кто не оставить отьца и матере, и жену, и дѣтий, и селъ мене ради Еуанглия, нѣсть ми достоинъ”,[38] и пакы: “Обрѣтый душю свою погубить ю, а погубивъ ю мене ради — спасеть ю”.[39] Тѣмьже и мы, братие, отърекъшеися мира, отъврьзѣмъся и сущиихъ въ немь, възненавидимъ же всяку неправьду, еже мьрзъкааго не сътворити, и не обратимъся на прьвыя грѣхы, якоже и пси на своя бльвотины. “Никътоже бо — рече Господь — възложь рукы своея на рало и обращься въспять, управленъ есть въ царьство небесьное”.[40] Како же мы убѣжимъ мукы бесконьчьныя, коньчавающе время жития сего въ лѣности, а не имуще покаяния? Лѣпо бо намъ есть, нарекъшемъся чьрньцемъ, то по вься дьни каятися грѣхъ своихъ: покаяние бо есть путь, приводя къ царьству, покаяние есть ключь цесарьствия, бес того бо неудобь вълѣсти никомуже. Покаяние есть путь, въводя въ породу, того пути, братие, дрьжимъся, на томь пригвоздимъ плеснѣ и стопы, къ тому бо пути не приближаеться змий лукавый, того бо пути шьствия суть прискърбьна, а послѣдь радованьна. Тѣмьже, братие, подвигнѣмъся преже дьни оного, да получимъ благая она, избѣгнѣмъ же всѣхъ хотящихъ быти на неродивыихъ и не въ покаянии живущиихъ».	Великий отец наш Феодосии имел обыкновение каждую ночь обходить все монашеские кельи, желая узнать, как проводят монахи время. Если слышал, как кто-то молится, то и сам, остановившись, славил о нем Бога, а если, напротив, слышал, что где-то беседуют, собравшись вдвоем или втроем в келье, то он тогда, стукнув в их дверь и дав знать о своем приходе, проходил мимо. А на другой день, призвав их к себе, не начинал тут же обличать, а заводил разговор издалека, притчами и намеками, чтобы увидеть, какова их приверженность к Богу. Если брат был чист сердцем и искренен в любви своей к Богу, то такой, скоро осознав свою вину, падал ниц и, кланяясь, просил прощения. А бывало, что у иного брата сердце омрачено наваждением бесовским, и такой стоит и думает, что говорят о другом, и не чувствует себя виноватым, пока блаженный не обличит его и не отпустит, укрепив его епитимьей. Вот так постоянно учил он молиться Господу и не беседовать ни с кем после вечерней молитвы, и не бродить из кельи в келью, а в своей келье молиться Богу, а если кто может — заниматься постоянно каким-либо ремеслом, распевая при этом псалмы Давидовы. И так им говорил: «Молю же вас, братья, подвигнемся постом и молитвой, и попечемся о спасении душ наших, и отступим от пороков наших и от путей неправедных, которые же суть: любодеяние, воровство и клеветы, пустословие, ссоры, пьянство, обжорство, братоненавидение. От всего этого, братья, отвратимся, всего того станем гнушаться, не оскверним этим души своей, но пойдем по пути Господню, ведущему нас в рай, и обратимся к Богу с рыданием и слезами, постом и бдением, и покорностью и послушанием, и тем обретем милость его. Еще же возненавидим мир этот, всегда помня Господа, о сем сказавшего: “Если кто не оставит отца и мать, и жену, и детей, и села ради меня и Евангелия, тот меня не достоин”, и еще: “Обретший жизнь свою — погубит душу, а потерявший жизнь меня ради — душу спасет”. Поэтому и мы, братья, отрекшиеся от мира, отвергнем и все ему присущее, возненавидим же всякую неправду, чтобы мерзости никакой не сотворить, и не вернемся к прежним грехам, как псы возвращаются на свою блевотину. “Тот, — говорит Господь, — кто, возложив руки свои на плуг, оборачивается назад, не достоин войти в царство небесное”. Как же мы избавимся от мук бесконечных, если проведем жизнь свою в праздности и не зная покаяния? Ибо подобает нам, назвавшимся чернецами, всякий день каяться в грехах своих, ибо покаяние — это путь, ведущий к царству, покаяние — это ключ к царству, без него туда не вступить никому. Покаяние — это путь, ведущий в рай, того пути, братья, и станем держаться, на том поставим свои ноги и стопы, к тому пути ведь не приближается змей лукавый, шествие по пути тому скорбно, но зато впереди ожидает радость. Поэтому, братья, встанем на подвиг, не дожидаясь дня того, чтобы обрести блага эти, избегнем всего, что ожидает нерадивых и живущих без покаяния».
