ФИЛОСОФСКИЕ СТАТЬИ	ФИЛОСОФСКИЕ СТАТЬИ
«Суштьное»[13] убо имя самого реку имя и нарокъ, съпроста не сушта обрѣтоваамъ въ божьствьнѣемь Писании. Бесѣдуеть же приречениемь симь суштия многыихъ обычай о назнаменуемыихъ имѣниихъ, еже кто имать домы и стада и прокыя вешти. То бо суштие имуштааго наричемъ простыихъ же обычаи, по немуже разуму иже имуть се обильнѣ богата наричемъ, рекъше «многосуштьнъ».[14] Тѣмьже и «люди богатыя»[15] Писание наричеть, сирѣчь приобрѣтеныя, и «Издраиль въ богатьство ему»,[16] рекъше въ имѣние и приобрѣтение.	Термин «сущее» — я говорю о самом имени, наименовании, — мы вообще не находим в божественном Писании. По большей части этим словом пользуются как названием имущества, говоря, кто какое имеет добро, например дом, стада и прочие вещи. Именно так по народному обычаю мы называем состояние владельца, соответственно чему много стяжавшего называем богатым как «многоимущим» <букв.: «многосущим»>. Также и Писание говорит «люди богатые», т. е. «приобретшие», и «Израиль в богатство ему», т. е. «в имение» и «в приобретение».
Словесьнаа же бесѣда, вѣдушти «суштьное» имя отъ бытьнааго слова прѣведоно, самоу вешть сущие[17] нарече: небонъ «сущьное» обьште имя есть вьсѣхъ суштиихъ. Се убо суштее раздрабляеться въ суштие и въ сълучая.	Словесный же обычай, зная, что слово «сущее» происходит от глагола «существовать», назвал сущим саму конкретную вещь: ибо «сущее» является общим названием для всего существующего. А это сущее делится на относящееся к сущности и случайное.
И уставляють же сущие сице: суштие есть имя обьште и неуставьно надъ вьсѣми яже подъ ними собьства, равьночьстьнѣ водимо и съименьнѣ оглаголаемо. И суштие есть еже надъ подълежаштиими собьствы нарицаеться и въ вьсѣхъ тѣхъ тьчьно и равьно разумѣваемь. И суштие есть вешь о собѣ състояштися, не трѣбуюшти иного на бытье, сирѣчь въ себе сы, а не въ иномь бытия имы, акы сълучяй.	Определяют же относящееся к сущности так: сущность есть общее и неопределенное имя для всех находящихся под ней ипостасей, на каковые оно распространяется с равным правом и к каковым применяется синонимически. А также: сущность есть то, что называется находящимся над ипостасями и одинаково и с равным правом во всех них усматривается. А также: сущность есть нечто существующее само по себе, в другом для существования не нуждающееся, т. е. сущее в себе, а не имеющее бытие в другом, как это бывает со случайным.
Сълучяй же есть еже не можеть въ себѣ быти, нъ въ иномь имать бытье. Сущие бо подълежаштее есть, акы вешти дѣлесемъ, сълучай же въ суштии разумѣваемо есть, рекъше тѣло и образъ:[18] не бо есть тѣло въ образѣ, нъ образъ въ тѣлѣ. Да тѣло убо есть суштие, а образъ сълучяй.	Случайное же есть нечто, неспособное существовать само, но имеющее существование в другом. Ибо сущность есть основа, как материя для вещей, а случайное — нечто, в существе усматриваемое, как например образ у тела. Ведь не тело существует у образа, но образ у тела. Так что тело является сущностью, а образ — случайностью.
Такоже и душа и мудрость: не бо есть душа въ мудрости, нъ мудрость въ души. Тѣмьже и не наричеться «тѣло образово», ни «душа мудрости», нъ «образъ тѣлесьный» и «мудрость душьная». Есть убо душа суштие, а мудрость сълучай; души бо погубляемѣ, погыбаеть и мудрость, мудрости же погубляемѣ, не погубляеться и душа; моштьно бо есть души быти и без мудрости. Да убо все еже о себе собьство имать и въ себѣ, а не въ иномь имать бытье, суштие есть.	Так же соотносятся душа и мудрость: ведь не душа у мудрости, но мудрость у души. Потому не говорится «тело образа» или «душа мудрости», но «образ тела» и «мудрость душевная». Так что душа является сущностью, а мудрость случайностью. Ибо, когда погибает душа, гибнет и мудрость; а когда погибает мудрость, душа вовсе не погибает, ибо душа может существовать и без мудрости. Так что все самостоятельное, что имеет бытие в себе, а не в другом, является сущностью.
Бывають же си да или плътьна, или бесплътьна. Плътьна же — земля, вода, въздухъ, огнь, и съложеная тѣми: камыкъ, садове, съдушьно тѣло. Бесплътьная же — аггелъ, душа словесьная. Да се убо, якоже рекохъ, суштие наричуться. Сихъ же творьць — Богъ.[19]	Она бывает вещественной или невещественной. Вещественны земля, вода, воздух, огонь и из них состоящие: камень, растение, одушевленное тело. Невещественны же ангел и словесная душа. Таковое, как я сказал, называется сущностями. Творец же их — Бог.
О естьствѣ	О природе
Естьство есть начяло коегожьдо сущиихъ пошьстья же млъчания. Якоже земля движиться убо, егда зябнеть и животворить плоды и прѣмѣнуеться, млъчить же прѣходомь отъ мѣста на мѣсто бес подвижения сушти съпроста и бес поступа. Начяло убо такогоже беспошьстья и млъчания суштьнѣ, рекъше естьствьнѣ, а не по сълучаю въ земли суште естьство наричеть. Не пошьстья же и млъчания, нъ начяло, рекъше вину, по немуже не сълучай, нъ суштьнѣ суштия грядуть и млъчать.	Природа есть начало движения и покоя каждого из сущих. Так, земля движется, когда растит, животворит плоды и изменяется; и покоится, оставаясь при передвижении с места на место совершенно неподвижной и неспособной к движению. Начало этого движения и покоя, свойственное земле существенным образом, т. е. естественным, а не случайным, называют природой. Это не сами движение и покой, но начало, т. е. причина, согласно которой не случайно, но согласно <своему> существу существа движутся и пребывают в покое.
Уставляють бо убо суштее, якоже глаголахомъ, все о собѣ сяе и ничьсоже иного на бытье трѣбуя, естьство же начяло коегожьдо отъ суштиихъ пошьстья же и млъчания суштьна. Да вънѣшьнии убо различье нарекоша суштия и естьства, суштие убо рекъше еже просто быти, естьство же суштие въ видѣ створено отъ суштьныихъ различье и съ тѣмь еже просто быти неже како бытье имѣти, или словесьно или несловесьно, или съмрьтьно или несъмрьтьно, рекъше само то, якоже речемъ, непрѣмѣньное и непрѣложьное начало и вину и силу въложеную отъ Творьца коемужьдо виду на пошьстье: аггеломъ убо якоже разумѣвати и без износимааго слова подаяти другъ другу помышления, человѣкомъ же яко разумѣвати и помышляти и износьныимъ словьмь подаяти другъ другу срьдьчьная помышляния, бесловесьныимъ же животьное и чювьствьное и прѣстаньное пошьствье, садомъ же кръмяштюю и растяштюю и родьную силу, каменью же якоже грѣватися и истыдати и еже отъ мѣста на мѣсто инамошьстьное прѣступание. Рекъше бездушьное се нарекоша естьство. Да тѣмь простое бытье суштие нарекоша, а еже обьдрьжи собьства естьство нарекоша.	Определяют ведь сущность, как мы говорили, как все существующее само по себе и ни в чем другом, чтобы существовать, не нуждающееся; природу же — как начало движения каждой сущности и присущего ей покоя. И внешние мудрецы говорили о различии сущего и природы, сущим называя бытие вообще, природой же сущность, которой субстанциальными различиями придана форма и которая наряду с бытием вообще имеет <определение> как существовать, словесно или бессловесно, смертно или бессмертно, т. е. сами те, как мы говорим, неизменные и непреложные начало, причину и силу, которые сообщены Творцом каждому виду для движения: ангелам — чтобы разуметь и без произносимого слова передавать мысли друг другу; людям — чтобы разуметь, рассуждать и с помощью произносимого слова передавать друг другу сердечные помышления; существам бессловесным — жизненное и чувственное и дыхательное движение; растениям — способность питаться, возрастать и порождать; а камням — нагреваться, охлаждаться и быть перемещаемыми с места на место чужой силой. Это движение назвали бездушной природой. Иначе говоря, бытие вообще назвали сущим, а то, что объемлет ипостаси, наименовали природой.
Святии же отьци, оставивъше многыя сия пьря, обьштее и о многыихъ глаголемое, рекъше своитьныи видъ, суштие и естьствьнъ образъ нарекошя, рекъше ангела, или человѣка, или коня, или пьса и другое сице. Небонъ и «суштие» «бытья» ради наричеться, не бо и «естьство» имьже «есть». Да еже «быти» и «есть» то то же есть: обое бо съказае бытьное. И «образъ» же и «видъ» тожде назнаменае, еже и «естьство». Частьное же нарекоша нераздрабляемое и лице, собьство, рекъше Петра и Павьла. Собьство же хоштеть имѣти суштие сълоучяемыими и о себе състоятися и чутьемь, рекъше дѣйствъмь, разумѣватисе.	Святые же отцы, оставив эти долгие распри, сущим и природной формой называли общее и многими упоминаемое, т. е. наиболее общие виды, как то ангел, человек, лошадь, собака и тому подобное. Ибо слово «сущность» происходит от «существовать», а «природа» — от «родиться» <букв.: «естество» — от «есть»>. «Быть» же и «родиться» — это одно и то же: оба ведь означают существование. А «образ» и «вид» означают то же, что «естество». Частное же они назвалк индивидуальностью, лицом и ипостасью, как то: Петр и Павел. Ипостась же означает наличие сущности вместе со случайностями, самостоятельность существования и — благодаря чувству, иначе говоря, благодаря действию — воспринимаемость.
Есть же имя естьствьное въ Писании знаемѣе. «Егда бо, — рече, — языци закона не имуште естьствъмь законьная творять»[20] и «Прѣмѣниша естьствьную потрѣбу на чрѣсъестьствьную».[21] Егда же пакы речеть: «И бѣхомъ чяда естьствьная гнѣва, якоже и мнозии»,[22] не по сему назнаменуемууму естьства глаголеть — не бо естьствѣмь и суштиемь таци есмъ, — аште ли то Творьче бы прѣгрѣшение, нъ иностаньную и злую любъве и многоврѣменьное зълонравье и отъ отьць в дѣти прѣдаемо и, якоже се решти, имьже въ насъ въкоренися то акы въ естьство ся прѣтвори, да въ лѣпоту сьде нарече естьство апостолъ.	Название «природа» более знакомо Писанию. Ведь сказано: «Ибо, когда язычники, не имеющие закона, по природе законное делают» и «Заменили естественное употребление противуестественным». А говоря, опять же: «И были по природе чадами гнева, как и прочие», — оно использует слово «природа» не в этом смысле <по природе и сущности мы ведь не таковы>, поскольку это означало бы погрешность Сотворившего, но имеет в виду устойчивую любовь к злу и долговременное злонравие, переданное от отцов детям и, в нас, так сказать, укоренившись, преобразовавшееся в природу, так что апостол по праву сказал здесь о природе.
Сице же е разумѣти и отъ Соломона реченое: «Безумьни бо, рече, вси человѣци естьствъмь, въ нихъже нѣсть Божья разума».[23] Егдаже глаголеть: «Вьсѣхъ бо хытрица научи мя Мудрость»[24] вѣдѣти «съставъ съложение мира и дѣиство съставы»,[25] «естьства животъ и гнѣвы звѣрьскыя»,[26] истовое естьства назнаменание подае. Такожде же и божьствьный Ияковъ рече: «Вьсе естьство бесловесьныихъ кротиться естьствъмь человѣчьскъмь».[27] И Петръ: «Да будете Божья приобьштьници естьства».[28]	Так же следует понимать и сказанное Соломоном: «Суетны все люди естеством, у которых нет знания о Боге». А когда он говорит: «Ведь, художница всего, научила меня Премудрость» знать «устройство мира и действие стихий», «естество животных и гнев зверей», — он использует слово «естество» в собственном смысле. Так же точно и божественный Иаков сказал: «Всякое естество бессловесных укрощается естеством человеческим»; и Петр: «Дабы вы сделались причастниками Божеского естества».
О собьствѣ	Об ипостаси
Собьство же есть вещь състояштися и суштьна, въ немьже сълучаюштиихъся съборъ, акы въ единой подълежяштий вешти и дѣйствѣ състоиться. И собьствьное же имя и знаемѣе нѣкако есть въ Писании. Рече бо Иеремия: «Къто есть въ собьствѣ Господьни?»[29] И апостолъ: «Иже сы усьяние славы и образъ собьства Его».[30] Готовословлено же е собьствьное имя, имьже «собомь състоиться» и «есть».[31] Да мнимо убо есть тожде назнаменуя «собьство» и «сущие» по зѣло опытьнууму же разуму назнаменуемыихъ подъ сими вещьми не простое есть къ себе симь розличье: суштие бо обьштину нѣкаку являе, собьство же своитьное.	Ипостась есть явление, лежащее в основе и существенное, в котором, как в едином лежащем в основе, фактически и действенно реализуется совокупность случайностей. Наименование «ипостась» некоторым образом знакомо Писанию. Сказал ведь Иеремия: «Кто стоял в ипостаси Господа?», и апостол: «Сей, будучи сияние славы и образ ипостаси Его». Этимологически слово «ипостась» объясняется словами «находиться в основании» и «существовать». И кажется, что одно и то же означают слова «ипостась» и «сущность», но по внимательном рассмотрении обозначаемых этими словами явлений различие между ними не случайное, ибо сущность обозначает бытие чего-то общего, а ипостась особенного.
Рекъше, купьно вси человѣци обьште имуть бытье, небонъ вси такожде «живемъ и движемъся и есмъ».[32] Имать же къжьдо насъ своя нѣкая, имиже отълучяються отъ человѣкъ, рекъше отчьство, родъ, художьство, дѣло, врѣди и такоя, яже и сълучая наричемъ. Да си убо разлучяють коегожьдо насъ отъ прокыихъ человѣкъ. Рьцѣмъ убо, яко Павьлъ человѣкъ есть акы вси человѣци, да по семь убо ни тъ отъ многыихъ человѣкъ различьне имать, ни вси человѣци отъ вьсего. А понемуже Тарсеус есть, и колѣна Веньаминя, и Саулъ и Павьлъ нарицяшеся, и апостолъ, еже ино о немь съповѣдано е сице, отъ прокыихъ человѣкъ отълучяться. Се убо все о собьствѣ разумѣваться, и тажде вешть, рекъше Паулъ, да егда убо бытье его смотриться тъчью, то суштее наричеться, егда ли съ прѣжеглаголаныими, тогда и собьство. То же «сушьтьное» убо имя не съпремле и собьства, а собьствьное всако имать и сущие.	Так, все люди вообще имеют общее бытие, ибо равным образом все мы «живем и движемся и существуем». И каждый из нас имеет некие особенности, которыми отличается от других людей, как то отечество, род, образ жизни, дело, болезни и тому подобное, что мы называем случайностями. Таковое отличает каждого из нас от прочих людей. Скажем, например, что Павел есть человек, как все люди, и потому ни он не отличается от других людей, ни другие люди от него. Но поскольку он из Тарса, из колена Вениамина, и назывался и Савлом, и Павлом, и он апостол, и другое что-то такого рода может быть сказано о нем, то от прочих людей он отличается. Все таковое рассматривается как относящееся к ипостаси, и сам предмет, т. е. Павел, когда имеется в виду только его бытие, называется сущностью, а когда — и то, о чем сказано выше, тогда — ипостасью. И название «сущность» не охватывает ипостась, а ипостась полностью содержит и сущность.
О лици	О личности
Лице же есть еже своими дѣйствы и свойствы явлено и отълучено отъ единоестьствьныихъ ему подаеть обличение, якоже се Гаврилъ къ Богородици бесѣдуя: единъ отъ аггелъ сы, единъ ту пришьдъ, бесѣдоваше — отълучивъся отъ единосуштьныихъ аггелъ пришьстьемь на мѣсто то и бесѣдованиемь. И Павьлъ, на степеньхъ бесѣдуя,[33] единъ отъ человѣкъ си, свойствы и дѣйствы его отъ многыихъ человѣкъ отълучаашеся. Да дѣиствъмь убо бываяй въ насъ разумьнѣ о къмь лице то само еже дѣйствуе наричеться. Мнимо же е<сть> нѣкако тожде знаменавати еже и «собьство», или малы или ничимь же прѣмѣньно.	Личность есть то, что ясно проявляется в своих действиях и свойствах и отличается от родственных ей существ, как например Гавриил, беседующий с Богородицей: будучи одним из ангелов, лишь он один, придя туда, беседовал с ней, — отличившись от единосущных с ним ангелов тем, что пришел на то место и беседовал. И Павел, будучи одним из людей, отличался от прочих людей, когда вел беседу на ступенях, своими свойствами и действиями. Ведь благодаря появляющемуся у нас знанию о чьей-то деятельности самого того, кто действует, называют личностью. Кажется, это означает то же, что «ипостась», мало или ничем <от нее> не отличаясь.
Да глаголеться убо, якоже и святый Василь, яко «се имать различье суштие съ собьствъмь еже има обьщее къ своитьнууму».[34] Нъ ельма же обьщааго и своитьнааго инако вънѣшьнии мудрии творять разлучения, инако же суштии въ насъ богомудрьци, подобьно же и се е<сть> съказати.	Следует сказать вместе с Василием Великим, что «сущность имеет такое же отличие от ипостаси, какое общее — от частного». Но поскольку различие между общим и частным внешние мудрецы объясняют по-своему, наши же богомудрецы по-своему, надо разъяснить и это.
Да вънѣшьнии убо прьвое вьсѣхъ видовъ же и родовъ суштие огла<го>лають и отъ того подобно творять раздѣлы сице: суштьное, глаголють, ово есть плътьно, ово же бесплътьно, и плътьнааго же ово есть съдушьно, ово же бездушьно, съдушьнааго же ово есть животьно, ово же живорастьно, ово же садъ. Съдушьны бо наричуть сады акы кръмимую и растуштую силу имушта. Животорастьная же наричуться елико же ся ихъ кръмить и чуеть посязаниемь, бес подвига же суть и бес хожения, якоже суть чрѣпиноодеждьная въ водахъ. Животи же елико кръмяться и чують и на мѣсто отъ мѣста шьстье имуть. И животу же пакы наричуть ово словесьно, ово же несловесьно; и словесьнааго ово съмрьтьно, ово же несъмрьтьно. Животъ же словесьнъ человѣкъ, иже раздѣляться въ оньсицу и въ коегожьдо человѣка.	Внешние мудрецы называют сущее первым из всех видов и родов и последовательно делят его следующим образом. Из сущего, говорят они, одно телесно, а другое бестелесно; из телесного же одно одушевленно, другое неодушевленно; а из одушевленного одно является животным, а другое животно-растительным, третье растением. Растения называются одушевленными как имеющие способность питаться и расти. Животно-растительными называют тех, что питаются и чувствуют прикосновения, но неподвижны и ходить неспособны, как черепокожие в водах. Животные же — это те, что питаются, чувствуют и способны передвигаться с места на место. А из животных, далее, одни, говорят, словесны, а другие бессловесны: из словесных же одни смертны, другие бессмертны. Животное словесное — человек, каковой различается на данного и на каждого человека.
