МѢСЯЦА ДЕКЯМБРЯ ВЪ 6 ДЬНЬ.	МЕСЯЦА ДЕКАБРЯ В 6-Й ДЕНЬ.
Чюдо 2 святаго и великаго отьца и архиерѣя Божия и чюдотворьца Николы, бывъшаго въ Мирѣхъ Ликиинѣ.	Чудо второе святого и великого отца и архиерея Божия чудотворца Николы, жившего в Мирах Ликийских.
Господи, благослови!	Господи, благослови!
Добро есть намъ Божие писание къ вамъ проповѣдати, вѣрьнии, въспомянувъше пророчьскый онъ глас, глаголющь: «Въ истину чюдьнъ Богъ и милость его въ святыихъ его, волю его вьсѣмь створи»;[16] яко и ныне въ чловѣцѣхъ быша чюдотворьца Николы, бывъшемъ въ нашихъ лѣтѣхъ.	Подобает нам Божие писание вам проповедовать, благоверные, вспомнив тот пророческий голос, изрекший: «Воистину чуден Бог, и милость его — в святых его, волю свою всем явил», — как и ныне людям были <явлены чудеса> чудотворца Николы, жившего в наше время.
Чловѣкъ нѣкто, живый въ Костянтини градѣ, именьмь Дьмитрий, имѣяи вѣру и надѣждю велику къ святому Николѣ. И възьмъ на прѣчистое и прѣславьное праздьньство свѣща и масло и вся, яже на потрѣбу праздьнику суть святому Николѣ, пошьдъшемъ же имъ въ кораблици от славьнааго града Костянтиня къ иному граду именьмь Анфурату,[17] бо бѣ святаго цьркы въ томь градѣ. Да тамо по вься лѣта исхожаше сь мужь вѣрьный къ святому Николѣ, творяше память святому.	Человек некий, именем Дмитрий, живший в Константине граде, имел веру в святого Николу и большую надежду на него. И взяв для пречистого и преславного праздника святого Николы свечи, масло и все, что необходимо для праздника, поплыл он вместе с другими на неболылом корабле от славного града Константина к иному граду, именуемому Анфурат, ибо была в том граде церковь святого. Каждый год ходил туда этот благоверный муж к святому Николе, праздновал память святому.
Идущемъ же имъ томь дьне от славнаго града Костянтиня, бѣ же томь дьне тихо море. И кде бысть къ полунощи, идущемъ имъ посредѣ моря, вънезапу бѣ вѣтръ великъ въста, и съвьрху туча велика и бѣда великая, кои пърѣ раздьра наполы и въвьрже въ море.	Когда плыли они в тот день от славного града Константина, было в тот день море тихим. Но около полуночи, когда они были уже в открытом море, внезапно поднялся сильный ветер, а сверху — дождь сильный и беда великая, которая разорвала надвое паруса и бросила их в море.
И хотяху къ краеви плути, и вълны силны пришьдъше избиша имъ весла изд руку. И тому единому Дьмитрию дьржащю весло; и пришьдъши вълна и тому издрази и въвьрже въ море весло. И ту тако опроврати кораблиць. И ино не изиде из устъ его развѣ се: «Святый Николае, помози ми!» И тако иде на дьно моря и сѣде на дьнѣ.	И хотели они плыть к берегу, но сильные волны, набежав, выбили у них весла из рук. И только один тот Дмитрий удержал весло; но, набежав, волна и у него тоже вырвала весло и бросила в море. И так тогда опрокинула корабль. И ничто не вышло из уст его, кроме сего: «Святой Никола, помоги мне!» И так пошел ко дну и сел на дне моря.
О велие чюдо! Страхъ бо мя великъ одьржить, братие, о семь, еже вы хощю съказати о семь чюдесе.	О великое чудо! Сильный страх охватывает меня, братья, от того, что я хочу рассказать вам об этом чуде.
Вънезапу бо ту тако обрѣтеся святый Николае и, възьмъ и’ въ тъ часъ на руку своею, изиде из моря. И посади и въ хлѣвинѣ своеи посредѣ, заключенѣ сущи. И онъ мьняшеся на дьнѣ моря сѣдя, и великъмь гласъмь въпияаше бес прѣстани: «Святый Николае, помози ми!»	И внезапно оказался там тогда святой Никола и, тотчас взяв его на свои руки, вышел из моря. И посадил его посреди дома его, который был заперт. А он представлял себя на дне моря и громким голосом вопил беспрестанно: «Святой Никола, помоги мне!»
И тъ глас слышаще, сусѣди чюдяхуся, глаголюще къ себѣ: «Акы гласъ есть нашего сусѣда Дьмитрия, нъ тъ въчера бѣ отшьлъ. Да како е скоро пришьлъ? Како ли е въ градъ въшьлъ нощию, а заключенъ бысть? Поидѣмъ и видимъ въ хлѣвинѣ». И въжьгъше свѣща, видѣша хлѣвину заключену; а глас единаче исхожаше сице: «Святый Николае, помози ми!» И рекоша: «Разбиемъ ключь да видимъ, или татие или кто». И въжьгъше свѣща многы, разбиша ключа и вълѣзоша въ клѣть съ свѣщами. Мнозии не познаша его; приступиша же къ нему близъ и познаша и; и видѣша нагу главу и воду, текущю съ главы слану отъ моря, и от пъртъ яко рѣка течааше. И рекоша ему: «Како еси вълѣзлъ въ хлѣвину заключену? Куду ли, чьто ли тако скоро възвратилъся еси, въчера отшьдъ, а ночьсь възвратилъся еси? И чьто ли еси вьсь мокръ?» Онъ же вься та съпослушавъ, акы отъ съна възбънувъ, рече къ нимъ: «Да къде се есмь? И вы къто есте, оже мя въпрашаете?» И они отвѣщаша ему: «Мы сусѣди есмы твои, и се въ хлѣвинѣ своеи сѣдя бесѣдуеши. Да чьто се тебе дошьло?» И отвѣщавъ къ нимъ, рече: «Се тъкъмо вѣдѣ: идущемъ намъ по морю, вънезапу туча и вѣтръ великъ приде и обрати корабль на нице, и идохъ на дьно моря. И се ныне къде есмь, сьде ся обрѣлъ — не вѣдѣ». И свѣтяще свѣщю близъ его, зьряху, како течаше вода морьская съ главы ему и съ пъртъ акы рѣка. Тъгда страхъ великъ прия и ужасть вься позорующая ту.	И слышав тот голос, соседи дивились, говоря между собой: «Голос как будто нашего соседа Дмитрия, но он вчера отплыл. И как он так скоро вернулся? И как он в город вошел ночью, ведь он заперт был? Пойдем и посмотрим в доме». И когда они зажгли свечи, увидели, что дом заперт; а голос по-прежнему слышался из него, говоря так: «Святой Никола, помоги мне!» И сказали они: «Разобьем замок и посмотрим, <кто там>: или вор, или кто <другой>». И зажгли много свечей, разбили замок и вошли в комнату со свечами. Многие не узнали его; а подошли к нему ближе и узнали его; и видели непокрытую голову и текущую с нее соленую морскую воду, и от одежды его словно река текла. И сказали ему: «Как ты вошел в запертый дом? Где? И почему так скоро возвратился: вчера отплыв, а этой ночью вернулся? И почему ты весь мокрый?» Он же, все это выслушав и словно пробудившись от сна, сказал им: «Где я нахожусь? И кто вы, что спрашиваете меня?» И они ответили ему: «Мы соседи твои, и это ты, сидя в своем доме, разговариваешь. Но что с тобой случилось?» И отвечая им, он сказал: «Вот что я только знаю: когда шли мы по морю, внезапно <начался> дождь, и поднялся сильный ветер и перевернул корабль, и пошел я ко дну. А где ныне я и как здесь оказался — не знаю». И <соседи>, поднеся к нему свечу, смотрели, как текла морская вода с головы его и с одежды, словно река. Тогда страх великий и ужас охватил там всех смотрящих.
И бывъшю дьни, ту въ градѣ дальнии сусѣди слышавъше, и вьсь градъ течаху на позоръ чюда того. И видяще, дивляхуся и славляаху Бога, пѣснь приносяще Спасу Богу нашему и избьранику его, творящему издрядьна и дивьна чюдеса.	И когда настал день, услышали здесь, в городе, дальние соседи <о случившемся>, и весь город стекался видеть это чудо. И видев, дивились и славили Бога, воспевая Спаса Бога нашего и избранника его, творящего необычайные и дивные чудеса.
Чюдо 3. Сумеонъ именьмь нѣкъто, Божий чловѣкъ, исповѣдьникъ чистъ въ чьрньцьстьвѣ сы прѣбывая и присно моляся Богу, яко и въ чюдесьхъ прѣбывая, якоже и от Десяти градъ[18] прозъвася.	Чудо третье. Некто именем Симеон, Божий человек, чистый исповедник, монашествовал и постоянно молился Богу и даже чудеса творил, так что и в Десятиградии был известен.
Имяше же въ ты дьни слугу именьмь Николу, и тъ ему работаше вьсу работу. И тъ посла и на страну Катавольску[19] на работу въ корабли. Бѣ бо море тихо вельми и бѣло. Ти же пловяху тихо и скоро, гребуще съ усьрдиемь и съ радостию; якоже и на кърмѣ убо стоя, радоваашеся и играше. Идущемъ же имъ на полудьни, вънезапу въ единомь часѣ мьрче, и бысть нощь, и не вѣдяаху, камо ити. И потомь въста вѣтръ великъ угъ съ тучею великою и съ громъмь, и вълны быша выше корабля. И бы бѣда велика, якоже и весла издрази и въвьрже въ море, и вѣтрило наполы раздьра. И от страха велика падоша ници въ корабли, и уже бо ся бяху отчаяли живота. А корабль горѣ хожаше на вълнахъ, и они ници лежаще, кричаху и молящеся, сице глаголюще: «Святый Николае, помози ны и избави ны!»	Был у него в то время слуга по имени Никола, и тот выполнял для него всю работу. И послал он его на работу в страну Катавольскую на корабле. Так как море было совершенно спокойно и светло, то плыли спокойно и быстро, гребя с усердием и радостью; так что и он, стоя на корме, радовался и развлекался. Когда же они плыли на юг, внезапно в один час смерклось, и стало темно, и не знали они, куда плыть. А потом поднялся сильный южный ветер с дождем и грозой, и волны были выше корабля. И была большая беда, так что и весла вырвала из рук и ввергла в море, и паруса разорвала надвое. И от великого страха упали все ниц на корабле и уже не чаяли остаться в живых. Корабль высоко ходил по волнам, а они, лежа ничком, громко плакали и молились, говоря так: «Святой Никола, помоги нам и избавь нас!»
И клячащемъ имъ въ корабли молящемся, и Николае калогеръ въсклонися, видѣти хотя моря. И узьрѣ чловѣка въ бѣлахъ ризахъ ходяща. Оле, чюдо, улучиша надѣжю и не погрѣшиша! Зьряше же Никола чьрноризьць близъ къ кораблю идуща святаго Николу великааго чюдотворьца, по морю идуща, яко по суху, очима своима явѣ, бесѣдующа сице къ нему, и въ корабль вълѣзуща съ радостию и глаголюща: «Въстани, брате, ничьтоже бояся, не лѣнися, ни дрѣмли, нъ иди на свою работу, имѣя радость; отселѣ съ тобою бо есмь, егоже от сьрдьца призываеши, Николы от Миры суща, да се ныне слави Бога». И то ему рекъшю, ищезе от очию его. И от того часа бы тихо море въ мьгновении очию, ста и туча, и вѣтръ, и бы тишина велика. И къдеже имъ бяше ити, то тамо вѣтръ тихъ потязаше. И еже бяше дъвѣма недѣляма прѣити, то единомь не реку дьни быша, нъ единомь часѣ прѣидоша. И тако прославиша Бога, и тако пояху: «Чюдьнъ Богъ въ святыихъ своихъ».	И когда они в корабле молились, стоя на коленях, монах Николай поднялся, чтобы взглянуть на море. И увидел человека, в белых одеждах ходящего. О чудо! Обрели они надежду и не ошиблись! Увидел монах Николай ясно своими глазами подходящего к кораблю святого Николу, великого чудотворца, по морю идущего, словно посуху, обращающегося к нему, поднимающегося с радостью на корабль и так говорящего: «Встань, брат; ничего не бойся, не ленись, не дремли, но иди на свою работу с радостью, ибо отныне с тобою я, кого призываешь ты всем сердцем, Никола из Мир; славь же ныне Бога». И сказав ему это, скрылся из виду. И с того часа море было тихим, в мгновение ока прекратился и дождь, и ветер, и установилась полная тишина. А туда, куда пролегал их путь, подгонял их тихий ветер. И то, что должны были пройти за две недели, прошли — не скажу за один день, — за один час. И прославили за это Бога, так певши: «Дивен Бог во святых своих».
Чюдо 4. Агрикъ[20] нѣкъто именьмь, живый въ странѣ Антиохиистѣй близъ срачинъ,[21] богатъ сы вельми и любяше вельми святаго Николы, имѣя единого сына и творя по вься лѣта память святому Николѣ, канонъ и утрьнюю и литургию; и ставяше дъвѣ тряпезѣ: пьрвую братии Божии убогыимъ, а по литургии — сьрдоболямъ и другомъ, сусѣдомъ и инѣмъ.	Чудо четвертое. Некто по имени Агрик, живший в земле Антиохийской недалеко от сарацин, был очень богат и сильно любил святого Николу, имея единственного сына и творя каждый год память святому Николе: канон, утреню, и литургию; и ставил две трапезы: первую — братии Божией, убогим, а после литургии — родственникам, друзьям, соседям и иным.
Бѣ же цьркы святаго от града пять попьрищь въдале на чистѣ поли. И тамо на вся лѣта събирахуся людие — мужи, и жены, и дѣти — на память святаго Николы.	Церковь святого стояла в пяти поприщах от города, в чистом поле. И каждый год собирались там люди — мужчины, и женщины, и дети — на память святого Николы.
