ИЗ ЛАВРЕНТЬЕВСКОЙ ЛЕТОПИСИ	ИЗ ЛАВРЕНТЬЕВСКОЙ ЛЕТОПИСИ
Бѣ же Василко лицем красенъ, очима свѣтелъ и грозенъ, хоробръ паче мѣры на ловѣх, сердцемь легок, до бояръ ласковъ. Никто же бо от бояръ, кто ему служилъ, и хлѣбъ его ѣлъ, и чашю пилъ, и дары ималъ, тотъ никако же у иного князя можаше быти за любовь его. Излише же слугы свои любляше, мужьство же и ум в нем живяше, правда же и истина с ним ходяста. Бѣ бо всему хытръ и гораздо умѣя, и посѣдѣ в доброденьствии на отни столѣ и дѣдни; и тако скончася, яко же слышасте.	Был же Василек лицом красив, очами светел и грозен, храбр безмерно на охоте, сердцем легок, с боярами ласков. Кто из бояр ему служил, и хлеб его ел, и пил из его чаши, и дары получал, тот из-за преданности Васильку никакому другому князю уже не мог служить. Крепко любил Василек слуг своих, мужество и ум в нем жили, правда и истина с ним ходили. Был он сведущ во всем и искусен, и княжил он мудро на отцовском и дедовском столе; а скончался он так, как вы слышали.
В лѣто 6746. Ярославъ, сынъ Всеволода великаго, сѣде на столѣ в Володимери. И бысть радость велика христьяном, их же избави Богъ рукою своею крѣпкою от безбожных татаръ. И поча ряды рядити, яко же пророкъ глаголет: «Боже, суд твой цареви дажь, и правъду твою сынови цесареви — судити людемъ твоим в правду и нищим твоимъ в суд». И потомъ утвердися в своем честнѣмь княжении. Того же лѣта князь Ярославъ великый отда Суждаль брату своему Святославу. Того же лѣта отда Ярославъ Ивану Стародубъ. Того же лѣта было мирно.	В год 6746 (1238). Ярослав, сын великого Всеволода, занял стол во Владимире. И была радость великая среди христиан, которых Бог избавил рукой своей крепкой от безбожных татар. И начал князь творить суд, как говорит пророк: «Боже, даруй царю твой суд, и сыну царя твою правду — да судит праведно людей твоих и нищих твоих на суде». И потом он утвердился на своем честном княжении. В тот же год великий князь Ярослав отдал Суздаль брату своему Святославу. В тот же год отдал Ярослав Ивану Стародуб. В тот же год было мирно.
В лѣто 6747. Посла Ярославъ князь великий по брата своего Георгия в Ростовъ,[29] и привезоша и к Володимерю, и не дошедше ста. Изидоша из града противу ему епископъ Кирилъ и Дионисий архимандритъ; понесоша и в град с епископомъ, и игумени, и попове, и черноризци. И не бѣ слышати пѣнья в плачи и велици вопли, плака бо ся весь град Володимерь по нем. Ярослав же, и Святославъ, и князи рустии плакахуся по нем с дружиною своею, и множество бояръ и слугъ плакахуся лишения своего князя, убозии кормителя. Пѣвше обычныя пѣсни и положиша и в гроб каменъ в святой Богородици в гробници, иде же лежить Всеволодъ, отець его. Бѣ Юрьи, сынъ благовѣрнаго отца Всеволода, украшенъ добрыми нравы, их же имена вмалѣ повѣмы.	В год 6747 (1239). Великий князь Ярослав послал за телом брата своего Георгия в Ростов, и привезли его к Владимиру, и остановились, не доехав. Навстречу телу вышли из города епископ Кирилл и Дионисий архимандрит; понесли его в город с епископом, и игуменами, и попами, и монахами. И не слышно было пения из-за великого плача и вопля, ибо весь город Владимир оплакивал князя. А Ярослав, и Святослав, и князья русские оплакивали его с дружиной своею, и множество бояр и слуг оплакивало смерть своего князя, кормителя убогих. После заупокойной службы положили его тело в гробницу каменную в церкви святой Богородицы в усыпальнице, где погребен и Всеволод, отец его. Был Юрий, сын благоверного отца Всеволода, украшен добродетелями, о которых расскажем вкратце.
Се бо чюдный князь Юрьи потщася Божья заповѣди хранити и Божий страх присно имѣя в сердци, поминая слово Господнее, еже рече: «О семь познают вы вси человеци, яко мои ученици есте, аще любите друг друга. Не токмо же друга, но и врагы ваша любите и добро творите ненавидящим вас. Всякъ зломыслъ его прежемѣненыя безбожныя татары отпущаше одарены.[30] Бяхуть бо преже прислали послы своѣ злии ти кровопийци, рекуще: «Мирися с нами». Он же того не хотяше, яко же пророкъ глаголет: «Брань славна луче есть мира студна». Си бо безбожнии со лживым миром живуще велику пакость землям творять, еже и здѣ многа зла створиша. Богъ бо казнить напастми различными, да явяться яко злато искушено в горнилѣ — христьяном бо многыми напастми внити в царство небесное. Сам бо Христосъ Богъ: «Нужно е царство небесное, и нужници въсхытают е». Георгие, мужьство тезоимените, кровью омывъся страданья ти! Аще бо не напасть, то не вѣнець, аще не мука, ни дарове. Всякый бо держася добродѣтели, не может безъ многих враг быти.	Этот дивный князь Юрий старался Божественные заповеди соблюдать и всегда имел страх Божий в сердце, помня слово Господа, которое так звучит: «Все люди узнают, что вы мои ученики, если будете любить друг друга. Любите не только друзей, но и ваших врагов и делайте добро ненавидящим вас». Всякого его недруга эти безбожные татары отпускали, наградив. Ведь сначала злые эти кровопийцы прислали к нему послов своих, призывая: «Мирись с нами». Он же не хотел этого, как говорит пророк: «Славная война лучше постыдного мира». Ведь эти безбожники, лживый мир предлагая, великое зло землям творят, и нам они сотворили много зла. Бог наказывает людей различными несчастьями, чтобы они стали как золото, очищенное в горниле,— ведь христиане, преодолев много напастей, войдут в царство небесное. Ведь сам Христос Бог говорит: «Усилием берется царство небесное, и прилагающие усилие получат его». Георгий,— воплощенное мужество,— кровью омылись страданья твои! Если не будет испытания, не будет и венца, если нет мук, нет и воздаяния. Всякий, кто привержен добродетели, не может прожить без множества врагов.
Милостивъ же бяше паче мѣры, поминая слово Господне: «Блажении милостиви, яко ти помиловани будут». Тѣмь и не щадяше имѣния своего, раздавая требующим; и церкви зижа и украшая иконами безъцѣнными и книгами, и грады многы постави, паче же Новъгородъ вторый[31] постави на Волзѣ усть Окы, и церкы многы созда и манастырь святыя Богородица[32] Новѣгородѣ. Чтяшет же излиха чернечьскый чинъ и поповьскый, подая имъ еже на потребу. Тѣм и Богъ прошения его свершаше, исполни лѣт его в доброденьствии. И посѣдѣ в Володимерѣ на отни столѣ лѣт 20 и 4, а на 5-е убьенъ бысть от безбожных и поганых татаръ. Се же все сдѣяся грѣх ради наших.	Был Юрий милостив безмерно, помня слово Господа: «Блаженны милостивые, ибо они помилованы будут». Поэтому он не дорожил своим имуществом, раздавая его нуждающимся; он строил церкви, украшая их иконами бесценными и книгами, и много городов основал, прежде всего Новгород второй на Волге в устье Оки, и многие церкви воздвиг и монастырь святой Богородицы в Новгороде. Особенно же почитал он иноков и священников, наделяя их всем необходимым. Поэтому и Бог выполнял его просьбы, и было мудро правление его. И сидел Юрий во Владимире на отеческом престоле двадцать четыре года, а на двадцать пятый год был убит безбожными и погаными татарами. И все это произошло из-за наших грехов.
Но не предай же нас до конца имени твоего ради святаго и не остави милости твоея от нас молитвою святыя Богородица и блаженаго епископа Кирила. Не презрѣ Господь молитвы его и слезъ, иже приношаше Господеви, моляся день и нощь, абы не оскудѣла правовѣрная вѣра христьяньская. Еже и бысть: сдѣя Господь спасенье велико князем нашим, избавилъ есть от враг наших; «очи бо Господни на боящаяся его, а уши его в молитву ихъ». Гониша по них татарове и не обрѣтоша. Яко же и Саулъ гоняше Давида,[33] но Богъ избави от руку его, тако и сих Богъ избави от рукы иноплеменник, благочестиваго и правовѣрнаго великого князя Ярослава с благородными своими сыны. Бѣ же ихъ 6: Олександръ, Андрѣй, Костянтинъ, Офонасий, Данило, Михайло. А Святославъ с сыном с Дмитрием, Иванъ Всеволодичь, Володимеръ Костянтинович, Василковича 2 — Борисъ и Глѣбъ, Всеволодичь Василий, — си вси схранени быша Божьею благодатью; но мы на предреченая взидем.	Но не погуби нас, Господи, до конца ради твоего святого имени и не лишай нас своей милости ради молитвы святой Богородицы и блаженного епископа Кирилла. Не презрел Господь молитвы и слезы князя Юрия, что приносил он Господу, молясь днем и ночью, чтобы не оскудела правоверная вера христианская. Так и случилось: Господь послал нам великое спасение ради нашего князя, избавил нас Бог от врагов наших; «ведь очи Господа обращены к боящимся его, а уши его к их молитве». За князьями гнались татары, но не настигли их. Как и Саул преследовал Давида, но Бог спас Давида от его руки, так и этих князей Бог спас от руки иноплеменников, благочестивого и правоверного великого князя Ярослава и его благородных сыновей. А было их шесть: Александр, Андрей, Константин, Афанасий, Даниил, Михаил. А Святослав с сыном Дмитрием, Иван Всеволодович, Владимир Константинович, два сына Василька — Борис и Глеб, Василий Всеволодович. И все они были сохранены Божьей благодатью; но мы вернемся к прежнему рассказу.
Того же лѣта татарове взяша Переяславль Рускый, и епископа убиша, и люди избиша, и град пожьгоша огнем, и люди, и полона много вземше, отидоша. Того же лѣта Ярославъ иде г Каменьцю; град взя Каменець, а княгыню Михайлову со множьством полона приведе в своя си. Того же лѣта священа бысть церкы Бориса и Глѣба в Кидекшии[34] великым священьем на праздник Бориса и Глѣба священымъ епископомъ Кириломъ. Того же лѣта взяша татарове Черниговъ, князи ихъ выѣхаша въ Угры; а град пожегше, и люди избише, и манастырѣ пограбиша, а епископа Перфурья пустиша в Глуховѣ;[35] а сами идоша в станы своѣ. Того же лѣта Ярославъ иде Смолиньску на Литву, и Литву побѣди, и князя ихъ ялъ; а смольняны урядивъ князя Всеволода посади на столе, а сам со множеством полона с великою честью отиде в своя си. Того же лѣта на зиму взяша татарове Мордовьскую землю, и Муром пожгоша, и по Клязьмѣ воеваше, и град святыя Богородица Гороховець пожгоша, а сами идоша в станы своя. Тогды же бѣ пополохъ золъ по всей земли, и сами не вѣдяху и гдѣ хто бѣжить.	В тот же год татары взяли Переяславль Русский, и епископа убили, и людей перебили, а город сожгли огнем, и, захватив много пленников и добычи, отступили. В тот же год Ярослав пошел к Каменцу; он захватил город Каменец, а княгиню Михаила и большую добычу забрал с собой. В тот же год освящена была великим освящением церковь Бориса и Глеба в Кидекше в праздник Бориса и Глеба священным епископом Кириллом. В том же году татары взяли Чернигов, князья же оттуда выехали в Венгрию; а город сожгли, и людей перебили, и монастыри разграбили, а епископа Порфирия отпустили в Глухове; а сами татары вернулись в станы свои. В тот же год Ярослав выступил в поход из Смоленска против Литвы, и победил Литву, а князя их взял в плен; уладив дела со смольнянами, он посадил у них князем Всеволода, а сам с большой добычей и с великой славой вернулся в свои земли. В тот же год зимой захватили татары Мордовскую землю, и Муром сожгли, и воевали по берегу Клязьмы, и город святой Богородицы Гороховец сожгли, а затем вернулись в станы свои. Тогда было смятение большое по всей земле, и сами люди не знали, кто куда бежит.
В лѣто 6748. Родися Ярославу дщи и наречена бысть в святомь крещении Марья. Того же лѣта взяша Кыевъ татарове и святую Софью разграбиша и манастыри всѣ. И иконы, и кресты честныя, и вся узорочья церковная взяша, а люди от мала и до велика вся убиша мечем. Си же злоба приключися до Рожества Господня на Николинъ день.[36]	В год 6748 (1240). У Ярослава родилась дочь и была названа при святом крещении Марией. В тот же год взяли татары Киев и храм святой Софии разграбили и монастыри все. А иконы, и честные кресты, и все церковные украшения забрали и избили мечом всех людей от мала до велика. А случилось это несчастье в Николин день до Рождества Господа.
В лѣто 6749. Родися Ярославу сынъ и нареченъ бысть въ святомь крещении Василий. Того же лѣта татарове побѣдиша угры. Того же лѣта татарове убиша Мстислава Рыльского.	В год 6749 (1241). У Ярослава родился сын и был назван при святом крещении Василием. В тот же год татары победили венгров. В тот же год татары убили Мстислава Рыльского.
ИЗ ТВЕРСКОЙ ЛЕТОПИСИ	ИЗ ТВЕРСКОЙ ЛЕТОПИСИ
Повѣсть о Калкацкомъ побоищѣ, и о князехъ рускыхъ, и о храбрыхь 70. Въ лѣто 6732. По грѣхомь нашимъ приидоша языци незнаеми, безбожнии моявитяне, их же никто же добрѣ не вѣсть ясно, кто суть, и отколѣ изыидоша, и что языкь ихъ, и которого племени суть, и что вѣра ихъ. И зовуть я татари, а инии глаголють таурмени, а друзии печенѣзи. Инии же глаголють, яко сии суть, о нихъ же Мефодий, епископь Паторомский, свѣдительствуетъ, яко сии суть вышли ис пустыня Ефровскиа, сущи межи въстока и сѣвера. Тако бо глаголеть Мефодий: «Яко въ скончание времени явитися имъ, их же загна тамо Гедеонъ, и изшедше оттуду, поплѣнятъ всю землю отъ востока до Ефранта, и отъ Тигра до Понетскаго моря, кромѣ Ефиопиа». Богь же вѣсть единъ, кто суть и отколѣ изыидоша, премудрии мужи вѣдятъ я добрѣ кто книгы разумѣетъ. Мы же ихъ не вѣмы, кто суть, но и здѣ написахомъ о нихъ памяти ради рускыхъ князь и бѣды, яже бысть отъ нихъ.	Повесть о битве на Калке, и о князьях русских, и о семидесяти богатырях. В год 6732 (1223). Из-за грехов наших пришли народы неизвестные, безбожные моавитяне, о которых никто точно не знает, кто они, и откуда пришли, и каков их язык, и какого они племени, и какой веры. И называют их татарами, а иные говорят — таурмены, а другие — печенеги. Некоторые говорят, что это те народы, о которых Мефодий, епископ Патарский, сообщает, что они вышли из пустыни Етриевской, находящейся между востоком и севером. Ибо Мефодий говорит так: «К скончанию времен появятся те, которых загнал Гедеон, и, выйдя оттуда, пленят всю землю от востока до Евфрата и от Тигра до Понтийского моря, кроме Эфиопии». Один Бог знает, кто они и откуда пришли, о них хорошо известно премудрым людям, которые разбираются в книгах. Мы же не знаем, кто они такие, а написали здесь о них на память о бедах, которые они принесли, и русских князьях.
Но не сихъ же ради сие случися, ко гордости ради и величаниа рускыхъ князь попусти Богь сему быти. Бѣша бо князи храбры мнози, и высокоумны, и мнящеся своею храбростию съдѣловающе. Имѣяхутъ же и дружину многу и храбру, и тою величающеся, от них же о единомъ въспомянемъ здѣ, описаниа налѣзше.	Но все это случилось не из-за татар, а из-за гордости и высокомерия русских князей допустил Бог такое. Ведь много было князей храбрых, и надменных, и похваляющихся своей храбростью. И была у них многочисленная и храбрая дружина, и они хвалились ею; из дружины вспомним здесь об одном, найдя рассказ о нем.
Бѣ нѣкто отъ ростовскыхъ житель Александрь, глаголемый Поповичь, и слуга бѣ у него именемь Торопь; служаше бо той Александръ великому князю Всеволоду Юриевичу. Повнегда же дасть князь великий Всеволод градъ Ростовъ сыну своему князю Костантину, тогда и Александрь начатъ служити Костантину. Егда же преставися великий князь Всеволодъ, Костантину не восхотѣвшу быти въ Володимери, но у пречистиа Ростовскиа и чюдотворцевь излюбы жити. Тѣмь и прошаше Вълодимера къ Ростову, а не Ростова къ Володимерю, ту бо омышляше столу быти великому княжению; но не въсхотѣ сего пречистая Богородица. И дасть князь великий Всеволодъ столъ свой меншему отъ Костантина сыну своему Юрию. Тѣмъ Костантинь гнѣвашеся на брата о княжении, а князь великий Юрий многы браны на Костантина въздвиже, хотя съ Ростова съгнати его; и не попусти ему Господь.	Среди жителей Ростова был некто Александр по прозвищу Попович, и был у него слуга по имени Тороп; а служил этот Александр великому князю Всеволоду Юрьевичу. А когда великий князь Всеволод отдал город Ростов сыну своему князю Константину, тогда и Александр начал служить Константину. После смерти великого князя Всеволода Константин не захотел княжить во Владимире, но пожелал жить близ чудотворцев и церкви пречистой Богородицы в Ростове. Поэтому и захотел присоединить он Владимир к Ростову, а не Ростов к Владимиру, и замыслил, чтобы здесь был стол великокняжеский; но не допустила этого пречистая Богородица. И завещал великий князь Всеволод престол свой младшему после Константина сыну своему Юрию. Тогда Константин разгневался на брата из-за его княжества, а великий князь Юрий начал войну против Константина, желая выгнать его из Ростова; но не допустил этого Господь.
Пришедшу бо ему на нь ратию, Костантинъ отъиде къ Костромѣ и тоа съжже. Князь великий Юрий стоаше подъ Ростовомъ, въ Пужбалѣ, а войско стояше за двѣ версты отъ Ростова, по рѣцѣ Ишнѣ,[37] биахутъ бо ся вмѣсто острога объ рѣку Ишню. Александръ же выходя многы люди великого князя Юриа избиваше. Их же костей накладены могыли великы и донынѣ на рѣцѣ Ишнѣ, а инии по ону страну рѣки Усии: много бо людей бяше съ великымъ княземь Юриемь. А инии побиени отъ Александра же подъ Угодичами, на Узѣ, тѣ бо храбрии выскочивше на кою либо страну обороняху градъ Ростовъ молитвами пречистыа. Многажды бо князь великий Юрий на братне достоание прихождаше, но съ срамомъ възвращашеся.	Когда Юрий пришел на брата с войском, Константин ушел в Кострому и сжег ее. Князь великий Юрий стоял в Пужбале под Ростовом, а войско его находилось в двух верстах от Ростова, на реке Ишне, и была для них река Ишна как крепкая стена. Тогда Александр вышел из города и перебил многих людей великого князя Юрия. А кости их собраны в большие могилы, которые и ныне есть на реке Ишне, а также по другую сторону реки Усии: ведь с князем Юрием много пришло людей. А другие перебиты были Александром под Угодичами, на реке Узе, потому что богатыри Александра, делая вылазки с различных сторон, обороняли молитвами пречистой Богородицы город Ростов. Так великий князь Юрий многократно приходил во владения брата, но возвращался посрамленный.
Единою выйде на него изъ Ростова Костантинь, и бысть имъ бой за Юриевымъ на рѣцѣ Гзѣ,[38] и тамо побѣди Костантинь, молитвами пречистыа, своею правдою и тѣми же храбрыми Александромъ съ слугою Торопомъ; ту же бѣ и Тимоня Золотой поясъ. И ту убиша у великого князя храбраго Юряту, о семъ велми опечалися князь великий Юрий; побѣждень же смирися съ братомъ. Потомъ прииде на Ярослава Переяславьского Мьстиславь Мьстиславичь, тесть его, и инии князи, съ собою же и Костантина подвигоша, а за Ярослава сталъ князь великий Юрий за брата. И бысть имъ бой на Липицахъ и на Юриевѣ горѣ,[39] а ту всѣ полки великого князя Юриа избыти. Въ них же убиень бысть храбрый и безумный бояринъ Ратиборъ, иже похвалися сѣдлы наметати супротивныхъ. Князя же Юриа побѣдивше, и на столѣ въ Володимерѣ Костантина посадиша. Два же лѣта Костантинъ бывь князь великий, пакы столъ дасть брату Георгию, а дѣтемъ Ростовъ и Ярославль, а самъ кь Господу отходитъ.	Однажды вышел против него Константин из Ростова и вступил в бой с Юрием на реке Гзе, и здесь Константин победил молитвами пречистой Богородицы, своей правдою и с богатырями Александром и его слугой Торопом; здесь же был и Тимоня Золотой пояс. А у великого князя убили тут храброго Юряту, о чем сильно горевал великий князь Юрий; но, побежденный братом, помирился с ним. А затем на Ярослава Переяславского пришел Мстислав Мстиславич, тесть его, и другие князья, и привлекли они на свою сторону Константина, а на стороне Ярослава, своего брата, выступил великий князь Юрий. И был у них бой на Липицах и на Юрьевой горе, и здесь все полки великого князя Юрия погибли. В числе их был убит храбрый и безрассудный боярин Ратибор, который хвастался, что закидает противников седлами. Победив князя Юрия, посадили на престол во Владимире Константина. Константин был великим князем два года и затем вновь отдал престол брату Георгию, детям отдал Ростов и Ярославль, а сам скончался.
Видѣвъ же Александрь князя своего умрьша, а Юриа сѣдша на столѣ, размышляше о животѣ, еда како отдасть мьщение князь великий, Юряты ради, и Ратибора, и инѣхъ мнозѣхъ отъ дружины его, их же изби Александрь. Вскорѣ смысливь посылаетъ своего слугу, их же знаше храбрыхъ, прилучившихся въ то время, и съзываетъ ихь къ собѣ въ городъ, обрытъ подъ Гремячимъ колодяземъ на рѣцѣ Гдѣ, иже и нынѣ той сопъ стоитъ пустъ. Ту бо събравшеся съвѣтъ сътвориша, аще служити начнутъ княземъ по разнымъ княжениямъ, то и не хотя имутъ перебитися, понеже княземъ въ Руси велико неустроение и части боеве. Тогда же рядъ положивше, яко служити имъ единому великому князю въ матери градомъ Киевѣ. Бѣ же тогда въ Киевѣ князь великий Мьстиславь храбрый Романовичь Смоленского и Володимеръ Руриковичь Ростиславича, въ то же время Мъстиславь Мьстиславичь въ Галичи. И быша челомъ вси тыи храбрыи великому князю Мьстиславу Романовичу, о них же князь великий велми гордящеся и хваляшеся, донеле же сиа злоба съключися, о ней же повѣсть предлежитъ.	Когда Александр увидел, что его князь умер, а на престол взошел Юрий, он стал бояться за свою жизнь, как бы великий князь не отомстил ему за Юряту, и Ратибора, и многих других из его дружины, которых перебил Александр. Быстро сообразив все это, посылает он своего слугу к богатырям, которых он знал и которые были в то время поблизости, и призывает их к себе в город, устроенный под Гремячим колодцем на реке Гзе,— а теперь это укрепление запустело. Собравшись здесь, богатыри решили, что если они будут служить князьям в разных княжествах, то они поневоле перебьют друг друга, поскольку между князьями на Руси постоянные раздоры и частые сражения. И приняли они решение служить одному великому князю в матери всех городов Киеве. А был тогда великим князем в Киеве храбрый Мстислав, сын Романа Смоленского, а в Смоленске Владимир Рюрикович (оба внуки князя Ростислава), а Мстислав Мстиславич в это время был в Галиче. Били челом все эти богатыри великому князю Мстиславу Романовичу, и князь великий очень гордился и хвалился ими, пока не приключилось то несчастье, о котором пойдет речь.
Начатъ бо слухъ проходити, яко сии безбожнии многы страны поплѣниша: Ясы, Обезы, Касогы, и половець безбожныхъ множество избыша, и приидоша на землю Половеческую. Половци же не могуще противися бѣжаша, и многыхъ избыша, а иныхъ погнаша по Дону въ лукоморя,[40] и тамо избиваеми гнѣвомъ Божиимъ и пречистыа его Матери. Много бо зла сътвориша тѣ окаании половци Руской земли. Того ради всемилостивый Богъ хотя погубити безбожныа сына Измаиловы, куманы, яко да отъмьстятъ кровь христианьскую; еже и бысть надъ ними. Приидоша бо ти таурмени на всю страну Куманьскую и гониша ихъ до рѣки Днѣпра близъ Руси.	Начали приходить слухи, что эти безбожные татары пленили многие народы: ясов, обезов, касогов, избили множество безбожных половцев и пришли в Половецкую землю. Половцы же, не в силах сопротивляться, бежали, и татары многих избили, а других преследовали вдоль Дона до залива, и там они убиты были гневом Бога и его пречистой Матери. Ведь эти окаянные половцы сотворили много зла Русской земле. Поэтому всемилостивый Бог хотел погубить безбожных сынов Измаила, куманов, чтобы отомстить за кровь христианскую; что и случилось с ними. Ведь эти таурмены прошли всю землю Куманскую и преследовали половцев до реки Днепра около Руси.
И прибѣгоша окаяннии половци, иде же зовется валъ Половеческий, остатокъ избытыхъ: Котянь, князь половеческий, съ инѣми князи; а Данило Кобяковичь съ нимъ и Юрий Кончаковичь убьена быста. Сей же Котянъ тестъ бѣ князю Мьстиславу Мьстиславичу Галичьскому, и прииде съ поклономъ съ князи половеческыми къ зятю Мьстиславу въ Галичь и къ всѣмъ княземъ рускымъ. И принесе дары многы, кони, и велбуди, и буйволы, и дѣвки, и одариша всѣхъ князей рускыхъ, кланяяся, ркуще: «Дньсь нашу землю отъяли суть, а вашу пришедше заутра възмутъ, то помозѣте намъ». И възмолися Котянъ зятю своему Мьстиславу; князь же Мьстиславъ посла кь братии своей, княземъ рускымъ, съ молбою рекъ: «Поможемъ симь; аще ли же мы симъ не поможемъ, то сии имутъ предатися къ нимъ, то онимъ болши будетъ сила, а намъ тяготнѣе будетъ отъ нихъ». И тако думавше много о себѣ, и поклона для и молбы князей половеческыхъ яшася Котягу помагати.	И прибежали окаянные половцы к месту, которое называется Половецкий вал, остаток их: Котян, князь половецкий, с другими князьями; а Даниил Кобякович вместе с Юрием Кончаковичем были убиты. Этот Котян был тесть князя Мстислава Мстиславича Галицкого, и пришел он с князьями половецкими в Галич с поклоном к своему зятю Мстиславу и ко всем князьям русским. И принес он многие дары — коней, и верблюдов, и буйволов, и невольниц, и, кланяясь, одарил всех русских князей, говоря: «Сегодня нашу землю татары отняли, а вашу завтра придут и возьмут, и поэтому помогите нам». Умолял Котян зятя своего Мстислава; а князь Мстислав послал к своим братьям, князьям русским, за помощью, говоря так: «Поможем половцам; если мы им не поможем, то они перейдут на сторону татар, и у тех будет больше силы, и нам хуже будет от них». Долго они советовались и, уступив просьбам и мольбам половецких князей, решили пойти на помощь Котяну.
