СЛОВО БЛАЖЕННАГО ЗОРОВАВЕЛЯ	СЛОВО БЛАЖЕННОГО ЗОРОВАВЕЛЯ
Тогда рече ко Зоровавелю: «Приступи ко мнѣ». Он же приступи. Обоим его цесарь и облобыза его перед всѣмъ народом, и рече: «Благословенъ Богъ Зоровавелевъ, яко дал есть ему духъ вѣрный прославити вѣру пред цесаремъ и человѣки». И повелѣ цесарь исполнити Зоровавелю, что писано въ грамоте их, яко обрѣте милость во очию цесареву пред въсѣми болѣ обою другу его. И рече цесарь: «Прости, Зоровавелю, и еще что хощет душа твоя кромѣ того писаннаго, аще и до полуцесарствия моего дано ти будет от мене». И рече Зоровавель цесареви: «Помяни, господине, обѣщание, яко обѣщася ты и Корѣшь цесарю небесному Господу Богу Саваофу сотворити дом Божий и возвратити святыя его сосуды на мѣсто святое, и плѣнъ людий испусти на мѣсто, идѣже взывается имя Божие на немъ. За то же помолятся великому Богу за цесаря и за цесарьство его, за исполнение обѣщания, еже еси обѣщал Богу небесному».	Тогда сказал (царь) Зоровавелю: «Подойди ко мне». И тот подошел. Обнял его царь и поцеловал перед всем народом, и сказал: «Благословен Бог Зоровавелев, так как дал ему дух верный прославить веру перед царем и людьми». И повелел царь сделать для Зоровавеля все так, как было написано в грамоте их, ибо обрел он в глазах царя перед всеми милость большую, чем оба друга его. И сказал царь: «Проси, Зоровавель, что еще хочет душа твоя, кроме написанного в грамоте, и до половины царства моего дано тебе будет от меня». И сказал Зоровавель царю: «Вспомни, господин, обещание, ибо обещали ты и Кир царю небесному Господу Богу Саваофу создать дом Божий и возвратить святые его сосуды на место святое, и отпустить пленных на то место, на котором взывается имя Божие. И за то помолятся великому Богу за царя и за царство его, за исполнение обещания, которое ты дал Богу небесному».
И повелѣ цесарь привести писци свои и написавъ просбу Зоровавелеву, егоже просилъ создати Иерусалимъ. И посла цесарь Дарей къ Корѣшу цесарю, дабы был на кунъ с нимъ исполнити обѣщание се же створити дом Божий во Иерусалиме. И тогда заповѣда цесарь Корѣшь ко всему цесарству своему, река: «Хто вас боится Бога небесна, да идет дѣлати дому Божия. И аз дам из рисници своей злато и сребро, и все, что надобе». И написаша писци по слову Дария, цесаря мидскаго, и Корѣша, цесаря перьскаго, ко всѣмъ велможамъ и посадником и по всѣмъ градом арменом, циряномъ и цидяном, и самаряном, и Сафу, старосте плененому:[9] «Вѣдайте, яко возбуди Богъ, цесарь небесный, сердца ваша выпустити плѣнъ людий его, иже запленив Навходоносор, цесарь вавилонский.[10] Сынъ разори бо создание отца своего, тогда бо стоялъ Иерусалимъ пустъ лѣтъ 93. Ныне же возврати сосуды дому великаго Бога и наряди жертовник, и сотвори стѣну Иерусалиму до конца. Будите же готови наполните все, что надобе сребром и златом, и мѣдью, и камениемъ, и древом дѣлатели, еже проси Зоровавель, Исус Седекович».[11] И поидоша со всѣми во град Иерусалимъ со останком полона, и начаша здати град Иерусалимъ и церковь по слову Дареву и Корѣшеву.	И приказал царь привести своих писцов и записал просьбу Зоровавеля, просившего создать Иерусалим. И послал царь Дарий к царю Киру, чтобы вместе с ним исполнил обещание построить дом Божий в Иерусалиме. И тогда предписал царь Кир всему царству своему, говоря: «Кто из вас боится Бога небесного, пусть идет строить дом Божий. И я дам из своей казны золото и серебро, и все, что необходимо». И написали писцы по слову Дария, царя мидийского, и Кира, царя персидского, ко всем вельможам и правителям городов, и по всем городам Арамеи, Тира и Сидона, и Самарии, и Асафу, старосте плененному: «Знайте, что возбудил Бог, царь небесный, сердца ваши выпустить пленных людей его, которых взял в плен Навуходоносор, царь вавилонский. Сын разорил создание отца своего, и тогда стоял Иерусалим пуст девяносто три года. Ныне же возвратил сосуды в дом великого Бога и устроил жертвенник, и возвел стену Иерусалима. Будьте готовы дать все необходимое — серебро, золото, медь, камение, дерево — строителям, как просил Зоровавель и Иисус Иоседекович». И пошли (Зоровавель и Иисус Иоседекович) со всеми оставшимися (в живых) пленными в Иерусалим, и начали строить город Иерусалим и храм, по слову Дария и Кира.
Егда же осѣде Иерусалимъ Тит, цесарь халдѣйски,[12] и сѣде два лѣта. И во второе лѣто плени град[13] въ цесарство Еспасияне. Много же Тит разда[14] плѣнник в дары, изтлятся на позорищех звѣрми и желѣзы. Елико же быша преди 17 лѣтъ и испрода вся, в оньже продаяху на малѣ ценѣ з женами и з детми по десяти златник, зане умножиша ся продающия, а купци умалиша ся. А иже паче быша седми на десят лѣтъ, оковани и послани быша на Египетскую страну на дѣла. Плененых же бысть 9 сот тысущь и седмь тысущь, а убьеных сто тем и 100 тысущь, тѣмже кровь, яко езеро пловяше, не бысть нигдѣ ни иглы положити трупиемъ на голе мѣсте. Изомроша же от глада 11 тысящь. Одии же не хотяше прикасатися римския пища, зане гнушаху ся. Бѣяше же и по пещерам померло четыре тысящи. Тогда же стоял Иерусалимъ 60 лѣтъ пустъ.	А когда осадил Иерусалим Тит, царь халдейский, то осаждал он его два года. И на второй год в царствование Веспасиана пленил город. Многих пленников Тит раздал в дар, и погибли они в театрах от хищных зверей и от меча. Тех же, кому не было семнадцати лет, всех продал с женщинами и детьми, и по малой цене — за десять златников, так как умножилось число продающих, а покупателей — уменьшилось. А те, кому было больше семнадцати лет, были закованы и посланы в Египет на работы. Пленных было девятьсот семь тысяч, убитых — миллион сто тысяч, и натекли озера крови, нигде не было свободного места, чтобы и иглу положить из-за трупов. От голода же умерло одиннадцать тысяч. Они не хотели притрагиваться к римской пище, так как гнушались (ее). В пещерах же умерло четыре тысячи. Тогда стоял Иерусалим пуст шестьдесят лет.
Аще же хто глаголеть, яко невозможно въмѣстити ся бѣ толика тем во граде, да разумѣете от Пелестиева почитания.[15] Нерону же мнящу ничтоже языка июдейска, ни чающе что от них противления, и помоли ся жерцем, да изочтут люди, якоже могут. Наставъшу же празнику Пасхы, в оньже обычай имут жрети, имже совокупляющимся мужемъ болѣ десяти на жертву, зане неподобно ясти единаго жренаго, инѣм же по дватцати совокупляющимся на едину жертву, изочтоша же жерци 200 тысящь и 50 тысящь и 6 сот.[16] Аще же розочтем по десяти мужь на жерътву, а большая оставивше, то и считается двѣстем темъ и 9 сот тысущь, вси чисти и нескверни. А иже суть прости или чим скверни, или чим недостоини, или иноплеменници, или жены нечистии, тѣм бо всѣмъ недостоит прикасати ся жертвъ.	А если кто говорит, что невозможно было поместиться стольким людям в городе, то узнайте из переписи Цестия. Так как Нерон считал иудейский народ незначительным и не ждал от него какого-либо сопротивления, то (Цестий) попросил священников, чтобы, насколько могут, сосчитали бы они людей. Когда настал праздник Пасхи, в который они имеют обычай приносить жертвы, и при этом соединяются более десяти человек для (одной) жертвы, — поскольку не подобает одному есть (эту) жертву, а некоторые и по двадцать человек собираются для одной жертвы, то насчитали священники двести пятьдесят тысяч шестьсот (жертв). Если сосчитаем по десяти человек на жертву, не больше, то получится два миллиона девятьсот тысяч, только чистых и неоскверненных. А те, кто чем-то больны, или чем-то недостойны, или иноплеменники, или женщины нечистые, все те не должны касаться жертв.
От перваго же создания церкви, иже Соломан создал, до нынѣшняго разорения Титова лѣтъ осмьсотъ и 80 и седмь месяць и 5 дни. А от послѣдняго создания, иже созда Агѣй и Зоровавель во цесарство Кирово, до сего пленения лѣтъ 630 и 9 месяць 15 дни.	От первого же создания храма, который построил Соломон, до нынешнего разорения Иерусалима Титом прошло восемьсот восемьдесят лет и семь месяцев и пять дней. А от последнего создания, когда строили Аггей и Зоровавель в царствование Кира, до этого пленения — шестьсот тридцать лет и девять месяцев и пятнадцать дней.
Плене же бысть град 6: Яасохий, египетцкий цесарь,[17] и по нем Антиох,[18] и по том Поплий,[19] и по них Сисой.[20] Сии же вземше град Иерусалимъ и сохраниша без пленения. А еже со опустѣнием, то первое Навходоносор, а второе Тит опусти на 60.	Завоеван был город шесть (раз): Сусакимом, египетским царем, после него Антиохом, потом Помпеем, потом Соссием. Но все они, взяв Иерусалим, оставили его без пленения (жителей). А с опустошением — так первый раз Навуходоносор, а второй раз Тит опустошил его на шестьдесят лет.
Граду же сему первое житель бысть хананѣйский цесарь, отечьским языком нареченый «Цесарь правде»,[21] и тѣмъ святи ся. Первие бо созда и нарече и град Иерусалимъ июдейский же цесарь Давидъ, отгнавъ останок Хананѣи от тое земли, и постави свой град Давидовъ. И по четырехсот лѣтех и по 70 и по 7 лѣтъ вавилоняне разориша. От Давида же до се разорения Титова лѣтъ 1000 и 100 и 70 лѣтъ и 9. От перваго же создания до послѣдняго пленения лѣтъ 2000 и 9 сот и 7 лѣтъ.[22]	Первым жителем города этого был хананейский царь, на местном языке называемый «Царь правды», от него освятился (город). Первым же создал город и назвал его Иерусалим иудейский царь Давид, изгнавший оставшихся хананеев с той земли и поставивший свой град Давидов. И спустя четыреста семьдесят семь лет вавилоняне его разорили. От Давида до сего разорения Титом — тысяча сто семьдесят девять лет. А от первого создания и до последнего пленения — две тысячи девятьсот семь лет.
Разумѣите же, братия,[23] силу Божию, разгнѣвание Божие на град сей. А который град сицев бысть твердъ или селико людей имѣя, или тако храбры? Нѣсть бо на свете толь силна града и толь крѣпка, якоже Иерусалимъ. Бѣяше убо около града сего два на десятъ стѣнъ, и сици храбри бѣяше в нем, един на сто мужь выхождашет, и без брани вхожаше во град. Единою же, егда Тит обьступил бѣяше град, се тогда седмь храбрых вышедше и на седмь улиць просѣкоша въскорѣ полкъ даждь и до самого Тита, и мало рукама не яша его, и возвратиша ся неврежни.	Знайте же, братья, силу Божию и гнев Божий на этот город. А какой город был настолько крепок, или столько людей имел, и настолько храбрых? Нет на свете сильнее и крепче города, нежели Иерусалим. Было вокруг города двенадцать стен, и такие храбрецы были в нем — один на сто человек выходил, и без боя входили в город. Однажды, когда Тит осадил город, семь храбрых вышли и на семь рядов прорезали войско до самого Тита, и едва не захватили его, и вернулись невредимы.
Разумѣите же силу, но аще бы и горами ворочали, а без Божия помощи то ничтоже возможно от человекъ, противу Божьей помощи и ничтоже успѣет. Виждьте, яко ничтоже возможно от человекъ, но идеже есть цесарь вѣрен и люди учит закону Божию правому, то нѣсть того града кому пленити, аще и мало людей в нем есть, но вѣрою крѣпок есть.	Знайте же силу, но, если бы и горы переставляли, без Божьей помощи ничто невозможно для людей, и ничего не сделают без Божьей помощи. Видите, что ничего не могут люди, но где есть царь верный, который учит людей закону Божию правому, то не сможет никто покорить тот город, если и мало в нем людей есть, но верою крепок есть.
То сицев бысть конець плененю Иерусалиму.[24]	И таков был конец пленению Иерусалима.
