Слово нѣкоего калугера о чь<тении> книгъ[1]	Слово некоего старца о чтении книг
Тѣмь же, чядо мое, изволи си тѣхъ житие и тѣхъ норовы приими и порасудуй дѣломъ ихъ, възишти кыимь путьмь идошя и коею стьзею текоша.	Поэтому, чадо, предпочти тех житье и тех в образец возьми, и тех последуй делам, и вникни, каким путем шли они и какою стезею пустились.
<...>	<...>
Буди пониженъ главою, высокъ же умъмь, очи имѣя въ земли, умьнѣи же въ небеси; уста сътиштена, а сьрдчьная въину къ Богу въпиюшта.	Голову пониже держи, ум же — высоко, очи потупя к земле, духовное зрение — к небу; сомкнуты уста, уста же сердца всегда вопиют к Богу.
Нозѣ тихо ступаюшти, а умьнѣи скоро текушти къ вратомъ небесьныимъ; уши укланяя отъ зла слышания, умьнымъ же въину прилѣтая къ шюмѣнию святыихъ словесъ, яже въ святыихъ кънигахъ писана суть.	Тихо ногами ступая, мысленными стопами стремись к небесным вратам; уши закрывай для дурных речей, мысленным слухом звуки лови святых слов, что записаны в книгах святых.
Руцѣ съгъбенѣ имѣй на събьрание зълааго имѣния свѣта сего, простьртѣ же на приятие убогыихъ.	Ладони сожми на стяжанье греховных богатств сего света, но простри их на милость к убогим.
Не стыдися вьсякому съзъданому въ образъ Божии главы своя покланяти, старѣйшааго дьньми почьстити не лѣнися, и покоити старость его потъщися.	Не стыдись преклонить свою голову перед любым, кто создан по образу Божью, старшего годами почтить не ленись и упокоить старость его постарайся.
Съвьрстьникы своя миромъ сърѣтай, мьньшая себе съ любъвью приемли, честьнѣйшимь себе не трудися стояти.	Равных тебе с миром встречай, меньших тебя с любовью прими, стань перед тем, кто честью выше тебя.
Чядо, не буди самохотью лишенъ вѣчьнааго житья, грѣха бѣжи яко ратьника, губящаго душу твою.	Чадо, не лишай добровольно себя вечной жизни, как от врага, убегай от греха, душу твою губящего.
Не въсхошти веселоваться въ мирѣ семь, все бо веселие свѣта сего съ плачьмь коньчаваеться. И се явѣ видѣти въ мирѣ семь въ дъвоихъ сусѣдѣхъ: у сихъ сватьбу творять, а у другыихъ мрьтвьца плачються. И тъ же плачь суетьны: дньсь плачються, а утро упиваються.	Не стремись веселиться в мире сем, ибо все радости света сего плачем кончаются. И это ясно видно на двух соседях: у этих свадьбу гуляют, а у других мертвеца оплакивают. Да и сам этот плач так суетен: сегодня плачут, а завтра пируют.
Тѣмьже разумѣй суету вѣка сего и скоропадуюштюю плъть нашу: дньсь бо растемъ, а утро гниемъ.	Так что примечай суету века этого и преходящую плоть нашу: ибо сейчас расцветаем, а завтра вянем.
Тѣмьже въ малѣмъ животѣ възишти вѣчьныя жизни, идеже отъ сея жизни вѣсть ни скърби, ни въздыхания, ни плача, ни сѣтования, нъ радость и веселие, свѣтъ немьрцяя: слъньце — самь Господь.	Поэтому в краткой сей жизни и взыщи жизни вечной, у которой, в отличие от этой, нет ни скорби, ни воздыхания, ни плача, ни сетования, но радость и веселие, свет немеркнущий: солнце — сам Господь.
Ту жизнь възлюби, къ той по вься дьни тъштися и о той въину помышляй; буди ти съпяшту мысль възглавие помыслъ небесныя радости, въстаюштю же брашьно память царьства небеснааго.	Ту жизнь возлюби, к ней каждый день устремляйся, о той всегда помышляй; пусть тебе, спящему, будет в изголовии — мысль о небесной радости, а пищей встающему — память о царстве небесном.
Чядо, алчьнааго накърми, якоже ти самъ Господь повелѣлъ, жадьнааго напои, страньна въведи, больна присѣти, къ тьмьници доиди, виждь бѣду ихъ и въздъхни.	Чадо, голодного накорми, как тебе сам Господь повелел, жаждущего напои, путника приветь, больного посети, к темнице дойди, — взгляни на беду их и вздохни.
Буди ти въ скърбь твою прибѣжиште цьркы, паче же и кромѣ скърбии по вься часы и дьни въшьдъ, припади къ Вышьнюуму лицемь си землю покрый, и принуди его поминати тя, не уклонить бо ся тебе душелюбьць, чловѣколюбьць, но прииметь тя и утешить тя.	Пусть в скорбях твоих будет тебе спасение церковь, но и, кроме печалей, всякий день и час в церковь войдя, к Всевышнему припади, лицом покрывая землю, и попроси Его поминать тебя — и не уклонится от тебя душелюбец человеколюбивый, но примет тебя и утешит.
Църковь же разумѣвай небо суште, олтарь же прѣстолъ Вышьняаго, служителя же аггелы Божия. Тѣмьже въ цьркъви акы на небеси съ страхъмь стой, яко прѣдъ очима самого Бога; исходя же не забывай, чьто бѣ или чьто слыша.	Под церковью же разумей небо, под алтарем — престол Всевышнего, служители же — это ангелы Божии. Поэтому в церкви, как на небесах, со страхом стой, как пред очами самого Бога; выходя же не забывай, что было или что слышал.
Сътвори си въ чловѣцѣхъ кротъкыи, да небесьныи житель будеши;	Стань кротчайшим из людей — и будешь небесным жителем;
Скърби о грѣсѣхъ, въздыхай о съблазнѣхъ, печалуй и о падении своемъ да очистишися, да на исходѣ душьнѣмь обряштешися бес порока;	Скорби о грехах, воздыхай о соблазнах, печалься в паденьи своем — очистишься, и при исходе души окажешься ты беспорочным;
Съмьрть поминай въину, да та память научить тя паче вьсѣхъ, како бо жити въ малѣмь семь времени;	Помни о смерти всегда, и память такая научит тебя больше всех, как прожить в этом кратком времени;
Буди съмъсльнъ, разумѣй, чьто е воля Божия, чьто трѣбует небесьный царь отъ земльныихъ, чьто просить отъ своея твари немалыя ли и удобь творимыя милостыни? Писано бо есть: «Помилуй и да помилованъ будеши!»	Будь разумен и размышляй, что есть воля Божия, чего царь небесный требует от земных, что просит от твари своей — не малой ли и легко исполняемой милостыни? Ибо писано: «Помилуй — и будешь помилован!»
Чьто трѣбуеть отъ насъ Богъ, вьсего блага испълненъ? Хвалы ли? но хвалять Его ангелы; покланяния ли? но покланяються ему небесьныя силы.	Что требует Бог, преисполненный благ, от нас? Хвалы ли? — но хвалят его и ангелы; поклонения ли? — но поклоняются Ему и небесные силы.
Нъ то Того просить, еже намъ на пользю, на спасение: просить бо милостиня, желаеть кротости, любить миръ. Тѣмьже ты, чадо, Оного волю сътвори въ малѣ, и Онъ твою волю въ вѣкы: даруй малое — и възьми вѣчьное, дажь едино — възьми сторицею; присвоися Бозѣ, да врагомъ си видимыимъ вьсьмъ и невидимыимъ страшънъ будеши.	Он просит того, что на пользу нам, во спасение: просит милосердия, желает кротости, любит мир. Этим ты, чадо, волю его исполни хоть в малом, а он твою волю — на веки: мало даруй — и получишь вечное, дай одно — и возьми сторицею; предай себя Богу — и будешь страшен врагам своим, видимым и невидимым.
Въ влънахъ житийскахъ еси, въ бури ли морьскѣй бѣду приемлеши, показаю ти, сыну мои, истиньная пристанища: манастыря, домы святыихъ. Къ темъ прибѣгай и утѣшять тя, поскърьби къ нимь и обеселишися, сынове, бо бес печали суть и умѣють печальнааго утѣшити.	Если в волнах житейских ты, в буре морской попадешь в беду, укажу тебе, сын мой, пристанище истинное — монастыри, жилища святых. К ним прибегай — и утешат тебя, в скорби приди — и возвеселишься, сын, ибо они беспечальны и могут утешить в печали.
И аште чьто имѣеши въ дому своемь потребьно же онѣмь, донеси имъ, вьсе бо то въ руцѣ Божии вълагаеши и възданью будеши.	Если же есть у тебя в доме что-то им нужное, снеси им, ибо все то ты в руки Божьи кладешь и получишь за то награду.
Въ градѣ, въ немьже живеши, и въ инѣхъ окрьстьнихъ, поишти, ли единого человѣка бояштяся Бога и тому вьсею силою служаштя, обрѣте ли такого чловѣка, то уже не скърби: обрѣте бо уже ключь царьствия небесьнааго; къ тому присьни и душею, и тѣлъмь, съмотри жития его хожения, сѣдания, ѣдения и вьсего обычая его пытая, паче же блюди словесъ его, не дажь ни единому словеси его пасти на земли: дражьша бо бисьра суть святая словеса.	В городе, где ты живешь, или окрест него, найди хоть единого человека, который боится Бога и служит Ему всей душою, а если обрел человека такого, то уже не скорби, ибо тем самым обрел ты ключи к небесному царству; к нему прилепись и душою, и телом, смотри, как живет он: как ходит, сидит или ест, все привычки его изучи, но больше всего лови слова его, не дай ни единому слову его на землю упасть: ибо святые слова дороже жемчуга.
Праздьникы же святыихъ почьсти, не самъ упиваяся, нъ алчьныя и жядьныя накърмляя.	Праздники же святых почитай, не упивайся сам, но голодных и жаждущих накорми.
Знаемыя твори дом свой ништиимъ, въдовицямъ, сиротамъ, не имущтиимъ, кде главы подъклонити. Богатъ ли имѣеши домъ свой, худъ ли — вьсе то Божиемь промыслъмъ, нъ потъштися вьсего имѣ.	Пусть знают твой дом нищие, вдовицы, сироты, не имеющие где приклонить головы. Богат ли твой дом, беден ли — все то получено Божиим промыслом, все именье твое.
Не рьци бо имѣнию своему: «Мое есть», — нь рьци: «Поручено ми есть на мало дний», да акы клучарь порученое ти раздавай, якоже велить поручивый ти. Тѣмьже еже ти далъ Вышьний, то Вышьняаго ты имѣние сътвори въ немь.	Не говори о владении своем: «То мое», — но скажи: «Поручено мне на недолгие дни», и точно ключник доверенное тебе раздавай, как велел то тебе поручивший. Поэтому, что тебе дал Всевышний, то сделай именьем Всевышнего.
Не оставляй послѣдънему роду своему, нъ и дѣти своя и жену свою, и вьсе племя свое поручи Богу, добрууму блюстелю, егоже милость велика и богатьство несъвѣдомо.	Не оставляй его наследникам, но и детей своих, и жену свою, и всех потомков своих поручи ты Богу, хранителю доброму, ибо милость его велика и богатство несметно.
Имѣние бо свѣта сего рѣцѣ подобьно есть: суда отъидеть вънизъ и пакы съвьрху приходить. Тѣмьже еда вышьнии граждяне рѣкы и съсудъ своихъ не наплъняють ли, или скота своего не напоять, рекуштеи, яко нижьниимъ граждянемъ оставимъ, а сами мало приимѣмъ? Ни убо, нъ до избытька череплють, а нижьними не пекуться, та же бо рѣка минуеть я.	Ведь имение света сего подобно реке: стекает вниз и снова приходит с верховьев. Что же те, кто живет у истока, — не наполняют сосудов своих и скота не поят, говоря, что в низовьях живущим нужно оставить, сами же мало возьмем? — Нет, но черпают с избытком, не беспокоясь о тех, кто живет в низовье, хотя и одна их минует река.
Такоже бо и о имѣньи: не пецися послѣдьниими сыны, вънукы, правънукы, дъштерьми. Тѣмъ бо инако время ключиться ли напасть, ли татьба, ли рать, и тъгда изгубленое не станеть имъ помагая.	Так и с именьем: не заботься о будущих сыновьях, внуках, правнуках, дочерях. Ибо случится другое время, и напасть, воровство иль война, и тогда пропавшее им не поможет.
Тѣмьже въ животѣ своемь своей души размышляй и тою крѣпъко пьцися, яко едина ти есть душя, едино врѣмя живота, едина съмьрьть.	Так что при жизни своей размышляй о душе своей и печалься о ней, ведь как она у тебя одна, так одно время жизни и смерть — одна.
Тѣмьже собою поболи, собою поскърби, и сьде очищения грѣхомъ проси, и на исходѣ провождения от бѣсъ, и тамо пришьдъшю, како бы въ уготовано прити и царьство же Божие отъ вѣка: и полаты же его свѣтьлыя учинены суть, нъ аште сьде купилъ я будеши. Аште же бы мира сего богатьствъмь купити, едину оть мьньшиихъ полатъ вышьняаго Иерусалима, то ни вьсего мира богатьство събьрано недостойно есть цѣны ея.	Так страдай о себе, о себе и скорби, и еще здесь проси прощенья грехов, а при смерти — охраны от бесов, чтобы, туда отправляясь, в царство Божье от века, прийти на готовое: в палаты Его сверкающие — но только когда окупил их здесь. Если же мира сего богатством желал бы купить ты хоть самую малую из палат вышнего Иерусалима, то богатств, со всего мира собранных, не хватило бы на цену ее.
Милостынею же купиться царьствие Божие, милостыни же не въ велицѣмъ и мнозѣмь и малѣмь даянии лежить, нъ по силѣ даюштааго и всѣмь сьрдьцьмь.	Только милостыней покупается царство Божие, а милостыня зависит не от величины, количества или малости даянья, а от возможностей дающего ее от всего сердца.
Даяние бо трѣбуюштиимъ то есть милостыни она блаженая, еяже бѣша пълни съсуди и онѣхъ 5 дѣвъ мудрыихъ, имже царьство отъвьрзеся небесное.	Ведь подаянье нуждающимся и есть та блаженная милостыня, наполнившая сосуды тех пяти мудрых дев, которым отверзалось царство небесное.
Су же милостыню и ты приими неотъпустьно и навяжи ю на выи своеи, да будеть съ тобою въину вѣкъ вѣки.	И ты прими ту же милостыню неотступно и навяжи ее на шею свою — пусть будет с тобою всегда на веки.
Глаголеть бо Писание: «Милостыни мужу, акы печять» — тѣмь же аште ту приимеши, ниединъже отъ супротивьныихъ въстанеть на тя, ни речеть ти: «Камо идеши?», видяште, яко царя небесьнааго печять носиши и к Тому идеши.	Ведь говорит Писание: «Милостыня мужа — точно печать»: если примешь ее, ни один из врагов на тебя не встанет, не скажет тебе: «Куда идешь?», видя, что носишь печати царя небесного и к Нему ты идешь.
Въпрос: Како же ю´ прииму?	Вопрос: Как же я приму ее?
Отвѣт: Вьсяко можеши, аште хочеши, нѣсть бо тяжько: аште бо насытилъ ся еси пиштею — накърми альчьнааго, напилъ ли ся еси — напои жядьнааго, и съгрѣлъ ли ся еси — съгрѣй трясуштаагося зимою, въ храмѣ ли красьнѣ и высоцѣ възлежиши — въведи скытаюштаагося по улицамъ въ домъ свои. Възвеселилъ ли ся еси на тряпезѣ — обесели и скърбяштааго, обрадовали ся о чемь — обрадуй и сѣтуюштааго, почьстиша ли тя яко богата — почьсти и ты убогыя, весело ли ступаеши по степеньмъ, отъ князя исходя, — сътвори да в дому твоемь скърбяште не ходять.	Ответ: Все сможешь, если захочешь, ибо не трудно это: ибо если насытился пищей — накорми голодного, напился — напои жаждущего, согрелся — обогрей дрожащего от мороза, в хоромине ли красивой и высокой живешь — введи в дом свой скитающихся по улицам. Порадовался ли в застолье — возвесели и скорбящего, порадовался ли чему — порадуй и сетующего, почтили ли тебя, богатого, — почти и ты убогих, весело ли ступаешь по ступеням, выходя от князя, — сделай так, чтоб в доме твоем не ходили скорбящие.
И то бо не мала милостыни, еже домашьняя своя бе-скърбии, безъ въздыхания и бес плача сътворити. Аште достойни казни будуть при коей любо вине, то в того мѣсто помилованы будут. Тако аште будеши творяи, то и ты въ казни мѣсто въ исходѣ душя милость обряштеши.	И то уже не малая милость, если домашние твои без скорби, без воздыхания и без плача пребудут. А если достойны наказания за какую вину, пусть вместо этого будут помилованы. Если станешь так поступать, то и ты, вместо казни, будешь помилован при исходе твоей души.
Буди же домъ твой молитвѣ и покой иерѣемъ, служителемъ Божиемъ, и всякому чину цьркъвьнуму. И въведи таковыя въ домъ свой, съ вьсякою чьстью посади я, постави имъ тряпезу и якоже самому Христу, самъ же имъ стани въ службѣ.	Пусть твой дом будет — дом молитвы и покой иереям, служителям Божиим, и всякому чину церковному. Введи таких в дом свой, со всякою честью их усади, стол накрой им, словно Христу самому, сам же стань им служить.
Да у олтаря Божия молитва ихъ за тя, яко тьмьянъ къ Богу въсходить отъ нихъ. Свѣшта же твоя въину въ цьркви да свѣтить и просфора твоя такожде.	И вознесут тогда у Божьего алтаря молитву они за тебя, будто фимиам восходит к Богу от них. Свеча твоя в церкви постоянно светит, и просвира твоя — лежит.
Поминай же суштиихъ въ манастырьхъ, аггельскый образъ носяштая; аште ти е како, въведи я въ домъ свой, постави имъ тряпезу въ чинъ манастырьскый, жену же свою и дѣти и отрокы научи съ страхомъ и мълчяниемь служити, яко аггеломъ Божиемъ. Проважая же съ покланяниемь отъпусти я, въдавъ имъ и манастырю ихъ потрѣбьная.	Поминай всех, живущих в монастырях, кто ангельский образ носит; а когда они будут, введи их в дом свой, поставь им трапезу по монастырскому чину, жену же свою, и детей, и слуг научи в молчанье и страхе служить им, как ангелам Божиим. А провожая их, отпусти с поклоном, дав им, что нужно, и монастырю их.
Мъного бо то, аште едино «Господи помилуи» на дьнь укупиши у нихъ, то и бес цѣны зѣло, писано бо есть: «Мъного можеть молитва правьдьнааго». Тѣмьже аште единого можеть, то чьто паче, аште мнози таци възъпиють к Богу.	Это много, если одно лишь «Господи, помилуй!» хотя бы на день купишь у них — и это уже бесценно, ибо писано: «Много может молитва праведного». Так, если может молитва одного, насколько лучше, если многие из таковых обратятся к Богу.
Паче же къ суштиимъ въ горахъ самъ потрудися, къ плътьныимъ ангеломъ, иже мира сего устранивъшеся, угаждають единому Богу; неси потрѣбьное имъ, приими молитву ихъ, въкладай въ сьрдце си святая словеса, помажися благословлениемь, его молися единою за грѣхы твоя въздъхнути и отъидеши въ домъ свои чистъ.	Еще больше тем, кто живет в скитах, плотским ангелам, угождай; отвергли они сей мир, служа единому Богу; принеси им нужное, прими их молитву, вложи в свое сердце святые слова их, освятись их благословением, молись хоть однажды за грехи твои с воздыханием — и вернешься в свой дом чистым.
Клеветы же не приимай ни на коегоже чьрноризьца ли святителя, аште и самъ видиши съблажняюштася. Послушай Бога паче очию си, рекъшааго: «Не осужайте, да не осуждени будете».	Клеветы же не слушай ни на монаха, ни на святителя, даже если и сам ты их видишь в соблазне. Больше чем глаз своих послушай Бога, сказавшего: «Не осуждайте, да не осуждены будете!»
Паче же минуюштиимъ тя по пути не стыдися таковыимъ главы свое покланяти.	А тем, что встречаются тебе на пути, не стыдись головой своей поклониться.
Аште тако можеши творити, не сътворить ти пакости богатьство твое, нъ якоже и прѣди рекох, вождь ти будеть царьству небесьнууму, акы ходатай и другъ добръ, а зълѣ приемлемо и хранимо зълѣе диявола явиться губя тя. Богу слава ныне.	И если сможешь так поступать, не будет тебе ущерба от богатства твоего, но, как уже и сказал я прежде, станет оно водителем к царству небесному, словно защитник и добрый друг, а то, что неправедно получил и греховно хранил, явится злее дьявола, тебя губя. Богу слава ныне.
Наказание богатымъ	Поучение богатым
Яко елико великыимъ сьподобилься еси отъ Бога благыимъ, тольма и большяя длъжьнъ еси въздаяти.	Раз уж великим от Бога сподобился ты благам, то и воздавать должен больше.
Отъвьрзай уши свои въ ништетѣ стражюштимъ, да обряштеши и ты Божий слухъ отвьрзенъ.	Открой уши свои к страдающим в нищете, тогда и ты встретишь Божий слух открытым.
Аци же убо бываемъ нашимъ повиньникомъ, тако и о насъ обряштемъ небесьнааго Владыку.	Каковы мы бываем к рабам нашим, таков и небесный Владыка окажется к нам.
Отъвраштяйся ласкавьць льстьныихъ словесъ, яко и врановъ: искалають бо очи умьнѣи.	Отвращайся льстивых слов льстецов, они точно вороны: исклюют мысленное зрение.
Аште отъ вьсѣхъ хоштеши чьсть имѣти, буди всѣмъ благодѣтель обьшти; ашти хоштеши вся сущяя подъ собою исправити, добро творяштяя чьсти и зъло творяштимъ запрѣщай.	Если хочешь, чтобы все почитали тебя, стань всеобщим благодетелем; если хочешь исполнить все, тебе данное, воздай честь творящим добро и накажи творящих зло.
Такы убо себѣ другы и съвѣтьникы имѣй, иже не вься глаголемая тобою хвалять, нъ судъмь правьдьныимь тъштаться отвѣштати ти.	Таких себе выбирай друзей и советников, которые не все тобой изрекаемое хвалят, но стараются отвечать рассуждением справедливым.
