СЛОВО СВЯТОГО ГРИГОРИЯ БОГОСЛОВА О ЧЕСТНѢМ КРЕСТѢ	СЛОВО СВЯТОГО ГРИГОРИЯ БОГОСЛОВА О ЧЕСТНОМ КРЕСТЕ
Отвѣт. Егда хотѣше Господь Богъ да съзиждеть Соломонь[12] дом Божий, святый Сионь,[13] и спусти Господь пръстень Соломону, и обладааше бѣсовы въсѣми. И създа дом Божий, святый Сионь. И искааше дрѣво да покрыет церковь. И повѣдашя ему дрѣво, еже посади Моиси въ Меррѣ. И шед и посѣче дрѣво, и възяху дрѣво 80 бывол. И омрачишася при Иордани,[14] и бысть бурѣ велика, и потопи дрѣво въ Иордани, и не обрѣтошу его.	Ответ. Когда приказал Господь Бог Соломону воздвигнуть дом Божий, святой Сион, ниспослал Господь перстень Соломону, чтобы он повелевал всеми бесами. И строил Соломон дом Божий, святой Сион. И искал древо, чтобы покрыть церковь. И указали ему древо, что посадил Моисей в Мерре. И пошел, и срубил древо, и впрягли в древо 80 буйволов. И стемнело на Иордани, и поднялась буря великая, и утонуло древо в Иордани, и не нашли его.
И сказаша ему другое древо, иже от главен бяша, и иде на дрѣво, еже бѣ от главень. Бѣше бо народ мног, въсѣх 3 тысяш, людий, еже вѣроваху въ дрѣво, то бо дрѣво творѣше чюдеса велика, и въси мнѣху на том дрѣвѣ распятися хощет Господь. Егда хотѣше дрѣво сѣщи Соломонь, людие не даваху ему и глаголаху ему: «О Соломоне, не дамы тебѣ дрѣво сѣщи животное. Где видѣ ты 3 главня проросли и чюдо творящу я велико? И мнози обрѣтают от него спасение, понеже на нем распятися хотѣше Господь». Соломонь мнозѣх порази и посѣче дрѣво. И принесе е въ Иерусалимь. Людие же вѣрующе въ дрѣво събрашя вѣтвие дрѣву и принесошу плачяще въ Иерусалимь, и позирающе на дрѣво.	И указали ему другое древо, что из головней выросло, и пошел он к древу, которое было от головней. Был многочисленный народ, всех 3 тысячи людей, которые веровали в древо, то древо творило чудеса великие, и все думали, что на том древе распят будет Господь. Когда хотел древо срубить Соломон, люди не давали ему и говорили ему: «О Соломон, не позволим тебе древо срубить животворное. Где видел ты, чтобы три головни проросли, и чудо творит оно великое? И многие находят в нем спасение, потому что на нем распят будет Господь». Соломон же многих убил и срубил древо. И принес его в Иерусалим. Люди же, верующие в древо, собрали ветви древесные и принесли с плачем в Иерусалим, и смотрели на древо.
И принесе Соломон дрѣво въ церковь, и не прияся, идеже хотѣху поставити. И печалень бысть Соломон. И слыша Сивила[15] о дрѣвѣ и прииде видѣти е, и сѣде на дрѣвѣ, и подпали я огнь. Тогда Сивила рече: «О тръклятое дрѣво». Въси же людие въпиаху единогласно: «О тръблаженое дрѣво, на немже распятся Господь!» Тако Соломонь въздвиже дрѣво и послони е въ церковь.	И принес Соломон древо в церковь, и не подошло туда, куда хотели его поставить. И опечалился Соломон. И услышала Сивилла о древе, и пришла посмотреть на него, и села на древо, и опалил ее огонь. Тогда Сивилла изрекла: «О трижды проклятое древо!» Все же люди воскликнули в один голос: «О трижды блаженное древо, на котором будет распят Господь». Тогда Соломон поднял древо и прислонил его в церкви.
Един же мужь именемь Елисей дрѣво дѣлаше над Иорданемь, и спаде секира въ Иордань и въглъбе въ дрѣво, еже потопи Иордань. И прииде и повѣда Соломону. И шед и възяшу дрѣво, и познашу е, и принесошя въ Иерусалимь, и приложишя къ церкви, и не прияся. И прислонишу и то къ другому дрѣву. И рече Соломон: «О велие чюдо! Сиа дрѣва прѣчюдна суть высотою и красотою, и не могошяся прияти. И где обрящем высочае тѣх дрѣвь ино дрѣво?» И въпроси демоны, их же дръжаше печатию Господнею. Они же рѣшя: «Знаемь дрѣво далече въ Едемѣ велико и чюдно, и прѣдивно. И страшно намь о том глаголати». Соломонь рече: «Завязую вы печатию Господнею, яже мне ся даль Богъ, идѣте и принесѣте зде, емше за връшие и за корение». И шедше демони и изяшу дрѣво и с корене, и изяшя Адамову главу въ корени,[16] и принесошя въ Иерусалимь, и отсѣкошу дрѣво от корениа.	Один муж по имени Елисей плотничал при Иордани, и упал топор в Иордан и вонзился в древо, что утонуло в Иордани. И пришел он,и поведал Соломону. И пошли и взяли древо, и узнали его, и принесли в Иерусалим, и примерили к церкви, и оно не подошло. И приставили его к первому древу. И сказал Соломон: «О великое чудо! Эти древеса отличаются высотою и красотою, но не могут подойти. Где же найдем другое дерево выше этих дерев?» И спросил демонов, которыми владел печатью Господнею. Они же сказали: «Видели древо далеко, в Эдеме, высокое и удивительное, и прекрасное. Но страшно нам о нем говорить». Соломон сказал: «Заклинаю вас печатью Господнею, что дал мне сам Бог, идите и принесите его сюда, взяв за вершину и за корни». И пошли демоны и вырвали древо с корнем, и захватили Адамову главу в корнях, и принесли в Иерусалим, и отсекли древо от корней.
И прѣмиришу на земли дрѣво и прѣсосувааше,[17] на церкви же велми не достааше. Соломонь рече: «О великое чюдо и прѣдивно! 3 дрѣва обрѣтох, еже не обрящутся нигдеже таковыя, и велика чюдеса творят, на земли достааше, на церкви не достааше много. И въсѣ яко от единого дрѣва суть». И послони их къ церкви, и постави стражие, яко да блюдут дрѣва.	И измерили на земле древо, и оно подходило, но на церкви его намного не доставало. Соломон сказал: «О великое и предивное чудо! 3 дерева отыскал, каких нигде больше не найти, и великие чудеса творят, и на земле кажутся большими, на церкви же их намного не достает. И все происходят от одного древа». И прислонил их в церкви, и поставил сторожей, чтобы охраняли деревья.
Въпроси Соломон демоны: «Колико есть от Едема до Иерусалима?» Демони рѣшя: «50 тысящь и шесть сът и 53 милей мѣста, измѣрили бо бѣшя мѣсто, колико есть».	Спросил Соломон демонов: «Далеко ли от Эдема до Иерусалима?» Демоны сказали: «В 50 тысяч и шестьсот и 53 мили расстояние, ибо измерили мы это расстояние, сколь велико оно».
Повѣсть о главе Адамовѣ	Повесть о главе Адамовой
Глава же Адамова стоаше въ корени и никтоже знааше ю. Соломон же изыде на ловь, и възят его бурѣ напрасна. Единь отрокь его, носящи връхня царю одежду, не прилучися съ царемь, видѣ пещеру и въниде въ ня, съ собою имѣше хръта и ястръба. И сѣдящи видѣ пещеру кость, а не камень. Егда прѣста буря, изыде отрокь и обрѣте царѣ. И рече ему Соломонь: «О человѣче, камо ты дѣну мою одежду? Мене бурѣ потопи, и почто ты нѣси обурень?» Отрок рече: «Господине, видѣх пещеру и вънидох въ ня съ хрътомь и ястръбом, а конь мой вънѣ стоаше. И видѣх кость, а не камень пещеру?» Царь же наутрие иде и очисти ю от корениа и от пръсти. И позна, яко то есть Адамова глава, и како есть съ древом изнесена, и како даде Сифу аггель, егда Адам умирааше.	Глава же Адамова осталась в корнях, и никто не видел ее. Соломон же отправился на охоту, и застигла его внезапная буря. Слуга его, носящий верхнюю царскую одежду, отстал от царя, увидел пещеру и спрятался в ней вместе с борзой собакой и ястребом. И, прячась там, увидел, что пещера из кости, а не из камня. Когда утихла буря, вышел слуга и отыскал царя. И сказал ему Соломон: «Раб, куда ты делся с моей одеждой? Меня дождь вымочил, а ты как остался сухим?» Слуга ответил: «Господин, увидел я пещеру и влез в нее с борзой и с ястребом, а конь мой снаружи стоял. И увидел я, что пещера костяная, а не каменная». Царь же пошел наутро и приказал очистить пещеру от корней и земли. И понял, что это Адамова глава и что она вынесена вместе с древом, которое дал Сифу ангел, когда Адам умирал.
Въпрос. Како бысть то дрѣво? Где ли възят аггель и даде Сифу?	Вопрос. Каким было то древо? Где взял его ангел и дал Сифу?
Отвѣт. Иже крадѣше Сатанаиль от Господа, и рече Господь: «Ты крадеши от мене, то будет тебѣ на прогнание». И тако прогна его. И израсте дрѣво на трое — Адамова чясть и Еввина, посрѣде же самь Господь Богъ. Адамово дрѣво изнесе Тигръ рѣка, а Господню чясть даде архаггель Сифу и Сифь принесе Адаму, и извить себѣ вѣнець Адам. И из вѣнца того дрѣво израсте. Еввина чясть на потопѣ изыде.	Ответ. Когда крал Сатанаил у Господа, то сказал Господь: «То, что крадешь ты у меня, тебя же и прогонит». И так изгнал его. И выросло древо тройное — часть Адама, часть Евы, посреди же — самого Господа Бога. Адамово древо вынесла Тигр река, а от Господней части дал архангел Сифу, и Сиф принес Адаму, и свил себе венец Адам. А из венца того древо произросло. Евина часть приплыла с потопом.
И яко позна Соломон, яко то есть Адамова глава, принесе посрѣде Иерусалима. И посла, и сънидошуся въси людие, и заповѣдавь им и рече: «Якоже мене видите творяща, тако и вы да сътворите». И възят камень Соломон и поклонися главѣ рече: «Покланѣю ти ся, яко и пръвой твари Божии», връже камень на главу и рече: «Побиваю тя, яко прѣступника Божиа». И весь народ връгошя камение. И сътворишя Лифострато,[18] еврейскы — «Побиение». Ту бо бысть съборище въсему Иерусалиму.	И когда понял Соломон, что то есть Адамова глава, перенес ее в центр Иерусалима. И призвал, и сошлись все люди, и повелел им, сказав: «Что я буду делать, то же и вы, глядя на меня, делайте». И взял камень Соломон и, поклонившись главе, сказал: «Кланяюсь тебе, как первому творению Божию», и, бросив камень на главу, сказал: «Бью тебя, как отступника Божия». И весь народ побросал камни. И вырос Литостратон, — по-еврейски — «Побиение». Ибо собрался тут народ всего Иерусалима.
Да егда бысть прѣдание Господа нашего Исуса Христа, приведошя къ Пилату Христа и два разбойника. Пилать повелѣ и сътворишу въ тѣх дрѣвѣх 3 кресты. И распяшя Христа на дрѣвѣ, иже израсте из главы Адамовы, а разбойника вѣрнаго распяшя на дрѣвѣ, иже израсте от главень одеснуя Христа, а разбойника невѣрнаго распяшя ошую Христа на дрѣвѣ, иже израсте въ Мерстѣй рѣцѣ, еже посади Моиси.	И когда совершилось предание Господа нашего Иисуса Христа, привели к Пилату Христа и двух разбойников. Пилат приказал, и сделали из тех дерев 3 креста. И распяли Христа на древе, что выросло из главы Адама, а разбойника верного распяли по правую руку Христа на древе, выросшем из головней, а разбойника неверного распяли по левую руку Христа на древе, которое выросло в Мерре реке, посаженное Моисеем.
Исправление о двою разбойнику	Слово о двух разбойниках
Егда искааше Ирод[19] Господа нашего Исуса Христа убити, поять Иосифь[20] Богородицу съ сыном ея и съ Иаковом, братом Господним,[21] и идѣху въ Египеть, якоже рече ему аггель. Бѣху бо въ горѣ той два разбойника съ женами и съ дѣтми своими. Единь разбойникь жену имѣше единь съсець имящи. И обѣ женѣ разбойничи имѣху млады дѣти. Единому разбойнику жена болѣше сердцемь люто за 6 дний, а другаго жена бѣ единѣмь съсцем, тъкмо свое дѣтя питааше, а оноя умирааше гладом. Тогда яшу Богородицу съ отрочятем и съ Иосифом, и рече разбойник, емуже бѣ жена болна: «Не сътворимь зло сему человѣку, ни женѣ его, и въздоит ми отрочя, 6 дний имать ничьсоже не въкусив». Тако пояшя и ведошу их въсвоясн. И въздои Богородица отрочя разбойничее 6 дний другых. И оздравѣ жена разбойнича, а чадо разбойниче бысть добрѣ. И разбойникь рече: «Велие чюдо! Аще бы не пришла сиа жена съ отрочятем своим и оживила мое отрочя, умръло би». И проводишя Богородицу съ Иосифом и съ отрочятем съ дарами Велицѣми.	Когда хотел Ирод Господа нашего Иисуса Христа убить, взял Иосиф Богородицу с сыном ее и с Иаковом, братом Господним, и пошли они в Египет, как велел ему ангел. Жили в горе на пути их два разбойника с женами и с детьми своими. У одного разбойника была жена с одним соском. И обе разбойничьи жены имели младенцев. Жена одного из разбойников тяжело болела сердцем уже 6 дней, а другого жена, с одним соском, только свое дитя кормила, а другое умирало с голоду. В это время захватили Богородицу с младенцем и с Иосифом, и сказал разбойник, жена которого была больна: «Не сотворим зла ни этому человеку, ни жене его, и накормит она моего ребенка, 6 дней уже ничего он не ел». Так взяли и повели их к себе. И кормила грудью Богородица разбойничье дитя еще 6 дней. И выздоровела жена разбойника, а дитя его окрепло. И разбойник сказал: «Великое чудо! Если бы не оказалась здесь эта женщина с младенцем своим и не спасла бы мое дитя, то умерло бы». И проводили Богородицу с Иосифом и с младенцем с великими дарами.
Отрочята же разбойнича възрастошу и бышу разбойници, якоже и отци их. И егда приведошя къ распятию Господа нашего Исуса Христа, и емше их приведошу къ Пилату. И повелѣ Пилать обесишу их обѣ странь Господа. Егоже въздои Богородица и въпиаше одеснуя Господа: «Помѣни мя, Господи, егда приидеши въ царстви си».[22] А другый разбойникь нелѣпое глаголаше,[23] и тако испаде ис породы райския и в муку осудися. Адам же крестися кръвия Господа нашего Исуса Христа.	Дети же разбойничьи выросли и стали разбойниками, как и отцы их. И когда привели к распятию Господина нашего Иисуса Христа, то и их, схватив, привели к Пилату. И повелел Пилат распять их по обе стороны Господа. Тот, которого вскормила Богородица, молил по правую руку Господа: «Помяни меня, Господи, когда придешь в царство свое». А другой разбойник ругательства произносил и тем лишился рая и на адскую муку осужден. Адам же крестился кровью Господа нашего Иисуса Христа.
Богу нашему слава въ вѣкы. Аминь.	Богу нашему слава во веки. Аминь.
