ПОСЛАНИЕ АРХИЕПИСКОПА НОВОГОРОДСКАГО ВАСИЛИЯ КЪ ВЛАДЫЦѢ ТФѢРЬСКОМУ ФЕОДОРУ	ПОСЛАНИЕ АРХИЕПИСКОПА НОВГОРОДСКОГО ВАСИЛИЯ К ВЛАДЫКЕ ТВЕРСКОМУ ФЕОДОРУ
И се, брате, въ «Блаженнѣх»[11] молвитъ: «Снѣди ради древняя изведе из рая врагъ Адама, крестом же разбойника Христосъ в онь введе».	И вот, брат, в «Блаженных» поется: «Ради плода древесного вывел Адама из рая дьявол, а Христос разбойника крестом в рай ввел».
И егда же приближися преставление Владычици нашея Богородица, аггелъ вравье принесе, вѣтви из рая,[12] являя, гдѣ ей быти. А еже рай мысленый есть, то почто видиму вѣтвь сию аггелъ принесе, а не мыслену есть? Апостоли видѣша, множество и невѣрныхъ жидовъ вѣтвь сю видѣша.	И когда приблизилось успение владычицы нашей Богородицы, ангел цветущие финиковые ветви из рая принес, показывая этим, где она теперь будет. А если рай существует только в воображении, то зачем ангел ветвь эту — видимую, а не воображаемую — принес? Апостолы видели, и множество неверных иудеев ветвь эту видело.
Ни едино же дѣло Божие есть тлѣнно, но вся дѣла Божиа нетлѣнна суть, самовидець есмь сему, брате. Егда Христос, иды на страсть волную, и затвори своима рукама врата градная, — и до сего дни не отворени суть. А егда постився Христос надь Ерданомъ; своима очима видѣлъ есмь постницу его, сто фуникъ Христос посадилъ — не движими суть и до нынѣ, не погибли, ни погнили.[13]	Ни одно из дел Божиих не является тленным, но все дела Божий нетленны, я самовидец этого, брат. Когда Христос добровольно шел на страдания, то затворил он своими руками городские ворота — они и до сего времени стоят не отворены. А когда постился Христос у реки Иордана, — я своими глазами видел скит его, — посадил он сто фиников, и сохранились они и доныне, не погибли, не сгнили.
Или, брате, имешь себѣ мыслити, аще насади Богъ на въстоцѣ рай, почто обрѣтеся въ Ерусалимѣ, тѣло Адамле?[14] То не вѣси ли, брате, службу аггельскую, коль скоро свершають, без износимых рѣчей служать Богу, во мьгновении ока землю прорыщуть и небеса преходять? Мощно бо есть Богови единѣмъ словомъ Адама из рая въ Иерусалимѣ поставити; и хѣрувиму повелѣ хранити врата Едемьская, а по въскресении своемь повелѣ Адаму въ рай внити и множество святых с нимъ. Слово и дѣло есть въскорѣ.	Или, брат, ты станешь думать так: если Бог насадил рай на востоке, то почему оказалось в Иерусалиме тело Адама? Но разве ты не знаешь, брат, службы ангелов, как они скоропослушливы, без произносимых вслух слов служат Богу, во мгновение ока всю землю облетают и небеса насквозь проходят? Может ведь Бог одним словом Адама из рая в Иерусалим переместить; и херувиму велел охранять ворота Эдема, и после воскресения своего велел Адаму в рай войти и множеству святых с ним. Слово Божие быстро претворяется в дело.
А то мѣсто святаго рая находилъ Моиславъ-новгородец[15] и сынъ его Ияковъ; а всѣх ихъ было три юмы,[16] и одина от нихъ погибла, много блудивъ, и двѣ ихъ потомъ долго носило море вѣтромъ, и принесло ихъ к высокымъ горамъ.[17] И вѣдѣша на горѣ той написанъ Дѣиисусъ лазоремъ чюднымъ[18] и велми издивленъ, паче мѣры, яко не человѣчьскыма рукама творенъ, но Божиею благодатью. И свѣтъ бысть в мѣстѣ томъ самосияненъ, яко не мочи человѣку исповѣдати.	А то место святого рая находил Моислав-новгородец и сын его Иаков. И всех их было три юмы, и одна из них погибла после долгих скитаний, а две других еще долго носило по морю ветром и принесло к высоким горам. И увидели на горе той изображение Деисуса, написанное лазорем чудесным и сверх меры украшенное, как будто не человеческими руками созданное, но Божиею благодатью. И свет был в месте том самосветящийся, даже невозможно человеку рассказать о нем.
И пребыша долго время на мѣстѣ томъ, а солнце не видѣ, но свѣтъ бысть многочасьтный,[19] свѣтлуяся паче солнца. А на горахъ тѣхъ ликованиа многа слышахуть, и веселия гласы поюща. И повелѣша единому другу своему взыти по шеглѣ[20] на гору ту, видѣти свѣт-отъ и ликованныя гласы; и бысть, яко взиде на гору ту, и абие въсплеснувъ руками, и засмѣяся, и побѣже от друговъ своих к сущему гласу. Они же велми удивьлешеся, и другаго послаша, запрѣтивъ ему, да обратився скажет имъ, что есть бывшее на горѣ. И той тако же сътвори, нимала възвратися къ своимъ, но с великою радостию побѣже от них. Они же страха исполнишася, и нача размышляти в себѣ, глаголюще: «Аще ли смерть случится, но вѣдѣли быхомъ свѣтлость мѣста сего». И послаша третиаго на гору, привязавъ ужищи за ногу ему. И тако же и тотъ въсхотѣ сътворити: въсплескавъ радостно и побѣже, в радости забывъ ужища на нозѣ своей. Они же здернуша его ужищомъ, и томъ часу обрѣтеся мертвъ. Они же побѣгоша въспять, не дано есть имъ дале того видѣти, свѣтлости тое неизреченныи, и веселия, и ликованиа тамо слышащаго. А тѣх, брате, мужей и нынѣча дѣти и внучата добри-здорови.	И долго оставались на месте том, а солнца не видели, но свет был многообразно светящийся, сияющий ярче солнца. А на горах тех слышали они пение, ликованья и веселья исполненное. И велели они одному из товарищей своих взойти по шегле на гору эту, чтобы увидеть, откуда свет и кто поет ликующими голосами; и случилось так, что когда он взошел на гору ту, то тотчас, всплеснув руками и засмеявшись, бросился от товарищей своих на звук пения. Они же очень удивились этому и другого послали, строго наказав ему, чтобы, обернувшись к ним, он рассказал о том, что происходит на горе. Но и этот так же поступил, не только не вернулся к своим, но с великой радостью побежал от них. Они же страха исполнились и стали размышлять, говоря себе: «Даже если и смерть случится, то мы бы хотели узнать о сиянии места этого». И послали третьего на гору, привязав веревку к его ноге. И тот захотел так же поступить: всплеснул радостно руками и побежал, забыв от радости про веревку на своей ноге. Они же сдернули его веревкой, и тут же оказался он мертвым. Они же устремились оттуда прочь: нельзя им было дальше ни смотреть на это — на эту светлость неизреченную, ни слушать веселья и ликованья. А дети и внучата этих мореходов и теперь, брат, живы-здоровы.
А что, брате, молвишь: «Рай мысленый», ино, брате, такъ то и есть мысленый и будет, а насаженый — не погыблъ, и нынѣ есть. На нем же свѣтъ самосияненъ, а твердь запята есть до горъ техъ раевых.	А что, брат, говоришь: «Рай духовный», то так, брат, и есть духовный, и будет. Но и тот рай, что посажен, — не погиб, и ныне существует. В нем свет светит самосветящийся, а твердь его недоступна людям, только до райских гор дойти они могут.
А мысленый рай то и есть, брате, егда вся земля огнемъ искушена будетъ, по апостольскому словеси: «Чаем небесъ новых и земли новые, егда истинный свѣтъ — Христос — сниде на землю».	А духовный рай — это то, брат, когда вся земля огнем обновлена будет, по апостольскому слову: «Ждем мы небес новых и земли новой, когда истинный свет — Христос — сойдет на землю».
Размысли себѣ, брате: коль свѣтелъ свѣтъ именуется в Бытии, запятый твердью, паче же того дивнѣе и свѣтлѣе свѣтъ Христос истинный есть, а с ним 9 чиновъ свѣтли суть, служать ему: 1 чинъ — аггели, 2 чинъ — архаггели, 3 — начала, 4 — власти, 5 — силы, 6 — престоли, 7 — господьствие, 8 — хѣрувими многоочитии, 9 — серафими шестокрилатии. Егда Господь нашь явится съ свѣтлостью божесьтва своего на земли и силы небесныа двигнутся, аггели престануть от дѣлъ своихъ и явять свѣтлость свою, сътвореную от Бога, то есть, брате, мысленый рай, егда вся земля просвѣщена будеть свѣтом неизреченнымъ, исполнена радости и веселия, якоже апостолъ Павелъ глаголеть, егда въсхищенъ бысть до третиаго небеси: «Око не вѣдѣ, и ухо не слыша, ни на сердце человѣку не взиде, еже уготова Богъ любящимъ его».	Подумай, брат, каким светлым называется в Книге Бытия горний свет, огражденный твердью, но еще удивительнее и светлее того истинный свет — Христос, а с ним девять чинов светлых, служащих ему: первый чин — ангелы, второй чин — архангелы, третий — начала, четвертый — власти, пятый — силы, шестой — престолы, седьмой — господства, восьмой — херувимы со многими очами, девятый — серафимы шестикрылые. Когда Господь наш явится в сиянии божества своего на землю и силы небесные двинутся вместе с ним, ангелы оставят дела свои и явят светлость свою, сотворенную Богом, это и есть, брат, духовный рай, — когда вся земля освещена будет светом неизреченным, наполнится радостью и весельем, как и апостол Павел сказал, когда вознесен был до третьего неба: «Око не видело, и ухо не слышало, и сердцем человек не чувствовал того, что приготовил Бог любящим его».
О семъ раю мысленомъ Христос рече: «Суть етери от здѣ стоящихъ, иже не имуть вкусити смерти, дондеже узрять царствие Божие, пришедша в силѣ». То суть, брате, видѣвьши царствие Божие: Моисѣй и Илья, Петръ, Ияковъ, Иоаннъ на Фаворьстѣй горѣ;[21] якоже видѣвше ученици его, удариша собою о перстную землю, не могуще видѣти свѣтлости божества его.	Об этом рае духовном Христос сказал: «Некоторые из вас, здесь стоящих, не узнают смерти, пока не увидят царство Божие, пришедшее во всей своей силе». Вот, брат, те, кто узрел царство Божие: Моисей и Илья, Петр, Иаков, Иоанн на Фаворской горе; как увидели ученики Его, бросились ниц, на прах земной, не имея сил смотреть на сияние Божества его.
Не возможно бо его, брате, ни святымъ видѣти мысленаго рая, въ плоти суще, того ради сие святии видѣвши, не могоша стояти, ниць на землю падоша.	Невозможно ведь, брат, даже святым, когда они во плоти существуют, видеть его, этот духовный рай, поэтому, увидев такое, святые и не могли устоять, ниц на землю упали.
И ты, брате Феодоре, о семъ словеси не смущайся; рай на въстоцѣ не погиблъ, созданный Адама ради. И сими словесы уверися, брате, и весь священный соборъ тако научи и укрепи сице мудрствовати, якоже ти изъявихъ отъ Божественнаго писания в семъ послании.	И ты, брат Феодор, не испытывай сомнения в этом утверждении: рай на востоке, созданный Адама ради, не погиб. И ты сам уверуй в эти слова, брат, и весь священный собор этому научи и укрепи его в этом рассуждении, как я показал тебе на основе Божественного писания в этом послании.
Миръ и любовь о всемогущемъ Бозѣ, Господѣ нашемъ Исусѣ Христѣ, емуже слава во вѣки. Аминь.	Мир и любовь тебе во имя всемогущего Бога, Господа нашего Иисуса Христа, слава ему вовеки. Аминь.
