СКАЗАНИЕ О ДРАКУЛѢ ВОЕВОДѢ	СКАЗАНИЕ О ДРАКУЛЕ-ВОЕВОДЕ
Единою ж яздящу ему путем, и узрѣ на нѣкоем сиромахѣ срачицю издрану худу и въпроси его: «Имаши ли жену?» Он же отвѣща: «Имамъ, государю». Он же глагола: «Веди мя в дом твой, да вижю». И узрѣ жену его, младу сущу и здраву, и глагола мужу ея: «Не си ли ленъ сѣялъ?» Он же отвѣща: «Господи, много имам лну». И показа ему много лну. И глагола женѣ его: «Да почто ты лѣность имѣеши к мужу своему? Онъ долженъ есть сѣяти, и орати, и тебе хранити, а ты должна еси на мужа своего одежю свѣтлу и лѣпу чинити, а ты и срачици не хощеши ему учинити, а здрава сущи тѣлом. Ты еси повинна, а не мужь твой, аще ли бы муж не сѣялъ лну, то бы мужъ твой повиненъ был». И повелѣ ей руцѣ отсѣщи и трупъ ея на колъ всадити.	Однажды ехал Дракула по дороге и увидел на некоем бедняке ветхую и разодранную рубашку и спросил его: «Есть ли у тебя жена?» — «Да, государь», — отвечал тот. Дракула повелел: «Веди меня в дом свой, хочу на нее посмотреть». И увидел, что жена бедняка молодая и здоровая, и спросил ее мужа: «Разве ты не сеял льна?» Он же отвечал: «Много льна у меня, господин». И показал ему множество льна. И сказал Дракула женщине: «Почему же ленишься ты для мужа своего? Он должен сеять, и пахать, и тебя беречь, а ты должна шить мужу нарядные и красивые одежды; ты же и рубашки ему не хочешь сшить, хотя сильна и здорова. Ты виновна, а не муж твой: если бы он не сеял льна, то был бы он виноват». И приказал ей отрубить руки и труп ее посадить на кол.
Нѣкогда ж обѣдоваше под трупиемъ мертвых человекъ, иже на колие саженых множьство бо округ стола его; он же среди ихъ ядяше и тѣмъ услажашесь. Слуга ж его, иже пред нимъ ясти ставляше, смраду оного не моги терпѣти, и заткну носъ, и на страну главу свою склони. Он же вопроси его: «Что ради тако чинишь?» Он же отвѣща: «Государю, не могу смрада сего терпѣти». Дракула же ту и повелѣ его на колъ всадити, глаголя: «Тамо ти есть высоко жити, смрад не можеть тебе доити».	Как-то обедал Дракула среди трупов, посаженных на кол, много их было вокруг стола его, он же ел среди них и в том находил удовольствие. Но слуга его, подававший ему яства, не мог терпеть смрада и заткнул нос и отвернулся. Тот же спроси его: «Что ты делаешь?» А он отвечал: «Государь, не могу вынести этого смрада». Дракула тотчас же велел посадить его на кол, говоря: «Там ты будешь сидеть высоко, и смраду до тебя будет далеко!»
Иногда же прииде от угорскаго короля Маттѣашя[6] апоклисарь до него, человекъ не малъ, боляринъ, в лясѣх родом. И повелѣ ему сѣсти с собою на обѣдѣ среди трупия того. И пред нимъ лежаше единъ колъ велми дебелъ и высокъ, весь позлащенъ, и вопроси апоклисаря Дракула: «Что ради учинихъ сей колъ тако? Повѣж ми». Посол же той велми убояся и глагола: «Государю, мнит ми ся тако: нѣки великий человекъ пред тобою согрѣши, и хощеши ему почтену смерть учинити паче иных». Дракула же глагола: «Право реклъ еси; ты еси велика государя посолъ кралевьскы, тебѣ учиних сей колъ». Он же отвѣща: «Государю, аще достойное смерти содѣлалъ буду, твори, еже хощеши: праведный бо еси судия — не ты повиненъ моей смерти, но азъ самъ». Дракула же расмияся и рече: «Аще бы ми еси не тако отвѣщал, воистину бы был еси на семъ колѣ». И почти его велми и, одаривъ, отпусти, глаголя: «Ты вправду ходи на поклисарство от великых государей к великым огосударемъ, научен бо еси съ государьми великыми говорити, прочии же да не дерзнуть, но первое учими будуть, какъ имъ съ государьми великыми бесѣдовати». Таковъ обычай имѣаше Дракула: отколе к нему прихождаше посолъ от царя или от короля неизященъ и не умѣаше противъ кознем кто отвѣщати, то на колъ его всажаше, глаголя: «Не азъ повиненъ твоей смерти — иль государъ твой, иль ты самъ. На мене ничтоже рци зла. Аще государь твой, вѣдая тебе малоумна и не научена, послал тя есть ко мнѣ, к ееликоумну государю, то государь твой убил тя есть; аще ль самъ дерзнулъ еси, не научився, то самъ убилъ еси себя». Тако поклисарю учиняше колъ высокъ и позлащенъ весь, и на него всаждаше, и государю его тѣ рѣчи отписоваше с прочими, да не шлет к великоумну государю малоумна и т научена мужа в посольство.	Пришел однажды к Дракуле посол от венгерского короля Матьяша, знатный боярин, родом поляк. И повелел Дракула сесть с ним обедать среди трупов. И лежал перед Дракулой толстый и длинный кол, весь позолоченный, и спросил Дракула посла: «Скажи мне, для чего я приготовил такой кол?» Испугался посол тот немало и сказал: «Думается мне, государь, что провинился перед тобой кто-либо из знатных людей и хочешь предать его смерти более почетной, чем других». Дракула же отвечал: «Верно говоришь; вот ты — великого государя посол, посол королевский, для тебя и приготовил этот кол». Отвечал тот: «Государь, если совершил я что-либо, достойное смерти, делай как хочешь. Ты судья справедливый — не ты будешь в смерти моей повинен, но я сам». Рассмеялся Дракула и сказал: «Если бы ты не так ответил, быть бы тебе на этом коле». И воздал ему почести великие, и, одарив, отпустил со словами: «Можешь ходить ты послом от великих государей к великим государям, ибо умеешь с великими государями говорить, а другие пусть и не берутся, а сначала поучатся, как беседовать с великими государями». Был такой обычай у Дракулы: когда приходил к нему неопытный посол от царя или от короля и не мог ответить на его коварные вопросы, то сажал он посла на кол, говоря: «Не я виноват в твоей смерти, а либо государь твой, либо ты сам. На меня же не возлагай вины. Если государь твой, зная, что неумен ты и неопытен, послал тебя ко мне, многомудрому государю, то твой государь и убил тебя; если же ты сам решился идти, неученый, то сам себя и убил». И тогда готовил для посла высокий позолоченный кол и сажал его на кол, а государю его посылал грамоту с кем-либо, чтобы впредь не отправлял послом к многомудрому государю глупого и неученого мужа.
Учиниша же ему мастери бочкы желѣзны; он же насыпа их злата, в рѣку положи. А мастеровъ тѣх посѣщи повелѣ, да никтоже увѣсть съдѣланнаго имъ окаанства, токмо тезоимениты ему диаволъ.	Изготовили мастера для Дракулы железные бочки, а он наполнил их золотом и погрузил в реку. А мастеров тех велел казнить, чтобы никто не узнал о его коварстве, кроме тезки его — дьявола.
Нѣкогда же поиде на него воинством король угорскы Маттѣашь; он же поиде противъ ему, и срѣтеся с ним, и ударишась обои, и ухватиша Дракулу жива, от своихъ изданъ по крамолѣ.[7] И приведенъ бысть Дракула ко кралю, и повелѣ его метнути в темницю. И сѣде в Вышеградѣ на Дунаи, выше Будина 4 мили,[8] 12 лѣт. А на Мунтьянской земли посади иного воеводу.	Однажды пошел на него войной венгерский король Матьяш; Дракула выступил ему навстречу, сошлись, и сразились, и выдали Дракулу изменники живым в руки противника. Привели Дракулу к королю, и приказал тот бросить его в темницу. И провел он там, в Вышеграде на Дунае, в четырех верстах выше Буды, двенадцать лет. А в Мунтьянской земле король посадил другого воеводу.
Умершу же тому воеводѣ, и краль пусти к нему в темницю, да аще восхощет быти воевода на Мунтианской земли, якоже и первие, то да латиньскую вѣру прииметь, аще ль же ни, то умрети в темници хощеть. Дракула же возлюби паче временнаго свѣта сладость, нежели вѣчнаго и бесконечнаго, и отпаде православия, и отступи от истинны, и остави свѣтъ, и приа тму. Увы, не возможе темничныя временныя тяготы понести, и уготовася на бесконечное мучение, и остави православную нашу вѣру, и приатъ латыньскую прелесть. Крал же не токмо дасть ему воеводство на Мунтьянской земли, но и сестру свою родную дасть ему в жену,[9] от неяже роди два сына. Пожив же мало, яко 10 лѣт, и тако скончася в той прельсти.[10]	Когда же тот воевода умер, послал король к Дракуле в темницу сказать, что если хочет он, как и прежде, быть в Мунтьянской земле воеводой, то пусть примет католическую веру, а если не согласен он, то так и умрет в темнице. И предпочел Дракула радости суетного мира вечному и бесконечному, и изменил православию, и отступил от истины, и оставил свет, и вверг себя во тьму. Увы, не смог перенести временных тягот заключения, и отдал себя на вечные муки, и оставил нашу православную веру, и принял ложное учение католическое. Король же не только вернул его Мунтьянское воеводство, но и отдал в жены ему сестру родную, от которой было у Дракулы два сына. Прожил он еще около десяти лет и умер в ложной той вере.
Глаголют же о немь, яко, и в темници сѣдя, не остася своего злаго обычая, но мыши ловя и птици на торгу покупая, и тако казняше ихъ, ову на колъ посажаше, а иной главу отсѣкаше, а со иныя, перие ощипавъ, пускаше. И научися шити и тѣмъ в темници кормляшесь.	Рассказывали о нем, что, сидя в темнице, не оставил он своих жестоких привычек: ловил мышей или птиц покупал на базаре и мучил их — одних на кол сажал, другим отрезал голову, а птиц отпускал, выщипав перья. И научился шить, и кормился этим в темнице.
Егда же краль изведе его ис темници, и приведе его на Будинъ, и дасть ему домъ в Пещи противу Будина, и еще у краля не былъ, случися нѣкоему злодѣю уйти на его дворъ, и съхранися. Гонящии же приидоша, и начаша искати, и наидоша его. Дракула же воставъ, взем мечь свой, и скочи с полаты, и отсѣче главу приставу оному, держащему злодѣя, а злодѣя отпусти; прочии же бѣжаша, и приидоша к биреву, и повѣдаша ему бывшее. Бирев же съ всѣми посадникы иде ко кралю, жалуяся на Дракулу. Король же посла к нему, вопрошая: «Что ради таково зло учини?» Он же тако отвѣща: «Зло никое ж учиних, но онъ самъ себе убил; находя разбойническы на великаго государя домъ, всякъ такъ погибнеть. Аще ли то ко мнѣ пришел бы, явил, и азъ во своемъ дому нашел бы того злодѣя, или бы выдалъ, или простил его от смерти». Кралю же повѣдаша. Король же нача смѣятися и дивитись его сердцю.	Когда же король освободил Дракулу из темницы, привезли его в Буду, и отвели ему дом в Пеште, что против Буды, — но еще не был допущен Дракула к королю, и вот тогда случилось, что некий разбойник забежал во двор к Дракуле и спрятался там. Преследователи же пришли и стали искать преступника и нашли его. Тогда Дракула вскочил, схватил свой меч, выбежал из дома, отсек голову приставу, державшему разбойника, а того отпустил; остальные же обратились в бегство и, придя к судье, рассказали ему о случившемся. Судья же со всеми посадниками отправился к королю с жалобой на Дракулу. Послал король к Дракуле, спрашивая: «Зачем же ты совершил такое злодеяние?» Он же отвечал так: «Никакого зла я не совершал, а пристав сам же себя убил: так должен погибнуть всякий, кто, словно разбойник, врывается в дом великого государя. Если бы он пришел ко мне и объявил о происшедшем, то я бы нашел злодея в своем доме и либо выдал его, либо простил бы его». Рассказали об этом королю. Король же посмеялся и удивился его нраву.
Конец же его сице:[11] живяше на Мунтианской земли, и приидоша на землю его турци, начаша плѣнити. Он же удари на них, и побѣгоша турци. Дракулино же войско безъ милости начаша их сѣщи и гнаша их. Дракула же от радости възгнавъ на гору, да видить, како сѣкуть турковъ, и отторгься от войска; ближнии его, мнящись яко турчинъ, и удари его единъ копиемъ. Он же видѣвъ, яко от своих убиваемъ, и ту уби своих убийць мечем своимъ 5, его же мнозими копии сбодоша, и тако убиенъ бысть.	Конец же Дракулы был таков: когда был он уже в Мунтьянской земле, напали на землю его турки и начали ее разорять. Ударил Дракула на турок, и обратились они в бегство. Воины же Дракулы, преследуя их, рубили их беспощадно. Дракула же в радости поскакал на гору, чтобы видеть, как рубят турок, и отъехал от своего войска; приближенные же приняли его за турка, и один из них ударил его копьем. Тот же, видя, что убивают его свои, сразил мечом пятерых своих убийц, но и его пронзили несколькими копьями, и так был он убит.
Корол же сестру свою взят, и со двѣма сынми, въ Угорскую землю на Будинъ. Единъ при кралевѣ сынѣ живет, а другий был у варадинского бископа[12] и при нас умре, а третьяго сына, старѣйшаго, Михаила,[13] тут же на Будину видѣхом, от царя турскаго прибѣгъ ко кралю; еще не женився, прижил его Дракула съ единою дѣвкою. Стефан же молдовскый з кралевы воли посади на Мунтьянской земли нѣкоего воеводскаго сына, Влада именем. Бысть бо той Владъ от младенства инокъ, потомъ и священникъ и игуменъ в монастыри, потомъ ростригся и сѣлъ на воеводство, и женился, понялъ воеводскую жену, иже после Дракулы мало побылъ, и убилъ его Стефанъ волосьскы,[14] того жену понялъ. И нынѣ воевода на Мунтьянской земли Владъ, иже бывы чернець и игуменъ.[15]	Король же взял сестру свою с двумя сыновьями в Венгерскую землю, в Буду. Один сын при короле живет, а другой был у Варданского епископа и при нас умер, а третьего старшего сына, Михаила, видели тут же в Буде — бежал к королю от турецкого царя; еще не будучи женат, прижил этого сына Дракула с одной девкой. Стефан же молдавский по королевской воле посадил в Мунтьянской земле некоего воеводского сына по имени Влад. Был тот Влад с юных лет монахом, потом — священником и игуменом монастыря, а потом расстригся и сел на воеводство, и женился он на вдове воеводы, правившего недолгое время после Дракулы и убитого Стефаном молдавским, вот на его вдове он и женился. И ныне воевода в Мунтьянской земле тот Влад, что был чернец и игумен.
В лѣто 6994 февраля 13 прежь писал, та же в лѣто 6998 генваря 28 вдругье переписах азъ, грѣшны Ефросинъ.[16]	В год 6994 (1486) февраля в 13 день писал я это впервые, а в году 6998 (1490) января в 28 день еще раз переписал я, грешный Ефросин.
