ТРЕТЬЯГО СЛОВА СУТЬ СТИХОВЕ ВСИ 1654	ВСЕГО В ТРЕТЬЕМ СЛОВЕ 1654 СТИХА
13. Яко на воскресение всячьская тварь обновиться в нетлѣние к лучше добротѣ и видѣнию, — подобнѣ и человѣчьская телеса, с ними же и душа, но не тричастны будут тогда, якоже нынѣ, но отимуться двѣ части от них — ярость и желание.	13. Что с воскресением всяческая тварь обновится, сделавшись нетленной и став лучше и красивей, также и человеческие тела, а с ними и души, но не трехчастны, как теперь, они тогда будут, ибо отнимутся две части у них — способности ярости и влечения.
14. И еще о въскресении.	14. И еще о воскресении.
НАЧАЛО ТРЕТЬЯГО СЛОВА	НАЧАЛО ТРЕТЬЕГО СЛОВА
Душа: Се другое взискание, се и другое впрошенье. От нихже впросих тя вчера и во втором словѣ, многа ми явила еси и многа сказала ми еси. Хотѣх же увѣдѣти, гдѣ хощем глаголати преже умершихъ душа быти: аще въ адѣ речеши ми, — да гдѣ есть адъ? Рци ми се явственѣ, рци и не облѣнися.	Душа: Вот новая тема, вот и новый вопрос. Из того, о чем я спросила тебя вчера, во втором слове, ты многое мне раскрыла и много мне сказала. А теперь я захотела разузнать, что надлежит нам думать о том, где пребывают души прежде умерших: если «в аду» скажешь мне, — где ад? Ответь мне на это ясно, ответь, не поленись.
Плоть: Невнимателна о мнозѣ еси, о душе моя. Аще бо бы внимала, смѣреная, от ихже прочитаеши и от ихже поеши многажды на который же день, хотяше многая навыкнути и разумети вся си, учителя не бы требовала, ниже сказателя. Слышано ли бысть се, владычице, да не знаеши сия, но впрашаеши рабу свою, мене оканную!	Плоть: Ты очень невнимательна, о душа моя. Ведь если б ты внимала смиренно тому, что читаешь и что многократно каждый день поешь, то очень много узнала бы, и поняла все это, и не имела бы потребности ни в учителе, ни в толкователе. И слыхано ли это, владычица, не знать этого и спрашивать свою рабу, меня, окаянную!
Душа: Аще убо не навыкну от тебе, от кого научюся? От Писания слышах, еже впрашати убо лучше есть и еже свѣтовати мьногых спасително есть.	Душа: Коль от тебя не узнаю, у кого научусь? А из Писания я слышала, что спрашивать полезно и советоваться со многими спасительно.
Плоть: Да что есть и каково дѣло, еже имаши, и где скытаеться умъ, и где обьходит, скажи.	Плоть: Да какое же дело теперь тебя занимает, и где, скажи, твой ум скитается и блуждает.
Душа: Кое убо дѣло — еже испытовати божественое: и отнуду же придох, и еже ради вины, и кто есть зижитель мой, и како честнѣйшю всѣх иже в мирѣ створи мя тварей и под руку далъ есть скоты же и звѣря, и гад, и птица, и ина глаголю вся, небо с своими ему, земля и иная паки, — и како мя затворилъ есть в тебѣ смраднѣй, и идеже паки поиду, отлучився тебе конечнѣй.	Душа: Такое дело — постигать божественное: откуда я пришла, и по какой причине, и кто создатель мой, и почему, создав меня высшей всех сущих в мире тварей и подчинив мне животных, зверей, и гадов, и птиц, и прочее, можно сказать, все: небо вместе с тем, что в нем, и землю, и иное, — при этом он поместил меня в тебе, смрадной, и куда потом я пойду, с тобой, наконец, расставшись?
Плоть: Право убо отвѣща ми, и добрѣ отглагола; сия поучайся всегда; сия тебѣ да суть дѣло; да навыкнеши от них лучшая, божественая.	Плоть: Ты правильно ответила и хорошо сказала; и это постигай всегда; пусть это будет твоим делом, чтобы ты научилась лучшему и божественному.
Душа: Азъ убо се желаю воину и хощю поучение незабытно имѣти ми в сѣхъ. Но якоже вепрь калу радуеться и сквернѣ и на кождо день валяеться, услажаяся в немь, тако и ты, всезлая плоти, всяко с сими плотьскыми своими страстми и сластьми студными и скверными дѣянми съкверниши мя на кождо день, валяющися в них без боязни, якоже свинья, и низъвлачиши мя долѣ, и никакоже оставляеши мя горняя зрѣти и мудрьствовати, и в горняя входити. Зрительное угасила еси — еже есть умъ мой. И како взмогу навыкнути, помрачена сущи и ослѣплена всячесьскы, зрѣти не имущи!	Душа: Я ведь того и желаю всегда и хочу хорошее поучение об этом услышать. Но как свинья, что нечистотам радуется и скверне и каждый день валяется в них, наслаждаясь, так и ты, презлая Плоть, вечно этими своими плотскими страстями, и усладами постыдными, и скверными деяниями оскверняешь меня каждый день, валяясь в них безбоязненно, словно свинья, и вниз меня влечешь, и никак не позволяешь мне взглянуть ввысь, о горнем помышлять и к горнему стремиться. Способность видеть, то есть ум мой, во мне ты угасила. И как смогу я понимать, будучи помраченной и ослепленной во всем и видеть неспособной?
Плоть: Да вѣдѣ ты водиши мя и ты всяко носиши! Да вѣдѣ ты обращаеши мя, якоже снузнець коня. Азъ убо кромѣ тебе ничтоже отнудь творю: ниже доброе, ниже злое, ни посреднее спроста. Да что мя укаряеши много и что мя бесчестиши? Или убо добрѣ, или злѣ живемъ — твое еже хотѣти.	Плоть: Да ведь ты руководишь мною, ты меня повсюду носишь! Ты ведь управляешь мною, как всадник конем. Я без тебя вовсе ничего не совершаю: ни добрых дел, ни злых, ни тех, что между злым и добрым. Так за что же ты меня укоряешь и за что бесчестишь? Хорошо ли, дурно ли мы живем — зависит от твоей воли.
Душа: Непщюеши, злѣйшая, благословленѣ противится мнѣ? Но нѣсть, ты якоже рече, нѣсть, якоже глаголеши! Но — якоже конь сверѣпъ, егоже глаголють Етиарь,[1] неудержим, зловидень и непокоренъ зѣло, внегда хопит узду, стища зубы своими, и въздвигъ выю яростнѣ и к брегом устремиться и в пропасть, и рассѣлины, и ровища калная и самъ себе низъринет вкупѣ со всадникомъ; аще ли въспящаеться, то паки горше есть, — сицевому подобно стражем обѣ вкупѣ. Сверѣпѣеши, якоже онъ предреченъ мною конь, вражедная, и тогда не могу повести тя, якоже хощю, но яможе ты хощеши, водиши мя нехотящю. Аще убо ураню тя жезлом и умучю тебе, или гладом озлобя тя и жестоцѣм житием, аще труды тебѣ наведу многы и великы и подвигы нанесу ти, яко да постражеши — да некако буяеши, и играеши, и скачеши отнуд, — и положю долу тя мертву, полумрщвену паки, — въ еже показати тя паки покориву быти, и не имамъ служащаго ми, ниже помагающаго, не имам с ким добродѣтели сдѣяти! И како сию да стяжю и како сию створю?	Душа: Полагаешь, злейшая, что разумно мне перечишь? Но не так обстоит дело, как ты сказала, не так, как говоришь! Но словно конь свирепый, что зовется Сиртиарий, неудержимый, страшный и весьма непокорный, когда грызет узду, стиснув ее зубами, и, шею яростно задрав, к берегам устремляется, и в пропасти, и в ямы, в рвы, наполненные грязью, сам себя повергает вместе со всадником; если же попятится, то будет еще хуже, — подобно этому и мы страдаем обе вместе. Ты, враждебная, свирепеешь, как этот названный мной конь, и тогда я не могу вести тебя, куда хочу, но ты, куда хочешь, несешь меня против моей воли. Если же я побью тебя палкой и помучу тебя или голодом накажу тебя и суровой жизнью, если трудами нагружу тебя многими и тяжелыми и работы возложу на тебя такие, чтобы пострадала ты — чтоб не буйствовала больше, не озоровала, не скакала совсем, — умерщвленной и полумертвой низложу тебя, чтобы заставить тебя быть покорной, то лишаюсь тогда своего слуги и помощника, и не с кем мне будет добрых дел сделать! Как добродетель тогда стяжать и сотворить мне?
Аще ли же упокою тя и угожю ти, паки на мя въстаеши злѣ и ратуеши мя бѣснѣ, и низълагаеши мя долѣ в дѣяния неправедна. Обаче помагаеши ми нѣкогда створити любимая к Богу, пособьствуеши мя во многая, но и ратуеши мя; и помощника имам те, и съперника паки, и ратника нещадна, и врага же сверѣпа. Горе, горе мне! Како: враг — и друг любы мнѣ! И что сдѣяти, недоумѣю, и что створю, не вѣмъ. Аще убо створилъ бы Богъ, да свобожюся тебе, изъшла бы твою темницю и зловонья смраде, изъшла бых убо, наставлена от ангела, вскорѣ в моя си, в мое отечество, и, яже в мирѣ оставльши, в премирных жила бых.	А если же дам тебе покой и угожу тебе, вновь на меня восстаешь со злобой и бешено воюешь со мной, и низвергаешь меня вниз, в деяния неправедные. Однако же иногда ты помогаешь мне совершить любимое Богом, способствуешь мне во многом, но воюешь со мной; и помощник ты мне, и соперник разом, противник беспощадный и враг свирепый. Горе, горе мне! Как это: враг — и друг мой любимый! Как мне поступить, не знаю, и что сделать, не ведаю. Если бы дал Бог от тебя освободиться, вышла бы я из твоей зловонной и смрадной темницы, быстро пошла бы, наставляемая ангелом, в мое отечество и, оставив все мирское, в надмирном мире жила бы.
Плоть: Много възвысися, о душе, много възнеслася еси — яко невеществена и добра и яко превышши, яко мыслена и словесна, и бесмертна сущи, и яко от вышняго и небеснаго мира, сей миръ убо нѣсть достоинъ тебѣ, азъ есмь злородна, азъ есмь раба от сего мира тлѣньнаго, премѣннаго и сквернаго, от четырех его всѣх ставъ вся есмь — и мерзка, и сквернава, и нечиста, якоже глаголеши. И глаголи еже хощеши, госпожа бо ми еси. Но убо яже укаряеши злую мене, юже бесчестиши, — аще мя не бы имѣла, владычице, не бы достойна мѣдницю.	Плоть: Слишком возвысилась ты, о душа, и чрезмерно вознеслась: и невещественна ты, и добра, и все-то ты превосходишь, и осмысленна ты, и словесна, и бессмертна, и происходишь из вышнего небесного мира, а этот мир недостоин тебя, а я злородна, я раба из этого изменчивого и скверного мира, из всех его четырех стихий вся состою, и мерзка я, и скверна, и нечиста, как ты говоришь. И говори, что хочешь, ведь госпожа ты мне. Но хотя ты меня и называешь, укоряя, злой и бесчестишь, но если бы ты меня не имела, владычица, не стоила бы ты и медяка.
Душа: Да како обесрамися, и како обесчестиши мя, и како охуди мя? Хощу навыкнути, еже рече.	Душа: С чего ты потеряла стыд, с чего бесчестишь ты меня, что унижаешь? Хочу понять твои слова.
Плоть: Вонми, прочее, и слыши, и не огорчевайся отнудь, ни же гнѣвайся на мя всуе туне тако, елма обезчивихся тебѣ, елма обесрамихся и стыдение отложих от моего лица. Рьку тебѣ истину, или хощеши, или не хощеши. И вонми здѣ смысленѣ и разумѣй яже глаголю.	Плоть: Тогда внимай и, слыша, не огорчайся и не гневайся на меня понапрасну, как если бы я бесчестила тебя, как если бы я обнаглела и стыд отложила от лица моего. Скажу тебе правду, хочешь ты того или не хочешь. Послушай теперь осмысленно и разумей, что я буду говорить.
Кромѣ ссуд моих удовъ, госпоже, Творца своего и Бога славословити не можеши, — аще не имаши сдѣлницю мене и помощницю свою. Но ниже благодарити яко творенье Создателя, ни о нихже согрѣшила еси сама покаятися можеши кромѣ слезъ и въздыхания, якоже она блудница и Петръ. Внегда убо мене отлучишися, разумѣеши, кто еси?	Без помощи моих органов, госпожа, Творца своего и Бога не можешь ты славословить, — если ты не имеешь меня своей сотрудницей и помощницей. Без меня не можешь ты ни возблагодарить своего Создателя как его творенье, ни покаяться в согрешениях со слезами и воздыханиями, как это сделали блудница оная и Петр. Со мной расставшись, разумеешь ли, кто ты есть?
Душа: Да како отнудь глаголеши и како имаши уста и всяко противь глаголеши ми и не срамляешися?!	Душа: Да как только вообще язык твой поворачивается говорить мне такое, и при этом ты не стыдишься?!
Плоть: Да почто да не глаголю и почто и престану, елма предана бых тебѣ, яко да мя имаши рабу? Вину же не свѣм и како рещи не вѣдаю. Не бо преже мене еси, но вкупѣ ты же и азъ. Еда бо мене скудѣлник созда, Богъ же тебе? И что еси кромѣ мене и кая еси, скажи? Невидима и незнаема всѣм вся еси, никтоже познаваяй тя, никтоже видяй тя, или добра, или зла, не вѣсть какова еси — или мудра, или буя, или смыслена же, или разумна и препроста паки.	Плоть: А почему бы мне не говорить и отчего умолкнуть, если я отдана тебе, чтобы ты имела меня своей рабою? Вины своей я не знаю и, что сказать, не ведаю. Ведь ты не прежде меня возникла, но вместе со мной. Неужто горшечник меня создал, а тебя Бог? Что ты такое без меня и какая, скажи-ка? Невидима, неведома для всех ты вся, и никто не может знать тебя, никто и не увидит тебя, добра ли ты или же зла, никто не распознает, какая ты — мудра, или безумна, или смышлена, или разумна и притом простодушна.
Душа: Да како есть еже глагола? Реченое не разумѣх.	Душа: Да что такое ты говоришь? Я не понимаю сказанного.
Плоть: Слыши убо и вѣруй и покорись имже глаголю. Сущая убо вся познаваема суть чювством, умная же умнѣ постизаема суть. Яже убо чювьствена суть чювство чювственѣ познаваем, а яже паки мыслена — мыслена, якоже рѣх. Показанье чювство чювственѣе имат, постизаемое же мысленѣ, о страстная, не от того самаго познаваеться, но от дѣйства. Невѣдома сущи, о душе, и невидима вся, вправду убо познаваешися от дѣйствъ, якоже и Богъ от своих ему твари. Бога никтоже видѣ никогдаже отнудь, невидимо бо есть сущьством и естествомъ, но убо познаваеться нѣколико от глаголаных. Невидимая бо Его, — рече божественый Павелъ, — и от тварей разумѣваема,[2] зрящи, от еже въ тварех, — рече, — премудрости бывшая Творець и Создатель познаваеться яковъ. Яже тѣмъ бываемая на всяк день Сдѣтеля поравеньству проповѣдають. Доброта тварем, величьство сим бывают, Творца их явьственѣ сказует. Азъ оживляюся с тобою и движюся, госпоже, от ихже всяко мною дѣйствуеши же и твориши познаваема еси от мене, якова и колика еси. Аз показую тя ныне всѣм, якова же еси и како еси дѣлателна и дѣйствена в житьи. Имаши бо уды моя и ссуды вся и тѣми дѣйствуеши и с сими дѣлаеши, скрыта сущи во мнѣ и затворена. Невидима, яко невеществена вся всегда еси, помышленье и разумѣнье все же, аще имаши, скровена суть, о госпоже. Яже в тебѣ ни вѣтий, ни любомудрець, ни земовѣрьник пакы, но ниже волхвъ враг, — никтоже знает та, дондеже приимеши от мене шестострунная уста и къ голосу подобному органскыя моя уды: горло же и душник, гортань же и языкъ, зубы и устны с ними, — и глас вершиши. И тако тогда бывают скровенная вѣдома и явлена, якоже рѣхом, разумѣнья твоя. Приничеши очима моима и блюдеши убо вся, и глаголеши языком моимъ, и слышиши ушима, обонѣваеши ноздрема моима, и рукама дѣлаеши хытрости паки обои и художьства вся от малых и худых даже и до великых. Мене бо кромѣ никакоже твориши что отнудь житийско и телесно, и духовное весма. Азъ тя обиявих, азъ прославих тя. Не хвалися в моих, ни взносися толико. Аще ли хощеши увѣдѣти, яко истинно еже глаголю, и сдѣ вонми разумно и навыкнеши удобно.	Плоть: Так слушай же и верь, и соглашайся с тем, что говорю. Все существующее познаваемо чувством, а умственное умом постигается. Итак, все чувственное мы познаем чувством ведь, а мысленное — мыслью, как я уже сказала. Чувственное способно давать показания чувству, а постигаемое мысленно, о страстная, не прямо само по себе познается, но по действиям. Неведомою будучи, о душа, и полностью невидимой, ты правильно познаешься от собственных действий, как познается Бог по им сотворенному. Ведь Бога никто никогда не видел, ибо он невидим существом и природой, но отчасти познается так, как сказано. Ведь что невидимо в нем, то, сказал божественный Павел, путем наблюдения по тварям уразумевается, от заключенной в тварях премудрости Творец-Создатель бывает познаваем, каков он. Все, чему он дает бытие, равно всякий день своего Создателя проповедует. Красота творения и его величественность ясно свидетельствуют о своем Творце. Я тобою, госпожа, оживляема и движима, и от того, как ты мною действуешь и что делаешь, через меня ты познаешься, какая ты и что ты есть. Я ныне показываю тебя всем, что ты собой являешь, какова ты на деле, что совершаешь в жизни. Ведь ты владеешь всеми моими частями и органами, ими действуешь и с их помощью все делаешь, сокрыта будучи во мне и заперта. Ты невидима, ибо ты вся и всегда невещественна, помышления и все рассуждения, какие ты имеешь, сокрыты, о госпожа. То, что в тебе, ни ритор, ни философ, ни также геометр, ни враг-колдун, — никто не знает то, доколе ты не воспримешь от меня шестиструнные уста и потребные для голоса мои приспособленья: горло с легкими, гортань с языком, зубы и губы с ними, — и произведешь голос. И лишь тогда становится сокровенное открытым, и известными делаются твои рассуждения. Глядишь ты моими глазами и все видишь, говоришь моим языком, слышишь ушами, обоняешь моими ноздрями, а руками занимаешься ремеслами и всякими художествами от малых и незначительных до самых великих. И без меня никак не можешь ты ничего сделать ни из житейских и телесных дел, ни из духовных. Я всем тебя явила, я прославила тебя. Не хвались моим и столь не заносись. А если хочешь убедиться в том, что правдива моя речь, внимай теперь с умом, и ты легко все постигнешь.
Вѣдѣ еси велика и добра, якоже мниши, устроена во мнѣ и свершена вся всяко абье от самоя утробы. Аз же, внегда рожюся, несвершен младенець есмь, малѣйше отнудь отрочя, якоже рѣх. Как абие не дѣйствуеши что-либо всяко, не глаголеши бо явѣ, ходиши же никако, рукама же спроста не дѣлаеши никако, но вся недѣйствена всегда бываеши. И ждеши, владычице, мене, твою рабу, — дондеже удове мои и части тѣла вся взрастут помалу и одебелѣют сия и доспѣют, якоже рѣх, в мѣру взраста. И тако тогда тѣми дѣйствуеши, яже хощеши. И по сих же паки аще что от удовъ моих случиться и погибнет, якоже не хощеши, любимая, к дѣланью его и паки забавляешися, не могущи его навершити дѣло. Аще же мозгъ мой уязвенъ будет мечем, или инако паки вреженъ будет, ослѣплена бываеши, не зрящи спроста ни добро, ни не таково, несмыслена и скудоумна вся всегда еси и вся недѣйствена, якоже преди рекохъ. Якоже очи азъ погублю, вся помрачена бываю, ничтоже дѣлающи, якоже рече и Христосъ в Благовѣстованьихъ,[3] и вѣдѣ имам прочая уды моя вся цѣлы. Тако и ты, прелюбезная, умъ аще погубиши. Ума же потребнѣйше паче всѣх удовъ и органъ добрѣйши вглавны мъзлъ есть. И живут в немь 3 силы умныя: памятное, мечтанье и размысленое же. Мечтанное убо спреди, памятное же сзади, размысленое же посреде чрева вглавнаго, явѣ яко. Разумѣвай добрѣ яже глаголю: тричастное твое не потребно кромѣ сего бывают, и вѣдѣ пребываеши сдраво и цѣло все то: помысленое и яростное, глаголю, с третиимъ, еже есть, владычице моя, похотное, имиже бытие души исперва и еже быти прияти и бысть со мною создана бысть, 3-ми сими умными твоими сставы. Мозгу бо моему сущу сдраву, и цѣлы, 3 силы, о душе, ражают тебѣ 4-ри родныя добродетели и колесницю 4-роконечну: правду и мудрованье ражает помысленое твое, цѣломудреное же пакы похотное твое, с сими и яростное ражаеть тебѣ мужьство... вкупѣ же и умныя силы, о господыне: памятное, мечтанное и размысленое же, с сими и пять твоих чювствъ, любимая: умъ и мысль, славу и мечьтание, и чювство послѣднее; и моя же такоже; зрѣнье, обонѣнье, слух и вкушение, и осазанье, вселюбимая — отходят вся отнудь — умная, и чювственая, и мысленая с сими.	Тебе ведь кажется, что ты большою и красивой помещена во мне и совершенна от самой утробы. Я же, когда рождаюсь, как известно, несовершенным младенцем пребываю, из детей малейшим. И ты тогда сразу ничего не можешь делать: явственно не говоришь, совсем не ходишь, и руками вообще не владеешь, но во всем бездейственной оказываешься. И ждешь ты меня, владычица, твою рабу, — пока мои члены, все части тела, понемногу вырастут, окрепнут и станут, как я сказала, зрелыми в соответствии с моим возрастом. И лишь тогда ты ими можешь действовать как хочешь. А после этого, опять же, если какому-либо из моих членов случится погибнуть, то и против желания, любимая, ты в деле его снова становишься бессильной, не будучи способной то дело делать. Если же мозг мой поражен будет мечом или как-нибудь иначе поврежден будет, слепою ты делаешься, не различающей доброе от недоброго, становясь навсегда полностью бессмысленной и скудоумной, во всем бездельной, как прежде я сказала. Так же, если я потеряю глаза, во мраке пребываю и в бездействии, как и Христос в Евангелиях сказал, хоть и прочие мои все члены целы. Так и ты, прелюбезная, коль скоро ум погубишь. А для ума нужнейшим изо всех прочих членов и наилучшим из органов является головной мозг. В нем обитают три умственные силы: память, воображение и мышление. Воображение находит себе место впереди, а память сзади, мышление же в середине головы, конечно же. Старайся хорошо уразуметь, что я говорю: три твои части, ума лишившись, ни на что не нужны, хотя бы все это пребывало здоровым и целым, — я имею в виду способности мышления, ярости и третью, каковой является, владычица моя, влеченье, ради которых изначально душа существование приняла, быв со мной создана, — эти твои три умственные стихии. А если мой мозг здоров и цел, то три твои умственные силы, о душа, рождают в тебе четыре родственные им добродетели, четвероконную их упряжку: мышление порождает справедливость и мудрость, влечение — целомудрие, а ярость рождает в тебе мужество. (Но стоит головному мозгу стать хромым, теряешь все: и справедливость, и мудрость, и мужество, и целомудрие), а с ними и умственные силы, о госпожа, — память, воображение и мышление, а с ними и пять твоих чувств, любимая: ум и мысль, представление и воображение, и, наконец, понимание; а также и мои все: зрение, обоняние, слух, вкус и осязание, вселюбимая, — отходят все полностью — и умственное, и чувственное, и мысленное с ними.
И вѣдѣ имаши тричастное твое все здраво — словесное и яростное и желательное же, — но обаче недействена и непотребна суть 3 та, не сущу тому сдраву — мозгу, глаголю. Аще ли продолжаться живота моего днье и доспѣют 80-мъ лътомъ быти или вяще, и ослабѣют вси уди мои, части тѣла, с чювствы моими, имиже украсуешися, ниже тако имаши сдраво мудрованье и цѣло, ниже егда от огня жгомъ есмь зѣлнѣ, якоже убо раздрушаеться сила моя, нынѣ сраздрушаеться и умное мудрованье и разумъ. Не имѣю бо органъ крѣпок же и цѣлъ, не может хитростное дѣйство гдѣ показати. Егда бо расту, растеть, и егда бо престану, престанет. Аще бо слабъ есть органъ, слабо есть и пѣнье. Азъ зрю очима, ты же умомъ. Не сущу убо тому сдраву, погубила еси вся. Разумѣй, о душе, еже преже мала ти рѣх, яко без мене сама не бы достойна цатѣ?	И пусть твои три части совершенно здоровы — разум, ярость и влечение, но, однако, бездейственны и неприменимы все три, коль скоро тот не будет здрав, — я о мозге говорю. И если так продлятся дни моей жизни, что восьми десятков лет достигнут или больше, и ослабеют все мои составы, части тела, вместе с чувствами моими, какими ты гордишься, не будет тогда и мышление твое здравым и ясным, и то же — если я буду сильно обожжена огнем, потому что разрушится моя сила, а с нею и способность ума мыслить и рассуждать. Ибо если не имеет ум в своем распоряжении здоровый и неповрежденный орган, то ни в чем не сможет показать свое искусное действие. Когда я расту, — он растет, я перестану — и он перестает. Ведь если слаб орган, слабо и звучание. Я зрю глазами, ты же умом. Коль тот нездрав, погубила ты все. Уразумела ли ты, о душа, то, что немного раньше я тебе сказала, — что без меня ты сама и гроша не стоишь?
