А СѢ О ЗЛЫХ ЖЕНАХ[1]	А ЭТО О ЗЛЫХ ЖЕНАХ
Зла кобъ, зла жена: биема — бѣситься, кротима — выситься.	Злая судьба, злая жена: когда ее бьешь — бесится, а когда кроток с ней — заносится.
Зваху нѣкоего на позоръ играния облезиянъ, онъ же рече имъ: «Имамъ дома облезияну — жену злообразну!»	Звали некоего человека на зрелище обезьяньих игр, он же сказал им: «У меня дома обезьяна — жена злообразная!»
Много помочи бѣсу въ женьскых клюках.	Большая помощь бесу в женском лукавстве.
Устрѣлъ бяхъ лва на пути и разбойника на распутьи, обоего сего убѣжах, а злы жены не могох убѣжати.	Встречал я льва на пути и разбойника на распутье; от обоих убежал, а от злой жены не смог убежать.
Суть мужи городы владѣющи, а женамъ работающе.	Есть мужи — городами владеют, а женам служат.
Видѣвъ писца иконнаго, продающа иконы и много цѣны хотяща, и рече: «Не много цѣны хощи, да не вторый Июда будеши, продавый Господа!»	Некто увидел иконописца, который продавал иконы и просил высокую цену, и сказал ему: «Не проси высокую цену, а то окажешься вторым Иудой, продавшим Господа!»
Видѣвъ скомраха идуща и рече ему: «Владѣяй над бѣсы, гдѣ идѣши? Чи къ отцю своему Сотонѣ?»	Некто увидел идущего скомороха и сказал ему: «Имеющий власть над бесами, куда идешь? Не к отцу ли своему Сатане?»
Нѣкто подрученъ бѣ рѣзоимцю. Идущу ему мимо дворъ его, видѣ у тына его псы щетину грызуща, и рече: «Обрадовался бых, яко господина дому сего ядять!»	Некий человек работал на ростовщика. Шел он мимо его двора и видел у забора его псов, грызущих щетину, и сказал: «Я бы обрадовался, если б они хозяина этого дома съели!»
Видѣвъ русалкы[3] по граду идуща и рукавома прѣгыбающемъ, и рече: «Се суть муроносице адовы идуть къ отцю своему Сотонѣ!»	Некто увидел русалок, идущих по городу с подогнутыми рукавами, и сказал: «Вот адовы мироносицы идут к отцу своему Сатане!»
Видѣвъ человека толста тѣлом и рече: «Сему подобаеть близъ поля жити, да не вѣликъ трудъ будеть влѣкущим тѣло его къ гробу».[4]	Некто увидел толстого человека и сказал: «Этому следует жить неподалеку от кладбища, чтобы не затруднять слишком тех, кто понесет его тело к могиле».
Дума женьска не тверда есть, аки храмъ непокровенъ.	Мысли женские неустойчивы, как храм без крыши.
Иже не видѣвъ, ни слышавъ ничтоже, но самъ замысливъ, что любо не благо молвить, тотъ подобенъ есть псу, на вѣтръ лающу.	Если кто не видел и не слышал ничего, но, сам придумав, говорит что-либо недоброе, тот подобен псу, лающему на ветер.
Слышалъ ли есть: что не благо, то не глаголи въ уши безумнымъ, но съгнои на сердци своемь.	Слышал ли это: «Что-либо недоброе не говори для ушей неразумных, но сгнои в своем сердце».
Не мощьно дружбы имѣти волку съ агнѣцемъ, тако убогу съ богатым.	Нельзя дружить волку с ягненком, так и бедному с богатым.
Дионисий царь слышавъ гудьца добрѣ гудуща и порце ему капъ злата. И прииде заутра, прося капи злата, и рече ему царь: «Ты мя обвесели погудѣниемъ, и азъ тебѣ — обѣщаниемь. И се отиде от мене твое веселие, а от тебѣ — мое обѣщание».	Царь Дионисий слушал музыканта, хорошо игравшего на гуслях, и пообещал ему меру золота. И пришел тот наутро, прося меру золота, и сказал ему царь: «Ты меня развеселил игрой, а я тебя — обещанием. Теперь же покинуло меня твое увеселение, а тебя — мое обещание».
