 	ГРАМОТЫ XI — РУБЕЖА XII—XIII вв.
От Савы покланянее къ братьи и дружине. Оставили мя были людье; да остать дани исправити было имъ досени, а по первому пути послати и отъбыти проче. И заславъ, Захарья въ вѣре уроклъ: «Не даите Савѣ ни одиного песця хотя на нихъ емати. Самъ въ томь». А въ томь ми ся не исправилъ въ борзѣ, ни къ вамъ, ни ту ти былъ. А въ томь есмь осталъ. По томь пришли смерди, от Аньдрѣя мужь прияли, и дане отъяли людье. И осьмь высягла, что о Тудоре. Порозумѣите, братье, ему, даче что въ то ему състане тягота тамъ и съ дружиною егъ.	От Саввы поклон братьям и дружине. Покинули меня люди; а надлежало им остаток дани собрать до осени, по первопутку послать и отбыть прочь. А Захарья, прислав <человека, через него> клятвенно заявил: «Не давайте Савве ни единого песца с них собрать. Сам за это отвечаю». А со мною по этому поводу сразу не рассчитался и не побывал ни у вас, ни здесь, поэтому я остался. Потом пришли смерды, от Андрея мужа приняли, и <его> люди отняли дань. А восемь <человек>, что под началом Тудора, вырвались. Отнеситесь же с пониманием, братья, к нему, если там из-за этого приключится тягота ему и дружине его.
А селечяномъ своимъ[21] кънязь самъ отъ Волоку и отъ Мъстѣ учястокѣ водале. Аче ли ти, братье, вины людье на мя не ищуть, а довѣдока буде, то же нынеца радъ быхъ послале грамоту.	А сельчанам своим князь сам от Волока и от Меты участки дал. Если же, братья, вины люди на мне не ищут и будет дознание, то я сейчас с радостью послал бы грамоту.
 	Грамота № 105
От Сьмъка къ Кулотъкѣ. Оже то еси казале Несъдѣ вѣверичь тихъ дѣля, коли то еси приходиле въ Русь[22] съ Лазъвкъмъ, тъгъдъ възяле у мене Лазъвке Переяславьлѣ.	От Семка к Кулотке. Что касается тех денег, про которые ты говорил Несде, то когда ты приходил в Русь с Лазовком, тогда взял их у меня Лазовко в Переяславле.
 	Грамота № 235
Отъ Судише къ Нажиру. Се Жядъке пославъ ябетника дова, и пограбила мя въ братни долгь. А я не поруцене Жядку. А възборони ему, оти не после на мя опаса... Еду в...	От Судиши к Нажиру. Вот Жадко послал двух судебных исполнителей, и они ограбили меня за братний долг. А я не поручитель перед Жадком. Запрети же ему, пусть не посылает на меня стражу. ...Еду в...
 	Грамота № 676
... три гривьнь нь отопусти.[23] Или нь вода, а вьди ко старость ко Якуну.	...три гривны не прощай. Если же не отдаст, то веди его к старосте Якуну.
 	Грамота № 735
От Якима и от Сьмьюна къ Дъмитру. Въдаи паробъку сему конь полубуивъ[24] же шизыи и, сътворя добрѣ,[25] помоги ему поправити — любо и до Коростомля.	От Якима и Семьюна к Дмитру. Дай этому слуге коня дурковатого сивого и, пожалуйста, помоги ему доставить <груз> — даже и до Коростомля.
 	Грамота № 624
От Куземе ко Цереню. Водае паробоку моему 7 на десяте гривено, а не удережи, посоли семо. А со берековеско[26] соли посоли семо. А ци цето ти товара надобе, а то восолю.	От Кузьмы к Черню. Выдай слуге моему семнадцать гривен, не откажи, и пошли сюда. Да с берковец соли пошли сюда. А если тебе что-нибудь нужно из товара, то я пришлю.
 	Грамота № 717
Покланяние от игумение къ Офросение. Присли привитъку и повои. Ци ти многи повои, а присли и до 5-ти повои. А я нугене пецалуюся[27] цереницами: постригати въ борозе. Тому даи попытаи, есте ли Матфей у манастыри.	Поклон от игуменьи к Офросении. Пришли привитку и повой. Если у тебя повоев много, то пришли их штук до пяти. А я сильно озабочена черницами: скоро постригать. Поэтому давай-ка разузнай, в монастыре ли Матфей.
 	Грамота № 682
Покланяние от Харитание ко Съфии. Ежь то ти есьмь посълала[28] 3 резане Михальви на повои, да же ти въдаль. Да молю ти ся, госъпоже ка моя, да посълъ[29] во борожь и рыбиць выдаль ти. И целую тя.	Поклон от Хритании Софье. Я послала Михалю три резаны на повой, так пусть он отдаст. Да еще прошу тебя, госпожа моя: пусть он поскорее выдаст соленье и <свежих> рыбок. Приветствую тебя.
 	Грамота № 657
Покланяние[30] от Пелаге ка Алфимие. Сь святее дьля Варъваре вьверице твое въ городь от Домацка; а у Жирослава суть. А потоснися въ городъ. А святье Варъварь тьлиця сторова ли?	Поклон от Пелаги Олфимье. Вот деньги твои от Домачка, для монастыря святой Варвары, в городе; а лежат у Жирослава. Поспеши же в город. А телка святой Варвары здорова ли?
 	Грамота № 731
Покланяние от Янокѣ со Сьлятою ко Яринѣ. Хоцьть ти твоего дѣтятиць. О свято жь ти еѣ хоцъ.[31] Ажь хоцьши, во брозѣ жь седь буди. И яла есмо ся ему по руку, яко ты си мловила ему ты дни: «Придьши — томо дни поиму». И нѣ ли ти тамо повоица, а крьвоши[32] присоли. А кодь ти мнѣ хльбь, ту и тобѣ.	Поклон от Янки с Селятой Ярине. Хочет-таки детище твоего. К празднику ее хочет. Пожалуйста, срочно будь здесь. А я обещала ему свое согласие <на то, чтобы было>, как ты сказала ему давеча: «Придешь — в тот же день сосватаю». А если у тебя там нет повойничка, то купи и пришли. А где мне хлеб, там и тебе.
 	Грамота № 9
От Гостяты къ Васильви. Еже ми отьць даялъ и роди съдаяли, а то за нимь. А нынѣ водя новую жену, а мънѣ не въдасть ничьто же. Избивъ рукы,[33] пустилъ же мя, а иную поялъ. Доеди, добрѣ сътворя.[34]	От Гостяты к Василю. Что мне дал отец и родичи дали впридачу, то за ним. А теперь, женясь на новой жене, он мне не дает ничего. Ударив по рукам, он меня прогнал, а другую взял в жены. Приезжай, сделай милость.
 	Грамота № 603
От Смолигу къ Грецинови и к Мирославу. Вы ведаета, оже я тяже не добыле. Тяжя ваша. Нынеча жена моя заплатила 20 гривнъ, оже есть посулили Давыдъви князю.	От Смолига к Гречину и к Мирославу. Вы знаете, что я тяжбы не выиграл. Тяжба ваша. Теперь жена моя заплатила 20 гривен, которые вы посулили князю Давыду.
 	Грамота № 502
От Мирслава к Олисьеви ко Грицину. А ту ти вънидьте Гавъко полоцанино. Прашаи его, кодь ти на господь витаеть. Ать ти видьло, како ти было я Ивана ялъ, постави и́ пьредъ людьми, како ти взмоловить.	От Мирослава к Олисею Гречину. Тут войдет Гавко-полочанин. Спрашивай у него, где он стоит на постое. Если он видел, как я Ивана арестовал, то поставь его перед свидетелями: как он ответит.
 	Грамота № 549
Покланяние от попа къ Грьцину. Напиши ми шестокриленая аньгела 2 на дову икуноку на верьхо деисусу. И цьлую тя. А Богъ за мѣздою или ладивься.	Поклон от попа к Гречину. Напиши для меня двух шестокрылых ангелов на двух иконках сверху деисуса. Приветствую тебя. А относительно платы — порукой Бог или же договоримся.
 	Грамота № 558
От попа от Минь ко Грьцину. А буди семо ко Петрову дени съ икунами семо.	От попа Мины к Гречину. Будь здесь к Петрову дню с иконами.
 	Грамота № 531
От Ане поклоно ко Климяте. Брате господине, попецалуи о моемо орудье Коснятину. А ныне извета ему людеми: «Како еси возложило поруку на мою сестру и на доцерь еи, назовало еси сьстру мою коровою и доцере блядею, а нынеца Федо, прьехаво, услышаво то слово, и выгонало сестру мою и хотело потяти». А нынеца, господине брате, согадаво со Воеславомо, молови ему: «Тако еси возложило то слово, тако доведи». Аже ти возомолови Коснятино: «Дала руку за зяте», ты же, браце господине, молови ему тако: «Оже буду люди на мою сьстру, оже буду люди, при комо буду дала руку за зяте, то те я во вине». Ты пако, брате, испытаво, которое слово возвело на мя и поруку, а буду люди на томо, — тобе не сестра, а мужеви не жена![35] Ты же мя и потени, не зеря на Федора! И даяла моя доци куны людеми[36] с ызветомо, а заклада просила. И позовало мене во погосто, и язо прехала, оже оно поехало проце, а рекя тако: «Язо солю 4 дворяно по гривене съребра».	От Анны поклон Климяте. Господин брат, вступись за меня перед Кос-нятином в моем деле. Заяви ему теперь при свидетелях о его неправоте: «После того, как ты обвинил в поручительстве мою сестру и дочь ее, назвал сестру мою курвою, а дочь блядью, теперь Федор, приехавши и услышав об этом обвинении, выгнал сестру мою и хотел убить». А теперь, господин брат, посоветовавшись с Воиславом, скажи Коснятину: «Раз ты возвел это обвинение, так докажи». Если же скажет Коснятин: «Она поручилась за зятя»,— то ты, господин братец, скажи ему так: «Если будут свидетели против моей сестры, если будут свидетели, при ком она поручилась за зятя, то вина на ней». Когда же ты, брат, проверишь, в каких словах и в каком поручительстве Коснятин меня обвинил, то, если найдутся свидетели, подтверждающие это,— я тебе не сестра, а мужу не жена! Ты же меня и убей, не глядя на Федора! А давала моя дочь деньги при людях, с объявлением и требовала залога. А <Коснятин> вызвал меня в погост, и я приехала, потому что он уехал со словами: «А шлю четырех дворян <взять с каждого из обвиняемых (?)> по гривне серебра».
 	Грамота № 725
От Рьмьшѣ покланянье къ Климятѣ и къ Павьлу. Бога дѣля, котореи любо потрудися до владычѣ; съкажита владычѣ мою обиду и мои бои желѣза. А я ему не дълъжьне ничимъ же. И молю ва ся.	От Ремши поклон Климяте и Павлу. Ради Бога, пусть кто-нибудь из вас двоих доберется до архиепископа; скажите архиепископу о моей обиде — о том, как я был бит и закован в кандалы. А я ему <обидчику> ничего не должен. Прошу же вас.
 	Грамота № 705
Покланяние от Домажира ко Якову. Я у тебе слышу, цето ты молвише. Оце е тобе не годена, а попровади ко моне сестру. Азъ быле лони наделиле, а ныне быхо посолале.[37] А ныне слышю болену сестру. Оце ю Бого поемете, а присоли сыно[38] ко моне со ее знатебою, оте побуде сыно у мене, а я ся имо потешу, и посолю ю[39] опяте во городо. Пакы ли не управише того, а я тя передамо святее Богородице, ко нее же еси заходиле роте.	Поклон от Домажира Якову. До моего слуха доходит то, что ты говоришь. Если она тебе не угодна, то отошли сестру ко мне. Я в прошлом году наделил, а теперь я бы послал. А теперь я слышу, что сестра больна. Если ее Бог приберет, то пришли сына ко мне с ее «знатьбой», пусть он побудет у меня за сына и я им утешусь, а потом отошлю его обратно в город. Если же не исполнишь этого, то я тебя предам святой Богородице, перед которой ты приносил клятву.
 	Грамота № 439
От ... ко Спироку. Оже ти не возяло Матее капи, воложи ю́ со Прусомо ко мне. Язо ти олово попродале и свинеце и клепание вохо. Уже мне не ехати во Сужедале. Воску куплены 3 капи.[40] А тобе поити суда. Воложи олова со цетыри безмене,[41] полотенеца со дова цереленая.[42] А куны прави со проста.	От... к Спирку. Если Матей не взял у тебя капь воска, то отправь ее с Прусом ко мне. А я олово распродал и свинец и все клепанье. Уже мне не нужно ехать в Суздаль. Воску куплено три капи. А тебе нужно прибыть сюда. Возьми с собой олова примерно четыре безмена и примерно два красных полотенца. А деньги плати сразу же.
 	Грамота № 1 из Твери
От Станимира поклоно ко Михалу ко Домажировицу. Хоцеши возяти половину куно — я поруцене отецеве твоему по Иванока. Не хоцеши ли, да я боле не могу водати.[43]	От Станимира поклон Михалу Домажировичу. Если хочешь взять половину денег, — я поручитель перед твоим отцом за Иванка. Если же не хочешь, так я больше дать не могу.
 	Грамота № 10 из Старой Руссы
Сь грамота от Яриль ко Онание. Въ волости твоеи толико вода пити[44] в городищяньх. А рушань скорбу про городищяне. Аже хоцьши, ополош дворян, абыша нь пакостили.	Это грамота от Ярилы к Онании. В Городище, твоем владении, только воду пить. А рушане скорбят о городищанах. Пожалуйста, припугни дворян, чтобы не пакостили.
