ИЗ ИПАТЬЕВСКОЙ ЛЕТОПИСИ	ИЗ ИПАТЬЕВСКОЙ ЛЕТОПИСИ
В то же время Святославичь Игорь, внукъ Олговъ, поѣха из Новагорода[36] мѣсяца априля въ 23 день, во вторникъ, поимяи со собою брата Всеволода ис Трубечка,[37] и Святослава Олговича, сыновця своего изъ Рыльска[38] и Володимѣра, сына своего, ис Путивля. И у Ярослава испроси помочь — Ольстина Олексича, Прохорова внука, с коуи[39] черниговьскими. И тако идяхуть тихо, сбираюче дружину свою, бяхуть бо и у нихъ кони тучни велми. Идущимъ же имъ к Донцю рѣкы в годъ вечерний, Игорь жь возрѣвъ на небо и видѣ солнце стояще яко мѣсяць.[40] И рече бояромъ своимъ и дружинѣ своей: «Видите ли? Что есть знамение се?». Они же узрѣвше и видиша вси и поникоша главами, и рекоша мужи: «Княже! Се есть не на добро знамение се». Игорь же рече: «Братья и дружино! Тайны Божия никтоже не вѣсть, а знамению творѣць Богъ и всему миру своему. А намъ что створить Богъ или на добро, или на наше зло, а то же намъ видити».	А в это время Игорь Святославич, внук Олегов, выступил из Новгорода месяца апреля в двадцать третий день, во вторник, позвав с собой брата Всеволода из Трубчевска, и Святослава Ольговича, племянника своего, из Рыльска, и Владимира, сына своего, из Путивля. И у Ярослава попросил на помощь Ольстина Олексича, Прохорова внука, с ковуями черниговскими. И так двинулись они медленно, на раскормленных конях, собирая войско свое. Когда подходили они к реке Донцу в вечерний час, Игорь, взглянув на небо, увидел, что солнце стоит словно месяц. И сказал боярам своим и дружине своей: «Видите ли? Что значит знамение это?» Они же все посмотрели, и увидели, и понурили головы, и сказали мужи: «Князь наш! Не сулит нам добра это знамение!» Игорь же отвечал: «Братья и дружина! Тайны Божественной никто не ведает, а знамение творит Бог, как и весь мир свой. А что нам дарует Бог — на благо или на горе нам, — это мы увидим».
И то рекъ, перебреде Донѣць и тако приида ко Осколу,[41] и жда два дни брата своего Всеволода: тотъ бяше шелъ инемь путем ис Курьска. И оттуда поидоша к Салницѣ.[42] Ту же к нимь и сторожеви приѣхаша, ихже бяхуть послалѣ языка ловитъ, и рекоша, приѣхавше: «Видихомся с ратными, ратници ваши со... доспѣхомъ ѣздять, да или поѣдете борзо, или возворотимся домовь, яко не наше есть веремя». Игорь же рече с братьею своею: «Оже ны будеть не бившися возворотитися, то соромъ ны будеть пуще и смерти; но како ны Богъ дасть». И тако угадавше, и ѣхаша чересъ ночь.	И, сказав так, переправился через Донец, и пришел к Осколу, и ждал там два дня брата своего Всеволода: тот шел другой дорогой из Курска. И оттуда пришли к Сальнице. Здесь приехали к ним разведчики, которых посылали ловить языка, и сказали, приехав: «Видели врагов, враги наши во всем вооружении ездят, так что либо поезжайте без промедления, либо возвратимся домой: не удачное сейчас для нас время». Игорь же обратился к братии своей: «Если нам придется без битвы вернуться, то позор нам будет хуже смерти; так будет же так, как нам Бог даст». И, так порешив, ехали всю ночь.
Заутра же, пятъку наставшу, во обѣднее веремя, усрѣтоша полкы половѣцькиѣ, бяхуть бо до нихъ доспѣлѣ — вежѣ своѣ пустили за ся, а сами собравшеся от мала и до велика, стояхуть на оной сторонѣ рѣкы Сюурлия.[43] И ти изрядиша полковъ 6: Игоревъ полкъ середѣ, а по праву брата его — Всеволожь, а по лѣву — Святославль, сыновця его, на передѣ ему, сынъ Володимѣрь и другий полкъ Ярославль, иже бяху с Ольстиномъ коуеве, а третий полкъ напереди же — стрѣлци, иже бяхуть от всихъ князий выведени. И тако изрядиша полкы своя. И рече Игорь ко братьи своей: «Братья! Сего есмы искалѣ, а потягнемь!». И тако поидоша к нимъ, положаче на Бозѣ упование свое. И яко быша к рѣцѣ ко Сюурлию, и выѣхаша ис половѣцькихъ полковъ стрѣлци и пустивше по стрѣлѣ на русь, и тако поскочиша. Русь же бяхуть не переѣхалѣ еще рѣкѣ Сюрлия, поскочиша же и ти полци силы половѣцькии, коториѣ же далече рѣкы стояхуть.	Наутро же, в пятницу, в обеденное время, встретились с полками половецкими; успели подготовиться половцы: вежи свои отправили назад, а сами, собравшись от мала до велика, стали на противоположном берегу реки Сюурлий. А наши построились в шесть полков: Игорев полк посередине, а по правую руку — полк брата его Всеволода, по левую — Святослава, племянника его, перед этими полками — полк сына его Владимира и другой полк, Ярославов, — ковуи с Ольстином, а третий полк впереди — стрелки, собранные от всех князей. И так построили полки свои. И обратился Игорь к братии своей: «Братья! Этого мы искали, так дерзнем же!» И двинулись на половцев, возложив на Бога надежды свои. И когда приблизились к реке Сюурлию, то выехали из половецких полков стрелки и, пустив по стреле на русских, ускакали. Еще не успели русские переправиться через реку Сюурлий, как обратились в бегство и те половецкие полки, которые стояли поодаль за рекой.
Святослав же Олговичь, и Володимѣрь Игоревичь, и Ольстинъ с коуи стрѣлци поткоша по нихъ, а Игорь и Всеволодъ помалу идяста, не роспустяста полку своего. Переднии же ти русь биша ѣ, имаша. Половцѣ же пробѣгоша вежѣ, и русь же дошедше вежь и ополонишася. Друзии же ночь приѣхаша к полкомъ с полономъ. И яко собрашася полци вси, и рече Игорь ко братома и к мужемь своим: «Се Богъ силою своею возложилъ на врагы наша побѣду, а на нас честь и слава. Се же видихомъ полки половѣцькии, оже мнози суть, ту же ци вся си суть совокупили. Нынѣ же поѣдемы чересъ ночь, а кто поѣдѣть заутра по насъ, то ци вси поѣдуть, но лучьшии коньници переберуться, а самѣми как ны Богъ дасть».[44] И рече Святославъ Олговичь строема своима: «Далече есмь гонилъ по половцехъ, а кони мои не могуть, аже ми будеть нынѣ поѣхати, то толико ми будеть на дорозѣ остати». И поможе ему Всеволодъ, якоже облечи ту. И рече Игорь: «Да не дивно есть разумѣющи, братья, умрети». И облегоша ту.	Святослав же Ольгович, и Владимир Игоревич, и Ольстин с ковуями-стрелками бросились их преследовать, а Игорь и Всеволод двигались медленно, держа строй своих полков. Передовые полки русских избивали половцев и хватали пленных. Половцы пробежали через вежи свои, а русские, достигнув веж, захватили там большой полон. Некоторые с захваченными пленниками лишь ночью вернулись к своим полкам. И когда собрались все полки, обратился Игорь к братии своей и к мужам своим: «Вот Бог силой своей обрек врагов наших на поражение, а нам даровал честь и славу. Но видим мы бесчисленные полки половецкие — чуть ли не все половцы тут собрались. Так поедем же сейчас, ночью, а кто утром пустится преследовать нас, то разве все смогут: лишь лучшие из половецких конников переправятся, а нам самим — уж как Бог даст». Но сказал Святослав Ольгович дядьям своим: «Далеко гнался я за половцами, и кони мои изнемогли; если мне сейчас ехать, то отстану по дороге». Согласился с ним Всеволод и предложил заночевать здесь. И сказал Игорь: «Не удивительно, братья, все обдумав, нам и смерть будет принять». И заночевали на том месте.
Свѣтающи же суботѣ, начаша выступати полци половецкии, акъ боровѣ. Изумѣшася князи рускии, кому ихъ которому поѣхати: бысть бо ихъ бе-щисленое множество. И рече Игорь: «Се вѣдаюче, собрахомъ на ся землю всю — Кончака, и Козу Бурновича, и Токсобича, Колобича, и Етебича и Терьтробича».[45] И тако угадавше, вси сосѣдоша с коний, хотяхуть бо бьющеся доити рѣкы Донця; молвяхуть бо, оже побѣгнемь — утечемь сами, а черныя люди оставимъ, то от Бога ны будеть грѣхъ: сихъ выдавше, поидемь. Но или умремь, или живи будемь на единомь мѣстѣ». И та рекше, вси сосѣдоша с конѣй и поидоша бьючеся. И тако Божиимъ попущениемь уязвиша Игоря в руку и умртвиша шюицю его. И бысть печаль велика в полку его. И воеводу имяхуть — тотъ напереди язвенъ бысть. И тако бишася крѣпко ту днину до вечера, и мнози ранени и мертви быша в полкохъ руских.	Когда же занялся рассвет субботнего дня, то начали подходить полки половецкие, словно лес. И не знали князья русские, кому из них против кого ехать — так много было половцев. И сказал Игорь: «Вот думаю, что собрали мы на себя всю землю Половецкую — Кончака, и Козу Бурновича, и Токсобича, Колобича, и Етебича, и Тертробича». И тогда, посоветовавшись, все сошли с коней, решив, сражаясь, дойти до реки Донца, ибо говорили: «Если поскачем — спасемся сами, а простых людей оставим, а это будет нам перед Богом грех: предав их, уйдем. Но либо умрем, либо все вместе живы останемся». И сказав так, сошли с коней и двинулись с боем. Тогда по Божьей воле ранили Игоря в руку, и омертвела его левая рука. И опечалились все в полку его: был у них воевода, и ранили его прежде других. И так ожесточенно сражались весь день до вечера, и многие были ранены и убиты в русских полках.
Наставши же нощи суботнии, и поидоша бьючися. Бысть же свѣтающе недѣлѣ, возмятошася ковуеве в полку, побѣгоша. Игорь же бяшеть в то время на конѣ, зане раненъ бяше, поиде к полку ихъ, хотя возворотити к полкомъ. Уразумѣв же, яко далече шелъ есть от людий, и, соимя шоломъ, погънаше опять к полкомъ, того дѣля, что быша познали князя и возворотилися быша. И тако не возворотися никтоже, но токмо... Михалко Гюрговичь, познавъ князя, возворотися. Не бяхуть бо добрѣ смялися с ковуи, но мало от простыхъ, или кто от отрокъ боярьскихъ, добри бо вся бьяхуться, идуще пѣши, и посреди ихъ Всеволодъ не мало мужьство показа. И яко приближися Игорь к полкомъ своимъ, и переѣхаша поперекъ и ту яша, единъ перестрѣлъ одале от полку своего. Держим же Игорь видѣ брата своего Всеволода крѣпко борющася, и проси души своей смерти, яко дабы не видилъ падения брата своего. Всеволодъ же толма бившеся, яко и оружья в руку его не доста. И бьяху бо ся, идуще в кругъ при езерѣ.	Когда же настала ночь субботняя, все еще шли они сражаясь. На рассвете же в воскресение вышли из повиновения ковуи и обратились в бегство. Игорь же в это время был на коне, так как был ранен, и поспешил к ним, пытаясь возвратить их к остальным полкам. Но заметив, что слишком отдалился он от своих, сняв шлем, поскакал назад к своему полку, ибо уже узнали бежавшие князя и должны были вернуться. Но так никто и не возвратился, только Михалко Юрьевич, узнав князя, вернулся. А с ковуями не бежал никто из бояр, только небольшое число простых воинов да кое-кто из дружинников боярских, а все бояре сражались в пешем строю, и среди них Всеволод, показавший немало мужества. Когда уже приблизился Игорь к своим полкам, половцы, помчавшись ему наперерез, захватили его на расстоянии одного перестрела от воинов его. И уже схваченный, Игорь видел брата своего Всеволода, ожесточенно бьющегося, и молил он у Бога смерти, чтобы не увидеть гибели брата своего. Всеволод же так яростно бился, что и оружия ему не хватало. И сражались, обходя вокруг озеро.
И тако во день Святаго Воскресения наведе на ня Господь гнѣвъ свой, в радости мѣсто наведе на ны плачь, и во веселиа мѣсто желю на рѣцѣ Каялы[46]. Рече бо дѣи Игорь: «Помянухъ азъ грѣхы своя пред Господомь Богомъ моимъ, яко много убийство, кровопролитье створихъ в землѣ крестьяньстѣй, якоже бо азъ не пощадѣхъ хрестьянъ, но взяхъ на щитъ городъ Глѣбовъ у Переяславля.[47] Тогда бо не мало зло подъяша безвиньнии хрестьяни: отлучаеми — отець от рожений своих, братъ от брата, другъ от друга своего, и жены от подружий своихъ, и дщери от материй своихъ, и подруга от подругы своея. И все смятено плѣномъ и скорбью тогда бывшюю, живии мертвымъ завидять, а мертвии радовахуся, аки мученици святѣи, огнемь от жизни сея искушение приемши. Старцѣ порѣвахуться, уноты же лютыя и немилостивыя раны подъяша, мужи же пресѣкаеми и расѣкаеми бывають, жены же осквѣрняеми. И та вся створивъ азъ, — рече Игорь, — не достойно ми бяшеть жити! И се нынѣ вижю отмѣстье от Господа Бога моего: гдѣ нынѣ возлюбленый мой братъ? гдѣ нынѣ брата моего сынъ? гдѣ чадо рожения моего? гдѣ бояре думающеи? гдѣ мужи храборьствующеи? гдѣ рядъ полъчный? гдѣ кони и оружья многоцѣньная? Не ото всего ли того обнажихся! И связана преда мя в рукы безаконьнымъ тѣмь. Се возда ми Господь по безаконию моему и по злобѣ моей на мя, и снидоша днесь грѣси мои на главу мою. Истиненъ Господь, и прави суди его зѣло. Азъ же убо не имамъ со живыми части. Се нынѣ вижю другая мучения вѣньца приемлюще; почто азъ единъ повиньный не прияхъ страсти за вся си? Но, владыко Господи Боже мой, не отрини мене до конца, но яко воля твоя, Господи, тако и милость намъ, рабомъ твоимъ».	И так в день Святого Воскресения низвел на нас Господь гнев свой, вместо радости обрек нас на плач и вместо веселья — на горе на реке Каялы. Воскликнул тогда, говорят, Игорь: «Вспомнил я о грехах своих перед Господом Богом моим, что немало убийств и кровопролития совершил на земле христианской: как не пощадил я христиан, а предал разграблению город Глебов у Переяславля. Тогда немало бед испытали безвинные христиане: разлучаемы были отцы с детьми своими, брат с братом, друг с другом своим, жены с мужьями своими, дочери с матерями своими, подруга с подругой своей. И все были в смятении: тогда были полон и скорбь, живые мертвым завидовали, а мертвые радовались, что они, как святые мученики, в огне очистились от скверны этой жизни. Старцев пинали, юные страдали от жестоких и немилостивых побоев, мужей убивали и рассекали, женщин оскверняли. И все это сделал я, — воскликнул Игорь, — и не достоин я остаться жить! И вот теперь вижу отмщение от Господа Бога моего: где ныне возлюбленный мой брат? где ныне брата моего сын? где чадо, мною рожденное? где бояре, советники мои? где мужи-воители? где строй полков? где кони и оружие драгоценное? Не всего ли этого лишен я теперь! И связанного передал меня Бог в руки беззаконникам. Это все воздал мне Господь за беззакония мои и за жестокость мою, и обрушились содеянные мною грехи на мою же голову. Неподкупен Господь, и всегда справедлив суд его. И я не должен разделить участи живых. Но ныне вижу, что другие принимают венец мученичества, так почему же я — один виноватый — не претерпел страданий за все это? Но, владыка Господи Боже мой, не отвергни меня навсегда, но какова будет воля твоя, Господи, такова и милость нам, рабам твоим».
И тогда кончавшюся полку, розведени быша, и поиде кождо во своя вежа. Игоря же бяхуть яли Тарголове, мужь именемь Чилбукъ, а Всеволода, брата его, ялъ Романъ Кзичь, а Святослава Олговича — Елдечюкъ въ Вобурцевичехъ, а Володимера — Копти в Улашевичихъ. Тогда же на полъчищи Кончакъ поручися по свата Игоря,[48] зане бышеть раненъ. От толикихъ же людий мало ихъ избысть нѣкакомъ получениемь, не бяшеть бо лзѣ ни бѣгаючимъ утечи, зане, яко стѣнами силнами, огорожени бяху полкы половѣцьскими. Но наших руси съ 15 мужь утекши, а ковуемь мнѣе, а прочии в морѣ истопоша.[49]	И тогда окончилась битва, и разлучены были пленники, и пошли половцы каждый к своим вежам. Игоря же взял в плен муж именем Чилбук из Тарголовцев, а Всеволода, брата его, захватил Роман Кзич, а Святослава Ольговича — Елдечук из Вобурцевичей, а Владимира — Копти из Улашевичей. Тогда же на поле битвы Кончак поручился за свата своего Игоря, ибо тот был ранен. И из стольких людей мало кто смог по счастливой случайности спастись, невозможно было скрыться беглецам — словно крепкими стенами окружены были полками половецкими. Но наших русских мужей пятнадцать убежало, а ковуев и того меньше, а остальные в море утонули.
В то же время великый князь Всеволодичь Святославъ шелъ бяшеть в Корачевъ и сбирашеть от Вѣрхъних земль[50] вои, хотя ити на половци к Донови на все лѣто. Яко возворотися Святославъ и бысть у Новагорода Сѣверьского, и слыша о братьи своей, оже шли суть на половци, утаившеся его, и не любо бысть ему. Святослав же идяше в лодьяхъ, и яко приде к Чернигову, и во тъ годъ прибѣже Бѣловолодъ Просовичь, и повѣда Святославу бывшее о половцѣхъ. Святослав же, то слышавъ и вельми воздохнувъ, утеръ слезъ своих и рече: «О, люба моя братья, и сыновѣ и мужѣ землѣ Рускоѣ! Дал ми Богъ притомити поганыя, но не воздержавше уности отвориша ворота на Русьскую землю. Воля Господня да будеть о всемь! Да како жаль ми бяшеть на Игоря, тако нынѣ жалую болми по Игорѣ, братѣ моемь».	В это время великий князь Святослав Всеволодич отправился в Карачев и собирал в Верхних землях воинов, намереваясь на все лето идти на половцев к Дону. Когда уже на обратном пути оказался Святослав у Новгорода-Северского, то услышал о братьях своих, что пошли они втайне от него на половцев, и был он этим очень раздосадован. Святослав в то время плыл в ладьях; когда же прибыл он в Чернигов, прибежал туда Беловолод Просович и поведал Святославу о случившемся в Половецкой земле. Святослав, узнав об этом, вздохнул тяжело и сказал, утирая слезы: «О дорогая моя братия, и сыновья, и мужи земли Русской! Даровал мне Бог победу над погаными, а вы, не сдержав пыла молодости, отворили ворота на Русскую землю. Воля Господня да будет во всем! И как я только что досадовал на Игоря, так теперь оплакиваю его, брата своего».
Посем же Святославъ посла сына своего Олга и Володимера в Посемье[51]. То бо слышавше, возмятошася городи посемьские, и бысть скорбь и туга люта, якоже николиже не бывала во всемь Посемьи и в Новѣгородѣ Сѣверьскомъ и по всей волости Черниговьской: князи изымани и дружина изымана и избита. И мятяхуться, акы в мутви, городи воставахуть, и не мило бяшеть тогда комуждо свое ближнее, но мнозѣ тогда отрѣкахуся душь своих, жалующе по князихъ своихъ. Посем же посла Святославъ ко Давыдови Смоленьску, река: «Рекли бяхомъ поити на половци и лѣтовати на Донѣ, нынѣ же половци се побѣдилѣ Игоря и брата его и съ сыномъ, а поеди, брате, постерези землѣ Рускоиѣ». Давыдъ же приде по Днепру, придоша же ины помочи, и сташа у Треполя,[52] а Ярославъ в Черниговѣ, совокупивъ вои свои, стояшеть.	После этого послал Святослав сына своего Олега и Владимира в Посемье. Узнав о случившемся, пришли в смятение города посемские, и охватила их скорбь и печаль великая, какой никогда не бывало во всем Посемье, и в Новгороде-Северском, и во всей земле Черниговской: князья в плену, и дружина пленена или перебита. И метались люди в смятении, в городах брожение началось, и не милы были тогда никому свои близкие, но многие забывали и о душе своей, печалясь о своих князьях. Затем послал Святослав к Давыду в Смоленск, со словами: «Сговаривались мы пойти на половцев и лето провести на берегах Дона, а теперь половцы победили Игоря, и брата его, и сына; так приезжай же, брат, охранять землю Русскую». Давыд же приплыл по Днепру, пришли и другие на помощь, и расположились у Треполя, а Ярослав с полками своими стоял в Чернигове.
Поганыи же половци, побѣдивъше Игоря с братьею, и взяша гордость велику и скупиша всь языкъ свой на Рускую землю. И бысть у нихъ котора; молвяшеть бо Кончакъ: «Поидемъ на Киевьскую сторону, гдѣ суть избита братья наша и великый князь нашь Бонякъ»,[53] а Кза молвяшеть: «Поидем на Семь, гдѣ ся осталѣ жены и... дѣти: готовъ намъ полонъ собранъ, емлем же городы без опаса». И тако раздѣлишася надвое: Кончакъ поиде к Переяславлю и оступи городъ, и бишася ту всь день. Володимеръ же Глѣбовичь бяше князь в Переяславлѣ, бяше же дерзъ и крѣпокъ к рати, выеха из города и потче к нимъ. И по немь мало дерьзнувъ дружинѣ. И бися с ними крѣпко, и обьступиша мнозии половцѣ. Тогда прочии, видивше князя своего крѣпко бьющеся, выринушася из города и тако отьяша князя своего, язьвена сущи треми копьи. Сий же добрый Володимеръ язвенъ, труденъ въѣха во городъ свой, и утре мужественаго поту своего за очину свою... Володимеръ же слашеть ко Святославу и ко Рюрикови и ко Давыдови и рече имъ: «Се половьци у мене, а помозите ми». Святослав же слашеть ко Давыдови, а Давыдъ стояшеть у Треполя со смолняны. Смолнянѣ же почаша вѣчѣ дѣяти рекуще: «Мы пошли до Киева, даже бы была рать, билися быхом, намъ ли иноѣ рати искати, то не можемь, уже ся есмы изнемоглѣ». Святослав же съ Рюрикомъ и со инѣми помочьми влегоша во Днѣпрь противу половцемь, а Давыдъ возвратися опять со смолняны. То слышавше половци и возвратишася от Переяславя. Идущи же мимо, приступиша к Римови[54]. Римовичи же затворишася в городѣ и возлѣзъше на заборолѣ, и тако Божиимъ судомъ летѣста двѣ городници[55] с людми тако к ратнымъ. И на прочая гражаны наиде страх, да которѣи же гражанѣ выидоша изъ града и бьяхуться, ходяще по Римьскому болоту, то тѣ и избыша плѣна, а кто ся осталъ в городѣ, а тѣ вси взяти быша. Володимеръ же слашеться ко Святославу Всеволодичю и ко Рюрикови Ростиславичю, понуживая ихъ к собѣ, да быша ему помоглѣ. Он же опоздися, сжидающе Давыда с смолняны. И тако князѣ рускиѣ опоздишася и не заѣхаша ихъ. Половци же, вземше городъ Римовъ, и ополонишася полона и поидоша восвояси, князи же возворотишася в домы своя, бяхуть бо печални и со сыномъ своимъ Володимѣромъ Глѣбовичемъ, зане бяшеть раненъ велми язвами смертьными, и хрестьянъ плененыхъ от поганыхъ.[56]	Поганые же половцы, победив Игоря с братией, немало возгордились и собрали всех людей своих, чтобы пойти на Русскую землю. И начался у них спор; говорил Кончак: «Пойдем к Киеву, где была перебита братия наша и великий князь наш Боняк»; а Гза говорил: «Пойдем на Сейм, где остались их жены и дети: там для нас готовый полон собран, будем города забирать, никого не опасаясь». И так разделились надвое: Кончак пошел к Переяславлю, и окружил город, и бился там весь день. Владимир же Глебович, князь Переяславля, был храбр и силен в бою, выехал он из города и напал на врагов. И лишь немногие из дружины решились ехать за ним. Жестоко бился он и окружен был множеством половцев. Тогда остальные переяславцы, видя, как мужественно бьется их князь, выскочили из города и выручили князя своего, раненного тремя копьями. А славный воин тот, Владимир, тяжело раненный, въехал в город свой и утер мужественный пот за отчину свою. И послал Владимир к Святославу, и к Рюрику, и к Давыду, с просьбой: «Половцы у меня, так помогите же мне». Святослав послал к Давыду, а Давыд стоял у Треполя со смоленцами. Смоленцы же начали совещаться и сказали так: «Мы пришли к Киеву, если бы была там сеча — сражались бы, но зачем нам другой битвы искать, не можем — устали уже». А Святослав с Рюриком и с другими, пришедшими на помощь, пошли по Днепру против половцев, Давыд же возвратился назад со своими смоленцами. Половцы, услышав об этом, отступили от Переяславля. И, проходя мимо Римова, осадили его. Римовичи затворились в городе и заполнили все заборолы, и, по воле Божьей, рухнули две городницы с людьми на сторону осаждавших. На остальных же горожан напал страх, кто из них выбежал из города и бился в болотах подле Римова, те и спаслись от плена, а кто остался в городе — тех всех пленили. Владимир же посылал к Святославу Всеволодичу и к Рюрику Ростиславичу, призывая их к себе на помощь. Но Святослав задержался, ожидая Давыда со смоленцами. И так опоздали князья русские и не догнали половцев. Половцы же, взяв город Римов, с полоном отправились восвояси, а князья вернулись по своим домам, печалясь о сыне своем Владимире Глебовиче, получившем тяжелые смертельные раны, и о христианах, взятых в полон погаными.
И се Богъ, казня ны грѣхъ ради нашихъ, наведе на ны поганыя, не аки милуя ихъ, но насъ казня и обращая ны к покаянью, да быхом ся востягнули от злыхъ своих дѣлъ. И симъ казнить ны нахожениемь поганыхъ, да некли смирившеся воспомянемься от злаго пути.	Вот так Бог, казня нас за грехи наши, привел на нас поганых не для того, чтобы порадовать их, а нас наказывая и призывая к покаянию, чтобы мы отрешились от своих дурных деяний. И наказывает нас набегами поганых, чтобы мы, смирившись, опомнились и сошли с пагубного своего пути.
А друзии половцѣ идоша по оной сторонѣ к Путивлю. Кза у... силахъ тяжькихъ и повоевавши волости их и села ихъ пожгоша. Пожгоша же и острогъ у Путивля и возвратишася восвояси.	А иные половцы двинулись по другой стороне Сулы к Путивлю. Гза с большим войском разорил окрестности его и села пожег. Сожгли половцы и острог у Путивля и вернулись восвояси.
Игорь же Святославличь тотъ годъ бяшеть в Половцехъ, и глаголаше: «Азъ по достоянью моему восприяхъ побѣду от повеления твоего, владыко Господи, а не поганьская дерзость обломи силу рабъ твоихъ. Не жаль ми есть за свою злобу прияти нужьная вся, ихже есмь приялъ азъ». Половци же, аки стыдящеся воевъдъства его, и не творяхуть ему, но приставиша к нему сторожовъ 15 от сыновъ своихъ, а господичичевъ пять, то тѣхъ всихъ 20, но волю ему даяхуть: гдѣ хочеть, ту ѣздяшеть и ястрябомъ ловяшеть, а своих слугъ съ 5 и съ 6 с нимь ѣздяшеть. Сторожевѣ же тѣ слушахуть его и чьстяхуть его, и гдѣ послашеть кого — бесъ пря творяхуть повелѣное им. Попа же бяшеть привелъ из Руси к собѣ со святою службою,[57] не вѣдяшеть бо Божия промысла, но творяшеться тамо и долъго быти. Но избави и́ Господь за молитву хрестьяньску, имже мнозѣ печаловахуться и проливахуть же слезы своя за него.	Игорь же Святославич в то время находился у половцев, и говорил он постоянно: «Я по делам своим заслужил поражение и по воле твоей, владыка Господь мой, а не доблесть поганых сломила силу рабов твоих. Не стою я жалости, ибо за злодеяния свои обрек себя на несчастия, которые я и испытал». Половцы же, словно стыдясь доблести его, не чинили ему никакого зла, но приставили к нему пятнадцать стражей из числа своих соплеменников и пять сыновей людей именитых, и всего их было двадцать, но не ограничивали его свободы: куда хотел, туда ездил и с ястребом охотился, а своих слуг пять или шесть также ездило с ним. Те стражи его слушались и почитали, а если посылал он кого-либо куда-нибудь, то беспрекословно исполняли его желания. И попа привел из Руси к себе для святой службы, не зная еще Божественного промысла, но рассчитывая, что еще долго там пробудет. Однако избавил его Господь по молитвам христиан, ибо многие печалились о нем и проливали слезы.
Будущю же ему в половцехъ, тамо... налѣзеся мужь, родомъ половчинъ, именемь Лаворъ.[58] И тотъ приимъ мысль благу и рече: «Поиду с тобою в Русь». Игорь же исперва не имяшеть ему вѣры, но держаше мысль высоку своея уности, мышляшеть бо, емше мужь, и бѣжати в Русь,[59] молвяшеть бо: «Азъ славы дѣля не бѣжахъ тогда от дружины, и нынѣ неславнымъ путемь не имамъ поити». С нимъ бо бяшеть тысячского сынъ и конюший его, и та нудяста и глаголюща: «Поиди, княже, в землю Рускую, аще восхощет Богь — избавить тя». И не угодися ему время таково, какого же искашеть. Но якоже преже рекохомъ, возвратишася от Переяславля половци, и рекоша Игореви думци его: «Мысль высоку и не угодну Господеви имѣешь в собѣ: ты ищеши няти мужа и бѣжати с нимъ, а о семь чему не разгадаешь, оже приедуть половци с войны, а се слышахомъ, оже избити им князя и васъ и всю русь. Да не будеть славы тобѣ, ни живота». Князь же Игорь приимъ во сердцѣ свѣтъ ихъ, уполошася приѣзда ихъ, и возиска бѣжати.	Когда же был он у половцев, то нашелся там некий муж, родом половец, по имени Лавр. И пришла тому мысль благая, и сказал он Игорю: «Пойду с тобою в Русь». Игорь же сначала не поверил ему, к тому же лелеял он дерзкую надежду, как это свойственно юности, замышляя бежать в Русь вместе со своими мужами, и говорил: «Я, страшась бесчестия, не бросил тогда дружину свою, и теперь не могу бежать бесславным путем». С Игорем же были сын тысяцкого и конюший его, и те убеждали князя, говоря: «Беги, князь, в землю Русскую, если будет на то Божья воля — спасешься». Но все не находилось удобного времени, какого он ждал. Однако, как говорили мы прежде, возвратились половцы из-под Переяславля, и сказали Игорю советчики его: «Не угоден Богу твой дерзкий замысел: ты ищешь случая бежать вместе с мужами своими, а что же об этом не подумаешь: вот приедут половцы из похода, и, как слышали мы, собираются они перебить и тебя, князь, и мужей твоих, и всех русских. И не будет тебе ни славы, ни самой жизни». Запал князю Игорю в сердце совет их; испугавшись возвращения половцев, решил он бежать.
Не бяшеть бо ему лзѣ бежати в день и в нощь, имъже сторожевѣ стрежахуть его, но токмо и веремя таково обрѣтѣ в заходъ солнца. И посла Игорь к Лаврови конюшого своего, река ему: «Перееди на ону сторону Тора[60] с конемь поводнымъ», бяшеть бо свѣчалъ с Лавромъ бѣжати в Русь. В то же время половци напилися бяхуть кумыза. А и бы при вечерѣ пришедъ конюший повѣда князю своему Игореви, яко ждеть его Лаворъ. Се же вставъ, ужасенъ и трепетенъ, и поклонися образу Божию и кресту честному, глаголя: «Господи сердцевидче! Аще спасеши мя, Владыко, ты недостойнаго!» И возмя на ся крестъ и икону, и подоима стѣну, и лѣзе вонъ, сторожем же его играющимъ и веселящимся, а князя творяхуть спяща. Сий же пришедъ ко рѣцѣ, и перебредъ, и всѣде на конь, и тако поидоста сквозѣ вежа.	Но нельзя ему было бежать ни днем, ни ночью, потому что стерегли его стражи, но показалось ему самым удобным время на заходе солнца. И послал Игорь к Лавру конюшего своего, веля передать: «Переезжай на тот берег Тора с конем поводным», ибо решился он бежать с Лавром в Русь. Половцы же в это время напились кумыса. Когда стало смеркаться, пришел конюший и доложил князю своему Игорю, что ждет его Лавр. Встал Игорь в страхе и в смятении, поклонился образу Божьему и кресту честному, говоря: «Господи, в сердцах читающий! О, если бы ты спас меня, Владыка, недостойного!» И, взяв с собой крест и икону, поднял стену шатра и вылез из него, а стражи тем временем забавлялись и веселились, думая, что князь спит. Он же, подойдя к реке, перебрался на другой берег, сел на коня, и так поехали они с Лавром через вежи.
