СЛОВО И СКАЗАНИЕ О ЗВЕРЕХ И ПТАХАХ	СЛОВО И СКАЗАНИЕ О ЗВЕРЯХ И ПТИЦАХ
О орлѣ. Орелъ живет лѣт сто. И ростеть конець носа его. И ослепнете очи его. Да не видит и не может ловити. Да возлетит на высоту, свержет себе на камень и уломиться конецъ носа его и куплеться во златѣ езерѣ. И сядет прямо солнцю. Да егда ся согрѣет, спадут чешюи с него и пакы птенець будет.	Об орле. Орел живет лет сто. И растет кончик клюва его. И ослепнут глаза его, так что он не видит и не может охотиться. Тогда он взлетает в высоту, бросается на утес, и отломится кончик клюва его; и искупается в золотом озере. А потом садится на солнцепек. Когда же он согреется, с него сходит чешуя, и он опять становится птенцом.
Тако и ты, человѣче, егда много согрѣшиши, взыди на высоту, сиречь в вѣру и плачися предложение грѣха и измыйся слезами своими. Согрѣйся въ церкви и сверзи с себѣ грѣхи.	Так и ты, человек, если много нагрешишь, возвысься, то есть обратись к вере, и оплакивай проявление греха, и умойся слезами своими. Отогрейся в церкви и сбрось с себя грехи.
О финиксѣ. Финиксъ красна птаха есть паче всѣх и павы краснѣй. Пава бо ни златом, ни сребром образъ имѣта, а финиксъ уакинфовъ[7] и камениа многоцѣнна. Вѣнець носит на главѣ и сапогы на ногу, якоже царь. Есть же близъ Индѣя, близъ Солнечна града.[8] Лежить же лѣт 500 на кедрех ливаньских безъ брашна. Питаеть же ся от Святаго Духа. И по пяти сотъ лѣт исполняеть крылѣ свои от добрых вонь. И клепает ереи Солнечнаго града и идет птаха та ко иерееви и входит во церковь. И сядет на степени олтарном[9] иерей со птахою. И будет все попелъ. И заутра прииде ерей и обрящет птицю птенець младъ бывшь. И по двою дньма обрящеть ю совершену, якоже и преже была. И целует ю иерей и пакы отиде на свое мѣсто.	О фениксе. Феникс самая красивая птица из всех, и красивее павлина. У павлина в обличье ни золота, ни серебра, а у феникса — иакинфы и многоценные камни. Голова его украшена венцом, а на ногах — сапоги, как у царя. Обитает же феникс близ Индии, около Солнечного города. Возлежит он лет пятьсот на кедрах ливанских без еды. Питается же от Святого Духа. И по пятьсот лет наполняет крылья свои благовониями. И бьет в било иерей Солнечного города, и та птица идет к иерею и входит в церковь. Иерей же садится на солее с птицей. И превращается птица в пепел. А назавтра приходит иерей и находит птицу в виде малого птенца. А через два дня он находит ее зрелой, какой была раньше. И целует ее иерей, а она опять уходит на свое место.
Да како неразумнии жидовѣ не яша вѣры тридневному воскресению Господа нашего Иисус Христа. Яко сию птицу самъ оживляеть, да какъ самъ себѣ не востави. Сего дѣля пророкъ Давидъ глаголеть: «Праведникъ яко финиксъ процвѣтеть, яко кедръ ливаньский умножится, насаждение в дому Господни».[10]	А неразумные иудеи не верят в тридневное воскресение Господа нашего Иисуса Христа. И что эту птицу он сам оживляет и будто сам себя не воскрешает. Сего ради пророк Давид говорит: «Праведник процветает, как феникс, как кедр ливанский, умножится насаждение в доме Господнем».
О иряби. Ирябь много яець пологает на гнѣзде своем. Любива же и чадом своим. Да идет на чюжда гнѣзда и крадет яйца ихъ. Да ся умножать чада ея.	О куропатке. Куропатка кладет много яиц в гнезде своем. Она весьма чадолюбива. И даже идет к чужим гнездам и таскает оттуда яйца. Только чтобы увеличить число птенцов своих.
Тако и ты, человѣче, елико богатьство сбираеши не имаши сыти, но еси на все несытъ.	Так и ты, человек: когда собираешь богатство, не можешь насытиться, и все тебе мало.
О горлици. Горлица мужелюбица птах есть. Да аще бо погибнет единъ ею, отходит другаа в пустыню и сядет на усохле древѣ, плачющись подруга своего. И к тому не спряжеться сь имъ николиже.	О горлице. Горлица — птица-однолюб. Если погибнет одна из четы, то другая улетает в пустыню, садится на сухом дереве и оплакивает супруга своего. И уже не сочетается больше ни с кем другим никогда.
Тако и ты, человѣче, отлучился еси жены своея к тому не приле-пися к ней.	Так и ты, человек, если разлучился с женой своей, то не прилепись к другой.
О неясыти. Неясытъ чадолюбива птах есть. Проклеваеть бо жена ребра птенцем своимъ. А онъ приходит от кормли своей. Проклюет ребра своя, да исходящи кровь оживляет птенца.	О пеликане. Пеликан — чадолюбивая птица. Самка проклевывает ребра птенцам своим. А самец прилетает с кормом, раздирает клювом грудь свою и вытекшей кровью оживляет птенца.
Тако и Господь наш, от жидовъ копием ребра его прободоша. Изыиде кровь и вода. И оживи вселеную, сиречь умершаа.	Так и Господь наш. Его ребра прокололи иудеи копьем. Выступили кровь и вода. И оживил он вселенную, то есть умерших.
Сего дѣля и рече пророкъ яко уподобихся неясыти пустыннѣй.[11]	Сего ради и говорит пророк, что уподобился пеликану в пустыне.
О ластовици. Ластовица в пустыни гнѣздо имат на распутии. Егда же ослепнет едино от птенець ея, идет в пустыню и принесет былие и положит на очию его. И прозрит.	О ласточке. Ласточкино гнездо в пустыне на распутье. Когда ослепнет один из птенцов ее, она отправляется в пустыню, и приносит травы, и кладет их на очи его. И он прозревает.
Тако и ты.человѣче, егда съгрѣшиши, иди к молитвѣ и приими покоание и единосущныя ради Троица избавишися грѣха того.	Так и ты, человек, когда согрешишь, то обратись к молитве и прими покаяние, и ради единосущной Троицы ты избавишься от того греха.
О вдодѣ. Овдод творит гнѣздо свое и воспитает птенца своя. И посемъ облинают сами и будут нази. Да исходит единъ от птенець их и приносит пищу родителемъ своим, дондеже опернатеють и возлетита оба.	Об удоде. Удод свивает гнездо свое и выкармливает птенцов своих. А затем птицы линяют и делаются нагими. Тогда выходит один из их птенцов и приносит пищу родителям своим, пока они не оперятся и не взлетят оба.
Тако и ты, человѣче. Егда ся состарееши, не отчай себѣ, но шед к церкви помолися и обрящеши милость.	Так и ты, человек. Когда состаришься, не отчаивайся, но, идя в церковь, помолись и обретешь милость.
О дятлѣ. Дятелъ пестра птица есть, живет же в горах и ходит на кедры и клюет носом своим. Да гдѣ налезѣть мякко древо, ту творит гнѣздо свое.	О дятле. Дятел — пестрая птица, живет она в горах, садится на кедры и стучит своим клювом. А где найдет мягкое дерево, там делает себе гнездо.
Тако и дьяволъ бореться со человѣкы. Да в нем же налезет слабость и небрежение молитвы, внидет в онь и вогнѣздяться. В нем же ли обрящет бодрость; бежит от него.	Так и дьявол борется с людьми. И когда в ком-то найдет слабость и пренебрежение к молитвам, то войдет в него и угнездится. Если же в другом найдет крепость, то бежит от него.
О лисици. Лисица егда будет голодна, идеть на мѣсто солнечно и ляжет на присолньи и держит душю свою надмѣться. Видѣвше же ее птици, мняще мьртву, приидут да едят. Да егда ся приближат к ней воскочивши и имет от них и есть. И тако ся кормит[12].	О лисице. Лисица, когда будет голодна, идет на солнечное место, и ложится на солнцепеке, и сдерживает свое дыхание. Увидев это, птицы, принимая ее за мертвую, слетаются, чтобы клевать ее. Когда же они приблизятся к ней, она вскакивает, хватает какую-нибудь из них и съедает. Так и кормится.
О жене и о мужи. Есть жена на западе, а мужь на востоцѣ. Да совокупляетася оба. И изьес мужа своего жена главу и зачнет и родит двое. Да яко же родит, ту изьедят своя чада. И абие умрет. И отидет мужь на востокъ, а жена на западъ.	О жене и о муже. Жена на западе, а муж на востоке. И вот они сходятся, и жена съедает голову своего мужа, и зачнет, и родит двойню. А как родит, сразу тут съедает своих детей. И тотчас умирает. И уходит муж на восток, а жена на запад.
Тако и ты, человѣче, егда ти найдет житейскаа напасть, теци въ церковь и прослезися и возопи. И отступить от тебѣ неприазнъ.	Так и ты, человек. Когда настигнет тебя житейская беда, устремись в церковь, прослезись и плачь. И отступит от тебя неудача.
О Горгони. Въргони[13] обличие имат жены красны и блудница. Владь же главы своеа суть змиа. А видение ея смерть. Играет же и смѣеться во время свое. Живет же в горах западных. Да егда приидут днье ея, да ся гонит. Станеть и начнет звать. Наченши от лва и прочаа звѣри, от человѣка до скотины и птиць и змиа, глаголющи: «Идете ко мнѣ». Да елико их услышат глас ее, идуть к ней. И видевше ю, измирают.	О Горгоне. У Горгоны обличие красивой женщины и блудницы. Волосы же на ее голове — змеи. А взгляд ее — смерть. Играет она и все время смеется. Живет она в горах на западе. И когда приходит ее брачная пора, встанет она и начнет звать. Начиная от льва и прочих зверей, от человека до домашних животных и птиц и змей, зовет, говоря: «Идите ко мне!» Как только они услышат ее зов, то идут к ней. А увидев ее, умирают.
Тако бо разумѣет всякъ языкъ всем звѣрем, которым же образомъ уловляеть ю волхвъ, разумѣет хитростию своею от звѣздъ день, в ня же ся гонит. И поидеть на мѣсто ея, волхвуя отдалеча. Она же начнет звати, наченши от лва и прочая звѣри.	И знает она язык всех зверей. Каким же образом одолевает ее волхв: он своей мудростью по звездам узнает день ее брачной поры. И идет на место ее, волхвуя издалеча. Она станет звать, начиная от льва и всех прочих зверей.
Егда же доидет языка волхвова, отзовется ей, глаголя: «Ископай яму на мѣсте и вложи в ню главу свою, да ее не вижу и умру. И прииду и лягу с тобою». И сотворит тако.	Когда же дойдет до языка волхвов, он ей отзовется так: «Выкопай на этом месте яму и вложи в нее свою голову, чтобы я не видел ее и не умер. Тогда я приду и лягу с тобой». И она сделает так.
Тогда шедше волховъ посечеть ю за ся зря и не видить главы ея, да не умреть. И вложит ю во сосудину. Да егда узрит змиа или человѣкъ или звѣрь, кажеть имъ главу Горгонину и абие оцепенѣють и Александръ[14] бо имяше ю и одоляше языком всем. И ты, человѣче, имѣй смыслъ ко Господу и удобь одолееши противным силамъ.	Тогда волхв, придя, убьет ее, не глядя на нее и не видя головы ее, поэтому и не умирает. И прячет голову в сосуд. А если он увидит змею или человека, или зверя, то покажет им голову Горгоны, и тотчас они оцепенеют; и Александр ведь имел эту голову и победил все народы. И ты, человек, имей уважение к Господу и непременно одолеешь вражьи силы.
О змии. Змиа егда поидет пити води, ядъ свой въ гнѣздѣ своем оставляет. Да не последи пьющиа уморит.	О змее. Когда змея идет пить воду, то яд свой в гнезде своем оставляет. Чтобы не отравить пьющих после нее.
И ты, человѣче, егда идеши во церковъ святую, всяку злобу остави домаси.	И ты, человек, когда идешь в церковь святую, всякую злобу оставь дома.
И пакы, егда состареет змиа и не видит, шедши влезеть в камену расселину узку и поститься днии 40 и смирит себѣ и излинет и пакы млада будет.	И еще: когда состарится змея и не видит, влезает в узкую расселину в скале, и постится сорок дней, и затаится, и полиняет, и опять станет молодой.
И ты, человѣче, постился еси 40 день, да совлачися от льсти дьяволя и облечися в новый, обновляющийся во Христа.	И ты, человек, постился сорок дней, чтобы сбросить с себя лесть дьявола и принять новый облик, обновляющийся во Христе.
И пакы, егда узрит человѣка змиа, бѣжить от него. Аще ли не узрит его совлечена, пришедши бореться с ним. Аще ли есть оболоченъ вѣрою, бежит от него.	И еще: когда змея видит одетого человека, то убегает от него. Если она увидит его раздетым, то нападает и борется с ним. Если же он защищен верою, то она бежит от него.
Сего ради Господь рече: «Бывайте умни, яко змиа и цѣли яко голуби».[15]	Сего ради Господь говорил: «Будьте мудры, как змея, и чисты, как голуби».
О голуби. Голубъ славно есть во птицах. Разумѣй же о бѣлей и о чернѣй голубици, како ходят белыи и пестрыа и черныа и чермьныя и кормят птенци свои во сыне голубичи. Да не могут о собѣ возлетати, дондеже обыйдет чермнаа голубица и подаст имъ пищу не возлетять.	О голубе. Голубь — славнейшая из всех птиц. Различай же белую и черную голубку, как ходят белые, и пестрые, и черные, и красные и кормят птенцов своих как сына по-голубиному. Не могут они сами возлететь,— пока красная голубка не появится и не подаст им пищу, они не возлетят.
Тако и Спасово пришествие рѣша пророци, Моиси и Аронъ, Самуилъ, Данилъ, Малахиа, Исайя, Иеремиа и прочии пророци о Иисусѣ. И не могоша урѣснити своего слова, дондеже прииде черьмнаа голубица, Иоан Креститель, то бо крести Иисуса, глаголя: «Се агнець Божий, воземляй грѣхы всего мира»[16]. И ты, человѣче, не вдаляй себѣ от церкви; да не вуслышиши: «Не вѣде васъ».	Так и Спасово пришествие предсказали пророки Моисей и Аарон, Самуил, Даниил, Малахия, Исайи, Иеремия и прочие пророки о Иисусе. И не могли удостоверить свое слово, пока не пришла красная голубка — Иоанн Креститель; он же и крестил Иисуса, говоря: «Это агнец Божий, принявший грехи всего мира». И ты, человек, не отдаляйся от церкви, чтобы не услышать: «Не знаю вас».
О ехиднѣ. Ехидна есть, от полу и выше имать образъ человѣчь. А полъ ея и ниже имат образ коркодилъ. Ходита же и мужь и жена оба накупь, Да егда ся разгорит жена и хощется гонити, идеть к мужеви, изьесть лоно его. И зачнет и абие умрет муж ея. Да егда приближать родит жена, изьедят чрева ея чада своя. И умрет и та. И потом изыидут отцюубийци и материубийци, якоже и жидовѣ отцуубийци и материубийци.	О ехидне. Ехидна от пояса и выше имеет человеческий образ. А от пояса и ниже — образ крокодила.Идут же и самец и самка на соитие. И когда распалится самка и хочет сойтись с самцом, она идет к самцу, съедает лоно его. И зачинает, и тотчас умрет самец. А когда приблизятся роды у самки, съедают чрево ее детеныши. И она умирает. И потом выходят отцеубийцы и матереубийцы, как и иудеи отцеубийцы и матереубийцы.
Убиша отца, сиречь Христа, убиша матерь, сиречь церковь. Сего ради Иоан поноси ими, глаголя: «Чада ехиднова, кто показа вам бежати от грядущаго гнѣва?»[17]	Они убили отца, то есть Христа, убили мать, то есть церковь. Того ради Иоанн поносил их, говоря: «Порождения ехиднины! кто велел вам бежать от грядущего гнева?»
О стерце. Стеркъ чадолюбива птица есть. Да егда мужь принесет кормлю, блюдет жена его птенца. И измѣняета кождо их корьмлю. И блюдета гнѣздо свое.	Об аисте. Аист — чадолюбивая птица. И когда самец приносит корм, то сторожит самка его птенца. И по очереди кормят птенцов. И сторожат гнездо свое.
Тако и ты, человѣче, ни вечеръ, ни за утра ушибайся молитвы, ни церкви. Николи же ти удолеет дьяволъ.	Так и ты, человек, ни вечером, ни утром не забывай молиться, не забывай и церкви. И никогда не одолеет тебя дьявол.
О утропѣ. Утропъ имать от пулу и до выше образ коневъ, а полъ его и до ниже образъ рыбий китовъ. Ходить же в мори и есть воевода всѣм рыбам. На странѣ же крайнѣй земли стоить рыба злата и не приходит от мѣста своего, да погрѣшится ловцем, ходя ко утропу. Да то акы воевода сый рыбам, идет на крайную землю ко златой той рыбѣ. Оближеть ю и того пакы облизают вси мужи рыбии. И отходят на своа мѣста мужи прежде, а жены послѣди. И помѣтают сѣмя мужи, а жены идучи послѣди, беруть й и будут чреваты. И за седми деньми раждають. Егда же ходят на крайны земли, ставят рыбари мрежа своя на пропутие рыбамъ. Понеже будут чреваты, потоле не влавляют их.	О водном коне. От пояса и выше имеет образ коня, а ниже пояса образ рыбы кита. Плавает же в море и воевода над всеми рыбами. На окраинной же стороне земли стоит золотая рыба и не сходит со своего места, чтобы не попасться рыбакам на пути к водному коню. А он как воевода над рыбами идет на окраину земли к той золотой рыбе. Оближет ее, и затем ее облизывают все рыбьи самцы. И уходят на свои места сначала самцы, а потом самки. И самцы мечут семя, а самки, идя за ними, принимают его и становятся чреваты. И через семь дней родят. Когда же они ходят на окраинные земли, то рыбаки ставят сети свои на пути рыб. Пока же будут чреваты, их не ловят.
Утроп же сказаемо есть Моисий начал пророчества. Море же весь миръ, а рыбы человѣци. Златаа рыба сказаеться вход правовѣрию. Ходят бо прежде пророци и облизаються Святаго Духа. Лижуще бо человѣци от учениа пророчества, последующе берут духовную благодать. Рыбари же суть бѣси. Мрежа же есть пагуба и льстиваа вождеваа, иже не идоша во слѣд утропа, сиречь Моисеова закона, но отдалишась и впадоша во мрежа рыбарь тѣх и погыбоша. А шедших во слѣд пророкъ ни сѣть, ни мрежа не постиже их.	Водный конь толкуется: Моисей начал пророчества. Море же — весь мир, а рыбы — люди. Золотая рыба толкуется как вход-правоверия. Идут же прежде пророки и приобщаются к Святому Духу. Люди, приобщающиеся к учению пророчества, от них получают духовную благодать. Рыбаки же — это бесы. Сеть же — это пагуба и льстивые вожделения,— если не следуют водному коню, то есть Моисееву закону, тогда отдаляются и попадают в сети тех рыбаков и погибают. А идущих за пророками не настигнет ни сеть, ни невод.
О стерце и о прочих птахахъ. Стеркъ добра птица есть. Егда бо настанет весна, сберуться вси накупь со иными прочими птицами, со гусми и утками и всякъ птиць род, от Египта и Лувиа и Срацинъ[18]. И возлетять вси и приидут во Лукию на реку нарицаемую Ксанфонъ[19] и составят тамо брань со вранми и вронами, и галицами, и гиппосы, и елико плотоядець есть.	Об аисте и о прочих птицах. Аист — добрая птица. Когда настанет весна, соберутся все вместе с другими прочими птицами, с гусями и утками и со всякими птичьими родами, из Египта, и Ливии, и из Сарацин. И взлетают все, и прибудут в Лукию на реку, называемую Ксанфон, и вступают там в бой с воронами и воронами, и галками, и коршунами, и сколько хищников есть.
Достоить и тѣмъ вѣдущим врѣмя обрѣстися тамо всѣмъ. Да неясыче воинъство и жеравино и прочих водных птиць и житоядець на единой странѣ рѣкы той исполчится по бѣрегу. А враново и прочих всех плотоядець птиць на друзѣм берѣзѣ рѣкы.	Следует и тем знающим время находиться там всем. Да пеликаново воинство, и журавлиное, и прочих водных птиц и травоядных выстроится по берегу на одной стороне реки. А вороново и всех прочих хищных птиц — на другом берегу реки.
Строять же ся, бо шесть месяць соберуться на брань. Вѣдят бо и дьни, в ня же ся хотят бити. Да есть слышати до небеси голву и кровь тѣкущу во брани бьюшимся птицам и отпадению пѣрию бес числа.	Строятся же шесть месяцев и соберутся на бой. Знают же и дни, в которые хотят биться. Да слышен до небес шум, и течет кровь птиц, дерущихся в бою, и выпадают перья без числа.
Тѣм же и лукиане вси перины имѣют на постѣлях своих от них. По расходу же брани той видят враны уязвлены и прочих плотоядець птиць множество такоже и стерково. И неясытиць немало и прочих птиць. Многы же от нихъ во брани той падають мьртвы.	Оттого-то лукиане все имеют перины на постелях своих. По окончании же боя того видят ворон раненых и прочих хищных птиц множество, а также и аистов. И пеликанов немало, и других птиц. Многие же из них в бою том падают замертво.
Брань же ихъ межи собою творять, знамение являет от обоих побѣда всѣм человѣком. Аще бо стерково воинъство побѣдит, да будет гобина пшени-ца и прочих всъх семенъ. Аще ли враново побѣдит, да будет множество овець и говядъ и инехъ четвероногъ.	Бой же их между собой и победа одной из сторон являет собой знамение всем людям. Если аистово воинство победит, то будет изобилие пшеницы и прочих всех злаков. Если же вороново воинство победит, то будет множество овец, и коров, и других четвероногих.
Стеркови же имѣють и другое естество изрядно. Егда бо ся состаре-ють родители их и не могут летаги, чада их оба полы дръжаще и под пазуха-ми преносят от мѣста на мѣсто. Тако ся кормят. Аще ли не видети начнут, да влагають имъ кормлю во уста чада своя. Да глаголеться от них мъзда и воздание.	Аисты же имеют и другое примечательное свойство. Когда состарятся их родители и не могут уже летать, тогда их дети, поддерживая с обеих сторон и под пазухи, переносят их с места на место. Так и кормятся. А если начнут слепнуть, то их дети влагают корм им в рот. И таковы им награда и воздаяние.
