МЕСЯЦЯ ТОГО ЖЕ ВЪ 14	ТОГО ЖЕ МЕСЯЦА В ЧЕТЫРНАДЦАТЫЙ ДЕНЬ
Крьсте преславьный! Тя хвалять чинове англьсции, въпьюще, дньсь възносима Божиемь велѣниемь. Възносиши бо вся ядью оступльша и въ съмьрть въпадъшася.[6] Тѣмьже тя сьрдьци и устьнами вѣрьнии лобызаемъ, съвящение приемлюще: «Възносите, — въпьюще, — Христа, прѣблагого Господа, и тому кланяйтеся — Божию подъножию!»	О преславный крест! Тебя, ныне воздвигаемый по божественному велению, хвалят ангельские чины, вопия. Ибо ты возносишь всех, отступивших через греховное ядение и впавших в смерть. Поэтому мы, верные, лобызаем тебя сердцами и устами, принимая освящение и вопия: «Возносите Христа, преблагого Господа, и поклоняйтесь <Кресту> — Божию подножию!»
Ина стихира, глас 8, подобен: О преславное чюдо. О преславьное чюдо! Животворяй садъ, крьстъ пресвятый, на высоту въздвижемъ, являеться дньсь. Славословестять и´ вьси коньци земля. Прогоними же бывають вси дѣмони. О, Божие дарование земльныимъ даровася! Имьже, Христе, спаси душа наша, яко милостивъ.	Ина стихира, глас восьмой, подобен: О преславное чудо. О преславное чудо! Животворящий сад, пресвятой крест, воздвигаемый на высоту, является ныне. Славословят его все концы земли. Изгоняются все демоны. О Божие дарование, дарованное земным! Им, Христос, спаси души наши, ибо ты милостив.
О преславьное чюдо! Широта крьста и дългота небесьмъ равьна есть. И Божиею благодатию свящаеть коньца земли. Симь бо языци варварьсции побѣждени бывають, симь бо вѣра утвьржаеться и Божия лествица, еюже въсходимъ на небеса, възносяще пѣсньми Христа Бога.	О преславное чудо! Широта креста и долгота равна небесам. И Божественною благодатью освящаются концы земли. Ибо им побеждаются варварские народы, ибо им утверждается вера — божественная лестница, по которой восходим на небеса, вознося в песнях Христа Бога.
О преславное чюдо! Гьрзнъ испълнь живота, понесый Вышняго, отъ земля възимаяся, — крьстъ въздвизаеться дньсь, имьже къ Богу приведѣни быхомъ вьси и пожьрта бысть до коньца съмьрть. О древо чистое, имьже въсприяхомъ въ Едемѣ бесъмьртную пищю, Христа славяще.	О преславное чудо! Гроздь, исполненная жизни, поднявшая Всевышнего, взимается с земли — воздвигается ныне крест, которым мы все были приведены к Богу и которым была пожрана окончательно смерть. О древо чистое, чрез которое мы восприняли в Эдеме бессмертную пищу, славя Христа.
По прокимне глас 8, самогласен. Егоже древле Моиси, прообразивъ собою, Амалика, низъложивъ, побѣди,[7] и Давидъ пѣвьць подножью твоему, въпья, кланятися повѣлѣвааше,[8] чьстьному кресту твоему, Христе Боже, дньсь грѣшьнии кланяемъся. Устьнами недостойнами, тя, извольшааго пригвоздитися на немь, и, въспоюще, молимъ ти ся: Господи, съ разбойникъмъ царьствию твоему съподоби насъ.[9]	По прокимне, глас восьмой, самогласен. Тому, которого древле Моисей прообразил собой и победил, низложив, Амалика, и подножию которого Давид-певец повелел поклоняться, мы, грешные, поклоняемся ныне, Христе Боже, честному кресту твоему. Воспевая недостойными устами тебя, изволившего пригвоздиться на нем, молимся тебе: Господи, с разбойником царствия твоего сподоби нас.
Стих. Възносите Господа Бога нашего. Глас пророка твоего Мосеа. Боже, испълнися, глаголющий: «Узьрите животъ нашь, висящь прямо очима вашима».[10] Дьньсь крьстъ въздвизаеться и миръ отъ льсти свободися. Дньсь Христово въскрьсение обнавляеться и коньци земля радуються, въ бубънѣхъ давыдьскы пѣснь ти приносяща и глаголюща: съдѣлалъ еси спасение посрѣдѣ земля,[11] Христе Боже, распятие и въскрьсение, имъже насъ спасе, благый Человеколюбьче, вьсесильне Господи, слава тебе.	Стих. Возносите Господа Бога нашего. Слово пророка твоего Моисея исполнилось, Боже, возвещавшее: «Увидите жизнь нашу, висящую перед глазами вашими». Ныне крест воздвигается и мир от лжи освободился. Ныне Христово воскресение обновляется и концы земли радуются, принося тебе песнь с бубнами, подобно Давиду, и говоря: совершил ты спасение посреди земли, Христе Боже, — распятие и воскресение, которым ты спас нас, благой Человеколюбец, всесильный Господь, слава тебе!
Стихира. Възнесыйся на небеса. На «слава и на ныне», глас 6. Четвероконьчьный миръ дньсь освящаеться, четвероконьчьну възвышаему твоему крьсту, Христе Боже нашь. И рогъ вѣрьнааго съвъзвышаеться кънязя нашего, на томь вражиемь съкрушенъмь рогъмь. Велий еси, Господи, и дивьнъ въ дѣлѣхъ твоихъ, слава тобѣ.	Стихира. Вознесшийся на небеса. На «Слава и ныне», глас шестой. Четвероконечный мир ныне освящается, когда возносится твой четвероконечный крест, Христе Боже наш. И рог верного князя нашего совозвышается, когда на нем сокрушены рога вражии. Велик ты, Господи, и дивен в делах твоих, слава тебе!
Заутреня	Заутреня
На стих<овне>, глас 8. Възнесеся на крьстъ, Христе Боже, и спасе человечьскыи родъ. Славимъ страсти твоя.	На стиховне, глас восьмой. Вознесся ты на крест, Христе Боже, и спас человеческий род. Славим страдания твои.
Иже въ Едеме раи древле древо сьнѣдьное прозяблъ есть посрѣдѣ садовия,[12] цьркы же твоя, Христе, крьстъ твои процвьтѣ, источьшаго вьсему миру жизнъ. Нъ ово умьртви сънѣдью ядъша Адама,[13] ово же животъ сътвори вѣрою спасъшася разбойника, егоже отъданью причастьникы яви ны, Христе Боже, страстью своею раздреши иже на насъ гневъ вражий и съподоби ны цьсрьствию твоему, Господи.	Как прежде в райском Эдеме произросло дерево плодовое посреди растений, так церковь твоя, Христе, дала цвет кресту, источающему всему миру жизнь. Но то умертвило вкусившего Адама, это же оживотворило спасшегося верою разбойника, к награде которого сопричти нас, Христе Боже, страданием своим освободи нас от гнева вражьего и сподоби нас царствия твоего, Господи.
Мосеова палица чьстьныи крьстъ твои пробразоваше, Спасе нашь, тѣмь бо спасаеши яко из глубины морьскыя люди своя,[14] Человеколюбьче.	Жезл Моисея прообразовал крест твой, Спаситель наш, ибо им спасаешь словно из глубины морской народ свой, Человеколюбец.
Глас 6. Крьстѣ Христовъ! Крьстьяномъ упование, заблужьшиимъ наставьниче, тружающиимъся тишина, на браньхъ побѣда, вьселенѣй утвьржение, недужьныимъ врачю, мьртвыимъ въскрьсение, помилуй насъ!	Глас шестой. О крест Христов! Упование христиан, наставник заблудших, покой труждающихся, победа в сражениях, укрепление вселенной, врач болящих, воскресение мертвых, помилуй нас!
Канон крьсту. Глас 8	Канон кресту. Глас восьмой
Пѣснь 1	Песнь первая
Крьстъ начьртавъ, Моиси въпрямъ жьзлъмъ Чьрмьное пресѣче, Израилю проходящю; то же, обращь на фараона съ колесницами, ударь съвъкупи, въпрекы написавъ[15] непобѣдимо оружие. Тѣмь Христа въспоимъ Бога нашего, яко прославися.	Крест начертав жезлом напрямую, Моисей рассек Красное <море>, так что прошел Израиль; и его же, обратив на фараона с колесницами, соединил, ударив, наоборот написав непобедимое оружие. Потому воспоем Христа, Бога нашего, ибо прославился.
Образъ древле Моиси пречистыя страсти на сѣбе прообразова, священою середѣ стоя, крьстъ же въображься простертама побѣду дланьма въздвиже, дьржаву погубивъ Амалика[16] вьсегубителя. Тѣмь Христа въспоимъ Бога нашего, яко прославися.	Образ пречистого страдания явил собою прежде Моисей, стоя между двух священников, простертыми руками изображая крест, погубив державу Амалика всегубителя. Потому воспоем Христа, Бога нашего, ибо прославился.
Горѣ въздвиже Моиси на копие ицѣление, тьлятворения избавление и ядовитааго уядения. И древу образъмь крьста пресмыкаема по земли змия привяза[17] лукавьное, о семь обличивъ вредъ.[18] Тѣмь Христа въспоимъ Бога нашего, яко прославися.	Ввысь поднял Моисей на копье исцеление, избавление от тления и ядовитого укуса. И к древу, образу креста, привязал ложь пресмыкающегося по земле змея, обличив тем зло. Потому воспоем Христа, Бога нашего, ибо он прославился.
Показа небо крьстьную побѣду благочьстья дьржателю и цьсарю богомудру,[19] на немьже врагъ противьныихъ разори шатание. Льсть превратися и вѣра простьреся на земли коньцемъ божьствьна. Тѣмь Христа въспоимъ Бога нашего, яко прославися.	Показало небо владыке благочестия и богомудрому царю победу креста, и им разрушил он мятежи сопротивляющихся врагов. Ложь прекратилась и вера божественная распространилась до концов земли. Потому воспоем Христа, Бога нашего, ибо прославился.
Пѣснь 3	Песнь третья
Жьзлъ въ образъ таинѣ приемлеться, прозябениемь бо расуди иерея.[20] Неплодящии же прежде цьркъвь ныне процвьте дрѣво крьста въ дьржаву и утвьржение.	Жезл принимается в образ тайны, ибо он цветением указал на иерея. Бесплодная же прежде церковь цвет дала ныне древу креста в державу и утверждение.
Яко испусти ударяемъ воду камень[21] противныимъ людьмъ и жестосрьдыимъ, богозъванѣй цьркъви проявляаше тайну, ейже крьстъ дьржава и утвьржение.	Как ударяемый камень испустил воду сопротивляющимся и жестокосердым людям, так крест являет тайну богозванной церкви, для которой он — держава и утверждение.
Ребромъ пречистыимь копьемь прободѣномъ, вода съ кръвию истече,[22] обнавляющи завѣтъ, и омъвение грѣху. Вѣрьныимъ бо крьстъ похвала и цьсаремъ държава и утвьржение.	Пречистые ребра пронзены копьем, и вода с кровью истекла в обновление завета и омовение греха. Ибо верным — крест — похвала, а царям — держава и утверждение.
Пѣснь 4	Песнь четвертая
Ирмос. Услышахъ, Господи, съмотрения твоего тайство, разумѣхъ дѣла твоя, и прославихъ твое Божьство.	Ирмос. Господи, я внял тайне твоего предначертания, уразумел дела твои и прославил твое Божество.
Горькочадьныя преложи древъмь Моиси воды въ пустыни[23] древле, крьстъмь на благочьстие языкъ проявляя преложение.	Горькие от природы воды прежде в пустыне Моисей превратил древом <в сладкие>, прообразуя обращение язычников через крест к благочестию.
В глубинѣ погрязьшюю сѣкущюю въздасть Иоръданъ древъмь,[24] крьстъмь и крьщениемь сѣчениемь льсти знаменавая.	Утонувшую в глубине секиру возвратил Иордан, из-за древа, через крест и крещение отсечение лжи знаменуя.
Священьно укрѣпляються четверочастьнии людие преходяще, образѣ свѣдѣтѣльства скинии крьстообразьныими чинъми проявляяся.[25]	Священно укрепляется народ, разделенный на четыре части, образ свидетельства скинии являя крестообразными построениями.
Дивьно простираемъ сълньчьныя луча испущааше крьстъ — исповѣдаша небеса славу Бога нашего.	Дивно простершийся крест испускал солнечные лучи — небеса исповедали славу Бога нашего.
Пѣснь 5	Песнь пятая
О трьблаженое древо, на немьже распятъся Христосъ, Цесарь и Господь, имьже падеся, иже древъмь прельщий, тобою прельщенъ бысть, Христови пригвождьшюумуся плътью, подающюуму миръ душамъ нашимъ.	О треблаженное древо, на котором распялся Христос, Царь и Господь! Тобою прельщен был и пал тот, который прельстил <людей> древом, когда плотью пригвожден был <на тебе> Христос, подающий мир душам нашим.
Тѣбѣ, препѣтое древо, на немьже распятъся Христосъ, Едема хранящее, обращающееся оружие, крьсте, устыдѣся, и страшьнъ же херувимъ[26] оступи ти, распятуму Христу, подающему миръ душамъ нашимъ.	Тебя, воспетое древо, на котором распялся Христос, устыдился вращающийся меч, охраняющий Эдем, и в страхе отступил херувим от тебя, когда распят был Христос, подающий мир душам нашим.
Преисподьнихъ силы, противьнии крьсту, устрашаються начьртаемааго знамения на въздусѣ, по немуже ходять. Небесьныихъ, земльныихъ родъ же колѣна кланяються Христу, подающему миръ душамъ нашимъ.	Силы преисподней, противные кресту, устрашаются начертаемого в воздухе, где они витают, знамения. Колена же небесных и земных родов кланяются Христу, подающему мир душам нашим.
Зарями нетьлеющами явлься Божьствьныи крьстъ омраченыимь языкъмь грѣхъми, въ тьмѣ льсти сущии Божий свѣть облиставъ, въводить на немъ распятому Христу, подающему миръ душамъ нашимъ.	Как негаснущая заря явился Божественный крест помраченным грехами народам, Божественным светом пребывающих во тьме лжи просветил, приводит к распятому на нем Христу, подающему мир душам нашим.
Пѣснь 6	Песнь шестая
Водьну звѣри въ утробѣ длани Иона крьстообразьно распростьръ,[27] спасьную страсть проображаше яснѣ, тѣмь, тридъньвьнъ ишьдъ, премирьное въскрьсение прописааше плътью пригвождена Христа Бога и тридьневьныимъ въскрьсениемь мира просвѣщьшааго.	Внутри утробы морского зверя Иона распростер руки крестообразно, ясно прообразуя спасительное страдание и, выйдя через три дня, явил собою образ надмирного воскресения пригвожденного во плоти Христа Бога, просветившего мир трехдневным воскресением.
Старостью преклонься и недугъмь отягъченъ, исправися Ияковъ, руце преложь,[28] дѣйствье являя живодавьца крьста. Обѣтъшание бо и законьнааго стѣнааго писания понови, писавъ, пригвождийся на немь Христосъ Богъ и душетленьный недугъ — льсть отъгналъ есть.	Согбенный от старости и отягчаемый недугом, поднялся Иаков, перекрестив возложенные руки, являя действие живоносного креста. Ибо ветхое и подобное тени законное писание обновил Христос Бог, пригвожденный на кресте, и <тем> прогнал растлевающий души недуг — ложь.
На уная възложь длани божьствьный Израиль крьста образьно на главу,[29] являаше, яко старѣйши слава законьнослужьбнии людие. Мънѣвъ тѣмъже съпрельститися, не изменова живоносьна образа, преминуть бо людие Христа Бога обновлении въпьяху, крьстъмь огражаеми.	Возложив руки крестообразно на юные головы, божественный Израиль явил как старшую славу подвластный закону народ. Подозреваемый в заблуждении, не изменил он образа живоносного <креста>, ибо придет обновленный народ, ограждаемый крестом, ко Христу, вопия.
Пѣснь 7	Песнь седьмая
Безумьна заповѣдь мучителя зълочьстива людьми поколѣба, дышющи прещениемь и злохулениемь богостужьныимъ. Обаче три отрокъ не искуси ярость звѣрьская, ни огнь сънедаяй.[30] Нъ дышющю хладьнууму духу, съ огньмь суще пояаху: «Прѣпѣтый отьць нашихъ Боже благословенъ».[31]	Безумная заповедь злочестивого мучителя, изрыгающая угрозу и хулу богомерзкую, заставляла людей трепетать. Но трех отроков не коснулась ни ярость звериная, ни огнь пожирающий. Когда веял хладный дух, они пели, находясь в огне: «Воспетый Боже отцов наших — ты благословен!»
Отъ древа въкушь, пьрвый въ человецехъ въ тьлѣние въселися,[32] въпадениемь живота, бещьствьемь осуженъ бывъ, всему роду тѣлотлѣньнъ[33] нѣкакъ яко врѣдъ нѣкакъ недуга подалъ есть. Нъ обрѣтьше, земльнии, възведение, крьстьноуму древу зовемъ: «Прѣпѣтый отьць нашихъ Боже благословенъ».	Вкусив от древа, первый человек вселился в тление, осужденный на отпадение от жизни и на позор, всему роду <человеческому> передал он телесное тление как недуг, как заразу. Но с обретением пути ко спасению мы, земнородные, взываем к крестному древу: «Воспетый Боже отцов наших — ты благословен!»
Разруши велѣние Бога ослушание, и древо изнесе смьрть зьмьныимь, еже не благо время преложено. Въ утвьржение зѣло чьстьнууму отъсѣле живоносьное дрѣво възбраняеть еже разбойнику нечювьственууму, отъвьрзе благоразумьну,[34] въпьющю: «Прѣпѣтый отьць нашихъ Боже благословенъ».	Ослушание нарушило Божие веление, и древо, к которому неблаговременно прикоснулись, принесло смерть земнородным. Отселе живоносное древо возбраняет неблагоразумному разбойнику то, что открыло благоразумному, вопиющему: «Воспетый Боже отцов наших — ты благословен!»
Жьзлѣ ся касаеть краеви Иосифъ,[35] бывающиихъ зьря Израиль цьсарьства дьржавьное, яко прѣспѣеть, преславьный крьсть проявляя. Сь убо есть цьсаремъ побѣдьная похвала и свѣтъ вѣрою зовущиимъ: «Прѣпѣтыи отьць нашихъ Боже благословенъ».	Касался края жезла Иосиф, провидел будущее державное царство Израиль, ибо достигнет оно славы, явив преславный крест. Ибо крест есть царям победная похвала и свет с верою взывающим: «Воспетый Боже отцов наших — ты благословен!»
Пѣснь 8	Песнь восьмая
Благословите, дѣти, Троици равьночисльнии, Съдѣтеля Отьца Бога, пойте съшьдъшааго Слова, и огнь въ росу претворьшааго,[36] и превъзносите вьсемъ живота дающааго Духа Пресвятааго въ вѣкы вься.	Благословите, дети, равночисленные Троице, Творца Отца Бога, воспойте сошедшего <Бога> — Слово, превратившего огонь в росу, и превозносите всем подающего жизнь <Святого> Духа вовеки!
Въздвизаему древу, окроплену кровью въплъщьшюся Слову Божию, пойте, небесьныя силы, земльныихъ въздвижение! Праздьнующе людие, поклонитеся крьсту Христову, имьже миру въскрѣшение въ вѣкы.	При воздвижении древа, окропленного кровью воплотившегося Слова Божия, воспойте, небесные силы, воздвижение земных! Люди, торжествуя, поклонитесь кресту Христову, <подавшему> воскресение миру навеки!
Земльныя длани, съмотрителе блгодѣти, крьстъ, на немьже ста Христосъ Богъ, въздвижете святолѣпьнѣ и копье, Божия Слова тѣло прободъшее, да видять языци вси спасение Божие, прославляюще въ вѣкы вься.	Хранители благодати, земными руками воздвигните святолепно крест, на котором встал Христос Бог, и копье, пронзившее тело Слова Божия, — да видят все народы, спасение Божие прославляя вовеки!
Божиемь судъмь избьрании, веселитеся, крьстьяньскыи верьнии цьсаре, хвалитеся побѣдоносьныимъ оружиемь, приимъше отъ Бога крьста чьстьнааго, симъ бо колѣна, брани дьрзость поискающе, расыпаються въ вѣкы вься.	Избранные Божиими судьбами, веселитесь, христианские верные цари, хвалитесь победоносным оружием, приняв от Бога честной крест, ибо им все племена, ищущие брани, побеждаются навеки.
Пѣснь 9	Песнь девятая
Тайный си Богородице рай, невъздѣланьно вздрастивъши Христа, имьже крьстьное живоносьное на земли насажено бысть древо. Тѣмь нынѣ възносиму, покланяющеся ему, тя величаемъ.	Богородица! Ты есть таинственный райский <сад>, невозделанно взрастивший Христа, который насадил на земле живоносное крестное древо. Потому величаем тебя, <Богородица>, поклоняясь ныне возносимому кресту.
Да въздрадуються дубравьная древеса вьсячьская, освящьшюся естьству ихъ, отъ негоже бѣ испьрва насажено бысть, Христови распростьршюся на дрѣвѣ. Тѣмь ныне възносиму, покланяющеся ему, тя величаемъ.	Да возрадуются все деревья лесные, ибо освятилось естество их от того, кто насадил их, когда распялся на древе Христос. Потому величаем тебя, <Богородица>, поклоняясь ныне возносимому <Кресту>.
Священый въста рогъ богомудрыимъ главѣ вьсѣмъ крьстъ, на немьже грешныихъ мысльныихъ сътираються рози вьси. Тѣмь нынѣ възносиму, покланяющеся ему, тя величаемъ.	Встал священный рог головы всех богомудрых — Крест, на котором мысленно стираются рога всех грешников. Потому величаем тебя, <Богородица>, поклоняясь ныне возносимому <Кресту>.
Сънѣди ради древяныя роду пребывшия, съмьрть крьста ради упразнися дньсь, ибо праматере всеродьная клятва раздрушися прозябениемь чистыя Божия Матере, юже вься силы небесныя величають.	Из-за древесного плода пребывавшая в человеческом роде смерть из-за креста ныне отменена. Ибо проклятие праматери всех людей разрушилось <плодом>, который произрастила пречистая Божия Матерь, которую все силы небесные величают.
Не горесть древнюю[37] оставль убийственую си крьстьмь до коньца потребилъ еси. Тѣмь и древо услади древле горесть, водъ мерьскъ,[38] проображая крьстьную дѣтѣль. Темь тя с силы небесныя величаемъ.	Не оставив древней убийственной горести, крестом ты уничтожил ее до конца. Потому и древо некогда усладило горечь вод Мерры, прообразуя действие креста. Потому тебя с силами небесными величаем.
Непрестаньно тружаема мракъмь праотьца, Господи, крьстъмь въздвиже дньсь, яко бо льсти зѣло неудьржаньно естьство прежде съведено бысть. Вьсепричьтено[39] ны пакы исправи свѣтъ крьста твоего, егоже верьнии величаемъ.	Непрестанно мучимого мраком праотца <Адама> ты, Господи, воздвиг сегодня крестом, ибо от лжи, прежде бывшей, <человеческое> естество было низведено <в ад>. Нас снова всеславно исправил свет креста твоего, который мы, верные, величаем.
Да образъ покажеши мирови покланяемо, Господи, крьста вьсьхъ, яко славна на небеси, украсилъ еси, свѣтомь неугасаемыимъ озаренъ, цесареви оружие непобѣдьно. Тѣмь тя силы небесныя величають.	Чтобы показал миру образ поклонения, Господи, Ты украсил, озарив светом неугасаемым, славное знамение <креста> на небе, — подавая царю непобедимое оружие. Потому Тебя силы небесные величают.
