ОТ ПОТАЕННЫХ КЬНИГЪ О ВСХИЩЕНИИ ЕНОХОВѢ ПРАВЕДНАГО	ИЗ СОКРОВЕННЫХ КНИГ О ВОЗНЕСЕНИИ ПРАВЕДНОГО ЕНОХА
И взяста мя оттуду мужа, и вознесоста мя на севѣръ небесѣ, и показаста ми ту мѣсто страшно зѣло: всяка мука и мучениа на мѣстѣ томъ, и тми, и мгла, и нѣсть ту свѣта, но огнь мрачен възгарая ся выину на мѣстѣ томъ, и рѣка огненнаа находящи на вся мѣста та; студеный лед и узилница, и аггели лютеи и напраснѣ, носящеи оружие и мучаще без милости. И ркох: “Коль страшно мѣсто се зело!” И отвѣщаста ко мнѣ мужа: “Се мѣсто, Еноше, уготовано есть нечестивым, творящимъ безбожнаа по земли, иже дѣлаютъ чародѣании и обажениа,[20] и хвалят ся дѣлы своими, крадутъ душа отаи, иже рѣшатъ иго вязеще,[21] иже обогатѣя изо обиды о имѣнии чюжаго, и умориша алчющаго гладомъ, не могоша насытити, и не могуща одѣти, съвлекоша нагия. Иже не познаша Творца своего, но поклониша ся богомъ суетным, зижюще образы, поклоняют ся ручному творению. И сим всѣмъ уготовано есть мѣсто се в достоание вѣчное”.	И взяли меня оттуда мужи, и вознесли меня на север неба, и показали мне там место страшное весьма: всякая мука и мучение на месте том, и тьма, и мгла, и нет там света, но огонь мрачный разгорается всегда на месте том, и река огня растекается повсюду; и лед холодный, и темницы, и ангелы лютые и неистовые, имеющие оружие и мучающие без милости. И сказал я: „Как страшно место это!" Отвечали же мне мужи: „Это место, Енох, уготовано нечестивым, творящим безбожное на земле, тем, которые занимаются колдовством, клевещут, похваляются делами своими, и тайно крадут души (человеческие), и вершат дела по своей воле, и тем, которые богатеют в ущерб имуществу чужому, и тем, кто уморил голодом алчущего, не сумев насытить его, и совлекли (последнее) с нагих, а не одели их. Они не познали Творца своего, но поклонялись богам суетным, создавая идолов и поклоняясь рукотворному. И всем тем уготовано это место в достояние вечное".
4 небо	Четвертое небо
И воздвигоста мя на 4-е небо, и показаста ми се ту вся шествиа и вся луча солнца и мѣсяца. И размѣрихъ шествие ею, сложих свѣтъ ею, и видѣх седмогубный свѣт имат солнце, паче мѣсяца.[22] Круг еа и колесница, на немже ездитъ кождо ею, яко и вѣтръ ходя, и нѣсть има покоя: день и нощь ходящема и възвращающима ся има. И четыре звѣзды великыи высящихъ одесную колесница солнца, 4 ощуюю солнцемъ выину. И аггели ходяща пред колесницею солнечною, дусѣ летяще, 12 крилъ комуждо аггелу, иже мчатъ колесницу солнцу, носяще росу и зной, егда повелит Господь снити на землю с лучами солнечнями.	И подняли меня (мужи) на четвертое небо, и показали мне там все движение солнца и месяца и все лучи (их). И измерил я путь их, и рассчитал свет их, и увидел я, что в семь раз больший свет имеет солнце, нежели месяц. (Видел же) круг их и колесницы, на которых ездит каждый из них, подобно тому, как ходит ветер, и нет им покоя: и днем, и ночью уходят они и возвращаются. И четыре звезды великих высятся справа от колесницы солнца, и четыре слева от солнца — всегда. И ангелы движутся перед колесницей солнечной, и духи летают, двенадцать крыльев у каждого ангела, что мчат колесницу солнца, неся влагу и зной, когда повелит (им) Господь сойти на землю с лучами солнечными.
И несоста мя мужа ко востоку небесѣ и показаста ми врата, имиже выходитъ солнце по уставнымъ временемъ и по обхожениемъ мѣсяца лѣт всего, и по малению, прихождению дни. 6 вратъ единъ отвръстый о стадий 1 тридесятого испытана,[23] великоту же их измѣрих и не могох разумѣти великоты их. Тѣми иже ими входитъ солнце, идетъ на запад: пръвыми враты исходит дни 42, вторыми дни 35, третими дни 35, четвертыми дни 35, пятыми дни 35, шестыми дни 42 и паки възвращаа ся шестыми враты. По объшествию временному и входитъ пятыми враты дни 35, четвертыми враты дни 35, третими враты дни 35, вторыми дни 35, и скончають ся дньи лѣта по возвратомъ временным.[24]	И отнесли меня мужи на восток неба, и показали мне ворота, из которых выходит солнце в положенное время на протяжении месяцев года, и при уменьшении, и при прибавлении дня. (И видел) шесть ворот одинаковых, раскрытых, (величиной) в тридцать одну стадию ровно, измерил я величину их и не мог постичь огромности их. Из тех ворот восходит солнце и идет на запад: первыми воротами выходит 42 дня, вторыми — 35 дней, третьими — 35 дней, четвертыми — 35 дней, пятыми — 35 дней, шестыми — 42 дня, и снова возвращается шестыми воротами. И по совершению кругового пути вновь входит пятыми воротами 35 дней, четвертыми воротами — 35 дней, третьими воротами — 35 дней, вторыми — 35 дней, и заканчиваются дни года по круговороту времен.
И възведоста мя мужа на запад небесѣ, и показаста ми ту врата шестера велика отвръста, по обходу небесных восточных противу имиже заходит солнце; по входу восточных вратъ и по числу деньному — тако заходитъ западными враты. И егда изыдет от западных вратъ, и возмут и четыре аггели вѣнецъ его, и възнесутъ Господеви, а солнце обратит колесницу свою и иде без свѣта, и възложат на нь тамо вѣнецъ. Се ращение показаша ми солнца и враты, имиже входитъ и исходитъ, си бо врата сотворитъ Господь. Часоборие лѣтовное солнце сказаетъ.	И подняли меня мужи на запад неба, и показали мне там шесть великих ворот раскрытых, в которые заходит солнце по совершении кругового движения по небу из восточных ворот; сообразно тому, из каких восточных ворот восходит, и числу дней — так же заходит в западные ворота. И когда проходит (солнце) через западные ворота, берут четыре ангела венец его и возносят ко Господу, а солнце поворачивает колесницу свою и идет без света, и возлагают на него венец (у восточных ворот). И показали мне такой порядок (движения) солнца и ворота, которыми оно восходит и заходит, — эти ворота сотворил Господь. И солнце смену времен в году указывает.
А лунное другое ращение. Показасте ми вся шествиа еа и вся обхожение ея, показаста ми мужа врата, и указасте ми 12 врата[25] къ встоку, показаста ми вѣнца, имиже входитъ и исходитъ луна по обычным временемъ: пръвыми враты къ востоку дни 31 извѣстно, а вторыми 35 день извѣстнѣ, а третимъ днемъ 31 изящен, а четврътыми день 30 извѣсто, а пятыми день 31 изряденъ, а шестыми день 31 извѣстенъ, 7 день 30 извѣстно, осмыми день 31 изрядно и 9-ми день 31 испытно, а десятыми день 30 извѣстно, 11-ми день 31 изященъ, 12 враты входитъ и двадцать вторыи день извѣстнѣ. Ти тако и западными враты по обходу и по числу восточных вратъ. Тако входитъ и западными враты, и свръшаетъ лѣто деньми 365.[26] (...) Егда кончает ся западнаа врата и възвращаетъ, идетъ на восточныа со свѣтом своим. Тако ходитъ день и нощъ кругомъ, коло его подобно небесѣ. И колесница, на нюже възлазитъ, вѣтръ ходя влекуще. Колесница еа дусѣ же еа летяще, шесты крил коемуждо аггелу. Се есть разщинение лунное.	А лунный порядок другой. Показали мне весь путь луны и все круговое движение ее, и показали мне мужи врата, и указали двенадцать ворот на востоке, и показали мне окружности (движения луны), по которым восходит и заходит луна по установленному времени: первыми воротами на востоке (проходит) точно 31 день, вторыми — точно 35 дней, третьими — ровно 31 день, четвертыми — точно 30 дней, пятыми — несомненно 31 день, шестыми — точно 31 день, седьмыми — точно 30 дней, восьмыми — несомненно 31 день, девятыми — определенно 31 день, десятыми — точно 30 дней, одиннадцатыми — ровно 31 день, двенадцатыми воротами входит точно 22 дня. Также (ходит луна) западными воротами, сообразно круговому движению и числу восточных ворот. Таким же образом входит и западными воротами и совершает год в 365 дней. (...) Когда заканчиваются западные ворота, возвращается и идет к восточным со светом своим. И так ходит кругом днем и ночью, и круг (движения) ее подобен (кругу) небесному. И колесницу, на которую восходит (луна), влечет ветер. У колесницы (луны) духи летают, по шесть крыльев у каждого ангела. Таков порядок лунный.
Постредѣ же небеси видѣх вооружены воа, служаще Богови в тимпанѣх и органѣх непрестанным гласомъ, и насладих ся послушая их.	Посреди же неба я видел воинов вооруженных, служащих Богу непрестанным звучанием тимпанов и органов, и насладился, послушав их.
5 небо	Пятое небо
И взяста мя оттуду мужа, и вознесоста мя на пятое небо. И видѣх ту многа воя игригорьи,[27] видѣхь 200. Яко видѣниа человѣческо, величество же ихъ вяще чюдовъ великых, и лица их дряхла, и молчание устъ ихъ, и не бѣ служениа. И глаголахъ мужема, сущима со мною: “Что дѣлма суть дряхло зѣло и уныла лица их, и уста их молчаща, и нѣсть службы на небесѣ им?” И отвѣщаста ко мнѣ мужа: “Си суть григории, иже отторгу от Господа. (...) И снидоша на землю, и преторгу обѣщание на рамѣ горѣ Ермонониа,[28] осквръняти ся женами человѣческами, и осквръниша ся. И осуди а Господь, и сѣ рыдают о братьи своей, и окаризни бывшим”. Аз же глаголахъ григоромъ: “Аз видѣх братию вашу, и творениа их разумѣх, и молениа ихъ се видя, и молих ся о них. И се осудил есть Господь под землю, дондеже скончают ся небеса и земля. Да воскую ждете братиа своеа, а нѣсте служаще в лице Господне? Поставите службы бывшия, служите во имя Господне! Егда како разгнѣваете Господа Бога вашего, свръжет вы с мѣста сего”.	И взяли меня оттуда мужи, и вознесли меня на пятое небо. И видел там большое воинство григоров, увидел я двести. Видом своим, как люди, величиной же больше чудес великих, лица их печальны, уста их молчат, и не было службы (на небе том). И спросил я у мужей, бывших со мною: „Почему столь печальны и унылы их лица, и уста их молчат, и нет службы на небе этом?" Отвечали же мне мужи: „Это григоры, которые отказались от Господа. (...) Они сошли на землю и нарушили обет на хребте горы Ермон, чтобы оскверниться женами человеческими, и осквернились. И осудил их Господь, и вот рыдают о братии своей, и наказаны были". (Тогда) сказал я григорам: „Я видел братию вашу и содеянное ими узнал, и мольбу их слышал, и молился о них. Осудил их Господь (пребывать) под землей до скончания небес и земли. Зачем же ждете (судьбы) братии своей, а не служите Господу? Установите прежнюю службу, служите во имя Господне! Ведь если разгневаете Господа Бога вашего, свергнет вас с места этого"
Стоащу мнѣ въструбиша въ 4 трубы вкупѣ и вослужиша григорѣ, яко единѣмъ гласомъ взиде глас их в лице Господне.	И пока я был там, вострубили одновременно в четыре трубы и начали григоры службу, и поднялся голос их к Господу единым гласом.
6 небо	Шестое небо
И възведоста мя оттуду мужа, и вознесоста мя на 6-е небо. И видѣх ту 7 аггелъ, сочтанъ, свѣтелъ и славен зѣло: и лица их, яко луча слъночна блещаща ся, нѣсть различия лицу, или обдержаниа, или соприодръжаниа одръжа. Си строятъ, изучаютъ мирское благочинение: звѣздное хожение, солнечное и лунное, и тѣ вожа аггелы, и гласы небесныа. И все житие смиряетъ небесное. Строят же и заповѣди, и поучениа, и сладогласное пѣниа, всяку хвалу и славу. И аггели же суть над времены и лѣты, и аггели же и на рѣках, и на морѣх, аггели над плоды и травою, и кипящимъ всѣмъ;[29] и аггели людий всѣх, и все житие тѣ строятъ и пишутъ пред лицемъ Господнимъ. И пострѣди ихъ — 7 фуникъ, и 7 херувимъ, 7 шестокрилець,[30] единоглаголюще к собѣ и поюще к собѣ, нѣсть повѣсти пѣниа их. Радует ся Господь подножиемъ своимъ.	И подняли меня оттуда мужи, и вознесли меня на шестое небо. И увидел я там семь ангелов, сопряженных, пресветлых и преславных: лица их, как лучи солнечные блистают, и нет различия ни в лицах, ни в облике, ни в одеждах (их). Они устанавливают благой порядок мироздания: (управляют) движением звезд, солнца и луны, и ангелов, возящих их, и небесными гласами и обучают (всему этому). И водворяют мир во всем житии небесном. (Они же) создают заповеди и поучения, и сладкогласное пение, и всякую хвалу и славу. И есть ангелы над временами и годами, и ангелы над реками и морями, и ангелы над плодами и травою, и над всем растущим; и (есть) ангелы людей всех, те всею жизнью управляют и пишут (все) перед лицом Господа. И среди них — семь фениксов, семь херувимов и семь шестикрылых, согласующих голоса свои и поющих совместно, и несказанно пение их. И радуется Господь подножию своему.
7 небо	Седьмое небо
И въздвигоста мя оттуду мужа и вознесоста мя на седмое небо. И видѣх свѣт великъ и вся огненыа воя бесплотных, архаггели, аггели, и свѣтлое стоание офанимское.[31] И убоях ся, и встрепетахъ, и пояста мя мужа въ стреду ихъ, и глаголаша ко мнѣ: „Дръзай, Еноше, не бой ся!"	И подняли меня оттуда мужи и вознесли меня на седьмое небо. И увидел я свет великий и все огненное войско бесплотных (сил), архангелов, ангелов, и пресветлое стояние офанимское. И убоялся я, и вострепетал, взяли же меня мужи (и поставили) среди них, говоря мне: „Ободрись, Енох, не бойся!"
Показаша ми издалеча Господа, сѣдяща на прѣстолѣ своемъ,[32] и вси вои небеснѣи, съчтании на степень, наступающи покланяху ся Господеви, и пакы отхожаху, и идяху на мѣста своя в радости и во веселии, во свѣтѣ безмѣрнѣ. А славнии служаще ему, нощию не отступающе днесь; стояще пред лицемъ Господнимъ, творяще волю его. И вси вои херувимстеи окрестъ прѣстола его, не отступающе, и шестокрилецъ покрывающе прѣстолъ его, поюще пред лицемъ Господнимъ.	И показали мне издалека Господа, сидящего на престоле своем, и все воинства небесные, соединенные по чину, подходили и кланялись Господу, и затем отходили, и шли на места свои в радости и веселии, и в свете безмерном. Славные служат ему, не отступая ни ночью, ни днем; стоят перед лицом Господа, творя волю его. И все воинство херувимов (стоит) вокруг престола его, не отступая, и шестикрылые покрывают престол его, и поют перед лицом Господа.
И внегда видѣх се все, и отидоста от мене мужа, и к тому не видѣх ею. Поставиша мя на конецъ неба единаго, и възбоях ся, падох на лици моемъ. И посла Господь единаго от славных своих ко мнѣ — Гаврила,[33] и рче ми: “Дръзай, Еноше, не бой ся! Въстани и пойди со мною, и стани пред лицемъ Господнимъ во вѣки”. И отвѣщах к нему, и рекох: “Увы мнѣ, господи, отступи душа моя из мене от страха. И взови ко мнѣ мужа, приведоша мя до сего мѣста, зане тѣма повѣдах, и с тѣма иду пред лице Господне”.	И когда увидел все это, отошли от меня мужи, и больше я не видел их. Поставили же меня одного на краю неба, и испугался я, и пал на лицо свое. И послал Господь одного из славных своих ко мне — Гавриила, (он же) сказал мне: „Дерзай, Енох, не бойся! Встань и пойди со мной, и стань перед лицом Господним во веки". Я же отвечал ему, говоря: „Увы мне, господин, отступила душа моя из меня от страха. Позови ко мне мужей, приведших меня на это место, ибо тех знаю и с теми пойду перед лицо Господне".
И восхити мя Гаврил, якоже восхищаеть листъ вѣтром, и мча мя, и постави мя пред лицемъ Господнимъ.	И вознес меня Гавриил, как возносится лист ветром, помчал меня, и поставил перед лицом Господним.
О видѣнии Господа	О созерцании Господа
Видѣхъ Господа, лице его силно, и преславно, и страшно. Кто есть исповѣдати, обьяти сущее лице Господне, силное и престрашное, или многоочное его и многогласное, и безрукотвореный превеликый прѣстолъ Господень, или стояние еже есть о немъ херувимстѣй и серафимстѣй вои, или непремѣнное, или неисповѣдаемое, немолчное и славное его служение.	И увидел я Господа, лицо его могущественное, преславное и внушающее страх. Но кто может поведать (это), объять подлинное лицо Господа, могущественное и внушающее страх, или (лик) его многоочитый и многогласный, превеликий нерукотворный престол Господень, или предстояние пред ним воинства херувимов и серафимов, или неизменное, неисповедимое, несмолкающее славное служение ему?
И падох ницъ, и поклоних ся Господеви. И Господь усты своими възва мя: “Дръзай, Еноше, не бой ся! Востани и стани пред лицемъ моим въ вѣкы”. И въздвиже мя Михаилъ, архаггелъ великый Господень,[34] и приведе мя пред лице Господне. И искуси Господь слуги своя, глагола к ним: “Да вступит Енох стояти пред лицем моем въ вѣки”. И поклониша ся славнии, и рѣша: “Да вступит”.	И пал я ниц, и поклонился Господу. И Господь устами своими воззвал ко мне: „Дерзай, Енох, не бойся! Встань и стань перед лицом моим во веки". И поднял меня Михаил, великий архангел Господень, и привел меня пред лицо Господа. И испытал Господь слуг своих, сказав им: „Да вступит Енох, чтобы стоять перед лицом моим во веки". Славные же поклонились (Господу) и сказали: „Да вступит".
Глагола Господь Михайлови: “Поими Еноха, и совлечи со земных риз, и помажи елеемъ благымъ, и облечи в ризи славны[35]”. И совлече мя Михаил с риз моих, и помаза мя масломъ благимъ. И видѣние масла паче свѣта великаго, масть его — яко роса блага, и воня его, яко измурно, и луча его яко солнечныи. И зглядах вся самъ: и бых, яко единъ от славных, и не бяше различиа взорнаго.[36]	И сказал Господь Михаилу: „Возьми Еноха, и сними с него земные одежды, и умасти елеем благим, и облачи в ризы славы". И снял Михаил одежды мои с меня, и умастил меня елеем благим. И вид (этого) елея ярче света великого, и умащение им — словно росой благой, и благоухание его подобно мирре, и лучи, от него (исходящие), — как (лучи) солнечные. Оглядел же всего себя: стал я, как один из славных, и не было различия по виду.
И воззва Господь Веревеила, единаго архаггела своего,[37] иже бяше мудръ, написая вся дѣла Господня. И глагола Господь Веревеилови: «Возьми книгы от хранилницъ, и вдай же трость Енохови, и поглаголи ему книги». И ускори Веревеилъ, и принесе мнѣ книги, изощрени змурениемъ.[38] И вдасть ми трость из руки своея, и бѣ глаголя ми вся дѣла Господня: и земля, и море, и всѣх стухий шествия и житиа, и премѣне лѣт и дний шествиа, и земныа заповѣди и поучениа, и сладкогласное пѣние, и входы облакъ, и исходы вѣтръ, и языкъ еврѣйский, и всякъ языкъ, пѣснь новую оруженных вой — и все, елико подобаетъ поучати ся, и исповѣда ми Веревеилъ. 30 дний и 30 нощий и не премолкоша уста его глаголющи. И яз не почих 30 дний и 30 нощи, пиша вся знамениа. И яко конча, глагола ко мнѣ Веревеилъ: “Сяди, напиши, елико ти исповѣдах”. И сѣдох сугубъ 30 дний и 30 нощий, и написахъ извѣсто, и исповѣдах 300 и 60 книгъ.	И воззвал Господь Веревеила, одного из архангелов своих, который был мудр и записывал все дела Господни. И сказал Господь Веревеилу: „Возьми книги из хранилищ, дай Еноху перо и прочти ему книги". Поспешил Веревеил и принес мне книги, изукрашенные смирной. И дал мне перо из руки своей, и рассказал мне все дела Господни: о земле, о море, о движении всех планет и жизни (их), о смене лет и движении дней, о земных заповедях и наставлениях, о сладкогласном пении, о входах облаков и исходах ветра, о еврейском народе и о всяком народе, и о новой песне вооруженного воинства (небесного) — все, что следует узнать, поведал мне Веревеил. Тридцать дней и тридцать ночей говорили уста его, не умолкая. И я не спал тридцать дней и тридцать ночей, записывая все свидетельства (скорописью). Когда же закончил (читать), сказал мне Веревеил: „Сядь, напиши то, что поведал тебе". Я же, просидев еще тридцать дней и тридцать ночей, подробно записал (все) и исписал 360 книг.
И възва мя Господь, и постави мя ошуюю себе ближе Гаврила, и поклоних ся Господеви. И глагола ко мнѣ Господь: “Елико же видѣ, Еноше, стоаща и ходяща, и свръшена мною, аз же възвѣшу тебѣ”.	И призвал меня Господь, и поставил меня слева от себя рядом с Гавриилом, я же поклонился Господу. И сказал мне Господь: „Все, что ты видел, Енох, неподвижное и движущееся, сотворено мной, и я (о том) возвещу тебе.
О создании твари	О создании творения
