ПОСЛАНИЕ МАКСИМУ ГРЕКУ О ТРЕТЬЕЙ КНИГЕ ЕЗДРЫ	ПОСЛАНИЕ МАКСИМУ ГРЕКУ О ТРЕТЬЕЙ КНИГЕ ЕЗДРЫ
Аще же речемъ, яко правда есть потребна во всякомъ градскомъ дѣле и царствѣ къ прибытию царства, по ней же единому комуждо еже свое есть въздается, свято и праведно живется, тогда хвала трпѣниа погибнеть. Внегда глаголется: «въ тръпѣнии вашемъ стяжете душа ваша»[15] — къ разрѣшению сеа рѣчи вѣдомо есть, яко инъ есть судъ въ духовныхъ лицехъ, а инъ въ мирьском начальствѣ. Всѣмъ бо христовѣрнымъ имѣемо есть терпѣние такоже под заповѣдию и евангельскимъ совѣтомъ — овѣмъ болѣ, овѣмъ менши по разчинию лицъ, и дѣла, и времени. В монастырѣхъ бо от братии никогда подобаеть оскудѣти тръпѣнию, в мирском же начальствѣ истязуют многа бо подовластныхъ: овогда убо слугь, иногда оружии, другойци коней, иногда одежъ красныхъ, иногда ина, коя състоятся сребромъ, пѣнязьми. И аще реку: аз тръплю, не имѣя же предреченныхъ, въ что вмѣнится мое тръпѣние? Развѣ оставится от отечьства, изгонится от службы честны, причтется нищъ ко службѣ непотребнѣ и нѣ како по его отечьству, къ тому же и домовная потреба много стужит, зане тръпѣнием отягчени зѣльнымъ таци. Дѣло народное въ градѣхъ и царствѣхъ погибнет длъгодушьствомъ тръпѣниа, долготръпѣние в людехъ безъ правды и закона общества добро разърушает и дѣло народное ни во что низводитъ, злыа нравы въ царствѣхъ вводить и творитъ людей государемъ непослушныхъ за нищету. Сего ради всякъ градъ и всяко царьство, по Аристотелю, управлятися имать от начальникъ въ правдѣ и изъвѣстными законы праведными, а не тръпѣниемъ. Зане мы, человеци, идже естьмя в семъ мори велицемъ, в нем же бури бѣдны, требу имамы жити под цари, иже нас въ царьствѣхъ и градехъ своихъ по коегождо сподоблению праведнѣ пасуть, неповинных защищають, вредимыхъ разърѣшають, вредящих и озлобляющихъ казнят, неисцѣлныхъ же весма от среды благыхъ возъмутъ. Тѣм же въ всякомъ языцѣ и людехъ треба есть быти царем и началникомъ, иже подобають имѣти подобие гуслей игреца Давида[16] в себѣ. Якоже бо гусленикъ струны блядущие соединяеть къ согласию и къ соединению сладкости бряцаниа, касая, приводитъ, тако начальникъ всякаго самодръжства блудящихъ и врежающихъ грѣшникъ понудити имать на согласие благых грозою закона и правды, а добрых подвластныхъ беречи своимъ жалованием и уроженною милостью и раздражати къ добродѣтелемъ и добрымъ дѣломъ мъздами, и сладкими и благыми словесы, умягченными вѣщании, злых же казньми полутшати, и прещении обличати, и от лихости на добро царскыми воспоминании приводити, ненасыщаемыхъ же и злых, иже лечьбы полутшениа приняти не хотятъ ниже Бога любити, отнюдь истребити. Якоже полнѣе философъ нравоучителны Аристотель бесѣдуетъ во своей 10 книзѣ нравъ.[17] Сиа же вся аще начальникъ не сотворит ниже прилѣженъ въ попечении своихъ подвластных будеть, но неповинных от силныхъ погнестися попустит, тогда грехи и насильства погнетающих своа творитъ и за тая отвѣтъ въздати велиему Судыи долженъ, да аще в сих себе еще не полутшаеть, тогда за тѣхъ казнится, якоже и про своа грехи, по глаголу апостола Павла къ римълянам, 1 глава: «Достойни суть смерти не токмо творящии, но и иже попускають творящимъ». И «кровъ его от руку твоею взыщу», — глаголет Господь въ Езекииле, 33 глава.	Если же мы скажем, что правда необходима во всяком государственном деле и царстве к укреплению царства, согласно которой каждому человеку причитается заслуженное им, свято и праведно живется, тогда похвала терпения будет не нужна. Когда говорится «терпением вашим спасайте души ваши», — для понимания этих слов нужно знать, что духовные лица судятся так, а живущие в мире иначе. Ибо всем христианам должно быть присуще терпение и по мирскому правилу, и по евангельскому учению — одним более, другим менее в зависимости от лиц, и обстоятельств, и времени. Среди монастырских братьев никогда не должно оскудеть терпение, а в мирской жизни требуется многое от подданных: иногда слуги, иногда оружие, в другой раз кони, иногда одежды красивые, иногда другие вещи, которые приобретаются за серебро, за деньги. И если я скажу: я терплю, не имея указанных вещей, к чему приведет мое терпение? Но будет лишен такой человек вотчины, будет изгнан со службы честной, будет послан нищим на службу негодную и не подобающую его происхождению, к тому же и домашние дела сильно досаждают, потому что великим терпением обременены люди. Дело народное в городах и царствах погибнет из-за излишнего терпения, долготерпение среди людей без правды и закона общество достойное разрушает и дело народное сводит на нет, дурные нравы в царствах вводит и делает людей непослушными государям из-за нищеты. Поэтому всякий город и всякое царство, по Аристотелю, управляться должно начальниками по правде и определенными законами справедливыми, а не терпением. Потому что мы, люди, находящиеся в этом море великом, в котором бури губительны, нуждаемся во власти царей, которые нас в царствах и городах своих по достоинству каждого справедливо пасут, невинных защищают, страдающих освобождают, вредящих и угнетающих наказывают, а совершенно неизлечимых людей из общества хороших удаляют. Поэтому всяким странам и народам необходимы цари и начальники, которые должны быть наподобие гуслей музыканта Давида. Ведь как гусляр струны расстроенные приводит в согласие и стройные приятные созвучия, бряцая, извлекает из них, так глава всякого царства непослушных и зловредных грешников понуждать должен к согласию с добрыми людьми грозой закона и правды, а добрых подданных беречь своим жалованием и положенной им милостью и побуждать к добродетелям и добрым делам дарами, и сладостными и добрыми словами, утешительными речами, злых же наказаниями делать лучше, и угрозами обличать, и от порока к добру царскими напоминаниями приводить, а ненасытных и злых, которые при лечении не хотят становиться лучше и Бога любить, совершенно истребить. Как об этом пространнее философ нравоучающий Аристотель говорит в своей десятой книге о нравах. Если же все это начальник не выполнит и не будет прилежно заботиться о своих подданных, но допустит угнетение неповинных сильными, тогда грехи и насилия угнетающего на него ложатся, и за них ответ должен он будет дать великому Судье, и если при этом сам не делается лучше, тогда за грехи тех наказывается, как и за свои, по словам апостола Павла к римлянам, первая глава: «Достойны смерти не только делающие, но и попустительствующие делающим». И «кровь его от руки твоей взыщу», — говорит Господь в Книге Иезекииля, тридцать третья глава.
Но увы, ужо в нынѣшные времена мнози началники на своихъ подвластныхъ и сирыхъ не призираютъ, но их под невѣрными приказъщики погнетатися попускають, о стражбѣ должной стада порученнаго не радяще, под тяжкою работою терпѣниа жити своихъ попускають, и не расматряють, яко человечьский род немощенъ есть и паче похотѣнию последуеть чювственому, неже правому словества суду.[18] Сего ради нужа бѣ человѣкомъ во вся времяна под законы жити: первое, въ время естества, под закономъ естественымъ; второе, во время закона,[19] под закономъ Моисѣйским; третьее, и нынѣ, во время благодати, под закономъ Христовымъ. Зане въ всяко время от пръваго зла Каинова[20] дажъ до послѣдняго зла человеци в семъ смертномъ мирѣ всегда будуть злии меж добрыхъ смѣшны, и всегда добрии постражуть спротивъства от злыхъ. Сего ради закономъ быти нужа бѣ, да тѣхъ страхом человеческая дерзость запрѣтится, и опасно будеть межъ неключимыхъ неповинство. Того ради даны законы, да не кто силнѣ вся възможеть. Такоже здѣ вѣдати имаши, яко всѣми ужо мною реченными не мню изпразнити хвалу тръпѣниа ниже отрицаю тръпѣние быти добродѣтель евангельскую и свершенных и святыхъ человекъ, коею равнодушьствомъ подъемлются спротивнаа, побѣжаем противоположнаа ею же, скарѣдства отрѣваемъ. Терпѣние бо свершенным изначалнѣ апостоломъ, иже есть проповѣдникомъ, есть потребна, тѣм бо сподобляются сожребиа аггельскаго, зане тръпѣниемъ искушаются избраннии, и аки злато в горнилѣ, очищено седмерицею, преже даже в радости небесныя сподобятся въвестися. Иже убо возжелает въистину терпелив быти, треба есть ему мысль горделивую оставити, Христу послѣдовати и от мира сего плыти ко пристанищу пустынному; а иже въ буряхъ и волнениихъ сего мира съблюсти возможеть, далече блаженнѣе будеть. От сихъ ужо уразумѣлъ еси, яко тръпѣниа не отвръгох, но показахъ токмо, коль потребна суть во всякомъ гражаньствѣ правда и законы ко исправлению неустроиныхъ, по глаголу Павла апостола къ фесалоникѣемъ, 5, егда глаголеть: «Молим же вы, братие, обличайте неустроиныхъ, утѣшайте малодушъных, приемлите немощныхъ, терпеливи будете къ всѣм». И сиа вся бываютъ правдою, и милостью, и истинною. Ради милости бо предстатель и князь от подвластных велми любится, а истинны ради боится. Милость бо безъ справды малодушьство есть, а правда безъ милости мучительство есть, и сиа два разрушають царство и всяко градосожительство. Но милость правдою пострекаема, а правда милостью укращаема сохраняють царя царство въ многоденьствѣ.	Но увы, уже в нынешние времена многие начальники о своих подданных и сиротах не пекутся, но допускают их угнетение лживыми наместниками, об охране должной порученного им стада не заботясь, под тяжким бременем терпения жить своих подданных оставляют и не учитывают, что человеческий род немощен и скорее поддается влечению чувственному, нежели правому суду разума. Поэтому должны быть люди во все времена под властью закона жить: в первый период, во времена естественной жизни, под законом естественным; во второй период, во времена закона, под законом Моисея; в третий, и теперь, во времена благодати, под законом Христовым. Ибо во все времена от первого злодеяния Каина вплоть по последнего злодеяния злые люди в этом бренном мире всегда будут с добрыми смешаны, всегда добрые будут страдать от преступлений злых. Потому законы были нужны, чтобы спокойно существовала между негодными невинность. Для того даны законы, чтобы не было так, что кто сильный — все может. Итак, теперь ты можешь понять, что всем сказанным мной я не хочу умалить терпение и не отрицаю, что терпение — добродетель евангельская и совершенных и святых людей, равнодушие к которой порождает вредные побуждения, а ею мы побуждаем противоположные устремления, пороки прогоняем. Ведь терпение изначально совершенным апостолам, то есть проповедникам, необходимо, так как благодаря ему они удостаиваются удела ангельского, потому что терпением проверяются избранные, как золото в горниле, очищенное семь раз, прежде чем радости небесной удостоятся. Тот, кто пожелает поистине терпеливым быть, тому необходимо мысли гордые оставить, за Христом последовать и от мира этого плыть к пристани пустынной; а кто в бурях и волнениях этого мира сможет сохранить терпение, много блаженнее будет. Из этих слов ты уже понял, что я терпения не отверг, но показал только, насколько необходимы во всяком государстве правда и законы для исправления бесчинных, по словам Павла-апостола к фессалоникийцам, пятая глава, когда он говорит: «Умоляем также вас, братия, вразумляйте бесчинных, утешайте малодушных, поддерживайте слабых, будьте терпеливы ко всем». И это все делается правдой, и милостью, и истиной. Из-за милости ведь предводитель и князь подданными весьма любим, а из-за истины его боятся. Ибо милость без правды есть малодушество, а правда без милости есть мучительство, и оба они разрушают царство и всякое общежитие. Но милость, правдой поддерживаемая, а правда, милостью укрощаемая, сохраняют царю царство на многие дни.
О семъ, владыко, прѣти и моли, да Богу поспѣшъствующу, сиа исправятся. По апостолу «яко дние злие суть»[21] мню, конци вѣкъ достигоша. Сиа прочетши, и добрѣ уразумѣвъ, доволнѣ отвѣщано быти узриши. Множайша тебѣ о семъ существѣ сложил бы, аще бы любезное и плодовитое было лѣто, в нем же въ птичьихъ пѣснехъ писати услажаеть писца. Нынѣ же врази животу — мраз, студен снѣгь и дымъ разумъ смущають, перъсты стѣсняють, очи слезити понужають, чернило мръзнеть, харатью сажею опорачают, коя вся писцу спротивна быти видятся. И аще здѣ могу сей епистолии конець правымъ чиномъ наложити, обаче зане мужъ еси желаниа[22] и попеченнѣ вся испытуа, боюся, да не камо мене скупа отвѣщателя къ вопрошению твоему назовеши. Зане убо сиа доволна видятся, аще реку множайша, тогда нѣчто тая язычская[23] и чюжа быти речеши, вѣмъ, что сътворю: сиа предрекши, нѣкаа тебѣ новаа составлю.	Об этом, владыка, наставляй и моли, чтобы с Божьей помощью так устроилось. Я по апостолу думаю, что «дни лукавые настали», конца света достигли. Прочтя это и хорошо уразумев, ты увидишь, что я достаточно полно ответил. Я бы и больше тебе об этом предмете написал, если бы хорошее и плодородное было лето, когда песни птиц услаждают писца за письмом. Сейчас же враги жизни — мороз, холодный снег и дым — разум смущают, пальцы сводят, глаза слезиться заставляют, чернила замерзать, бумагу сажей засыпают, и все это, как кажется, мешает писцу. И хотя здесь я могу должным образом окончить это послание, но поскольку ты муж желаний и усердно все постигаешь, боюсь, что ты мой ответ на вопрос твой скупым назовешь. Поскольку то достаточным кажется, и если я скажу больше, тогда это чем-то варварским и чуждым ты назовешь, я знаю, что сделаю: это закончив, нечто тебе новое напишу.
Благословеснѣйший евангелистъ Иоаннъ «весь миръ во злѣ лежати»[24] пишеть.	Благословеннейший евангелист Иоанн пишет, что «весь мир во зле лежит».
Златыа вѣки суть въистинну нынѣ: много златомъ
Приходит санъ, златомъ съвѣтуется любовь.[25]
В ценѣ цена нынѣ есть, даеть кенсон[26] саны,
Кенсон дружбы, убогий вездѣ лежитъ празденъ.[27] 	Истинно, век наш есть век золотой! Покупается ныне
Золотом — почесть и власть, золотом — нежная страсть.
Деньги ныне в цене: почет достается за деньги,
Дружба за деньги; бедняк людям не нужен нигде.
Такъже и Петръ, апостольский началникъ, днесь аще съ теологиею[28] и разныхъ силъ с чюдесы приидеть, аще ничего не принесетъ, дверемъ затворенымъ, извержется вонъ.[29] Никоторый порокъ не скуденъ и грѣхъ похотный, от него же дѣло опщее человеческое падаеть. Много нынѣ в мирѣ в наши времяна льстей и лукавьствы; нынѣ кто вредил перваго, хощеть мощи вредити и втораго; нынѣ умъ строптивы злыхъ не поучается ползу чинити, но и не боиться беспамятенъ взятаго быти добра; въздати радуется человекъ лукавый за медъ яд, за плод пеню, за благость лесть. Нынѣ брани вездѣ:	Даже если Петр, начальник апостолов, сегодня с теологией и с чудесами разных сил придет, если он ничего не принесет, то двери будут закрыты, а он изгнан. Никакой порок не оскудевает и грех похоти, от которого общее человеческое дело приходит в упадок. Много сейчас в мире в наши времена лести и лукавства; сейчас кто навредил одному, хочет суметь навредить и другому; сейчас ум строптивый злых не научается пользу приносить, но зато не боится забыть о полученном им добре; отплатить старается человек лукавый за мед ядом, за плод штрафом, за благо обманом. Сейчас брани везде:
Нынѣ живутъ от похищениа; нѣсть гостиникъ от гостя безъ боязни.
Нѣсть тесть от зятя; и братская убо любовь редка есть.[30]	Люди живут грабежом; в хозяине гость не уверен,
В зяте — тесть; редка приязнь и меж братьями стала.
Належитъ пагуба: вземляй ризу, хощеть взяти и срачицу;[31] украдый овцу, мыслит отвести и корову, ниже в томъ конець поставляет, но аще можетъ, все прилежитъ ближняго похитити, ниже в томъ почиет, донелѣ последи того же ближняго своего от сего житьа отовлечеть. Годѣ ужо да почиетъ трость,[32] путь злыхъ пиша в сом бѣдномъ животѣ, о нем же ко мнѣ гаданиемъ писалъ еси възвещати. От сихъ бо цѣло уразумѣлъ еси, коль вредными и неугодными стезями хромыми ногами, слепыма очима она земная власть и все естество человечьское ходить нынѣ.	Угрожает гибель: берущий платье, хочет взять и рубашку; укравший овцу, замышляет увести и корову, и на этом не останавливается, но если может, все старается у ближнего похитить, и на этом не успокоится, пока наконец ближнего своего не лишит жизни. Пора уже, чтобы отдохнуло перо, дела злых описывая в этой несчастной жизни, о которых ты меня загадочно просил сообщить. Ибо теперь ты до конца уразумел, сколь вредными и дурными путями с хромыми ногами, со слепыми глазами эта земная власть и вся природа человеческая ходит теперь.
По сих по чину да Господь Богъ вся твоа и тебя добрѣ въ благодати своей устроить, душу твою святую къ славѣ да сохранит, тѣло упасеть, умъ в земныхъ дѣйствуемыхъ да исправитъ, разумъ и внутреняго твоего человека къ зрѣнию божественаго Писания да воставитъ, да сконьчавъ настоящихъ мирскихъ лѣт число, взыти въ обою человеку възможеши ко обѣтованной землѣ живыхъ, в ней же часы не начинають дней, восхода и захода не имѣютъ, годоваго предѣла не стяжут, старость младеньства не пременяеть, немощъ здравиа не озлобляеть, смерть живота не скончеваеть; времена несчастиа тамо не чаются, тамо вся красна, ничто неблаго, вся добра, ничто спротивно, нѣсть труда телеснаго или мысленаго, но всегда бес конца тихий покой, никоего неразумиа, но всевѣчна премудрость. Благочестенъ онъ, кой къ толь благочестну отечеству направляеть шествие свое от младеньства под благим игомъ и легкимъ бременемъ[33] господа нашего Исуса Христа, ему же слава всегда, нынѣ, присно и въ вѣки вѣкомъ, аминь.	Итак, да устроит, как подобает, Господь Бог все твои дела и тебя самого хорошо по благости своей, да сохранит душу твою святую для славы, тело спасет, ум в земных деяниях исправит, разум и внутренние твои помыслы к пониманию Божественного Писания да воздвигнет, чтобы, исчерпав число лет в этой мирской жизни, ты телом и духом мог достигнуть обетованной земли живых, в которой часы не начинают года, дни восхода и захода не имеют, не достигают пределов года, старостью младенчество не сменяется, немощь здоровья не разрушает, смерть жизни не оканчивает; времена несчастий там не ожидаются, там все прекрасно, нет ничего дурного, все доброе, ничего враждебного, нет трудов телесных или мысленных, но всегда без конца тихий покой, ничего неразумного, но вечная премудрость. Благочестив тот, кто к столь благочестивому отечеству направляет путь свой с младенчества под благим ярмом и легким бременем Господа нашего Иисуса Христа, которому слава всегда, ныне, присно и на веки вечные, аминь.
ПОСЛАНИЕ ИНОКУ ФИЛОФЕЮ	ПОСЛАНИЕ ИНОКУ ФИЛОФЕЮ
ПОСЛАНИЕ ФЕОДОРА КАРПОВА	ПОСЛАНИЕ ФЕДОРА КАРПОВА
Многоученному и о словесех тщалевейшему господину Филофѣю иноку Федор Иванов сын Карповъ радоватися о Господѣ и благоимѣтися во всѣх.	Многоученному и в словах искуснейшему господину Филофею-иноку Федор Иванов сын Карпов желает радоваться ради Господа и быть благополучным во всем.
Восприах твое писанейце июля въ 29 от имя рек,[34] прчтох и разумѣх добре. Уподобляет бо тебе наученному мужу,[35] износящему новая и ветхая от сокровищ своих по еуангельской истории. Омировым бо словомъ[36] и риторским разумом пригодне сложени, не варварски же, ни невѣжески, но грамотически умѣтельне сложена. Похваляю, яко разум божественных и человеческих умѣюща. И аще подѣлие, поучение твоего разума, о иноче, такова суть добра и услажденна — мощи веселити прочитающаго разума, какова убо будет, яже не спѣшне и просте, но со тщанием попеченым и зрѣнием протяженнейшим сложима от тебе писание. И паки мнѣ пищи, и от нас приимеши подобная.	Получил я твое письмо 29 июля от такого-то человека, прочитал его и хорошо понял. Оно дает возможность сравнить тебя с ученым мужем, извлекающим новые и древние вещи из сокровищниц своих, по евангельскому рассказу. Ведь твое письмо Гомеровым словом и по правилам риторики удачно составлено, а не варварски, или неграмотно, но с грамматическим искусством составлено. Хвалю тебя за то, что ты смысл божественных и человеческих вещей понял. И если уж пустячок, поучение твоего разума, о инок, столь хорошо и сладостно, — может обрадовать разум читающего, — каковы же будут твои сочинения, которые ты не спеша и попросту, но с особенной тщательностью, и хорошо обдумав, сложишь. Пиши мне еще, и от меня получишь то же.
Возмогай и паки возмогай.	Будь здоров и вновь будь здоров.
