 	ЖИТИЕ ДАВИДА
Давидъ възя едино отрочя и украдеся, и въниде въ пещеру, нарицаемуя Мухли.[18] И прѣбысть ту 7 месяцъ и ту глаголаше: «Помѣни, Господи, Давида и въся кротость его».[19] Царь же Саулъ ищѣше усѣкнути его и пусти по въсей земли искати его. И обыскаху горы и врътепы, и ломие, и не обрѣтошя. И приходѣху прѣд пещеру, идеже лежаше Давидъ, и видѣху пещеру с паучину зарослу, и отвращахуся. Жена его облѣчеся въ власѣны руты и къ земли приникши плачаше.	Давид взял одного слугу и скрылся тайком, и спрятался в пещере, называемой Мухли. И пробыл там 7 месяцев, непрестанно повторяя: «Помяни, Господи, Давида и всю кротость его». Царь же Саул жаждал обезглавить его и послал по всей земле искать его. И обыскали горы и пещеры, и болота — и не нашли. Приходили и к той пещере, где скрывался Давид, но, увидев пещеру, заросшую паутиной, удалились. Жена его облачилась во власяницу и, припав к земле, плакала.
И явися аггелъ Господень Давиду и рече ему: «Изыди и стани на мѣстѣ рекомѣмъ Сухий, и ту есть Господь с тобою». Изыде Давидъ съ страхом велицѣм и ста на мѣстѣ, идеже рече ему Господь, и молитву творѣше: «Боже, святый владыко, небесный царю, призри нынѣ съ высоты безмѣрныя своя». И видѣху въси людие Давида, единогласно въпиаху. Саулъ же слыша и сверѣпующи въсѣде на конь и погна на Давида. Онъ възя камень и положи въ пращу, и възрѣвъ на небо помолися, и връже, и удари Саула въ око.[20] И паде царь. Давидъ извлѣкъ мечь его и усѣкну и. И въниде въ славу.	И явился ангел Господень Давиду и сказал ему: «Выйди и стань на месте, называемом Сухий, и будет там Господь с тобою». Вышел Давид, одержимый страхом великим, и стал на месте, где велел ему Господь, и творил молитву: «Боже, святой владыко, небесный царь, взгляни ныне с высоты безмерной своей». И видели все люди Давида и единогласно приветствовали его. Саул же слышал это и, рассвирепев, вскочил на коня и погнал его на Давида. Тот взял камень и вложил в пращу, и, обратившись к небу, помолился и метнул, и попал Саулу в око. И пал царь. Давид извлек меч его и убил его. И прославился.
И бысть царь на прѣстолѣ Сауловѣ. И роди съ женою своею Авесалома Красноглава.[21] И прѣставися жена его. И потомъ бысть кръвавъ и немилостив, и блудникъ, душегубецъ. Бѣше же нѣкто муж праведен и великъ, имя ему Уриа. Имѣше жену велелѣпну. И блазнѣшеся Давидъ о ней. Она же не хотѣше, бѣше бо вѣрна Богу и мужу своему. Давидъ посла Уриа на рать, яко да погубят его. И убишу и́.	И сел царем на престоле Саула. И родил с женою своею Авессалома Красноглава. И умерла жена Давида. И после того стал он кровожаден и немилостив, блудник и душегубец. Был некто муж справедливый и знатный по имени Урия. Имел он красивую жену. И Давид возжелал ее. Она же не хотела, ибо была верна Богу и мужу своему. Давид послал Урию на битву, чтобы погубить его. И убили его.
И прогнѣвася о том Богъ, и посла аггела и пророка Дафана, яко да обличит его пророкъ, и аще не покается, да убиетъ его аггелъ немилостивно. И прииде пророкъ прѣд Давида глаголя: «Суди мнѣ, господи, судъ». Царь рече: «Глаголи, еже имаши». Рече пророкъ: «Нѣкый человѣкъ имѣше 209 овецъ, аз же имѣх едину. Он уби мене и съмерти прѣдаст, и овцу мою възятъ, бѣ бо и Соломона от нея родилъ». Давидъ рече: «Въ истину тъй человѣкъ повиненъ есть лютой съмръти». Пророк рече: «То еси ты». Давидъ паде ницъ и озрѣвся видѣ аггела, яко ратника мечь дръжяща, и възъпи рече: «Помилуй мя, Боже, по велицѣй милости твоей».[22] И Соломона[23] показуя рече: «Грѣхъ мой прѣд мною есть выну».[24] И тако отъятъ аггелъ мечь от него.	И разгневался за то Бог, и послал ангела и пророка Дафана, чтобы обличил его пророк, а если он не покается, чтобы убил его ангел безжалостно. И предстал пророк пред Давидом, говоря: «Рассуди меня, господин, судом своим». Царь промолвил: «Говори, что у тебя». Сказал пророк: «Один человек имел двести девять овец, я же имел одну. Он погубил меня и смерти предал, и овцу мою взял, а потом и Соломона она ему родила». Давид сказал: «Воистину, такой человек достоин лютой смерти». Пророк сказал: «Это ты и есть». Давид пал ниц и, оглядевшись, увидел ангела в образе воина, держащего меч, и взмолился: «Помилуй меня, Боже, по великой милости твоей». И на Соломона показав, промолвил: «Грех мой всегда предо мною». И тогда отвел ангел меч от него.
Сынъ же его пръвѣнецъ Авесалом възрасте и отвръжеся его и въси болѣре и прѣятъ въся хоры и градовы. И въшед Давидъ затворися за 3 лѣта, и велика зла тръпѣше от сына своего Авесалома, сухы кости гризѣше и усмы варяще. Авесаломъ просѣше Соломона глаголя: «Даждь ми копела, а ты сѣди на столѣ и буди царь въселенѣй».[25] Давидъ не имѣ, что сътворити. И въпроси его Соломон глаголя: «Повѣждь ми, отче, кое оружие изъучилъ еси изъмлада?» Давидъ рече: «О сыну, никое оружие не знаю, тъкмо пращу ручнуя». Соломон рече: «Отче, отче, то оружие твое, съ ним побѣдилъ еси Голиафа и Саула, страшнаго царѣ. Тѣм оружием ты въниде въ царство. И пакы нынѣ помоли Бога, егоже еси призвалъ прѣжде, егда како избавит тя и нынѣ».	Сын же его первенец Авессалом возмужал и отрекся от отца своего и все вельможи с ним, и захватил все земли и города. И, войдя, затворился Давид на три года, великое зло терпя от сына своего Авессалома, сухие кости грыз и кожи варил. Авессалом просил Соломона, говоря: «Дай мне войско, а ты сядешь на престоле и будешь царь вселенной». Давид не знал, что делать. И спросил его Соломон, говоря: «Поведай мне, отец, каким оружием владел ты с юности?» Давид сказал: «О сын, никакого оружия не знаю, только пращу ручную». Соломон воскликнул: «Отец, отец, это истинно твое оружие, с ним победил ты Голиафа и Саула, страшного царя. Этим оружием добыл ты царство. И вновь ныне умоли Бога, которого призывал прежде, да спасет тебя и теперь».
Давидъ же възят 3 камикы и въложи въ пращу и рече: «Въ имя Отца и Сына и Святаго Духа» и връже въ войско, и трѣщи Господь войску и порази невидимо. И разбися войско. Тогда погнашу два тъму, единъ тысящу. Бѣжущу Авесалому, въздвиже вѣтръ косу его и заятся за черѣшу, и повисну. Пришед Соломонъ и отсѣче ему главу, и принесе Давиду. Давидъ же видѣвъ въсплакася. Соломонъ рече: «Отче, что плачеши, не вѣси ли, колико зла сътвори тебѣ?» Давидъ рече: «О сыну плачя рождение мое, понеже бѣ рождение добры жены».[26]	Давид взял три камня и вложил в пращу с молитвой: «Во имя Отца и Сына и Святого Духа», и метнул в войско, и сломал Господь войско и поразил невидимо. И сокрушилось войско. Тогда погнали двое десять тысяч, один — тысячу. Бегущему Авессалому взметнул ветер волосы его, и зацепился он за ветвь, и повис. Настигнув, Соломон отсек ему голову и принес Давиду. Давид же, увидев, разрыдался. Соломон спросил: «Отец, что плачешь, не помнишь ли, сколько зла сотворил он тебе?» Давид ответил: «О сын, оплакиваю я рожденного мной, ибо был он сыном хорошей жены».
Богу нашему слава въ вѣкы. Аминь.	Богу нашему слава во веки. Аминь.
 	СЛОВО О ПСАЛТЫРИ
СЛОВО О ПСАЛТЬРИ, КАКО НАПИСАСЯ ДАВИДОМЪ ЦАРЕМЪ	СЛОВО О ПСАЛТЫРИ, КАК НАПИСАНА БЫЛА ДАВИДОМ ЦАРЕМ
Яко клятся Давидъ Господеви обѣщася Богу Ияковлю,[27] да егда въцарися Давидъ и взыска обрѣсти мѣсто Господеви.[28] И сѣде писати Псалтырь. И не вѣдаше, откуду есть разумъ, яко от аггела бысть и что пишетъ.	Когда клялся Давид Господу, то обещал Богу Иакова, что если воцарится он, то постарается найти святилище Господу. И сел писать Псалтырь. И не ведал, откуда бралась мысль, как бы от ангела было то, что пишет.
Единъ велможа именем Виоръ хотяше втайнѣ царю глаголати, царь же рече ему: «Прииди в нощь сию и исповѣждь ми, еже ти глаголати». Виор же прииде по глаголу цареву в нощь и видѣ юношю въ ухо шепчюще ко царю. И не явися Виоръ царю и изыде вонъ ис полаты царевы. И заутра прииде, и рече ему царь: «Почто не прииде тай исповедати ми? Но прииди паки в вечеръ и исповѣждь ми». И пакы прииде Виоръ в вечеръ и видѣ юношу велми свѣтла паче солнца въ ухо ему глаголюща. И паки възвратися. И на утрие прииде ко царю. Царь же з гнѣвомъ рече ему: «Почто не прииде, яко же азъ рѣх тебѣ?» И Виоръ рече: «Господи мой царю, 3-ж приидох, и не едною обрѣтох тя въ единствѣ». И пакы еще царь искушаше глаголъ его и рече ему: «Прииди в вечер».	Один вельможа по имени Виор хотел наедине говорить с царем, царь же велел ему: «Приди в ночь эту и поведай мне, что хотел сказать». Виор же пришел по слову царя ночью и увидел юношу, на ухо шепчущего царю. И не предстал Виор пред царем, и вышел вон из полаты царевой. А наутро, когда он пришел, спросил его царь: «Что не явился сказать мне свою тайну? Но приди снова вечером и расскажи мне». И вновь пришел Виор вечером и увидел юношу светлого, ярче солнца, на ухо царю говорящего. И снова удалился. И наутро пришел к царю. Царь же с гневом сказал ему: «Почему не пришел, как велел я тебе?» И Виор ответил: «Господин мой, царь, трижды приходил я и ни разу не застал тебя одного». И вновь царь расспрашивал его и приказал: «Приди вечером».
И егда прииде Виоръ в вечеръ къ царю, и вопроси его царь: «Есть ли человѣкъ, якоже еси его видѣлъ всегда?» И рече ему Виоръ: «Господи царю, зракъ лица его, яко огнянъ». И поразумѣ царь, яко аггелъ Господень кажеть ему смыслъ и разумъ писати псалтырное сложение.	И когда пришел Виор вечером к царю, спросил его царь: «Здесь ли человек, которого видел ты раньше?» И ответил ему Виор: «Господин царь, вид лица его, как огонь». И понял царь, что ангел Господень подсказывает ему мысль и лад для сочинения псалтырных стихов.
Есть близ двора царева блато при тайници царевы. И жабы кричяху гласы, егда писаше. Повелѣ отроком своим и забавиша жабам и съждами и сламами,[29] яко да не кричят. И абие видѣ Давидъ во едину нощь жабу велику распалающися на писанию его. Онъ же отверже ю. И паки видѣ второе. И поразуми ему писание, и почюдися Давидъ великому вражью навождению. И паки третие обрѣте ю на писании. И рече Давидъ: «Упражняю тя, дияволе, и что пакости дѣеши ми». Тогда рече жаба: «Или не дам аз тебѣ Бога славити, якоже ни ты мнѣ даваеши».	Есть близ дворца царева болотце, недалеко от тайной полаты царевой. И жабы испускали вопли, когда он писал. Повелел Давид слугам своим разогнать жаб горящей соломой, чтобы не кричали. И вдруг увидел Давид однажды ночью огромную жабу, распластавшуюся на писании его. Он же сбросил ее. И снова увидел ее во второй раз. И задумался он над своим писанием, и почудилось Давиду, что это великое дьявольское наваждение. Но и в третий раз нашел он ее на писании. И сказал Давид: «Истребляю тебя, дьявол, за то, что зло делаешь мне». Тогда сказала жаба: «Не дам я тебе Бога славить, как и ты мне не даешь».
Тогда повеле царь Давидъ отъяти отроки от блата того, яко да пакости не творят жабам тѣмъ. И абие вси проглаголаша жабы. Тогда Давидъ рече: «Всяко дыхание да хвалить Господа».[30]	Тогда повелел царь Давид отозвать слуг от болотца того, чтобы зла не делали жабам тем. И тотчас заголосили все жабы. Тогда Давид изрек: «Всякое дыхание да хвалит Господа».
Списа же псалмовъ Давыд въ Псалтыри всѣх 300 и 60 и 5. И пакы царь Давыд устрои ковчежець малъ и Псалтырь запечатав и вложи в ковчежець и, заливъ оловом, и вверже в море по своей мудрости, и рече: «Аще есть слово се право мое составление псалтырное пред Богомъ, да изыдет из моря сий ковчежец и писанное в нем».	Написал же псалмов Давид в Псалтыри всего 300 и 60 и 5. И потом царь Давид соорудил ларчик малый и Псалтырь, запечатав, вложил в ларчик и, залив оловом, бросил в море по своему замыслу и сказал: «Если истинно слово мое, и составление Псалтыри угодно Богу, то выйдет из моря этот ларчик и писание, хранящееся в нем».
И бысть Псалтырь в море 80 лѣт. И по смерти Давыдовѣ ввержет Соломон мрежу въ морѣ и обрѣте мрежах ковчежец оловянъ. И распечята Соломонъ и обрѣте Псалтыри Давида, отца своего, списание псалмов токмо 100 и 50 и 3.[31] И тѣхъ проповѣда мирови и положиша и́ в соборнѣ церкви, иже ю славит вышняго Бога.	И пребывала Псалтырь в море 80 лет. И после смерти Давида забросил Соломон сеть в море и нашел в сети ларчик оловянный. И распечатал его Соломон и обрел в Псалтыри Давида, отца своего, записанными псалмов только 100 и 50 и 3. И те проповедал миру и положил их в соборной церкви, где теперь славят вышнего Бога.
И по лѣтех мнозѣх частаго ради распленения Иерусалимскаго[32] истеряша псалмы и пѣсни Давида списания. И пакы Ездра[33] пророкъ изыска и собра псалмов 150 и положи их не по ряду, не яко при Давидѣ были списаны. И наполнися миръ пѣсней псалтырних.	Но через много лет из-за частого пленения Иерусалима растерялись псалмы и песни, Давидом сочиненные. И вновь Ездра пророк разыскал и собрал 150 псалмов, но расположил их не по порядку, не как при Давиде были написаны. И наполнился мир песнями Псалтыри.
Тако и Господь нашь Исусъ Христосъ в послѣдняа лѣта преж сих времен в томъ же мѣсте в морѣ повеле воврещи мрежю своим учеником и ятъ рыбъ 100 и 50 и 3.[34] Якоже Давидъ и Соломонъ наполниша весь миръ псалтырным учением, тако и апостоли исполниша миръ божества и правыя вѣры. Рыбы бяху Новы завѣтъ и крещение Господне о Христе Исусе, Господѣ нашемъ, емуже слава всегда и нынѣ.	Так и Господь наш Иисус Христос незадолго до наших лет в том же месте повелел своим ученикам забросить сеть в море и выловил рыб 100 и 50 и 3. Как Давид и Соломон наполнили мир псалтырным учением, так и апостолы насытили мир божеством и истинной верой. Рыбы — Новый завет и крещение Господне во имя Христа Иисуса Господа нашего, ему же слава всегда и ныне.
 	ЛЕГЕНДА О ДАВИДЕ И ВИРСАВИИ
Давидъ, царь великый, от естества родом бяше незлобивъ и простъ, и кротокъ, милуя и почиташе Сауловы дѣти.[35]	Давид, царь великий, характером от рождения был незлобив и прост, и кроток, любил и почитал Сауловых детей.
И когда стоаше на полатах, внегда узрѣ жену Уриину, мыющуся въ виноградѣ своем, и повелѣ ю привести к себѣ, и сотвори с нею прелюбодѣйство. А мужа ея, Урию, посла противу ратных и повелѣ в полку убити его.[36]	И в то время, когда стоял он на палатах, увидел жену Урии, купающуюся в саду своем, и велел ее привести к себе, и сотворил с ней прелюбодеяние. А мужа ее, Урию, послал против неприятелей и повелел в сражении убить его.
Нафанъ[37] же пророкъ рече, егда хотяше Давидъ прелюбодѣйство и убийство творити, прорекъ бяше, глаголя, яко хощет умрети рожденный отрокъ.[38] Тому же умершу, родися Соломонъ от Вирсавии, жены Уриины.	Нафан же пророк знал, когда замыслил Давид прелюбодеяние и убийство совершить, и предсказал, что умрет рожденный младенец. И тот умер, но родился Соломон от Вирсавии, жены Урии.
И за то преступление посла Богъ Нафана пророка къ Давиду,[39] глаголя: «Тако глаголеть Господь, избери себѣ от троего едино: любо 3 лѣта гладъ створю в земли твоей, или 3 месяца бѣгати пред врагы твоими, или 3 дни смерть створю в земли твоей». Тогда Давидъ въздохнувъ из глубины душа своеа и рече: «Лучши ми есть впасти в руцѣ Бога жива, яко многы щедроты его, нежели впасти в руцѣ человеческыа». Избра же Давидъ смерть.	И за то преступление послал Бог Нафана пророка к Давиду сказать: «Так говорит Господь, избери себе одно из трех — либо сотворю я трехлетний голод в земле твоей, либо три месяца будешь бегать от врагов своих, или три дня будет господствовать смерть в земле твоей». Тогда Давид, вздохнул, опечаленный до глубины души своей, и сказал: «Лучше мне оказаться во власти Бога живого, ибо велики щедроты его, нежели во власти людской». И избрал Давид смерть.
И день исплънися жатвеный. Сътвори Господь смерть въ Израили, от утра до обѣда умре людий 70 000. И простре аггелъ Божий руку на Иерусалимъ, да погубит сущаа в нем. И рече Давидъ къ Господу Богу, егда видѣ аггела погубляюща народъ, и рече: «Се, Господи, аз съгрѣших, азъ, пастырь, зло створих, а си, овца, что зло створиша? Да будет, Господи, на мнѣ рука твоа, на рабѣ твоем в дому отца моего». И умилосердивъся Спасъ, рече къ аггелу: «Устави руку твою».[40]	И настал день гибели. Наслал Господь смерть на Израиль, с утра до обеда умерло людей 70 000. И простер ангел Божий руку к Иерусалиму, чтобы погубить живущих в нем. И взмолился Давид к Господу Богу, когда увидел ангела, губящего народ, и сказал: «Это, Господи, я согрешил, я, пастырь, зло сотворил, а они, овцы, какое зло сделали? Пусть будет, Господи, на мне гнев твой, на рабе твоем в доме отца моего». И смилостивился Спаситель, приказал ангелу: «Останови руку твою».
Давидъ покаявся о грѣсѣ своем и созда жрътвеникъ Господеви. И добрѣ поживъ, угодн Богу и, помолився, успе блаженым сном, преиде въ вѣчный животъ, поживе въ старости добрѣ.	Давид покаялся в грехе своем и воздвиг жертвенник Господу. И добродетельно пожив, угодил Богу и, помолившись, уснул блаженным сном, перешел в вечную жизнь, пожив в старости достойно.
