I	I
ДЕНЬ ПЯТЫЙ	ДЕНЬ ПЯТЫЙ
Животное же ни едино живяше на земляных широтах, ни по водѣ пловущее, ни по суху ходящее, ниже по аеру летящее. Но всесвершеный Богъ водному естеству крѣпость вложив одушевленую и силу рождественную, живи души оттуле повелѣ произыти, яко из чрева внове зачатымъ младенцемъ болящаго и обременена рожествомъ свершена отрочате, яко сѣмя бо Божие повелѣния спадши, водоточныя струя творяше многоплодны. От сего простокрилнии птице аеропарнии, имѣяху свободно перо, на летании борзаа, и легцы возвышахуся к ширинамъ воздушнымъ, обтичюще пролития его тонкопролитная. Ово убо великокрилни и великобедри, и ключатаноктии, и яко стрѣлы нокте протяжуще, остри клюнове имуще паче ножев, имъже хотяше снѣдь мяса быти, и дружина быти на снидение плотемъ птицами владущи орел, ястребы суровоядцы, и всѣ, имъже и нѣстъ потребен огнь, плоть ядущимъ. От сего птица пѣснивыя и былия ядущия, малоперие и худотрупие; различно возглашаху дрозгове, славие, бригорие, синице, скворцы и всяко перо, селная былие обходящее и оттуду нетрудную снѣдь и красную збирающе. Тогда и звѣрие на земли явишася страшнии: львове частогривии, медвѣди, пардуси, тигры, кози стремозубые,[4] птищонозеи заецы, и пси острозубии, твердоперсий елифантинъ, и всяка птица, и всяко ползающее, елико в водах живет, и елико в мори, и в горах вкупе елико. Толиким же животными мокрую исполнив и сушу, еще же и нерукотканную одежду, аер, егоже божественых испрядоша перстъ тонкодѣлания, яко град твердонырен и простран распространив плотосниднымъ птицамъ и былия ядущимъ, дне соверши течения пятого.	Живое же ничто не обитало на шири земной, — ни в воде плавающее, ни по суше ходящее, ни по воздуху летающее. Но, исполненный всех совершенств, Бог наделил водную стихию способностью давать жизнь и силой рождать, повелел из нее выйти живым существам, как из чрева, носящего вновь зачатого младенца и ожидающего рождения отрока, и словно семя пало божественное повеление, и струи водоточные стали плодоносящими, И поэтому обрели способность к полету легкокрылые птицы, на летание быстрые и легко возносящиеся к небосводу, купаясь в легких воздушных струях. Одни — сильнокрылые, с могучими лапами и острыми когтями, которые они вонзали словно стрелы, с клювами острее, чем ножи, им же мясо служило пищею, и стаями слетались терзать плоть и птицами повелевающий орел, и ястребы-сыроядцы, и все, поедающие мясо, которым не потребен огонь. Есть еще и птицы певчие, кормящиеся травами, с маленькими крылышками и щуплые; по-своему поют дрозды, соловьи, жаворонки, синицы, скворцы и всякие пернатые, летающие по травам полевым и там без труда обретающие пищу. Тогда и звери страшные явились на земле: львы густогривые, медведи, пардусы, тигры, козлы большегубые, быстроногие зайцы, и псы острозубые, мощногрудый слон, и всякие птицы, всякие пресмыкающиеся, которые в воде живут и которые в море, и в горах. Такими животными воду морскую наполнив и сушу, а также и нерукотканную одежду — воздух, спряденный искусством божественных перстов, словно город крепкобашенный и обширный распростер Бог птицам хищным и злаками питающимся, и окончил течение дня пятого.
ДЕНЬ ШЕСТЫЙ	ДЕНЬ ШЕСТОЙ
Шестый же день паки облистоваше шипкозрачен, и вертоград добродревен Богъ насаждаше, не мотыками раскопав, ни рылми, ни разорав доброту прекрасные земля, ниже дланми насадителными, но словомъ единым. И древо всяко прозябаше доброплодно тамо, благовонно, добросѣнно, листвено, добровѣтвено и сладкоуханно. И кто убо доброту едемскую пред лицемъ представит? Ово бо стеблия садовиямь бѣху овощноноснымъ, ово же множество древес, благоуханнымъ и присноцветущих, ово медоточныя прозябаху овощия, ово же на красоту изращаху небесемъ точныя высотою древеса: елешия водами питаемая, и островерхое елие, превысокая тополия, и кипарисия, и брестия. Листвия сражахуся вкупе древняя, вѣия смешахуся и соединяхуся стеблия. Подобляхуся якоже самохотне древняя листвия пригренующася друг со другомъ сплетенми любезнейшими. Солнце восияваше и к садовию приближашеся, сметаше долу тихо листвие их кротко, елико же частина отверзашеся листвию. Восияваху шипкими доброты, и крином святяшеся бѣлость. Небодливии же и бес трении шипцы они, елико багро и белозрачно в нихъ, яко звѣзда луча испущающи сияющи от земля. Ово же земленое лице зеленяшеся травами, ово же мудрияшеся росокаплеными цвѣтовы и многоразличными доброзрачнии. Зефир тиходыходателнии подыховаше отвсюду, и цвѣтными вонями наполняше воздух. <...>	Шестой же день снова засиял, подобно розе, и сад дивных деревьев насадил Бог, ни мотыгами землю вскопав, ни лопатами не вспахав красоту прекрасной земли, ни дланями сеятеля засеяв, но одним только словом. И дерево всякое произрастало там доброплодно, благовонное, с красивой кроной и ветвями, источающее сладкий запах. И кто может представить себе красоту Эдема? Там стволы деревьев плодовых, там множество деревьев, благоуханных и вечно цветущих, там спеют вкуснейшие плоды, там, красуясь, растут, достигая небес, высокие деревья: платаны водолюбивые и островерхие ели, превысокие тополя, и кипарисы, и березы. Сливается вместе листва деревьев, сплетаются ветви и тянутся друг к другу стволы. И кажется, что листья деревьев по собственной воле обнимают друг друга, нежно сплетаясь. Солнце воссияло и, сады озаряя, осторожно и бережно сметало на землю листья, чтобы реже была густота тени от крон. Сияла красота роз, и светилась белизна лилий. Не кололись еще лишенные шипов эти розы и так алели и белели они, словно это звезды испускали лучи с земли. Где лицо земное зеленело травой, где темнело орошенными росой цветами и многоразличными красотами. И нежно веяли повсюду зефиры, подобные легкому дыханию, и наполняли воздух запахами цветов. <...>
II	II
ЗДѢ ПОВѢДАЕТ, КАКО ВЕЧЕРНЫИ ЕЛЛИНЕ И ВОСТОЧНЫЕ МЕЖДУСОБНУЮ РАТЬ СОТВОРШЕ ВЕЛИКУЮ НѢКОГДА	ЗДЕСЬ ПОВЕСТВУЕТСЯ О ТОМ, КАК ЗАПАДНЫЕ ЭЛЛИНЫ И ВОСТОЧНЫЕ НАРОДЫ ВЕЛИ НЕКОГДА МЕЖДУ СОБОЮ ВЕЛИКУЮ ВОЙНУ
Давыду же обладующу еще иноплеменными,[5] яже кь троям брань составлена бысть ради Еллини, жени Менелаови. Сию аз восхотѣв брань списати, якоже писавшими прежде пишетца о ней, и хотя глаголати о ней, не якоже Омирь списует, прощения прося от благоразумных. Омир бо, сладкий языком и доброумный, различными шарови премудрости украшает словеса, инужду многая обращает и прелагает.[6] Но се убо прочее сиа да сповѣмыи.	Когда Давид еще повелевал иноплеменниками, произошла война с троянцами из-за Елены, жены Менелаевой. Я же, моля о снисхождении мудрых, хочу поведать о той войне, следуя описаниям древних авторов, и думаю рассказать о ней не так, как рассказывал Гомер. Ибо Гомер, изящный в слоге и премудрый, различными цветами красноречия украшает рассказ, а между тем многое изменяет и искажает. Но теперь обо всем этом поведаем.
Цареву сыну, обладающу Троем, Приаму, супружница бѣше Екава, дщи Киссова, и мати бысть от сего многим дѣтем. Имущи убо в чреве и близ рожества сущии, страхованми устрашися ношьных снов; видети бо мняшеся главню, горящую огнем, из чрева ея проничющу и попаляющу град весь вкупе. Услыша же Приамъ сиа и волхвом предложи; разумѣ, яко полезно есть ему и граду, аще раждаемое звѣрем дано будет или во огнь палящий на погибель ввержено будет. По мале же Александръ[7] изыде на свѣтъ, младенец радостен, благообразен, добролѣпен. Подобаше убо Приаму не разложити никако, но абие проникшее из чрева отроча погубити. Он же естеством побежден быв, пощаде рождьшеася: мню же прѣмудрити дръзость добрыя чясти, иныимъ на вьспитание пометну е на селъ, еже от самого Парида Париемъ прозванное. Повръжено убо бѣ небрѣгомо, обрѣтошу же е пастырие, и ущедришу, и вьзяшу, и пощудѣшу отрочя, и яко младенца вьскръмишу е, Париемъ нарекше.	У царского сына Приама, владеющего Троей, была супруга Гекаба, дочь Киссеева, родившая ему много детей. Когда носила она в чреве и уже приближался срок родов, устрашили ее зловещие сны ночные: привиделась ей головня, охваченная пламенем, извергнутая из чрева ее, от которой сгорел в огне весь город. Услышал об этом Приам, и поведал волхвам, и узнал, что благом будет ему и городу, если новорожденный будет отдан зверям или ввержен будет на смерть в огонь горящий. Вскоре после того родился на свет Александр, младенец веселый, милый и красивый с виду. Следовало бы Приаму не раздумывать, тотчас же погубить рожденного отрока. Но одолел голос природы, и пощадил он младенца, надеясь перехитрить решение судьбы, отдал его некиим на воспитание в село, которое самим Парисом было названо Парие. Был брошен младенец без присмотра, и нашел его некий пастух, и смилостивился, и взял к себе, и пожалел ребенка, и воспитал его как своего сына, и назвал его Парисом.
Приближившу же ся ему юношьскаго вьзраста, Приамь съобѣдника его приемъ, мня, яко избѣгнулъ есть яже от него пакости. Ну бѣху нерассукана прядена добрыя чясти, и единою реченому не мощно бѣ погыбнути. Александръ бо, нѣкого от съродник си убивъ неволними убо стръмленми, ну обаче съдъла убийство, отиде къ Менелаю от Троа въ Спартъ. Прият же сего добрѣ онъ, яко друга, почьте его и угости, и вьсѣчьскыи полюби. Зде твоа игра, мучителю вьсѣхъ, рекь,[8] зде твоа игра и враждное сѣмя, тѣмже въжеглъ еси великуя пещь брани! Отиде же Менелае, а оста единъ Парие, и видѣ Менелаову вь клѣти жену. Бѣ же жена прѣкрасна, добровѣждна, доброзрачна, добролична, и доброобразна, голѣмоока и, якы снѣгъ, бѣла, и даровъ испльнена множьствомъ сущи. Видѣ убо сию Александръ и вьсхитися добротою ея. И что много дльгословити и писати — вьсхыти я хотящу и бѣга ся ятъ. И бѣганиа инако не могы утолити, въ корабь вьшедъ морскый, отиде вь Финикъ, от ведущаго уклонився шествиа въ Трои, гонение бо ожидааше от обидѣныихъ. Объят же бывъ вѣтры крѣпкыми и многомутными, едва въ нѣкое приста устие Нилово, Кановикъ[9] нарицаемое въ лѣтѣх послѣднихъ, идеже създанъ бѣ храмъ ироа Ираклеа, потрѣбу подавая чловѣкомъ нескудную. Въ сей убо храмъ прибѣгше от нужду бежавшей с ним путници и съплававшей многими его облагаху досадами и поношенми, обличающе злая, сътворенная от него, поругание и нечестие еже к странноприемодавшему его, показа о восхищенн жене, паче же о имѣние. Услыша же сиа воевода обладаяи мѣсто, услышав же и Протевсъ, царь египетский, и бывает приведен к нему Парие со женою и со имѣнием, и с путники. И он убо вопрашааше, кто есть жена и чиа есть, и откуду вземъ ю, сюду блудиши; Александръ же составляаше ложная словеса. Протевсь же увидѣв яже о Елене, сицевая ко Александру изрече словеса: «Аще ся не бы прежде обещал и проуставил, еже ни единаго странна убивати от буря тужаемых лютыя и здѣ приметаемых, великими тя убо бых и лютыми муками обложил, неблагодѣтну о благодѣтели и устав поправша и дружнюю любовь. Ныне же ти имѣния и жену сию не дамъ, аще и многими мя обидеши подхибами, Елену же тобою напаствованнаму соблюду, ты же от нее останися и от Египта бежи».[10] Протевес убо сь прещенми отгна Париа. Он же тщами руками возратися ко отечеству, сласти вкусивъ краемъ прьста тъкмо, и къ воздуху досяжющи пламянь вьжег, ибо по отшествии его от Спарта и по Еленинѣ восхищении сицевая приключившисе.	Когда вступил он в пору юношескую, сделал Приам его своим сотрапезником, думая, что избежал грозящей от него беды. Но запутаны нити судьбы, и предвещанному однажды не суждено измениться. Ибо Александр нечаянно убил одного из своих родственников, и так как этим совершил преступление, то покинул Трою и отправился в Спарту к Менелаю. Тот радушно принял его как друга, окружил его почестями, и угощал, и полюбил от всего сердца. Вот твоя прихоть, мучитель всех Эрос, вот твоя забава и семена вражды, ибо ты разжег великую печь войны! Уехал Менелай, и остался Парис один, и увидел в палатах Менелаеву жену. Была та прекрасна, с красивыми ресницами, дивна лицом и телом, большеокая, белая, как снег, и исполнена всяческих прелестей. Увидел ее Александр и пришел в восторг от красоты ее. И что долго говорить и расписывать — похитил ее, на то согласную, и бежал с ней, и, не имея другой возможности к бегству, вошел на корабль морской, направился в Финикию, отклонившись от пути, ведущего в Трою, ибо ждал погони от оскорбленных им. Оказавшись во власти бурных и грозных ветров, с трудом пристал к устью Нила, к месту, впоследствии названному Кановик, где был построен храм героя Геракла, оказывавшего щедрую помощь людям. К этому храму и явились в горести своей его товарищи по бегству и плаванию, излив на него много укоров и поношений, обличая содеянное им зло, поругание и бесчестие, нанесенное тому, кто принял его как гостя, — ибо похитил он жену его и богатство. Услышал же об этом наместник тамошний, узнал и Протей, царь египетский, и был приведен к нему Парис с женой, со всем имуществом и со спутниками. И спросил тот, кто жена его и чьей была и где добыл ее, прежде чем достиг их земли; Александр же сочинил в ответ лживую историю. Но Протей узнал все о Елене и ответил Александру, сказав так: «Если бы раньше не поклялся я и не установил, что ни единый чужеземец, изнуренный бурным морем и приставший к этим берегам, не будет убит, то принял бы ты от меня великие и страшные муки, ибо неблагодарностью ответил на благодеяние, переступил закон и братскую любовь. Ныне же тебе женщины этой и имущества не отдам, что бы ты ни измышлял, сохраню их для эллина, тобой обманутого, ты же с ней разлучен будешь и покинешь Египет». И Протей с угрозами изгнал Париса. Он же вернулся на родину с пустыми руками, только кончиком пальца дотронувшись до желанного, и возжег пламя, достигшее самого неба, ибо после того, как он покинул Спарту, похитив Елену, вот что случилось.
Возвратися Менелае от ошьствиа, и увѣдѣв бывшее, растерза ризы своя, и с ним Дарие, отець Еленинъ. По среди же приведоша еллинския первие, одрани лици суща и почернѣла и клятву помянует страшных онѣх, имиже заклинахуся еллини вси, яко аще прилучитца от некоего Еленѣ въсхищенѣ быти, вси своими телесы о ней да поборетца. Много убо молився и припадавше, увещаша елени воевати на трояни. И убо мнози стекошася от остров и от суша, воскраи сущии моря и далече отстоящее, от Афин и тоземцы, от всякого мѣста: от Феталие и от Архие,[11] и от всее Еллади. Бѣху же имъ поборници Родь, Ифакь, Скирь и Салам,[12] с ними великий Крит; коринтинѣ увѣдеше, и аргиане съпособьствоваху, и столъ тьмаме сьставленъ тѣм сьставльшеся.	Возвратился Менелай из похода и, узнав о произошедшем, в отчаянии разорвал на себе одежды, так же и Тиндарей, отец Елены. И в кругу сошедшихся к нему знатнейших из эллинов, стоявших с расцарапанными в знак скорби лицами и почерневших от горя, вспомнил Менелай о клятве страшной, провозглашенной всеми эллинами: если приведется быть похищенной Елене, то все пожертвуют собою в борьбе за нее. И настойчиво молил Менелай и просил, уговаривая эллинов пойти войной на троянцев. И собрались многие с островов, и с прибрежных земель, и из отстоящих от моря стран, из Афин и из земли той, и из всех стран: из Фессалии, из Ахайи, и из всей Эллады. Были же им союзниками Родос, Итака, Скирос и Саламин, и с ними великий Крит; коринфяне о том узнали, и аригвяне пришли на помощь, собралось много тысяч кораблей.
Бѣше Менесфес от Афен, Нестор от Пила, от Итака Дисевсь, от Саламина Еа, от Крита же бѣ Идоменевсь, Тлиполемъ же от Рода. Вси роди имуще от благородных кровий, мужолѣпни, доброродни, храбри, добли, добри и ярольвни, мужие кровии вси. Ефиянин же Ахиллей[13] сияше паче всѣх, человѣкъ ратем побѣдник, силен и крѣпкорук. И, собравше многочисленую рать, царя поставиша[14] ратиначалника и военачалника, мужа храбра и добра, ироя крѣпкаго, и добротою сиаю и мышьцею силы. От отечествь убо своих исходят и другов, и сродникъ, яростию же ополчаютца на брань. И убо вси свещавшася расудиша быти добро, еже пленовати и расиповати сущая под областию Трою, яко да и симъ будет на потребу и трояном ослабеет помощь. Послан убо бывает Ахиллей и от храбрых друзи, и на острови нападоша, и поплениша сушю, и до конца затерше еллика бѣху супостатная. Услышано же бысть еллини яже о Еленѣ, яко Протевсь царь отяът ю от Пара, и яко у него хранится во градѣ Мемфѣ. Нь тьщахуся окрестъ напасти Троа, слышаще о нем, яко сокровищи златыми исполнен есть и многим богатством кипит. Хотѣху же и отмстити оскорбившим их, нехрабрость бо, и смирение, и слабость непщеваху, еже не отдати поношению своему мук достойных.	Были там Менесфей из Афин, Нестор с Пилоса, с Итаки Одиссей, с Самалина Эант, с Крита же был Идоменей, а Тлеполем с Родоса. Все они происходили из благородных родов, отличались мужеством, благородством, храбростью, доблестью, были исполнены достоинств, а яростью подобны львам, воины, готовые на кровопролитие. Фтиянин же Ахиллес выделялся среди всех людей, непобедим в бою, могучий и крепкорукий. И, собрав огромное войско, поставили они царя над ним, и полководца, и военачальника, мужа храброго и без порока, могучего героя, сияющего благородством и силою мышц. Оставив отечество свое, покинув друзей и сородичей, движимые гневом, собираются они на войну. И, посоветовавшись, решили, что хорошо бы захватить и покорить подвластные Трое земли, ибо тогда и эллины обретут добычу, и троянцы лишатся поддержки. И был послан Ахиллес и другие храбрейшие, и напали они на острова, и захватили земли на суше, и наголову разбили своих противников. Дошли до эллинов вести о Елене, что царь Протей отнял ее у Париса, и она находится у него в городе Мемфисе. Но жаждали они со всех сторон напасть на Трою, зная, что в ней много золотых сокровищ и изобилен город богатством. Хотели также отомстить оскорбившим их, ибо считали признаком трусости, покорности и слабости уйти, не воздав должным образом за поношение.
