МАЛАЯ ЧЕЛОБИТНАЯ	МАЛАЯ ЧЕЛОБИТНАЯ
Аще кто хощет при помощи Божии вѣдати, котораго царя мудрости его прирожденныя воинская оминет и приидет на него великая кротость, то и есть уловление врагов его: не будет царь мыслити о воинствѣ, ни о управѣ во царствѣ своем, и будет веселитися с тѣми, которыя ему сердце разжигают вражбами и многими прелѣстными путми. А на воинники свои великие кручины напустит и на все царство свое неутолимыя бѣды великия от велможъ своих. Да ничтоже ему не будет мило, никоторая мудрость воинская, ни жития царства того. Или которыя мудрости воинския будут доходити до него или от его прирожденной мудрости царской, и учнет ставити их ни за что.	Пусть, с Божьей помощью, всякий, кто хочет, знает, что, когда пропадает у царя врожденная воинская доблесть и сходит на него великая кротость, это и есть происки врагов его: не будет царь помышлять ни о военном деле, ни об управлении царством своим, а станет веселиться с теми, кто распаляет ему сердце гаданиями и путями различных соблазнов. И напустит он великую печаль на своих воинов, на все свое царство великие неутолимые беды от своих вельмож. И все будет ему немило: ни воинская доблесть, ни существование всего царства. А если будет добиваться доступа к нему кто-либо из умудренных в делах войны или собственная его врожденная царская доблесть, то поставит он их ни во что.
И так рече Петръ, волоский воевода: «Да естьли хотѣти царской мудрости отвѣдати о воинствѣ и о уставе жития царьского, ино прочести взятие греческое до конца, и не пощадити себя ни в чем, да тамо найдет всю помощь Божию. Богь помогает не ленивым, но кто труды приимает и Бога на помощь призывает, да кто правду любит и праведный суд судит. Правда — Богу сердечная радость, а царю великая мудрость».	А Петр, молдавский воевода, так сказал: «Если желаете узнать о царской умудренности в военном деле и о правилах царской жизни, то прочтите о полном порабощении греков и не пожалейте себя при этом, — там-то и найдете Божью помощь. Бог помогает не ленивым, а тем, кто трудится и Бога призывает в помощь, тем, кто любит правду и судит праведным судом. Правда — сердечная радость Богу, для царя же — великая мудрость».
Примѣтил ли еси, государь, Петра, волосково воеводу? Был тебѣ, государю, великий доброхот и царьству твоему. А яз, государь, слышав потому тѣ рѣчи ево и, переписав, вывес тебѣ, государю, служачи тебѣ, государю. И как полюбится тебѣ, государю, службишко мое, холопа твоето?	Приметил ли ты, государь, Петра, молдавского воеводу? Был он тебе, государь, и царству твоему большой доброжелатель. А я, государь, слышал эти его изречения и потому, записав, привез к тебе, государь, чтобы тебе оказать услугу. Как понравится тебе, государь, услуга моя, твоего холопа?
И тако говорит Петръ, волоский воевода: «Ленилися греки за християнскую вѣру крѣпко стояти против невѣрных, и онѣ нынѣ неволею бусурманскую вѣру берегут от находа. Царь турский у греков и у сербовъ дѣти отнимает седми лѣтъ на воинскую науку, и во свою вѣру приводит ихъ, и они же з детми своими разстоваючися великим плачем плачутся, да никтоже себѣ не пособит».	Так говорит Петр, молдавский воевода: «Поленились греки твердо стать против неверных за веру христианскую, а теперь вот они поневоле оберегают от нападений веру мусульманскую. Отнимает у греков и сербов турецкий царь семилетних детей для военной выучки и обращает их в свою веру, а они, расставаясь с детьми своими, плачем великим плачут, да нечем помочь себе».
Государю благовѣрному царю и великому князю Ивану Васильевичу всеа Русии бьет челом холоп твой государевъ,[18] выежжей из Литвы Ивашко, Семенов сынъ, Пересвѣтов. И вывез есми, государь, тебѣ речи, государю, изо многих королествъ и от Петра, волоского воеводы, и дѣла твоя царьския.[19] И тѣ, государь, рѣчи и дѣла легли в казнѣ твоей государеве, а меня, холопа своего, за тѣ рѣчи и дѣла вѣлѣлъ горазда пожаловати. А тѣ, государь, рѣчи и дѣла и до сѣхъ мѣстъ пред тобою государемъ не бывали. Ино, государь, противен пред тобою, государемъ, а дѣла твои, государь, у меня службы моей.	Государю благоверному царю и великому князю всея Руси Ивану Васильевичу бьет челом холоп твой государев, приехавший из Литвы, Ивашка, сын Семена, Пересветов. Привез я тебе, государь, из многих королевств изречения, а также и Петра, воеводы молдавского, и бумаги, касающиеся твоего царства. Изречения эти и бумаги положены, государь, в твоей государевой казне, а меня, твоего холопа, велел ты, государь, за эти бумаги и изречения хорошо наградить. Но изречения эти и бумаги до сих пор, государь, к тебе не поступали. Так что, государь, это копия перед тобой, государь, а бумаги твои, государь, у меня по службе моей.
А в тѣхъ, государь, королевствахъ твоему царскому прирожению и небесному знамению велми дивилися, и восхвалили и славили мудрыя люди, философи греческия и дохтуры латынския, и рькли про тѣ рѣчи: «Годится такову царю воинску от Бога мудрому прироженному таковыя рѣчи златом росписати про себя на многие лѣта держати, и после себя иному царю оставити таковыя дѣла и славу свою царьскую». А яз, государь, тѣ рѣчи и дѣла достал в королевствах в мудрыхъ людех. Как тебѣ, государю, полюбится службишко мое, холопа твоего?	Ведь в тех королевствах, государь, мудрые люди, греческие философы и латинские докторы, очень удивлялись небесным знаменьям и царственному твоему предназначению, восхвалили и прославили и сказали об этих изречениях: «Нужно, чтобы такой доблестный царь, с мудростью, дарованной от Бога, речи эти расписал золотом и держал у себя многие лета, а по себе другому царю оставил эти бумаги и царскую свою славу». Я же, государь, достал эти изречения в королевствах у мудрых людей. Как понравится тебе, государь, услуга моя, твоего холопа?
А яз, государь, выѣхал с тѣми рѣчми из Литвы, — уже тому 11 лѣтъ минула, — служачи тебѣ, государю благовѣрному, царю великому вѣрному, поминая своих пращур и прадѣд, как служили вѣрно государем рускимъ великим князем, твоим пращуром: Пересвѣт и Ослябя в чернцѣхъ и в скимехъ со благословением Сергия-чюдотворца на Донском побоище[20] при великом князе Дмитрее Ивановиче за вѣру християнскую и за святыя церкви, и за честь цареву пострадали, главы своя положили. А яз, холопъ твой, на то же выехал на твое царьское имя, во всем тебѣ, государю, вѣрно служити, сколко Богъ поможетъ.	А я, государь, прибыл с этими изречениями из Литвы — уже исполнилось этому одиннадцать лет, — чтобы служить тебе, государь, благоверному и верному великому царю, памятуя о своих предках и прадедах, как служили они верою великим государям князьям русским, твоим предкам: Пересвет и Ослябя, в чернецах и схиме, по благословению Сергия-чудотворца при князе великом Дмитрии Ивановиче приняли страдания на Донском побоище и головы свои сложили за веру христианскую, святые церкви, за честь государя. И я, холоп твой, для того же прибыл в твое распоряжение, чтобы с Божьей помощью во всем, государь, служить тебе верно.
Пишут о тебѣ, государе, мудрые философи греческия и дохтуры латынския, о благовѣрном великом царѣ, что будет о тебѣ, государе, слава велия во вѣки, яко о цесарѣ Августе и о царѣ Александре Макидонстем, и тако же и о тебѣ, государе, тѣ мудрые философи пишут и о твоем государеве воинстве, и о мудрости твоей. Да и то начитают в мудрых книгах своих, яко введешь правду великую во царьство свое и утѣшишь Бога сердечною радостию. И тако начитаютъ мудрые философи, что не будет таковые правды под всею подсолничною: яко в твоем царьстве государеве от твоей мудрости великой грозы царьской лукавые судьи яко от сна возбудятся, да и посрамятся от дѣлъ своихъ лукавых, да будут сами о себѣ дивитися, что собирали безчисленно. Ино тако пишут о тебѣ благовѣрном царѣ: ты, государь грозный и мудрый, грѣшныхъ на покаяние приведешь и правду во царьство свое введешь, Богу сердечную радость воздашь.	Пишут о тебе, государь, о благоверном великом царе, мудрые греческие философы и латинские докторы, что будет о тебе, государь, великая слава вовеки — как о цезаре Августе или о царе Александре Македонском. Так и о тебе, государь, пишут мудрые эти философы, и о твоем государевом войске, и о мудрости твоей. И о том читают в своих мудрых книгах, какую великую справедливость введешь ты в своем царстве и утешишь Бога сердечной радостью. И о том читают мудрые философы, что такой справедливости, как в твоем царстве-государстве, не будет во всей вселенной: от великой грозы твоей мудрости как от сна проснутся царские лукавые судьи, чтобы устыдиться своих лукавых дел, и сами на себя будут удивляться, что обирали без счета. Так вот пишут о тебе, о благоверном царе: ты, грозный и мудрый государь, приведешь к покаянию грешников, введешь в свое царство справедливость, а Богу воздашь сердечную радость.
Ко Августу кесарю во убогом образе прииде нищий. Пришед воинникъ и принес великия мудрости, и он его про то пожаловал, держал его блиско себя и род его. А ко царю Александру Макидонскому пришед воинник[21] во убогомъ же образе с великою мудростию воинъскою. От богатых мудрость воинская не почитается николиже. Хотя и богатырь обогатѣетъ, и обленивеетъ. Богатый любитъ упокой, а воинника всегда чредити яко сокола, сердце ему веселити, ни в чемъ кручины на него не напускати.	К цезарю Августу пришел воин, нищий обликом, и принес великие изобретения, и тот его за это наградил, приблизил к себе его и род его. И к царю Александру Македонскому пришел воин, тоже нищий обликом, с великим военным изобретением. Богачи ничуть не почитают воинские таланты. Пусть даже богатырь разбогатеет, и тот обленится. Богач любит покой, а воина всегда нужно кормить как сокола, сердце ему веселить, никакой печали к нему не допускать.
А яз, холопъ твой, Ивашко Пересвѣтов, одиннатцать лѣтъ минуло, не могу доступити тебя, государя благовѣрного царя великого князя. Кому ни подамъ память, и онѣ до тебя, государя, велможи твои, не донесутъ. А на приѣзде, государь, приказал еси меня, холопа своего, боярину своему Михайлу Юрьевичю во всем. И вскоре, государь, после твоего государева приказу Михайло Юрьевич преставился, а яз, государь, без приказу и по ся мѣста живу, до тебя, государя, доступити не могу, побити челомъ о приказе. А приѣзжему, государь, человѣку без приказу и без береженья пробыти не мочно в твоем государеве царьстве. И доступил есми тебя, государя, у празника в церкве на Рожество пречистыя Богородицы,[22] и подал есми тебѣ, государю, две книжки с твоими речми царьскими, что есми вывез из ыных королевствъ, служачи тебѣ, государю благовѣрному царю и великому князю. И ты, государь, меня, холопа своего, не приказал никому. И будетъ тебѣ, государю великому царю, не полюбится службишко мое и рѣчи, что яз тебѣ вывез из ыных земель и королевствъ, слышавъ от многихъ мудрыхъ людей и дохтуров и философов про твое царьское мудрое прирожение, и так пишут о тебѣ о великом царѣ по небесному знамению о твоем царьстве и о мудром воинстве беречи вѣры християнския и умножати, и невѣрных в вѣру приводити, и славу Божию возвышати, и правду во царьство свое ввести, Богу сердечную радость ввезсти, и ты, государь, тѣ книшки обе вели отдать назад. Да и сию книжку прочетши вели мнѣ же отдати,[23] и только тебѣ не полюбится, благовѣрному царю.	А я вот, холоп твой, Ивашка Пересветов, одиннадцать лет прошло, как пробиться к тебе не могу, государю благоверному царю и великому князю. Кому ни подам записку, а они, вельможи твои, до тебя, государь, не донесут. По прибытии вполне определил ты, государь, меня, своего холопа, к своему боярину Михаилу Юрьевичу. Но Михаил Юрьевич, государь, скончался вскоре после твоего государева определения, и я, государь, без определения до сих пор живу, к тебе, государь, пробиться не могу, чтобы бить челом об определении. Ведь приезжему человеку, государь, без определения и поддержки нельзя прожить в твоем царстве-государстве. А на праздник в церкви Рождества пречистой Богородицы пробился я к тебе, государь, и поднес тебе, государь, две тетради с царскими о тебе изречениями, это которые привез из других королевств, чтобы услужить тебе, государь, благоверному царю и великому князю. Но ты, государь, не определил ни к кому меня, холопа своего. И уже если тебе, государь, великому царю, не понравится услуга моя и изречения, что привез я из иных земель и королевств, прослышав от многих мудрых людей, докторов и философов, про мудрое твое и царственное предназначение, как пишут о тебе, великом царе, по небесным знаменьям о твоей царской и военной мудрости, что беречь и умножать тебе веру христианскую, иноверцев в веру обращать, славу Божию возвышать, справедливость в царство свое вводить, а Богу радость сердечную воздавать, — так ты обе эти тетради вели отдать мне назад, государь. Да и эту тетрадь, как прочтешь, тоже вели мне отдать, коли не понравится тебе, благоверному царю.
Ѣхал есми, государь, из Югор на Волоскую землю[24] и был есми пять мѣсець у Петра, волоского воеводы, в Сочаеве.[25] И он про тебя, государя благовѣрного царя, и про твое царьство говорит на всяк день, и у Бога просит во умножение вѣры християнские. И онъ говорит: «Такова была вѣра греческая силна и мы ся ею хвалилися, а ныне рускимъ царьством хвалимся». Да говоритъ так: «Боже, поблюди еѣ от невѣрныхъ и от ереси вражия». Да того не хвалит, что крестъ целуютъ, да изменяют,[26] то есть велия ересь, что за вѣру християнскую не стоятъ, а государю вѣрно не служат. Да и того не хвалит, что усобную войну на царство свое напускаетъ, дает городы и волости держати вельможам своимъ,[27] и вельможи от слез и от крови рода християнского богатѣют нечистым собраньем, и как сьѣдут с кормленей и с волостей, а в обидах присужают имъ поле,[28] и в том на обе страны много греха сотворяют. Крестъ целуют на виновате оба исца,[29] — истецъ и отвѣтчик: один приложивши ищет в своей обиде, а другой всего запирается, и в том оба ихъ во гресѣ погибают, и в великую ересь впадают, и на Бога хулу кладут, и не крѣпко крестъное целованье держат, тѣмъ Бога всѣмъ гнѣвят. Чѣмъ вѣра християнская украшена, а они того крѣпко не держат.	Ехал я, государь, из Венгрии через Молдавию и пять месяцев пробыл у Петра, молдавского воеводы, в Сочаве. А он о тебе, государь, благоверном царе, и о твоем царстве всякий день говорит и у Бога просит об укреплении христианской веры. Так вот он говорит: «Так была греческая вера крепка, что мы ею похвалялись, а теперь русским царством похваляемся». И так он говорит: «Боже, сохрани ее от неверных и от ересей враждебных». И того он не одобряет, когда крест целуют, а изменяют: это вот великая ересь, когда за веру христианскую не стоят и государю верой не служат. И того он не одобряет, когда впускают в царство свое усобицы, дают города и области в управление своим вельможам, а вельможи на слезах и крови рода христианского богатеют от бесчестных поборов, а как оставят кормление с волостей, то при несправедливостях решают споры полем, и тут на обе стороны много ложится греха. Крест целуют в оправдание оба тяжущихся — истец и ответчик: один, приложившись, предъявляет иск за свой ущерб, а другой — от всего отказывается, и тут оба гибнут в грехе, и впадают в великую ересь, и Бога хулой осыпают, и крестное целование не держат крепко, тем и Бога гневят. Ведь того они не держат крепко, чем вера христианская украшена.
Тако говоритъ Петръ, волоский воевода, про первого царя турского Махмет-салтана:[30] «Невѣрный царь, да Богу угодно учинил: великую мудрость и правду во царьство свое ввел, по всему царьству своему розослал вѣрныя своя судьи, и пооброчивши их ис казны своим жалованьемъ,[31] чѣмъ им мочно прожити з году на год. А судъ дал полатный во всем царство свое судити без противня, а присуд велѣл имати на себя в казну, чтоб не искушалися и в грѣхъ не впадали, Бога не разгневили. Да какова вельможу пожалует за ево вѣрную службу каким городом или волостью, и онъ пошлет к судьямъ своим и велит по доходному списку выдати ис казны вдруг.[32] А просудится судья, ино им пишется такова смерть по уставу Махметеву: возведет его высоко, да бьет его взашей надол, да речет тако: «Не умѣлъ еси в доброй славе жити, а вѣрно государю служити». А иныхъ живых одираютъ, да речет тако: «Обростешь тѣлом, отдастъ ти ся вина та». По уставу Махметеву с великою грозною мудростию а нынешнии цари живут.[33] А виноватому смерти розписаны, а нашедши виноватого не пощадити лутчаго, а казнят ихъ по дѣлу дѣл ихъ. Да рекут тако: «От Бога написано: комуждо по дѣломъ его».	Вот что говорит Петр, молдавский воевода, о первом турецком царе султане Магомете: «Хоть неправославный царь, а устроил то, что угодно Богу: в царстве своем ввел великую мудрость и справедливость, по всему царству своему разослал верных себе судей, обеспечив их из казны жалованьем, на какое можно прожить в течение года. Суд же он устроил гласный, чтобы судить по всему царству без пошлины, а судебные сборы велел собирать в казну на свое имя, чтобы судьи не соблазнялись, не впадали в грех и Бога не гневили. А если наградит он какого вельможу за верную службу городом или областью, то пошлет к своим судьям и велит выплатить тому по доходной росписи единовременно из казны. И если провинится судья, то по закону Магомета такая предписана смерть: возведут его на высокое место и спихнут взашей вниз и так скажут: «Не сумел с доброй славой прожить и верно государю служить». А других живьем обдирают и так говорят: «Нарастет мясо, простится вина». И нынешние цари живут по закону Магометову с великой и грозной мудростью. А провинившемуся смерть предписана, а как найдут провинившегося, не помилуют и лучшего, но казнят по заслугам дел его. И так говорят: «Писано от Бога: каждому по делам его».
А тако говорит Петръ, волоский воевода: «Знаменуется в мудрых книгах, пишут философи и дохтуры о благовѣрном великом царѣ руском и великом князе Иване Васильевиче всеа Русии, что будет у него во царьстве таковая великая мудрость и правда неправедным судьямъ от его мудрости великия, от Бога прироженныя».	Так говорит Петр, молдавский воевода: «Обозначено в мудрых книгах, пишут философы и докторы о благоверном великом царе русском и великом князе всея Руси Иване Васильевиче, что будет в его царстве такая великая мудрость, а судьям неправедным — закон от его великой мудрости, дарованной Богом».
А тако говорит Петръ, волоский воевода, про руское царьство, что: «Вельможи руского царя сами богатѣют а ленивеют, а царьство оскужают его. И тѣм ему слуги называются, что цвѣтно и конно и людно выезжают на службу его, а крѣпко за вѣру християнскую не стоят и люто против недруга смертною игрою не играют, тѣм Богу лгут и государю».	Так говорит Петр, молдавский воевода, про русское царство, что: «Сами вельможи русского царя богатеют и в лени пребывают, а царство его в скудость приводят. Потому называются они слугами его, что прибывают на службу к нему в нарядах, на конях и с людьми, но за веру христианскую некрепко стоят и без отваги с врагом смертную игру ведут, так что Богу лгут и государю».
Ино тако говорит Петръ, волоский воевода: «Что ихъ много, коли у нихъ сердца доброго нѣту и смерти боятся, не хотят умрети. Всегда богатые о войне не мыслят, а мыслят о упокое. Хотя и богатырь обогатѣет, и онъ обленивеетъ».	И так еще говорит Петр, молдавский воевода: «Что из того, что их много, раз нет у них верного сердца, а смерти боятся и умирать не хотят. Богач никогда не мечтает о войне, а о покое мечтает. Пусть хоть богатырь разбогатеет, и тот обленится».
Тако говорит Петръ, волоский воевода: «Воинника держати, как сокола чредити:[34] и всегда сердца имъ веселити, а ни в чем на него кручины не напускати».	Так говорит Петр, молдавский воевода: «Воина содержать, что сокола кормить: всегда ему сердце веселить, никакой печали к нему не подпускать».
Ино тако говорит Петръ, волоский воевода: «Таковому силному государю годится со всего царьства своего доходы себѣ в казну имати, и из казны своея воинником серца веселити, ино казнѣ ево конца не будет. Который воинникъ лют будет против недруга государева смертною игрою играти и крѣпко будет за вѣру християнскую стояти, ино таковым воинником имяна возвышати и серца имъ веселити, и жалованья имъ из казны своея государевы прибавливати, и иным воинником серца возвращати, и к себѣ ихъ блиско припущати, и во всем имъ вѣрити и жаловати ихъ, послушати во всем и любити ихъ, аки отцу детей своих, и быти до них щедру. Щедрая рука николиже не оскудевает и славу царю собирает. Что государю щедрость к воинником, то его и мудрость».	И так еще говорит Петр, молдавский воевода: «Нужно, чтобы столь могущественный государь со всего царства доходы брал себе в казну и из казны своей воинам сердце веселил, тогда казне его конца не будет. Кто из воинов отважно будет вести смертную игру с врагом государевым и крепко стоять за веру христианскую, то таковому воину и честь воздавать, и сердце веселить, и жалованье прибавлять из государевой казны, и к таким воинам — сердце обращать, к себе их приближать, верить им во всем, просьбы их выслушивать обо всем, любить, как отец детей своих, и быть к ним щедрым. Щедрая рука вовек не оскудевает, а славу царю созидает. Какова щедрость государя к воинам, такова и мудрость его».
А про тебя, про государя, про великого царя благовѣрного говорит Петръ, волоский воевода: «Таковому государю годится держати дватцать тысячь юнаков храбрых со огненною стрельбою[35] гораздо ученою и стрельбы поляницъ со украины[36] на поле при крепостехъ от недруга, от крымского царя, и оброчивши их из казны своим жалованьемъ государевым годовым. И онѣ навыкнут в поле жити и от недруга, от крымского царя, воевати. Ино та ему дватцать тысечь лутчи будет ста тысящ, а украины его будут всѣмъ богаты и не оскужены от недругов. А мочно ему таковому сильному царю то все учинити».	А о тебе, государь, о великом благоверном царе, говорит Петр, молдавский воевода: «Нужно, чтобы такой государь держал против врага, крымского хана, двадцать тысяч храбрых витязей с огнестрельным, хорошо подготовленным оружием и огневые заставы на границах степи и обеспечивал их ежегодно из казны государевым жалованьем. И приспособятся они в степи жить и защищать его от врага, крымского хана. И эти двадцать тысяч будут тогда для него лучше, чем сто тысяч. И приграничные области все богаты будут и не в разоренье от врага. Есть у него, у столь сильного царя, возможность все это устроить».
