О ЧУДЕСЕХ ПРЕСВЯТЫЯ БОГОРОДИЦА ВОЛОДИМИРЬСКОЙ ИКОНЫ	О ЧУДЕСАХ ВЛАДИМИРСКОЙ ИКОНЫ ПРЕСВЯТОЙ БОГОРОДИЦЫ
По нѣколицѣх же временехъ пришедшу празднику Госпожину дьни,[12] князь же Адрѣй на канонѣ стояше въ церквѣ пѣнья ликы сътворяя, а срдцемь боляше, бѣ бо княгини его боляши дѣтиною болѣзнию: два дни напрасно болящи. Яко по канонѣ бысть омывше водою икону Пресвятыя Богородица,[13] посла къ княгинѣ. Она же вкуси воды тоя и роди дѣтя здраво, и сама бысть здрава томъ часѣ молитвами Святыа Богородица.	Через некоторое время подоспел праздник Госпожин день. Князь же Андрей стоял в церкви на утрене и пел со всеми, а сердце у него болело, потому что княгиня его не могла разрешиться ребенком: дня два тяжко мучилась. По окончании службы он омыл водою икону Пресвятой Богородицы и ту воду послал княгине. Она же выпила этой воды и родила здоровое дитя, и сама стала сразу здоровою по молитвам святой Богородицы.
Чюдо 5-е. 	Чудо 5-е.
Нѣчий диаволимъ научением створше чародѣйства въ яйцѣ. И отроча, взем, изъѣде. И бысть ему изметъ золъ на очеси его: изиде яко облакъ изъ ока его и леже на лици, и глаголахуть же, яко умрет отроча. Овии глаголаху, яко око не будет. И омывше водою икону Пресвятѣй Богородици, принесоша ему, якоже помазаша и водою, и провалися изиде от него болѣзнь, и бысть здравъ, и око его цѣло бысть.	Некто по наущению дьявола сотворил волшебство с яйцом. А отрок, взяв его, съел. И был ему большой ячмень на глаза: изошло вроде облака из глаза его и вытекло на лицо. И сказали, что умрет отрок. Другие же сказали, что лишится глаза. И омыли водою икону Пресвятой Богородицы и принесли ему воду, помазали водою — и опал <ячмень>, и ушла болезнь, и стал здоров, и глаз его не повредился.
Чюдо 6-е.	Чудо 6-е.
Боляшеть нѣкая жена в Муромѣ срдчною болѣзнию, и слышавши от Святѣй Богородици бываемая чюдеса. И посла въ Володимир кузнь свою къ Святѣй Богородици въ клиросъ и воды взяти отъ Святыа Богородица иконы. И яко принесоша воду, въкусивши, и бысть здрава, и нача нечюти сердечьныя болѣзни.	Некая жена в Муроме болела сердечною болезнью. И услышала об иконе святой Богородицы, от которой происходят чудеса. И послала причту к святой Богородице во Владимир украшения свои и попросила воды от иконы святой Богородицы. И когда принесли воду, то выпила, и сразу выздоровела, и перестала чувствовать сердечную болезнь.
Чюдо 7-е.	Чудо 7-е.
В Руском Переяславлѣ въ Славятинѣ манастыри Жидяславля дщи именемъ Мариа[14] пострижеся. За добродѣтелное еа житие даша ей игуменьство въ своего еи дѣда манастыри. И разболѣвшись очною болѣзнию и ослѣпе, и присла попа къ брату своему Борису. Борисъ же въпроси и о сестре своей. И онъ рече: «Разболѣвшися очною болѣзнию и ослѣпе, и тако водять ю се третее лѣто». Борисъ же, призвавъ попа именем Лазаря, моли и, да ми принесеши воду, омыв икону Святыа Богородица. И попъ шед, и принесе воду. Борисъ же, воду ту святую влив в вощаницю[15] и запечатавъ, посла и в Рускый Переяславль к сестрѣ своей. Попъ же, приѣхавъ, повѣдаше ей бывамая чюдеса от святыа иконы водою. Она же радовашеся душею и рече попови: «Кое ми принесеши воды тоя». Попъ же повѣда ей у себе воду. Она же вкуси воды тоя и очи помаза, томъ часѣ прозрѣ, яко неболѣвши очима. Се же бысть Святѣй Богородици велие чюдо Володимерьской.	В Русском Переяславле в Славятине монастыре постриглась Мария, дочь Жидяслава. За добродетельную жизнь дали ей игуменство в монастыре, основанном ее дедом. И заболели у нее глаза, и она ослепла, и прислала попа к брату своему Борису. Борис же спросил его о своей сестре. И он отвечал: «Разболелись глаза ее, и она ослепла, и уже третье лето как водят ее». Борис же позвал попа по имени Лазарь и попросил его, чтобы принес ему воду от омовения иконы святой Богородицы. И поп пошел и принес воду. Борис же ту воду святую влил в сосудец, крепко закрыл его и послал в Русский Переяславль к своей сестре. Поп же, приехав, поведал ей о чудесах, происходящих от воды, взятой от святой иконы. Она же возрадовалась душою и сказала попу: «Когда принесешь мне той воды?» Поп же сказал, что у него есть вода. И она выпила воды и помазала глаза, и тот час прозрела, как бы и не болели у нее глаза. Вот такое было чудо великое от иконы святой Богородицы Владимирской.
Чюдо 8-е.	Чудо 8-е.
Се же бысть ново чюдо Святѣй Богородици о женѣ именемь Еуфимии. Болѣвши ей срдчьною болѣзнию 7 лет и от многъ искавши ей исцѣлениа и не обрѣте. И призва попа Лазаря и рече: «Имъ бы помощи болѣзни сей». Попъ рече: «аще тя не избавить Святая Богородица, то не избудешь болѣзни сея». Она же, слышавши от него бываемая чюдеса водою от иконы Пресвятыа Богородица, и посла усирязи же и рясы златыя къ святѣй Богородици въ Володимиръ[16] с попомъ, глаголя, да ми принесеть пресвятыа воды тоа. И яко принесе и воду и пит ю, того дни исцѣли от болѣзни, начать ясти и пити въ сладость.	А это было новое чудо святой Богородицы о женщине по имени Евфимия. Она семь лет болела сердечной болезнью и у многих искала исцеления и не обрела. И призвала попа Лазаря и говорит: «Чем бы помочь от сей болезни?» Поп же отвечал: «Если тебя не избавит святая Богородица, то не избавишься от сей болезни». Она же, услышав от него о чудесах, происходящих от воды, взятой от иконы пресвятой Богородицы, послала с попом к святой Богородице во Владимир серьги и золотые подвески, прося, чтобы принес ей пресвятой той воды. И когда принес он воду, то испила ее, и в тот же день исцелилась от болезни, начала есть и пить в сладость.
Чюдо 9-е.	Чудо 9-е.
А се бысть въ Тфѣри. Нѣкаа жена боляшеть дѣтятем три дни. И приѣха поп Лазарь и навита у них. Она же въспроси попа о здравьи.[17] Он же рече: «Здравы есме нъ не велми, боярыни наша в концинѣ есть». Се же глаголющима, прииде весть от нея: «О, отца, поидита». И рече има: «Не при срамѣ есть, понеже смертна есмь». Попъ же Лазарь рече ей: «Аще не обѣщаешися Святѣй Богородици Володимерьской, и не избудеши». Она же обѣщася и рече попомъ: «Идите отсюду». Повелѣ дати има ясти и пити. Прииде де вѣсть от нея, яко уже родила бѣ сына и сама здрава. И посла златыа косы[18] и усерязи свои къ иконѣ Святыа Богородица в Володимиръ, имиже обѣщалася бѣ.	А это случилось в Твери. Некая жена не могла разрешиться ребенком три дня. Приехал поп Лазарь с еще одним попом и остановились у них. И спросили они священника о здоровье. Он же отвечал: «Здоровы, но не очень, боярыня наша при смерти». Когда они разговаривали, то пришла просьба от нее: «Отцы придите». И сказала им: «Не стыжусь, потому что при смерти». Поп же Лазарь говорит ей: «Если не дашь обет святой Богородице Владимирской, то и не выздоровеешь». Она же обещала и говорит попам: «Выйдете отсюда». Повелела дать им есть и пить. И пришла от нее весть, что уже родила сына и сама здорова. И послала, как и обещала, золотые украшения и серьги свои иконе святой Богородицы во Владимир.
Чюдо 10-е.	Чудо 10-е.
Князь благородный Андрѣй създа Златая врата къ празднику Святыя Богородица,[19] глаголя къ бояром: «Егда снидутся людие на праздникъ и врата узрят». Бывшу же празднику, и снидеся народ къ вратом, бѣ бо еще не суха извисть въ вратѣх. Абие же вънезапу истръгшися от стѣнъ врата, и падоша на люди, и покрыша 12 мужа. Се же слышавъ, князь Андрѣй начатъ съ въздыханием молитися къ иконѣ Пресвятѣй Богородици: «Госпоже Пречистыа Владычице, аще сих ты не избавиши, азъ бо грѣшний повиненъ быхъ смерти сихъ». И посла боярина своего дати все на потребу мертвымь. Он же приѣхавъ, и вьзяша врата, и видиша всѣх сущих под враты живых и здравыхъ. И, се слышавъ, князь Андрѣй рад бысть. И, се чюдо видѣвше, народ чюдишася.	Благородный князь Андрей построил Золотые ворота к празднику святой Богородицы и сказал боярам: «Когда сойдутся люди на праздник, то врата увидят». Когда наступил праздник и сошелся народ к воротам, то тогда еще не высохла известь во вратах. И внезапно отвалились ворота от стен и упали на людей и завалило двенадцать человек. Когда об этом услышал князь Андрей, то начал с воздыханием молиться пред иконой пресвятой Богородицы: «Госпожа Пречистая Владычица, если ты не спасешь их, то я, грешный, буду повинен в их смерти». И послал боярина своего дать все потребное на погребение мертвых. Когда же боярин приехал и подняли ворота, то увидели всех, бывших под вратами, живыми и здоровыми. И это услышав, князь Андрей был рад. И, видевши сие чудо, народ дивился.
