СЪКАЗАНИЕ И СТРАСТЬ И ПОХВАЛА СВЯТЮЮ МУЧЕНИКУ БОРИСА ИГЛѢБА	СКАЗАНИЕ И СТРАДАНИЕ И ПОХВАЛА МУЧЕНИКАМ СВЯТЫМ БОРИСУ ИГЛЕБУ
Святопълкъже, сѣдя Кыевѣ по отьци, призвавъ кыяны, многы дары имъ давъ, отпусти. Посла жекъ Борису, глаголя: «Брате, хочю съ тобою любъвь имѣти и къ отьню ти придамь».Льстьно, а не истину глаголя. Пришедъ Вышегороду[15] ночь, отай призъва Путьшю и вышегородьскыѣмужѣ и рече имъ: «Повѣдите ми по истинѣ, приязньство имѣете ли къ мнѣ?» Путьшарече: «Вьси мы можемъ главы своя положити за тя».	Святополкже, сев на княжение в Киеве после смерти отца, призвал к себе киевлян и, щедроодарив их, отпустил. К Борису же послал такую весть: «Брат, хочу жить с тобой влюбви и к полученному от отца владению добавлю еще». Но не было правды в егословах. Святополк, придя ночью в Вышгород, тайно призвал к себе Путьшу ивышегородских мужей и сказал им: «Признайтесь мне без утайки — преданы ли вымне?» Путьша ответил: «Все мы готовы головы свои положить за тебя».
Видѣвъ жедияволъ и искони ненавидяй добра человѣка, яко вьсю надежю свою на Господаположилъ есть святый Борисъ, начатъ подвижьнѣи бываати, и обрѣтъ, якоже прежеКаина[16]на братоубийство горяща, тако же и Святопълка. По истинѣ въторааго Каинаулови мысль его, яко да избиеть вся наслѣдьникы отьца своего, а самъ приимьтьединъ въсю власть.	Когдаувидел дьявол, исконный враг всего доброго в людях, что святой Борис всюнадежду свою возложил на Бога, то стал строить козни и, как в древние временаКаина, замышлявшего братоубийство, уловил Святополка. Угадал он помыслыСвятополка, поистине второго Каина: ведь хотел перебить он всех наследниковотца своего, чтобы одному захватить всю власть.
Тъгдапризъва къ себе оканьный трьклятый Святопълкъ съвѣтьникы всему злу и началникывсей неправьдѣ, и отъвьрзъ пресквьрньная уста рече, испусти зълый гласъПутьшинѣ чади: «Аще убо главы своя обѣщастеся положити за мя, шедъше убо,братия моя, отай, къде обрящете брата моего Бориса, съмотрьше время убиите и́».И обѣщашася ему тако створити.	Тогдапризвал к себе окаянный треклятый Святополк сообщников злодеяния и зачинщиковвсей неправды, отверз свои прескверные уста и вскричал злобным голосомПутьшиной дружине: «Раз вы обещали положить за меня свои головы, то идитетайно, братья мои, и где встретите брата моего Бориса, улучив подходящее время,убейте его». И они обещали ему сделать это.
О таковыихъбо рече пророкъ: «Скори суть кръвь пролияти бес правьды. Си бо обѣщаваютьсякръви и събирають себе злая. Сихъ путье суть събирающеи безаконие, нечистиемьсвою душю обиемлють».[17]	О такихпророк говорил: «Скоры они на подлое убийство. Оскверненные кровопролитием, онинавлекают на себя несчастья. Таковы пути всех, совершающих беззаконие, —нечестием губят душу свою».
Блаженый жеБорисъ якоже ся бѣ воротилъ и сталъ бѣ на Льтѣ шатьры.[18] И рѣша къ нему дружина: «Поиди, сядиКыевѣ на столѣ отьни, се бо вси вои въ руку твоею суть». Онъ жеимъ отъвѣщааваше: «Не буди ми възяти рукы на брата своего и еще же и настарѣйша мене, егоже быхъ имѣлъ, акы отьца». Си слышавъше вои разидошася отнего, а самъ оста тъкъмо съ отрокы своими. И бяаше въ дьнь суботьный. Въ тузѣ ипечали, удручьнъмь сьрдьцьмь и вълѣзъ въ шатьръ свой, плакашеся съкрушенъмьсьрдьцьмь, а душею радостьною, жалостьно гласъ испущааше: «Сльзъ моихъ непрезьри, Владыко, да яко же уповаю на тя, тако да с твоими рабы прииму часть ижребий съ вьсѣми святыими твоими, яко ты еси Богъ милостивъ, и тебе славувъсылаемъ въ вѣкы. Аминь».	Блаженныйже Борис возвратился и раскинул свой стан на Альте. И сказала ему дружина:«Пойди, сядь в Киеве на отчий княжеский стол — ведь все воины в твоих руках».Он же им отвечал: «Не могу я поднять руку на брата своего, к тому же еще истаршего, которого чту я как отца». Услышав это, воины разошлись, и остался онтолько с отроками своими. И был день субботний. В тоске и печали, с удрученнымсердцем вошел он в шатер свой и заплакал в сокрушении сердечном, но, с душойпросветленной, жалобно восклицая: «Не отвергай слез моих, Владыка, ибо уповаю яна тебя! Пусть удостоюсь участи рабов твоих и разделю жребий со всеми святымитвоими, ты Бог милостивый, и славу тебе возносим вовеки! Аминь».
Помышляшетьже мучение и страсть святаго мученика Никиты и святаго Вячеслава, подобно жесему бывъшю убиению, и како святѣй Варварѣ отьць свой убойца бысть.[19] И помышляаше слово премудраагоСоломона: «Правьдьници въ вѣкы живуть и отъ Господа мьзда имъ и строение имъ отВышьняаго». И о семь словеси тъчию утѣшаашеся и радоваашеся.	Вспомнил оно мучении и страданиях святого мученика Никиты и святого Вячеслава, которыебыли убиты так же, и о том, как убийцей святой Варвары был ее родной отец. Ивспомнил слова премудрого Соломона: «Праведники вечно живут, и от Господа имнаграда и украшение им от Всевышнего». И только этими словами утешался ирадовался.
Таче быстьвечеръ и повелѣ пѣти вечерънюю, а самъ вълѣзъ въ шатьръ свой начатъ молитвутворити вечернюю съ сльзами горькыми и частыимь въздыханиемь, и стонаниемьмногымь. По сихъ леже съпати, и бяше сънъ его въ мънозѣ мысли и въ печали крѣпъцѣи тяжьцѣ и страшьнѣ: како предатися на страсть, како пострадати и течениесъконьчати и вѣру съблюсти, яко да и щадимый вѣньць прииметь от рукыВьседьржителевы. И видѣвъ, възбьнувъ рано, яко годъ есть утрьний. Бѣ же въсвятую недѣлю. Рече къ прозвутеру своему: «Въставъ, начьни заутрьнюю». Самъ же,обувъ нозѣ свои и умывъ лице свое, начатъ молитися къ Господу Богу.	Между темнаступил вечер, и Борис повелел петь вечерню, а сам вошел в шатер свой и сталтворить вечернюю молитву со слезами горькими, частым воздыханием и непрерывнымистенаниями. Потом лег спать, и сон его тревожили тоскливые мысли и печальгорькая, и тяжелая, и страшная: как претерпеть мучение и страдание, и окончитьжизнь, и веру сохранить, и приуготовленный венец принять из рук Вседержителя.И, проснувшись рано, увидел, что время уже утреннее. А был воскресный день.Сказал он священнику своему: «Вставай, начинай заутреню». Сам же, обувшись иумыв лицо свое, начал молиться к Господу Богу.
Посъланииже приидоша отъ Святопълка на Льто ночь и подъступиша близъ, и слышаша гласъблаженааго страстотьрпьца поюща Псалтырь заутрьнюю. Бяше же ему и вѣсть оубиении его. И начать пѣти: «Господи! Чьто ся умножиша сътужающии! Мънозивъсташа на мя»,[20]и прочая псалма, до коньца. И начатъ пѣти Псалтырь: «Обидоша мя псимнози и уньци тучьни одьржаша мя».[21]И пакы: «Господи Боже мой! На тя уповахъ, спаси мя».[22] Таже по семь канонъ.[23] И коньчавъшю ему утрьнюю, начатъмолитися, зьря къ иконѣ Господьни рече: «Господи Исусъ Христе! Иже симьобразъмь явися на земли изволивы волею пригвоздитися на крьстѣ и приимъ страстьгрѣхъ ради нашихъ, съподоби и мя прияти страсть!»	Посланные жеСвятополком пришли на Альту ночью, и подошли близко, и услышали голосблаженного страстотерпца, поющего на заутреню Псалтырь. И получил он уже вестьо готовящемся убиении его. И начал петь: «Господи! Как умножились враги мои!Многие востают на меня» — и остальную часть псалма, до конца. И, начавши петьпо Псалтыри: «Окружили меня скопища псов и тельцы тучные обступили меня»,продолжил: «Господи Боже мой! На тебя я уповаю, спаси меня!» И после этогопропел канон. И когда окончил заутреню, стал молиться, взирая на икону Господнюи говоря: «Господи Иисусе Христе! Как ты, в этом образе явившийся на землю исобственною волею давший пригвоздить себя к кресту и принять страдание за грехинаши, сподобь и меня так принять страдание!»
И якоуслыша шпътъ зълъ окрьстъ шатьра и трьпьтьнъ бывъ и начатъ сльзы испущати отъочию своею и глаголааше: «Слава ти, Господи, о вьсемь, яко съподобилъ мя есизависти ради прияти сию горькую съмьрть и все престрадати любъве ради словесетвоего. Не въсхотѣхомъ възискати себе самъ; ничто же себе изволихъ по апостолу:“Любы вьсе тьрпить, всему вѣру емлеть и не ищьть своихъ си”.[24] И пакы: “Боязни въ любъвинѣсть — съвьршеная бо любы вънъ отъмещеть боязнь”.[25] Тѣмь, Владыко, душа моя въ рукутвоею въину, яко закона твоего не забыхъ. Яко Господеви годѣ бысть — такобуди». И узьрѣста попинъ его и отрокъ, иже служааше ему, и видѣвъшагосподина своего дряхла и печалию облияна суща зѣло, расплакастася зѣло иглаголаста: «Милый господине наю и драгый! Колико благости испълненъ бысть, яконе въсхотѣ противитися брату своему любъве ради Христовы, а коликы воѣдьржа въ руку своею!» И си рекъша умилистася.	И когдауслышал он зловещий шепот около шатра, то затрепетал, и потекли слезы из глазего, и промолвил: «Слава тебе, Господи, за все, ибо удостоил меня зависти радипринять сию горькую смерть и претерпеть все ради любви к заповедям твоим. Незахотели мы сами избегнуть мук, ничего не пожелали себе, последуя заповедямапостола: “Любовь долготерпелива, всему верит, не завидует и не превозносится”.И еще: “В любви нет страха, ибо истинная любовь изгоняет страх”. Поэтому,Владыка, душа моя в руках твоих всегда, ибо не забыл я твоей заповеди. КакГосподу угодно — так и будет». И когда увидели священник Борисов и отрок,прислуживающий князю, господина своего, объятого скорбью и печалью, тозаплакали горько и сказали: «Милостивый и дорогой господин наш! Какой благостиисполнен ты, что не восхотел ради любви Христовой воспротивиться брату, а ведьсколько воинов держал под рукою своей!» И, сказав это, опечалились.
И абиеузьрѣ текущиихъ къ шатьру, блистание оружия и мечьное оцѣщение. И без милостипрободено бысть чьстьное и многомилостивое тѣло святаго и блаженааго Христовастрастотьрпьца Бориса. Насунуша копии оканьнии Путьша, Тальць, Еловичь, Ляшько.	И вдругувидел устремившихся к шатру, блеск оружия, обнаженные мечи. И без жалостипронзено было честное и многомилостивое тело святого и блаженного Христовастрастотерпца Бориса. Поразили его копьями окаянные Путьша, Талец, Елович,Ляшко.
Видѣвъ жеотрокъ его, вьржеся на тѣло блаженааго, рекый: «Да не остану тебе, господинемой драгый, да идеже красота тѣла твоего увядаеть, ту и азъ съподобленъ буду стобою съконьчати животъ свой!»	Видя это,отрок его прикрыл собою тело блаженного, воскликнув: «Да не оставлю тебя,господин мой любимый, — где увядает красота тела твоего, тут и я сподоблюсьокончить жизнь свою!»
Бяше же сьродъмь угринъ, имьньмь же Георгий. И бѣаше възложилъ на нь гривьну злату,[26] и бѣ любимъ Борисъмь паче мѣры. И туже и́ проньзоша.	Был же онродом венгр, по имени Георгий, и наградил его князь золотой гривной, и быллюбим Борисом безмерно. Тут и его пронзили.
И яко быстьураненъ и искочи и-шатьра въ оторопѣ. И нача глаголати стояще округъ его: «Чьтостоите зьряще! Приступивъше сконьчаимъ повелѣное намъ!» Си слышавъ блаженый,начатъ молитися и милъ ся имъ дѣяти, глаголя: «Братия моя милая и любимая! Маломи время отдайте, да понѣ помолюся Богу моему». И възьрѣвъ на небо съ сльзами игорцѣ въздъхнувъ начатъ молитися сицими глаголы: «Господи Боже моймногомилостивый и милостивый и премилостиве! Слава ти, яко съподобилъ мя есиубѣжати отъ прельсти жития сего льстьнааго! Слава ти, прещедрый живодавьче якосподоби мя труда святыихъ мученикъ! Слава ти, Владыко чловѣколюбьче, сподобивыймя съконьчати хотѣние сьрдьца моего! Слава ти, Христе, мъногому ти милосьрдию,иже направи на правый путь мирьны ногы моя тещи къ тебе бесъблазна!Призьри съ высоты святыня твоея, вижь болѣзнь сьрдьца моего, юже прияхъ отсъродника моего, яко тебе ради умьрщвяемъ есмь вь сь дьнь, Въмѣниша мя, якоовьна на сънѣдь. Вѣси бо, Господи мой, яко не противлюся ни въпрекы глаголю, аимый въ руку вься воя отьца моего и вься любимыя отьцемь моимь, и ничьтожеумыслихъ противу брату моему. Онъ же селико, елико възможе, въздвиже на мя.Да “аще бы ми врагъ поносилъ, протьрпѣлъ убо быхъ, аще бы ненавидя меневельречевалъ, укрылъ быхъ ся”.[27]Нъ ты, Господи, вижь и суди межю мною и межю братъмь моимь. И не постави имъ,Господи, грѣха сего, нъ приими въ миръ душю мою. Аминь».	И,раненный, выскочил он в оторопе из шатра. И заговорили стоящие около шатра:«Что стоите и смотрите! Начав, завершим повеленное нам». Услышав это, блаженныйстал молиться и просить их, говоря: «Братья мои милые и любимые! Погодитенемного, дайте помолиться Богу». И воззрев на небо со слезами, и горьковздохнув, начал молиться такими словами: «Господи Боже мой многомилостивый имилостивый и премилостивый! Слава тебе, что сподобил меня уйти от обольщенияэтой обманчивой жизни! Слава тебе, щедрый дарователь жизни, что сподобил меняподвига достойного святых мучеников! Слава тебе, Владыка человеколюбец, чтосподобил меня свершить сокровенное желание сердца моего! Слава тебе, Христос,слава безмерному твоему милосердию, ибо направил ты стопы мои на правый путь!Взгляни с высоты святости твоей и узри боль сердца моего, которую претерпел яот родственника моего — ведь ради тебя умерщвляют меня в день сей. Меняуравняли с овном, уготовленным на убой. Ведь ты знаешь, Господи, не противлюсья, не перечу и, имев под своей рукой всех воинов отца моего и всех, кого любилотец мой, ничего не замышлял против брата моего. Он же, сколько смог, воздвигпротив меня. “Если бы враг поносил меня — это я стерпел бы; если бы ненавистникмой клеветал на меня, — укрылся бы я от него”. Но ты, Господи, будь свидетель исверши суд между мною и братом моим. И не осуждай их, Господи, за грех этот, ноприми с миром душу мою. Аминь».
И възьрѣвъкъ нимъ умиленама очима и спадъшемь лицьмь, и вьсь сльзами облиявъся рече:«Братие, приступивъше, съконьчаите служьбу вашю. И буди миръ брату моемуи вамъ, братие».	И воззревна своих убийц горестным взглядом, с осунувшимся лицом, весь обливаясь слезами,промолвил: «Братья, приступивши, заканчивайте порученное вам. И да будет мирбрату моему и вам, братья!»
Да елико слышаху словеса его, отъ сльзъ не можаахуни словесе рещи, отъ страха же и печали горькы и мъногыхъ сльзъ. Нъ съвъздыханиемь горькымь жалостьно глаголааху и плакаахуся и къжьдо въ души своейстонааше: «Увы намъ, къняже нашь милый и драгый и блаженый, водителю слѣпыимъ,одеже нагымъ, старости жьзле, казателю ненаказанымъ! Кто уже си вься исправить?Како не въсхотѣ славы мира сего, како не въсхотѣ веселитися съ чьстьныимивельможами, како не въсхотѣ величия, еже въ житии семь. Къто не почюдиться великуумусъмерению, къто ли не съмѣриться, оного съмѣрение видя и слыша?»	И все, ктослышали слова его, не могли вымолвить ни слова от страха и печали горькой ислез обильных. С горькими воздыханиями жалобно сетовали и плакали, и каждый вдуше своей стенал: «Увы нам, князь наш милостивый и блаженный, поводырь слепым,одежда нагим, посох старцам, наставник неразумным! Кто теперь их всех направит?Не восхотел славы мира сего, не восхотел веселиться с вельможами честными, невосхотел величия в жизни сей. Кто не поразится столь великому смирению, кто несмирится сам, видя и слыша его смирение?»
И абиеусъпе, предавъ душю свою въ руцѣ Бога жива, мѣсяца июлия въ 24 дьнь, преже 9каландъ агуста.[28]	И так почилБорис, предав душу свою в руки Бога живого в 24-й день месяца июля, за 9 днейдо календ августовских.
Избиша же иотрокы многы. Съ Георгия же не могуще съняти гривьны и отсѣкъше главу,отъвьргоша и́ кромѣ. Да тѣмь и послѣдь не могоша познати тѣла его.	Перебили иотроков многих. С Георгия же не могли снять гривны и, отрубив ему голову,отшвырнули ее прочь. Поэтому и не смогли опознать тела его.
