ПОВѣСТИ О ЖИТИИ И О ХРАБРОСТИ БЛАГОВѣРНАГО И ВЕЛИКАГО КНЯЗЯ АЛЕКСАНДРА	ПОВЕСТЬ О ЖИТИИ И О ХРАБРОСТИ БЛАГОВЕРНОГО И ВЕЛИКОГО КНЯЗЯ АЛЕКСАНДРА
Увѣдавъ силу ратных, иде противу князя Александра, да скажеть ему станы. Стоящю же ему при краи моря и стрежаше обою пути, и пребысть всю нощь въ бдѣнии. И яко же нача въсходити солнце, слыша шюмъ страшенъ по морю и видѣ насадъ[17] единъ гребущь по морю, и посреди насада стояща святая мученика Бориса и Глѣбъ въ одеждах чръвленых, и бѣста рукы дръжаща на рамѣх. Гребци же сѣдяху, акы мглою одѣани. Рече Борисъ: «Брате Глѣбе, вели грести, да поможемь сроднику своему князю Александру». Видѣв же таковое видѣние и слышавъ таковый глас от мученику, стояше трепетенъ, дондеже насадъ отиде от очию его.	Узнав о силе неприятеля, он вышел навстречу князю Александру, чтобы рассказать ему об их станах. Стоял он на берегу моря, наблюдая за обоими путями, и провел всю ночь без сна. Когда же начало всходить солнце, он услышал шум сильный на море и увидел один насад, плывущий по морю, и стоящих посреди насада святых мучеников Бориса и Глеба в красных одеждах, держащих руки на плечах друг друга. Гребцы же сидели, словно мглою одетые. Произнес Борис: «Брат Глеб, вели грести, да поможем сроднику своему князю Александру». Увидев такое видение и услышав эти слова мучеников, Пелугий стоял, устрашенный, пока насад не скрылся с глаз его.
Потомъ скоро поеде Александръ, он же, видѣв князя Александра радостныма очима, исповѣда ему единому видѣние. Князь же рече ему: «Сего не рци никому же».	Вскоре после этого пришел Александр, и Пелугий, радостно встретив князя Александра, поведал ему одному о видении. Князь же сказал ему: «Не рассказывай этого никому».
Оттолѣ потщався наеха на ня въ 6 час дне, и бысть сѣча велика над римляны,[18] и изби их множество бесчислено, и самому королю възложи печать на лице острымь своимь копиемъ.	После того Александр поспешил напасть на врагов в шестом часу дня, и была сеча великая с римлянами, и перебил их князь бесчисленное множество, а на лице самого короля оставил печать острого копья своего.
Здѣ же явишася 6 мужь храбрых с самѣм с ним ис полку его.	Проявили себя здесь шесть храбрых, как он, мужей из полка Александра.
Единъ именем Гаврило Олексичь. Се наѣха на шнеку[19] видѣв королевича, мча подъ руку, и възъѣха по досцѣ и до самогу коробля, по ней же хожаху с королевичем, иже текоша передъ ним, а самого, емше, свергоша и с конем в воду з доскы. И Божьею милостью невреженъ бысть, и пакы наѣха, и бися с самѣм воеводою середи полку ихъ.	Первый — по имени Таврило Олексич. Он напал на шнек и, увидев королевича, влекомого под руки, въехал до самого корабля по сходням, по которым бежали с королевичем; преследуемые им схватили Гаврилу Олексича и сбросили его со сходен вместе с конем. Но по Божьей милости он вышел из воды невредим, и снова напал на них, и бился с самим воеводою посреди их войска.
2 — именем Сбыславъ Якуновичь, новгородець. Се наѣха многажды на полкъ ихъ и бьяшется единѣм топоромъ, не имѣя страха въ души своей, и паде нѣколико от руку его, и подивишася силѣ и храбръству его.	Второй — по имени Сбыслав Якунович, новгородец. Этот много раз нападал на войско их и бился одним топором, не имея страха в душе своей; и пали многие от руки его, и дивились силе и храбрости его.
3-и — Яковъ, родомъ полочанинъ, ловчий бѣ у князя. Се наѣха на полкъ с мечемъ, и похвали его князь.	Третий — Яков, родом полочанин, был ловчим у князя. Этот напал на полк с мечом, и похвалил его князь.
4 — новгородець, именемь Мѣша. Се пѣшь натече на корабли и погуби 3 корабли з дружиною своею.	Четвертый — новгородец, по имени Меша. Этот пеший с дружиною своею напал на корабли и потопил три корабля.
5-и — от молодыхъ его, именем Сава. Се въѣха в шатеръ великий королевъ золотоверхий и подъсѣче столпъ шатерный. Полци Олександрови, видѣвше шатра паденье, върадовашася.	Пятый — из младшей дружины, по имени Сава. Этот ворвался в большой королевский златоверхий шатер и подсек столб шатерный. Полки Александровы, видевши шатра падение, возрадовались.
6-и — от слугъ его, именем Ратмѣръ. Се бися пѣшь, и отсупиша и мнози. Он же от многых ранъ паде и тако скончася.	Шестой — из слуг Александра, по имени Ратмир. Этот бился пешим, и обступили его враги многие. Он же от многих ран пал и так скончался.
Си же вся слышах от господина своего великого князя Олександра и от инѣхъ, иже в то время обрѣтошася в той сѣчи.	Все это слышал я от господина своего великого князя Александра и от тех, кто участвовал в то время в этой битве.
Бысть же в то время чюдо дивно, яко же во древьняя дни при Езекии цесари.[20] Еда приде Санахиримъ, асурийскый цесарь, на Иерусалимъ, хотя плѣнити град святый Ерусалимъ, внезапу изиде ангелъ Господень, изби и от полка асурийска 100 и 80 и 5 тысящь, и, въставше утро, обрѣтошася трупья мертвы вся. Тако же бысть при побѣдѣ Александровѣ, егда побѣди короля, об онъ полъ рѣкы Ижжеры, иде же не бѣ проходно полку Олександрову, здѣ обрѣтоша много множъство избьеных от ангела Господня. [21] Останокъ же их побѣже, и трупиа мертвых своих наметаша корабля и потопиша в мори. Князь же Александръ возвратися с побѣдою, хваля и славя имя своего Творца.	Было же в то время чудо дивное, как в прежние дни при Езекии-царе. Когда пришел Сеннахириб, царь ассирийский, на Иерусалим, желая покорить святой град Иерусалим, внезапно явился ангел Господень и перебил сто восемьдесят пять тысяч из войска ассирийского, и когда настало утро, нашли только мертвые трупы. Так было и после победы Александровой: когда победил он короля, на противоположной стороне реки Ижоры, где не могли пройти полки Александровы, здесь нашли несметное множество убитых ангелом Господним. Оставшиеся же обратились в бегство, и трупы мертвых воинов своих набросали в корабли и потопили их в море. Князь же Александр возвратился с победою, хваля и славя имя своего Творца.
Въ второе же лѣто по возвращении с побѣды князя Александра приидоша пакы от Западныя страны и возградиша град въ отечьствѣ Александровѣ.[22] Князь же Александръ воскорѣ иде и изверже град их из основания, а самых извѣша и овѣх с собою поведе, а инѣх, помиловавъ, отпусти, бѣ бо милостивъ паче мѣры.	На второй же год после возвращения с победой князя Александра вновь пришли из Западной страны и построили город на земле Александровой. Князь же Александр вскоре пошел и разрушил город их до основания, а их самих — одних повесил, других с собою увел, а иных, помиловав, отпустил, ибо был безмерно милостив.
По побѣдѣ же Александровѣ, яко же побѣди короля, в третий год, в зимнее время, поиде на землю немецкую в велицѣ силѣ, да не похвалятся, ркуще: «Укоримъ словеньскый языкъ ниже себе».	После победы Александровой, когда победил он короля, на третий год, в зимнее время, пошел он с великой силой на землю немецкую, чтобы не хвастались, говоря: «Покорим себе словенский народ».
Уже бо бяше град Псков взят[23] и намѣстникы от немець посажени. Он же въскорѣ градъ Псковъ изгна и немець изсѣче, а инѣх повяза и град свободи от безбожных немецъ, а землю их повоева и пожже и полона взя бес числа, а овѣх иссече. Они же, гордии, совокупишася и рекоша: «Поидемъ и побѣдим Александра и имемъ его рукама».	А был ими уже взят город Псков и наместники немецкие посажены. Он же вскоре изгнал их из Пскова и немцев перебил, а иных связал и город освободил от безбожных немцев, а землю их разорил и пожег и пленных взял бесчисленное множество, а других перебил. Немцы же, гордые, собрались и сказали: «Пойдем, и победим Александра, и захватим его».
Егда же приближишяся, и очютиша я стражие. Князь же Александръ оплъчися, и поидоша противу себе, и покриша озеро Чюдьское обои от множества вои. Отець же его Ярославъ прислалъ бѣ ему брата меньшаго Андрѣя на помощь въ множествѣ дружинѣ. Тако же и у князя Александра множество храбрых, яко же древле у Давыда царя силнии, крѣпции. Тако и мужи Александровы исполнишася духом ратнымъ, бяху бо сердца их, акы сердца лвомъ, и рѣшя: «О княже нашь честный! Нынѣ приспѣ врѣмя нам положити главы своя за тя». Князь же Александръ воздѣвъ руцѣ на небо и рече: «Суди ми, Боже, и разсуди прю мою от языка непреподобна, и помози ми, Господи, яко же древле Моисию на Амалика и прадѣду нашему Ярославу на окааннаго Святополка».[24]	Когда же приблизились немцы, то проведали о них стражи. Князь же Александр приготовился к бою, и пошли они друг против друга, и покрылось озеро Чудское множеством тех и других воинов. Отец же Александра Ярослав прислал ему на помощь младшего брата Андрея с большою дружиною. И у князя Александра тоже было много храбрых воинов, как в древности у Давида-царя, сильных и крепких. Так и мужи Александра исполнились духа ратного, ведь были сердца их как сердца львов, и воскликнули: «О княже наш славный! Ныне пришло нам время положить головы свои за тебя». Князь же Александр воздел руки к небу и сказал: «Суди меня, Боже, рассуди распрю мою с народом неправедным и помоги мне, Господи, как в древности помог Моисею одолеть Амалика и прадеду нашему Ярославу окаянного Святополка».
Бѣ же тогда субота, въсходящю солнцю, и съступишяся обои. И бысть сѣча зла,[25] и трусъ от копий ломления, и звукъ от сѣчения мечнаго, яко же и езеру померзъшю двигнутися, и не бѣ видѣти леду, покры бо ся кровию.	Была же тогда суббота, и когда взошло солнце, сошлись противники. И была сеча жестокая, и стоял треск от ломающихся копий и звон от ударов мечей, и казалось, что двинулось замерзшее озеро, и не было видно льда, ибо покрылось оно кровью.
Се же слышах от самовидца, иже рече ми, яко видѣх полкъ Божий на въздусѣ, пришедши на помощь Александрови. И тако побѣди я помощию Божиею, и даша плеща своя, и сѣчахуть я, гоняще, аки по иаеру, и не бѣ камо утещи. Зде же прослави Богъ Александра пред всѣми полкы, яко же Исуса Наввина у Ерехона.[26] А иже рече, имемь Александра руками, сего дасть ему Богъ в руцѣ его. И не обрѣтеся противникъ ему въ брани никогда же. И возвратися князь Александръ с побѣдою славною, и бяше множество полоненых в полку его, и ведяхут босы подле коний, иже именують себе Божии ритори.	А это слышал я от очевидца, который поведал мне, что видел воинство Божие в воздухе, пришедшее на помощь Александру. И так он победил врагов помощью Божьей, и обратились они в бегство, Александр же рубил их, гоня, как по воздуху, и некуда было им скрыться. Здесь прославил Бог Александра пред всеми полками, как Иисуса Навина у Иерихона. А того, кто сказал: «Захватим Александра», — отдал Бог в руки Александра. И никогда не было противника, достойного его в бою. И возвратился князь Александр с победою славною, и было много пленных в войске его, и вели босыми подле коней тех, кто называет себя «Божьими рыцарями».
И яко же приближися князь къ граду Пскову, игумени же и попове и весь народ срѣтоша и пред градомъ съ кресты, подающе хвалу Богови и славу господину князю Александру, поюще пѣснь: «Пособивый, Господи, кроткому Давыду побѣдити иноплеменьникы и вѣрному князю нашему оружиемь крестным и свободи градъ Псков от иноязычникъ рукою Александровою».	И когда приблизился князь к городу Пскову, то игумены, и священники, и весь народ встретили его перед городом с крестами, воздавая хвалу Богу и прославляя господина князя Александра, поюще песнь: «Ты, Господи, помог кроткому Давиду победить иноплеменников и верному князю нашему оружием крестным освободить город Псков от иноязычников рукою Александровою».
И рече Александръ: «О невѣгласи псковичи! Аще сего забудете и до правнучатъ Александровых, и уподобитеся жидом, их же препита Господь в пустыни манною и крастелми печеными, и сихъ всѣх забыша и Бога своего, изведшаго я от работы изь Египта».	И сказал Александр: «О невежественные псковичи! Если забудете это до правнуков Александровых, то уподобитесь иудеям, которых питал Господь в пустыне манною небесною и перепелами печеными, но забыли все это они и Бога своего, избавившего их от плена египетского».
И нача слыти имя его по всѣмь странамъ, и до моря Хонужьскаго,[27] и до горъ Араратьскых, и об ону страну моря Варяжьскаго,[28] и до великаго Риму.	И прославилось имя его во всех странах, от моря Хонужского и до гор Араратских, и по ту сторону моря Варяжского и до великого Рима.
В то же время умножися языка литовьскаго и начаша пакостити волости Александрове. Он же выездя и избиваше я. Единою ключися ему выехати, и побѣди 7 ратий единѣмъ выездомъ и множество князей их изби, а овѣх рукама изыма, слугы же его, ругающеся, вязахуть их къ хвостомъ коней своихъ. И начаша оттолѣ блюсти имени его.	В то же время набрал силу народ литовский и начал грабить владения Александровы. Он же выезжал и избивал их. Однажды случилось ему выехать на врагов, и победил он семь полков за один выезд и многих князей их перебил, а иных взял в плен, слуги же его, насмехаясь, привязывали их к хвостам коней своих. И начали с того времени бояться имени его.
В то же время бѣ царь силенъ на Въсточнѣй странѣ,[29] иже бѣ ему Богъ покорилъ языкы многы, от въстока даже и до запада. Тъй же царь, слышавъ Александра тако славна и храбра, посла к нему послы и рече: «Александре, вѣси ли, яко Богъ покори ми многы языкы? Ты ли един не хощеши покорити ми ся? Но аще хощеши съблюсти землю свою, то приеди скоро къ мнѣ и видиши честь царства моего».	В то же время был в Восточной стране сильный царь, которому покорил Бог народы многие, от востока и до запада. Тот царь, прослышав о такой славе и храбрости Александра, отправил к нему послов и сказал: «Александр, знаешь ли, что Бог покорил мне многие народы? Что же — один ты не хочешь мне покориться? Но если хочешь сохранить землю свою, то приезжай скорее ко мне и увидишь славу царства моего».
Князь же Александръ прииде в Володимеръ по умертвии отца своего в силѣ велицѣ. И бысть грозенъ приездъ его, и промчеся вѣсть его и до устья Волгы. И начаша жены моавитьскыя[30] полошати дѣти своя, ркуше: «Александръ едет!»	После смерти отца своего пришел князь Александр во Владимир в силе великой. И был грозен приезд его, и промчалась весть о нем до устья Волги. И жены моавитские начали стращать детей своих, говоря: «Александр едет!»
Съдумав же князь Александръ, и благослови его епископъ Кирилъ, и поиде к цареви въ Орду. И видѣвъ его царь Батый, и подивися, и рече велможамъ своимъ: «Истинну ми сказасте, яко нѣсть подобна сему князя». Почьстив же и честно, отпусти и.	Решил князь Александр пойти к царю в Орду, и благословил его епископ Кирилл. И увидел его царь Батый, и поразился, и сказал вельможам своим: «Истину мне сказали, что нет князя, подобного ему». Почтив же его достойно, он отпустил Александра.
По сем же разгнѣвася царь Батый на брата его меншаго Андрѣя и посла воеводу своего Неврюня[31] повоевати землю Суждальскую. По плѣнении же Неврюневѣ князь великый Александръ церкви въздвигну, грады испольни, люди распуженыа събра в домы своя. О таковых бо рече Исайа пророкъ[32]: «Князь благъ въ странах — тих, увѣтливъ, кротокъ, съмѣренъ, по образу Божию есть». Не внимая богатьства и не презря кровъ праведничю, сиротѣ и вдовици въправду судяи, милостилюбець, благъ домочадцемь своимъ и вънѣшнимъ от странъ приходящимь кормитель. На таковыя Богъ призирает, Богъ бо не аггеломъ любит, но человекомъ си щедря ущедряеть и показаеть на мирѣ милость свою.	После этого разгневался царь Батый на меньшего брата его Андрея и послал воеводу своего Неврюя разорить землю Суздальскую. После разорения Неврюем земли Суздальской князь великий Александр воздвиг церкви, города отстроил, людей разогнанных собрал в дома их. О таких сказал Исайя-пророк: «Князь хороший в странах — тих, приветлив, кроток, смиренен — и тем подобен Богу». Не прельщаясь богатством, не забывая о крови праведников, сирот и вдов по правде судит, милостив, добр для домочадцев своих и радушен к приходящим из чужих стран. Таким и Бог помогает, ибо Бог не ангелов любит, но людей в щедрости своей щедро одаривает и являет в мире милосердие свое.
Распространи же Богъ землю его богатьствомъ и славою, и удолъжи Богъ лѣт ему.	Наполнил же Бог землю Александра богатством и славою и продлил Бог лета его.
Нѣкогда же приидоша къ нему послы от папы из великого Рима,[33] ркуще: «Папа нашь тако глаголет: “Слышахом тя князя честна и дивна, и земля твоя велика. Сего ради прислахом к тобѣ от двоюнадесятъ кординалу два хытреша — Агалдада и Гѣмонта, да послушаеши учения ихъ о законѣ Божии”».	Однажды пришли к нему послы от папы из великого Рима с такими словами: «Папа наш так говорит: “Слышали мы, что ты князь достойный и славный и земля твоя велика. Потому и прислали к тебе из двенадцати кардиналов двух умнейших — Агалдада и Ремонта, чтобы послушал ты речи их о законе Божьем”».
Князь же Александръ, здумавъ съ мудреци своими, въсписа к нему и рече: «Отъ Адама до потопа, от патопа до разделения языкъ, от разьмѣшениа языкъ до начяла Авраамля,[34] от Авраама до проитиа Иисраиля сквозе море,[35] от исхода сыновъ Иисраилевъ до умертвия Давыда царя, от начала царства Соломоня до Августа[36] и до Христова рожества, от рожества Христова до страсти и воскресения, от въскресения же его и на небеса възшествиа и до царства Константинова,[37] от начала царства Константинова до перваго збора и седмаго[38] — си вся добрѣ съвѣдаемь, а от вас учения не приемлем». Они же възвратишяся въсвояси.	Князь же Александр, подумав с мудрецами своими, написал ему такой ответ: «От Адама до потопа, от потопа до разделения народов, от смешения народов до начала Авраама, от Авраама до прохождения израильтян сквозь море, от исхода сынов Израилевых до смерти Давида-царя, от начала царствования Соломона до Августа и до Христова рождества, от рождества Христова и до распятия его и воскресения, от воскресения же его и вознесения на небеса и до царствования Константинова, от начала царствования Константинова до первого собора и седьмого – обо всем этом хорошо знаем, а от вас учения не примем». Они же возвратились восвояси.
И умножишяся дни живота его в велицѣ славѣ, бѣ бо иерѣелюбець и мьнихолюбець, и нищая любя, митрополита же и епископы чтяше и послушааше их, аки самого Христа.	И умножились дни жизни его в великой славе, ибо любил священников, и монахов, и нищих, митрополитов же и епископов почитал и внимал им, как самому Христу.
Бѣ же тогда нужда велика от иноплеменникъ, и гоняхут христианъ, веляще с собою воиньствовати. Князь же великый Александръ поиде к цареви, дабы отмолити людии от бѣды тоя.[39]	Было в те времена насилие великое от иноверных, гнали они христиан, заставляя их воевать на своей стороне. Князь же великий Александр пошел к царю, чтобы отмолить людей своих от этой беды.
А сына своего Дмитрия посла на Западныя страны[40] и вся полъкы своя посла с нимъ и ближних своих домочадець, рекши к ним: «Служите сынови моему, акы самому мнѣ, всѣмь животомъ своимъ». Поиде князь Димитрий в силѣ велицѣ, и плѣни землю Нѣмецкую, и взя град Юрьевъ, и възвратися к Новугороду съ многымъ полоном и с великою корыстию.	А сына своего Дмитрия послал в Западные страны, и все полки свои послал с ним, и близких своих домочадцев, сказав им: «Служите сыну моему, как самому мне, всей жизнью своей». И пошел князь Дмитрий в силе великой, и завоевал землю Немецкую, и взял город Юрьев, и возвратился в Новгород со множеством пленных и с большой добычею.
Отець же его князь великый Александръ възвратися из Орды от царя, и доиде Новагорода Нижняго, и ту пребывъ мало здрав, и, дошед Городца, разболѣся. О горѣ тобѣ, бѣдный человече! Како можеши написати кончину господина своего! Како не упадета ти зѣници вкупѣ съ слезами. Како же не урвется сердце твое от корения! Отца бо оставити человекъ может, а добра господина не мощно оставити: аще бы лзѣ, и въ гробъ бы лѣзлъ с ним!	Отец же его великий князь Александр возвратился из Орды от царя, и дошел до Нижнего Новгорода, и там занемог, и, прибыв в Городец, разболелся. О горе тебе, бедный человек! Как можешь описать кончину господина своего! Как не выпадут зеницы твои вместе со слезами! Как не вырвется сердце твое с корнем! Ибо отца оставить человек может, но доброго господина нельзя оставить; если бы можно было, то в гроб бы сошел с ним!
Пострада же Богови крѣпко, остави же земное царство и бысть мних, бѣ бо желание его паче мѣры аггельскаго образа. Сподоби же его Богъ и болший чин приати — скиму. И так Богови духъ свой предасть с миромъ месяца ноября въ 14 день, на память святаго апостола Филиппа.	Много потрудившись Богу, он оставил царство земное и стал монахом, ибо имел безмерное желание принять ангельский образ. Сподобил же его Бог и больший чин принять – схиму. И так с миром Богу дух свой предал месяца ноября в четырнадцатый день, на память святого апостола Филиппа.
Митрополит же Кирилъ глаголаше: «Чада моя, разумѣйте, яко уже заиде солнце земли Суздальской!» Иерѣи и диакони, черноризци, нищии и богатии, и вси людие глаголааху: «Уже погыбаемь!»	Митрополит же Кирилл говорил: «Дети мои, знайте, что уже зашло солнце земли Суздальской!» Иереи и диаконы, черноризцы, нищие и богатые, и все люди восклицали: «Уже погибаем!»
Святое же тѣло его понесоша къ граду Володимерю. Митрополитъ же, князи и бояре и весь народ, малии, велиции, срѣтоша и въ Боголюбивѣмъ[41] съ свѣщами и с кандилы. Народи же съгнатахутся, хотяще прикоснутися честнѣмь одрѣ святаго тѣла его. Бысть же вопль, и кричание, и туга, яка же нѣсть была, яко и земли потрястися. Положено же бысть тѣло его въ Рожестве святыя Богородица, въ архимандритьи велицѣи,[42] месяца ноябриа, въ 24, на память святаго отца Амфилохия.	Святое же тело Александра понесли к городу Владимиру. Митрополит же, князья и бояре и весь народ, малые и большие, встречали его в Боголюбове со свечами и кадилами. Люди же толпились, стремясь прикоснуться к святому телу его на честном одре. Стояли же вопль, и стон, и плач, каких никогда не было, даже земля содрогнулась. Положено же было тело его в церкви Рождества святой Богородицы, в великой архимандритье, месяца ноября в 24 день, на память святого отца Амфилохия.
