ПЕРВЫЙ СТЕПЕНЬ И ГРАНЬ 1, В НЕЙЖЕ ГЛАВ 75 И ТРИ МИТРОПОЛИТЫ, МИХАИЛ, ЛЕОНТЪ И ИОАН	ПЕРВАЯ СТУПЕНЬ И ГРАНЬ 1-Я, В КОТОРОЙ 75 ГЛАВ И ТРИ МИТРОПОЛИТА, МИХАИЛ, ЛЕОНТ И ИОАНН
По смерти же Олеговѣ в лѣто 6449 Игор иде на греки и поплени страны вифинчьския и по Понту и до Ираклия и до Пефлагонския земли, и всю Никомидийскую землю поплѣни.[26] Царь же Роман и зять его Констянтинъ Багрянородный послаша ко Игорю и умолиша его, и даша дань выше первые Олеговы.	После же смерти Олега в год 6449 (941) пошел Игорь на греков и пленил земли вифинские и земли по Понту, вплоть до Гераклеи и Пафлагонской земли, и всю землю Никомидийскую пленил. И царь Роман со своим зятем Константином Багрянородным послали к Игорю и упросили его, и дали дань больше первой Олеговой.
Глава 5. О Свѣтославовѣ самодержьствѣ, и одолѣние на болгары, и дан на греки. Такоже и сынъ Игорев Свѣтослав, отецъ сего равноапостольнаго Владимира, велми бяше храбор и легок и совокупляя избранныя воины многии храбрыи; возовѣ же по себѣ не возяше, ни шатра, ни котла, мяс бо не варяше, но, изрѣзав тонко, на углии печаше; спаше же на войлоце, в возглавия же мѣсто — сѣдло; и всюду побѣжая сопротивныя ему; в лѣто 6475 и болгары дунайския одолѣ и взя 80 градов их — и сѣде в Переславцѣ, граде их; и греческаго воинства 100 тысящ победи токмо десятию тысящама своимъ воинством, и грады их разби и пустыи остави, и дан велику взя на Царѣграде.	Глава 5. О самодержавном правлении Святослава, и о победе над болгарами, и о дани с греков. И сын Игоря Святослав, отец равноапостольного сего Владимира, был также очень храбр и легок <на подъем> и собирал <вокруг себя> много храбрых отборных воинов; не возил он за собой возов, ни шатра, ни котла, ибо не варил он мяса, а пек его на углях, тонко нарезав; а спал на войлоке, вместо же изголовья — седло; и везде побеждал своих врагов; в 6475 (967) году победил дунайских болгар и взял 80 крепостей их — и сел в их крепости Переяславце; и стотысячное греческое войско победил одним лишь десятком тысяч своего войска, и города их разбил и пустыми оставил, и великую дань взял с Царьграда.
Глава 6. Фотия патриарха свидѣтелство. Разумно же да будет, еяже ради вины предложися слово о храбрости руских скипетродержателей, — понеже нача удержаватися руская брань на греки блаженнаго сего самодержца Владимира миролюбием, восприятия ради благочестия от греческаго правовѣрия, якоже о сихъ свидѣтелствует и самого Царствующаго града святѣйший патриархъ Фотий во своем послании,[27] иже к восточным архиерѣйским престолом, Александрѣйскому и прочимъ, на многое еретическое обличение, и яко не подобает глаголати Духа Святаго от Отца и от Сына исходяща, но от единого Отца; идѣже пишет и о болгарех, како от христоненавистнаго варварства во истинное християнство к благочестию нечаятелне прицѣпишася, и, двою лѣт во благочестии не пребывши, всѣяша в них еретицы многия ереси, иже тогда блаженный патриархъ Фотие тщашеся паки в совершенное благочестие возвратити. В том же послании благодарствено воспоминает и о руских самодержателех, како и отъ каковыи злобы и сверѣпства и непрестаннаго ратования на греки внезапу на любов премѣнишася и от богомерзостнаго идолобѣсия ко истинному приобщищася благочестию, егоже держаху усердно и непревратно. Пишет же Фотий патриархъ в таковѣм своем послании сице: «Иже у многих многажды повѣдаемый язык, иже в лютость и в совершенное убийство всѣх вторых сотворяя, сей глаголемый руский, иже убо на Греческое царство и окрестъ их живущих поработивше и от того гордстию возвысившеся руцѣ сопротив простроша, но обаче нынѣ и тии християнскую чистую и непорочную вѣру восприяша и вмѣсто языческаго и безбожнаго идолобѣсия, въ немъже преже одержими бяху, премѣнишася в чин послушник и приятелей и вмѣсто еже за мало преже на ны от них пленения и велия дерзости нынѣ к намъ любовне себе поставиша; и в толицей их вѣре такова любовь и ревность распалися в них, яко епископов и самого пастыря прияша, святѣйшаго митрополита и християнския службы со многим потщаниемъ и прилежанием облобызаша».	Глава 6. Свидетельство Фотия патриарха. И пусть ведомо будет, по какой причине предложен <здесь> рассказ о храбрости русских скипетродержателей, — потому, что стали утихать русские набеги на греков из-за миролюбия сего блаженного самодержца Владимира, из-за восприятия им благочестия от греческого правоверия, как об этом свидетельствует и самого Царствующего града святейший патриарх Фотий в своем послании к восточным архиерейским престолам, Александрийскому и другим, где много обличаются еретики и <говорится>, что не подобает говорить о Святом Духе, что от Отца и от Сына он исходит, но лишь от одного Отца; где пишется и о болгарах, как из ненавидящего христианство варварства прилепились неожиданно они к благочестию, и как насеяли средь них еретики, среди и двух лет в благочестии не пробывших, множество ересей, их тогда блаженный патриарх Фотий старался снова возвратить к полному благочестию. И в том послании вспоминает с благодарностью <патриарх> и о русских самодержцах, как после столь сильного зла и свирепости и после непрестанных набегов на греков обратились они внезапно к любви и как после богомерзкого идолопоклонства и беснования приобщились они к истинному благочестию, каковое и стали держать усердно и неизменно. И пишет Фотий патриарх в том послании своем следующее: «Многим многажды ведомый народ, тот, что нес всем народам лютые беды и одну погибель, этот народ, называемый русскими, кто поработил Греческое царство и окрест них живущие <народы> и, возгордившись этим, простер руки и дальше, ныне и он принял чистую и непорочную христианскую веру, вместо языческого и безбожного идолопоклонства и беснования, в котором прежде они пребывали, перешли они к послушанию и приятию, и вместо того как прежде чуть было не пленили они нас, вместо великой дерзости, ныне относятся они к нам с любовью; и в столь сильной вере их разгорелась в них столь сильная любовь и рвение, что и епископов они приняли, и самого пастыря, святейшего митрополита, и христианское богослужение с большим усердием и прилежанием они приняли».
Не в новых бо лѣтех Руская земля многа и велика пространствомъ и неисчетна силна воиньством, но вельми от древних лѣт и времен многим странамъ и царствомъ страшни бяху и многим одолѣваху. (...)	Так что не с недавних лет огромна и велика Русская земля пространством и несчетно сильна воинством, но с весьма древних лет и времен устрашали они многие земли и царства и многих побеждали. <...>
Глава 12. Начало о святем Владимире, иже бысть 4 степень от Рюрика, благочестию 1. Время уже настоит воспомянути о сем преславном Владимире, — како преже, еллинскимъ обычаемъ послѣдуя,[28] в нечестии самодержствуя, и како послѣди и истиннаго Бога взыска и обрѣте, и како во благочестии самодержствуя и преспѣвая правовѣрием древле царствовавших во благочестии, такоже и процвѣтший иже от чреслъ его многорасленый плодъ благословеный в род и род непреложнии исполнители бяху всему закону християнскому. И не зрим никтоже на первое нечестие и злострастное ко грѣху Владимирово рачение, но послѣдними его иже к Богу и человѣкомъ благочестивыми дѣлы уцеломудримся. Стремления бо его нечестивая и страстная сего ради явлена здѣ, да не впаднем в таковая, а иже впадшии и останем от согрѣшения, Владимирову подражающе исправлению и совершению благочестия.	Глава 12. Начало <повествования> о святом Владимире, что был четвертая ступень от Рюрика, а благочестию первая. Пришло время помянуть преславного сего Владимира, как он прежде, эллинским обычаям следуя, самодержавно правил в нечестии, и как потом взыскал и обрел истинного Бога, и как правил самодержавно в благочестии и правоверием превзошел тех, кто царствовал благочестиво в древности, также и многочисленное его потомство, процветший от чресл его благословенный из рода в род плод, были непреложными исполнителями всего христианского закона. И пусть не станет никто из нас смотреть на первоначальное нечестие и злострастное устремление Владимира к греху, но уцеломудримся <мыслями> о последних благочестивых делах его для Бога и людей. Ибо нечестивые и страстные его стремления для того здесь явлены, чтобы мы <сами> не впали в таковые, а если бы и впали, то <затем> отстали бы от прегрешения, подражая Владимирову свершению до конца благочестия.
Глава 13. О святей Олгѣ. Сего великаго самодержца, святаго Владимира, преблаженная баба, великая княгиня Олга, предтеча руская к Богу, егда позна сущаго Бога, и благовѣрно живущи в Киевѣ граде; с нею же бяху трие внуцы ея, Ярополкъ, и Олег, и сий великий князь Владимир, Свѣтославичи, ихже премудрая Олга любляше и снабдѣвати их всячески тщашеся. Аще же и хотяше крестити их, но невозможно бѣ, понеже сынъ ея Свѣтослав непокорив бяше благочестивымъ словесем: много бо со слезами увѣщаваше его блаженная мати его, дабы вѣровал во Христа и крестил бы сея, и не послуша. Тогда бо сии рустии людие невѣрием одержими, и слово Божие яко уродство вменяшеся имъ. Дивная же Олга остави сие на воли Божии. Самъ бо тогда самодержец Свѣтослав живяше в Переяславцѣ на Дунаи;[29] и тогда печенѣзи, яко время си улучивше, нападоша на град Киев; и аще не бы Господь храняй Владимира, раба своего, хотящаго послѣди быти ему сосуда избраннаго, и молитвъ ради преподобныя Олги, вмале бы взят был Киев град. И посла Олга к сыну си, возвѣщая ему случшаяся. Он же вскорѣ прииде и целова матерь свою и чад своих, и прогна печенѣг, и бысть мир. При нем же, в лѣто 6475, блаженная Олга, мати его, с миром к Богу отиде, память добру, начало благочестия всѣм нам остави.	Глава 13. О святой Ольге. Сего великого самодержца, святого Владимира, преблаженная бабка, великая княгиня Ольга, русская предтеча перед Богом, когда познала она истинного Бога, с благой верою жила во граде Киеве; а с нею жили три ее внука, Святославичи — Ярополк, Олег и сей великий князь Владимир, которых премудрая Ольга любила и со всем усердием пеклась о них. Хоть и желала она их крестить, но невозможно это было, поскольку сын ее Святослав не слушал благочестивых слов: много <раз> со слезами увещевала его блаженная мать его, чтоб уверовал он во Христа и крестился бы, но он не слушался. Ведь тогда русские те люди неверием были одержимы и слово Божие считали юродством. И дивная Ольга положилась в этом на волю Божию. Ибо сам самодержец Святослав жил тогда в Переяславце на Дунае; и тогда печенеги, улучив благоприятное время, напали на город Киев; и когда б Господь не хранил раба своего Владимира, предназначая ему впоследствии быть избранным его сосудом, и когда бы не молитвы преподобной Ольги, скоро бы взят был город Киев. Послала Ольга к сыну своему <гонцов> и сообщила о случившемся. Он же быстро пришел и целовал мать свою и своих чад, и прогнал печенегов, и настал мир. И при нем, в год 6475 (967), мать его, блаженная Ольга, отошла с миром к Богу, память добрую <по себе> и начало благочестия всем нам оставила.
Глава 14. О позорной ловитвѣ,[30] и о братоубийстве, и о гиганте. По погребении же честнаго телеси блаженныя Олги, паки иде Свѣтослав Игоревич в Переяславец на Дунаи, сына же своего Ярополка в себѣ мѣсто посади в Киевѣ, а другаго сына Олега в Деревѣх. Новогородцы же испросиша себѣ у Свѣтослава сына его, сего великаго князя Владимира, и даде имъ. Он же иде с ними, и сѣде Владимир в Великом Новѣграде.[31]	Глава 14. О потешной охоте, и о братоубийстве, и о гиганте. После погребения честного тела блаженной Ольги снова пошел Святослав Игоревич в Переяславец-Дунайский, вместо себя же посадил в Киеве сына своего Ярополка, а другого сына своего, Олега, <посадил> у древлян. Новгородцы же выпросили себе у Святослава сына его, сего великого князя Владимира, и дал он им его. И пошел с ними Владимир, и сел в Великом Новгороде.
По смерти же Свѣтославли воздвижеся братоубийственая крамола в Руси по образу древния злобы перваго Каинова братоубийства.[32] Како же и откуду начася братоубийство в руских самодержателех? Начало же бяше таковыя братоненавистныя вражды от ловитвы животных. Гигантъ Невротъ.[33] Сия же ловы первѣе показа дѣяти и волшвения в первых родѣх нѣкий гигантъ именемъ Неврот, создавый Вавилонъ град, иже бяше от племени проклятаго Хама. И таковою прелестию и до нынѣ тѣшахуся мнози властодержателие, не токмо нечестивии, но и благочестивии прелщахуся глумными утѣхами, внимающе поганским обычаем, любяще многообразныя позоры и глумления, и на песие брехание в ловитвах кличюще, и от всея силы кричаху беспрестани, елико можаху многоразличными козлогласовании, яко неистови. И сих ради бесовских коварствъ от властоначалствующих многажды приимаху скороминующее дарование и маловременную почесть, не богараднаго ради подвига, ни людския ради ползы. И вмѣсто таковых худых прибытков от ловитвы мнози отщетишася не токмо многаго своего имѣния, но вкупѣ и живота своего, с ним же и душевнаго прибытка, и вмѣсто веселия и жкогосладостныя утѣхи восприимаху с плачем горким и многоразличное уязвление и нелѣпотною смертию незапное животу применение, а по смерти вѣчное мучение. (...)	После же смерти Святослава поднялась на Руси братоубийственная вражда, на манер древней беды, первого Каинова братоубийства. Как же и отчего начались среди русских самодержцев братоубийства? А началась эта братоненавистническая вражда с охоты на животных. Гигант Неврод. Эти охоты и волхвования первым научил творить первые поколения людей некий гигант по имени Неврод, создавший город Вавилон, тот, кто был из племени проклятого Хама. И таковым соблазном и доныне тешатся многие властители, не только нечестивые, но и благочестивые, прельщаясь увеселениями, внимая языческим обычаям, любя различные зрелища и развлечения, издают они во время охоты клики на манер песьего лая, изо всех сил, как только можно, беспрестанно кричат, как неистовые, самыми разными козлиными голосами. И за эти бесовские манеры, а не за подвиг во славу Бога или на пользу людям многократно принимают они от начальствующих скоропреходящие дары и временные почести. Из-за такой жалкой прибыли от охоты лишились многие не только большого своего богатства, но вместе с ним и собственной жизни, а с ней — и душевной награды, и вместо увеселения и полной сладости потехи принимают с горьким плачем различные раны и через безобразную смерть внезапную кончину, а по смерти — вечное мучение. <...>
Глава 38. О крещении всея Русии. Потом же блаженный Владимир со отцем своим Михаилом митрополитом[34] и со благородными новопросвѣщенными чады своими, и со епископы и презвитеры, и з боляры и со всѣми вѣрующими в Господа нашего Исуса Христа бяху вкупѣ единодушно благодарствующе Бога, в молитвах и молениих и в воздержании пребывающе и подвизающеся, и совѣщевающе душеспасителное совѣщевание, еже проповѣдати слово Божие с трудолюбным потщанием всѣм людем, не токмо единем кияном, но и во всей Русстей земли, яко да вси отвратятся от идолския лсти и от грѣх очистятся и крещение да приимут во имя Отца и Сына и Святаго Духа. И со властию заповѣда во всѣх градѣх всѣм быти християном, рабом и свободным, юным и старым, богатым и убогим, и во всѣх ясно и велегласно славитися Святѣй Троицы, непокоривых же и обетшавших во идолобѣсии и сих учителными словесы с любовию наказати, прочим же и страхом запрещати, дабы никтоже не прекословил слову Божию.	Глава 38. О крещении всей Руси. И потом блаженный Владимир со своим отцом митрополитом Михаилом и с благородными новопросвещенными своими чадами, и с епископами и пресвитерами, и с боярами, и со всеми верующими в Господа нашего Исуса Христа единодушно вместе благодарили Бога, подвизаясь в молитвах и мольбах и пребывая в воздержании, и обсуждая душеспасительное общее решение — проповедовать с трудолюбивым усердием слово Божие всем людям, не одним только киевлянам, но и по всей Русской земле, чтоб отвратились все от идольского прельщения и очистились от грехов и приняли бы крещение во имя Отца и Сына и Святого Духа. И приказал Владимир, чтоб во всех городах все были христиане, рабы и свободные, юные и старые, богатые и бедные, чтоб среди всех ясно и громогласно прославлялась Святая Троица, а непокорных и застаревших в идолопоклонстве приказал наставлять с любовью учительными поучениями, иных же и устрашать, чтобы никто не прекословил слову Божию.
Поучение к народом. И многу народу собрану бывшу, к ним же много поучение простирашеся от пресвященнѣйшаго митрополита, такоже и от епископовъ и от презвитер; наипаче же и сам равноапостольный Владимир многих смиреномудрено и любезно, не яко властелски и запрѣщая, но учителски, моля всѣх и наказуя, разумно же и богоразсудително извѣсти им истинную Христову вѣру, ясно являя благодать Божию, еюже самъ сподобися просвѣщен быти. Множество же народа, слышавше от дивнаго самодержца словеса Божия, вси единомудрено внимаху с вѣрою глаголемымъ, и никтоже противно не глагола ничтоже благочестивому его повелѣнию, но вси, благодатию Святаго Духа осияваеми, люботщателно обратишася вѣровати истинному Богу; вси радостными сердцы, вкупѣ же и усты, единомыслено обѣщашася креститися, единогласно глаголюще: «Аще сия вѣра не бы истинна была, то не бы восприял ю сам великомудреный самодержець нашь и премудрии боляре его. Якоже они лучшую вѣру избраша, юже и мы достойно восприяти имамы». И бысть радость велия во всем граде.	Поучение к народу. И когда было собрано множество народу, стал к ним простирать долгое поучение преосвященный митрополит, также и епископы и пресвитеры; самое же главное, сам равноапостольный Владимир возвестил им, многому <народу>, об истинной Христовой вере, возвестил смиренномудренно и с любовью, не с угрозами, как властитель, но — как учитель, моля всех и внятно и благорассудительно наставляя, являя ясно благодать Божию, от которой сам он сподобился просветиться. И от дивного самодержца слыша словеса Божии, единодушно с верою внимало все множество народа тому, что говорилось, и никто ничего не молвил против благочестивого его приказа, но, осиянные благодатью Святого Духа, все с любовью и усердием обратились к вере в истинного Бога; все с радостным сердцем, а вместе с ним — устами единодушно обещались креститься, в один голос говоря: «Если бы эта вера не была истинной, то не принял бы ее сам великомудрый наш самодержец и премудрые его бояре. Ту веру, которую избрали они как лучшую, ту и нам следует принять». И великая радость сделалась во всем граде.
Проповѣдь святому крещению. Блаженный же Владимир посла проповѣдники по всему граду, по данней ему благодати всѣм людем со властию заповедь предлагая, и нарек имъ день, глаголя: «Аще кто не обрящется на рецѣ, богат или нищ, или свободь или работникъ, мужеска полу и женска, от мала и до велика, креститися во единого Бога Отца и Сына и Святаго Духа, и той явѣ противен будет Христу Богу и нашей державе, и не имат сей пощадѣн быти от нас». Сия же слышавше людие с радостию отвсюду течаху креститися, исповѣдающе грѣхи своя и оглашени бывше. Дни же нареченному приспѣвшу святаго просвѣщения всѣм людемъ, и тогда со заутрия пресвященный митрополит Михаил, с нимъ же епископи, и презвитеры, и дияконы, и прочии причетницы, облекшеся во все священное благолѣпное одѣяние, изыдоша на Днѣпръ рѣку[35] со кресты, и со иконами, и евангелии, и с кандилы благовонными и со свѣщами. Вкупѣ же подвижеся с ними приити ту и самъ и равноапостолный Владимир и со своими новопросвѣщенными чады, и со князми, и з боляры, и с прочими сановники и чиновники.	Провозвещение о святом крещении. И послал блаженный Владимир глашатаев по всему граду, сообщая людям всем по данной ему благодати о своем приказе, и назначил им день, сказавши: «Если кто не окажется на реке, чтобы креститься во единого Бога Отца и Сына и Святого Духа, богатый или нищий, свободный или раб, мужчина или женщина, от мала до велика, — тот будет врагом Христу Богу и нашей державе, и не будет ему от нас пощады». И, услыхав это, люди с радостью стали стекаться отовсюду, чтоб, исповедав свои грехи и приняв оглашение, креститься. И когда настал назначенный день святого просвещения для всего народа, тогда с раннего утра преосвященный митрополит Михаил, а с ним епископы, и пресвитеры, и диаконы, и прочие причетники, облачившись во все священные благолепные одежды, вышли на реку Днепр с крестами, иконами, и евангелиями, и с благовонными лампадами и свечами. А с ними вместе потрудился прийти туда и сам равноапостольный Владимир со своими новопросвещенными чадами, с князьями, и с боярами, и с другими сановниками и вельможами.
Крещение всенародное в Киевѣ. Снидоша же ся креститися многое множество людей мужеска полу и женска, от мала и до велика, и с сущими млеко младенцы. И вси людие внидоша в рѣку, и стояху овии до шии, а друзии до персей, младенцов же на руках в водѣ держаще, совершеннии же бродяху. Святителие же и презвитеры, стояще на брегу, молитвы глаголаху святаго крещения и елеом святым помазаху их; и тако крестишася все множество народа русскаго во имя Отца и Сына и Святаго Духа; и священным миром помазающе их, и словеса утѣшения глаголавше к ним и благословивше, отпустиша я.	Крещение всего народа в Киеве. И собралось креститься многое множество народа, мужского пола и женского, от мала и до велика, с грудными даже младенцами. И все люди вошли в реку, и стояли одни по шею, а другие по грудь, держа младенцев на руках в воде, а взрослые <дети> сами стояли. Святители и пресвитеры, стоя на берегу, произносили молитвы святого крещения и помазывали их святым елеем; так крестилось все множество русского народа во имя Отца и Сына и Святого Духа; и, помазав их священным миром и проговорив к ним слова утешительного поучения и благословив, отпустили их.
Радость и благодарение крестившихся. И тако вси изыдоша от воды, просвѣщени душею и тѣлом, радующеся и славяще и хваляще Христа Бога, яко спасе их, якоже древле Израиля от работы рукою Моисѣовою,[36] тако и нынѣ новаго Израиля, руския люди, рукою Владимировою, равноапостолнаго самодеръжца. И бѣ видѣти радость велию и неизреченную не токмо на земли человѣком, но и на небеси ангелом; и арханггели возвеселишася, и святыхъ дуси взыграшася о толице душь спасаемых. Сам бо рече Господь: «Велика бывает радость на небесѣх о едином грѣшнице кающемся»,[37] колми паче — о толицѣ бесчисленых душах во всей Земли руской, приведеных к Богу святым крещением. И тако бяху ликовствующе и красовахуся Божии людие вси, в нихже бѣ веселие непрестанно, и торжество пресвѣтло, и шум празднующих, уму непостижим. Смирением к Богу возвышающеся и вѣрою приближающеся, вси, в любви преспѣвающе утѣшением Святаго Духа, растяху и множахуся, ублажающе самодержца Владимира, яко повелѣнием его просвѣтишася, и время похваляюще, в неже Бога познаша, и день благословея нарицающе, в онже крестишася. И тако, во благодушии и в пространствии сердца, идоша в домы своя, радующеся и благодаряще Бога.	Радость и благодарность крестившихся. И так вышли все из воды, просвещенные душою и телом, радуясь и вознося славу и хвалу Христу Богу за то, что спас их, как древле <спас> он народ израильский от рабства рукою Моисеевой, так и ныне спас новый Израиль, людей русских, рукою Владимировой, равноапостольного самодержца. И видна была великая и несказанная радость не только на земле среди людей, но и на небесах у ангелов; и архангелы возрадовались, и души святых взыграли о столь великом множестве душ спасаемых. Ведь сам Господь сказал: «Велика радость бывает на небесах об одном кающемся грешнике», сколь же больше — о столь бесчисленном числе душ во всей Земле русской, приведенных к Богу святым крещением. И так радовались и ликовали все Божьи люди, и была посреди них радость нескончаемая, и пресветлое торжество, и уму непостижимый шум праздничный. Возносясь к Богу через смирение и приближаясь к нему благодаря вере, преуспевая в любви утешением Святого Духа, все они возрастали и укреплялись, прославляя самодержавного Владимира за то, что по повелению его просвещены они были, и восхваляли время, когда познали они Бога, и называли благословенным тот день, в который они крестились. И так, в благом состоянии души и с открытым сердцем, пошли они по своим домам, радуясь и благодаря Бога.
На мѣсте же, идѣже снидошася киевстии людие, крестишася, и ту поставлена бысть церковь во имя святаго мученика Турова,[38] и оттоле наречеся мѣсто оно святое. По истинѣ же свято мѣсто, идѣже много множество людий, сшедшеся, диявола отрекошася и святымъ крещением просвѣтишася и осветишася. В лѣпоту же и самый град той преименитый Киев наречеся мати всѣм градовом руским.[39] Не тунѣ бо тако наречеся, но яко в нем Руская земля обновися благочестием от блаженныя и равноапостольныя великия княгини Олги, и паки благородный внук ея, сий богоблаженный и равноапостолный Владимир, в том же граде первее вся люди своя въ богоразумие приведе, и от того же града проповѣданием благочестия во всей Рустей земли дияволя прелесть упразднися, вѣра же християнская расплодися и непоколеблемо утвердися и всюду яко неугасимая свѣща свѣтяшеся.	На том же месте, где собрались киевские люди и крестились, была поставлена церковь во имя святого мученика Тура, и с тех пор стало называться место то святым. И поистине свято то место, где многое множество людей, собравшись, отреклось от дьявола и просветилось и освятилось святым крещением. По справедливости и сам тот град, славный Киев, наречен был матерью всех городов русских. Недаром так он был назван, ведь в нем Русская земля обновилась благочестием от блаженной и равноапостольной великой княгини Ольги, да еще благородный ее внук, сей богоблаженный и равноапостольный Владимир, в том же граде впервые привел весь народ свой к познанию Бога, благочестивой проповедью из того града упразднился по всей Русской земле дьявольский соблазн, а христианская вера расплодилась и непоколебимо укрепилась и повсюду как неугасимая свеча стала светиться.
Рыдание дияволе. Злодѣивый же диявол и все его бѣсовское множество и темное их богопротивное соборище, видяще многих людей благочестием просвѣщаемы, а идолы на земли попираемы, и рыдая диявол стоняше и сѣтуя, глаголя: «Увы мнѣ! О, горе мнѣ, яко и отсюду прогоним есмь! Здѣ бо мнях жилище себѣ имѣти, понеже здѣ не сут учения апостольскаго, и людие, не вѣдуще Бога, мнѣ угодие творяху и служаху ми, о нихже веселяхся преже. Ныне же от таковых невѣглас побѣжен есмь, а не от апостолъ, ни от мученикъ, и не имам уже царствовати во странах их».	Плач дьявола. Злодей же дьявол со всем множеством его бесовских сил и со всем темным его и богопротивным сборищем, видя множество людей, благочестием просвещаемых, а идолов, на земле попираемых, рыдая, стеная и сетуя, говорил: «Увы мне! О, горе мне, ибо и отсюда меня прогнали! Здесь я надеялся найти себе жилище, ибо нет здесь учения апостольского, и, не зная Бога, люди здесь мне служили и угождали, и благодаря им я веселился прежде. А теперь я побежден этими невеждами — не апостолами, не мучениками — и уже не буду царствовать в их землях».
Блаженный же Владимир, яко видѣ крещены вся люди града его, возрадовася душею и сердцем, яко позна сущаго Бога не токмо сам, но и люди его, с нимиже ликовствуя и со многим благодарением молитвы прилѣжныя принося Богу и возрѣв на небо, и вопияше, умилно глаголя. Молитва: «Боже, сотворивый небо и землю, призри на новопросвѣщенныя люди сия и дай же нам разум, еже увѣдети и знати тя, единого истиннаго Бога, якоже познаша тя страны християнския! И утверди в них и во мнѣ вѣру твою праву и несовратну! И мнѣ помози, Господи, на вся сопротивныя враги, да надѣяся на твою державную помощ, побѣжу вся козни дьяволя и вся враги видимыя и невидимыя, яко твоя держава нерушима и царствие непремѣнно Отца и Сына и Святаго Духа, нынѣ и присно и в бесконечныя вѣки. Аминь».	А блаженный Владимир, видя крещенными всех людей своего града, возрадовался душой и сердцем, что не только сам он познал истинного Бога, но и его народ, и, вместе с ним ликуя и с великой благодарностью принося усердные молитвы Богу, восклицал с умиленьем, взирая на небо. Молитва: «Боже, сотворивший небо и землю, снизойди к сим новопросвещенным людям и дай нам разум познать и постичь тебя, единого истинного Бога, как познали тебя другие земли христианские! И укрепи ты веру твою и в них, и во мне правой и непоколебимой! И помоги мне, Господи, против всех моих врагов-супостатов, чтобы, надеясь на твою державную помощь, победить мне все козни дьявола и всех врагов, видимых и невидимых, ибо нерушима твоя держава и вечно царство, Отца и Сына и Святого Духа, ныне и присно и в бесконечные веки. Аминь».
Глава 39. Святыя церкви зижемыи и презвитеры поставляемы. И сице помолися и повелѣ святыя церкви воздвизати повсюду, во градѣх же и весех, и честныя монастыри составляти, идолския же храмы истребляти и под тѣх вчиневати областию. На холмѣ же, идѣже стоял кумир Перун и прочии дѣмонстии кумири, и ту постави церковь святаго Василия;[40] такоже и по всѣм градовом и весем воздвизахуся церкви. Дары же великия и стяжания земная доволно святым церквам даяти завѣща. Святителие же поставляху попы, освещше их на вся церкви, помолившеся о них с постом, и предаша их Господеви, в негоже вѣроваша. И тако благодатию Божиею умножашеся число учителей, и вѣра православная преспѣваше вездѣ и цвѣтяше, сияше яко солнце.	Глава 39. О возведении святых церквей и поставлении пресвитеров. Так помолился он и повелел ставить повсюду святые церкви, в городах и селах, и создавать повсюду честные монастыри, идольские же храмы истреблять и отдавать им во владение. А на том холме, где стоял идол Перун и другие демонские идолы, там поставил он церковь святого Василия; и таким же образом по всем городам и селам были воздвигнуты церкви. И заповедал <Владимир> давать много даров и довольно земельных владений святым церквам. Святители же поставили попов и, рукоположив их для всех церквей и помолившись о них с постом, вручили их Господу, в которого они уверовали. И так Божией благодатью умножилось число учителей, и вера православная везде преуспевала, цвела и сияла как солнце.
