КНИГА ГЛАГОЛЕМАЯ ЛѣТОПИСЕЦ,ПИСАНА В ЛѣТО 6646 СЕНТЯБРЯ В 5 ДЕНЬ	КНИГА, НАЗЫВАЕМАЯ ЛЕТОПИСЕЦ, НАПИСАНА В ГОД 6646 (1237) СЕНТЯБРЯ В ПЯТЫЙ ДЕНЬ
Егда же бысть нощь, тогда благовѣрный князь Георгий изыде тайно из града того въ Больший град Китеж. На утрие же воста той нечестивый царь на град той с вои своими, приступом приступи и взя его. И всѣх поби и прируби людей во градѣ том. И не обрѣте благовѣрнаго князя во градѣ том, нача мучити человека, и немогий мук терпѣти повѣда ему путь. Той же нечестивый гнаше вслѣд его. И егда прииде ко граду тому, нападе на град той со множеством своих, и взя той град Больший Китеж, что на брегу езера Свѣтлояра, и уби благовѣрнаго князя Герогия месяца февраля в 4 день. И поеха из града того нечестивый той царь Батый. И послѣ его взяша мощи благовѣрнаго князя Георгия Всеволодовича.	Когда же наступила ночь, тогда благоверный князь Георгий вышел тайно из этого города в Большой град Китеж. Наутро же напал тот нечестивый царь на тот город с воинами своими, приступил приступом и захватил его. И всех людей в городе этом побил и порубил. И, не найдя благоверного князя в городе том, начал мучить одного из жителей, а тот, не вытерпев мук, открыл ему путь. Тот же нечестивый погнался вслед князю. И когда пришел к городу, напал на него со множеством своих воинов и взял тот город Большой Китеж, что на берегу озера Светлояра, и убил благоверного князя Георгия, месяца февраля в четвертый день. И ушел из города того нечестивый тот царь Батый. И после его <ухода> взяли мощи благоверного князя Георгия Всеволодовича.
И послѣ разорения того запустѣша грады тѣ, Малый Китежь, что на брегу Волги стоит, Больший же, что на брегу езера Свѣтлояра.	И после того разорения запустели города те, Малый Китеж, что на берегу Волги стоит, и Большой, что на берегу озера Светлояра.
И не видим будет Болший Китежь даже и до пришествия Христова, яко же и в прежняя времена бысть сия, яко же свидѣтельствуют жития святых отец, патерик Монасийский, и патерик Скитский, и патерик Азбучный, и патерик Иеросалимский, и патерик Святыя Горы,[14] яко сия святые книги согласны, в них писаны жития святых отец, и сокровенныя обители не едина, но много монастырей, и въ тѣх монастырех много множество бысть святых отец, яко звѣзд небесных просияв житием своим. Яко пѣска морскаго невозможно исчести, тако и сих невозможно писанию предати и вся списати. О них же, провидя Духом Святым, блаженный и пророк Давыд царь, удивляясь, вопиет Духом Святым, в богодухновенной книгѣ своей Псалтыри глаголет: «Праведник яко финик процвѣтет и яко кедр иже в Ливанѣ умножится, насаждени в дому Господни во дворѣх Бога нашего процвѣтут».[15] И еще той же пророк царь Давыд: «Мнѣ же зѣло честнии быша друзи твои, Боже, зѣло утвердишася владычествия их, изочту их, и паче песка умножатся».[16] О сих, провидя Духом Святым, блаженный апостол Павел в послании книги своея глаголет, провидя, сие слово к нам глаголет: «Проидохом во овчинах и козиях кожах, лишени, скорбящеи, озлоблени, имже не бѣ достоин мир».[17] То же слово и святый Иоанн Златоуст рече, в поучении своем глаголет в неделю 3-ю поста. То же слово, провидя, к нам святый Анастасий горы Синайския[18] глаголет. Сие же слово апостольское, провидя, нам глаголет и преподобный отец наш Иларион Великий,[19] о святых пишет: «И такоже убо в послѣднее время будет сие: грады и монастыри сокровеныя будут, якоже антихрист царствовати начнет в мирѣ. Тогда побѣгут в горы и в вертепы, и в пропасти земныя». Человеколюбивый же Бог не оставит тогда хотящаго спастися. От усердия, и умиления, и слез все человеку Бог строит. Самого Спасителя Божественная уста глаголаше в пресвятом Евангелии, рече, яко вся ищущему и хотящему спастися дастъся.[20]	И невидим будет Большой Китеж вплоть до пришествия Христова, что и в прежние времена бывало, как свидетельствуют жития святых отцов, патерик Монасийский, и патерик Скитский, патерик Азбучный, и патерик Иерусалимский, и патерик Святой Горы; а эти святые книги, в которых писаны жития святых отцов, согласны в том, что сокровенная обитель не едина, но есть много монастырей, и в тех монастырях многое множество святых отцов, точно звезд небесных, просиявших житием своим. Как песка морского невозможно счесть, так и невозможно все письменно изложить и все описать. Именно о них, провидя Духом Святым, блаженный пророк царь Давыд, удивляясь, вопиет Духом Святым, в богодухновенной книге своей Псалтыри говорит: «Праведник, как пальма, цветет и, как кедр ливанский, возвышается; насажденные в доме Господнем, они цветут во дворах Бога нашего». И еще тот же пророк царь Давыд: «Возвышенны для меня друзья твои, Боже, как велико число их; стану ли исчислять их, но они многочисленнее песка». О них, провидя Духом Святым, блаженный апостол Павел в своем послании говорит, провидя, такое слово к нам обращает: «Скитались в овечьих и козьих шкурах, терпя лишения, скорби, оскорбления, те, которых не был достоин весь мир». То же слово изрек и святой Иоанн Златоуст, в поучении своем говорит он в третью неделю поста. То же слово обращает к нам, провидя, святой Анастасий с горы Синайской. Это же слово апостольское обращает к нам, провидя, и преподобный отец наш Иларион Великий, о святых он пишет: «И так же в последние времена будет: грады и монастыри сокровенные будут, потому что антихрист царствовать начнет в мире. Тогда побегут в горы, и в вертепы, и в пропасти земные». И человеколюбивый Бог не оставит тогда хотящего спастись. Усердием, и умилением, и слезами все получает человек у Бога. Самого Спасителя Божественные уста возвестили в пресвятом Евангелии, что все имущему и хотящему спастись дастся.
И по убиению святаго и благовѣрнаго и великаго князя Георгия Всеволодовича и по погребению честных мощей его, в лѣто 6-е прииде той царь Батый воевати в русское царство. Пойде же противу Батыя царя благовѣрный князь Михаил Черниговский з боярином своим Феодором. И егда сразишася вои обои вкупѣ, и бысть кровопролитие велие. И уби той нечестивый царь Батый благовѣрнаго и великаго князя Михаила Черниговскаго з болярином Феодором в лѣто 6750, месяца сентября в 20 день. И послѣ убиения благовѣрнаго князя Михаила Черниговскаго во 2-е лѣто[21] уби благовѣрнаго князя Меркурия Смоленскаго[22] той нечестивый царь Батый в лѣта 6755, месяца ноября в 24 день. И бысть запустѣние московскаго царства и прочих монастырей и того града Большаго Китежа в лѣто 6756.	И по убиении святого и благоверного и великого князя Георгия Всеволодовича, и по погребении честных мощей его, в год шестой пришел тот царь Батый воевать в русское царство. Пошел же против царя Батыя благоверный князь Михаил Черниговский с боярином своим Феодором. И когда сразились оба воинства, было кровопролитие великое. И убил тот нечестивый царь Батый благоверного и великого князя Михаила Черниговского с боярином Феодором в год 6750 (1241), месяца сентября в двадцатый день. И после убиения благоверного князя Михаила Черниговского через два года убил благоверного князя Меркурия Смоленского тот нечестивый царь Батый в год 7655 (1246), месяца ноября в двадцать четвертый день. И было запустение московского царства, и прочих монастырей, и того града Большого Китежа в год 6756 (1248).
Повесть и взыскание о граде сокровенном Китеже. Аще ли же который человек обѣщается истинно итти в него, а не ложно и от усердия своего поститися начнет, и многи слезы пролиет, и пойдет в него, и обѣщается тако, аще и гладом умрети, а из него не изыти, аще ины многи скорби претерпѣти, еще и смертию умрети, вѣждь, яко спасет Бог таковаго, яко стопы его вся изочтены и записаны будут аггелом. Яко на путь спасения поиде, яко же свидѣтельствуют о сем книги, патерик Скитский. Бысть нѣкоторый отец, обрати нѣкую блудницу от блуда. Блудница же поиде с ним в монастырь. И прииде пред враты монастыря того и умре. И бысть спасена. И вторая такоже изыде в пустыню со отцем и умре. И прияша ангели душу ея и возведоша по лѣстнице на небо.	Повесть и взыскание о граде сокровенном Китеже. Если какой человек обещается истинно идти в него, а не ложно, и от усердия своего поститься начнет, и многие слезы прольет, и пойдет в него, и обещается лучше голодной смертью умереть, а его не покинуть, и иные многие скорби претерпеть и даже смертию умереть, знай, что спасет Бог такового, что каждый шаг его будет известен и записан будет ангелом. Ибо на путь спасения он пошел, как свидетельствуют о том книги, такие, как патерик Скитский. Был некто отец, и обратил он одну блудницу от блуда. Блудница же пошла с ним в монастырь. И пришла ко вратам монастыря того, и умерла. И была спасена. И другая также отошла в пустыню с отцом и умерла. И приняли ангелы душу ее и возвели по лестнице на небо.
Тако и той человек. Аще случитъся и умрети, по Божественному писанию рассудится. Бѣжа бо той подобен сему духовно бежа от блудницы вавилонския темныя и скверныя мира сего, яко же святый Иоанн Богослов во Откровении, книги своея, написа. О послѣднем времени глаголет, яко жена сѣдя на звѣри седмиглавном нага и безстудна, в руках же своих держит чашу, плъну всякия скверны, и смрада исполънена, и подает в мирѣ сущим, любящим сея, первие патриархом, царем, и князем, и воеводам, и всяким властем богатым, и всяким людем в мире сем суетнѣм, любящим сласти сея.	Так же и с тем человеком. Если случится и умереть ему,— по Божественному писанию рассудится. Ибо бегун тот духовно подобен спасающемуся от блудницы вавилонской, темной и полной скверны мира сего, о чем святой Иоанн Богослов написал в Откровении, книге своей. О последнем времени говорит он как о жене, сидящей на звере семиглавом, нагой и бесстыдной, в руках же своих она держит чашу, полную всякой скверны и смрада наполненную, и подает ее в мире живущим и любящим это,— в первую очередь патриархам, царям, и князьям, и воеводам, и всяким властителям богатым, и всем людям в мире сем суетном, любящим сладость его.
А иже хотящаго и желающаго спастися подобает бѣжати мира и сласти его. Еже рече той Иоанн, провидѣ Духом Святым, яко жена побѣжит въ пустыню, и змий гоняше в слѣд ея, иже и совращает с праваго пути хотящаго жити смиренъным и духовным путем. Той же проклятый змий учит широким и пространным путем ходити и стезею злобы, и запинает, и возбраняет с праваго пути, и совращает, и велит жити растлѣнным житием, и возъбраняет по правому пути ходящим.	Тому же, кто хочет и желает спастись, подобает бежать от мира и сладости его, как сказал тот же Иоанн, провидя Духом Святым: жена побежит в пустыню, и змей будет гнаться по следу ее, тот, что совращает с правого пути хотящего жить смиренно и духовно. И тот проклятый змей учит широким и пространным путем ходить, стезею злобы, и сбивает с правого пути, и совращает, и велит жить растленной жизнью, и устрашает по правому пути ходящих.
А иже хощет, и ищет, и желает спасения, того человека и наипаче вразумляет и помогает ему благодать Божия, и учит, и ведет его на совершенное духовное смиренное житие. Никто же бо никогда нигдѣ оставлен бысть от Господа. Призвах когда, услышан бысть от него. Или когда просит, и не приемлет ли? И ищет, и не обрящет ли от него? Вся убо Господь приемлет к нему приходящие с радостию и призывает. Но яко же убо силы на небесѣх не видят лице Божие. А егда грѣшник на земли покается, тогда ясно зрят лице Христово силы вся небесныя, и открывается слава Божества его, и видят лице его. Единыя убо души грѣшныя кающияся радость бывает на небесѣх всѣм силам небесным, и всѣм святым его.[23] А силы убо — ангелы и архаггелы, херувимы и серафимы, начала, и власти, и господьствия. И святыя убо сия суть: пророки, и апостолы, и святители, и преподобныя, и праведныя, мученики, и мученицы, и вси святии. Единого грѣшнаго ради покаяния бывает радость всѣм силам небесным и всѣм святым его.	Но того, кто хочет, и ищет, и желает спасения, того человека очень сильно вразумляет благодать Божия, и помогает ему, и учит, и ведет его на совершенное духовное смиренное житие. Ибо никто никогда и нигде не оставлен был Господом. Когда бы ни призвал его, услышан был им. И когда просит, не получает ли? И того, что ищет, не находит ли у него? Ибо всех приемлет Господь, к нему приходящих, с радостью и всех призывает. Ведь обычно даже силы на небесах не видят лица Божьего. А когда грешник на земле покается, тогда ясно зрят лицо Христово силы все небесные, и открывается слава Божества его, и видят лицо его. Ибо единой ради души грешной кающейся радость бывает на небесах всем силам небесным и всем святым его. А силы — это ангелы и архангелы, херувимы и серафимы, начала, и власти, и господствия. А святые — это вот кто: пророки, и апостолы, и святители, и преподобные, и праведники, мученики, и мученицы, и все святые. Ради покаяния единого грешника бывает радость всем силам небесным и всем святым его.
А не хотящаго, ни тщащаго, ни желающаго получения спасения себѣ не нудит Господь нуждею и неволею. Но по усердию и по произволению сердца все строит Господь человеку. Егда кто нераздвойным умом и вѣрою несуменною обѣщается, и помышляти ничто же суетно в себѣ, или возвратится въспять, не повѣда ни отцу, ни матери, и сестрам, и братиям и таковому Господь открывает и управит его в таковое благоутишное пристанище молитвами преподобныхъ отец наших онѣх, иже трудятся день и нощь непрестанно. От уст их молитва, яко кадило благоуханно. Молят же ся и о хотящих спастися истинным сердцем, а не ложнымъ обѣщанием. И хотящим спастися и молитися, который человек обратитися к ним и аще кто откуду обратился, таковаго приемлет с радостию, яко от Бога наставляема.	А не хотящего, не стремящегося, не желающего получить спасение себе не принуждает Господь насильно и неволею. Но по усердию и по произволению сердца все творит Господь человеку. Когда кто нелицемерным умом и верою непоколебимою даст обет и не будет помышлять в себе ни о чем суетном, тогда, если даже и возвратится вспять, не поведав ни отцу, ни матери, ни сестрам, ни братьям, то и такому открывает Господь путь и направляет его в таковое благое и тихое пристанище молитвами преподобных отцов наших, что трудятся день и ночь непрестанно. Молитва их уст, как кадило благоуханное. Молятся они и о хотящих спастись искренним сердцем, а не ложным обетом. И если кто хочет спастись и молится, если кто откуда-нибудь обратится к ним, такового приемлют с радостию как наставляемого Богом.
И хотящему итъти в таковое мѣсто святое никакова помысла не имѣти лукава, и развращенна, и мятущего ум, и отводящаго в мѣста оного мысли человека того хотящаго итти. Но убо велми блюдися опасно мыслей злых, хотящих разлучити от мѣста того. И не помышляти сѣмо и овамо. Таковаго управит человека Гсподь на путь спасения. Или извѣщение приидет ему из града того иже или из монастыря того, иже сокровени бяху оба, град же и монастырь. Есть бо и лѣтописец книга о монастырѣ том. На первое слово возвращуся.	И хотящему идти в таковое место святое никакого помысла не иметь лукавого и развращенного, смущающего ум и уводящего на сторону мысли того человека, хотящего идти. Крепко остерегайся мыслей злых, стремящихся отлучить от места того. И не помышляй о том да о сем. Такого человека направит Господь на путь спасения. Или извещение придет ему из града того или из монастыря того, что сокрыты оба, град и монастырь. Есть ведь и летописец-книга о монастыре том. К первому слову возвращусь.
Аще ли же пойдет и мыслити начнет, славити вездѣ, и таковому закрыет Господь. И покажется ему лѣсом и пустым мѣстом. И ничто же таковый получит себѣ, но токмо труд его всуе бысть. И соблазн, и укор и понос ему будет за сие от Бога. Казнь приимет здѣ и будущий вѣк, осуждение и тьму кромѣшную, иже таковому святому мѣсту поругася иже на конец вѣка сего чудо явися: невидим град бысть, якоже и в прежняя времена бысть много монастырей, не видимы быша, иже писаны в житиях святых отец, пространнѣе узриши.	Если же пойдет, и сомневаться начнет, и славить везде, то таковому закроет Господь град. И покажется он ему лесом или пустым местом. И ничего таковой не получит, но только труд его всуе будет. И соблазн, и укор, и поношение ему будет за это от Бога. Казнь примет здесь и в будущем веке, осуждение и тьму кромешную за то, что над таковым святым местом надругался, над чудом, явившимся под конец века нашего: стал невидим град подобно тому, как и в прежние времена было много монастырей, сделавшихся невидимыми, об этом было писано в житиях святых отцов, там подробнее прочтешь.
И сей град Болший Китежь невидим бысть и покровен рукою Божиею, иже на конец века сего многомятежна и слез достойного покры Господь той град дланию своею. И невидим бысть по их молению и прошению, иже достойнѣ и праведнѣ тому припадающих, иже не узрит скорби и печали от звѣря антихриста. Токмо о нас печалуют день и нощь, о отступлении нашем, всего государьства московского, яко антихрист царьствует в нем и вся заповѣди его скверная и нечистыя.	И сей град Большой Китеж невидим стал и оберегаем рукою Божиею,— так под конец века нашего многомятежного и слез достойного покрыл Господь тот град дланию своею. И стал он невидим по молению и прошению тех, кто достойно и праведно к нему припадает, кто не узрит скорби и печали от зверя-антихриста. Только о нас печалуют день и ночь, об отступлении нашем, всего нашего государства московского, ведь антихрист царствует в нем и все его заповеди скверные и нечистые.
Запустѣние града того повѣдают отцы, слышавши от прежде бывших их отец по разорении градском и по стѣ лѣтех послѣ нечестиваго и безбожнаго царя Батыя. Разори бо всю ту землю заузольскую и села и деревни огнем пожже. И лѣсом поростѣ вся та страна заузольская. И с того времени не видим бысть град той и монастырь.	О запустении града того рассказывают отцы, а они слышали от прежних отцов, живших после разорения града и сто лет спустя после нечестивого и безбожного царя Батыя. Ибо тот разорил всю ту землю заузольскую и села и деревни огнем пожег. И лесом поросла вся та страна заузольская. И с того времени невидим стал град тот и монастырь.
Сию убо мы книгу лѣтописец написали в лѣта 6759 и уложили собором и предали святѣй Божией церкви на утвержение всѣм православным христианом, хотящим прочитати или слушати, а не поругатися сему божественному писанию. Аще ли же который человек поругается или посмѣется нами преданному сему писанию, да вѣсть таковый: той не нам поругается, но Богу и пречистѣй его матери, владычицѣ нашей Богородицѣ и присно девѣ Марии. В нем же славится и величается и именуется великое имя ея, матери Божии, тѣх же и она соблюдает, и хранит, и покрывает дланию своею, и молитву за них к сыну своему глаголющи: «Не презри моего, сыне любезный, прошения. Иже кровь свою излия на весь мир, тѣмже и сих помилуй, и сохрани, и соблюди призывающих имя мое с вѣрою несумнѣнною и чистым сердцем». Тѣмже Господь покры их своею рукою, иже мы написали, и уложили, и предали.	Сию книгу-летописец мы написали в год 6759 (1251), и утвердили собором, и предали святой Божией церкви на укрепление всем православным христианам, хотящим прочитать или послушать, а не похулить сего божественного писания. Если же какой человек надругается или насмеется над сим, нами завещанным, писанием, да знает таковой, что он не нас похулил, но Бога и пречистую его матерь, владычицу нашу Богородицу и приснодеву Марию. В ком же славится, и величается, и поминается великое имя ее, матери Божией, тех и она соблюдает, и хранит, и покрывает дланию своею, молитву за них сыну своему принося: «Не оставь в презрении моего, о сын любезный, прошения. Ты, кто кровью своею омыл весь мир, помилуй и сих и сохрани и соблюди призывающих имя мое с верою несомненною и чистым сердцем». И потому Господь покрыл их своею рукою, о чем мы и написали, и утвердили, и известили.
И к сему нашему уложению ни прибавити, ни убавити, ниже всяко пременити ни едину точку или запятую. Аще ли кто прибавит, или всяко пременит, да будет по святых отец преданию проклят, иже предавших сия и утвердивших. Аще ли кому невѣрно мнится, то прочти прежде бывших святых жития, и увѣсть, яко бысть много в прежняя времена сего. Слава иже в Троицы славимому Богу и пречистѣй его Богоматере, соблюдающей и хранящей мѣсто оно, и всѣм святым. Аминь.	И к сему нашему постановлению ни прибавить, ни убавить и никак не изменить, ни единую точку или запятую. Если же кто прибавит или как-нибудь изменит, да будет проклят, по святых отцов преданию, по преданию известивших о сем и утвердивших. Если же кому это кажется неверным, то прочти прежних святых жития и уведай, что было много сего в прежние времена. Слава в Троице славимому Богу и пречистой его Богоматери, соблюдающей и хранящей это место, и всем святым. Аминь.
