ЖИТИЕ СВЯТАГО ПРОРОКА МОИСИЯ. СКАЗАНИЕ БЫТЬЯ ЕГО	ЖИТИЕ СВЯТОГО ПРОРОКА МОИСЕЯ. СКАЗАНИЕ БЫТИЯ ЕГО
Дѣтя же, сягь, сня вѣнець съ главы цьсаревы и възложи на главу свою. И ужасеся цьсарь и велможа его. И отвѣщавъ Валаомъ волхвъ и рече: «Помяни, господине цьсарю, сонъ, еже еси видѣлъ и како протолкова рабъ твой к тобѣ. Се есть дѣтя еврѣйско яко духъ Божий есть в немъ, и премудростью створилъ есть се, и хощеть прияти цьсарьство Егупетьское собѣ. Тако бо створи Аврамъ, дѣдъ его, иже цьсарь перея славу ихъ: Авимелеха цьсаря агарьскаго прогна, а самъ приходить въ Егупеть, и нарче жену свою сестрою, якоже бы погубилъ цьсаря ихъ.[5] Тако же створи Исак иноплеменьникомъ и расилнѣ от иноплеменьникъ, цьсаря же ихъ хотѣ погубити, обрѣтъ, такоже жену свою сестрою потвори.[6] Ияковъ такоже во льсти взя брата своего первенецьство и благословение. Иде в Понорамъ[7] къ Лавану, уеви своему, и поя лестью дщерь его, и скоты его, и весь домъ его. И бѣжа в землю Хананѣйску, възвративъся. И продаша сынове его Иосифа, и бѣ в темници доньдеже видѣ сонъ цьсарь, отець твой. Пусти и́ ис темници и възвелица и́ надо всѣми велможами егупетьсками, понеже протолкова сонъ. И бѣ егда пусти Богь гладъ на землю, пославъ приведе отца своего и братью свою въ Егупетъ. И корми и́ безъ искупленья. Насъ же искупи собѣ рабы. Да аще хощеши, цьсарю, да убьемъ отроча се, да не възрастеть, ни возметь цьсарьства твоего от тебе, и да не погибнеть надежа егупетьская».	Вдруг дитя, потянувшись, сняло венец с головы царя и возложило себе на голову. И царь, и вельможи его испугались. И воскликнул волхв Валаом и сказал: «Вспомни, господин, сон, который ты увидел, и то, как раб твой его истолковал тебе. Это еврейское дитя несет в себе Дух Божий, и оно сознательно так поступило, ибо хочет забрать себе царство Египетское. Так ведь поступил Авраам, дед его, когда царь перехватил славу их: Авимелеха, царя гарарского прогнал, а сам пришел в Египет и назвал жену свою сестрой, чтобы погубить их царя. Так и Исаак поступил с иноплеменниками и получил свою силу от иноплеменников, царя же их он хотел погубить, захватив, и также жену свою выдал за сестру. И также хитростью Иаков отнял первенство у брата своего и благословение. Отправился в Месопотамию к Лавану, дяде своему с материнской стороны, и забрал обманом его дочь, и его скот, и весь его дом. И убежал в землю Хананейскую, и возвратился. И продали сыновья его Иосифа, и был тот в темнице до тех пор, пока царь, отец твой, не увидел сон. Отпустил он его из темницы и возвысил над всеми вельможами египетскими, потому что он истолковал сон. И когда Бог наслал на землю голод, послал он за отцом своим и братьями своими в Египет, и привели их. И он кормил их без платы. Нас же купил в рабство себе. Если хочешь, царь, убьем этого младенца, чтобы, когда вырастет, не отнял царства твоего у тебя и чтобы не погибла надежда Египта».
И посла Богь архангела своего Гаврила, и уподобися къ единому велможь цьсаревъ, и рче: «Аще хощеши, цьсарю, да принесуть камен драгый свѣтелъ и угли огнены и положать предъ нимъ. Да аще простреть руку къ камени, вѣдаите, яко мудростью се створи, и убьемъ его. Аще ли ко огню простреть руку, вѣдаемъ, яко не мудростью се створи да охабимъся его». И годѣ бысть се цьсарю и велможамъ его.	И послал Бог архангела своего Гавриила, принявшего облик одного из царских вельмож, и тот сказал: «Если хочешь, царь, пусть принесут драгоценный сверкающий камень и горящие угли и положат перед ребенком. Если протянет он руку к камню, то знайте, что сделал он это сознательно, тогда убьем его. Если же к огню протянет руку, то узнаем, что не по разуму сделал это и оставим его». И понравилось это царю и вельможам его.
И принесоша предъ нь камень драгыи и угли огнены. И уклони ангелъ Господень руку его къ огню. И вземъ, притце конечь языка, и от того бысть свибливъ. И не убиша его.	И принесли к нему драгоценный камень и горящие угли. И ангел Господень направил руку его к огню. И взяв уголь, дотронулся он им до кончика языка, и от этого стал гугнив. И не убили его.
И бысть Моисий в дому Фараони 15 лѣть и растяше с дѣтми цьсаревыми, в ризахъ единѣхъ. И бысть на конець 15 лѣт и въсхотѣ къ отцю и к матери, и поиде к нима. И приде къ братьи своей, и видѣ мужа егуптянина бьюща еврѣянина от братья его. И озрѣвся Моисий сѣмо и овамо и не видѣ никогоже, и уби егуптянина и схрани и́ в пѣсъцѣ. И бысть в день вторый и вниде Моисий къ братьи его и види два мужа сварящася и рече: «О злодѣю, чему обидиши друга своего?» И рче ему: «Кто тя постави судью надъ нами, чи ли убити мя хощеши, яко же вчера уби егуптянина?» И убояся Моисий и рече: «Воистину вѣдома есть рѣць си».	И жил Моисей в доме Фараона 15 лет, рос вместе с царскими детьми, в одинаковых одеждах (ходил). И на исходе 15-го года он захотел к отцу и матери, и отправился к ним. И пришел к братьям своим, и увидел египтянина, который бил еврея из братьев его. И оглядевшись вокруг, туда и сюда, и никого не заметив, убил он египтянина и похоронил в песке. На другой день пошел Моисей к своим братьям и увидел двух ругающихся мужчин и спросил: «О злодей, зачем обижаешь друга своего?» А тот сказал ему: «Кто поставил тебя судьею над нами, или ты хочешь меня убить, так же как вчера убил египтянина?» Испугался Моисей и сказал: «Как видно, дело это стало известно».
Вниде же слово се во уши Фараону. И заповѣда Фараонъ убити Моисия.	Дошел этот слух до ушей Фараона. И велел Фараон убить Моисея.
И посла Богь архангела своего Михаила, и уподобися во обличье стольника Фараоня и исхити мечь из рукы его и стя голову его. И ятъ ангелъ Моисия за руку десную его и изведе и́ вонъ изъ земля Егупетьския. И посади и́ кромѣ межю егупетьскыи 40 версть въдале. И остася толико Аронъ и начатъ пророчьствовати въ Егуптѣ сынамъ Издраилевомъ. И рче: «Мужа болванъ поверзѣте и́ въ скверньствѣ егупетьстѣмъ и не оскверняйтеся». И не послушаша его.	И послал Бог архангела своего, Михаила, принял он облик стольника Фараонова и вырвал меч из руки его, и снял голову его. И взял ангел Моисея за правую руку и вывел его вон из земли Египетской. И поселил его вне пределов египетских на расстоянии 40 верст. И остался один Аарон, и начал он пророчествовать в Египте сынам Израилевым. И сказал: «Всякого идола повергните в египетской скверне, но не оскверняйтесь». И не послушали его.
И рече Богъ загубить я, нъ помяну завѣть, еже завѣща со Аврамомъ и Исакомъ и Ияковом, и поиде рука Фараонова больши и жесточайши надъ сынами издраилевыми, дондеже посла Богъ слово свое и помяну я́.	И сказал Бог, чтобы погубили их, но он помнил завет, который положил с Авраамом, Исааком и Иаковом, и усилилась и ужесточилась власть Фараона над сынами израилевыми, пока не послал Бог слово свое и не вспомнил о них.
Въ дни же ты бысть сѣца межю синьци и межю сынъми первыми и межи армены.[8] И изиде Киканосъ, цьсарь срачиньский, воеваться со армены и съ сынъми первыми. И побѣди Киканосъ цьсарь армены съ сынъми первыми и плени я́. И Валаомъ бяше прибѣглъ исъ Егупта къ Киканосу занеже не састася рѣць его. И бысть ту у Киканоса и два сына его; Аносъ и Акрисъ, и острѣщи град и люди хужьшая с ними. И сдума Валаомъ с людми земьскими отврѣщися цьсаря Киканоса, и не даша ему внити въ град. И послушаша его людье и присягоша к нему и поставиша и́ цьсаремъ надъ всѣми. Сына же его поставиша воеводу, и възвысиша забралу вельми граду тому съ двою страну, и съ третьей странѣ ископаша рвы и омуты великы бе-щисла, а съ четвертые страны созваше Валаомъ змия и скарпия многы велми шептаньемъ своимъ и потворы. И затвориша градъ и не даша внити, ни приступити. И бѣ егда възвратися цьсарь Киканосъ съ воины и, възведше очи свои, видѣша забрала градная высока зѣло, и удивишася и рѣша: «Людье наши, яко быхомъ долго на войнѣ, и потвердиша града своего, глаголюще: “Егда придеть на ны рать”». Да якоже приступиша къ граду, и видѣша врата градная замчена и рѣша вратникомъ: «Отверзите врата, да внидемъ въ градъ». И не хотѣша отворити по заповѣди Валаома волхва. И не даша внити полкы же предъ враты. И паде от воинъ Киканосовъ въ единъ день 100 и 30 мужь, и въ другыи день бишася на брезѣ рѣкы. И въбреде коньникъ 30 въ воду, хотѣша пребрести на ону страну, и не възмогоша. И истопоша во рвѣхъ. И заповѣда цьсарь сѣщи древо и дѣлати плоты, да быша прешли на ня. И створиша тако, и придоша на плотѣхъ во рвы ты. И възвертѣ ими омуть, и утопе в тъ день 200 мужь на десяти плотовъ.	В то время шла война между эфиопами и сынами Востока и между арамеями. И вышел Киканос, царь сарацинский, воевать с арамеями и с сынами Востока. И победил царь Киканос арамеев с сынами Востока и взял их в плен. И Валаом прибежал из Египта к Киканосу, поскольку не сбылось пророчество его. И было у Киканоса два сына, Анос и Акрис, они сеяли смуту в городе, а с ними были и худшие люди. И задумал Валаом с местными людьми отречься от царя Киканоса, и не дали ему войти в город. И послушались люди его, присягнули ему и поставили его царем надо всеми. Сына же его назначили воеводой, и высоко возвели стены этого города с двух сторон, а с третьей стороны выкопали рвы и ямы большие без числа, а с четвертой стороны Валаом заговором и колдовством собрал много змей и скорпионов. Закрыли они город и не дали в него ни войти, ни приступить к нему. И вот, когда вернулся царь Киканос с воинами и, подняв очи свои, увидели они столь высокие городские стены, то удивились и сказали: «Наши люди, пока мы долго воевали, укрепили город свой, сказав: “Как бы не пришла на нас рать”». Но когда подошли к городу, то увидели ворота городские на замке, и сказали привратникам: «Откройте ворота, чтоб войти нам в город». Но не хотели те открыть из-за запрета Валаома-волхва. И не дали войти войску, оставив его пред вратами. И погибло от воинов Киканоса в один день сто тридцать мужей, а на другой день бились они на берегу реки. И тридцать всадников вошло в воду, желая перебраться на другую сторону, и не смогли. И утонули во рвах. И велел царь рубить деревья и делать плоты, чтобы переплыть на них. И сделали так, и прошли на плотах в эти рвы, и завертел их омут, и потонуло в тот день двести мужчин на десяти плотах.
И въ третий день придоша с той странѣ, на нейже змѣевѣ, и не възмогоша успѣти ничтоже. И изъѣдоша змиеве людей 100 и 7. И охабишася ихъ, и стояша около града 9 лѣть, и не даша приступити, ни внити во нь. И бысть егда стояху на срачинѣхъ, выбѣже Моисий изъ Егупта и приде къ Киканосу, цьсарю срачиньску. Моисиови же бысть лѣть 18, коли выбѣже от Фараона.	И в третий день подошли (воины) с той стороны, где (обитали) змеи, и не смогли ничего сделать. И поели змеи сто семь человек. И отступили от них (воины), и стояли они возле города девять лет, и не дали те им ни взять его, ни войти в него. И когда стояли противу сарацин, бежал Моисей из Египта и пришел к Киканосу, царю сарацинскому. Моисею было 18 лет, когда он бежал от Фараона.
И приде къ Киканасу въ остою, и прия и́ цьсарь и вся велможа его и вси вои его, яко великъ и драгь бысть въ очию ихъ. И высочьство бо его яко тисово, лице же его, яко солнце сияюще, храбрьство же его яко силно. И бысть Моисий думьца у цьсаря.	И пришел он к Киканосу в лагерь, и принял его царь и все его вельможи и воины его, ибо знатен и богат он. был в их глазах. И ростом он был словно тис, лицо его, словно солнце, сияло, храбрость его была велика. И стал Моисей советником у царя.
И бысть на конець 9-го лѣта разболѣся Киканосъ, цьсарь срачиньский, и умре Киканосъ въ день 7-й. И умазаша раби его и погребоша и́ предъ враты градъными. И створиша надъ нимъ полату красну и высоку велми, и написаша на камени вся его войны и все его храборьство.	И к концу девятого года разболелся царь сарацинский Киканос, и на седьмой день он умер. И умастили его рабы маслами и похоронили у городских ворот. И построили над ним красивую и очень высокую палату и написали на камне обо всех его войнах и всем его мужестве.
И бысть егда доспѣша полату и рѣша другъ ко другу: «Что створимъ? Да аще сѣчемься с градомъ симъ, то погибнемъ, дѣемъ ли си, да сѣдѣмъ сдѣ, да увѣдять въси цьсари арменьстии и сынове первии, оже умерлъ цьсарь нашь, и придуть на ны внезапу и не оставять насъ избытка, а нынѣ поидемъ поставимъ собѣ цьсаря. Сядем же у града, дондеже приимемъ и́». И уборздиша поимаша порты своя съ себе и сметаша въ громаду и створиша гору велику.[9] И посадиша Моисия и рѣша: «Въ вѣкы живи, цьсарю!» И сягоша к нему вся вельмоша и вси людие. И поя Моисий жену Киканосову съ вѣстью ея и съ веленьемъ ея.	И вот, когда воздвигли палату, совещались друг с другом: «Что делать? Если сразимся с городом этим, то погибнем, сделаем ли что-то, чтобы остаться здесь, то узнают все цари арамейские и сыновья Востока, что царь наш умер, и внезапно нападут на нас и не оставят нас в целости, так пойдем да и поставим себе царя. Осадим город, покуда не возьмем его». Они быстро сняли с себя одежды свои и покидали их в кучу, сделав большую гору. И посадили Моисея и сказали: «Живи во веки, царь!» И присягнули ему все вельможи и весь народ. И взял себе Моисей жену Киканоса, с согласия и по воле ее.
Моисии же бяше 20 и 7 лѣт, егда ста цьсаремъ надъ срачины. Бысть же во вторый день цьсарства его, собрашася вси людье и рѣша ему: «Цьсарю, промысли намъ, что створимъ: 9 лѣт мину, да не видѣхомъ женъ своихъ и дѣтии». И рече цьсарь къ людемъ своимъ: «Да аще слушающе послушаете гласа моего, вѣдаите, яко преданъ будеть градъ сь в руцѣ наши. Сѣчемъ ли ся с ними, якоже поченше, то погибнеть насъ много, якоже и первое. Аще ли поидемъ на плотѣхъ во омуты, то потонеть насъ много, якоже и первѣе. И нынѣ же, въставше, идѣте в лѣсъ и принесете сыны стерковы, кыйждо свой. Храните же я, дондеже възрастуть. Научите же я перелѣтывати ястрябьскы». И идоша и принесоша сыны стерковы, якоже повелѣ имъ Моисий.	Моисею же было 27 лет, когда он стал царем над сарацинами. Во второй день его царствования собрался весь народ и сказали ему: «Царь, подумай, что нам сделать: уже прошло 9 лет, с тех пор как мы не видели своих жен и детей». И ответил царь людям своим: «Если послушаете меня, знайте, что будет этот город отдан в руки наши. Если сразимся с ними, как вначале, то нас много погибнет, как и в первый раз. Если же отправимся на плотах в омуты, то много нас потонет, как и в первый раз. Теперь же, встав, идите в лес и принесите птенцов аистов, каждый своего. Берегите их, пока не вырастут. Научите их летать по-ястребиному». И пошли (люди) и принесли аистят, как велел им Моисей.
И бысть якоже възрастоша стеркове, и заповѣда цьсарь заморити я гладомъ за 7 дний. И створиша людье тако. Бысть же день тритий, и рче к нимъ цьсарь: «Облачитеся во оружья своя и всядите на коня своя и возмете кыйждо стеркъ свой на руку, и поидемъ да приступимъ къ граду на то мѣсто, идеже змиеве суть».	И вот, когда аистята выросли, то царь повелел семь дней морить их голодом. И люди так поступили. Настал третий день, и сказал им царь: «Наденьте доспехи свои и садитесь на коней своих и возьмите каждый по своему аистенку в руку, и пойдем да приступим к городу на то место, где находятся змеи».
И рече цьсарь: «Пущайте стеркы». И пустиша, и летѣша стеркове на змия, и поѣдоша я, и испразниша мѣсто то. И бысть, яко узрѣ цьсарь и людье, яко погыбоша змиеве и испразнися мѣсто, и въструбиша людие трубою и оступиша градъ, и взяша и́. И придоша когождо в домъ свой. И убиша гражанъ во тъ день 1000 и 100 мужь, а внѣшнихъ не убиша ни единого мужа. И узрѣ Валаомъ волхвъ, яко взятъ бысть градъ, всѣдъ на конь с двѣма сынома своима и бѣжа в землю Мадиамьску къ цьсарю Валаку. То ти суть волсви и чародѣи, иже суть писании въ Пармии,[10] иже научаху загубити племя Иаковле от лица земли. (...)	И сказал царь: «Отпускайте аистов». И они пустили их, и полетели аисты на змей, и поели их, и опустело то место. И увидели царь и люди, что погибли змеи и очистилось место, и вострубили люди в трубы и обступили город, и взяли его. И вернулся каждый в дом свой. И убили в тот день городских жителей 1000 и 100, а извне ни одного человека не убили. И увидел волхв Валаом, что взят город, с двумя своими сыновьями вскочил на коней и бежал в землю Мадиамскую, к царю Валаку. Ведь то были волхвы и чародеи, о которых написано в Паремии, которые научили, как стереть племя Иакова с лица земли. (...)
Моисий же сѣде на столѣ въ срачинѣхъ, жена же Киканосова бяше за ним. И възбояся Моисий Бога, не приходи к ней, помянувъ, яко закля Аврам Елеазара, раба своего: «Не поимай жены сыну моему от дчери хананѣискъ».[11] Исакъ же заповѣда Иякову, сыну своему, не сватитися съ сыны Хамовы, яко продани суть в работу сынамъ Симовымъ и сынамъ Афетовымъ.[12] И убояся Моисий Бога своего, и не прикоснуся к женѣ Киканосовѣ, и та бо есть отъ сыновъ Хамовъ.	Моисей сидел на престоле сарацинском, а жена Киканоса была замужем за ним. Моисей же, убоявшись Бога, не приходил к ней, помня о том, как заклял Авраам Елеазара, своего раба: «Не бери жены от дочери хананеян для сына моего!» Исак же наказал Иакову, своему сыну, не вступать в родство с сыновьями Хамовыми, так как они проданы были в рабство сынам Симовым и сынам Афетовым. И убоялся Моисей Бога своего, и не прикоснулся к жене Киканоса, ведь была она родом от сынов Хамовых.
Расилнѣ цьсарь Моисий и воевася съ едемляны и примучи я, и одолѣ на войнахъ своихъ Ияковъ, дѣдъ его, с нимъ.	Набрался силы царь Моисей и воевал с едемлянами и превозмог их, и одолел во время войн, как Иаков, дед его.
Въ лѣто 40-е цьсарства его и Моисий сѣдяше на престолѣ 40 лет, цьсарица же сѣдяше по сторонѣ его. И рче царица к людемъ и к велможамъ: «Се днесь лѣт 40 цьсарствующю Моисиови надъ вами, и ко мнѣ не прикоснуся, богомъ же нашимъ не поклонися. И нынѣ послушайте мене, сынове срачиньстии! От сего дни не буди се цьсарь надъ вами. Сей вы есть Мукарисъ, сынъ мой, и ть да цьсарствуеть надъ вами. Лѣпле есть вамъ слушати сына господина своего, нели мужа страньска». И быша людие вси сварящеся оли и до вечера, и не хотяху отпустити Моисия. И преможе цьсарица. И ураниша заутра и поставиша Мукариса цьсаремъ надъ всими. И убояшася людие прострети рукы на Моисия, яко бояхуся, присягше к нему. И вдаша ему дары великы и отпустиша и́ съ честью.	В 40-й год царствования сидел Моисей на престоле, а царица в стороне от него. И обратилась царица к людям и вельможам: «Вот уже сейчас 40 лет, как Моисей царствует над вами, и ко мне не прикоснулся, и богам нашим не поклонился. Теперь же слушайте меня, сыновья сарацинские! С сегодняшнего дня не будет Моисей царем над вами. Вот вам Мукарис, сын мой, он и будет царствовать над вами. Лучше повиноваться вам сыну господина своего, чем чужестранцу». И все люди спорили об этом до вечера и не хотели отпустить Моисея. Но пересилила царица. И на другой день спозаранку назначили Мукариса царем над всеми. И побоялись люди поднять руку на Моисея, ибо боялись, присягнув ему. Дали ему дары большие и отпустили его с честью.
И изиде Моиси оттуду путемъ своимъ. Моисий же бысть 60 и 7 лѣть, егда изиде от срачинъ. От Бога бо бяше створенье то. Пришла бо бяше година, яко уготована от дний первыхъ, извести сыны издраилевы от Егупта. И иде Моисий в Мадиамъ, бояше бо ся въспятитися въ Егупеть.	И вышел оттуда Моисей путем своим. Было Моисею 67 лет, когда он ушел от сарацин. Все это было сотворено Богом. И наступило время, уготованное от первых дней, вывести сынов израилевых из Египта. И отправился Моисей в Мадиамскую землю, боясь возвращаться в Египет.
И сѣде на студенци, и выиде 7 дщерий от Рагуила Мадиамьскаго паствить овець отца своего. И придоша ко источнику тому и почерпоша воды напоити овца. И приступиша пастуси мадиамьстии и прогнаша и́. И въставъ Моисий, спасе я́, и напои овца ихъ. И възвратишася ко отцю и повѣдаша, что створи имъ Моисий, и како спасе я́ и напои овца ихъ.	И сел он у колодца, и пришли семь дочерей Рагуила Мадиамского пасти овец отца своего. Они подошли к колодцу тому и набрали воды, чтобы напоить овец. Но пришли пастухи мадиамские и прогнали их. И тогда Моисей встал и защитил их, и напоил овец их. Они же возвратились к отцу и рассказали о том, что сделал Моисей, и как он спас их и напоил их овец.
