Како Отапатъ взятъ бысть	Как была взята Иотапата
Онем же обилие бысть всякого брашна, оскуде же в нихъ соль и вода, зане не бысть источника, ни кладязя внутрь града. Еуспасианъ же... яко жаждею предадятся ему. Иосифъ же, хотя преломити упование его, повелѣ измочити много ризъ и повесити на стѣнахъ, да каплеть из нихъ, имже печяль и ужасъ приа римляны. И гемонъ, отчаався гладное взятие, възвратися пакы на оружие и на нужю, егоже жадаху июдѣи: отчаявъше бо себе и градъ, изволиша умрѣти от рати, негли от глада и жажда. И по вся дни жидовое биющеся вси побиени быша, и мало ихъ остася. Расмотрѣвъ Иосифъ, яко нѣсть уже спасениа, думаше побѣгнути изъ града. И разумѣвше народи, обиступлеше и моляхуся ему, да не презрит их в той бѣдѣ, въздвигающе упование свое на нь на единаго: «Аще бо и еще пребудеши с нами, то вси на рати бодри будем тебе ради; аще ли отидеши, то мы пленени будем». Он же, промышляя о своей главѣ, глаголаше им, яко: «Вас дѣля выхожу, да събравъ воя внезапу нападу на супостаты. Ти бо, оже слышат мя вышедша от вас, град оставлеше, и по мнѣ женут». Таковая рекшу ему, не послушашя людие, но и дѣти, и старии, и жены съ младенци, болма разгорѣвшяся любовию к нему, припадаху к ногама его, молящеся, да не отступить от нихъ. И сей, видя вопль и рыдание ихъ, осклаблься рече: «Нынѣ врѣмя, о друзи, обрѣсти славу некончяную и сътворити что мужеское на память послѣднимъ».	У них же было обилие всякой снеди, но недоставало соли и воды, потому что не было ни источника, ни колодца внутри города. Веспасиан <надеялся>, что они сдадутся из-за жажды. Но Иосиф, желая отнять у него надежду на это, приказал намочить многочисленные одежды и повесить на стенах, чтобы с них капало, отчего римлян охватило уныние и ужас. Полководец, отчаявшись взять город голодом, снова обратился к оружию и насилию, а этого и хотели иудеяне: потеряв надежду спасти жизнь и город, они предпочитали умереть в битве, чем от голода и жажды. И евреи, сражаясь все каждый день, терпели поражение, и их осталось мало. Иосиф, рассудив, что нет уже спасения, думал бежать из города. И узнав об этом, люди обступили его и умоляли не бросать их в этой беде, возлагая надежды на него одного: «Если ты останешься с нами, то все, не зная усталости, будем биться за тебя; если же ты уйдешь, то мы попадем в плен». Он же, думая, как спасти свою голову, говорил им, что: «Ради вас я ухожу, чтобы, собрав воинов, внезапно напасть на врагов. Ведь они, как только услышат, что я ушел от вас, оставят город и погонятся за мной». Этих слов не послушали люди, но и дети, и старики, и женщины с младенцами, воспылав большой любовью к нему, припадали к его ногам, умоляя не уходить от них. И он, видя их вопль и рыдание, уступил и сказал: «Ныне время, о други, обрести славу вечную и сотворить нечто достойное мужей на память грядущим поколениям».
И събравъ крѣпльшихъ, иде на стражи и разгна их, и сѣчяше я до обрытия, и желевъ раздруши и покровъ ихъ, и приспу раскопа, и дѣла ихъ зажже; и по три дни и по три нощи не опочиваа то творя. Еуспасианъ же то видя воя своя недомышляюща противу ристанию иудѣйску, и повелѣ не сниматися съ человѣкы, жаждющихъ смръти: нѣсть бо крепле ничтоже отчаявшихъся крѣпле и неволею биющихся. И повелѣ аравскиимь стрѣлцемъ и сурьскымъ порочником, да борются съ иудѣи. Си же идуще и тѣла не щадяще, нападаху на римляны лютии, поминующе стрѣлци.	И собрав сильнейших, пошел на сторожевой отряд и разогнал его, и сек их до лагеря, и разрушил их черепаху и навес и насыпь раскопал, и сооружения их поджег; и три дня и три ночи делал то же без отдыха. Веспасиан же, видя, что его воины не могут противостоять вылазкам иудеян, приказал не вступать в бой с людьми, жаждущими смерти: ведь нет ничего сильнее отчаявшихся и сражающихся потому, что нет другого выхода. И приказал арабским стрелкам и сирийским пращникам биться с иудеянами. А те шли и не щадя головы яростно нападали на римлян, минуя стрелков.
И пакы Еуспасианъ исплъчи воя якоже прѣжде, и стрѣлци застави, и въздѣлаша приспу. И поставиша овенъ, еже есть дрѣво велико и тлъсто, подобно шеглѣ корабелной, а в конець же его всажено желѣзо велико рогато, имже и овенъ наречется. И врывше двѣ дрѣве яко рососе, и между има положьше и оборсавше ужи множество людий и влекуще биаху. И стрѣлцемъ стрѣляющим, и суличникомъ сулицами сующимъ, и порочникомъ камение пущающимъ, и не смѣюще июдѣи стати на забралѣхъ.[12] Потомъ же безъ страха биаху стѣны овномъ, и множеству на единомъ мѣсте биющимъ, и трясахуся стѣны. Иосифъ же наплъни мѣхы половы, събра и повеси, и идеже влечаху овна, то на то мѣсто влечяху мѣхы, и не бысть пакости стѣнамъ, възбраняющи овну мѣхы. Римляне же, привязывающе сръпы къ стружиемъ, отрѣзываху мѣхы. Иудѣи же отчаявшеся въземше лючь, и тростие, и хворостъ сухъ, и смолу и серу, и треми мѣсты вытекше подожгоша приспу, и дѣла, и пороки, и овенъ. Римляне же ужасошася от шатания ихъ, разбѣгошася; и пламени обьступившю ихъ, и не могуще утещи, сами ся рѣзаху.	И снова Веспасиан изготовил воинов к бою, как прежде, и поставил впереди стрелков, и восстановили насыпь. И поставили баран: это большое толстое бревно, похожее на корабельную мачту, а на конце его насажены рога большие из железа — поэтому оно и называется баран. И врыв два бревна наподобие развилины и поместив его между ними и обвязав веревками, множество людей, оттягивая, наносили удары. И в это время стрелки пускали стрелы, суличники метали сулицы, а пращники бросали камни, так что иудеяне не смели подняться на забрала. И потом они, не опасаясь, били стены бараном, и когда множество <людей> било в одном месте, стены сотрясались. Иосиф же наполнил мешки, набрав половы, и повесил, и куда тащили баран, на то место тащили мешки, и стенам не было вреда, потому что барану мешали мешки. Но римляне, привязывая серпы к копьям, отрезали мешки. И иудеяне в отчаянии, взяв факел, сучья и сухой хворост, смолу и серу, выскочив в трех местах, подожгли насыпь, и сооружения, и метательные орудия, и баран. Римляне, в ужасе от их дерзости, разбежались; пламя окружило их, и, не имея возможности бежать, они резали сами себя.
Тогда мужь нѣкто иудѣянинъ дѣло сътвори подобно памяти. Елеазаръ сей бысть Соммѣинъ сынъ, отечьство же его весь галилѣйскаа. И сей подъемъ камень великъ зѣло, и пусти на овенъ, и отшибѣ главу его, и скочи съ забралъ и взя главу его срѣди римлянъ, и възвращься ста надъ градомъ, да будеть всѣмъ явленно и славно, и дръжа овню главу. И прелѣтѣвше 5 стрѣлъ от заднихъ стрѣлець и удариша и, и уязвенъ свалися съ града съ овномъ.	Тогда один из мужей, иудеянин, совершил поступок, достойный памяти. Это был Елеазар, сын Самия, родом из галилейского села. И он, подняв огромный камень, бросил на баран и отшиб ему голову, затем соскочил с забрал и схватил его голову прямо среди римлян и, возвратившись, встал над крепостной стеной, чтобы все видели и знали, держа голову барана. И пять стрел, прилетев от задних стрелков, поразили его, и, раненый, он упал со стены вместе с бараном.
И по семъ храбра явистася Нѣтиръ и Филипъ из града Рума: нападоста бо на десятый плъкъ с такимъ шюмомъ и с такою крѣпостию и скоростию, яко раздрушиста плъкъ велий, разгнаста и побѣдиста, и не тръпяще мужества ею, на няже устремляшетася. Иосифъ вышед съ людми, разгна пятый плъкъ и вся оставшаа пожже, а основания приспы размѣта.	А после него храбрецами явили себя Нетир и Филипп из города Румы, которые напали на десятый полк с таким шумом, с такою силой и скоростью, что разбили большой полк, разогнали его и победили: не в силах были устоять перед их мужеством те, на кого они устремлялись. Иосиф же, выйдя с людьми, разогнал пятый полк и пожег все оставшиеся <орудия>, а основания насыпи раскидал.
И утру же бывшю, Еуспасианъ, събравъ разбѣгшихся, поносяше имъ, занеже бѣжаша не прѣд воины, но прѣд разбойникы, не стыдящеся ни воинскаго закона, ни отечьскыя похвалы. И вси единодушествующе третьюю приспу въздѣлаша, и овенъ въздѣлаша, и биаху идѣже преже пошибоша.	И когда наступило утро, Веспасиан собрал разбежавшихся и поносил их за то, что они бежали не перед воинами, но перед разбойниками, не стыдясь ни воинского закона, ни славы отцов. И все, в единодушном устремлении, надстроили третью насыпь и восстановили баран, и били там, где уже раньше произвели разрушения.
И ту нѣкто из града застрѣли Еуспасиана въ плесно, нъ съверху: удаление бо мѣста изя силу стрѣлную. И великъ мятежь бысть римляномъ: окрестнии бо его, видѣвше кровь, възвѣстиша всѣмъ о язвѣ гемонстѣй. И страхъ велий на всѣхъ нападе, и охабльшеся градъвзятия, течяху скоро къ гемону. Прѣжде всѣхъ Титъ убояся о отци. Но скоро престаша от мятежа, гемонъ же обѣзавъ ногу и погна сквозѣ плъкы своя, да быша узрѣли и, и ти видѣвше и обрадовашася и другъ друга пострѣкаша, на стѣны устремляющеся, мъщающе своего гемона. И бысть видѣти падающа жиды акы снопы съ забралъ, но обаче не слазяху съ стѣнъ, но смръть прѣд очима видяще висяхуся и огнь, и желѣза и камение пущаху на подстоящихъ. Но не успѣша ничтоже.	И тут кто-то из города ранил Веспасиана в ступню, но неглубоко: большое расстояние ослабило силу стрелы. И у римлян началось великое смятение: стоявшие вокруг него видели кровь и оповестили всех о ране полководца. И великий страх напал на всех, и, оставив битву за город, они быстро побежали к полководцу. Прежде всех Тит испугался за отца. Но скоро волнение улеглось, и полководец, обвязав ногу, поскакал через свои полки, чтобы они увидели его, и те, видя его, обрадовались и, подгоняя друг друга, устремлялись на стены, мстя за своего полководца. И можно было видеть, как евреи падали, будто снопы, с забрал, но, однако, не сходили со стен и, видя смерть перед глазами, свешивались и бросали на стоящих внизу камни, железо и огонь. Но ничего не достигли.
Но и нощи приспѣвши не опочиваху, стрѣлы же и сулици пущаемы множество убиваху, паче же всѣхъ порочна сила, иже и забрала отшибаху, и углы съкрушаху. Единому же от мужь срази главу, и съскочи глава до трей връстъ. И жена непраздна вышедши из дому, яко удари въ чрево ея, и вышебѣ младенець до връсты. Лютъ же вопль от женъ изъутра въста, плачь же и внешнихъ, и стенание до небеси идяше. Кровь зъ забралъ течяше яко рѣкы, и моглъ бы кто по трупиа вълести въ градъ, яко по степенемъ. Мнози же иоттапатианъ тогда добрѣ страдавше падоша, мнозн же язвени быша. Стѣна же всею нощию биема овномъ съкрушися и паде. Жидове же облъкшеся въ оружие, падшаа мѣста твердяху.	Но и с наступлением ночи они не дали себе отдыха, но пущенные стрелы и сулицы убивали множество людей, а особенно — метательные орудия, из которых и забрала отшибали, и углы сокрушали. Одному из мужей оторвало голову, и отскочила голова на три версты. И беременная женщина, вышедшая из дома, — как ударило в чрево ее и вышибло младенца на версту! И страшный вопль вырвался у женщин внутри <города> и плач у тех, кто стоял снаружи, и стенание поднялосьдо неба. Кровь с забрал текла рекою, и можно было по трупам войти в город как по ступеням. Многие из иотапатиан, тогда славно подвизавшись, пали, и многие были ранены. А стена, которую били всю ночь бараном, сломалась и обрушилась. И еврен, вооружившись, укрепляли обрушившиеся места.
И утру бывшю Еуспасиянъ покои воя от нощнаго труда мало, и потомъ иде на възимание града. И повелѣ конникомъ крѣпльшимъ, да съсѣдъ с конь, поидуть на падшаася мѣста, и по тѣхъ пѣшцем храбрѣйшимъ, а прокъ конникъ постави по пригорию, да не утечет из града никтоже гражанъ. Стрѣлца же и порочникы застави назадъ, да не дадять гражаномъ выникнути и-забралъ. И на мѣста, идеже стѣны цѣлы быша, ту принесше лествица, да гражаномъ падшихъ мѣстъ блюдущимъ, си безъ страха влѣзуть. Увѣдѣв же Иосифъ, повелѣ олово кыпящее лѣяти на ня, имже иждежени своливахутся, и много ихъ иждежено бысть. И пакы Еуспасиянъ повелѣ три сыны на приспѣ съдѣлати, по 50 лакотъ възвыше, и поковаша а желѣзомъ, да не прикоснется ихъ огнь, и тверди будуть тягостию. И възведъ на ня лучьшии стрѣлци, и суличникы, и праки легкиа, и биахуть и яко из неба. Гражане же исподнии не могуще с вышними битися и видимии с невидимыми усклабишася, но противляхутся, дондеже изнѣмогоша.	Когда же наступило утро, Веспасиан дал воинам немного отдохнуть от ночных трудов, а потом пошел на взятие города. И приказал самым сильным из всадников, сойдя с коней, идти на обрушившиеся места, и за ними — храбрейшим из пехотинцев, а остальных всадников поставил по пригорью, чтобы не убежал из города никто из горожан. Стрелков же и пращников поставил назад, чтобы они не давали горожанам высунуться из-за забрал. И на места, где стены были целы, принесли лестницы, чтобы, пока горожане охраняют обрушившиеся места, они сами влезли без опаски. И узнав это, Иосиф приказал лить на них кипящее олово, и они, обожженные им, скатывались вниз, и много их было обожжено. И снова Веспасиан приказал сделать на насыпи три башни по пятьдесят локтей в высоту, и оковали их железом, чтобы не вредил им огонь и чтобы они были крепки своею тяжестию. И поставил на них лучших стрелков и суличников и легкие метательные орудия, и они стреляли как будто с неба. Горожане же, оказавшись внизу и не имея возможности биться с теми, кто выше, к тому же видимые с невидимыми, отступили, но продолжали сопротивляться, пока не обессилели.
И потомъ выбѣже нѣкто из града и насочи къ Еуспасиану, яко: «Уже изнемогошася гражане бдѣниемъ и утружениемъ бесчисленымъ бес престани. Но обаче можеши въ заутренюю стражю[13] взяти град, отаи пришедъ: тружающимся бо день и нощь, а в зорѣ одолѣеть имъ сонъ, яко в той часъ отчающимся рати, и вси стрегущеи спять». Онъ же не я вѣры сочившему, вѣдаа твердость иудѣйску и увѣрениа другъ къ другу. И прѣд тѣмъ ятъ нѣкоего иотапатанина и мучи и всѣми муками, и огнемъ, и желѣзомъ, да бы что повѣдалъ о внутренихъ. Ничтоже рекшю ему распя и, и умре смѣяся. И о семъ же чюяше, яко не велмм далече рѣчи его от истинны суть, и предасть и на съблюдение. Сам же в насоченый часъ прииде съ вои къ граду съ млъчяниемъ. И пръвое възлѣзе на стѣны Титъ съ Савиномъ тысячьскым и по нею Секостъ и Плакида съ своими вои, избиша стража и внидоша въ градъ млъчяще, и посредѣ града ходящим плѣнѣнии не очютиша: раздруши бо силу их трудный сонъ. Аще же кто въставъ, мъглою не можаху видѣти, послучившися ей тогда над градомъ, дондеже свѣту бывшю, и внидоша вси вои, поминающе злаа, яже прияша от нихъ, не щадяху от стара и до младенца. И друзии, видяще кончину, сами ся зарѣзаху, а друзии по пещерамъ разбѣгошася... и Антониа сотника да вдасть ему руку да не убиеть его; и оному же безъ злобы простершю руку и безъ соблюдения, и той прободе ребра его копиемъ и уби и, прежде его варивъ. И въ той день вси видимии убиени быша числомъ 60 тысящь, плѣнныхъ же пять тысящь, и градъ раздрушиша, и сыны ижжегоша. Иотопатъ же тако взятъ бысть, мѣсяца панема,[14] еже есть иуль, въ третьее на десять лѣто кесарьства Неронова.[15]	И после этого выбежал кто-то из города и донес Веспасиану, что: «Уже изнемогли горожане от бессонных ночей и бесконечного постоянного напряжения. А ты можешь в утреннюю стражу взять город, подойдя тайно, потому что они в трудах день и ночь, а на заре одолевает их сон — ведь в этот час они не ожидают нападения и вся стража спит». Однако он не поверил доносчику, зная твердостъ иудеян и верность друг другу. Ведь до этого он уже взял одного иотапатианина и пытал его всеми пытками, огнем и железом, чтобы тот рассказал что-нибудь о делах в городе. Когда же тот ничего не сказал, он распял его, и тот умер смеясь. И с этим <перебежчиком> — он чувствовал, что не очень далеки от истины его речи, и отдал его под стражу. Сам же в указанный доносчиком час подошел с войском к городу в полной тишине. И первым влез на стены Тит с трибуном Сабином, а за ними — Секст и Плацид со своими воинами, убили стражу и вошли в город бесшумно, и взятые в плен не услышали, как они ходили посреди города: ведь все силы у них отнял тяжелый сон. Если же кто и вставал, то не мог видеть из-за тумана, приключившегося тогда над городом, — пока к рассвету не вошли уже все воины и, поминая все зло, которое претерпели от них, не щадили <никого>, от стариков до младенцев. И одни, видя смерть, закалывались сами, а другие разбежались по пещерам. <Один из иудеян попросил> Антония-сотника дать ему руку в знак того, что тот не убьет его; и когда тот без задней мысли и без опаски протянул руку, он проткнул его ребра копьем и, опередив, убил его. И в тот день были убиты все, кто не скрылся, — шестьдесят тысяч, пленных же взяли пять тысяч и город разорили, а башни сожгли. Так была взята Иотапата в месяце панеме, то есть июле, в тринадцатый год правления Нерона.
