Вопросы и отвѣти от Божественных писаний	Вопросы и ответы от Божественных писаний
В. Рече Господь: «Вмалѣ не видите мене, и паки вмалѣ узрите мя».[8]	Вопрос. Сказал Господь: «Еще немного, и не увидите меня, и потом ненадолго узрите меня».
От. Егда положенъ бысть во гробѣ, не видѣша его. Егда же вста, тогда и видѣша.	Ответ. Когда положили Его в гроб, то не видели. Когда же воскрес, тогда и узрели.
В. Рече Господь: «Будеть дрѣво яко прити птицам небесным[9] и вселитися въ вѣтвияхь его».	Вопрос. Сказал Господь: «Будет дерево, куда прилететь птицам небесным и поселиться на ветвях его».
От. Дубъ есть миръ, вѣтви языци, а птици апостоли, иже по всему миру и въ всѣх языцѣх проповѣдаша Слово Божие.	Ответ. Дуб есть мир, ветви — народы, а птицы — апостолы, по всему миру и всем народам проповедающие Слово Божие.
(...)	(...)
В. Что ради Господь рече трижды: «Симоне Ионинъ, любиши ли мя»?[10]	Вопрос. Почему Господь сказал трижды: «Симон, сын Ионин, любишь ли меня»?
От. Понеже Зжды отвержеся.	Ответ. Потому что (тот) трижды отрекся.
В. Что есть: 5 хлѣбъ и 2 рыб, 12 укрухов?[11]	Вопрос. Что значит, пять хлебов, две рыбы, двенадцать корзин с ломтями?
От. 5 хлѣбъ есть Моисѣевы пятеры книгы: Бытие, Исход, Левитинъ, Числа, 2 Закон, а двѣ рыбы — Апостолъ и Евангелие, 12 кош укрух — 12 апостолу учение. Господь нашь Исус Христос своима рукама первое крестилъ святого апостола Петра, а святый апостолъ Петръ святого апостола Андрѣа, а Андрѣй крестил Иаоана Богослова и Иякова, а Ияковъ и Богослов крестиста вся апостолы, Петръ и Иаоан Богослов крестиста святую Богородицю.	Ответ. Пять хлебов — это Пятикнижие Моисеево: Бытие, Исход, Левит, Числа, Второзаконие, а две рыбы — это Апостол и Евангелие, двенадцать корзин с ломтями — учение двенадцати апостолов. Господь наш Иисус Христос своими руками первым крестил святого апостола Петра, а святой апостол Петр святого апостола Андрея, а Андрей крестил Иоанна Богослова и Иакова, а Иаков и Богослов крестили всех апостолов, Петр же и Иоанн Богослов крестили святую Богородицу.
В. Что есть, еже в Галилеи притворь Соломонь?[12]	Вопрос. Что значит, что есть в Галилее притвор Соломона?
От. Церкви, убо была раскопана Навходомьносором[13] и паки създана Киромъ[14], а притвор быль Соломоновѣ не роскопанъ, того ради рече евангелист: «въ притворѣ Соломонь».	Ответ. Это церковь, которую разрушил Навуходоносор, а потом построил Кир, а притвор Соломона не был разрушен, поэтому сказал евангелист: «В притворе Соломона».
В. Что есть, иже рече Писание: «Видѣхъ жену сѣдящу на мори и змиа лежаща при ногу еа. Егда хотяше жена ражати отроча, та змий пожирашеть а»?[15]	Вопрос. Что значит, как сказано в Писании: «Видел жену, сидящую на море, и змею, лежавшую у ее ног. Когда жена рождает младенцев, змея пожирает их»?
Т. Море — весь миръ, жена же умѣнить церковь посредѣ мира, а змиа Диавола, да егда хотять вѣрнии людие спастися, приходяще к церкви, Диаволъ возбраняет им прельщая всѣм и козньми своими.	Толкование. Море — весь мир, а жена обозначает церковь посреди мира, а змея — Дьявола. И когда верующие хотят спастись, приходя к церкви, Дьявол препятствует, прельщая их всяческими искушениями.
В. Что есть: единаго искахом, а три обрѣтахом, егоже искаху, не можаху познати его, нъ показа им мертваа девица?	Вопрос. Что значит: мы искали одно, а нашли три, и то, что искали, не могли узнать его, но показала мертвая девица?
Т. Егда распяша Господа со двѣма разбойникома на Зхь крѣстѣхъ и наиде святая Елена[16] три кресты, не вѣдаше Господня креста, и егда положи на мертваа девици крестъ Господень, абье сѣде мертва девица.	Толкование. Когда распяли Господа с двумя разбойниками на трех крестах, то нашла святая Елена три креста, не зная Господня креста, и когда положили на мертвую девицу Господень крест, вдруг села мертвая девица.
(...)	(...)
В. Кто есть, еже рече слово то: «двое ми не мощи убѣжати, двое не постичи»?	Вопрос. Кто это, о ком сказано: от двоих мне убежать невозможно, а двоих не догнать?
Т. Смерти и старости не убѣжати, а живота и юности не постичи.	Толкование. От смерти и старости не убежать, а жизни и юности не догнать.
В. Кто, смерти не приим, смерти бѣгаше?	Вопрос. Кто, смерть не приняв, от смерти бежал?
Т. Илиа Езавели бѣгаше.[17]	Толкование. Илья от Иезавели бежал.
В. Что есть, еже рече: «Горе тебѣ, граде, в немже царь юнъ и боляре рано пьюще и рано ядуще»?	Вопрос. Что значит сказанное: «Горе тебе, град, в котором юный царь, а бояре рано пьют и рано едят»?
Т. Град есть душа, а царь юный — умъ, а боляре пьянчивии — помысли злии, лукавии.	Толкование. Город есть душа, а царь юный — ум, а пьяные бояре — это хитрые и злые мысли.
В. Гдѣ смѣшашеся тепло съ студению?	Вопрос. Где смешались тепло и холод?
Т. В Содомѣ и Гоморѣ[18] град и юглие горящее.	Толкование. В Содоме и Гоморре, город и горячие угли.
В. Чий глас изыде от Восток до Запад?	Вопрос. Чей голос пронесся от Востока до Запада?
Т. Егда Богъ проклят Каина.	Толкование. Когда Бог проклял Каина.
В. Когда четвертая часть мира умре?	Вопрос. Когда умерла четвертая часть Вселенной?
Т. Егда Каинъ уби Авеля брата своего.	Толкование. Когда Каин убил Авеля, брата своего.
В. Кто роди гиганты?	Вопрос. Кто родил гигантов?
Т. Внук Хамовъ.[19]	Толкование. Внук Хама.
В. Коего праведника град спасе от смерти?	Вопрос. Какого праведника град спас от смерти?
О. Лота Сигоръ[20], егда избѣжа ис Содома.	Ответ. Лота Сигор, когда убежал из Содома.
В. Когда радовашеся весь миръ?	Вопрос. Когда весь мир радовался?
О. Егда Ное ис ковчега изыде.	Ответ. Когда Ной вышел из ковчега.
(...)	(...)
В. Кая церкви створена бысть, еаже обновлениемь весь миръ погибет?	Вопрос. Какая церковь была создана, через обновление которой погибнет весь мир?
От. Ковчегъ Ноевъ.	Ответ. Ноев ковчег.
В. Кто научил Богу кланятися на въсток?	Вопрос. Кто научил молиться Богу на восток?
От. Моиси на горѣ Синайстѣй.	Ответ. Моисей на Синайской горе.
В. Поп не поставлен, диакънъ отметник, пѣвець блудник.	Вопрос. Поп не поставленный, дьякон отступник, певец блудник.
Т. Иаоан Бога крестил, а отметник Петръ, а блудник Давидъ.	Ответ. Иоанн крестил Бога, а отступник — Петр, а блудник — Давид.
 Въпрос. Кый пророкъ двою родился?	Вопрос. Какой пророк родился дважды?
Толк. Куръ. Первое, курица яйце снесла. Изъ яйца, второе, вылупился, то естъ родился. А пророкъ есть, свѣт повѣдаеть людѣмъ рано.	Толкование. Петух. Во-первых, курица снесла яйцо. Во-вторых, из яйца он вылупился, то есть родился. А пророк потому, что рано людям рассвет возвещает.
(...)	(...)
Почто месяць держить 30 дний, а неделя 4?	Почему в месяце тридцать дней, а недель четыре?
Толк. Четырех ради стихия: 1я стихия держит «Б». 2я «О», 3яя «Г», 4я «Ъ». Да то составивше, Богъ наречеться.	Толкование. Из-за четырех стихий: первая стихия содержит «Б», вторая — «О», третья — «Г», четвертая — «Ъ». Соединив их, получится «Богъ».
На 6мь стоить, два глаголють, 5 обличаста, 12 дивятся.	На шестом стоит, двое разговаривают, пятеро возвещают, двенадцать дивятся.
Толк. Два глаголють — Христос с самарянынею. На 6мь стоить Христос: въ 6й час ко кладязю придет, 5 обличасте — 5-ры книги Моисеовы, 12 дивятся — 12 апостолъ.	Толкование. Двое разговаривают — Христос с самаритянкой. На шестом стоит Христос: в шестой час придет к колодцу, пятеро возвещают — Пятикнижие Моисеево, двенадцать дивятся — 12 апостолов.
Четыре орли едино яицо снесоша, имже весь миръ препитѣша.	Четыре орла снесли одно яйцо, которым напитался весь мир.
Толк. 4ре евангелисты, а яицо Евангелие, весь миръ исполниша евангелиальскаго учения.	Толкование. Четыре евангелиста, а яйцо — это Евангелие, весь мир наполнился евангельским учением.
Видѣхъ змия лежаща при пути, хапающа коня за пяту, и сѣде конь на заднюю ногу, жды избавления от Бога.	Видел змею, лежащую у дороги, хватающую коня за копыто, а конь сел на заднюю ногу, ожидая спасения от Бога.
Толк, Путь есть вѣра, а конь человечество, а задняя нога человеческий послѣдний родъ. А змий — Диаволъ, ища кого поглотити.	Толкование. Дорога есть вера, а конь — человечество, а задняя нога — последний род человеческий. А змея — Дьявол, ищущий, кото бы поглотить.
Два стоять, а два идуть, а два минуються.	Двое стоят, двое идут, двое расходятся.
Толк. Небо и земля стоять, а солнце и месяць идеть, а день и нощь минуются.	Толкование. Небо и земля стоят, а солнце и месяц идут, а день и ночь расходятся.
(...)	(...)
Исус в стрѣлах, Моисей в чертозѣ, Павелъ в дѣвкахъ, Давидъ ся женить. Адамъ в сватехъ, Соломонъ по невѣсту ѣдеть. Рѣка среди моря течеть, а животъ во огни скачеть. А зватаи з горы стоя глаголеть: «Приидѣте, приидѣте». Инии приидоша, а инии змроша, а зватаю упокои.	Иисус в стрелах, Моисей в чертоге, Павел в девках, Давид женится. Адам сватом, Соломон за невестой едет. Река течет посреди моря, а живое бьется в огне. А зовущий, стоя на горе, призывает: «Придите, придите». Одни пришли, а другие умерли, а звавшему успокоение.
Исус в стрѣлах, рекше въ Преображеньи. Моисий в чертозѣ, рекше в крабицѣ, Павел в дѣвках, рекше дѣиственик, Давидъ ся женитъ, рекше женъ много, Адам в сватех, той же толк. Соломонъ по невѣсту ѣдетъ, рѣка средь моря течеть, а живот во огни скачет. Звѣрь малъ саламандръ прованскы[21] в огни скачет, а не горит. А зватаи з горы стоя глаголет: «Приидѣте, приидѣте», инии приидоша, а инии изомроша, а зватаю покои. Рекше «приидѣте» Моисий и Илия, рекше апостоли пали на горѣ, а Христу упокои, рекше коли з горы сшел с ними и заказал имъ свое Преображение. Во Илопии рѣка Феозъ[22] сквозѣ море идеть, а вода морская к ней не пристанеть.	(Толкование.) Иисус в стрелах означает — в Преображении. Моисей в чертоге означает — в корзине, Павел в девках означает — девственник, Давид женится значит, что жен много, Адам сватом — то же толкование. Соломон за невестой едет, река среди моря течет, а живое в огне скачет. Зверь малый, саламандра цейлонская, в огне скачет, а не горит. А зовущий, стоя, с горы взывает: «Придите, придите», одни пришли, а другие умерли, а звавшему покой, означает: «приидете, Моисей и Илья»; означает: апостолы пали (ниц) на горе, а Христу успокоение; означает: когда Он с горы спустился с ними и явил им свое Преображение. В Илопии река Феоз течет через море, а вода морская с ней не сливается.
Рече внук бабѣ: «Баба, положи мя у себе». И рече ему баба: «Како ми тебе положити, а ты мя родилъ».	Сказал внук бабке: «Баба, положи меня с собою». И сказала ему баба: «Как же я тебя положу, ведь ты меня родил?»
Толк. Внукъ есть Христос, а баба земля.	Толкование. Внук — это Христос, а баба — земля.
 Что ради от жены родися и на древѣ распяться? И водою крестися?	Почему: от женщины родился и распят на дереве? И крестился водою?
Толк. Сего ради, понеже роди человеческы женою согрѣши. Диавол бо прельсти Евгу и Адам отпаде Рая. Такоже и Богъ омывает ядь диаволю, женою побѣние бысть Диаволу. Женою бо испаде из Рая человекъ, от жены воплотися Богъ и повелѣ вѣрным внити в Рай. А еже на древѣ распяту быти, сего ради яко от древа вкушь Адам испаде ис Породы, Богъ же сего ради на древѣ страсть приатъ. Да древом Диавол побѣжен будет и от древа животнаго приимут жизнь праведнии. А иже водою обновление, понеже при Нои умножившимся грѣхом въ человѣцехъ, наведе Богъ потоп на землю, потопи человеки на земли водою. Сего ради рече Богъ: «По немже погубих водою человеки грѣх ради, в немже паки водою очищаю грѣхи человекомь». Еже бо и нынѣ креститься Духомь и водою.	Толкование. Из-за того так, что род человеческий согрешил через женщину. Ибо Дьявол прельстил Еву, и Адам лишился Рая. Так же и Бог очищает яд дьявольский, через женщину произошла победа Дьявола. Из-за женщины лишился Рая человек, от женщины воплотился Бог и повелел верным войти в Рай. А на дереве будет распят, потому что как Адам, вкусив от древа, лишился Рая, так Бог за него на древе страдание принял. И Дьявол будет побежден древом, и от древа жизни получат жизнь праведники. А потому водою обновление, что при Ное умножились грехи людские, и навел Бог потоп на землю, и потопил людей на земле водою. Поэтому сказал Бог: «Раз погубил людей водою из-за грехов, так же потом водою очищаю грехи человеческие». Поэтому и теперь крестятся Святым Духом и водою.
