КНИГЫ «БЧЕЛА».	КНИГИ «ПЧЕЛА».
Мужу нѣкоему насилье створившу Плутарху и бѣгаюшю и стыдящюся усрѣтатися с нимъ, Плутархъ, единою усрѣтъ, рече ему: «Не тебѣ подобаеть мене бѣгати, но мнѣ тебе, занѣ праведенъ еси».	Когда некий муж несправедливо поступил с Плутархом и избегал его, стыдясь встречи, Плутарх, как-то встретив его, сказал: «Не тебе подобает меня избегать, но мне тебя, ибо прав ты».
Аще нынѣшнее время добрѣ исправимъ, то и будущаго времени добра чаи.	Если сегодняшний день хорошо устроим, то в будущем ожидай добра.
Сократъ рече. Достоино основанью храминному и корабльному тверду быти, тако же и починку дѣломъ истинну и праву быти.	Сократ сказал. Подобает основанию дома и корабля быть крепким, но также и началу дела справедливым и верным.
Сократ. Се видѣвъ ученика своего, селу прилежаща, а учения небрегуща, и рече: «Блюдися, друже, еда село хотя сдѣлати, а душу пусту оставиши и несдѣлану».	Сократ. Вот увидел ученика своего, отдающего силы пашне, а к учению нерадивого, и сказал: «Берегись, друг, если одну лишь пашню хочешь возделать, а душу пустынной оставишь и необработанной».
И тъ же. Сеи видѣвъ друга своего, тъснущася к письцемъ, да быша написали на камени образъ его, и рече ему: «Ты ся тъснеши, да бы камень былъ подобенъ тебѣ, а о семъ въскую ся не печеши, а бы ты ся не уподобилъ камени?»	И он же. Вот увидел друга своего, спешащего к художникам, чтобы вырезали из камня изображение его, и сказал ему: «Ты торопишься камень себе уподобить, почему же не заботишься о том, чтобы самому не уподобиться камню?»
Медляя починаи дѣло, поченже, въборзѣ кончаи.	Неспешно дело начни, начав же, быстро кончай.
Диоген. Поноси ему нѣкто, яко по нечистымъ мѣстомъ ходить, и отвѣща: «И солнце такоже нечистая мѣста осияеть, но не оскверняеться».	Диоген. Некто поносил его за то, что по нечистым местам ходит, и отвечал он:«И солнце также нечистые места освещает, но не оскверняется».
Пиперид мудрый рече. Достойно благому являти при словесныхъ, яже мыслить, а при дѣлѣхъ — яже творить.	Гиперид мудрый сказал. Достойно доброго являть в словах то, что думает, а в делах — что творит.
Аристотель рече. Богъ можеть створити, елико хощеть, человѣкъ же тъ добръ, иже полезная промыслить.	Аристотель сказал. Бог может сотворить сколько захочет, из людей же хорош тот, кто пользу принесет.
Мужьскому добродѣянию знаменье бываеть не починанье дѣлъ, но скончание.	Знаком мужской добродетели бывает не дел начинанье, но их завершенье.
О МУДРОСТИ	О МУДРОСТИ
От апостола. Не дѣти бывайте умомъ, но злобою млади будите, а умомъ же свершени.	От Апостола. Не будьте детьми умом, на злое же будьте как младенцы, а по уму как зрелые люди.
Лѣствица, утвержена и устроена твердо на здание, при трусѣ не распадеться, тако и сердце, утвержено мысльми, во время думы не устрашиться.	Лестница, сделанная и поставленная прочно у здания, в землетрясенье не рухнет, так же и сердце, укрепленное мыслью, в час испытания не устрашится.
Сирах. Нѣкто рече от златолюбець сице: «Уне ми имѣти каплю вазни, нежели ботарь ума». Ему же отвѣщавъ, любомудрець и рече: «А бы ми капля ума, негли глубина вазни».	Сирах. Один алчный сказал так: «Лучше мне иметь каплю счастья, чем бочонок ума». Ему отвечая, философ сказал: «А мне бы каплю ума, чтоб достичь полноты счастья».
Сократъ. Егда думаеши, помысли о преже бывшихъ и приложи она къ нонѣшьнимъ; тѣмъ бо не явленымъ, явленая скоро разумѣються.	Сократ. Когда рассуждаешь, подумай о прежде бывшем и сравни его с нынешним; и все, что сокрыто, явным сразу окажется.
Лѣпа бо рѣчь велика знаменья доброумью являеть.	Ибо прекрасная речь знаком великим возвышенных мыслей является.
Диодоръ. Мудра дума паче многыхъ рукъ, и мудрый паче крѣпкаго.	Диодор. Мудрый совет важнее множества рук, и мудрый сильнее твердого.
Аристотель рече. Думы нѣсть ничтоже ино, но оскудѣнье ума. Невѣдуще бо, что подобаеть створити, или — ни, того ради и думаемъ; воля бо когождо не въдасть смотрити, яже подобаеть.	Аристотель сказал. Советы не что иное, как оскуденье ума. Ибо, не зная, что следует делать, а что — нет, оттого и просим совета; мненье другого не дает нам решить, как следует.
Нѣкто впраша Вианта, кто есть добрый думца, и рече: «Время».	Кто-то спросил Вианта, кто лучший советчик, и ответил тот: «Время».
Фаворинъ рече. Достойно намъ, конець вещи преже смотривше, и тако начатье ихъ творити.	Фаворин сказал. Следует нам, завершенье дела сперва рассмотрев, лишь тогда начинать его.
О ЧИСТОТѣ И О ЦѣЛОМУДРИИ	О ЧИСТОТЕ И О ЦЕЛОМУДРИИ
Иовъ. Аще въслѣдова сердце мое женѣ мужатѣ, или при дверехъ ея сѣдѣл, да тако бы и моя супруга угодна бы иному была.	Иов. Если обратилось сердце мое к женщине замужней, если сижу я в дверях ее, пусть и супруга моя стала б кому-то желанной.
Не льютъ мюра въ скверный съсудъ.	Не льют благовоний в грязный сосуд.
Плутархъ. Агисилаось, лакедѣмоньскый воевода, нѣкоторѣй женѣ краснѣй приступивши к нему, о тяжи въпрашающи, възврати лице въспять, рече: «Луче ми такымъ не покоритися, негли многомужный градъ взяти, уне бо ми есть своея съблюсти свободы, нѣгли инѣхъ поработити».	Плутарх. Агесилай, лакедемонский полководец, когда одна красивая женщина обратилась к нему, о суде прося, отвернул лицо свое и сказал: «Славнее мне таким не покориться, чем взять многомужный город, ибо лучше мне свою сохранить свободу, чем других покорить».
Но и Александръ царь не стерпѣ прити на видѣние Дарьевы жены, прекраснѣ ей сущи; но приходя къ матери еѣ, старѣй ей сущи, не стерпяше младое и красное зрѣти. Мы же, на сѣдло и на столцѣ, женьскыя очи попущающе, изъ оконець выничюще, како не мнимъся съгрѣшающе?	Даже Александр Македонский не удержался, чтобы не пойти взглянуть на прекрасную жену Дария; однако приходя к старшей годами матери ее, не решился посмотреть на молодую и прекрасную. Мы же, в седле и на носилках, женские очи привлекая, из окошек высовываясь, почему не считаем себя согрешающими?
Эпиктит. Иже хощеши кромѣ работы быти, самъ ся отпусти от работы, свободенъ бо будеши, аще ся отпустиши от похоти.	Эпиктет. Если хочешь быть свободным от рабства, освободись от рабства; будешь свободен, если освободишься от желания.
Менедем рече. Уношѣ нѣкоему рекшю: «Велико дѣло есть, иже кто улучить вся, ихъ же жадаеть»,— онъ же рече: «Се есть болѣ, иже не жадаеть неполезнаго».	Менедем сказал. Когда сказал один юноша: «Большое дело, если кто получит все, что желает»,— тот ответил: «Но лучше, если не желает бесполезного».
Ксанфъ. Ксанфъ мудрый, видѣвъ домогубца мужа при дверехъ красны жены, и рече: «Сия сладость малая купить великую напасть».	Ксанф. Ксанф мудрый, увидев расточительного человека при дверях красивой женщины, сказал: «Это маленькое удовольствие принесет большую беду».
О МУЖЕСТВѣ И О КРѣПОСТИ	О МУЖЕСТВЕ И О ТВЕРДОСТИ
Сократъ. Сь, видѣвъ коринфѣйская врата твердо замчена, и рече: «Ци жены здѣ живуть?»	Сократ. Этот, увидев врата Коринфа прочно замкнутыми, сказал: «Разве женщины здесь живут?»
Александръ. Се, молимъ сы от дружины нощью напасти на супостаты, и рече: «Не царьскыя есть крѣпости побѣда».	Александр. Так, умоляемый дружиною ночью напасть на врагов, сказал: «Не царского мужества такая победа».
Леонидий рече. Сь Леонидий лакедѣмоньскый, мало имѣя вои, иде на персы, и ему нѣкто рече: «Како с малыми вои идеши на толику землю?» Он же отвѣща: «С малыми иду, но съ хотящими и съ довлѣющими битися».	Леонид сказал. Этот Леонид лакедемонский, мало имея воинов, пошел на персов, и ему некто сказал: «Как с малым войском идешь на такую силу?» Он же ответил: «С малым, но с добровольцами, и достаточным, чтобы биться».
Аристотель рече. Крѣпльший есть, иже желание побѣждает, нигли ратники. Се бо есть лютъ и храборъ, аще кто собѣ одолѣеть.	Аристотель сказал. Тверже тот, кто побеждает желания, а не воинов. Лишь тот смел и храбр, кто себя одолеет.
О ПРАВДѣ	О СПРАВЕДЛИВОСТИ
Цесарь Филипъ. Нѣкоего Антипатрова друга пристави с судьями судити; потомъ же, поразумѣвъ извѣсто, яко вапомъ красить браду и главу, и сведе и от судийскаго стола рече: «Аще власомъ своимъ невѣренъ еси, то како людемъ и суду вѣренъ можеши быти?»	Царь Филипп. Поручил он другу Антипатра судить с судьями; но лишь стало ему известно, что тот краскою красит бороду и голову, свел он его с судейского кресла и сказал: «Коли волосам своим ты неверен, как людям и суду можешь быть верен?»
Менадръ. Да грабить мя богатъ, нѣгли убогъ, да обидить мя лучьший мене, нѣгли хужьшии. Уне бо есть терпѣти вышьших себе насильство, нѣгли пущьшихъ.	Менандр. Пусть лучше грабит меня богатый, чем бедный, и пусть претерплю обиду от благородного, чем от низкого. Лучше терпеть насилье от более знатных, чем от худших.
Ипиридъ рече. Двоея дѣля вины человѣци от правды отступають — или страха ради, или срама ради.	Гиперид сказал. По двум причинам люди от правды отходят — или страха ради, или позора.
Пифагоръ. Злѣй стражеть своими страстьми мучим и свѣстьми, иже кого обидѣлъ, неже бьем по тѣлу ранами и боденъ.	Пифагор. Мучимый своими страстями и совестью злей страдает, если кого обидит, чем битый по телу и получивший раны.
О БРАТОЛЮБЬИ И О ДРУЖБѣ	О БРАТСТВЕ И О ДРУЖБЕ
Иже строить протива лицю друга своего тенето, то самъ своею ногою увязнеть въ немъ.	Кто ставит другу своему силки, тот сам попадет в них ногою.
Не остави друга древняго; новый бо не будеть ему подобенъ.	Не покидай друга старого, ибо новый не будет ему подобен.
Филонъ. Мужь правдивъ есть не иже не обидитъ, но иже обидѣти мога, то не въсхощеть.	Филон. Человек справедливый не тот, кто не обидит, а который мог бы обидеть, и не захотел.
Аще другу не можеши угодити, то како можеши чюжему вѣренъ быти?	Если не можешь другу угодить, то как чужому сможешь быть верен?
Все новое лучьши — и съсуды, и порты, а дружьба ветхая.	Все новое лучше — и сосуды, и одежда, а дружба — старая.
Земнии плоди от лѣта до лѣта ражаються, а дружба по вся дни.	Земные плоды от года до года рождаются, а дружба во все дни.
Аристотель. Стяжанье достойно есть приобрѣсти другъ дѣля, неже другы стяжанья дѣля.	Аристотель. Богатство стоит приобретать ради друга, но не друзей ради богатства.
Се поношенъ бысть, яко съ лукавыми живеть[3], и отвѣща: «Добрый врачь есть, иже иметься лѣковати больных и отчаяныхъ всѣми врачи».	Вот, упрекаемый, что с дурными живет, отвечал он: «Хороший врач тот, кто берется лечить больных, которых другие врачи признали уже безнадежными».
Критий. Иже всегда бесѣдують съ другомъ сладъкая, то сладость напослѣдокъ на вражьство възвращаеться.	Критий. Если всегда о приятном беседовать с другом, то удовольствие наконец во вражду обратится.
Антигонъ цесарь рече. Се же рабомъ моляшесь, да быша и съхранили от мнимых другъ. И нѣкоему въпросившю его: «Въскую таку молбу твориши?» — отвѣща: «Занѣ отъ враг сам ся съблюдаю, вѣдая ихъ».	Антигон-царь сказал. А этот просил рабов, чтобы охраняли его от мнимых друзей. И когда спросил его кто-то: «Отчего ты о том умоляешь?» — отвечал: «Потому что от врагов я и сам сберегусь, их зная».
Агисилаосъ рече. Нѣкто перескокъ прииде къ нему из нѣмець, а властелемъ велящимъ ему поручити вои свое, и рече: «Не подобает поручити чюжихъ побѣгшему от своихъ».	Агесилай сказал. Некий перебежчик перешел к нему от противника и, когда полководцы пожелали поручить ему своих воинов, сказал: «Нельзя доверить чужих сбежавшему от своих».
О МИЛОСТЫНѣ	О МИЛОСТЫНЕ
Питаконъ. Сь, обидимъ бысть нѣ от кого, и власть имѣя мъстити себе, и отда, рече: «Прощенье есть лучьшее мъщения: ово бо кроткаго естьства речеться, ово же звѣринаго».	Питакон. Этот, обиженный кем-то, хоть и в силах был отметить за себя, но простил, говоря: «Прощение лучше мщенья: кроткой оно природы, а не звериной».
Разбойникъ нѣкый утапаше въ мори и нагъ выбреде къ брегу. Исократъ же, видѣвъ и зимою умирающа, и одѣ и, и обу и пищу давъ ему и отступи и. И поносимъ же бысть от нѣкоего, зане незнаемаго разбойника снабдѣ, и отвѣща: «Не аки человѣка разбойника почьстихъ, но человѣчьское естество почьстихъ».	Некий разбойник тонул в море и нагим выплыл к берегу. Исократ же, видя его от стужи умирающим, и одел, и обул его, и, пищу дав ему, отпустил. Когда же упрекнул его кто-то, что неизвестного разбойника пригрел, отвечал: «Не как человека почтил я разбойника, но природу человека почтил».
О БЛАГОДАТИ	О БЛАГОДАРНОСТИ
Змию кормити и блудному даяти подобно есть: от обою бо ничто же добромысльно ражаеться.	Змею кормить и распутному давать — все едино: от обоих никакой пользы не будет.
Дионисий цесарь, слушая гудьца, добрѣ гудуща, обѣща ему даръ дати капь злата. Утру же бывшю и приде гудець проситъ обѣщанаго, он же отвѣща: «Ты вчера гуда възвеселилъ мя еси пѣсньми, а яз такоже обѣщаньем възвеселихъ васъ, нынѣ же отиде от ушию моею веселие твое, а от тебе упованье мое».	Тиран Дионисий, слушая музыканта, хорошо игравшего, обещал ему в дар дать меру золота. Когда же настало утро и пришел музыкант просить обещанного, тот отвечал: «Ты, вчера играя, веселил меня песнями, и я так же обещанием возвеселил тебя; нынче же от ушей моих удалилось твое веселье, а от тебя — надежда на меня».
Нѣкоему другу, хотящю дщеръ въдати замужь, и просящу у Олександра имѣнья по ней, сей повелѣлъ вдати по ней 50 талантъ злата. Иному же рекшю: «Довлѣеть 10 талантъ», Олександръ отвѣща: «Тобѣ достойно толико просити, а мнѣ достойно толико даяти, елико есмь реклъ».	Когда некий друг, желавший дочь выдать замуж, просил у Александра приданого ей, этот пожелал дать ей пятьдесят талантов золота. Когда же просивший сказал: «Достаточно и десяти талантов», Александр отвечал: «Достойно тебя столько просить, меня же достойно дать столько, сколько сказал я».
Сь, исполнивъ костий блюдо, посла къ Диогену, куньскому философу. Онъ же приимъ и рече: «Куньское брашьно се, но не цесарьский даръ»[4].	Он же, наполнив блюдо костями, послал Диогену, философу-кинику. Тот же, приняв, сказал: «Вот собачья еда, но не царский дар».
Диогенъ рече. Сьй, въпрашаемъ бывъ от иного, которыя дѣля вины человѣци просящимъ дають, а мудролюбцемъ не въдають, и отвѣща: «Зане хромоты и слѣпоты чають над собою и иныѣ проказы, мудрости же не чають».	Диоген сказал. Этот, спрошенный кем-то, по какой причине люди нищим дают, а философам — нет, отвечал: «Потому что хромоты, слепоты и прочих убожеств и себе ожидают, а мудрости — нет».
Опикуръ. Не отмѣтай малаго дарованья: будеши бо невѣренъ къ большимъ.	Эпикур. Не отвергай малого дара: ибо возникнет недоверие к большему.
О ВЛАСТИ И О КНЯЖЕНИИ	О ВЛАСТИ И О МОГУЩЕСТВЕ
Плутархъ. Притча глаголеть: дѣтемъ ножа не давай; азъ же рьку: ни дѣтемъ богатьства, ни мужемъ ненаказанымъ силы и власти подавати.	Плутарх. Пословица говорит: детям ножа не давай; я же добавлю: ни детям богатства, ни людям невежественным силы и власти доверить нельзя.
Дионъ Римьскый. Всячьская, сущимъ яже велишь подъ тобою — быти и творити, то преже самъ твори, потомъ же учи. Тѣмъ бо луче ихъ накажеши, неже законъным мучением: ово бо подражание имѣеть, а сь — страхъ, да уне есть с подражаньемъ, неже съ боязнъю вънити въ лучьшее.	Дион Римский. Все, что велишь подчиненным своим — как быть и что делать,— сначала выполни сам, потом же учи. Тем самым ты лучше научишь, чем наказаньем согласно закону: там ведь идет подражанье, здесь — страх, а лучше всегда с подражаньем, чем со страхом, идти к совершенству.
Димокритъ. Любимъ въсхощи быти при житьи, нежели страшенъ: егоже бо вси бояться, и тъ всѣхъ боиться.	Демокрит. Пожелай быть любимым при жизни, а не страшным: ибо кого все боятся, тот сам всех боится.
Цесарь ума вѣнець не приищеть, умъ бо цесарьствуеть.	Царь короной ума не получит, ибо царствует ум.
Агафонъ. Князю достойно три вещи въспоминати: первое — яко на человѣкы владѣеть; второе — яко законъ ему порученъ от господа; третье — яко власть си временъна сущи истлѣваеть.	Агафон. Князю необходимо о трех вещах помнить: первое — что людьми управляет; второе — что закон ему дан от бога; третье — что власть эта временна и пресекается.
Апаминда Фивѣйскый видѣ много вои без добра воеводы и рече: «Великъ звѣрь, но главы не имать».	Эпаминд из Фив увидел множество воинов без достойного вождя и сказал: «Велик зверь, а головы не имеет».
Фивѣемъ гордящимъ, зане обладаша Лакедѣмоньею, слышавъ же Коту, фракийский цесарь, и рече: «Азъ много ручаи видѣхъ, болша рѣкъ бывающихъ, но на мало время».	Когда фивейцы гордились тем, что владели Лакедемонией, фракийский царь Кутус, услышав это, сказал: «Я видел много ручьев, которые больше рек — но на краткое время».
О ЛЖИ И КЛЕВЕТѣ	О ЛЖИ И О КЛЕВЕТЕ
Уне есть злое слышати, нежели злаго молвити.	Лучше злое .слышать, чем злое сказать.
Къ сему пришедъшю клеветнику[5] и рекшю: «Онъсии пред мною сице лаяшеть тебѣ» — и отвѣща: «Аще бы того не сладъко слушал, онъ бы мнѣ не лаялъ».	Когда пришел к нему клеветник и сказал: «Вот такой-то предо мною так уж поносит тебя»,— отвечал: «Если бы ты с таким наслажденьем не слушал его, он бы меня не бранил».
Нѣкому рекъшю к нему[6]: «Оньсии злѣ ти лаяшеть»— и отвѣща: «Ръци ему: атъ мя и бьеть кромѣ суща!»	Когда кто-то сказал ему: «Тот-то свирепо тебя бранит»,— отвечал: «Скажи ему, пусть и побьет меня, но так же — заочно!»
Диогенъ. Сей, лаемъ от нѣкоего плѣшива, и рече: «Азъ лаяньемъ на въздаю тебѣ, но хвалю власы главы твоея, занѣ, испытавъши главу твою безумьную, и отбѣгоша!»	Диоген. Этот, поносимый неким плешивцем, сказал: «Я бранью тебе не отвечу, но восславлю волосы на твоей голове, ибо, испытав на себе все безумство твоей головы, они убежали!»
Аристипъ. Сей, от иного лаемъ, отступаше, затокъ уши. Оному же рищющу по немъ и кличющю: «Чему бѣжиши?» — он же рече: «Ей же, ты бо власть имаши злѣ молвити, азъ же власть имамъ ни стояти, ни слышати тебе».	Аристипп. Когда поносил его некто, то отходил, заткнув уши. Когда тот побежал за ним с криком: «Почему убегаешь?» — он сказал: «Да, ты вправе зло говорить, но ведь и я волен не стоять и не слушать тебя».
Филимонъ. Иже лаяние претерьпить, крѣплии есть всѣхъ. Аще бо лаемъ не твориться ни слышая, то лающему есть горьчай смерти.	Филимон. Кто брань перетерпит, тот тверже всех. Коль поносимый как будто не слышит брани, то ругателю это страшнее смерти.
Димостенъ рече. И иному лающю ему, и рече: «Не борюся с тобою: имъ же бо одолѣю тебѣ, тѣмъ яко одолѣнъ буду».	Демосфен сказал. Когда кто-то ругал его, сказал он: «Не отвечаю тебе: чем я тебя одолею, то одолеет меня».
Дионъ Римьскый. Якоже очьная болѣзнь видѣние омрачает и възбраняеть лежащая предъ собою видѣти, такоже и неправедное слово, аще вънидет въ праведныхъ разумъ, то омраченьемъ гнѣвнымъ не дасть видѣти истины.	Дион Римский. Как глазная болезнь зрение портит и мешает лежащее перед тобой видеть, так же и несправедливое слово, войдя в сознание достойных, затмением гнева не даст увидеть истину.
Дионисий цесарь реч. Сьй, слышавъ, цесарь, яко два уноши много молвиста на нь и на цесарьство его въ пиру, и повелѣ възвати я къ собѣ на обѣдъ. Видъ же единого упивъшася и много суетная глаголаше, а другаго съ страхомъ пьюща и съ блюденьемъ, оного отпусти, занѣ пьяница естьствомъ былъ, а оного посѣче, яко злоумьника и волею блудяща.	Дионисий тиран сказал. Царь этот, услышав, что два юноши на пиру оговаривали его самого и правленье его, повелел призвать их к себе на обед. Видя, что один из них напился и наговорил много пустого, а другой — пил с опаской и с предосторожностью, первого отпустил, ибо был он всего лишь пьянчужкой, а второго казнил как злоумышленника, действующего сознательно.
О ЛАСКАНЬИ	О ЛЕСТИ
Плутархъ. Ласканье подобно есть щиту нетверду, вапомъ украшену: на нь же зрѣти сладъко, а потребы в немъ нѣсть ни единоя.	Плутарх. Лесть подобна некрепкому щиту, краской расцвеченному: смотреть на него приятно, нужды же в нем нет никакой.
Фитионъ рече. Морьстѣи свиньи пловуть съ пловущими до самого брега морьскаго, на брегъ же не выходять. Такоже и ласкавци до тихости пребывають съ своими другы; а имъ же преклоняться друзи его на убожьство и на жесточѣишее житье, то отходять.	Сотион сказал. Дельфины плывут с пловцами до самого берега, на берег же не выходят. Так и льстецы в благополучии остаются со своими друзьями; если же друзья впадут в бедность и тяжкую жизнь, то исчезают.
О БОГАТЬСТВѣ, И О УБОЖЬСТВѣ, И О СРЕБРОЛЮБЬИ	О БОГАТСТВЕ, И О БЕДНОСТИ, И О КОРЫСТОЛЮБИИ
Богатый възглаголеть — и вси умолкоша, и слово его възвысиша до облакъ.	Богатый заговорит — и все умолкли, и слово его вознесли до небес.
Нускый рече. Луче есть мало имѣти съ добрымъ, нежели много съ злымъ.	Нисский сказал. Лучше малое иметь по-доброму, чем многое по-плохому.
Диогений. Сь, въпросимъ от инѣхъ, въскую злато блѣдо есть, и отвѣща: «Занѣ мнози на нь помышляють».	Диоген. Этот, спрошенный некими, почему так бледно золото, отвечал: «Потому что многие на него помышляют».
Тимодинъ. Сь, въпросимъ, что есть вышьши, богатьство ли или мудрость, и отвѣща: «Не вѣмъ, но обаче вижю мудрыя, къ вратомъ богатаго ходяща».	Симонид. Этот, спрошенный, что выше, богатство или мудрость, отвечал: «Не знаю, но, однако, вижу мудрых, к дверям богатого ходящих».
О УДОБЬИ	ОБ УМЕРЕННОСТИ
Луче хлѣбъ съ солью въ молчаньи и бес печали, нежели предложение брашномъ многоцѣнънымъ съ мятежемъ и съ ужасомъ.	Лучше хлеб с солью в спокойствии и без печали, чем обилие изысканных блюд в волнениях и в отчаянии.
Климий. Всякое чресъ мѣру пакостно.	Климий. Все, что чрезмерно, пагубно.
Филонъ. Книголюбець, мало пищи и питья приемьля[7], стоить межи смертью и бесмертием: смертна бо тѣла дѣля приемлеть нужное, и душа его, бесмертия желающи, многоцѣнныя пища не ищеть.	Филон. Добродетельный, мало пищи и питья принимая, стоит между смертью и бессмертием: смертного тела ради берет необходимое, а душа его, желая бессмертия, изысканной пищи не ищет.
О МОЛИТВѣ	О МОЛИТВЕ
Епикуръ рече. Аще бы богъ, послушая молитвы всѣхъ человѣкъ, и сътворилъ бы въслѣдъ моленья ихъ, то весь род человѣческый погыблъ бы, зане много зла другъ на друга молит.	Эпикур сказал. Если бы бог, вслушиваясь в молитвы всех людей, исполнил все их желания, род человеческий погиб бы, столько зла друг другу они желают.
О УЧЕНИИ И О БЕСѣДѣ	ОБ УЧЕНИИ И О БЕСЕДЕ
Богослов[8]. Негласно дѣло лучи есть, нежели слово несвершено.	Богослов. Безмолвное дело лучше бесполезного слова.
Уне есть на себѣ узду носити и от инѣхъ хытрыхъ коньникъ исправливатися, нежели намъ инѣхъ убо обуздати и коньникомъ быти.	Лучше на себе узду носить и иным искусным наездникам подчиняться, чем взнуздать других и самим стать наездниками.
Дѣи словесная, а не глаголи дѣяния.	Делай сказанное и не говори о сделанном.
Плутархъ. Сь глаголаше, яко Клеанфии и Ксенократий, тупа суща паче инѣхъ ученикъ, поношена быста. Она же отвѣщаста: «Вѣ подобна съсудомъ тонкожерлымъ, яже, едва приемля лѣемая, твердо и добрѣ хранять и».	Плутарх. Этот рассказывал, что Клеанфа и Ксенократа, самых бездарных из учеников, осуждали. Те же отвечали: «Мы подобны сосудам узкогорлым, которые, с трудом принимая вливаемое, стойко и хорошо его хранят».
Филиппъ цесарь. Гудьцю ладящю гусли своя, и Филипъ, сѣдя, и рече: «Криво ладиши, инако было». И гудець отвѣща: «Да не тако попустить богъ гнѣвъ свой на тя, цесарю, яко тобѣ лучьши мене умѣти гусльная!»	Филипп-царь. Когда музыкант настраивал гусли свои, Филипп, сидя, сказал: «Неверно делаешь, было иначе». И музыкант отвечал: «Да не обрушит на тебя бог свой гнев, о царь, за то, что и в музыке ты лучше меня разбираешься!»
Якоже и коневи рзание, и псу брехание, и волови рютье, и лютому звѣри риканье дано есть, да то ихъ знаменье есть, такоже и человѣку слово, да то его знаменье, то же его градъ, то же его сила, то же оружье, то же и стѣна, сь животенъ боголюбенъ кромѣ всѣх животъ симъ почтенъ есть.	Как коню ржание, и псу лай, и волу рев, и барсу рычанье дано, и это их признак, так и человеку слово, и это признак его, и сила его, и оружье, оплот и ограда; боголюбивое живое существо из всех прочих животных этим отмечено.
Мосхионъ. Егда бесѣдуеши съ инѣми, преже смотри, аще луче тебе есть сповѣстьникъ тъ или хужьши, или равенъ тебѣ. Аще разумѣеши и лучыиа себе — то покорися ему, аще же хужьши — то покори и, аще ли ровенъ тобѣ — то одиноумися с нимъ.	Мосхион. Когда беседуешь с другими, посмотри, лучше тебя собеседник или хуже, или равен тебе. Если увидишь, что лучше — покорись ему, если же хуже — его покори, если же равен тебе — то будь с ним в согласье.
Солонъ. Сь глаголаше, яко слово — образъ есть дѣлу[9].	Солон. Этот говорил, что слово — вид дела.
Иродот. Равное добро есть, о цесарю, аще кто самъ о себѣ добро мыслить и иного, глаголющаго добро, хочеть послушати.	Геродот. Равное благо, о царь, если кто сам о себе думает верно и другого, говорящего верно, захочет выслушать.
О НАКАЗАНИИ	О ПОУЧЕНИИ
Еврипидий. Вси есмы хитри наказати, а сами не вѣмъ, что сътворимъ.	Еврипид. Все мы искусны поучать, а сами не ведаем, что творим.
Осопъ. Сь рече: «Кождо насъ два мѣха носить: единъ пред собою, а другый — за собою. В предний же кладемъ чюжие грѣхы, а въ задний — свои».	Эзоп. Этот сказал: «Каждый из нас два мешка носит: один перед собою, другой — за собой. В передний складываем чужие ошибки, в задний же — свои».
О ЛЮБОМУДРИИ И О УЧЕНИИ ДѣТИИ	О ФИЛОСОФИИ И ОБ УЧЕНИИ ДЕТЕЙ
