В ЧЕТВЕРГ 3 НЕДѢЛИ ПОСТА СВЯТАГО ФЕОДОСИА СЛОВО О ТРЪПѢНИИ И О ЛЮБВИ И О ПОСТѢ	В ЧЕТВЕРГ ТРЕТЬЕЙ НЕДЕЛИ ПОСТА СЛОВО СВЯТОГО ФЕОДОСИЯ О ТЕРПЕНИИ, О ЛЮБВИ И ПОСТЕ
В ПЯТОК 3 НЕДѢЛИ ПОСТА СВЯТАГО ФЕОДОСИА ПОУЧЕНИЕ О ТРЪПѢНИИ И О СМИРЕНИИ	В ПЯТОК ТРЕТЬЕЙ НЕДЕЛИ ПОСТА ПОУЧЕНИЕ СВЯТОГО ФЕОДОСИЯ О ТЕРПЕНИИ И СМИРЕНИИ
Господи, благослови!	Господи; благослови!
Подвизайтеся, трудници, да приимѣте вѣнець тръпѣниа вашего, Христос бо ждеть входа нашего. И въждезѣмъ свѣтилникы наша любовию и послушаниемъ, кротосьтию и смирениемъ и срящем Христа непостыдномъ лицемъ, глаголюще къ намъ: «Приидѣте, иже мене ради потружавшеся въ молитвах и въ бдѣниих и въ всякых службах, и приобщитеся благых». Паки же речеть лѣнивым и неродивымъ: «Идѣте от мене, проклятии, не знаю вас, якоже вы не слышасте гласа рабъ моих, пророкъ и апостоль, и святыми Евангелии позывающа въ царство небесное, тако и азъ васъ не слышу; но емуже послѣдовасте, тому же и обѣщници будете мукамъ бесконечнымъ».	Подвизайтесь, трудники, и увенчаетесь венцом терпения, ибо ждет Христос входа нашего. Зажжем свои светильники любовью и послушанием, кротостью и смирением и непостыдно встретим Христа, глаголящего нам: «Приидите ко мне трудившиеся ради меня на молитвах и бдениях и во всяких богослужениях, и приобщитесь благих». А еще скажет ленивым и нерадивым: «Отойдите от меня, проклятые, не хочу знать вас, ибо как вы не слушали гласа рабов моих, пророков и апостолов, зовущих святыми Евангелиями в царство небесное, так и я не слышу вас; кому вы последовали, с тем вместе вечных мук и приобщайтеся».
Билу бо ударѣющу, не лѣпо ны есть лѣжати, но въстати на молитву, якоже ны богоносивый Феодоръ учит[18] и Давыдьское оно слово въ умѣ имѣюще и глаголати: «Готово сердце мое, Боже, готово».[19] Да егда второму клѣпанию кончевающуся, тогда и своя ногы вготовимъ на сшествие церковное, помысла своего не дряхла имуща, но весела, и въздающе хвалу живодавцю Богу, прѣпроводившу нас връсту нощную, и въ устѣх имѣюще пророка Давыда и царя псалом, в нѣмже глаголеть: «Възвеселихся о рѣкших мнѣ: в домъ Господень внидемъ»[20] и прочее. Такожде входяще въ церковь и «Святый Боже» поюще, таже с лѣпотою поклонившеся Христу трижды до земля и съ великою боязнию и съ страхом стати безмолвно при стенѣ, гласы немлъчны въспѣвающе к Вышнему, иже насъ грѣшных сподобилъ входа церковнаго, не имѣюще собѣ подъпоры стѣны, ни стлъпа, еже намъ суть на честь створена. Егда бо и къ другомъ приходимъ, то достоить нам, поклонение створше до земля и связавше руцѣ, аки рабу Божию стати прѣд нимъ, Христа о сѣмъ подражающе, видимъ бо его предстояща прѣд Пилатом и поругаема и не глаголюща ничсоже.[21] И повелѣно ны есть другомъ толикы чьсти даяти смирениа ради, имже добродѣтелныа вѣнца украшаемъ; еже бо не поклонитися другу своему и руцѣ долу повѣсити, то неродивых мужь и лѣнивых и въ умѣ гордяшихся. И въ церкви боле того есть, на честь бо намъ стлъпи суть и стѣны церковныа, а не на бе-щестие.	Когда ударят в било, нехорошо нам лежать, но подобает, как учит богоносный Феодор, встать для молитвы и повторять, приводя на ум, Давыдовы слова: «Готово сердце мое, Боже, готово». А когда закончится второе клепание, тогда и ноги свои приготовим для шествия в церковь, с мыслями в голове не унылыми, а веселыми, вознося хвалу жизнодавцу Богу, препроводившему нас в ночное время, на устах неся псалом пророка и царя Давыда, в котором сказано: «Возвеселился я о сказавших мне: войдем в дом Господень», и далее. И так входя в церковь с пением «Святый Боже», потом, трижды благообразно поклонившись Христу до земли, с великою боязнью и страхом, не переставая благодарить Владыку за то, что сподобил нас, грешных, войти в церковь, безмолвно становимся у стены, не опираясь ни на стену, ни на столпы, что созданы нам для чести. Ведь когда приходим мы к друзьям, прилично нам, поклонившись в землю, со сцепленными руками, как Божиим рабам, перед ними стоять, подражая тем Христу, о котором знаем, что он стоял пред Пилатом, и поругание терпел, и не говорил ничего. Положено нам таким образом честь воздавать друзьям для смирения, чтобы украсить им венцы наших добродетелей; ибо не кланяются своим друзьям и руки вниз опускают люди нерадивые и ленивые, превозносящиеся в своем уме над другими. А церковь выше этого, для чести созданы нам церковные столпы и стены, а не на бесчестие.
Кадящу прозвитеру святый олтарь и намъ чающимъ присѣщениа кадилнаго, не лѣпо с лѣностию стояти, но страх великый имѣти. Святое бо кадило образъ Святаго Духа есть, да не лишимся того, любимици! Да егда приобрящемся благодати Святаго Духа кадилным присѣщениемъ, и на мѣсто свое шедше и стати ны лѣпо есть съ всякою кротостию, якоже въ уставѣ пишеть, сонъ отложивше и мертва себе сътворити къ копасаниемъ и к кашлю акы нечювствьна, и съ умилениемъ молитися Богу, да послеть намъ помощь скончати намь въ блазѣмъ тръпѣнии заутреню и канонъ.	Когда кадит пресвитер святой алтарь и ожидаем мы его приближения с кадилом, следует нам стоять не леностно, но со страхом. Ибо святое кадило — образ Святого Духа, да не лишимся его, возлюбленные мои! После того как приобщимся мы благодати Святого Духа через каждение, следует нам, вернувшись на свое место, встать там со всею кротостью, как написано в уставе, забывши сон и замерев, без кашля и копошения, словно бесчувственным, и с умилением молиться Богу, чтобы послал он нам помощь, с благим терпением свершить заутреню и канон.
Да егда присѣщениемъ Божиимъ въсиаеть въ душах нашихъ свѣт истинный и по пѣнии «Богь Господь» егда начнемъ псалтырное пѣние, не лѣт ны есть другъ друга прихватити стиховъ и пѣнию мятежь творити немалъ, но на стрѣйшаго сторону взирающе, и безъ того початиа не лѣпо есть починати никомуже; тако бо доброчиньство бываеть. И егда, починающе пѣснь или «аллилуа», покланяние междю събою творим, подражающе о сѣмъ ангелы, длъжни есмы взирати в томъ на старѣйшиу сторонѣ, да егда онъ поклонится, и мы поклонитися, послѣдующе ему, должни есмы добролѣпне. Ангелы бесплотныа видѣша пророкы поюща и поклоняющася и Богу хвалу въздающе съ прѣстояниемъ. Нам же кацѣмъ быти достоить, сподобившимся съ ангелы Богу невидимому служити и прѣстояти, от негоже мъзды длъжныа чаем! Тъ бо съвѣсть сердца наша, кого дѣля пристоимъ въ святѣй церкви. Да не лѣнимся, любимици мои, о годинах и о службѣ своей Испытающему вся дѣла наша и помышлениа наша. Открыем съгрѣшениа наша сдѣ прѣдъ худымъ человѣкомъ, да тамо не обличена будуть, прѣдо вселенною. И блюдѣмъ годинъ заутрьних, и обѣдѣнных, и павечерних; иже бо погубляеть годины лѣности ради, татбѣ подобно есть украдаа святаа; проклят бо есть иже дело Божие делает со нерадением.	И когда благодаря Божию посещению просияет в наших душах свет истинный, когда после пения «Бог Господь» начнем псаломское пение, не следует нам перехватывать друг у друга стихи и вносить тем немалую сумятицу в пение, но подобает следить за старостой клироса и не начинать никому, пока не начнет он, тогда и благочиние будет. И когда мы, начиная песнь или возглас «аллилуиа», поклоны творим, подражая в том ангелам, должны мы следить за старостой клироса, чтобы, когда он поклонится, тогда бы и мы благолепно поклонились, последуя его примеру. Пророки ангелов бесплотных видели предстоящими Богу, поющими и поклоняющимися ему, и хвалу возносящими. Каковыми же подобает быть нам, вместе с ангелами сподобившимся служить и предстоять невидимому Богу, от которого ждем должного воздаяния! Знают о том сердца наши, перед кем стоим мы в святой церкви. Так не станем нерадеть, возлюбленные мои, о наших церковных часах и о службе тому, кто испытует все наши дела и помышления. Откроем здесь наши согрешения, пред худым человеком, чтобы не быть им обличенными там, перед всей вселенной. И будем блюсти церковные часы, заутренние, и обеденные, и павечерние; кто губит церковные часы по лености, подобен вору, крадущему святыню; проклят делающий Божье дело с нерадением.
Да не лѣнимся, любимици мои, братиа и отци, и чада духовнаа, избраннаа! Съ слѣзами бо глаголю горкаа словеса къ вашей любви, понеже вамъ глаголю, сам не створя. И на мнѣ днесь сбысться реченое от пророка: «Грѣшнику же рече Богъ: “въскую ты повѣдаеши завѣть мой усты твоими! Ты же наказание възненавидѣ и низъврьже словеса моа въспят. Аще видяше тате, течаше с нимъ, и съ блудникы участие свое полагаше, и на братъ свой клѣвѣташе, и на сына матере своея полагаше съблазнъ. Сие створилъ еси, и умолчах. А вознепщевал еси, безаконниче, яко буду подобенъ тебе! Обличю тя и поставлю прѣд лицемъ твоимъ грѣхы твоя, да разумѣють вси забывающеи Бога, егда къгда похитить и не будеть избавляющаго”».[22] И пакы: «Усты твоими сужю ти, рабе лукавый, — добрѣе бы ти было, да бы възвратилъ срѣбро мое, да бых тщивымъ дѣлателемъ вдалъ, иже быша ми въздали съ прибыткомъ».[23] Да нужда ми есть глаголати къ вашей любви вся та, да нѣ кьто умреть въ моемъ молчании лютым грѣхомъ. О Христѣ Исусѣ Господѣ нашем.	Не будем лениться, возлюбленные мои братья и отцы, и чада духовные, избранные! Со слезами говорю я эти горькие слова вашей милости, ибо учу вас, сам не исполняя этого. И ныне сбылось на мне прореченное пророком: «Сказал Бог грешному: зачем ты возвещаешь устами своими завет мой! Ведь ты поучение мое возненавидел и отказался от слов моих. Если видел ты вора, то шел вместе с ним, и в общении с блудниками принимал участие, и клеветал на брата своего, и полагал соблазн на сына матери своей. Ты это делал, и я молчал. И ты подумал, беззаконный, что я уподоблюсь тебе! Обличу тебя и поставлю пред лицом твоим грехи твои, чтобы знали все забывающие Бога, что когда они совершат преступление, не будет им избавления». И еще: «Словами твоими сужу тебя, раб лукавый, — лучше бы тебе было, если бы возвратил ты серебро мое, чтобы мог я отдать его усердным делателям, которые бы воздали мне с лихвой». Да нужда мне говорить все это вашей милости, чтобы не умер кто в лютом грехе из-за моего молчания. О Христе Исусе Господе нашем.
 	СЛОВО УТЕШИТЕЛЬНОЕ К БРАТИИ О ДУШЕВНОЙ ПОЛЬЗЕ
ВЪ ВТОРНИК 3 НЕДѢЛИ ПОСТА НА ЧАСѢХ СЛОВО УТѢШНО КЪ БРАТИИ О ДУШЕВНѢЙ ПОЛЗѢ	ВО ВТОРНИК ТРЕТЬЕЙ НЕДЕЛИ ПОСТА, НА ЧАСАХ, СЛОВО УТЕШИТЕЛЬНОЕ К БРАТИИ О ПОЛЬЗЕ ДУШЕВНОЙ
Господи, благослови!	Господи, благослови!
Азъ, грѣшный и лѣнивый, погрѣбый талантъ свой в земли, а не придѣлавъ имъ ничтоже, и чаю по вся дни на себѣ онѣх лютых и немилостивыих истязатель, и прѣщения оного страшнаго, и гнѣва лютаго, егда начнет глаголати: «О, злый рабе и лѣнивый, непотрѣбне, добрѣе бы створилъ, да бы възвратилъ сребро мое добрым пенязником, и поспѣшным и дѣтельнымъ, иже быша ми въздѣлали съ лихвою»,[24] нынѣ же нуждю имѣю глаголати и глаголю, и, глаголя, не прѣстаю, не яко учитель, но яко рабъ, съ слезами моляся и колѣнех ваших касаяся, и указаа вамъ прѣдлежащая благаа и грядущаа муки, да бысте не погрешили благыа оноя надежда. Немало бо то зло, еже нам тацѣх даров лишенымъ быти и въ непроходимая и адъскаа мѣста впасти лѣностию хождения ради и красотъ маловрѣменных, въ нихже ничсоже успѣша, послѣдовавше таковым. Азъ же, унылый, имѣя в собѣ корѣнь злаго того проращениа от моея лѣности, ни самъ входя въ царство небесное и вамъ препону творя своею лѣностию и своими неподобными нравы, судих себе двоичю и трижды отлучитися от вас. И се створих, не добродѣтелий дѣания онѣхъ святых подражати хотя, но се луче судих, да поне вас не упражняю от благого подвизания, аще бо бых с вами былъ, немалу съпону вам створилъ бых собою, отставилъ вы бых от Божиа пути. Мнѣ бо, грѣшному, еже единъ день отлучитися от васъ въ все ми ся лѣто вмѣняеть, паче же достоания церковнаго и почитаниа божественых словесъ и житиа святыих, егоже облиши мя лѣность моя немалаа, еюже акы веригами связанъ лежу, и ума моего, акы Лазаря другаго пред враты, повръжена,[25] токмо вѣрное око къ Богу простирая и Богородицу съ вышнею молитвою на помощь призывая, да нѣкако бы ся умилосердилъ благый Богъ ваших дѣля молитвь и любовь, юже ко мнѣ имѣете. Падох бо падениемъ злымъ; аще не Господь бы помоглъ мнѣ и Богородица, вмалѣ не вселилася бы въ адъ душа моя. И видѣх, чего дѣля падохъ: оставивъ порученую ми службу, и въслѣдовах трапезамъ, и не чюях себе сводима къ пропасти адьстѣй. Но человѣколюбивый Бог, иже не презрѣ Лазаря, струпы посыпана и гнойна, умерша, но въскресилъ ù,[26] тожде и на мою немощь присѣти, не призрѣ моея лѣности, но пусти на мя духъ уныниа, имже угнѣтаемъ есмь и донынѣ, егоже дѣля удалихся от васъ, чая, по писаному, Бога спасающаго мя. Въ моем бо отлучении от вас не чюх себе ничсоже добра приискавша, но токмо имый бдѣниа и пощениа; не могох скончати якоже вы, да тѣмъ и осудих ся. Вашеа ради любве радуюся, еже в толицѣ злѣ видяще мою худость, не възгнушастеся моих словесъ, еже въ моемъ отхождении к вамъ изглаголаная, но съ всякым тщанием створисте ̀я. И своея бо лѣности забых въ вашемь тщании, и еже бо велико поспѣшение имѣете о службѣ церковнѣй, и въ длъготръпѣниѣ стоании въ всѣх бо годинах и службах обрѣтающеся, и божественаго Феодора о заповѣдехъ радующеся[27]. Потщание имѣйте, да тогожде блаженьства сподобистеся и жизни вѣчнѣй причастници будете о Христѣ Исусѣ, Господѣ нашем.	Я, грешный и ленивый, схоронивший талант свой в земле и ничего не прибавивший к нему, всякий день ожидающий к себе лютых тех и немилостивых вопрошателей и страшного того наказания и гнева лютого, когда будет сказано: «О, злой и ленивый раб, нечестивый, лучше бы ты сделал, если б отдал серебро мое добрым торговцам, усердным и трудолюбивым, которые бы воздали мне с лихвою», имею ныне нужду говорить с вами и говорю, и, говоря, не перестаю напоминать вам, не как учитель, но как раб, со слезами моля вас и припадая к ногам вашим, о предстоящих благих воздаяниях и о грядущих муках, чтоб не лишились вы благой той надежды. Ибо немалое это зло, быть нам лишенными таких даров и угодить в непроходимые и адские места из-за ленивого поведения и мимолетных красот, в погоне за которыми ничего мы не достигли. А я, унылый, имея в себе семя злого того плода, что происходит от моей лености, и сам не входя в царство небесное, и вам чиня препоны своею леностию и своими дурными нравами, позволил себе и дважды, и трижды отлучиться от вас. И сделал это, не добродетельным деяниям святых подражать желая, но так рассудив: поскольку не освобождаю вас от доброго подвизания, то если бы вместе с вами был, немалую помеху сотворил бы вам своим примером, увел бы вас с Божьего пути. Мне, грешному, и один день в отлучении от вас за целый год вменяется, тем паче — в отлучении от достояния церковного и от чтения божественных словес и житий святых, чего лишила меня моя великая леность, которой я как веригами связан лежу и ум мой повержен, как второй Лазарь пред вратами, лишь только взор с верою на Бога устремляю и Богородицу в помощь с молитвой призываю, чтоб как-то умилосердился бы ко мне благой Бог ради ваших молитв и любви, что вы ко мне имеете. Пал я падением злым; когда б не помог мне Господь и Богородица, едва ль не угодила бы во ад душа моя. И понимаю, из-за чего я пал: оставил порученное мне служение и устремился на трапезы, и не почувствовал, как в адскую пропасть схожу. Но человеколюбивый Бог, не отвергший покрытого струпьями и гноем Лазаря, но воскресивший его, умершего, снизошел так же и к моей немощи, не презрел моей лености, но наслал на меня дух скорби, тот, что и доныне угнетает меня, и из-за которого я и удалился от вас, уповая, по Писанью, на Бога, спасающего меня. Ибо в своем удалении от вас не пытался я приискать себе ничего благого, но только молился и постился; не мог поступать как вы, потому и осудил себя на это. И радуюсь я любви вашей, ибо в таковом зле видя мое убожество, не погнушались вы моих словес, проглаголанных к вам из моего уединения, но исполнили их со всем усердием. Забыл я и свою леность благодаря вашему усердию, ибо имеете вы великую ревность о церковной службе, во многотерпеливом стоянии на всех часах и службах обретаетесь и о заповедях божественного Феодора радуетесь. Усердие стяжайте, и, как он, сподобитесь блаженства, и причастники вечной жизни будете о Христе Исусе, о Господе нашем.
 	ПОУЧЕНЬЕ КЕЛАРЮ
ПОУЧЕНИЕ СЛОВО КЪ КЕЛАРЮ СВЯТАГО ФЕОДОСИЯ, ИГУМЕНА ПЕЧЕРЬСКАГО МОНАСТЫРЯ В КЫЕВЕ	СЛОВО ПОУЧЕНИЯ К КЕЛАРЮ СВЯТОГО ФЕОДОСИЯ, ИГУМЕНА КИЕВО-ПЕЧЕРСКОГО МОНАСТЫРЯ
